,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Deposits,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Expense,Non Interest Income,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Securities Activities,Credit Card,Other Customer Services,Investment Banking Profit,Trading Gain Loss,Foreign Exchange Trading Gains,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Equipment,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Other G and A,Selling & Marketing Expense,Depreciation Amortization Depletion,Depreciation & amortization,Amortization,Amortization of Intangibles,Other Non Interest Expense,Income from Associates & Other Participating Interests,Special Income Charges,Restructuring & Mergers Acquisition,Other Special Charges,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income Discontinuous Operations,Net Income Extraordinary,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
90,12/31/2000,"16,193,000","3,643,000","19,551,000","6,135,000","6,135,000","9,572,000","442,000","2,869,000",-,"15,908,000","4,533,000","9,427,000","1,948,000",-,-,"12,550,000","6,461,000","6,461,000","598,000","1,910,000",-,-,"3,953,000",-,-,-,"304,000","62,000","242,000","5,785,000","-398,000","10,890,000","-251,000",-,-,-,"7,053,000","6,825,000","6,825,000",-,"228,000",-,-,-,-,"4,088,000",-,"-1,302,000","1,302,000",-,"3,603,000","1,211,000","2,342,000","2,392,000","2,392,000","2,392,000",-,-,"50,000","2,342,000",-,-,-,-,"3,245,000","2,392,000","3,095,725","3,311,000","1,325,000","2,392,000","-1,060,000","-1,060,000",0,"-356,275"
91,9/30/2000,"5,400,000","1,993,000","6,069,000","3,997,000","3,997,000","1,524,000","96,000","452,000",-,"4,076,000","2,251,000","1,333,000","492,000",-,-,"3,407,000","2,523,000","2,523,000","103,000","664,000",-,-,"1,756,000",-,-,-,"71,000","96,000","-25,000","813,000","-305,000","3,656,000","544,000",-,-,-,"2,163,000","2,017,000","2,017,000",-,"146,000",-,-,-,-,"949,000",-,"-79,000","79,000",-,"1,360,000","476,000","871,000","884,000","884,000","884,000",-,-,"13,000","871,000",0.73,0.69,"1,267,300","1,311,800","1,688,000","884,000","951,600","548,000","445,000","884,000","-104,000","-104,000",0,"-36,400"
92,6/30/2000,"5,416,000","1,915,000","5,614,000","3,631,000","3,631,000","1,431,000","101,000","451,000",-,"3,699,000","2,086,000","1,216,000","397,000",-,-,"3,501,000","2,322,000","2,322,000","103,000","545,000",-,-,"1,674,000",-,-,-,"355,000","57,000","298,000","824,000","-332,000","3,357,000","490,000",-,-,-,"1,987,000","1,866,000","1,866,000",-,"121,000",-,-,-,-,"880,000",-,"-50,000","50,000",-,"1,677,000","586,000","1,074,000","1,091,000","1,091,000","1,091,000",-,-,"17,000","1,074,000",0.87,0.83,"1,853,100","1,939,200","1,583,000","1,091,000","929,660","552,000","389,000","1,091,000","248,000","248,000",0,"86,660"
93,3/31/2000,"5,925,000","1,961,000","5,409,000","3,480,000","3,480,000","1,349,000","134,000","446,000",-,"3,448,000","1,965,000","1,129,000","354,000",-,-,"3,964,000","2,285,000","2,285,000","99,000","509,000",-,-,"1,677,000",-,-,-,"514,000","14,000","500,000","1,165,000","-342,000","3,490,000","511,000",-,-,-,"2,140,000","2,040,000","2,040,000",-,"100,000",-,-,-,-,"839,000",-,-,-,-,"2,093,000","733,000","1,344,000","1,360,000","1,360,000","1,360,000",-,-,"16,000","1,344,000",1.10,1.06,"1,235,632","1,235,632","1,619,000","1,360,000","1,035,108","580,000","386,000","1,360,000","500,000","500,000",0,"175,108"
94,12/31/1999,"6,266,000","2,225,000","5,341,000","3,451,000","3,451,000","1,349,000","212,000","329,000",-,"3,116,000","1,786,000","1,018,000","312,000",-,-,"4,041,000","2,127,000","2,127,000","104,000","469,000",-,-,"1,554,000",-,-,-,"1,248,000","-59,000","1,307,000","666,000","-454,000","3,179,000","502,000",-,-,-,"1,797,000","1,694,000","1,694,000",-,"103,000",-,-,-,-,"880,000",-,-,-,-,"2,585,000","892,000","1,677,000","1,693,000","1,693,000","1,693,000",-,-,"16,000","1,677,000",-,-,-,-,"1,771,000","1,693,000","868,440","541,000","375,000","1,693,000","1,259,000","1,259,000",0,"434,440"
95,9/30/1999,"5,191,000","2,170,000","4,996,000","3,288,000","3,288,000","1,161,000","195,000","352,000",-,"2,826,000","1,650,000","870,000","306,000",-,-,"3,021,000","2,021,000","2,021,000","104,000","457,000",-,-,"1,460,000",-,-,-,"376,000","-1,000","377,000","624,000","-398,000","2,981,000","473,000",-,-,-,"1,783,000","1,655,000","1,655,000",-,"128,000",-,-,-,-,"725,000",-,-,-,-,"1,812,000","625,000","1,168,000","1,187,000","1,187,000","1,187,000",-,-,"19,000","1,168,000",0.95,0.91,"1,231,784","1,273,913","1,772,000","1,187,000","940,036","547,000","336,000","1,187,000","377,000","377,000",0,"130,036"
96,6/30/1999,"5,616,000","2,145,000","4,873,000","3,165,000","3,165,000","1,158,000","161,000","389,000",-,"2,728,000","1,558,000","851,000","319,000",-,-,"3,471,000","2,071,000","2,071,000","96,000","461,000",-,-,"1,514,000",-,-,-,"518,000","5,000","513,000","882,000","-388,000","3,068,000","445,000",-,-,-,"1,768,000","1,654,000","1,654,000",-,"114,000",-,-,-,-,"855,000",-,-,-,-,"2,160,000","767,000","1,375,000","1,393,000","1,393,000","1,393,000",-,-,"18,000","1,375,000",1.10,1.07,"1,250,000","1,285,047","1,757,000","1,393,000","1,062,163","550,000","352,000","1,393,000","513,000","513,000",0,"182,163"
97,3/31/1999,"5,144,000","2,204,000","5,027,000","3,209,000","3,209,000","1,253,000","184,000","381,000",-,"2,823,000","1,598,000","914,000","311,000",-,-,"2,940,000","1,663,000","1,663,000","89,000","414,000",-,-,"1,160,000",-,-,-,"481,000","156,000","325,000","796,000","-381,000","2,945,000","461,000",-,-,-,"1,753,000","1,639,000","1,639,000",-,"114,000",-,-,-,-,"731,000",-,-,-,-,"1,818,000","645,000","1,155,000","1,173,000","1,173,000","1,173,000",-,-,"18,000","1,155,000",0.91,0.88,"1,240,136","1,240,136","1,823,000","1,173,000","963,305","565,000","340,000","1,173,000","325,000","325,000",0,"115,305"
98,12/31/1998,"5,066,000","2,160,000","5,441,000","3,381,000","3,381,000","1,399,000","192,000","469,000",-,"3,281,000","1,717,000","1,247,000","317,000",-,-,"2,906,000","1,775,000","1,775,000",-,"414,000",-,-,"993,000",-,-,-,"167,000","167,000",-,"964,000","-206,000","2,873,000","470,000",-,-,-,"1,490,000","1,490,000","1,490,000",-,-,-,-,-,-,"913,000",-,-,-,-,"1,776,000","630,000","1,128,000","1,146,000","1,146,000","1,146,000",-,-,"18,000","1,128,000",-,-,-,-,"1,954,000","1,146,000","1,146,000","661,000","334,000","1,146,000",-,-,0,0
99,9/30/1998,"4,401,000","2,206,000","5,432,000","3,287,000","3,287,000","1,478,000","150,000","517,000",-,"3,226,000","1,524,000","1,378,000","324,000",-,-,"2,195,000","1,623,000","1,623,000",-,"398,000",-,-,"1,225,000",-,-,-,"261,000","261,000",-,"311,000","-455,000","2,647,000","417,000",-,-,-,"1,426,000","1,426,000","1,426,000",-,-,-,-,-,-,"804,000",-,-,-,-,"1,299,000","462,000","815,000","837,000","837,000","837,000",-,-,"22,000","815,000",0.64,0.63,"1,273,438","1,293,651","1,751,000","837,000","837,000","667,000","278,000","837,000",-,-,0,0
100,6/30/1998,"4,765,000","2,036,000","5,623,000","3,316,000","3,316,000","1,605,000","148,000","554,000",-,"3,587,000","1,784,000","1,478,000","325,000",-,-,"2,729,000","1,257,000","1,257,000",-,"383,000",-,-,"874,000",-,-,-,"98,000","98,000",-,"1,374,000","-338,000","2,722,000","403,000",-,-,-,"1,485,000","1,485,000","1,485,000",-,-,-,-,-,-,"834,000",-,-,-,-,"1,705,000","631,000","1,050,000","1,074,000","1,074,000","1,074,000",-,-,"24,000","1,050,000",0.83,0.80,"1,265,060","1,312,500","1,698,000","1,074,000","1,074,000","702,000","316,000","1,074,000",-,-,0,0
101,3/31/1998,"4,629,000","2,164,000","5,793,000","3,405,000","3,405,000","1,565,000","152,000","671,000",-,"3,629,000","1,815,000","1,509,000","305,000",-,-,"2,465,000","1,519,000","1,519,000","91,000","348,000",-,-,"1,080,000",-,-,-,"83,000","83,000",-,"863,000","-344,000","3,135,000","398,000",-,-,-,"1,478,000","1,478,000","1,478,000",-,-,-,-,-,-,"1,259,000",-,-,-,-,"1,150,000","425,000","691,000","725,000","725,000","725,000",-,-,"34,000","691,000",0.55,0.53,"1,256,364","1,303,774","1,820,000","725,000","725,000","823,000","242,000","725,000",-,-,0,0
102,12/31/1997,"4,084,000","2,079,000","5,803,000","3,361,000","3,361,000","1,558,000","156,000","728,000",-,"3,724,000","1,764,000","1,640,000","320,000",-,-,"2,005,000","1,577,000","1,577,000","96,000","338,000",-,-,"1,143,000",-,-,-,"123,000","123,000",-,"305,000","-205,000","2,490,000","410,000",-,-,-,"1,264,000","1,264,000","1,264,000",-,-,-,-,-,-,"816,000",-,-,-,-,"1,389,000","515,000","839,000","874,000","874,000","874,000",-,-,"35,000","839,000",-,-,-,-,"1,874,000","874,000","874,000","884,000","239,000","874,000",-,-,0,0
103,9/30/1997,"4,409,000","2,046,000","5,495,000","3,271,000","3,271,000","1,452,000","149,000","623,000",-,"3,449,000","1,714,000","1,451,000","284,000",-,-,"2,363,000","1,455,000","1,455,000","94,000","338,000",-,-,"1,023,000",-,-,-,"58,000","58,000",-,"850,000","-190,000","2,661,000","386,000",-,-,-,"1,498,000","1,498,000","1,498,000",-,-,-,-,-,-,"777,000",-,-,-,-,"1,558,000","576,000","941,000","982,000","982,000","982,000",-,-,"41,000","941,000",0.75,0.72,"1,254,667","1,306,944","1,856,000","982,000","982,000","772,000","241,000","982,000",-,-,0,0
104,6/30/1997,"4,140,000","1,982,000","5,333,000","3,082,000","3,082,000","1,440,000","114,000","697,000",-,"3,351,000","1,568,000","1,510,000","273,000",-,-,"2,158,000","1,082,000","1,082,000","95,000","321,000",-,-,"666,000",-,-,-,"30,000","30,000",-,"1,046,000","-189,000","2,471,000","386,000",-,-,-,"1,329,000","1,329,000","1,329,000",-,-,-,-,-,-,"756,000",-,-,-,-,"1,480,000","555,000","874,000","925,000","925,000","925,000",-,-,"51,000","874,000",0.69,0.67,"1,266,667","1,304,478","1,793,000","925,000","925,000","811,000","236,000","925,000",-,-,0,0
105,3/31/1997,"4,150,000","2,051,000","5,125,000","3,112,000","3,112,000","1,348,000","106,000","559,000",-,"3,074,000","1,515,000","1,302,000","257,000",-,-,"2,099,000","952,000","952,000","91,000","310,000",-,-,"551,000",-,-,-,"101,000","101,000",-,"1,046,000","-220,000","2,447,000","380,000",-,-,-,"1,346,000","1,346,000","1,346,000",-,-,-,-,-,-,"721,000",-,-,-,-,"1,483,000","556,000","872,000","927,000","927,000","927,000",-,-,"55,000","872,000",0.67,0.66,"1,301,493","1,321,212","1,831,000","927,000","927,000","665,000","235,000","927,000",-,-,0,0
106,12/31/1996,"3,938,000","2,082,000","5,139,000","3,048,000","3,048,000","1,423,000","97,000","571,000",-,"3,057,000","1,520,000","1,304,000","233,000",-,-,"1,856,000","982,000","982,000","98,000","294,000",-,-,"590,000",-,-,-,"25,000","25,000",-,"849,000","-182,000","2,407,000","372,000",-,-,-,"1,255,000","1,255,000","1,255,000",-,-,-,-,-,-,"780,000",-,-,-,-,"1,349,000","513,000","781,000","836,000","836,000","836,000",-,-,"55,000","781,000",-,-,-,-,"1,900,000","836,000","836,000","668,000","238,000","836,000",-,-,0,0
107,9/30/1996,"3,925,000","2,069,000","4,918,000","3,042,000","3,042,000","1,215,000","112,000","549,000",-,"2,849,000","1,416,000","1,213,000","220,000",-,-,"1,856,000","1,019,000","1,019,000","97,000","295,000",-,-,"627,000",-,-,-,"34,000","34,000",-,"803,000","-220,000","2,320,000","204,000",-,-,-,"1,251,000","1,251,000","1,251,000",-,-,-,-,-,-,"865,000",-,-,-,-,"1,385,000","527,000","749,000","858,000","858,000","858,000",-,-,"109,000","749,000",0.61,0.59,"1,227,869","1,269,492","1,849,000","858,000","858,000","661,000","225,000","858,000",-,-,0,0
108,6/30/1996,"3,954,000","2,023,000","4,789,000","3,028,000","3,028,000","1,091,000","156,000","514,000",-,"2,766,000","1,458,000","1,087,000","221,000",-,-,"1,931,000","1,041,000","1,041,000","100,000","302,000",-,-,"639,000",-,-,-,"24,000","24,000",-,"866,000","-250,000","2,324,000","388,000",-,-,-,"1,271,000","1,271,000","1,271,000",-,-,-,-,-,-,"665,000",-,-,-,-,"1,380,000","524,000","801,000","856,000","856,000","856,000",-,-,"55,000","801,000",0.60,0.60,"1,335,000","1,335,000","1,773,000","856,000","856,000","670,000","198,000","856,000",-,-,0,0
109,3/31/1996,"4,035,000","2,166,000","5,063,000","3,241,000","3,241,000","1,149,000","172,000","501,000",-,"2,897,000","1,644,000","1,026,000","227,000",-,-,"1,869,000","986,000","986,000","99,000","285,000",-,-,"602,000",-,-,-,"52,000","52,000",-,"831,000","-245,000","4,093,000","396,000",-,-,-,"1,381,000","1,381,000","1,381,000",-,-,-,-,-,-,"2,316,000",-,-,-,-,"-303,000","-214,000","-89,000","-89,000","-89,000","-89,000",-,-,-,"-89,000",-0.11,-0.11,"751,548","751,548","1,921,000","-89,000","-89,000","673,000","208,000","-89,000",-,-,0,0
110,12/31/1995,"2,132,000","1,174,000","2,852,000","1,749,000","1,749,000","872,000","58,000","173,000",-,"1,678,000","932,000","612,000","134,000",-,-,"958,000","252,000","252,000","72,000","95,000",-,-,"85,000",-,-,-,"21,000","21,000",-,"685,000","-116,000","1,250,000","225,000",-,-,-,"719,000","719,000","719,000",-,-,-,-,-,-,"306,000",-,-,-,-,"766,000","276,000","385,000","490,000","490,000","490,000",-,0,-,"385,000",-,-,-,-,"1,058,000","490,000","490,000","231,000","86,000","490,000",-,-,0,0
111,9/30/1995,"2,174,000","1,197,000","2,833,000","1,844,000","1,844,000","746,000","62,000","181,000",-,"1,636,000","943,000","559,000","134,000",-,-,"977,000","635,000","635,000","75,000","96,000",-,-,"464,000",-,-,-,"47,000","47,000",-,"295,000","-122,000","1,257,000","228,000",-,-,-,"720,000","720,000","720,000",-,-,-,-,-,-,"309,000",-,-,-,-,"795,000","318,000","477,000","477,000","477,000","477,000",-,-,-,"477,000",0.58,0.57,"822,414","836,842","1,075,000","477,000","477,000","243,000",-,"477,000",-,-,0,0
112,6/30/1995,"2,123,000","1,162,000","2,767,000","1,770,000","1,770,000","718,000","67,000","212,000",-,"1,605,000","931,000","536,000","138,000",-,-,"961,000","592,000","592,000","76,000","97,000",-,-,"419,000",-,-,-,"69,000","69,000",-,"300,000","-120,000","1,248,000","226,000",-,-,-,"674,000","674,000","674,000",-,-,-,-,-,-,"348,000",-,-,-,-,"755,000","302,000","453,000","453,000","453,000","453,000",-,-,-,"453,000",0.57,0.56,"794,737","808,929","1,042,000","453,000","453,000","279,000",-,"453,000",-,-,0,0
113,3/31/1995,"2,026,000","1,156,000","2,666,000","1,661,000","1,661,000","704,000","82,000","219,000",-,"1,510,000","851,000","519,000","140,000",-,-,"870,000","578,000","578,000","74,000","91,000",-,-,"413,000",-,-,-,"-18,000","-18,000",-,"310,000","-120,000","1,246,000","236,000",-,-,-,"653,000","653,000","653,000",-,-,-,-,-,-,"357,000",-,-,-,-,"660,000","264,000","385,000","385,000","385,000","396,000",-,"-11,000",-,"385,000",0.49,0.49,"785,714","785,714","1,036,000","396,000","396,000","301,000",-,"396,000",-,-,0,0
114,12/31/1994,"1,984,000","1,169,000","2,466,000","1,575,000","1,575,000","622,000","91,000","178,000",-,"1,297,000","718,000","444,000","135,000",-,-,"815,000","604,000","604,000","78,000","99,000",-,-,"427,000",-,-,-,"46,000","46,000",-,"165,000","-85,000","1,593,000","249,000",-,-,-,"681,000","681,000","681,000",-,-,-,-,-,-,"663,000",-,-,-,-,"306,000","127,000","149,000","179,000","179,000","179,000",-,-,"30,000","149,000",-,-,-,-,"1,084,000","179,000","179,000","269,000","101,000","179,000",-,-,0,0
115,9/30/1994,"2,161,000","1,177,000","2,313,000","1,473,000","1,473,000","603,000","86,000","151,000",-,"1,136,000","597,000","405,000","134,000",-,-,"984,000","564,000","564,000","78,000","104,000",-,-,"382,000",-,-,-,"218,000","218,000",-,"202,000","-100,000","1,311,000","245,000",-,-,-,"682,000","682,000","682,000",-,-,-,-,-,-,"384,000",-,-,-,-,"750,000","311,000","408,000","439,000","439,000","439,000",-,-,"31,000","408,000",0.53,0.53,"769,811","769,811","1,077,000","439,000","439,000","237,000","130,000","439,000",-,-,0,0
116,6/30/1994,"2,052,000","1,185,000","2,219,000","1,375,000","1,375,000","623,000","100,000","121,000",-,"1,034,000","543,000","359,000","132,000",-,-,"867,000","555,000","555,000","75,000","108,000",-,-,"372,000",-,-,-,"216,000","216,000",-,"96,000","-160,000","1,281,000","231,000",-,-,-,"644,000","644,000","644,000",-,-,-,-,-,-,"406,000",-,-,-,-,"611,000","254,000","324,000","357,000","357,000","357,000",-,-,"33,000","324,000",0.43,0.43,"753,488","753,488","1,025,000","357,000","357,000","221,000","57,000","357,000",-,-,0,0
117,3/31/1994,"2,074,000","1,143,000","2,090,000","1,307,000","1,307,000","589,000","94,000","100,000",-,"947,000","520,000","292,000","135,000",-,-,"931,000","551,000","551,000","69,000","110,000",-,-,"372,000",-,-,-,"231,000","231,000",-,"149,000","-205,000","1,324,000","230,000",-,-,-,"637,000","637,000","637,000",-,-,-,-,-,-,"457,000",-,-,-,-,"545,000","226,000","287,000","319,000","319,000","319,000",-,-,"32,000","287,000",0.38,0.38,"755,263","755,263","938,000","319,000","319,000","194,000","89,000","319,000",-,-,0,0
118,12/31/1993,"2,202,000","1,149,000","2,074,000","1,350,000","1,350,000","563,000","67,000","94,000",-,"925,000","542,000","249,000","134,000",-,-,"1,053,000","546,000","546,000","71,000","109,000",-,-,"366,000",-,-,-,"16,000","16,000",-,"491,000","-286,000","1,335,000","529,000",-,-,-,"617,000","617,000","617,000",-,-,-,-,-,-,"189,000",-,-,-,-,"581,000","234,000","309,000","347,000","347,000","347,000",-,0,"38,000","309,000",-,-,-,-,"863,000","347,000","347,000","161,000","136,000","347,000",-,-,0,0
119,9/30/1993,"2,167,000","1,163,000","2,073,000","1,372,000","1,372,000","545,000","67,000","89,000",-,"910,000","537,000","238,000","135,000",-,-,"1,004,000","531,000","531,000","73,000","97,000",-,-,"361,000",-,-,-,"51,000","51,000",-,"422,000","-298,000","1,370,000","229,000",-,-,-,"612,000","612,000","612,000",-,-,-,-,-,-,"529,000",-,-,-,-,"499,000","-3,000","464,000","502,000","502,000","502,000",-,-,"38,000","464,000",0.61,0.61,"760,656","760,656","865,000","502,000","502,000","156,000","51,000","502,000",-,-,0,0
120,6/30/1993,"2,217,000","1,175,000","2,132,000","1,433,000","1,433,000","546,000","73,000","80,000",-,"957,000","569,000","253,000","135,000",-,-,"1,042,000","535,000","535,000","77,000","102,000",-,-,"356,000",-,-,-,"5,000","5,000",-,"502,000","-363,000","1,312,000","233,000",-,-,-,"634,000","634,000","634,000",-,-,-,-,-,-,"445,000",-,-,-,-,"542,000","161,000","341,000","381,000","381,000","381,000",-,-,"40,000","341,000",0.45,0.45,"757,778","757,778","812,000","381,000","381,000","153,000","77,000","381,000",-,-,0,0
121,3/31/1993,"2,074,000","1,149,000","2,124,000","1,465,000","1,465,000","522,000","61,000","76,000",-,"975,000","593,000","252,000","130,000",-,-,"925,000","487,000","487,000","67,000","98,000",-,-,"322,000",-,-,-,"70,000","70,000",-,"368,000","-312,000","1,276,000","220,000",-,-,-,"603,000","603,000","603,000",-,-,-,-,-,-,"453,000",-,-,-,-,"486,000","147,000","335,000","374,000","374,000","339,000",-,"35,000","39,000","335,000",0.46,0.46,"728,261","728,261","837,000","339,000","339,000","137,000","69,000","339,000",-,-,0,0
122,12/31/1992,"1,923,000","1,226,000","2,179,000","1,492,000","1,492,000","541,000","69,000","77,000",-,"953,000","571,000","263,000","119,000",-,-,"697,000","461,000","461,000","65,000","94,000",-,-,"302,000",-,-,-,"-2,000","-2,000",-,"238,000","-315,000","1,274,000","224,000",-,-,-,"584,000","584,000","584,000",-,-,-,-,-,-,"466,000",-,-,-,-,"334,000","30,000","263,000","304,000","304,000","304,000",-,-,"41,000","263,000",-,-,-,-,"911,000","304,000","304,000","146,000","81,000","304,000",-,-,0,0
123,9/30/1992,"1,933,000","1,158,000","2,256,000","1,553,000","1,553,000","553,000","74,000","76,000",-,"1,098,000","697,000","283,000","118,000",-,-,"775,000","496,000","496,000","65,000","87,000",-,-,"344,000",-,-,-,"8,000","8,000",-,"271,000","-330,000","1,266,000","218,000",-,-,-,"578,000","578,000","578,000",-,-,-,-,-,-,"470,000",-,-,-,-,"337,000","55,000","248,000","282,000","282,000","282,000",-,-,"34,000","248,000",0.33,0.33,"751,515","751,515","828,000","282,000","282,000","150,000","74,000","282,000",-,-,0,0
124,6/30/1992,"1,843,000","1,099,000","2,292,000","1,606,000","1,606,000","544,000","52,000","90,000",-,"1,193,000","771,000","311,000","111,000",-,-,"744,000","500,000","500,000","65,000","91,000",-,-,"344,000",-,-,-,"15,000","15,000",-,"229,000","-345,000","1,191,000","219,000",-,-,-,"582,000","582,000","582,000",-,-,-,-,-,-,"390,000",-,-,-,-,"307,000","67,000","196,000","240,000","240,000","240,000",-,-,"44,000","196,000",0.28,0.28,"700,000","700,000","754,000","240,000","240,000","142,000","82,000","240,000",-,-,0,0
125,3/31/1992,"1,925,000","1,115,000","2,421,000","1,702,000","1,702,000","534,000","79,000","106,000",-,"1,306,000","829,000","371,000","106,000",-,-,"810,000","473,000","473,000","69,000","89,000",-,-,"315,000",-,-,-,"32,000","32,000",-,"305,000","-375,000","1,199,000","221,000",-,-,-,"605,000","605,000","605,000",-,-,-,-,-,-,"373,000",-,-,-,-,"351,000","91,000","226,000","260,000","260,000","260,000",-,-,"34,000","226,000",0.33,0.33,"684,848","684,848","740,000","260,000","260,000","185,000","82,000","260,000",-,-,0,0
126,12/31/1991,"4,169,000","2,403,800","7,059,600","4,898,900","4,898,900","1,557,600","256,500","346,600",-,"4,655,800","3,044,900","1,349,800","261,100",-,-,"1,765,200","1,081,000","1,081,000",-,"203,900",-,-,"601,100",-,-,-,"104,800","104,800",-,"579,400","-930,000","3,289,800","518,500",-,-,-,"1,336,200","1,336,200","1,336,200",-,-,-,-,-,-,"1,435,100",-,-,-,-,"-50,800","107,800","-234,600","-158,600","-158,600","-158,600",-,-,"76,000","-234,600",-,-,-,-,"1,473,800","-158,600","-158,600","603,100","39,000","-158,600",-,-,0,0
127,9/30/1991,"995,300","588,000","1,380,500","995,200","995,200","272,200","32,300","80,800",-,"792,500","515,900","215,000","61,600",-,-,"407,300","258,800","258,800",-,"46,700",-,-,"212,100",-,-,-,"5,300","5,300",-,"143,200","-145,000","695,000","121,000",-,-,-,"343,400","343,400","343,400",-,-,-,-,-,-,"230,600",-,-,-,-,"155,300","23,700","111,600","131,600","131,600","131,600",-,-,"20,000","111,600",0.41,0.41,"272,195","272,195","443,000","131,600","131,600","113,100","46,000","131,600",-,-,0,0
128,6/30/1991,"928,500","571,700","1,377,700","1,001,400","1,001,400","265,900","27,100","83,300",-,"806,000","526,600","215,900","63,500",-,-,"356,800","255,900","255,900",-,"47,700",-,-,"208,200",-,-,-,-700,-700,-,"101,600","-135,000","682,900","120,300",-,-,-,"346,500","346,500","346,500",-,-,-,-,-,-,"216,100",-,-,-,-,"110,600","16,600","75,000","94,000","94,000","94,000",-,-,"19,000","75,000",0.27,0.27,"277,778","277,778","436,700","94,000","94,000","110,400","50,000","94,000",-,-,0,0
129,3/31/1991,"866,200","549,500","1,464,200","1,051,500","1,051,500","278,300","47,100","87,300",-,"914,700","580,600","265,300","68,800",-,-,"316,700","222,300","222,300",-,"45,700",-,-,"176,600",-,-,-,600,600,-,"93,800","-135,000","656,300","118,200",-,-,-,"342,900","342,900","342,900",-,-,-,-,-,-,"195,200",-,-,-,-,"74,900","-12,100","68,000","87,000","87,000","87,000",-,-,"19,000","68,000",0.25,0.25,"272,000","272,000","414,500","87,000","87,000","134,400","57,000","87,000",-,-,0,0
130,12/31/1990,"874,200","539,500","1,620,200","1,148,000","1,148,000","307,100","33,400","131,700",-,"1,080,700","655,400","352,200","73,100",-,-,"334,700","244,700","244,700",-,"45,500",-,-,"199,200",-,-,-,"11,200","11,200",-,"78,800","-135,000","665,300","129,900",-,-,-,"319,200","319,200","319,200",-,-,-,-,-,-,"216,200",-,-,-,-,"73,900","3,800","49,100","70,100","70,100","70,100",-,-,"21,000","49,100",-,-,-,-,"404,500","70,100","70,100","165,100","60,000","70,100",-,-,0,0
131,9/30/1990,"856,100","519,000","1,646,500","1,128,400","1,128,400","310,500","36,500","171,100",-,"1,127,500","695,500","359,900","72,100",-,-,"337,100","253,700","253,700",-,"47,700",-,-,"206,000",-,-,-,"1,000","1,000",-,"82,400","-250,000","634,000","119,800",-,-,-,"338,700","338,700","338,700",-,-,-,-,-,-,"175,500",-,-,-,-,"-27,900","15,800","-62,700","-43,700","-43,700","-43,700",-,-,"19,000","-62,700",-0.23,-0.23,"272,609","272,609","269,000","-43,700","-43,700","207,600","66,000","-43,700",-,-,0,0
132,6/30/1990,"848,200","510,200","1,608,000","1,126,900","1,126,900","260,100","52,400","168,600",-,"1,097,800","715,500","308,400","73,900",-,-,"338,000","251,300","251,300",-,"50,900",-,-,"200,400",-,-,-,"3,000","3,000",-,"83,700","-82,000","635,900","116,000",-,-,-,"338,300","338,300","338,300",-,-,-,-,-,-,"181,600",-,-,-,-,"130,300","17,200","93,100","113,100","113,100","113,100",-,-,"20,000","93,100",0.34,0.34,"273,824","273,824","428,200","113,100","113,100","221,000","56,000","113,100",-,-,0,0
133,3/31/1990,"928,100","482,400","1,636,300","1,126,500","1,126,500","254,900","90,200","164,700",-,"1,153,900","734,400","348,200","71,300",-,-,"445,700","244,800","244,800",-,"53,100",-,-,"191,700",-,-,-,"-1,400","-1,400",-,"202,300","-70,000","688,000","121,000",-,-,-,"339,100","339,100","339,100",-,-,-,-,-,-,"227,900",-,-,-,-,"170,100","18,400","133,700","151,700","151,700","151,700",-,-,"18,000","133,700",0.52,0.52,"370,441","370,441","412,400","151,700","151,700","254,900","54,000","151,700",-,-,0,0
134,12/31/1989,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"95,900","95,900",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
