,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Investment Securities,Realized Gain Loss On Sale of Loans And Lease,Depreciation Amortization Depletion,Depreciation & amortization,Depreciation,Amortization,Amortization of Intangibles,Deferred Tax,Deferred Income Tax,Other non-cash items,Stock based compensation,Provision for Loan Lease And Other Losses,Change in working capital,Change in Receivables,Changes in Account Receivables,Change in Payables And Accrued Expense,Change in Payable,Change in Account Payable,Change in Other Current Assets,Change in Other Current Liabilities,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Proceeds Payment Federal Funds Sold And Securities Purchased Under Agreement To Resell,Proceeds Payment in Interest Bearing Deposits in Bank,Decrease in Interest Bearing Depositsin Bank,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Net Business Purchase And Sale,Purchase of Business,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Change in Federal Funds And Securities Sold for Repurchase,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Net Other Financing Charges,End Cash Position,Changes in Cash,Effect of Exchange Rate Changes,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
83,9/30/2002,"25,093,000","25,093,000","40,000",-,-,-,"529,000","529,000",-,-,-,-,-,"1,474,000",-,-,"23,050,000",-,-,-,-,-,-,-,-,"-7,676,000","-7,676,000",-,-,-,"-5,068,000","-75,768,000","70,700,000",-,-,-,-,0,-,"-2,608,000","-21,465,000","-21,465,000",-,"-18,657,000","-3,487,000",0,"-3,487,000","-15,170,000",-,-,"-20,000",-,-,-,-,-,"-712,000",-,-,"18,159,000","-4,048,000","329,000","21,878,000",-,-,-,-,-,0,"-3,487,000",-,"25,093,000"
84,6/30/2002,"-20,795,000","-20,795,000","1,028,000",-,-,-,"828,000","828,000",-,-,-,-,-,"766,000",-,-,"-23,417,000",-,-,-,-,-,-,-,-,"3,375,000","3,375,000",-,-,-,"4,445,000","-38,050,000","42,495,000",-,-,-,-,"-33,000",-,"-1,037,000","16,605,000","16,605,000",-,"5,120,000","4,082,000","6,025,000","-1,943,000","1,038,000",-,-,"290,000",-,-,-,-,-,"-690,000",-,"93,000","21,878,000","-815,000","56,000","22,637,000",-,-,-,-,-,"6,025,000","-1,943,000",-,"-20,795,000"
85,3/31/2002,"-12,558,000","-12,558,000","982,000",-,-,-,"631,000","631,000",-,-,-,-,-,"1,538,000",-,-,"-15,709,000",-,-,-,-,-,-,-,-,"-9,624,000","-9,624,000",-,-,-,"-15,191,000","-59,755,000","44,564,000",-,-,-,-,"-39,000",-,"5,606,000","22,246,000","22,246,000",-,"34,554,000","-1,187,000","4,533,000","-5,720,000","35,741,000",-,-,"-336,000",-,-,-,-,-,"-684,000",-,"325,000","22,637,000","64,000","-27,000","22,600,000",-,-,-,-,-,"4,533,000","-5,720,000",-,"-12,558,000"
86,12/31/2001,"33,613,000","33,613,000","-332,000",-,-,-,"797,000","797,000",-,-,-,-,-,"2,537,000",-,-,"30,611,000",-,-,-,-,-,-,-,-,"23,450,000","23,450,000",-,-,-,"20,282,000","-41,357,000","61,639,000",-,-,-,-,0,-,"3,168,000","-56,887,000","-56,887,000",-,"-67,961,000","-2,736,000","25,000","-2,761,000","-65,225,000",-,-,"164,000",-,-,-,-,-,"-677,000",-,"-459,000","22,600,000","176,000","125,000","22,299,000",-,-,-,-,-,"25,000","-2,761,000",-,"33,613,000"
87,9/30/2001,"-21,212,000","-21,212,000","449,000",-,-,-,"713,000","713,000",-,-,-,-,-,"1,706,000",-,-,"-24,080,000",-,-,-,-,-,-,-,-,"-15,156,000","-15,156,000",-,-,-,"-12,815,000","-52,886,000","40,071,000",-,-,-,-,0,-,"-2,341,000","34,505,000","34,505,000",-,"30,573,000","1,023,000","1,672,000","-649,000","29,550,000",-,-,"-548,000",-,-,-,-,-,"-695,000",-,"375,000","22,299,000","-1,863,000","-57,000","24,219,000",-,-,-,-,-,"1,672,000","-649,000",-,"-21,212,000"
88,6/30/2001,"-5,092,000","-5,092,000","378,000",-,-,-,"651,000","651,000",-,-,-,-,-,"1,053,000",-,-,"-7,174,000",-,-,-,-,-,-,-,-,"2,317,000","2,317,000",-,-,-,"8,425,000","-41,137,000","49,562,000",-,-,-,-,0,-,"-6,108,000","4,618,000","4,618,000",-,"1,194,000","-1,571,000","2,306,000","-3,877,000","2,765,000",-,-,"7,000",-,-,-,-,-,"-694,000",-,"-121,000","24,219,000","1,843,000","5,000","22,371,000",-,-,-,-,-,"2,306,000","-3,877,000",-,"-5,092,000"
89,3/31/2001,"-10,416,000","-10,416,000","1,199,000",-,-,-,"730,000","730,000",-,-,-,-,-,"1,776,000",-,-,"-14,121,000",-,-,-,-,-,-,-,-,"1,707,000","1,707,000",-,-,-,"1,460,000","-47,542,000","49,002,000",-,-,-,-,"-1,677,000",-,"1,924,000","7,081,000","7,081,000",-,"13,967,000","-304,000","4,983,000","-5,287,000","14,271,000",-,-,"424,000",-,-,-,-,-,"-631,000",-,"114,000","22,371,000","-1,628,000","27,000","23,972,000",-,-,-,-,-,"4,983,000","-5,287,000",-,"-10,416,000"
90,12/31/2000,"-9,923,000","-9,923,000","2,392,000",-,-,-,"1,325,000","1,325,000",-,-,-,-,-,"-850,000",-,-,"-12,790,000",-,-,-,-,-,-,-,-,"-5,967,000","-5,967,000",-,-,-,"-4,727,000","-55,979,000","51,252,000",-,-,-,-,"867,000",-,"-2,107,000","18,195,000","18,195,000",-,"19,249,000","-6,365,000","6,401,000","-12,766,000","25,614,000",-,-,"-4,067,000",-,-,-,-,-,"-1,105,000",-,"-327,000","23,972,000","2,305,000","-199,000","19,403,000",-,-,-,-,-,"6,401,000","-12,766,000",-,"-9,923,000"
91,9/30/2000,"-4,647,000","-4,647,000","884,000",-,-,-,"445,000","445,000",-,-,-,-,-,"241,000",-,-,"-6,217,000",-,-,-,-,-,-,-,-,"-153,000","-153,000",-,-,-,"13,139,000","-12,876,000","26,015,000",-,-,-,-,-,-,"-10,230,000","5,768,000","5,768,000",-,"-2,620,000","2,880,000","2,880,000",0,"-5,500,000",-,-,"3,785,000",-,-,-,-,-,"-411,000",-,"-182,000","19,403,000","968,000","74,000","18,361,000",-,-,-,-,-,"2,880,000",0,-,"-4,647,000"
92,6/30/2000,"5,076,000","5,076,000","1,091,000",-,-,-,"389,000","389,000",-,-,-,-,-,"302,000",-,-,"3,294,000",-,-,-,-,-,-,-,-,"-9,311,000","-9,311,000",-,-,-,"-2,876,000","-21,291,000","18,415,000",-,-,-,-,-,-,"-6,435,000","6,310,000","6,310,000",-,"-6,256,000","871,000","1,687,000","-816,000","-7,127,000",-,-,"237,000",-,-,-,-,-,"-412,000",-,"-3,000","18,361,000","2,075,000","28,000","16,258,000",-,-,-,-,-,"1,687,000","-816,000",-,"5,076,000"
93,3/31/2000,"-4,182,000","-4,182,000","1,360,000",-,-,-,"386,000","386,000",-,-,-,-,-,"475,000",-,-,"-6,403,000",-,-,-,-,-,-,-,-,"14,445,000","14,445,000",-,-,-,"-11,064,000","-29,512,000","18,448,000",-,-,-,-,-,-,"25,509,000","-10,221,000","-10,221,000",-,"20,868,000","3,033,000","3,893,000","-860,000","17,835,000",-,-,"-727,000",-,-,-,-,-,"-354,000",-,"76,000","16,258,000","42,000","-13,000","16,229,000",-,-,-,-,-,"3,893,000","-860,000",-,"-4,182,000"
94,12/31/1999,"-3,925,000","-3,925,000","1,693,000",-,-,-,"375,000","375,000",-,-,-,-,-,"372,000",-,-,"-6,365,000",-,-,-,-,-,-,-,-,"-24,733,000","-24,733,000",-,-,-,"-1,430,000","-14,136,000","12,706,000",-,-,-,-,-,-,"-21,413,000","28,397,000","28,397,000",-,"6,377,000","955,000","1,280,000","-325,000","5,422,000",-,-,"126,000",-,-,-,-,-,"-354,000",-,"126,000","16,229,000","-261,000",0,"16,490,000",-,-,-,-,-,"1,280,000","-325,000",-,"-2,673,000"
95,9/30/1999,"-5,810,000","-5,810,000","1,187,000",-,-,-,"336,000","336,000",-,-,-,-,-,"411,000",-,-,"-7,744,000",-,-,-,-,-,-,-,-,"-2,255,000","-2,255,000",-,-,-,"-2,209,000","-19,963,000","17,754,000",-,-,-,"-1,200,000",-,-,"1,154,000","8,521,000","8,521,000",-,"-222,000","-435,000","170,000","-605,000","213,000",-,-,"-880,000",-,-,-,-,-,"-360,000",-,"-138,000","16,490,000","456,000","-3,000","16,037,000",-,-,-,"-1,200,000",-,"170,000","-605,000",-,"-7,010,000"
96,6/30/1999,"7,068,000","7,068,000","1,393,000",-,-,-,"352,000","352,000",-,-,-,-,-,"197,000",-,-,"5,126,000",-,-,-,-,-,-,-,-,"-4,272,000","-4,272,000",-,-,-,"448,000","-23,957,000","24,405,000",-,-,-,"-3,000",-,-,"-4,717,000","-5,065,000","-5,065,000",-,"-5,497,000","1,227,000","2,185,000","-958,000","-6,724,000",-,-,"-763,000",-,-,-,-,-,"-365,000",-,"-301,000","16,037,000","-2,269,000",0,"18,306,000",-,-,-,"-3,000",-,"2,185,000","-958,000",-,"7,065,000"
97,3/31/1999,"-709,000","-709,000","1,173,000",-,-,-,"340,000","340,000",-,-,-,-,-,"509,000",-,-,"-2,731,000",-,-,-,-,-,-,-,-,"64,000","64,000",-,-,-,"-2,379,000","-42,626,000","40,247,000",-,-,-,"-49,000",-,-,"2,492,000","1,875,000","1,875,000",-,"8,123,000","-2,000","1,075,000","-1,077,000","8,125,000",-,-,"-1,090,000",-,-,-,-,-,"-323,000",-,"-39,000","18,306,000","1,230,000","8,000","17,068,000",-,-,-,"-49,000",-,"1,075,000","-1,077,000",-,"-758,000"
98,12/31/1998,"1,208,000","1,208,000","1,146,000",-,-,-,"334,000","334,000",-,-,-,-,-,"566,000",-,-,"-838,000",-,-,-,-,-,-,-,-,"-12,412,000","-12,412,000",-,-,-,"-52,000","-48,646,000","48,594,000",-,-,-,-,-,-,"-11,379,000","13,677,000","13,677,000",-,"1,871,000","1,960,000","2,602,000","-642,000","-89,000",-,-,"-934,000",-,-,-,-,-,"-322,000",-,"944,000",0,"2,473,000","10,000",0,"-2,483,000",-,-,-,-,"2,602,000","-642,000",-,"227,000"
99,9/30/1998,"5,959,000","5,959,000","837,000",-,-,-,"278,000","278,000",-,-,-,-,-,"552,000",-,-,"4,292,000",-,-,-,-,-,-,-,-,"3,104,000","3,104,000",-,-,-,"-574,000","-58,679,000","58,105,000",-,-,-,-,-,-,"3,678,000","-10,175,000","-10,175,000",-,"-2,658,000","10,000","323,000","-313,000","-2,668,000",-,-,"421,000",-,-,-,-,-,"-331,000",-,"-835,000",0,"-1,112,000","6,000",0,"1,106,000",-,-,-,-,"323,000","-313,000",-,"5,959,000"
100,6/30/1998,"772,000","772,000","1,074,000",-,-,-,"316,000","316,000",-,-,-,-,-,"294,000",-,-,"-912,000",-,-,-,-,-,-,-,-,"-5,104,000","-5,104,000",-,-,-,"-1,374,000","-44,067,000","42,693,000",-,-,-,-,-,-,"-3,730,000","5,139,000","5,139,000",-,"-5,241,000","94,000","426,000","-332,000","-5,335,000",-,-,"-150,000",-,-,-,-,-,"-330,000",-,"-135,000",0,"807,000","-22,000",0,"-785,000",-,-,-,-,"426,000","-332,000",-,"772,000"
101,3/31/1998,"-4,347,000","-4,347,000","725,000",-,-,-,"242,000","242,000",-,-,-,-,-,"-2,000",-,-,"-5,312,000",-,-,-,-,-,-,-,-,"-148,000","-148,000",-,-,-,"200,000","-50,321,000","50,521,000",-,-,-,-,-,-,"-348,000","3,683,000","3,683,000",-,"2,004,000","1,169,000","1,831,000","-662,000","835,000",-,-,"-108,000",-,-,-,-,-,"-295,000",-,"-326,000",0,"-812,000","14,000","15,704,000","-14,906,000",-,-,-,-,"1,831,000","-662,000",-,"-4,347,000"
102,12/31/1997,"2,153,000","2,153,000","874,000",-,-,-,"239,000","239,000",-,-,-,-,-,"460,000",-,-,"580,000",-,-,-,-,-,-,-,-,"330,000","330,000",-,-,-,"-12,109,000","-34,453,000","22,344,000",-,-,-,-,-,-,"12,439,000","-1,091,000","-1,091,000",-,"-12,325,000","-168,000","520,000","-688,000","-12,157,000",-,-,"-880,000",-,-,-,-,-,"-296,000",-,-,0,"1,392,000","-55,000",0,"-1,337,000",-,-,-,-,"520,000","-688,000",-,"2,153,000"
103,9/30/1997,"-411,000","-411,000","982,000",-,-,-,"241,000","241,000",-,-,-,-,-,"-285,000",-,-,"-1,349,000",-,-,-,-,-,-,-,-,"-11,019,000","-11,019,000",-,-,-,"9,854,000","-31,802,000","41,656,000",-,-,-,-,-,-,"-20,873,000","8,860,000","8,860,000",-,"18,210,000","2,210,000","1,154,000","1,056,000",-,-,-,"-347,000",-,-,"-240,000",-,-,"-303,000",-,-,0,"-2,570,000","58,000",0,"2,512,000",-,-,-,-,"1,154,000","1,056,000",-,"-411,000"
104,6/30/1997,"272,000","272,000","925,000",-,-,-,"236,000","236,000",-,-,-,-,-,"118,000",-,-,"-1,007,000",-,-,-,-,-,-,-,-,"-9,834,000","-9,834,000",-,-,-,"-5,060,000","-28,942,000","23,882,000",-,-,-,-,-,-,"-4,774,000","12,098,000","12,098,000",-,"1,405,000","-727,000","1,150,000","-1,877,000",-,-,-,"-290,000",-,-,-,-,-,"-317,000",-,"4,256,000",0,"2,536,000","-6,000",0,"-2,530,000",-,-,-,-,"1,150,000","-1,877,000",-,"272,000"
105,3/31/1997,"3,447,000","3,447,000","927,000",-,-,-,"235,000","235,000",-,-,-,-,-,"345,000",-,-,"1,940,000",-,-,-,-,-,-,-,-,"1,863,000","1,863,000",-,-,-,"-2,083,000","-20,455,000","18,372,000",-,-,-,-,-,-,"3,946,000","-5,586,000","-5,586,000",-,"-1,636,000","496,000","1,121,000","-625,000","-2,132,000",-,-,"-1,011,000",-,-,-,-,-,"-296,000",-,"2,248,000",0,"-276,000","20,000","14,605,000","-14,349,000",-,-,-,-,"1,121,000","-625,000",-,"3,447,000"
106,12/31/1996,"4,947,000","4,947,000","836,000",-,-,-,"238,000","238,000",-,-,-,-,-,"-659,000",-,-,"4,532,000",-,-,-,-,-,-,-,-,"-14,456,000","-14,456,000",-,-,-,"-6,014,000","-19,839,000","13,825,000",-,-,-,-,-,-,"-8,442,000","10,336,000","10,336,000",-,"-4,290,000","950,000","1,025,000","-75,000","-5,240,000",-,-,"-436,000",-,-,0,-,-,"-302,000",-,"-560,000",0,"827,000","49,000",0,"-876,000",-,-,-,-,"1,025,000","-75,000",-,"4,947,000"
107,9/30/1996,"-6,238,000","-6,238,000","858,000",-,-,-,"225,000","225,000",-,-,-,-,-,"252,000",-,-,"-7,573,000",-,-,-,-,-,-,-,-,"2,647,000","2,647,000",-,-,-,"1,415,000","-9,510,000","10,925,000",-,-,-,-,-,-,"1,232,000","4,070,000","4,070,000",-,"6,613,000","-360,000","46,000","-406,000","6,973,000",-,-,"77,000",-,-,-,-,-,"-354,000",-,"485,000",0,"479,000","-41,000",0,"-438,000",-,-,-,-,"46,000","-406,000",-,"-6,238,000"
108,6/30/1996,"-1,403,000","-1,403,000","856,000",-,-,-,"198,000","198,000",-,-,-,-,-,"10,000",-,-,"-2,467,000",-,-,-,-,-,-,-,-,"-11,858,000","-11,858,000",-,-,-,"-12,170,000","-25,207,000","13,037,000",-,-,-,-,-,-,"312,000","15,705,000","15,705,000",-,"16,981,000","-306,000","95,000","-401,000","17,287,000",-,-,"25,000",-,-,-,-,-,"-248,000",-,"-462,000",0,"2,444,000","1,000",0,"-2,445,000",-,-,-,-,"95,000","-401,000",-,"-1,403,000"
109,3/31/1996,"1,711,000","1,711,000","-89,000",-,-,-,"208,000","208,000",-,-,-,-,-,"2,163,000",-,-,"-571,000",-,-,-,-,-,-,-,-,"-2,443,000","-2,443,000",-,-,-,"-3,053,000","-19,030,000","15,977,000",-,-,-,-,-,-,"610,000","-3,217,000","-3,217,000",-,"-1,036,000","154,000","725,000","-571,000","-1,190,000",-,-,"-195,000",-,-,-,-,-,"-284,000",-,"898,000",0,"-3,949,000","1,000","14,794,000","-10,846,000",-,-,-,-,"725,000","-571,000",-,"1,711,000"
110,12/31/1995,"-2,827,000","-2,827,000","490,000",-,-,-,"86,000","86,000",-,-,-,-,-,"-106,000",-,-,"-3,297,000",-,-,-,-,-,-,-,-,"7,096,000","7,096,000",-,-,-,"70,933,000","49,332,000","21,601,000",-,-,-,-,-,-,"-63,837,000","-2,303,000","-2,303,000",-,"1,898,000","1,898,000","2,348,000","-450,000",-,-,-,"-195,000",-,-,-,-,-,"-150,000",-,"-8,192,000",0,"1,966,000","-7,000",0,"-1,959,000",-,-,-,-,"2,348,000","-450,000",-,"-2,827,000"
111,9/30/1995,"-1,486,000","-1,486,000","477,000",-,-,-,-,-,-,-,-,-,-,"293,000",-,-,"-2,536,000",-,-,-,-,-,-,-,-,"-7,537,000","-7,537,000",-,-,-,"-7,942,000","-20,824,000","12,882,000",-,-,-,-,-,-,"405,000","8,371,000","8,371,000",-,"331,000","331,000","331,000",0,-,-,-,"40,000",-,-,-,-,-,"-125,000",-,"6,226,000",0,"-652,000","14,000",0,"638,000",-,-,-,-,"331,000",0,-,"-1,486,000"
112,6/30/1995,"-1,419,000","-1,419,000","453,000",-,-,-,-,-,-,-,-,-,-,"-146,000",-,-,"-1,726,000",-,-,-,-,-,-,-,-,"-2,021,000","-2,021,000",-,-,-,"1,939,000","-16,078,000","18,017,000",-,-,-,-,-,-,"-3,960,000","3,372,000","3,372,000",-,"-499,000","-499,000","291,000","-790,000",-,-,-,"45,000",-,-,-,-,-,"-136,000",-,"4,494,000",0,"-68,000","5,000",0,"63,000",-,-,-,-,"291,000","-790,000",-,"-1,419,000"
113,3/31/1995,"3,627,000","3,627,000","396,000",-,-,-,-,-,-,-,-,-,-,"185,000",-,-,"3,046,000",-,-,-,-,-,-,-,-,"-3,589,000","-3,589,000",-,-,-,"181,000","-13,108,000","13,289,000",-,-,-,-,-,-,"-3,770,000","-1,034,000","-1,034,000",-,"-287,000","-287,000","291,000","-578,000",-,-,-,"-148,000",-,-,-,-,-,"-137,000",-,"623,000",0,"-996,000","-17,000","8,832,000","-7,819,000",-,-,-,-,"291,000","-578,000",-,"3,627,000"
114,12/31/1994,"476,000","476,000","179,000",-,-,-,"101,000","101,000",-,-,-,-,-,"1,949,000",-,-,"-1,753,000",-,-,-,-,-,-,-,-,"-2,850,000","-2,850,000",-,-,-,"-1,701,000","-7,690,000","5,989,000",-,-,-,-,-,-,"-1,149,000","3,125,000","3,125,000",-,"-22,000","-567,000","80,000","-647,000","545,000",-,-,"205,000",-,-,"-196,000",-,-,"-137,000",-,"-270,000",0,"751,000","1,000",0,"-752,000",-,-,-,-,"80,000","-647,000",-,"476,000"
115,9/30/1994,"643,000","643,000","439,000",-,-,-,"130,000","130,000",-,-,-,-,-,"-294,000",-,-,"368,000",-,-,-,-,-,-,-,-,"-2,926,000","-2,926,000",-,-,-,"120,000","-3,659,000","3,779,000",-,-,-,-,-,-,"-3,046,000","915,000","915,000",-,"340,000","62,000","377,000","-315,000","278,000",-,-,"-298,000",-,-,"-420,000",-,-,"-127,000",-,"415,000",0,"-1,368,000","-15,000",0,"1,383,000",-,-,-,-,"377,000","-315,000",-,"643,000"
116,6/30/1994,"898,000","898,000","357,000",-,-,-,"57,000","57,000",-,-,-,-,-,"-876,000",-,-,"1,360,000",-,-,-,-,-,-,-,-,"-2,133,000","-2,133,000",-,-,-,"-458,000","-8,012,000","7,554,000",-,-,-,-,-,-,"-1,675,000","2,414,000","2,414,000",-,"3,893,000","-116,000","215,000","-331,000","4,009,000",-,-,"-53,000",-,-,-,-,-,"-129,000",-,"1,668,000",0,"1,179,000","-2,000",0,"-1,177,000",-,-,-,-,"215,000","-331,000",-,"898,000"
117,3/31/1994,"333,000","333,000","319,000",-,-,-,"89,000","89,000",-,-,-,-,-,"845,000",-,-,"-920,000",-,-,-,-,-,-,-,-,"799,000","799,000",-,-,-,"-2,223,000","-9,771,000","7,548,000",-,-,-,-,-,-,"3,022,000","320,000","320,000",-,"4,780,000","251,000","1,000,000","-749,000","4,529,000",-,-,"13,000",-,-,-,-,-,"-128,000",-,"-1,209,000",0,"1,452,000","-18,000","6,852,000","-8,286,000",-,-,-,-,"1,000,000","-749,000",-,"333,000"
118,12/31/1993,"-9,002,000","-9,002,000","347,000",-,-,-,"136,000","136,000",-,-,-,-,-,"-3,025,000",-,-,"-6,460,000",-,-,-,-,-,-,-,-,"4,029,000","4,029,000",-,-,-,"1,564,000","412,000","1,152,000",-,-,-,-,-,-,"2,465,000","4,499,000","4,499,000",-,"-1,551,000","-113,000","150,000","-263,000","-1,438,000",-,-,"414,000",-,-,"-603,000",-,-,"-121,000",-,"3,071,000",0,"-474,000","-9,000",0,"483,000",-,-,-,-,"150,000","-263,000",-,"-9,002,000"
119,9/30/1993,"17,000","17,000","502,000",-,-,-,"51,000","51,000",-,-,-,-,-,"4,617,000",-,-,"-5,153,000",-,-,-,-,-,-,-,-,"-1,623,000","-1,623,000",-,-,-,"-1,562,000","-2,863,000","1,301,000",-,-,-,-,-,-,"-61,000","1,263,000","1,263,000",-,"1,377,000","-132,000","690,000","-822,000","1,509,000",-,-,"14,000",-,-,0,-,-,"-121,000",-,"-883,000",0,"-343,000","28,000",0,"315,000",-,-,-,-,"690,000","-822,000",-,"17,000"
120,6/30/1993,"2,092,000","2,092,000","381,000",-,-,-,"77,000","77,000",-,-,-,-,-,"691,000",-,-,"943,000",-,-,-,-,-,-,-,-,"1,294,000","1,294,000",-,-,-,"-4,000","-1,417,000","1,413,000",-,-,-,-,-,-,"1,298,000","-3,183,000","-3,183,000",-,"-3,242,000","468,000","1,366,000","-898,000","-3,710,000",-,-,"-4,000",-,-,"-201,000",-,-,"-126,000",-,"-976,000",0,"203,000","7,000",0,"-210,000",-,-,-,-,"1,366,000","-898,000",-,"2,092,000"
121,3/31/1993,"-1,593,000","-1,593,000","339,000",-,-,-,"69,000","69,000",-,-,-,-,-,"-2,160,000",-,-,"159,000",-,-,-,-,-,-,-,-,"-3,270,000","-3,270,000",-,-,-,"-3,746,000","-5,000,000","1,254,000",-,-,-,-,-,-,"476,000","3,459,000","3,459,000",-,"7,915,000","929,000","1,245,000","-316,000","6,986,000",-,-,"167,000",-,-,"194,000",-,-,"-112,000",-,"-230,000",0,"-1,404,000","-2,000","8,846,000","-7,440,000",-,-,-,-,"1,245,000","-316,000",-,"-1,593,000"
122,12/31/1992,"2,364,000","2,364,000","304,000",-,-,-,"81,000","81,000",-,-,-,-,-,"891,000",-,-,"1,088,000",-,-,-,-,-,-,-,-,"-137,000","-137,000",-,-,-,"-1,031,000","-4,852,000","3,821,000",-,-,-,-,-,-,"894,000","470,000","470,000",-,"-3,136,000","191,000","251,000","-60,000","-3,327,000",-,-,"560,000",-,-,"-533,000",-,-,"-113,000",-,"-722,000",0,"2,697,000","-48,000",0,"-2,649,000",-,-,-,-,"251,000","-60,000",-,"2,364,000"
123,9/30/1992,"1,690,000","1,690,000","282,000",-,-,-,"74,000","74,000",-,-,-,-,-,"2,256,000",-,-,"-922,000",-,-,-,-,-,-,-,-,"696,000","696,000",-,-,-,"-873,000","-2,415,000","1,542,000",-,-,-,-,-,-,"1,569,000","-3,392,000","-3,392,000",-,"-803,000","249,000","415,000","-166,000","-1,052,000",-,-,"6,000",-,-,"-98,000",-,-,"-116,000",-,"647,000",0,"-1,006,000","22,000",0,"984,000",-,-,-,-,"415,000","-166,000",-,"1,690,000"
124,6/30/1992,"-916,000","-916,000","240,000",-,-,-,"82,000","82,000",-,-,-,-,-,"-1,238,000",-,-,0,-,-,-,-,-,-,-,-,"-3,327,000","-3,327,000",-,-,-,"-286,000","-2,251,000","1,965,000",-,-,-,-,-,-,"-3,041,000","5,534,000","5,534,000",-,"4,881,000","493,000","626,000","-133,000","4,388,000",-,-,"11,000",-,-,-,-,-,"-107,000",-,"385,000",0,"1,291,000","-13,000",0,"-1,278,000",-,-,-,-,"626,000","-133,000",-,"-916,000"
125,3/31/1992,"2,619,000","2,619,000","260,000",-,-,-,"82,000","82,000",-,-,-,-,-,"2,418,000",-,-,"-141,000",-,-,-,-,-,-,-,-,"-510,000","-510,000",-,-,-,"-3,067,000","-5,819,000","2,752,000",-,-,-,-,-,-,"2,557,000","-3,754,000","-3,754,000",-,"-4,286,000","172,000","362,000","-190,000","-4,458,000",-,-,"1,540,000",-,-,-,-,-,"-102,000",-,"-64,000",0,"-1,645,000","19,000","7,529,000","-5,903,000",-,-,-,-,"362,000","-190,000",-,"2,619,000"
126,12/31/1991,"-1,384,000","-1,384,000","-158,600",-,-,-,"39,000","39,000",-,-,-,-,-,"-1,380,400",-,-,"116,000",-,-,-,-,-,-,-,-,"660,000","660,000",-,-,-,"978,000","-7,959,000","8,937,000",-,-,-,-,-,-,"-318,000","966,000","966,000",-,"815,000","85,000","597,000","-512,000","730,000",-,-,"282,000",-,-,-,-,-,"-272,000",-,"-410,000",0,"242,000","-4,000",0,"-2,460,000",-,-,-,-,"597,000","-512,000",-,"-1,384,000"
127,9/30/1991,"1,631,000","1,631,000","131,600",-,-,-,"46,000","46,000",-,-,-,-,-,"1,488,400",-,-,"-35,000",-,-,-,-,-,-,-,-,"-267,000","-267,000",-,-,-,"-1,352,000","-2,667,000","1,315,000",-,-,-,-,-,-,"1,085,000","-544,000","-544,000",-,"-2,384,000","-211,000","1,000","-212,000","-2,173,000",-,-,"3,000",-,-,-,-,-,"-20,000",-,"-588,000",0,"820,000",-,0,"-816,000",-,-,-,-,"1,000","-212,000",-,"1,631,000"
128,6/30/1991,"674,000","674,000","94,000",-,-,-,"50,000","50,000",-,-,-,-,-,"552,000",-,-,"-22,000",-,-,-,-,-,-,-,-,"-1,388,000","-1,388,000",-,-,-,"-614,000","-1,655,000","1,041,000",-,-,-,-,-,-,"-774,000","1,695,000","1,695,000",-,"1,208,000","122,000","241,000","-119,000","1,086,000",-,-,"3,000",-,-,-,-,-,"-69,000",-,"-64,000",0,"981,000",-,0,"-978,000",-,-,-,-,"241,000","-119,000",-,"674,000"
129,3/31/1991,"-784,000","-784,000","87,000",-,-,-,"57,000","57,000",-,-,-,-,-,"-817,000",-,-,"-111,000",-,-,-,-,-,-,-,-,"-973,000","-973,000",-,-,-,"-232,000","-1,030,000","798,000",-,-,-,-,-,-,"-741,000","-165,000","-165,000",-,"699,000","-24,000","41,000","-65,000","723,000",-,-,"3,000",-,-,-,-,-,"-44,000",-,"-159,000",0,"-1,922,000","3,000","5,194,000","-3,275,000",-,-,-,-,"41,000","-65,000",-,"-784,000"
130,12/31/1990,"196,000","196,000","70,100",-,-,-,"60,000","60,000",-,-,-,-,-,"-273,100",-,-,"339,000",-,-,-,-,-,-,-,-,"1,409,000","1,409,000",-,-,-,"631,000","-932,000","1,563,000",-,-,-,-,-,-,"778,000","-999,000","-999,000",-,"161,000","-1,000",0,"-1,000","162,000",-,-,"5,000",-,-,-,-,-,"-88,000",-,"224,000",0,"606,000","19,000",0,"-625,000",-,-,-,-,0,"-1,000",-,"196,000"
