,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Restricted Cash And Investments,Restricted Investments,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Funds Sold,Security Borrowed,Customer Acceptances,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Net PPE,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Payables And Accrued Expenses,Payables,Accounts Payable,Other Payable,Current Debt And Capital Lease Obligation,Current Debt,Commercial Paper,Other Current Borrowings,Trading Liabilities,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
10,12/31/2012,"2,359,141,000","471,833,000","175,537,000","53,723,000",-,"121,814,000",-,-,"296,296,000","296,296,000",-,"119,017,000",-,"746,197,000","375,045,000","371,152,000","8,000","375,045,000",-,"74,983,000","711,860,000","733,796,000","6,961,000","325,105,000","210,563,000","191,167,000","18,883,000","21,936,000",-,"135,916,000","60,933,000",-,"74,983,000","14,519,000","58,024,000","48,175,000","9,849,000","101,775,000","2,155,072,000","1,193,593,000","795,428,000","795,428,000","398,165,000","240,103,000","265,896,000","265,896,000","195,240,000","70,656,000","55,367,000","55,367,000","55,367,000","82,003,000","61,262,000","70,656,000","336,922,000","336,922,000","42,045,000","63,191,000","204,069,000","204,069,000","13,163,000","9,058,000","4,105,000","104,223,000","94,604,000","12,002,000","4,102,000","-21,000",-,"540,991,000","9,058,000","195,011,000","146,045,000","587,300,000","136,987,000","392,289,000","216,752,000","4,104,934","3,803,952",905.75,"300,982"
11,12/31/2011,"2,265,792,000","380,195,000","144,881,000","59,602,000",-,"85,279,000",-,-,"235,314,000","235,314,000",-,"142,462,000",-,"716,279,000","351,486,000","364,793,000","13,000","364,781,000",-,-,"696,111,000","723,720,000","4,723,000","296,047,000","216,437,000","206,513,000","17,652,000","27,609,000",-,"153,955,000","61,478,000",-,"92,477,000","14,041,000","58,618,000","48,188,000","10,430,000","104,131,000","2,082,219,000","1,127,806,000","762,346,000","762,346,000","365,460,000","213,532,000","277,872,000","277,872,000","202,895,000","74,977,000","51,631,000","51,631,000","51,631,000",-,"141,695,000",-,"345,401,000","345,401,000","17,823,000","65,977,000","183,573,000","183,573,000","11,905,000","7,800,000","4,105,000","88,315,000","95,602,000","13,155,000","944,000","-38,000",-,"528,974,000","7,800,000","175,773,000","124,955,000","572,805,000","117,155,000","397,032,000","252,151,000","4,104,934","3,772,691","72,000","332,243"
12,12/31/2010,"2,117,605,000","271,794,000","49,240,000","27,567,000",-,"21,673,000",-,-,"222,554,000","222,554,000","222,554,000","123,587,000",-,"725,747,000","409,411,000","316,336,000","20,000","316,318,000",-,-,"660,661,000","692,927,000","7,429,000","222,510,000","249,713,000","213,275,000","16,812,000","32,266,000",-,"150,628,000","70,147,000",-,"80,481,000","13,355,000","66,542,000","48,854,000","17,688,000","105,291,000","1,941,499,000","930,369,000","677,192,000","677,192,000","253,177,000","276,644,000","239,549,000","239,549,000","170,330,000","69,219,000","35,363,000","35,363,000","35,363,000",-,"146,166,000",-,"381,925,000","381,925,000","25,234,000","77,649,000","176,106,000","176,106,000","11,905,000","7,800,000","4,105,000","73,998,000","97,415,000","8,160,000","1,001,000","-53,000",-,"558,031,000","7,800,000","168,306,000","109,564,000","585,594,000","101,764,000","417,288,000","368,048,000","4,104,934","3,910,294","72,000","194,640"
13,12/31/2009,"2,031,989,000","284,840,000","89,436,000","26,206,000",-,"63,230,000",-,-,"195,404,000","195,404,000","195,404,000","119,630,000",-,"691,308,000","330,918,000","360,390,000","27,000","360,365,000",-,-,"601,856,000","633,458,000","6,240,000","204,175,000","394,169,000","233,049,000","633,458,000","31,602,000",-,"147,637,000","67,427,000","67,427,000","80,210,000","11,118,000","68,509,000","48,357,000","20,152,000","107,091,000","1,866,624,000","938,367,000","726,282,000","726,282,000","212,085,000","261,413,000","222,821,000","222,821,000","162,696,000","60,125,000","41,794,000","41,794,000","41,794,000",0,"125,071,000",-,"387,004,000","387,004,000","27,847,000","15,225,000","165,365,000","165,365,000","12,257,000","8,152,000","4,105,000","62,481,000","97,982,000","7,196,000","-91,000","-68,000",-,"552,369,000","8,152,000","157,213,000","96,856,000","586,011,000","88,704,000","428,798,000","339,362,000","4,104,934","3,941,959","2,538","162,975"
14,12/31/2008,"2,175,052,000","368,149,000","165,034,000","26,895,000","26,895,000","138,139,000",-,-,"203,115,000","203,115,000",-,"124,000,000",-,"553,300,000","347,357,000","205,943,000","35,000","205,909,000",-,-,"721,734,000","744,898,000","2,028,000","262,044,000","223,547,000","259,307,000","31,802,000","23,164,000",-,"223,613,000","60,987,000","60,987,000","162,626,000","10,045,000","63,011,000","48,027,000","14,984,000","111,200,000","2,008,168,000","1,009,277,000","790,681,000","790,681,000","218,596,000","192,546,000","309,582,000","309,582,000","187,978,000","121,604,000","37,845,000","37,845,000","37,845,000","58,592,000","45,274,000",-,"448,357,000","448,357,000","22,787,000","10,561,000","166,884,000","166,884,000","35,881,000","31,939,000","3,942,000","54,013,000","92,143,000","9,249,000","-5,687,000","-217,000","10,561,000","615,241,000","31,939,000","134,945,000","103,873,000","621,147,000","71,934,000","486,202,000","321,168,000","3,935,780","3,726,947","5,038","208,833"
15,12/31/2007,"1,562,147,000","222,507,000","51,610,000","40,144,000","40,144,000","11,466,000",-,-,"170,897,000","170,897,000",-,"84,184,000",-,"497,631,000","412,180,000","169,634,000","45,000","85,406,000",-,-,"510,140,000","519,374,000",-,"213,076,000","155,435,000","150,863,000","519,374,000","9,234,000",-,"24,823,000","24,823,000","24,823,000","77,136,000","9,319,000","60,001,000","45,270,000","14,731,000","153,542,000","1,438,926,000","740,728,000","604,980,000","604,980,000","135,748,000","154,398,000","163,181,000","163,181,000","94,476,000","68,705,000","49,596,000","49,596,000","49,596,000","49,596,000","89,162,000",-,"227,845,000","227,845,000",-,"14,016,000","123,221,000","123,221,000","3,658,000",-,"3,658,000","54,715,000","78,597,000","12,832,000","-917,000",-,"14,016,000","351,066,000",-,"123,221,000","63,220,000","400,662,000","63,220,000","277,441,000","225,831,000","3,367,383","3,367,383",-,-
16,12/31/2006,"1,351,520,000","194,483,000","53,959,000","40,412,000","40,412,000","13,547,000","39,571,000","39,571,000","140,524,000","140,524,000",-,"73,688,000",-,"335,668,000","283,264,000","172,022,000","58,000","52,346,000","6,359,000",-,"475,848,000","483,127,000",-,"183,742,000","153,987,000","145,398,000","483,127,000","7,279,000",-,"22,891,000","22,891,000","22,891,000","55,601,000","8,735,000","60,038,000","45,186,000","14,852,000","173,810,000","1,235,730,000","638,788,000","498,345,000","498,345,000","140,443,000","162,173,000","145,565,000","145,565,000","88,096,000","57,469,000","18,849,000","18,849,000","18,849,000","18,849,000","90,488,000",-,"163,683,000","163,683,000",-,"16,184,000","115,790,000","115,790,000","3,658,000",0,"3,658,000","43,600,000","77,807,000","7,718,000","-1,557,000",-,"16,184,000","279,473,000",-,"115,790,000","55,752,000","298,322,000","55,752,000","182,532,000","128,573,000","3,461,684","3,461,684",-,-
17,12/31/2005,"1,198,942,000","192,312,000","58,331,000",-,"36,670,000","21,661,000",-,-,"133,981,000","133,981,000",-,-,-,"426,955,000","298,377,000","128,578,000",-,-,-,-,"412,058,000","419,148,000",-,-,-,-,"419,148,000","7,090,000",-,"52,161,000","22,421,000","22,421,000","29,740,000","9,081,000","58,180,000",-,-,"48,195,000","1,049,534,000","554,991,000","411,916,000","411,916,000","143,075,000","125,925,000","78,460,000","78,460,000",-,-,"13,863,000","13,863,000",-,"13,863,000",-,-,"119,886,000","119,886,000",-,"156,409,000","149,408,000","107,211,000","3,757,000","139,000","3,618,000","33,848,000","74,994,000","4,762,000","-626,000",-,"42,197,000","227,097,000","139,000","107,072,000","49,031,000","240,821,000","48,892,000","133,749,000","75,418,000","3,486,689","3,486,689",-,-
18,12/31/2004,"1,157,248,000","158,202,000","56,848,000",-,"35,168,000","21,680,000",-,-,"101,354,000","101,354,000",-,-,-,"438,490,000","288,814,000","149,676,000",-,-,-,-,"394,794,000","402,114,000",-,-,-,-,"402,114,000","7,320,000",-,"53,131,000","21,409,000","21,409,000","31,722,000","9,145,000","57,887,000",-,-,"45,599,000","1,003,534,000","521,456,000","385,268,000","385,268,000","136,188,000","127,787,000","75,722,000","75,722,000",-,-,"21,644,000","21,644,000",-,"21,644,000",-,-,"105,718,000","105,718,000",-,"151,207,000","153,714,000","105,653,000","3,924,000","339,000","3,585,000","30,209,000","72,801,000","1,073,000","-208,000",-,"48,061,000","211,371,000","339,000","105,314,000","47,766,000","232,676,000","47,427,000","127,362,000","70,514,000","3,556,191","3,556,191",-,-
19,12/31/2003,"770,912,000","107,311,000","30,443,000",-,"20,268,000","10,175,000",-,-,"76,868,000","76,868,000",-,-,-,"362,199,000","252,871,000","109,328,000",-,-,-,-,"214,995,000","220,808,000",-,-,-,-,"220,808,000","4,523,000","-1,290,000","12,356,000","12,356,000","12,356,000",-,"6,487,000","14,991,000",-,-,"52,573,000","712,463,000","326,491,000","247,026,000","247,026,000","79,465,000","113,466,000","45,066,000","45,066,000",-,-,"23,209,000","23,209,000",-,"23,209,000",-,-,"54,782,000","54,782,000",-,"149,449,000","58,449,000","46,154,000","3,053,000","1,009,000","2,044,000","29,681,000","13,512,000","62,000","-30,000",-,"12,295,000","100,936,000","1,009,000","45,145,000","31,163,000","123,136,000","30,154,000","77,991,000","47,548,000","2,042,620","2,042,620",-,-
20,12/31/2002,"758,800,000","93,969,000","28,160,000",-,"19,218,000","8,942,000",-,-,"65,809,000","65,809,000",-,-,-,"375,135,000","248,301,000","126,834,000",-,-,-,-,"211,014,000","218,254,000",-,-,-,-,"218,254,000","5,350,000","-1,890,000","14,137,000","14,137,000","14,137,000",-,"6,829,000","12,902,000",-,-,"44,814,000","716,494,000","304,753,000","222,724,000","222,724,000","82,029,000","169,483,000","38,440,000","38,440,000",-,-,"25,537,000","25,537,000",-,"25,537,000",-,-,"45,190,000","45,190,000",-,"133,091,000","42,306,000","42,306,000","3,033,000","1,009,000","2,024,000","25,851,000","13,222,000","1,027,000","1,227,000",-,-,"87,496,000","1,009,000","41,297,000","29,404,000","112,024,000","28,395,000","70,727,000","42,567,000","1,998,707","1,998,707",-,-
21,12/31/2001,"693,575,000","99,070,000","35,343,000",-,"22,600,000","12,743,000",-,-,"63,727,000","63,727,000",-,-,-,"294,942,000","189,405,000","105,537,000",-,-,-,-,"212,920,000","219,269,000",-,-,-,-,"219,269,000","4,524,000","-1,825,000","14,799,000","14,799,000","14,799,000",-,"6,292,000","15,347,000",-,-,"50,205,000","651,926,000","293,650,000","216,676,000","216,676,000","76,974,000","128,445,000","47,813,000","47,813,000",-,-,"29,345,000","29,345,000",-,"29,345,000",-,-,"43,622,000","43,622,000",-,"109,051,000","41,649,000","41,099,000","3,006,000","1,009,000","1,997,000","26,993,000","12,495,000","953,000","-442,000",-,"550,000","84,721,000","1,009,000","40,090,000","25,752,000","113,057,000","24,743,000","72,967,000","37,624,000","1,973,383","1,973,383",-,-
22,12/31/2000,"715,348,000","101,779,000","32,305,000",-,"23,972,000","8,333,000",-,-,"69,474,000","69,474,000",-,-,-,"333,116,000","215,622,000","117,494,000",-,-,-,-,"212,385,000","217,621,000",-,-,-,-,"217,621,000","3,665,000","-1,571,000","20,618,000","20,618,000","20,618,000",-,"7,087,000","15,833,000",-,-,"24,530,000","672,460,000","279,365,000","216,652,000","216,652,000","62,713,000","131,738,000","40,754,000","40,754,000",-,-,"44,691,000","44,691,000",-,"44,691,000",-,-,"47,238,000","47,238,000",-,"128,674,000","42,888,000","42,338,000","3,460,000","1,520,000","1,940,000","28,096,000","11,598,000","575,000","-241,000",-,"550,000","89,576,000","1,520,000","40,818,000","26,505,000","132,747,000","24,985,000","91,929,000","59,624,000","1,928,490","1,928,490",-,-
23,12/31/1999,"406,105,000","68,128,000","44,305,000",-,"16,229,000","28,076,000",-,-,"23,823,000","23,823,000",-,-,"622,000","124,782,000","63,269,000","61,513,000",-,-,-,-,"172,702,000","177,677,000",-,-,-,-,"177,677,000","3,457,000","-1,518,000","2,505,000","2,505,000","2,505,000",-,"4,439,000",-,-,-,"32,927,000","381,938,000","241,745,000","186,216,000","186,216,000","55,529,000","50,148,000","17,056,000","17,056,000",-,-,"13,654,000","13,654,000",-,"13,654,000",-,-,"20,140,000","20,140,000",-,"39,195,000","24,167,000","23,617,000","1,810,000","928,000","882,000","17,547,000","9,714,000","4,000,000","-1,454,000",-,"550,000","43,757,000","928,000","22,689,000","23,617,000","56,483,000","22,689,000","33,794,000",-,"1,240,756","1,240,756",-,-
24,12/31/1998,"365,875,000","42,767,000","24,280,000",-,"17,068,000","7,212,000",-,-,"18,487,000","18,487,000",-,-,"1,223,000","122,182,000","57,692,000","64,490,000",-,-,-,-,"169,202,000","174,421,000",-,-,-,-,"174,421,000","3,552,000","-1,667,000","2,316,000","2,316,000","2,316,000",-,"4,055,000",-,-,-,"24,130,000","341,487,000","212,437,000","160,814,000","160,814,000","51,623,000","41,632,000","14,291,000","14,291,000",-,-,"15,027,000","15,027,000",-,"15,027,000",-,-,"18,375,000","18,375,000",-,"39,725,000","24,388,000","23,838,000","1,028,000","1,028,000",-,"13,544,000",-,-,"392,000","8,874,000","550,000","42,213,000","1,028,000","22,810,000","23,838,000","56,212,000","22,810,000","33,402,000","9,122,000","1,271,978","1,271,978",-,-
25,12/31/1997,"365,521,000","49,518,000","18,590,000",-,"15,704,000","2,886,000",-,-,"30,928,000","30,928,000",-,-,"1,719,000","125,131,000","72,393,000","52,738,000",-,-,-,-,"164,830,000","170,066,000",-,-,-,-,"170,066,000","3,624,000","-1,612,000","3,359,000","3,359,000","3,359,000",-,"3,780,000",-,-,-,"17,184,000","343,229,000","193,688,000","143,880,000","143,880,000","49,808,000","56,126,000","12,526,000","12,526,000",-,-,"11,605,000","11,605,000",-,"11,605,000",-,-,"15,127,000","15,127,000",-,"54,157,000","22,292,000","21,742,000","1,740,000","1,740,000",-,"11,103,000",-,-,"95,000","8,804,000","550,000","36,869,000","1,740,000","20,002,000","21,742,000","46,734,000","20,002,000","26,732,000","8,142,000","1,262,892","1,262,892",-,-
26,12/31/1996,"336,099,000","51,915,000","22,949,000",-,"14,605,000","8,344,000",-,-,"28,966,000","28,966,000",-,-,"2,276,000","108,502,000","59,956,000","48,546,000",-,-,-,-,"151,543,000","156,465,000",-,-,-,-,"156,465,000","3,549,000","-1,373,000","3,020,000","3,020,000","3,020,000",-,"3,642,000",-,-,-,"15,201,000","314,555,000","180,921,000","133,864,000","133,864,000","47,057,000","53,868,000","12,309,000","12,309,000",-,-,"13,731,000","13,731,000",-,"13,731,000",-,-,"13,314,000","13,314,000",-,"40,412,000","21,544,000","21,544,000","3,200,000","3,200,000",-,"8,627,000",-,-,"-288,000","10,005,000",-,"34,858,000","3,200,000","18,344,000","21,544,000","45,389,000","18,344,000","27,045,000","4,096,000","1,292,433","1,292,433",-,-
