,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Sale of Business,Gain Loss On Investment Securities,Earnings Losses from Equity Investments,Realized Gain Loss On Sale of Loans And Lease,Depreciation Amortization Depletion,Depreciation & amortization,Depreciation,Amortization,Amortization of Intangibles,Deferred Tax,Deferred Income Tax,Other non-cash items,Stock based compensation,Provision for Loan Lease And Other Losses,Change in working capital,Change in Receivables,Changes in Account Receivables,Change in Payables And Accrued Expense,Change in Payable,Change in Account Payable,Change in Other Current Assets,Change in Other Current Liabilities,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Proceeds Payment Federal Funds Sold And Securities Purchased Under Agreement To Resell,Proceeds Payment in Interest Bearing Deposits in Bank,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Net Business Purchase And Sale,Purchase of Business,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Change in Federal Funds And Securities Sold for Repurchase,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Net Other Financing Charges,End Cash Position,Changes in Cash,Effect of Exchange Rate Changes,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
10,12/31/2013,"107,953,000","107,953,000","17,923,000","-667,000",-,"-667,000",-,-,"5,306,000","5,306,000","4,669,000","637,000","637,000","8,003,000","8,003,000","-4,399,000","2,219,000","225,000","79,343,000","-2,340,000","-2,340,000","-5,743,000","-5,743,000","-5,743,000","526,000",-,"86,900,000","-150,501,000","-150,501,000","47,726,000","-194,363,000","8,652,000","-154,480,000","163,132,000","-11,688,000","12,033,000","-23,721,000",-,"-149,000",-,"-679,000","28,324,000","28,324,000","-58,867,000","25,833,000","23,049,000","83,546,000","-60,497,000","2,784,000","2,784,000",-,"-4,789,000",-,"-4,789,000","2,073,000","3,873,000","-1,800,000","-6,056,000","-6,056,000","-11,346,000","39,771,000","-14,224,000","272,000","53,723,000",-,"3,502,000","9,573,000",-,"3,873,000","86,330,000","-60,497,000","-6,589,000","107,953,000"
11,12/31/2012,"25,079,000","25,079,000","21,284,000","-2,110,000",-,"-2,110,000",-,-,"5,147,000","5,147,000","4,190,000","957,000","957,000","1,130,000","1,130,000","-4,437,000","2,545,000","3,385,000","-1,865,000","1,732,000","1,732,000","-13,069,000","-13,069,000","-13,069,000","-4,683,000",-,"14,155,000","-119,825,000","-119,825,000","-60,821,000","-36,595,000","4,964,000","-189,630,000","194,594,000","-24,061,000","6,430,000","-30,491,000",-,"88,000",-,"-3,400,000","87,707,000","87,707,000","26,546,000","-887,000","-10,202,000","86,271,000","-96,473,000","9,315,000","9,315,000",-,"-1,653,000",-,"-1,653,000","1,234,000","1,234,000",0,"-5,194,000","-5,194,000","411,000","53,723,000","-7,039,000","1,160,000","59,602,000",-,"2,050,000","11,161,000",-,"1,234,000","95,586,000","-96,473,000","-1,653,000","25,079,000"
12,12/31/2011,"95,932,000","95,932,000","18,976,000","-1,593,000",-,"-1,593,000",-,"1,531,000","5,105,000","5,105,000","4,257,000","848,000","848,000","1,693,000","1,693,000","7,688,000","2,675,000","7,574,000","53,814,000","8,655,000","8,655,000","35,203,000","35,203,000","35,203,000","-15,456,000","7,905,000","25,412,000","-170,752,000","-170,752,000","-12,490,000","-63,592,000","-46,822,000","-202,309,000","155,487,000","-47,887,000","10,478,000","-58,365,000",-,"102,000",-,"-63,000","107,706,000","107,706,000","-63,116,000","-20,004,000","-27,234,000","54,844,000","-82,078,000","7,230,000","7,230,000",-,"-8,863,000",0,"-8,863,000",0,-,0,"-3,895,000",-,"164,000","59,602,000","32,886,000","-851,000","27,567,000",-,"8,153,000","13,725,000",-,0,"62,074,000","-82,078,000","-8,863,000","95,932,000"
13,12/31/2010,"-3,752,000","-3,752,000","17,370,000","-2,965,000",-,"-2,965,000",-,"3,070,000","4,965,000","4,965,000","4,029,000","936,000","936,000","-968,000","-968,000","9,304,000","3,251,000","16,639,000","-51,348,000","443,000","443,000","17,325,000","17,325,000","17,325,000","-12,452,000","19,344,000","-56,664,000","54,002,000","54,002,000","-26,957,000","41,625,000","31,860,000","-179,487,000","211,347,000","12,498,000","12,498,000",-,-,"-4,910,000","-4,910,000","-114,000","-49,217,000","-49,217,000","15,202,000","-50,731,000","-43,862,000","55,181,000","-99,043,000","-6,869,000",-,"-6,869,000","-2,999,000",0,"-2,999,000","-352,000",0,"-352,000","-1,486,000",-,"786,000","27,567,000","1,033,000","328,000","26,206,000",-,"9,747,000","12,404,000",-,0,"55,181,000","-105,912,000","-3,351,000","-3,752,000"
14,12/31/2009,"121,897,000","121,897,000","11,728,000","-1,110,000",-,"-1,110,000",-,"11,485,000","3,833,000","3,833,000","2,783,000","1,050,000","1,050,000","-3,622,000","-3,622,000","17,652,000","3,355,000","32,015,000","58,046,000","-6,312,000","-6,312,000","-26,450,000","-26,450,000","-26,450,000","32,182,000","-79,314,000","58,626,000","29,355,000","29,355,000","7,082,000","74,829,000","-144,610,000","-346,372,000","201,762,000","81,685,000","81,685,000",-,-,"-97,000","-97,000","10,466,000","-152,179,000","-152,179,000","67,785,000","-81,116,000","-4,389,000","51,324,000","-55,713,000","-76,727,000",-,"-76,727,000","5,756,000","5,756,000",0,"-25,000,000",0,"-25,000,000","-3,422,000",-,"-8,482,000","26,206,000","-927,000","238,000","26,895,000",-,"5,434,000","16,875,000",-,"5,756,000","51,324,000","-132,440,000","-25,000,000","121,897,000"
15,12/31/2008,"23,098,000","23,098,000","5,605,000","-3,299,000","-199,000","-1,560,000",-,-,"4,406,000","4,406,000","3,143,000","1,263,000","1,263,000","-2,637,000","-2,637,000","-8,879,000","2,637,000","20,979,000","4,286,000","10,221,000","10,221,000","1,012,000","1,012,000","1,012,000","-33,629,000",-,"26,682,000","-286,346,000","-286,346,000","-44,597,000","-118,929,000","-107,369,000","-248,599,000","141,230,000","-31,592,000","27,531,000","-59,123,000","17,622,000","2,128,000",-,"14,013,000","250,506,000","250,506,000","15,250,000","18,902,000","9,716,000","72,407,000","-62,691,000","9,186,000","9,186,000",-,"11,969,000","11,969,000",0,"32,746,000","32,746,000",0,"-5,911,000",-,"219,000","26,895,000","-12,742,000","-507,000","40,144,000",-,"2,280,000","37,267,000",-,"44,715,000","81,593,000","-62,691,000",0,"23,098,000"
16,12/31/2007,"-110,560,000","-110,560,000","15,365,000","-164,000",0,"-164,000",-,-,"3,821,000","3,821,000","2,427,000","1,394,000","1,394,000","1,307,000","1,307,000","-1,447,000","2,025,000","6,864,000","-138,331,000","-1,932,000","-1,932,000","4,284,000","4,284,000","4,284,000","-21,628,000",-,"-119,055,000","-73,118,000","-73,118,000","-29,814,000","2,081,000","7,100,000","-122,507,000","129,607,000","-48,512,000","34,925,000","-83,437,000",-,"-70,000",-,"-3,903,000","182,986,000","182,986,000","-7,833,000","87,143,000","45,731,000","95,141,000","-49,410,000","41,412,000","41,412,000",-,"-6,711,000","1,467,000","-8,178,000",0,-,0,"-5,051,000",-,"1,926,000","40,144,000","-692,000","424,000","40,412,000",-,"7,472,000","43,472,000",-,"1,467,000","136,553,000","-49,410,000","-8,178,000","-110,560,000"
17,12/31/2006,"-49,579,000","-49,579,000","14,444,000","-997,000","-1,136,000","543,000","-404,000",-,"3,577,000","3,577,000","2,149,000","1,428,000","1,428,000","-1,810,000","-1,810,000","-4,599,000","2,368,000","3,270,000","-65,832,000","-1,170,000","-1,170,000","7,815,000","7,815,000","7,815,000","-7,208,000",-,"-65,269,000","-99,627,000","-99,627,000","-6,939,000","8,168,000","-52,852,000","-201,530,000","148,678,000","-50,028,000","20,809,000","-70,837,000",-,"185,000",-,"1,839,000","152,749,000","152,749,000","36,248,000","35,111,000","22,454,000","56,721,000","-34,267,000","12,657,000","12,657,000",-,"-2,279,000","1,659,000","-3,938,000","-139,000",-,"-139,000","-4,846,000",-,"6,549,000","40,412,000","3,543,000","199,000","36,670,000",-,"5,563,000","36,415,000",-,"1,659,000","69,378,000","-34,267,000","-4,077,000","-49,579,000"
18,12/31/2005,"-24,227,000","-24,227,000","8,483,000","82,000",-,"1,336,000",-,-,"4,318,000","4,318,000",-,-,-,"-1,791,000","-1,791,000","3,538,000",-,-,"-38,857,000",-,-,-,-,-,-,-,-,"-18,953,000","-18,953,000",-,-,"-230,000","-114,218,000","113,988,000",-,-,-,-,"-1,039,000",-,"-17,684,000","45,069,000","45,069,000",-,"17,594,000","16,838,000","43,721,000","-26,883,000","756,000",-,-,"-2,930,000",-,-,-,-,-,"-4,878,000",-,"3,868,000","36,670,000","1,889,000","-387,000","35,168,000",-,-,-,-,-,"43,721,000","-26,883,000",-,"-24,227,000"
19,12/31/2004,"-21,805,000","-21,805,000","4,466,000","-1,104,000",-,"-1,104,000",-,-,"3,835,000","3,835,000",-,-,-,"-827,000","-827,000","2,282,000",-,-,"-30,457,000",-,-,-,-,-,-,-,-,"-23,076,000","-23,076,000",-,-,"-7,115,000","-186,846,000","179,731,000",-,-,-,-,-,-,"-15,961,000","59,596,000","59,596,000",-,"12,027,000","9,305,000","25,344,000","-16,039,000","2,722,000",-,-,"-560,000",-,-,-,-,-,"-3,927,000",-,"-26,000","35,168,000","14,715,000","185,000","20,268,000",-,-,-,-,-,"25,344,000","-16,039,000",-,"-21,805,000"
