,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Restricted Cash And Investments,Restricted Investments,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Funds Sold,Security Borrowed,Customer Acceptances,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Net PPE,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Payables And Accrued Expenses,Payables,Accounts Payable,Other Payable,Current Debt And Capital Lease Obligation,Current Debt,Commercial Paper,Other Current Borrowings,Trading Liabilities,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Preferred Securities Outside Stock Equity,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Foreign Currency Translation Adjustments,Other Equity Adjustments,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
14,9/30/2019,"2,764,661,000","513,988,000","256,597,000","21,215,000",-,"235,382,000","12,518,000","12,518,000","257,391,000","257,391,000",-,"138,336,000",-,"834,549,000","440,298,000","394,251,000","40,830,000","440,298,000",-,"55,577,000","931,983,000","945,218,000","16,331,000","437,507,000","491,380,000","236,124,000","26,699,000","13,235,000",-,"144,565,000","88,988,000",-,"55,577,000","25,117,000","53,078,000","47,818,000","5,260,000","123,045,000","2,500,313,000","1,525,261,000","1,110,284,000","1,110,284,000","414,977,000","247,766,000","272,853,000","272,853,000","225,063,000","47,790,000","48,893,000","48,893,000","19,620,000","48,893,000","90,553,000","47,790,000","387,025,000","387,025,000","29,642,000",-,"18,515,000","264,348,000","264,348,000","32,468,000","28,363,000","4,105,000","217,888,000","88,512,000","76,299,000","1,800,000",-,-,"-21,000",-,"651,373,000","28,363,000","235,985,000","211,270,000","671,903,000","182,907,000","435,918,000","179,321,000","4,104,934","3,136,485","338,050","968,449"
15,6/30/2019,"2,727,379,000","535,902,000","268,038,000","23,164,000",-,"244,874,000","10,654,000","10,654,000","267,864,000","267,864,000",-,"130,661,000",-,"777,759,000","470,495,000","307,264,000","30,907,000","470,495,000",-,"52,878,000","943,723,000","956,889,000","9,161,000","438,468,000","509,260,000","255,110,000","26,616,000","13,166,000",-,"141,277,000","88,399,000",-,"52,878,000","24,665,000","53,302,000","47,477,000","5,825,000","120,090,000","2,464,492,000","1,524,361,000","1,109,705,000","1,109,705,000","414,656,000","201,683,000","257,944,000","257,944,000","216,465,000","41,479,000","59,890,000","59,890,000","25,268,000","59,890,000","106,160,000","41,479,000","395,029,000","395,029,000","29,649,000",-,"25,585,000","262,887,000","262,887,000","31,098,000","26,993,000","4,105,000","212,093,000","88,359,000","69,428,000","786,000",-,-,"-21,000",-,"657,916,000","26,993,000","235,894,000","209,585,000","690,813,000","182,592,000","454,919,000","186,881,000","4,104,934","3,197,485","373,250","907,449"
16,3/31/2019,"2,737,188,000","601,744,000","302,604,000","21,946,000",-,"280,658,000","10,516,000","10,516,000","299,140,000","299,140,000",-,"123,186,000",-,"750,434,000","483,069,000","267,365,000","30,849,000","483,069,000",-,"50,333,000","942,712,000","956,245,000","12,404,000","433,611,000","510,230,000","262,252,000","26,492,000","13,533,000",-,"122,573,000","72,240,000",-,"50,333,000","24,160,000","54,168,000","47,474,000","6,694,000","118,211,000","2,477,351,000","1,493,441,000","1,111,614,000","1,111,614,000","381,827,000","222,677,000","255,176,000","255,176,000","216,173,000","39,003,000","71,305,000","71,305,000","26,563,000","71,305,000","117,904,000","39,003,000","408,797,000","408,797,000","42,453,000",-,"25,955,000","259,837,000","259,837,000","31,098,000","26,993,000","4,105,000","205,437,000","88,170,000","64,289,000","-558,000",-,-,"-21,000",-,"668,634,000","26,993,000","232,844,000","205,669,000","712,946,000","178,676,000","480,102,000","177,498,000","4,104,934","3,243,973","373,250","860,961"
17,12/31/2018,"2,622,532,000","600,381,000","278,793,000","22,324,000",-,"256,469,000",-,-,"321,588,000","321,588,000",-,"111,995,000",-,"621,329,000","359,501,000","261,828,000","31,434,000","359,501,000",-,"54,213,000","971,109,000","984,554,000","15,139,000","439,162,000","530,253,000","275,016,000","26,612,000","13,445,000",-,"127,413,000","73,200,000",-,"54,213,000","14,934,000","54,349,000","47,471,000","6,878,000","121,022,000","2,366,017,000","1,470,666,000","1,082,069,000","1,082,069,000","388,597,000","182,320,000","238,479,000","238,479,000","196,710,000","41,769,000","69,276,000","69,276,000","30,059,000","69,276,000","103,004,000","41,769,000","385,035,000","385,035,000","44,455,000",-,"20,241,000","256,515,000","256,515,000","30,173,000","26,068,000","4,105,000","199,202,000","89,162,000","60,494,000","-1,507,000",-,-,"-21,000",-,"641,550,000","26,068,000","230,447,000","202,166,000","684,758,000","176,098,000","454,311,000","175,518,000","4,104,934","3,275,766","336,250","829,168"
18,9/30/2018,"2,615,183,000","636,729,000","419,097,000","23,225,000",-,"395,872,000","10,534,000","10,534,000","217,632,000","217,632,000",-,"122,434,000",-,"591,163,000","359,765,000","231,398,000",-,"200,030,000",-,"60,062,000","941,190,000","954,318,000","6,667,000","423,837,000","523,814,000","277,075,000","26,451,000","13,128,000",-,"138,854,000","78,792,000",-,"60,062,000","14,180,000","54,697,000","47,483,000","7,214,000","115,936,000","2,356,227,000","1,458,762,000","1,065,032,000","1,065,032,000","393,730,000","181,608,000","251,400,000","251,400,000","209,707,000","41,693,000","64,635,000","64,635,000","29,313,000","64,635,000","109,457,000","41,693,000","379,581,000","379,581,000","41,457,000",-,"20,241,000","258,956,000","258,956,000","31,869,000","27,764,000","4,105,000","195,180,000","89,333,000","54,980,000","-2,425,000",-,-,"-21,000",-,"638,537,000","27,764,000","231,192,000","204,259,000","675,408,000","176,495,000","444,216,000","25,119,000","4,104,934","3,325,411",-,"779,523"
19,6/30/2018,"2,590,050,000","631,685,000","405,180,000","23,680,000",-,"381,500,000","13,307,000","13,307,000","226,505,000","226,505,000",-,"108,246,000",-,"593,304,000","360,289,000","233,015,000",-,"360,289,000",-,"58,510,000","935,164,000","948,414,000","7,974,000","420,632,000","519,808,000","273,859,000","26,272,000","13,250,000",-,"134,179,000","75,669,000",-,"58,510,000","14,132,000","54,535,000","47,488,000","7,047,000","118,805,000","2,332,592,000","1,452,122,000","1,049,779,000","1,049,779,000","402,343,000","175,293,000","239,495,000","239,495,000","196,984,000","42,511,000","63,918,000","63,918,000","28,049,000","63,918,000","107,327,000","42,511,000","380,441,000","380,441,000","52,162,000","682,000","21,323,000","257,458,000","257,458,000","30,173,000","26,068,000","4,105,000","189,881,000","89,392,000","50,829,000","-1,138,000",-,-,"-21,000",-,"637,899,000","26,068,000","231,390,000","202,923,000","675,749,000","176,855,000","444,359,000","39,179,000","4,104,934","3,360,884","268,400","744,050"
20,3/31/2018,"2,609,785,000","662,420,000","414,812,000","24,834,000",-,"389,978,000","16,414,000","16,414,000","247,608,000","247,608,000",-,"116,132,000",-,"593,556,000","355,368,000","238,188,000",-,"355,368,000",-,"56,914,000","921,049,000","934,424,000","8,813,000","412,020,000","513,591,000","270,980,000","25,856,000","13,375,000",-,"129,573,000","72,659,000",-,"56,914,000","14,382,000","54,533,000","47,499,000","7,034,000","118,140,000","2,353,584,000","1,486,961,000","1,072,086,000","1,072,086,000","414,875,000","179,091,000","229,244,000","229,244,000","192,295,000","36,949,000","62,667,000","62,667,000","27,486,000","62,667,000","99,588,000","36,949,000","374,037,000","374,037,000","56,865,000","686,000","21,584,000","256,201,000","256,201,000","30,173,000","26,068,000","4,105,000","183,855,000","89,211,000","45,954,000","-1,063,000",-,-,"-21,000",-,"630,238,000","26,068,000","230,133,000","201,668,000","666,837,000","175,600,000","436,704,000","21,892,000","4,104,934","3,404,777","268,400","700,157"
21,12/31/2017,"2,533,600,000","628,543,000","430,121,000","25,827,000",-,"404,294,000",-,-,"198,422,000","198,422,000",-,"105,112,000",-,"575,279,000","325,321,000","249,958,000","47,733,000","325,321,000",-,"56,523,000","917,093,000","930,697,000","5,859,000","402,898,000","521,940,000","269,833,000","25,789,000","13,604,000",-,"124,252,000","67,729,000",-,"56,523,000","14,159,000","54,392,000","47,507,000","6,885,000","114,770,000","2,277,907,000","1,443,982,000","1,034,761,000","1,034,761,000","409,221,000","158,916,000","227,160,000","227,160,000","189,383,000","37,777,000","51,802,000","51,802,000","24,186,000","51,802,000","85,886,000","37,777,000","369,966,000","369,966,000","60,617,000",-,"26,081,000","255,693,000","255,693,000","30,173,000","26,068,000","4,105,000","177,676,000","90,579,000","42,595,000","-119,000",-,-,"-21,000",-,"625,659,000","26,068,000","229,625,000","201,301,000","651,393,000","175,233,000","421,768,000",-,"4,104,934","3,425,299","268,400","679,635"
22,9/30/2017,"2,563,074,000","643,258,000","457,804,000","21,994,000",-,"435,810,000","16,771,000","16,771,000","185,454,000","185,454,000",-,"101,680,000",-,"625,446,000","362,158,000","263,288,000",-,"362,158,000",-,"58,260,000","900,222,000","913,761,000","4,579,000","398,569,000","510,613,000","267,974,000","25,275,000","13,539,000",-,"120,017,000","61,757,000",-,"58,260,000","14,218,000","53,855,000","47,309,000","6,546,000","104,378,000","2,304,692,000","1,439,027,000","1,030,257,000","1,030,257,000","408,770,000","169,393,000","236,210,000","236,210,000","196,764,000","39,446,000","24,248,000","24,248,000","24,248,000",-,"89,089,000","39,446,000","407,390,000","407,390,000","63,769,000","2,334,000","28,424,000","258,382,000","258,382,000","30,173,000","26,068,000","4,105,000","175,827,000","90,697,000","37,985,000","-309,000",-,-,"-21,000",-,"665,772,000","26,068,000","232,314,000","204,527,000","663,952,000","178,459,000","431,638,000",-,"4,104,934","3,469,726","318,700","635,208"
23,6/30/2017,"2,563,174,000","667,731,000","449,161,000","21,781,000",-,"427,380,000","16,608,000","16,608,000","218,570,000","218,570,000",-,"90,654,000",-,"614,016,000","350,558,000","263,458,000",-,"350,558,000",-,"56,506,000","895,404,000","908,767,000","9,191,000","394,426,000","505,150,000","263,012,000","25,044,000","13,363,000",-,"120,544,000","64,038,000",-,"56,506,000","14,206,000","53,880,000","47,300,000","6,580,000","106,739,000","2,304,691,000","1,439,473,000","1,027,400,000","1,027,400,000","412,073,000","165,621,000","230,955,000","230,955,000","189,160,000","41,795,000","22,207,000","22,207,000","22,207,000",-,"91,628,000","41,795,000","415,537,000","415,537,000","68,464,000","2,338,000","30,898,000","258,483,000","258,483,000","30,173,000","26,068,000","4,105,000","171,488,000","90,604,000","33,369,000","-392,000",-,-,"-21,000",-,"674,020,000","26,068,000","232,415,000","204,603,000","670,159,000","178,535,000","437,744,000",-,"4,104,934","3,518,964","318,700","585,969"
24,3/31/2017,"2,546,290,000","650,961,000","460,395,000","20,484,000",-,"439,911,000","18,418,000","18,418,000","190,566,000","190,566,000",-,"92,309,000",-,"628,300,000","346,450,000","281,850,000",-,"346,450,000",-,"56,063,000","882,561,000","895,974,000","14,104,000","386,370,000","495,500,000","258,783,000","24,386,000","13,413,000",-,"116,101,000","60,038,000",-,"56,063,000","14,227,000","54,218,000","47,292,000","6,926,000","107,613,000","2,290,427,000","1,422,999,000","1,006,104,000","1,006,104,000","416,895,000","183,316,000","227,775,000","227,775,000","183,200,000","44,575,000","14,908,000","14,908,000","14,908,000",-,"90,913,000","44,575,000","404,747,000","404,747,000","74,316,000","2,342,000","36,682,000","255,863,000","255,863,000","30,173,000","26,068,000","4,105,000","166,663,000","90,395,000","30,424,000","-923,000",-,-,"-21,000",-,"660,610,000","26,068,000","229,795,000","201,645,000","649,450,000","175,577,000","419,655,000",-,"4,104,934","3,552,804","318,700","552,130"
25,12/31/2016,"2,490,972,000","619,602,000","389,635,000","23,873,000",-,"365,762,000",-,-,"229,967,000","229,967,000",-,"96,409,000",-,"597,111,000","308,052,000","289,059,000","50,168,000","308,052,000","1,674,000","64,078,000","880,989,000","894,765,000","4,858,000","383,790,000","506,117,000","254,671,000","22,698,000","13,776,000",-,"116,408,000","52,330,000",-,"64,078,000","14,131,000","54,246,000","47,288,000","6,958,000","112,076,000","2,236,782,000","1,375,179,000","959,584,000","959,584,000","415,595,000","165,666,000","239,774,000","239,774,000","190,543,000","49,231,000","11,738,000","11,738,000","11,738,000",-,"87,428,000","49,231,000","405,378,000","405,378,000","79,519,000",-,"39,047,000","254,190,000","254,190,000","30,173,000","26,068,000","4,105,000","162,440,000","91,627,000","28,854,000","-1,175,000",-,-,"-21,000",-,"659,568,000","26,068,000","228,122,000","199,944,000","645,238,000","173,876,000","417,116,000","27,481,000","4,104,934","3,561,190","318,700","543,744"
26,9/30/2016,"2,521,029,000","650,227,000","417,590,000","21,390,000",-,"396,200,000","18,501,000","18,501,000","232,637,000","232,637,000",-,"109,197,000",-,"581,659,000","309,258,000","272,401,000",-,"309,258,000","1,759,000","65,579,000","873,850,000","888,054,000","4,861,000","386,449,000","496,744,000","254,686,000","22,292,000","14,204,000",-,"129,912,000","64,333,000",-,"65,579,000","14,208,000","53,126,000","47,302,000","5,824,000","108,850,000","2,266,698,000","1,376,138,000","946,829,000","946,829,000","429,309,000","168,491,000","238,555,000","238,555,000","190,412,000","48,143,000","12,258,000","12,258,000","12,258,000",-,"95,126,000","48,143,000","429,023,000","429,023,000","79,523,000","3,963,000","42,233,000","254,331,000","254,331,000","30,173,000","26,068,000","4,105,000","157,870,000","92,103,000","27,268,000","1,474,000",-,-,"-21,000",-,"683,354,000","26,068,000","228,263,000","201,205,000","669,544,000","175,137,000","441,281,000","23,691,000","4,104,934","3,578,264","318,700","526,670"
27,6/30/2016,"2,466,096,000","602,572,000","365,305,000","19,710,000",-,"345,595,000","23,789,000","23,789,000","237,267,000","237,267,000",-,"103,225,000",-,"580,957,000","302,347,000","278,610,000",-,"302,347,000","1,737,000","78,446,000","858,577,000","872,804,000","6,073,000","374,174,000","492,557,000","252,404,000","22,047,000","14,227,000",-,"143,357,000","64,911,000",-,"78,446,000","14,262,000","53,292,000","47,303,000","5,989,000","109,854,000","2,213,673,000","1,330,958,000","916,684,000","916,684,000","414,274,000","166,044,000","242,399,000","242,399,000","184,635,000","57,764,000","17,279,000","17,279,000","17,279,000",-,"101,194,000","57,764,000","416,766,000","416,766,000","69,526,000","3,966,000","40,227,000","252,423,000","252,423,000","30,173,000","26,068,000","4,105,000","153,749,000","91,974,000","25,070,000","1,618,000",-,-,"-21,000",-,"669,189,000","26,068,000","226,355,000","199,131,000","660,400,000","173,063,000","434,045,000","68,740,000","4,104,934","3,611,982","318,700","492,952"
28,3/31/2016,"2,423,808,000","601,628,000","378,408,000","18,212,000",-,"360,196,000","20,028,000","20,028,000","223,220,000","223,220,000",-,"102,937,000",-,"581,267,000","295,944,000","285,323,000",-,"295,944,000","1,843,000","70,209,000","833,319,000","847,313,000","3,118,000","364,312,000","479,883,000","246,328,000","21,370,000","13,994,000",-,"127,858,000","57,649,000",-,"70,209,000","14,195,000","53,908,000","47,310,000","6,598,000","108,696,000","2,173,651,000","1,321,816,000","917,621,000","917,621,000","404,195,000","160,999,000","236,253,000","236,253,000","176,934,000","59,319,000","17,490,000","17,490,000","17,490,000",-,"87,963,000","59,319,000","398,420,000","398,420,000","69,529,000","3,970,000","38,673,000","250,157,000","250,157,000","30,173,000","26,068,000","4,105,000","149,730,000","91,782,000","22,289,000","782,000",-,-,"-21,000",-,"648,577,000","26,068,000","224,089,000","196,249,000","639,999,000","170,181,000","415,910,000","37,502,000","4,104,934","3,656,659","318,700","448,275"
