,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Customer Acceptances,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Other Receivables,Net PPE,Gross PPE,Other Properties,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Payables And Accrued Expenses,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Current Notes Payable,Commercial Paper,Line of Credit,Other Current Borrowings,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Long Term Provisions,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
10,12/31/2012,"305,107,000","10,667,000","9,204,000","5,220,000",-,"3,984,000","1,463,000","1,463,000",-,"63,502,000","2,096,000","61,406,000","10,354,000","51,052,000","10,877,000","2,430,000","178,266,000","182,302,000","3,693,000","72,424,000","25,754,000","80,431,000",-,"4,036,000",-,"7,247,000",-,"7,247,000",-,-,-,"10,869,000","9,072,000","1,797,000","23,679,000","263,342,000","213,142,000","143,162,000","143,162,000","69,980,000","3,327,000",-,-,"4,449,000","4,449,000","8,453,000","8,453,000",-,"8,453,000","250,000",-,"589,000","29,127,000","29,127,000","9,437,000",-,"250,000","4,594,000","41,765,000","39,003,000","2,690,000",-,"2,690,000","20,265,000","15,783,000","569,000","834,000","834,000",-,"2,762,000","68,130,000",-,"39,003,000",-,"28,134,000","76,583,000","28,134,000","37,580,000","28,376,000","538,000","528,000","80,000","10,000"
11,12/31/2011,"271,205,000","7,479,000","5,274,000","4,105,000",-,"1,169,000","2,205,000","2,205,000",-,"63,147,000","2,513,000","60,634,000","12,066,000","48,568,000","10,134,000","2,360,000","151,187,000","155,534,000","2,936,000","57,206,000","23,142,000","72,250,000",-,"4,347,000",-,"6,416,000",-,"6,416,000",-,-,-,"10,144,000","8,285,000","1,859,000","22,698,000","233,959,000","187,966,000","128,918,000","128,918,000","59,048,000","2,984,000",-,-,"4,175,000","4,175,000","11,793,000","11,793,000","11,793,000",-,-,-,"711,000","33,720,000","33,720,000","6,967,000",-,"240,000","4,874,000","37,246,000","34,053,000","2,683,000",-,"2,683,000","18,253,000","13,709,000","487,000","-105,000","-105,000",-,"3,193,000","67,773,000",-,"34,053,000",-,"23,909,000","67,773,000","23,909,000","33,720,000","28,446,000","537,000","527,000",-,"10,000"
12,12/31/2010,"264,284,000","8,611,000","4,907,000","3,297,000",-,"1,610,000","3,704,000","3,704,000",-,"66,088,000","1,826,000","64,262,000","6,952,000","57,310,000","9,220,000","1,895,000","142,807,000","147,694,000","3,492,000","47,677,000","20,866,000","75,659,000","150,595,000","4,887,000",-,"6,393,000",-,"6,393,000",-,-,-,"10,753,000","8,149,000","2,604,000","20,412,000","231,446,000","183,390,000","133,371,000","133,371,000","50,019,000","4,144,000",-,-,"3,188,000","3,188,000","12,904,000","12,904,000","12,904,000",-,-,-,"1,058,000","35,344,000","35,344,000","6,043,000",-,"188,000","5,192,000","32,838,000","30,242,000","2,682,000",-,"2,682,000","15,859,000","12,704,000","572,000","-431,000","-431,000",-,"2,596,000","65,586,000",-,"30,242,000",-,"19,489,000","65,586,000","19,489,000","35,344,000","30,437,000","536,000","526,000",-,"10,000"
13,12/31/2009,"269,863,000","11,166,000","8,776,000","4,288,000",-,"4,488,000","2,390,000","2,390,000",-,"58,151,000","2,124,000","56,027,000","5,229,000","50,798,000","10,254,000",-,"148,808,000","153,880,000","2,539,000","47,415,000","17,635,000","86,291,000","157,543,000","5,072,000",-,"6,202,000",-,"6,202,000",-,-,-,"12,909,000","9,505,000","3,404,000","22,373,000","237,296,000","186,922,000","142,538,000","142,538,000","44,384,000","3,998,000",-,-,"3,590,000","3,590,000","12,362,000","12,362,000","12,362,000",-,-,-,-,"35,263,000","35,263,000","10,761,000",-,"296,000","7,227,000","32,567,000","29,942,000","2,354,000",-,"2,354,000","13,144,000","16,919,000","513,000","-1,962,000","-1,962,000",-,"2,625,000","65,205,000",-,"29,942,000",-,"17,033,000","65,205,000","17,033,000","35,263,000","26,487,000","471,000","462,000",-,"9,000"
14,12/31/2008,"291,081,000","6,327,000","4,471,000","4,471,000","4,471,000","14,859,000","1,856,000","1,856,000",-,"61,082,000","1,725,000","43,473,000","3,331,000","15,884,000","8,554,000",-,"167,988,000","173,367,000","4,366,000","58,281,000","14,105,000","94,708,000","1,907,000","3,917,000","-1,462,000","7,950,000",-,"7,950,000",-,-,-,"8,868,000","8,868,000","2,820,000","30,312,000","263,433,000","192,865,000","155,717,000","155,717,000","37,148,000","5,153,000",-,-,"3,949,000","3,949,000",-,-,-,-,-,-,-,"47,087,000","47,087,000","17,895,000",-,"344,000","14,035,000","27,648,000","25,422,000","2,261,000",-,"2,261,000","11,461,000","16,246,000","597,000","-3,949,000","-3,949,000",-,"2,226,000","72,509,000",-,"25,422,000",-,"16,554,000","72,509,000","16,554,000","47,087,000","42,616,000","444,312","444,312",-,-
15,12/31/2007,"138,920,000","6,296,000","3,567,000",-,-,"3,567,000","2,729,000","2,729,000",-,"34,354,000",-,"40,399,000",-,"34,354,000","6,045,000",-,"67,952,000","69,736,000","3,927,000","28,607,000","18,739,000","18,463,000","413,000","794,000","-990,000","3,464,000",-,"3,464,000",-,-,-,"9,551,000","8,405,000","1,146,000","11,258,000","122,412,000","82,696,000","63,256,000","63,256,000","19,440,000","9,774,000","7,037,000","2,737,000","4,330,000","4,330,000",-,-,-,-,-,-,-,"21,157,000","21,157,000","7,065,000",-,"134,000","4,321,000","16,508,000","14,854,000","1,764,000",-,"1,764,000","11,497,000","2,618,000","878,000","-147,000","-147,000","-1,000","1,654,000","36,011,000",-,"14,854,000",-,"5,303,000","36,011,000","5,303,000","21,157,000","17,590,000","341,000","341,000",-,-
16,12/31/2006,"101,820,000","5,286,000","3,523,000",-,-,"3,523,000","1,763,000","1,763,000",-,"26,321,000",-,"31,651,000",-,"26,321,000","5,330,000",-,"48,403,000","49,710,000","2,366,000","20,584,000","16,891,000","9,869,000","376,000","512,000","-795,000","3,508,000",-,"3,508,000",-,-,-,"4,043,000","3,402,000","641,000","8,929,000","90,147,000","66,301,000","50,231,000","50,231,000","16,070,000","4,762,000","2,711,000","2,051,000","3,970,000","3,970,000",-,-,-,-,-,-,-,"10,266,000","10,266,000",-,-,"120,000","4,728,000","11,673,000","10,788,000","1,764,000",-,"1,764,000","10,985,000","1,651,000","3,377,000","-235,000","-235,000",-,"885,000","21,054,000",-,"10,788,000",-,"6,745,000","21,054,000","6,745,000","10,266,000","6,743,000","293,000","293,000",-,-
17,12/31/2005,"91,954,000","3,868,000","3,518,000",-,-,"3,518,000","350,000","350,000",-,"23,253,000",-,"23,253,000",-,-,-,-,"50,954,000","51,550,000",-,-,-,-,"51,550,000","596,000",-,-,-,-,-,-,-,"4,466,000",-,-,"9,413,000","82,801,000","60,275,000","45,287,000","45,287,000","14,988,000","5,819,000",-,-,-,-,"10,000","10,000",-,-,-,"10,000",-,"11,068,000","11,068,000",-,-,-,"5,629,000","9,153,000","8,563,000","1,764,000",-,"1,764,000","9,023,000","1,358,000","3,256,000","-326,000",-,-,"590,000","19,631,000",-,"8,563,000",-,"4,097,000","19,641,000","4,097,000","11,078,000","7,560,000","293,000","293,000",-,-
18,12/31/2004,"79,723,000","4,865,000","3,230,000",-,-,"3,230,000","1,635,000","1,635,000",-,"18,609,000",-,"18,609,000",-,-,-,-,"44,558,000","46,067,000",-,-,-,-,"46,067,000","607,000","-902,000",-,-,-,-,-,-,"3,355,000",-,-,"8,336,000","71,746,000","53,269,000","40,354,000","40,354,000","12,915,000","1,595,000",-,-,-,-,"2,251,000","2,251,000",-,-,-,"2,251,000",-,"8,118,000","8,118,000",-,-,-,"6,513,000","7,977,000","7,473,000","1,764,000",-,"1,764,000","8,273,000","1,265,000","3,724,000","-105,000",-,-,"504,000","15,591,000",-,"7,473,000",-,"4,118,000","17,842,000","4,118,000","10,369,000","7,139,000","283,000","283,000",-,-
19,12/31/2003,"68,168,000","4,845,000","2,968,000",-,-,"2,968,000","1,877,000","1,877,000",-,"15,690,000",-,"15,690,000",-,-,-,-,"34,848,000","36,489,000",-,-,-,-,"36,489,000","632,000","-1,009,000","2,223,000",-,-,-,-,-,"2,707,000",-,-,"7,855,000","61,061,000","45,241,000","33,736,000","33,736,000","11,505,000","1,250,000",-,-,-,-,"2,226,000","2,226,000",-,-,-,"2,226,000",-,"7,977,000","7,977,000",-,-,-,"4,367,000","7,107,000","6,645,000","1,764,000",-,"1,764,000","7,642,000","1,108,000","3,900,000","31,000",-,-,"462,000","14,622,000",-,"6,645,000",-,"3,938,000","16,848,000","3,938,000","10,203,000","7,235,000","277,000","277,000",-,-
