,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Deposits,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Other Interest Expense,Non Interest Income,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Credit Card,Other Customer Services,Investment Banking Profit,Trading Gain Loss,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Equipment,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Selling & Marketing Expense,Other Non Interest Expense,Income from Associates & Other Participating Interests,Special Income Charges,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Other Special Charges,Other Non Operating Income Expenses,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income Discontinuous Operations,Net Income Extraordinary,Minority Interests,Preferred Stock Dividends,Average Dilution Earnings,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
0,ttm,"21,114,000","13,014,000","15,436,000","11,795,000","11,795,000","2,726,000",-,-,"915,000","2,422,000","1,267,000",-,"1,155,000",-,"8,100,000","7,154,000","7,154,000","3,077,000","1,444,000","2,633,000",-,-,-,"-6,000","-6,000",-,"952,000","-471,000","13,170,000","2,387,000","992,000","1,395,000","7,599,000","7,244,000","7,244,000","355,000","3,184,000",-,-,-,-,-,-,"7,473,000","1,360,000","5,708,000","6,041,000","6,113,000","6,113,000",-,-,"-72,000","301,000",-,"5,708,000",-,-,-,-,"12,543,000","6,041,000","6,041,000",-,"651,000","6,041,000","31,000","31,000",0,0
1,3/31/2023,"5,575,000","3,585,000","5,659,000","4,258,000","4,258,000","885,000",-,-,"516,000","2,074,000","1,291,000",-,"783,000",-,"1,990,000","1,760,000","1,760,000","745,000","356,000","659,000",-,-,-,"-72,000","-72,000",-,"302,000","-207,000","3,321,000","601,000","251,000","350,000","1,900,000","1,826,000","1,826,000","74,000","820,000",-,-,-,-,-,-,"2,047,000","353,000","1,607,000","1,677,000","1,694,000","1,694,000",-,-,"-17,000","68,000",-,"1,607,000",3.98,3.98,"401,000","402,000","3,378,000","1,677,000","1,677,000",-,-,"1,677,000",-,-,0,0
2,12/31/2022,"5,747,000","3,684,000","5,109,000","3,860,000","3,860,000","836,000",-,-,"413,000","1,425,000","812,000",-,"613,000",-,"2,063,000","1,832,000","1,832,000","816,000","345,000","671,000",-,-,-,"-19,000","-19,000",-,"250,000","-392,000","3,474,000","616,000","247,000","369,000","2,049,000","1,943,000","1,943,000","106,000","809,000",-,-,-,-,-,-,"1,881,000","333,000","1,407,000","1,528,000","1,548,000","1,548,000",-,-,"-20,000","120,000",-,"1,407,000",3.47,3.47,"404,000","404,000","3,292,000","1,528,000","1,528,000",-,"64,000","1,528,000",-,-,0,0
3,9/30/2022,"5,550,000","3,475,000","4,132,000","3,138,000","3,138,000","715,000",-,-,"279,000","657,000","340,000",-,"317,000",-,"2,075,000","1,757,000","1,757,000","729,000","357,000","671,000",-,-,-,"2,000","2,000",-,"316,000","-242,000","3,280,000","585,000","241,000","344,000","1,898,000","1,805,000","1,805,000","93,000","797,000",-,-,-,-,-,-,"2,028,000","388,000","1,558,000","1,624,000","1,640,000","1,640,000",-,-,"-16,000","65,000",-,"1,558,000",3.78,3.78,"410,000","410,000","3,233,000","1,624,000","1,624,000",-,"58,000","1,624,000",-,-,0,0
4,6/30/2022,"5,112,000","3,051,000","3,281,000","2,504,000","2,504,000","631,000",-,-,"146,000","230,000","88,000",-,"142,000",-,"2,061,000","1,888,000","1,888,000","852,000","365,000","671,000",-,-,-,"-5,000","-5,000",-,"178,000","-32,000","3,244,000","597,000","246,000","351,000","1,874,000","1,779,000","1,779,000","95,000","773,000",-,-,-,-,-,-,"1,836,000","340,000","1,409,000","1,481,000","1,496,000","1,496,000",-,-,"-15,000","71,000",-,"1,409,000",3.39,3.39,"414,000","414,000","3,019,000","1,481,000","1,481,000",-,"144,000","1,481,000",-,-,0,0
5,3/31/2022,"4,705,000","2,804,000","2,914,000","2,293,000","2,293,000","544,000",-,-,"77,000","110,000","27,000",-,"83,000",-,"1,901,000","1,677,000","1,677,000","680,000","377,000","620,000",-,-,-,"9,000","9,000",-,"215,000","195,000","3,172,000","589,000","258,000","331,000","1,778,000","1,717,000","1,717,000","61,000","805,000",-,"-31,000","31,000",-,-,-,"1,728,000","299,000","1,361,000","1,408,000","1,429,000","1,429,000",-,-,"-21,000","45,000",-,"1,361,000",3.23,3.23,"420,000","420,000","2,999,000","1,408,000","1,408,000",-,"385,000","1,408,000","-31,000","-31,000",0,0
6,12/31/2021,"5,174,000","2,862,000","2,975,000","2,414,000","2,414,000","484,000",-,-,"77,000","113,000","27,000",-,"86,000",-,"2,312,000","2,001,000","2,001,000","953,000","385,000","663,000",-,-,-,"-19,000","-19,000",-,"311,000","327,000","3,791,000","697,000","260,000","437,000","2,135,000","2,038,000","2,038,000","97,000","959,000",-,"-47,000","47,000",-,-,-,"1,663,000","357,000","1,220,000","1,293,000","1,306,000","1,306,000",-,-,"-13,000","71,000",-,"1,220,000",2.87,2.86,"424,000","424,000","3,189,000","1,293,000","1,329,895",-,"558,000","1,293,000","-47,000","-47,000",0,"-10,105"
7,9/30/2021,"5,172,000","2,856,000","2,975,000","2,437,000","2,437,000","460,000",-,-,"78,000","119,000","29,000",-,"90,000",-,"2,316,000","1,892,000","1,892,000","1,644,000","248,000",-,-,-,-,"-10,000","-10,000",-,"434,000","228,000","3,587,000","603,000","248,000","355,000","2,089,000","1,986,000","1,986,000","103,000","895,000",-,"-243,000","243,000",-,-,-,"1,813,000","323,000","1,408,000","1,474,000","1,490,000","1,490,000",-,-,"-16,000","57,000",-,"1,408,000",3.31,3.30,"426,000","426,000","3,084,000","1,474,000","1,474,000",-,"421,000","1,474,000","-243,000","-243,000",0,0
8,6/30/2021,"4,667,000","2,581,000","2,701,000","2,160,000","2,160,000","469,000",-,-,"72,000","120,000","30,000",-,"90,000",-,"2,086,000","1,618,000","1,618,000","1,379,000","239,000",-,-,-,-,"-4,000","-4,000",-,"468,000","-302,000","3,050,000","543,000","217,000","326,000","1,714,000","1,640,000","1,640,000","74,000","793,000",-,"-111,000","111,000",-,-,-,"1,315,000","212,000","1,037,000","1,091,000","1,103,000","1,103,000",-,-,"-12,000","48,000",-,"1,037,000",2.43,2.43,"427,000","427,000","2,279,000","1,091,000","1,091,000",-,"419,000","1,091,000","-111,000","-111,000",0,0
9,3/31/2021,"4,220,000","2,348,000","2,483,000","1,996,000","1,996,000","421,000",-,-,"66,000","135,000","40,000",-,"95,000",-,"1,872,000","1,389,000","1,389,000","1,163,000","226,000",-,-,-,-,"-28,000","-28,000",-,"483,000","551,000","2,574,000","508,000","215,000","293,000","1,522,000","1,477,000","1,477,000","45,000","544,000",-,-,-,-,-,-,"2,197,000","371,000","1,758,000","1,816,000","1,826,000","1,826,000",-,-,"-10,000","57,000",-,"1,758,000",4.11,4.10,"426,000","426,000","2,899,000","1,816,000","1,816,000",-,"375,000","1,816,000",-,-,0,0
10,12/31/2020,"4,208,000","2,424,000","2,576,000","2,074,000","2,074,000","442,000",-,-,"60,000","152,000","53,000",-,"99,000",-,"1,784,000","1,491,000","1,491,000","1,270,000","221,000",-,-,-,-,"-15,000","-15,000",-,"293,000","254,000","2,708,000","511,000","215,000","296,000","1,585,000","1,521,000","1,521,000","64,000","612,000",-,-,-,-,-,-,"1,754,000","298,000","1,393,000","1,442,000","1,456,000","1,456,000",0,-,"-14,000","48,000","22,000","1,393,000",3.26,3.26,"425,000","426,000","2,678,000","1,442,000","1,442,000",-,"553,000","1,442,000",-,-,0,0
11,9/30/2020,"4,281,000","2,484,000","2,676,000","2,116,000","2,116,000","490,000",-,-,"70,000","192,000","74,000",-,"118,000",-,"1,797,000","1,340,000","1,340,000","1,125,000","215,000",-,-,-,-,"-48,000","-48,000",-,"457,000","-52,000","2,531,000","497,000","205,000","292,000","1,477,000","1,410,000","1,410,000","67,000","557,000",-,-,-,-,-,-,"1,698,000","166,000","1,447,000","1,519,000","1,532,000","1,532,000",-,-,"-13,000","63,000",0,"1,447,000",3.40,3.39,"426,000","426,000","2,432,000","1,519,000","1,519,000",-,"232,000","1,519,000",-,-,0,0
12,6/30/2020,"4,045,000","2,527,000","2,855,000","2,257,000","2,257,000","527,000",-,-,"71,000","328,000","141,000",-,"187,000",-,"1,518,000","1,278,000","1,278,000","1,079,000","199,000",-,-,-,-,"-31,000","-31,000",-,"271,000","-2,432,000","2,515,000","500,000","199,000","301,000","1,420,000","1,373,000","1,373,000","47,000","595,000",-,-,-,-,-,-,"-902,000","-158,000","3,591,000","3,648,000","3,655,000","-744,000","4,399,000",-,"-7,000","55,000","-22,000","3,569,000",8.40,8.40,"426,000","426,000","95,000","3,648,000","-751,000",-,"384,000","-751,000",-,-,0,0
13,3/31/2020,"4,508,000","2,511,000","3,200,000","2,480,000","2,480,000","582,000",-,-,"138,000","689,000","375,000",-,"314,000",-,"1,997,000","1,663,000","1,663,000","1,281,000","382,000",-,-,-,-,"173,000","173,000",-,"161,000","-905,000","2,543,000","494,000","207,000","287,000","1,427,000","1,369,000","1,369,000","58,000","622,000",-,-,-,-,-,-,"1,060,000","145,000","840,000","908,000","915,000","915,000",-,-,"-7,000","63,000","-1,000","839,000",1.96,1.95,"429,000","430,000","1,606,000","908,000","908,000",-,"328,000","908,000",-,-,0,0
14,12/31/2019,"4,609,000","2,488,000","3,334,000","2,573,000","2,573,000","560,000",-,-,"201,000","846,000","468,000",-,"378,000",-,"2,121,000","1,665,000","1,665,000","1,161,000","504,000",-,-,-,-,-,-,-,"456,000","-221,000","2,762,000","549,000","201,000","348,000","1,545,000","1,468,000","1,468,000","77,000","668,000",-,-,-,-,-,-,"1,626,000","245,000","1,311,000","1,367,000","1,381,000","1,381,000",-,-,"-14,000","55,000","-9,000","1,302,000",2.98,2.97,"437,000","438,000","2,267,000","1,367,000","1,367,000",-,"411,000","1,367,000",-,-,0,0
15,9/30/2019,"4,493,000","2,504,000","3,503,000","2,678,000","2,678,000","617,000",-,-,"208,000","999,000","531,000",-,"468,000",-,"1,989,000","1,647,000","1,647,000","1,183,000","464,000",-,-,-,-,-,-,-,"342,000","-183,000","2,623,000","497,000","206,000","291,000","1,476,000","1,400,000","1,400,000","76,000","650,000",-,-,-,-,-,-,"1,687,000","295,000","1,315,000","1,379,000","1,392,000","1,392,000",-,-,"-13,000","63,000","-8,000","1,307,000",2.95,2.94,"444,000","445,000","2,321,000","1,379,000","1,379,000",-,"325,000","1,379,000",-,-,0,0
16,6/30/2019,"4,439,000","2,498,000","3,497,000","2,672,000","2,672,000","629,000",-,-,"196,000","999,000","515,000",-,"484,000",-,"1,941,000","1,574,000","1,574,000","1,129,000","445,000",-,-,-,-,-,-,-,"367,000","-180,000","2,611,000","510,000","212,000","298,000","1,448,000","1,365,000","1,365,000","83,000","653,000",-,-,-,-,-,-,"1,648,000","274,000","1,302,000","1,362,000","1,374,000","1,374,000",-,-,"-12,000","55,000","-2,000","1,300,000",2.89,2.88,"451,000","452,000","2,318,000","1,362,000","1,362,000",-,"307,000","1,362,000",-,-,0,0
17,3/31/2019,"4,286,000","2,475,000","3,428,000","2,602,000","2,602,000","620,000",-,-,"206,000","953,000","472,000",-,"481,000",-,"1,811,000","1,503,000","1,503,000","1,066,000","437,000",-,-,-,-,-,-,-,"308,000","-189,000","2,578,000","488,000","215,000","273,000","1,479,000","1,414,000","1,414,000","65,000","611,000",-,-,-,-,-,-,"1,519,000","248,000","1,192,000","1,261,000","1,271,000","1,271,000",-,-,"-10,000","63,000","-3,000","1,189,000",2.62,2.61,"455,000","456,000","2,286,000","1,261,000","1,261,000",-,"272,000","1,261,000",-,-,0,0
18,12/31/2018,"4,340,000","2,481,000","3,359,000","2,555,000","2,555,000","608,000",-,-,"196,000","878,000","419,000",-,"459,000",-,"1,859,000","1,534,000","1,534,000","1,106,000","428,000",-,-,-,-,-,-,-,"325,000","-148,000","2,577,000","487,000","202,000","285,000","1,432,000","1,348,000","1,348,000","84,000","658,000",-,-,-,-,-,-,"1,615,000","264,000","1,281,000","1,337,000","1,351,000","1,351,000",-,-,"-14,000","55,000","-7,000","1,274,000",2.77,2.75,"461,000","463,000","2,333,000","1,337,000","1,337,000",-,"290,000","1,337,000",-,-,0,0
19,9/30/2018,"4,357,000","2,466,000","3,223,000","2,452,000","2,452,000","584,000",-,-,"187,000","757,000","336,000",-,"421,000",-,"1,891,000","1,590,000","1,590,000","1,104,000","486,000",-,-,-,-,-,-,-,"301,000","-88,000","2,608,000","459,000","195,000","264,000","1,484,000","1,413,000","1,413,000","71,000","665,000",-,-,-,-,-,-,"1,661,000","261,000","1,319,000","1,389,000","1,400,000","1,400,000",-,-,"-11,000","63,000","-2,000","1,317,000",2.84,2.82,"465,000","467,000","2,378,000","1,389,000","1,389,000",-,"272,000","1,389,000",-,-,0,0
20,6/30/2018,"4,324,000","2,413,000","3,082,000","2,345,000","2,345,000","557,000",-,-,"180,000","669,000","261,000",-,"408,000",-,"1,911,000","1,577,000","1,577,000","1,121,000","456,000",-,-,-,-,-,-,-,"334,000","-80,000","2,584,000","484,000","203,000","281,000","1,431,000","1,356,000","1,356,000","75,000","669,000",-,-,-,-,-,-,"1,660,000","304,000","1,285,000","1,346,000","1,356,000","1,356,000",-,-,"-10,000","55,000","-3,000","1,282,000",2.74,2.72,"469,000","472,000","2,333,000","1,346,000","1,346,000",-,"287,000","1,346,000",-,-,0,0
21,3/31/2018,"4,111,000","2,361,000","2,918,000","2,228,000","2,228,000","512,000",-,-,"178,000","557,000","213,000",-,"344,000",-,"1,750,000","1,505,000","1,505,000","1,050,000","455,000",-,-,-,-,-,-,-,"245,000","-92,000","2,527,000","491,000","218,000","273,000","1,409,000","1,354,000","1,354,000","55,000","627,000",-,-,-,-,-,-,"1,492,000","253,000","1,165,000","1,229,000","1,239,000","1,239,000",-,-,"-10,000","63,000","-7,000","1,158,000",2.45,2.43,"473,000","476,000","2,269,000","1,229,000","1,229,000",-,"280,000","1,229,000",-,-,0,0
22,12/31/2017,"4,260,000","2,345,000","2,825,000","2,154,000","2,154,000","509,000",-,-,"162,000","480,000","190,000",-,"290,000",-,"1,915,000","1,721,000","1,721,000","1,001,000","720,000",-,-,-,-,-,-,-,"194,000","-125,000","3,061,000","514,000","240,000","274,000","1,498,000","1,438,000","1,438,000","60,000","1,049,000",-,-,-,-,-,-,"1,074,000","-1,017,000","2,023,000","2,080,000","2,091,000","2,091,000",-,-,"-11,000","55,000","-16,000","2,007,000",4.23,4.18,"476,000","480,000","2,220,000","2,080,000","2,080,000",-,"258,000","2,080,000",-,-,0,0
23,9/30/2017,"4,125,000","2,345,000","2,795,000","2,140,000","2,140,000","501,000",-,-,"154,000","450,000","170,000",-,"280,000",-,"1,780,000","1,434,000","1,434,000","1,013,000","421,000",-,-,-,-,-,-,-,"346,000","-130,000","2,456,000","463,000","204,000","259,000","1,336,000","1,274,000","1,274,000","62,000","657,000",-,-,-,-,-,-,"1,539,000","413,000","1,045,000","1,114,000","1,126,000","1,126,000",-,-,"-12,000","63,000","-3,000","1,042,000",2.18,2.16,"479,000","483,000","2,215,000","1,114,000","1,114,000",-,"291,000","1,114,000",-,-,0,0
24,6/30/2017,"4,060,000","2,258,000","2,674,000","2,040,000","2,040,000","495,000",-,-,"139,000","416,000","143,000",-,"273,000",-,"1,802,000","1,466,000","1,466,000","1,068,000","398,000",-,-,-,-,-,-,-,"336,000","-98,000","2,479,000","483,000","202,000","281,000","1,330,000","1,263,000","1,263,000","67,000","666,000",-,-,-,-,-,-,"1,483,000","386,000","1,026,000","1,087,000","1,097,000","1,097,000",-,-,"-10,000","55,000","-1,000","1,025,000",2.12,2.10,"484,000","488,000","2,160,000","1,087,000","1,087,000",-,"289,000","1,087,000",-,-,0,0
25,3/31/2017,"3,884,000","2,160,000","2,520,000","1,904,000","1,904,000","493,000",-,-,"123,000","360,000","120,000",-,"240,000",-,"1,724,000","1,402,000","1,402,000","999,000","403,000",-,-,-,-,-,-,-,"322,000","-88,000","2,402,000","473,000","222,000","251,000","1,304,000","1,249,000","1,249,000","55,000","625,000",-,-,-,-,-,-,"1,394,000","320,000","967,000","1,057,000","1,074,000","1,074,000",-,-,"-17,000","63,000","-4,000","963,000",1.99,1.96,"487,000","492,000","2,072,000","1,057,000","1,057,000",-,"279,000","1,057,000",-,-,0,0
26,12/31/2016,"3,874,000","2,130,000","2,453,000","1,886,000","1,886,000","457,000",-,-,"110,000","323,000","114,000",-,"209,000",-,"1,744,000","1,449,000","1,449,000","1,050,000","399,000",-,-,-,-,-,-,-,"295,000","-67,000","2,441,000","464,000","210,000","254,000","1,291,000","1,231,000","1,231,000","60,000","686,000",-,-,-,-,-,-,"1,366,000","319,000","975,000","1,025,000","1,047,000","1,047,000",-,-,"-22,000","43,000","-2,000","973,000",2.01,1.97,"487,000","494,000","2,063,000","1,025,000","1,025,000",-,"276,000","1,025,000",-,-,0,0
27,9/30/2016,"3,829,000","2,095,000","2,408,000","1,856,000","1,856,000","451,000",-,-,"101,000","313,000","107,000",-,"206,000",-,"1,734,000","1,475,000","1,475,000","1,071,000","404,000",-,-,-,-,"7,000","7,000",-,"252,000","-87,000","2,394,000","461,000","215,000","246,000","1,311,000","1,239,000","1,239,000","72,000","622,000",-,-,-,-,-,-,"1,348,000","342,000","917,000","988,000","1,006,000","1,006,000",-,-,"-18,000","64,000","-4,000","913,000",1.87,1.84,"490,000","496,000","2,008,000","988,000","988,000",-,"356,000","988,000",-,-,0,0
28,6/30/2016,"3,794,000","2,068,000","2,384,000","1,829,000","1,829,000","456,000",-,-,"99,000","316,000","104,000",-,"212,000",-,"1,726,000","1,462,000","1,462,000","1,085,000","377,000",-,-,-,-,"4,000","4,000",-,"260,000","-127,000","2,360,000","455,000","215,000","240,000","1,287,000","1,226,000","1,226,000","61,000","618,000",-,-,-,-,-,-,"1,307,000","318,000","917,000","966,000","989,000","989,000",-,-,"-23,000","43,000","-3,000","914,000",1.84,1.82,"497,000","503,000","1,941,000","966,000","966,000",-,"291,000","966,000",-,-,0,0
29,3/31/2016,"3,665,000","2,098,000","2,407,000","1,843,000","1,843,000","462,000",-,-,"102,000","309,000","105,000",-,"204,000",-,"1,567,000","1,261,000","1,261,000","920,000","341,000",-,-,-,-,"9,000","9,000",-,"297,000","-152,000","2,281,000","455,000","221,000","234,000","1,199,000","1,145,000","1,145,000","54,000","627,000",-,-,-,-,-,-,"1,232,000","289,000","853,000","924,000","943,000","943,000",-,-,"-19,000","65,000","-3,000","850,000",1.70,1.68,"501,000","507,000","1,946,000","924,000","924,000",-,"270,000","924,000",-,-,0,0
30,12/31/2015,"3,853,000","2,092,000","2,358,000","1,806,000","1,806,000","443,000",-,-,"109,000","266,000","106,000",-,"160,000",-,"1,761,000","1,425,000","1,425,000","1,026,000","399,000",-,-,-,-,"2,000","2,000",-,"334,000","-74,000","2,396,000","453,000","208,000","245,000","1,308,000","1,252,000","1,252,000","56,000","635,000",-,-,-,-,-,-,"1,383,000","361,000","961,000","1,008,000","1,022,000","1,022,000",-,-,"-14,000","43,000","-4,000","957,000",1.90,1.87,"506,000","513,000","2,018,000","1,008,000","1,008,000",-,"286,000","1,008,000",-,-,0,0
31,9/30/2015,"3,775,000","2,062,000","2,341,000","1,804,000","1,804,000","423,000",-,-,"114,000","279,000","107,000",-,"172,000",-,"1,713,000","1,398,000","1,398,000","1,022,000","376,000",-,-,-,-,"-9,000","-9,000",-,"324,000","-81,000","2,352,000","436,000","209,000","227,000","1,286,000","1,222,000","1,222,000","64,000","630,000",-,-,-,-,-,-,"1,342,000","269,000","991,000","1,055,000","1,073,000","1,073,000",-,-,"-18,000","64,000","-4,000","987,000",1.93,1.90,"512,000","520,000","1,981,000","1,055,000","1,055,000",-,"272,000","1,055,000",-,-,0,0
32,6/30/2015,"3,866,000","2,052,000","2,305,000","1,791,000","1,791,000","407,000",-,-,"107,000","253,000","98,000",-,"155,000",-,"1,814,000","1,439,000","1,439,000","1,023,000","416,000",-,-,-,-,"8,000","8,000",-,"367,000","-46,000","2,366,000","440,000","209,000","231,000","1,267,000","1,200,000","1,200,000","67,000","659,000",-,-,-,-,-,-,"1,454,000","410,000","992,000","1,040,000","1,044,000","1,044,000",-,-,"-4,000","48,000","-5,000","987,000",1.92,1.88,"517,000","525,000","2,006,000","1,040,000","1,040,000",-,"278,000","1,040,000",-,-,0,0
33,3/31/2015,"3,731,000","2,072,000","2,319,000","1,802,000","1,802,000","406,000",-,-,"111,000","247,000","92,000",-,"155,000",-,"1,659,000","1,348,000","1,348,000","972,000","376,000",-,-,-,-,"41,000","41,000",-,"270,000","-54,000","2,349,000","438,000","216,000","222,000","1,219,000","1,157,000","1,157,000","62,000","692,000",-,-,-,-,-,-,"1,328,000","324,000","931,000","1,003,000","1,004,000","1,004,000",-,-,"-1,000","70,000","-5,000","926,000",1.79,1.75,"521,000","529,000","2,018,000","1,003,000","1,003,000",-,"252,000","1,003,000",-,-,0,0
34,12/31/2014,"3,947,000","2,097,000","2,337,000","1,835,000","1,835,000","398,000",-,-,"104,000","240,000","86,000",-,"154,000",-,"1,850,000","1,409,000","1,409,000","1,033,000","376,000",-,-,-,-,"-7,000","-7,000",-,"448,000","-52,000","2,539,000","450,000","216,000","234,000","1,237,000","1,170,000","1,170,000","67,000","852,000",-,-,-,-,-,-,"1,356,000","299,000","986,000","1,036,000","1,057,000","1,057,000",-,-,"-21,000","48,000","-5,000","981,000",1.88,1.84,"524,000","532,000","2,045,000","1,036,000","1,036,000",-,"264,000","1,036,000",-,-,0,0
35,9/30/2014,"3,841,000","2,104,000","2,328,000","1,848,000","1,848,000","387,000",-,-,"93,000","224,000","81,000",-,"143,000",-,"1,737,000","1,424,000","1,424,000","1,013,000","411,000",-,-,-,-,"-1,000","-1,000",-,"314,000","-55,000","2,357,000","420,000","200,000","220,000","1,255,000","1,189,000","1,189,000","66,000","682,000",-,-,-,-,-,-,"1,429,000","391,000","963,000","1,037,000","1,038,000","1,038,000",-,-,"-1,000","71,000","-4,000","959,000",1.82,1.79,"529,000","537,000","2,049,000","1,037,000","1,037,000",-,"248,000","1,037,000",-,-,0,0
36,6/30/2014,"3,810,000","2,129,000","2,356,000","1,845,000","1,845,000","412,000",-,-,"99,000","227,000","80,000",-,"147,000",-,"1,681,000","1,366,000","1,366,000","1,004,000","362,000",-,-,-,-,"-7,000","-7,000",-,"322,000","-72,000","2,328,000","403,000","199,000","204,000","1,240,000","1,172,000","1,172,000","68,000","685,000",-,-,-,-,-,-,"1,410,000","358,000","998,000","1,049,000","1,052,000","1,052,000",-,-,"-3,000","48,000","-3,000","995,000",1.88,1.85,"532,000","539,000","2,057,000","1,049,000","1,049,000",-,"240,000","1,049,000",-,-,0,0
37,3/31/2014,"3,777,000","2,195,000","2,410,000","1,899,000","1,899,000","427,000",-,-,"84,000","215,000","78,000",-,"137,000",-,"1,582,000","1,263,000","1,263,000","899,000","364,000",-,-,-,-,"8,000","8,000",-,"311,000","-94,000","2,264,000","419,000","218,000","201,000","1,132,000","1,080,000","1,080,000","52,000","713,000",-,-,-,-,-,-,"1,419,000","359,000","992,000","1,062,000","1,060,000","1,060,000",-,-,"2,000","70,000",-,"992,000",1.86,1.82,"532,000","539,000","2,101,000","1,062,000","1,062,000",-,"236,000","1,062,000",-,-,0,0
38,12/31/2013,"4,073,000","2,266,000","2,479,000","1,949,000","1,949,000","434,000",-,-,"96,000","213,000","81,000",-,"132,000",-,"1,807,000","1,421,000","1,421,000","1,057,000","364,000",-,-,-,-,"3,000","3,000",-,"383,000","-113,000","2,547,000","408,000","211,000","197,000","1,273,000","1,207,000","1,207,000","66,000","866,000",-,-,-,-,-,-,"1,413,000","352,000","998,000","1,048,000","1,061,000","1,061,000",-,-,"-13,000","50,000",-,"998,000",1.87,1.85,"530,000","535,000","2,153,000","1,048,000","1,048,000",-,"263,000","1,048,000",-,-,0,0
39,9/30/2013,"3,920,000","2,234,000","2,448,000","1,933,000","1,933,000","423,000",-,-,"92,000","214,000","84,000",-,"130,000",-,"1,686,000","1,307,000","1,307,000","977,000","330,000",-,-,-,-,"19,000","19,000",-,"360,000","-137,000","2,424,000","399,000","205,000","194,000","1,249,000","1,181,000","1,181,000","68,000","776,000",-,-,-,-,-,-,"1,359,000","320,000","966,000","1,037,000","1,039,000","1,039,000",-,-,"-2,000","71,000",-,"966,000",1.82,1.79,"529,000","534,000","2,097,000","1,037,000","1,037,000",-,"300,000","1,037,000",-,-,0,0
40,6/30/2013,"4,064,000","2,258,000","2,469,000","1,955,000","1,955,000","422,000",-,-,"92,000","211,000","86,000",-,"125,000",-,"1,806,000","1,294,000","1,294,000","954,000","340,000",-,-,-,-,"57,000","57,000",-,"455,000","-157,000","2,435,000","395,000","206,000","189,000","1,253,000","1,186,000","1,186,000","67,000","787,000",-,-,-,-,-,-,"1,472,000","349,000","1,069,000","1,122,000","1,123,000","1,123,000",-,-,"-1,000","53,000","-4,000","1,069,000",2.02,1.99,"528,000","531,000","2,101,000","1,122,000","1,122,000",-,"300,000","1,122,000",-,-,0,0
41,3/31/2013,"3,955,000","2,389,000","2,611,000","2,029,000","2,029,000","470,000",-,-,"112,000","222,000","93,000",-,"129,000",-,"1,566,000","1,251,000","1,251,000","943,000","308,000",-,-,-,-,"4,000","4,000",-,"311,000","-236,000","2,395,000","394,000","211,000","183,000","1,214,000","1,169,000","1,169,000","45,000","787,000",-,-,-,-,-,-,"1,324,000","320,000","934,000","1,013,000","1,004,000","1,004,000",-,-,"9,000","75,000","-5,000","929,000",1.78,1.76,"526,000","528,000","2,153,000","1,013,000","1,013,000",-,"283,000","1,013,000",-,-,0,0
42,12/31/2012,"4,069,000","2,424,000","2,671,000","2,094,000","2,094,000","478,000",-,-,"99,000","247,000","97,000",-,"150,000",-,"1,645,000","1,095,000","1,095,000","793,000","302,000",-,-,-,-,"30,000","30,000",-,"520,000","-318,000","2,725,000","420,000","226,000","194,000","1,286,000","1,216,000","1,216,000","70,000","1,019,000",-,"-104,000","35,000","69,000",-,-,"922,000","203,000","660,000","718,000","719,000","719,000",-,-,"-1,000","54,000","-4,000","656,000",1.26,1.24,"526,000","528,000","2,106,000","718,000","799,120",-,"298,000","718,000","-104,000","-104,000",0,"-22,880"
43,9/30/2012,"4,088,000","2,399,000","2,399,000","2,076,000","2,076,000","504,000",-,-,"90,000","271,000","103,000",-,"168,000",-,"1,689,000","1,040,000","1,040,000","152,000","305,000",-,"583,000",-,-,"16,000","16,000",-,"1,689,000","-228,000","2,650,000","397,000","212,000","185,000","1,245,000","1,171,000","1,171,000","74,000",-,-,"-1,008,000",-,-,"1,008,000",-,"1,210,000","285,000","876,000","939,000","925,000","925,000",-,-,"14,000","63,000",-,"876,000",1.66,1.64,"526,000","529,000","2,171,000","939,000","939,000",-,"307,000","939,000","-1,008,000","-1,008,000",0,0
