,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Sale of Business,Gain Loss On Investment Securities,Earnings Losses from Equity Investments,Depreciation Amortization Depletion,Depreciation & amortization,Deferred Tax,Deferred Income Tax,Other non-cash items,Asset Impairment Charge,Excess Tax Benefit from Stock Based Compensation,Provision for Loan Lease And Other Losses,Change in working capital,Change in Payables And Accrued Expense,Change in Accrued Expense,Change in Loans,Change in Other Current Assets,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Proceeds Payment Federal Funds Sold And Securities Purchased Under Agreement To Resell,Proceeds Payment in Interest Bearing Deposits in Bank,Decrease in Interest Bearing Depositsin Bank,Increase in Interest Bearing Depositsin Bank,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Net Business Purchase And Sale,Purchase of Business,Sale of Business,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Change in Federal Funds And Securities Sold for Repurchase,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Preferred Stock Dividend Paid,Net Other Financing Charges,Other Cash Adjustment Inside Change in Cash,End Cash Position,Changes in Cash,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
70,9/30/2005,"115,000","115,000","334,000","223,000",-,"223,000",-,"111,000","111,000","20,000","20,000","-471,000",-,-,-,"-102,000",-,-,-,-,-,"-1,736,000","-1,736,000",-,-,-,-,"-72,000","-2,739,000","2,667,000",-,-,-,-,"263,000",-,-,"-1,927,000","1,653,000","1,653,000",-,"247,000","1,812,000","-55,571,000","57,383,000","-1,565,000",-,-,-,-,-,-,-,-,"-146,000",-,-,-,-,"3,474,000","32,000","3,442,000",-,-,-,-,-,"-55,571,000","57,383,000",-,"115,000"
71,6/30/2005,"364,000","364,000","282,000","-195,000",-,"-195,000",-,"86,000","86,000","24,000","24,000","-17,000",-,-,-,"184,000",-,-,-,-,-,"-1,735,000","-1,735,000",-,-,-,-,"-77,000","-6,849,000","6,772,000",-,-,-,-,"-366,000",-,-,"-1,292,000","1,905,000","1,905,000",-,"2,296,000","-681,000","31,920,000","-32,601,000","2,977,000",-,-,-,-,-,-,-,-,"-141,000",-,-,-,-,"3,442,000","534,000","2,908,000",-,-,-,-,-,"31,920,000","-32,601,000",-,"364,000"
72,3/31/2005,"-1,451,000","-1,451,000","354,000","9,000",-,"9,000",-,"80,000","80,000","-9,000","-9,000","-1,111,000",-,-,-,"-774,000",-,-,-,-,-,"-3,462,000","-3,462,000",-,-,-,-,"-2,021,000","-8,548,000","6,527,000",-,-,-,-,"-243,000",-,-,"-1,198,000","4,591,000","4,591,000",-,"2,827,000","1,220,000","27,569,000","-26,349,000","1,607,000",-,-,"6,000",-,-,-,-,-,"-142,000",-,-,-,-,"2,908,000","-322,000","3,230,000",-,-,-,-,-,"27,569,000","-26,349,000",-,"-1,451,000"
73,12/31/2004,"329,000","329,000","307,000","-10,000",-,"-10,000",-,"76,000","76,000","55,000","55,000","109,000",-,-,-,"-208,000",-,-,-,-,-,"-898,000","-898,000",-,-,-,-,"197,000","-2,397,000","2,594,000",-,-,-,-,-,-,-,"-1,095,000","794,000","794,000",-,"-1,176,000","386,000","16,896,000","-16,510,000","-1,562,000",-,-,"4,000",-,-,-,-,-,"-141,000",-,-,-,-,"3,230,000","225,000","3,005,000",-,-,-,-,-,"16,896,000","-16,510,000",-,"329,000"
74,9/30/2004,"193,000","193,000","258,000","-16,000",-,"-16,000",-,"76,000","76,000","12,000","12,000","462,000",-,-,-,"-599,000",-,-,-,-,-,"-3,238,000","-3,238,000",-,-,-,-,"1,309,000","-10,192,000","11,501,000",-,-,-,-,-,-,-,"-4,547,000","2,985,000","2,985,000",-,"1,947,000","514,000","11,438,000","-10,924,000","1,433,000",-,-,"12,000",-,-,-,-,-,"-142,000",-,-,-,-,"3,005,000","-60,000","3,065,000",-,-,-,-,-,"11,438,000","-10,924,000",-,"193,000"
75,6/30/2004,"118,000","118,000","304,000","-14,000",-,"-14,000",-,"77,000","77,000","-61,000","-61,000","-62,000",-,-,-,"-126,000",-,-,-,-,-,"1,099,000","1,099,000",-,-,-,-,"-230,000","-2,176,000","1,946,000",-,-,-,-,-,-,-,"1,076,000","-939,000","-939,000",-,"-2,678,000","-792,000","7,148,000","-7,940,000","-1,886,000",-,-,"12,000",-,-,-,-,-,"-142,000",-,-,-,-,"3,065,000","278,000","2,787,000",-,-,-,-,-,"7,148,000","-7,940,000",-,"118,000"
76,3/31/2004,"-203,000","-203,000","328,000","-15,000",-,"-15,000",-,"73,000","73,000","82,000","82,000","-148,000",-,-,-,"-523,000",-,-,-,-,-,"-2,156,000","-2,156,000",-,-,-,-,"-626,000","-3,329,000","2,703,000",-,-,-,-,"-253,000",-,-,"-1,277,000","2,178,000","2,178,000",-,"1,851,000","-454,000","7,748,000","-8,202,000","2,305,000",-,-,"-135,000",-,-,-,-,-,"-141,000",-,-,-,-,"2,787,000","-181,000","2,968,000",-,-,-,-,-,"7,748,000","-8,202,000",-,"-203,000"
77,12/31/2003,"1,298,000","1,298,000","302,000","-15,000",-,"-15,000",-,"74,000","74,000","90,000","90,000","479,000",-,-,-,-,-,-,-,-,-,"-3,907,000","-3,907,000",-,-,-,-,"-6,976,000","-3,935,000","-3,041,000",-,-,-,-,-,-,-,"3,069,000","1,963,000","1,963,000",-,"2,547,000","1,000,000","5,634,000","-4,634,000","1,547,000",-,-,"-77,000",-,-,-,-,-,"-139,000",-,-,-,-,"2,968,000","-646,000","3,614,000",-,-,-,-,-,"5,634,000","-4,634,000",-,"1,298,000"
78,9/30/2003,"-530,000","-530,000","281,000","-19,000",-,"-19,000",-,"73,000","73,000","20,000","20,000","-885,000",-,-,-,-,-,-,-,-,-,"1,485,000","1,485,000",-,-,-,-,"1,511,000","-5,151,000","6,662,000",-,-,-,-,-,-,-,"-26,000","-1,138,000","-1,138,000",-,"214,000","-664,000","5,644,000","-6,308,000","878,000",-,-,"-133,000",-,-,-,-,-,"-134,000",-,-,-,-,"3,614,000","-183,000","3,797,000",-,-,-,-,-,"5,644,000","-6,308,000",-,"-530,000"
79,6/30/2003,"901,000","901,000","184,000","-26,000",-,"-26,000",-,"68,000","68,000","-11,000","-11,000","686,000",-,-,-,-,-,-,-,-,-,"540,000","540,000",-,-,-,-,"-101,000","-4,765,000","4,664,000",-,-,-,-,-,-,-,"619,000","-1,270,000","-1,270,000",-,"-665,000","-600,000","5,474,000","-6,074,000","-65,000",-,-,"-83,000",-,-,-,-,-,"-135,000",-,-,-,-,"3,797,000","171,000","3,626,000",-,-,-,-,-,"5,474,000","-6,074,000",-,"901,000"
