,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Sale of Business,Gain Loss On Investment Securities,Earnings Losses from Equity Investments,Depreciation Amortization Depletion,Depreciation & amortization,Deferred Tax,Deferred Income Tax,Other non-cash items,Asset Impairment Charge,Excess Tax Benefit from Stock Based Compensation,Provision for Loan Lease And Other Losses,Change in working capital,Change in Payables And Accrued Expense,Change in Accrued Expense,Change in Loans,Change in Other Current Assets,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Proceeds Payment Federal Funds Sold And Securities Purchased Under Agreement To Resell,Proceeds Payment in Interest Bearing Deposits in Bank,Decrease in Interest Bearing Depositsin Bank,Increase in Interest Bearing Depositsin Bank,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Net Business Purchase And Sale,Purchase of Business,Sale of Business,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Change in Federal Funds And Securities Sold for Repurchase,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Preferred Stock Dividend Paid,Net Other Financing Charges,Other Cash Adjustment Inside Change in Cash,End Cash Position,Changes in Cash,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
48,3/31/2011,"727,000","727,000","832,000","-92,000",-,"-37,000","-55,000","279,000","279,000","46,000","46,000","37,000","34,000",-,"421,000","-830,000","-411,000","-411,000","166,000","-585,000",-,"5,113,000","5,113,000","1,456,000","251,000","251,000",-,"2,855,000","-7,259,000","10,114,000","631,000","1,048,000","-417,000",-,-,-,-,"-80,000","-5,748,000","-5,748,000","-63,000","-4,256,000","-2,895,000","2,201,000","-5,096,000","-1,361,000",-,"-1,361,000","-19,000","14,000","-33,000",0,-,-,"-56,000","-52,000","-4,000",-,-,"3,389,000","92,000","3,297,000",-,"291,000","445,000",-,"14,000","2,201,000","-6,457,000","-33,000","727,000"
49,12/31/2010,"374,000","374,000","820,000","-18,000",-,"571,000","-115,000","306,000","306,000","328,000","328,000",-,"44,000",0,"442,000","-753,000","-2,137,000","-2,137,000","-98,000","1,072,000","410,000","-4,715,000","-4,715,000","-1,623,000","-1,196,000",-,-,"559,000","-8,425,000","8,984,000","-1,445,000","-850,000","-595,000",-,"-277,000",-,-,"-733,000","3,914,000","3,914,000","-515,000","306,000","-155,000","2,070,000","-2,225,000","461,000",-,"461,000","-12,000","20,000","-32,000",0,-,-,"-77,000","-53,000","-24,000","-1,000",-,"3,297,000","-427,000","3,724,000",-,"173,000","452,000",-,"7,599,000","2,070,000","-1,764,000","-7,611,000","374,000"
50,9/30/2010,"169,000","169,000","1,103,000","-821,000",-,"-760,000","-61,000","311,000","311,000","120,000","120,000",-,"71,000",0,"486,000","-701,000","972,000","972,000","-726,000","209,000","-1,156,000","1,168,000","1,168,000","121,000","4,429,000",-,-,"-8,907,000","-15,720,000","6,813,000","3,109,000","3,859,000","-750,000",-,"2,323,000",-,-,"93,000","-1,171,000","-1,171,000","972,000","-1,589,000","-1,188,000","1,585,000","-2,773,000","-401,000",-,"-401,000","-31,000","25,000","-56,000",0,0,-,"-57,000","-53,000","-4,000","-99,000",-,"3,724,000","166,000","3,558,000",-,"240,000","498,000",-,"25,000","1,585,000","-3,174,000","-56,000","169,000"
51,6/30/2010,"1,996,000","1,996,000","803,000","-205,000",-,"-147,000","-58,000","216,000","216,000","317,000","317,000","196,000","94,000",-,"823,000","-247,000","501,000","501,000","-112,000","-965,000","329,000","3,659,000","3,659,000","-835,000","-4,397,000",-,-,"6,673,000","-4,123,000","10,796,000","1,766,000","3,164,000","-1,398,000",-,-,-,-,"296,000","-5,660,000","-5,660,000","-1,819,000","-15,000","-1,104,000","1,452,000","-2,556,000","1,089,000",-,"1,089,000","-17,000","32,000","-49,000",0,-,-,"-78,000","-53,000","-25,000",-,-,"3,558,000","-5,000","3,563,000",-,"31,000","406,000",-,"-7,547,000","1,452,000","-1,467,000","7,530,000","1,996,000"
52,3/31/2010,"2,272,000","2,272,000","671,000","-147,000",-,"-90,000","-57,000","226,000","226,000","254,000","254,000","204,000","116,000",-,"751,000","197,000","-907,000","-907,000","-218,000","437,000","885,000","5,617,000","5,617,000","1,024,000","3,848,000","3,848,000",-,"-1,570,000","-9,681,000","8,111,000","2,018,000","3,550,000","-1,532,000",-,-,-,-,"297,000","-8,614,000","-8,614,000","1,514,000","-2,667,000","-1,238,000","3,323,000","-4,561,000","-1,429,000",-,"-1,429,000","3,342,000","3,409,000","-67,000","-7,579,000",-,"-7,579,000","-138,000","-45,000","-93,000",-,-,"3,563,000","-725,000","4,288,000",-,"308,000","515,000",-,"3,409,000","3,323,000","-5,990,000","-7,646,000","2,272,000"
53,12/31/2009,"3,224,000","3,224,000","1,107,000","-783,000",-,"-144,000","-37,000","231,000","231,000","789,000","789,000","409,000","144,000",0,"1,049,000","855,000","-2,140,000","-2,140,000","508,000","2,426,000",-,"-2,859,000","-2,859,000","29,000","-3,434,000","-3,434,000",-,"-1,334,000","-9,567,000","8,233,000","2,364,000","3,122,000","-758,000",-,0,0,-,"-484,000","497,000","497,000","4,000","-1,624,000","-1,933,000","681,000","-2,614,000","309,000",-,"29,000","9,000","73,000","-64,000",0,-,-,"-165,000","-46,000","-119,000",0,-,"4,288,000","862,000","3,426,000",-,"-492,000","625,000",-,"73,000","961,000","-2,585,000","-64,000","3,224,000"
54,9/30/2009,"1,179,000","1,179,000","559,000","-232,000",-,"-168,000","-64,000","242,000","242,000","-45,000","-45,000","209,000","129,000","-1,000","914,000","-596,000","-881,000","-881,000","1,089,000","-804,000",-,"4,624,000","4,624,000",-,"9,047,000","9,047,000",-,"-3,905,000","-10,499,000","6,594,000","3,442,000","3,517,000","-75,000",-,-,-,-,"25,000","-6,174,000","-6,174,000","76,000","-3,589,000","-3,682,000","556,000","-4,238,000","93,000",-,"93,000","11,000","53,000","-42,000",0,-,-,"-145,000","-46,000","-99,000",-,-,"3,426,000","-371,000","3,797,000",-,"530,000","710,000",-,"53,000","556,000","-4,145,000","-42,000","1,179,000"
55,6/30/2009,"480,000","480,000","207,000","-215,000",-,"-182,000","-33,000","-143,000","-143,000","-49,000","-49,000","-190,000","155,000",0,"1,087,000","-372,000","-285,000","-285,000","-694,000","1,946,000",-,"6,892,000","6,892,000",-,-,-,-,"-2,570,000","-10,015,000","7,445,000","5,251,000","5,343,000","-92,000",-,-,-,-,"-5,000","-7,151,000","-7,151,000","-868,000","-2,551,000","-2,653,000","-2,526,000","-127,000","102,000",-,"102,000","628,000","675,000","-47,000",-,-,-,"-164,000",-,-,-,-,"3,797,000","221,000","3,576,000",-,"18,000","833,000",-,"675,000","-2,526,000","-25,000","-47,000","480,000"
56,3/31/2009,"870,000","870,000","530,000","-66,000",-,"-56,000","-10,000","648,000","648,000","237,000","237,000","-159,000","149,000",0,"880,000","-1,349,000","-4,812,000","-4,812,000","207,000","1,917,000","1,339,000","822,000","822,000","295,000",-,-,-,"-1,989,000","-6,364,000","4,375,000","2,480,000","2,525,000","-45,000",-,0,-,-,"36,000","-2,587,000","-2,587,000","-385,000","-3,664,000","-1,714,000","6,076,000","-7,790,000","-1,950,000",-,"-1,950,000","35,000","70,000","-35,000",-,-,-,"-344,000",-,-,-,-,"3,576,000","-895,000","4,471,000",-,"10,000","983,000",-,"70,000","6,076,000","-9,740,000","-35,000","870,000"
57,12/31/2008,"2,010,000","2,010,000","-248,000","50,000",-,"172,000",-,"75,000","75,000","-254,000","-254,000","-302,000",-,-,-,"1,185,000",-,-,-,-,-,"-6,370,000","-6,370,000",-,-,-,-,"-1,983,000","-6,413,000","4,430,000",-,-,-,-,"2,520,000",-,-,"2,794,000","5,771,000","5,771,000",-,"2,226,000","712,000","3,675,000","-2,963,000","1,514,000",-,-,"49,000",-,-,"7,275,000",-,-,"-250,000",-,-,"4,000",-,"4,471,000","1,411,000","3,060,000",-,-,-,-,-,"3,675,000","-4,963,000",-,"2,010,000"
58,9/30/2008,"3,301,000","3,301,000","248,000","194,000",-,"74,000",-,"82,000","82,000","-52,000","-52,000","201,000",-,-,-,"2,628,000",-,-,-,-,-,"-3,512,000","-3,512,000",-,-,-,-,"-1,064,000","-5,544,000","4,480,000",-,-,-,-,0,-,-,"-2,448,000","-254,000","-254,000",-,"-79,000","417,000","562,000","-145,000","-496,000",-,-,"59,000",-,-,0,-,-,"-229,000",-,-,"-301,000",-,"3,060,000","-465,000","3,525,000",-,-,-,-,-,"562,000","-145,000",-,"3,301,000"
59,6/30/2008,"1,397,000","1,397,000","505,000","-79,000",-,"1,000",-,"76,000","76,000","52,000","52,000","263,000",-,-,-,"580,000",-,-,-,-,-,"-3,470,000","-3,470,000",-,-,-,-,"-2,850,000","-4,470,000","1,620,000",-,-,-,-,"-136,000",-,-,"-484,000","1,664,000","1,664,000",-,"-832,000","-1,642,000","-343,000","-1,299,000","810,000",-,-,"25,000",-,-,-,-,-,"-229,000",-,-,"676,000",-,"3,525,000","-409,000","3,934,000",-,-,-,-,-,"-343,000","-1,299,000",-,"1,397,000"
60,3/31/2008,"706,000","706,000","377,000","-81,000",-,"-41,000",-,"92,000","92,000","-7,000","-7,000","43,000",-,-,-,"282,000",-,-,-,-,-,"366,000","366,000",-,-,-,-,"1,039,000","-3,055,000","4,094,000",-,-,-,-,"377,000",-,-,"-1,050,000","-705,000","-705,000",-,"1,787,000","5,615,000","6,477,000","-862,000","-3,828,000",-,-,"8,000",-,-,-,-,-,"-215,000",-,-,"3,000",-,"3,934,000","367,000","3,567,000",-,-,-,-,-,"6,477,000","-862,000",-,"706,000"
61,12/31/2007,"-1,203,000","-1,203,000","178,000","-54,000",-,"1,000",-,"94,000","94,000","-3,000","-3,000","-227,000",-,-,-,"-1,491,000",-,-,-,-,-,"-3,524,000","-3,524,000",-,-,-,-,"1,162,000","-718,000","1,880,000",-,-,-,-,"-373,000",-,-,"1,412,000","4,976,000","4,976,000",-,"-1,189,000","1,785,000","2,904,000","-1,119,000","-2,974,000",-,-,"-9,000",-,-,-,-,-,"-212,000",-,-,"2,000",-,"3,567,000","249,000","3,318,000",-,-,-,-,-,"4,904,000","-1,119,000",-,"-1,203,000"
62,9/30/2007,"997,000","997,000","407,000","54,000",-,-,-,"83,000","83,000","11,000","11,000","256,000",-,-,-,"186,000",-,-,-,-,-,"-4,225,000","-4,225,000",-,-,-,-,"-4,671,000","-6,858,000","2,187,000",-,-,-,-,"-280,000",-,-,"726,000","3,369,000","3,369,000",-,"2,800,000","2,555,000","3,137,000","-582,000","245,000",-,-,"-397,000",-,-,-,-,-,"-215,000",-,-,"1,000",-,"3,318,000","141,000","3,177,000",-,-,-,-,-,"3,137,000","-582,000",-,"997,000"
63,6/30/2007,"-1,261,000","-1,261,000","423,000","1,000",-,-,-,"78,000","78,000","25,000","25,000","10,000",-,-,-,"-1,798,000",-,-,-,-,-,"-2,377,000","-2,377,000",-,-,-,-,"-289,000","-2,060,000","1,771,000",-,-,-,-,0,-,-,"-2,088,000","3,581,000","3,581,000",-,"3,707,000","2,197,000","2,519,000","-322,000","1,510,000",-,-,"-248,000",-,-,-,-,-,"-218,000",-,-,"494,000",-,"3,177,000","-57,000","3,234,000",-,-,-,-,-,"2,519,000","-322,000",-,"-1,261,000"
64,3/31/2007,"1,051,000","1,051,000","459,000","-52,000",-,-,-,"77,000","77,000","45,000","45,000","-103,000",-,-,-,"625,000",-,-,-,-,-,"-4,513,000","-4,513,000",-,-,-,-,"-1,656,000","-6,248,000","4,592,000",-,-,-,-,"-1,890,000",-,-,"-967,000","3,173,000","3,173,000",-,"4,736,000","1,517,000","2,420,000","-903,000","3,219,000",-,-,"-56,000",-,-,-,-,-,"-161,000",-,-,"8,000",-,"3,234,000","-289,000","3,523,000",-,-,-,-,-,"2,420,000","-903,000",-,"1,051,000"
65,12/31/2006,"1,128,000","1,128,000","376,000","-2,060,000",-,0,-,"77,000","77,000","-103,000","-103,000","2,243,000",-,-,-,"500,000",-,-,-,-,-,"-2,126,000","-2,126,000",-,-,-,-,"-185,000","-1,672,000","1,487,000",-,-,-,-,"-3,000",-,-,"1,715,000","1,503,000","1,503,000",-,"1,115,000","1,230,000","1,709,000","-479,000","-115,000",-,-,"-84,000",-,-,-,-,-,"-162,000",-,-,"78,000",-,"3,523,000","505,000","3,018,000",-,-,-,-,-,"1,709,000","-489,000",-,"1,128,000"
66,9/30/2006,"-34,000","-34,000","1,484,000","195,000",-,"195,000",-,"86,000","86,000","784,000","784,000","-1,756,000",-,-,-,"-827,000",-,-,-,-,-,"153,000","153,000",-,-,-,-,"907,000","-7,250,000","8,157,000",-,-,-,-,0,-,-,"-754,000","-539,000","-539,000",-,"-1,658,000","-2,297,000","-133,000","-2,164,000","639,000",-,-,"-95,000",-,-,-,-,-,"-162,000",-,-,"298,000",-,"3,018,000","-420,000","3,438,000",-,-,-,-,-,"-133,000","-2,164,000",-,"-34,000"
67,6/30/2006,"609,000","609,000","381,000","8,000",-,"8,000",-,"89,000","89,000","34,000","34,000","-688,000",-,-,-,"785,000",-,-,-,-,-,"-2,058,000","-2,058,000",-,-,-,-,"-838,000","-3,834,000","2,996,000",-,-,-,-,"-50,000",-,-,"-1,170,000","1,681,000","1,681,000",-,"-302,000","-19,000","-484,000","465,000","-283,000",-,-,"-86,000",-,-,-,-,-,"-162,000",-,-,"-361,000",-,"3,438,000","232,000","3,206,000",-,-,-,-,-,"-484,000","465,000",-,"609,000"
68,3/31/2006,"945,000","945,000","354,000","4,000",-,"4,000",-,"93,000","93,000","37,000","37,000","241,000",-,-,-,"216,000",-,-,-,-,-,"-1,331,000","-1,331,000",-,-,-,-,"-822,000","-2,951,000","2,129,000",-,-,-,-,"-5,000",-,-,"-504,000","74,000","74,000",-,"-494,000","-243,000","1,400,000","-1,643,000","-251,000",-,-,"77,000",-,-,-,-,-,"-147,000",-,-,"14,000",-,"3,206,000","-312,000","3,518,000",-,-,-,-,-,"1,400,000","-1,643,000",-,"945,000"
69,12/31/2005,"296,000","296,000","355,000","-2,000",-,"4,000",-,"98,000","98,000","-34,000","-34,000","480,000",-,-,-,"-601,000",-,-,-,-,-,"1,137,000","1,137,000",-,-,-,-,"-2,720,000","-6,094,000","3,374,000",-,-,-,-,"-184,000",-,-,"4,041,000","-1,389,000","-1,389,000",-,"-1,347,000","404,000","502,000","-98,000","-1,751,000",-,-,"43,000",-,-,-,-,-,"-146,000",-,-,-,-,"3,518,000","44,000","3,474,000",-,-,-,-,-,"502,000","-98,000",-,"296,000"
