,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Sale of Business,Gain Loss On Investment Securities,Earnings Losses from Equity Investments,Realized Gain Loss On Sale of Loans And Lease,Depreciation Amortization Depletion,Depreciation & amortization,Deferred Tax,Deferred Income Tax,Other non-cash items,Asset Impairment Charge,Excess Tax Benefit from Stock Based Compensation,Provision for Loan Lease And Other Losses,Change in working capital,Change in Payables And Accrued Expense,Change in Accrued Expense,Change in Loans,Change in Other Current Assets,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Proceeds Payment Federal Funds Sold And Securities Purchased Under Agreement To Resell,Proceeds Payment in Interest Bearing Deposits in Bank,Decrease in Interest Bearing Depositsin Bank,Increase in Interest Bearing Depositsin Bank,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Net Business Purchase And Sale,Purchase of Business,Sale of Business,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Change in Federal Funds And Securities Sold for Repurchase,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Preferred Stock Dividend Paid,Proceeds from Stock Option Exercised,Net Other Financing Charges,Other Cash Adjustment Inside Change in Cash,End Cash Position,Changes in Cash,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
10,12/31/2013,"5,555,000","5,555,000","4,227,000","-624,000",-,"-99,000","-373,000",-,"1,146,000","1,146,000","1,207,000","1,207,000","-164,000",-,"-23,000","643,000","-857,000","-4,001,000","-4,001,000","-94,000","3,693,000","-455,000","-18,935,000","-18,935,000","-530,000","-8,151,000",-,-,"-177,000","-20,302,000","20,125,000","-10,206,000","2,559,000","-12,765,000",-,-,-,-,"129,000","12,203,000","12,203,000","965,000","4,368,000","7,824,000","23,275,000","-15,451,000","-3,456,000","12,595,000","-16,051,000","220,000","244,000","-24,000","346,000","496,000","-150,000","-1,148,000","-911,000","-237,000",-,"-352,000",-,"4,043,000","-1,177,000","5,220,000",-,"234,000","891,000",-,"740,000","35,870,000","-31,502,000","-174,000","5,555,000"
11,12/31/2012,"6,827,000","6,827,000","3,001,000","-662,000",-,"-204,000","-302,000",-,"1,159,000","1,159,000","570,000","570,000","-13,000","45,000",-,"987,000","1,740,000","-697,000","-697,000","-1,125,000","2,212,000","1,350,000","-17,261,000","-17,261,000","732,000","-2,526,000",-,-,"3,084,000","-18,643,000","21,727,000","-14,518,000","1,611,000","-16,129,000",-,"-4,130,000","-4,130,000",-,"97,000","11,549,000","11,549,000","-2,000","2,606,000","-1,576,000","17,099,000","-18,675,000","4,182,000","21,242,000","-17,060,000","-58,000","158,000","-216,000","2,449,000","2,449,000",-,"-997,000","-820,000","-177,000",-,"-500,000",-,"5,220,000","1,115,000","4,105,000",-,"39,000","1,208,000",-,"2,607,000","38,341,000","-35,735,000","-216,000","6,827,000"
12,12/31/2011,"6,035,000","6,035,000","3,071,000","-359,000",-,"-249,000","-262,000",-,"1,140,000","1,140,000","840,000","840,000","-130,000","152,000",-,"1,152,000","321,000","3,330,000","3,330,000","77,000","-3,416,000","330,000","-6,549,000","-6,549,000","1,487,000","441,000",-,-,"2,308,000","-27,158,000","29,466,000","-10,855,000","1,770,000","-12,625,000",-,"430,000",-,"430,000","-360,000","1,322,000","1,322,000","-1,151,000","-1,900,000","-1,900,000","13,269,000","-15,169,000",-,-,-,"-1,000","72,000","-73,000","988,000","988,000",-,"-660,000","-604,000","-56,000",-,-,-,"4,105,000","808,000","3,297,000",-,"842,000","1,517,000",-,"1,060,000","13,269,000","-15,169,000","-73,000","6,035,000"
13,12/31/2010,"4,811,000","4,811,000","3,397,000","-1,191,000",-,"-426,000","-291,000",-,"1,059,000","1,059,000","1,019,000","1,019,000","-470,000","325,000","-1,000","2,502,000","-1,504,000","-1,571,000","-1,571,000","-1,154,000","753,000","468,000","5,729,000","5,729,000","-1,313,000","2,684,000",-,"2,684,000","-3,245,000","-37,949,000","34,704,000","5,448,000","9,723,000","-4,275,000",-,"2,202,000",-,"2,202,000","-47,000","-11,531,000","-11,531,000","152,000","-3,965,000","-3,685,000","8,430,000","-12,115,000","-280,000","380,000","-280,000","3,282,000","3,486,000","-204,000","-7,579,000",-,"-7,579,000","-350,000","-204,000","-146,000",0,"-99,000",-,"3,297,000","-991,000","4,288,000",-,"752,000","1,871,000",-,"3,486,000","8,430,000","-12,395,000","-7,783,000","4,811,000"
14,12/31/2009,"5,753,000","5,753,000","2,403,000","-1,296,000",-,"-550,000","-144,000",-,"978,000","978,000","932,000","932,000","269,000","577,000","-1,000","3,930,000","-1,462,000","-8,118,000","-8,118,000","1,110,000","5,485,000","61,000","9,479,000","9,479,000","-560,000","10,124,000","10,124,000",-,"-9,798,000","-36,445,000","26,647,000","13,537,000","14,507,000","-970,000",-,"-3,396,000","-3,396,000",-,"-428,000","-15,415,000","-15,415,000","-1,173,000","-11,428,000","-9,982,000","4,787,000","-14,769,000","-1,446,000","280,000","-1,726,000","683,000","871,000","-188,000",0,-,-,"-818,000","-430,000","-388,000",0,"1,000",-,"4,288,000","-183,000","4,471,000",-,"66,000","3,151,000",-,"871,000","5,067,000","-16,495,000","-188,000","5,753,000"
15,12/31/2008,"7,414,000","7,414,000","882,000","84,000",-,"206,000","-129,000","253,000","325,000","325,000","-261,000","-261,000","205,000",-,"-13,000","1,517,000","4,675,000","5,140,000","5,140,000","50,000","-1,974,000","1,459,000","-12,986,000","-12,986,000","1,301,000","-6,234,000","-6,234,000",-,"-4,858,000","-19,482,000","14,624,000","-4,768,000","76,000","-4,844,000",-,"2,761,000",-,"2,761,000","-1,188,000","6,476,000","6,476,000","-8,081,000","3,102,000","5,102,000","10,371,000","-5,269,000","-2,000,000","840,000","-2,000,000","141,000","375,000","-234,000","7,767,000","7,767,000",-,"-923,000",-,-,"304,000","382,000",-,"4,471,000","904,000","3,567,000",-,"706,000","2,145,000",-,"8,142,000","10,371,000","-7,269,000","-234,000","7,414,000"
16,12/31/2007,"-416,000","-416,000","1,467,000","-51,000",-,"5,000","-207,000","24,000","332,000","332,000","78,000","78,000","-64,000",-,"-15,000","315,000","-2,478,000","-498,000","-498,000","-1,465,000","37,000","-552,000","-14,639,000","-14,639,000","-1,147,000",-,-,-,"-5,454,000","-15,884,000","10,430,000","-4,578,000","329,000","-4,907,000",-,"-2,543,000","-2,602,000","59,000","-917,000","15,099,000","15,099,000","4,057,000","10,054,000","8,054,000","10,980,000","-2,926,000","2,000,000","2,000,000",-,"-710,000","253,000","-963,000",-,-,-,"-806,000",-,-,-,"505,000",-,"3,567,000","44,000","3,523,000",-,"659,000","2,973,000",-,"253,000","12,980,000","-2,926,000","-963,000","-416,000"
17,12/31/2006,"2,648,000","2,648,000","2,595,000","-1,853,000",-,"207,000","-39,000","45,000","345,000","345,000","752,000","752,000","40,000",-,"-29,000","124,000","674,000","83,000","83,000","435,000",-,"156,000","-5,362,000","-5,362,000","-1,413,000",-,-,-,"-938,000","-15,707,000","14,769,000","-2,240,000","1,110,000","-3,350,000",-,"-58,000","-58,000",-,"-713,000","2,719,000","2,719,000","-1,058,000","-1,339,000","-1,329,000","2,492,000","-3,821,000","-10,000","249,000","-10,000","-188,000","343,000","-531,000",-,-,-,"-633,000",-,-,-,"29,000",-,"3,523,000","5,000","3,518,000",-,"471,000","2,376,000",-,"343,000","2,492,000","-3,831,000","-531,000","2,648,000"
18,12/31/2005,"-676,000","-676,000","1,325,000","35,000",-,"41,000",-,-,"375,000","375,000","1,000","1,000","-1,119,000",-,-,-,"-1,293,000",-,-,-,-,-,"-5,796,000","-5,796,000",-,-,-,-,"-4,890,000","-24,230,000","19,340,000",-,-,-,-,"-530,000",-,-,"-376,000","6,760,000","6,760,000",-,"4,023,000","2,755,000","4,420,000","-1,665,000","1,268,000",-,-,"54,000",-,-,-,-,-,"-575,000",-,-,-,-,-,"3,518,000","288,000","3,230,000",-,-,-,-,-,"4,420,000","-1,665,000",-,"-676,000"
19,12/31/2004,"437,000","437,000","1,197,000","-55,000",-,"-55,000",-,-,"302,000","302,000","88,000","88,000","361,000",-,-,-,"-1,456,000",-,-,-,-,-,"-5,193,000","-5,193,000",-,-,-,-,"650,000","-18,094,000","18,744,000",-,-,-,-,-,-,-,"-5,843,000","5,018,000","5,018,000",-,"-56,000","-346,000","43,230,000","-43,576,000","290,000",-,-,"-107,000",-,-,-,-,-,"-566,000",-,-,-,-,-,"3,230,000","262,000","2,968,000",-,-,-,-,-,"43,230,000","-43,576,000",-,"437,000"
20,12/31/2003,"1,668,000","1,668,000","1,029,000","-116,000",-,"-116,000",-,-,"289,000","289,000","216,000","216,000","-118,000",-,-,-,"368,000",-,-,-,-,-,"-2,660,000","-2,660,000",-,-,-,-,"-6,433,000","-19,744,000","13,311,000",-,-,-,-,-,-,-,"3,773,000","759,000","759,000",-,"1,513,000","-1,111,000","22,906,000","-24,017,000","2,624,000",-,-,"-467,000",-,-,-,-,-,"-546,000",-,-,-,-,-,"2,968,000","-233,000","3,201,000",-,-,-,-,-,"22,906,000","-24,017,000",-,"1,668,000"
21,12/31/2002,"2,653,000","2,653,000","1,184,000","-89,000",-,"-89,000",-,-,"242,000","242,000","487,000","487,000","245,000",-,-,-,"584,000",-,-,-,-,-,"2,204,000","2,204,000",-,-,-,-,"586,000","-18,967,000","19,553,000",-,-,-,-,"-1,676,000",-,-,"3,294,000","-5,983,000","-5,983,000",-,"-2,784,000","-2,784,000","22,377,000","-25,161,000",-,-,-,"-62,000",-,-,-,-,-,"-546,000",-,-,-,-,-,"3,201,000","-1,126,000","4,327,000",-,-,-,-,-,"22,377,000","-25,161,000",-,"2,653,000"
22,12/31/2001,"1,266,000","1,266,000","377,000","-128,000",-,"-128,000",-,-,"260,000","260,000","-48,000","-48,000","897,000",-,-,-,"-92,000",-,-,-,-,-,"856,000","856,000",-,-,-,-,"-4,009,000","-28,598,000","24,589,000",-,-,-,-,-,-,-,"4,865,000","-1,457,000","-1,457,000",-,"-77,000","-77,000","40,626,000","-40,703,000",-,-,-,"-497,000",-,-,-,-,-,"-569,000",-,-,-,"46,000",-,"4,327,000","665,000","3,662,000",-,-,-,-,-,"40,626,000","-40,703,000",-,"1,266,000"
23,12/31/2000,"3,048,000","3,048,000","1,214,000","-29,000",-,"-29,000",-,-,"340,000","340,000","376,000","376,000","1,147,000",-,-,-,-,-,-,-,-,-,"-1,061,000","-1,061,000",-,-,-,-,"200,000","-9,147,000","9,347,000",-,-,-,-,-,-,-,"-1,261,000","-1,405,000","-1,405,000",-,"-2,482,000","-2,646,000","213,640,000","-216,286,000","164,000",-,-,"-239,000",-,-,-,-,-,"-546,000",-,-,-,-,-,"3,662,000","582,000","3,080,000",-,-,-,-,-,"213,640,000","-216,286,000",-,"3,048,000"
24,12/31/1999,"1,860,000","1,860,000","1,264,000","-461,000",-,"93,000",-,-,"327,000","327,000","204,000","204,000","526,000",-,-,-,-,-,-,-,-,-,"1,957,000","1,957,000",-,-,-,-,"-71,000","-10,997,000","10,926,000",-,-,-,-,-,-,-,"2,028,000","-3,254,000","-3,254,000",-,"-1,631,000","-2,522,000","178,238,000","-180,760,000","891,000",-,-,"-662,000",-,-,-,-,-,"-520,000",-,-,-,-,-,"3,097,000","563,000","2,534,000",-,-,-,-,-,"178,238,000","-180,760,000",-,"1,860,000"
25,12/31/1998,"-286,000","-286,000","1,115,000","-448,000",-,"-120,000",-,-,"632,000","632,000","170,000","170,000","-1,755,000",-,-,-,-,-,-,-,-,-,"-2,776,000","-2,776,000",-,-,-,-,"1,557,000","-13,342,000","14,899,000",-,-,-,-,-,-,-,"-4,333,000","1,293,000","1,293,000",-,"1,328,000","4,570,000","220,011,000","-215,441,000","-3,242,000",-,-,"-219,000",-,-,-,-,-,"-495,000",-,-,-,"198,000",-,"2,534,000","-1,769,000","4,303,000",-,-,-,-,-,"220,011,000","-215,441,000",-,"-286,000"
26,12/31/1997,"-41,000","-41,000","1,052,000","-228,000",-,"-49,000",-,-,"346,000","346,000","133,000","133,000","-1,344,000",-,-,-,-,-,-,-,-,-,"-48,000","-48,000",-,-,-,-,"3,628,000","-8,725,000","12,353,000",-,-,-,-,-,-,-,"-3,676,000","376,000","376,000",-,"-46,000","255,000","193,259,000","-193,004,000","-301,000",-,-,"-1,377,000",-,-,-,-,-,"-488,000",-,-,-,"300,000",-,"4,303,000","287,000","4,016,000",-,-,-,-,-,"193,259,000","-193,004,000",-,"-41,000"
27,12/31/1996,"210,000","210,000","992,000","-111,000",-,"-22,000",-,-,"290,000","290,000","190,000","190,000","-869,000",-,-,-,"-282,000",-,-,-,-,-,"1,555,000","1,555,000",-,-,-,-,"3,771,000","-9,063,000","12,834,000",-,-,-,-,-,-,-,"-2,216,000","-1,428,000","-1,428,000",-,"561,000","3,787,000","104,461,000","-100,674,000","-3,226,000",-,-,"-99,000",-,-,"296,000",-,-,"-488,000",-,-,-,-,-,"4,016,000","337,000","3,679,000",-,-,-,-,-,"104,461,000","-100,674,000",-,"210,000"
28,12/31/1995,"1,120,000","1,120,000","408,100","203,000",-,"280,000",-,-,"296,000","296,000","128,000","128,000","84,900",-,-,-,-,-,-,-,-,-,"7,035,000","7,035,000",-,-,-,-,"8,148,000","165,000","7,983,000",-,-,-,-,-,-,-,"-1,113,000","-7,888,000","-7,888,000",-,"-5,441,000","-5,585,000","115,611,000","-121,196,000","144,000",-,-,"-148,000",-,-,"-50,000",-,-,"-387,000",-,-,-,-,-,"3,679,000","267,000","3,412,000",-,-,-,-,-,"115,611,000","-121,196,000",-,"1,120,000"
29,12/31/1994,"1,504,000","1,504,000","610,100","74,000",-,"135,000",-,-,"246,000","246,000","32,000","32,000","541,900",-,-,-,-,-,-,-,-,-,"-1,940,000","-1,940,000",-,-,-,-,"-36,100","-1,743,900","1,707,800",-,-,-,-,-,-,-,"-1,903,900","1,211,000","1,211,000",-,"3,119,000","2,407,000","119,919,000","-117,512,000","712,000",-,-,"-45,000",-,-,-,-,-,"-309,000",-,-,-,"-1,098,000",-,"2,592,000","775,000","1,817,000",-,-,-,-,-,"119,919,000","-117,512,000",-,"1,504,000"
30,12/31/1993,"961,000","961,000","745,300","-204,000",-,"-188,000",-,-,"148,000","148,000","-61,000","-61,000","227,700",-,-,-,"105,000",-,-,-,-,-,"-3,030,000","-3,030,000",-,-,-,-,"704,000","-25,459,000","26,163,000",-,-,-,-,-,-,-,"-3,734,000","1,769,000","1,769,000",-,"5,950,000","6,416,000","57,325,000","-50,909,000","-466,000",-,-,"34,000",-,-,-,-,-,"-276,000",-,-,-,"-3,540,000",-,"1,817,000","-300,000","2,117,000",-,-,-,-,-,"57,325,000","-50,909,000",-,"961,000"
31,12/31/1992,"3,593,200","3,593,200","529,400","-237,300",-,"-214,100",-,-,"137,000","137,000","-35,900","-35,900","3,187,100",-,-,-,"12,900",-,-,-,-,-,"-5,942,400","-5,942,400",-,-,-,-,"-6,160,600","-13,101,200","6,940,600",-,-,-,-,-,-,-,"218,200","2,364,700","2,364,700",-,"2,311,700","1,889,900","35,814,600","-33,924,700","421,800",-,-,"60,600",-,-,-,-,-,"-238,800",-,-,-,"3,025,200",-,0,"15,500","2,101,000","-2,116,500",-,-,-,-,"35,814,600","-33,924,700",-,"3,593,200"
32,12/31/1991,"872,800","872,800","389,800","-412,300",-,"-294,400",-,-,"71,500","71,500","20,600","20,600","840,100",-,-,-,"-36,900",-,-,-,-,-,"527,200","527,200",-,-,-,-,"-2,148,700","-9,611,400","7,462,700",-,-,-,"-109,500",-,-,-,"2,785,400","-1,859,700","-1,859,700",-,"2,414,200","2,286,000","35,707,400","-33,421,400","128,200",-,-,"464,400",-,-,-,-,-,"-207,100",-,-,-,"-1,499,000",-,0,"-459,700","2,560,700","-2,101,000",-,-,"-109,500",-,"35,707,400","-33,421,400",-,"763,300"
33,12/31/1990,"868,800","868,800","70,900","-32,800",-,"-26,200",-,-,"85,800","85,800","-85,200","-85,200","767,400",-,-,-,"62,700",-,-,-,-,-,"-1,111,400","-1,111,400",-,-,-,-,"-313,000","-8,847,400","8,534,400",-,-,-,"-92,600",-,-,-,"-705,800","211,400","211,400",-,"-168,200","356,800","597,900","-241,100","-525,000",-,-,"31,300",-,-,-,-,-,"-204,000",-,-,-,"-1,367,900",-,0,"-31,200","2,591,800","-2,560,600",-,-,"-92,600",-,"597,900","-241,100",-,"776,200"
34,12/31/1989,"775,300","775,300","377,400","-42,900",-,"-34,800",-,-,"70,500","70,500","3,700","3,700","328,700",-,-,-,"37,900",-,-,-,-,-,"-3,211,100","-3,211,100",-,-,-,-,"-2,035,600","-15,479,700","13,444,100",-,-,-,"-97,400",-,-,-,"-1,078,100","2,655,900","2,655,900",-,"235,400","319,500","440,300","-120,800","-84,100",-,-,"-5,000",-,-,-,-,-,"-187,800",-,-,-,"1,522,700",100,0,"220,200","2,371,700","-2,591,900",-,-,"-97,400",-,"440,300","-120,800",-,"677,900"
