,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Customer Acceptances,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Other Receivables,Net PPE,Gross PPE,Other Properties,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Payables And Accrued Expenses,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Current Notes Payable,Commercial Paper,Line of Credit,Other Current Borrowings,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Long Term Provisions,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
54,9/30/2009,"271,407,000","6,982,000","4,555,000",-,-,"4,555,000","2,427,000","2,427,000",-,"57,413,000","2,075,000","54,413,000",-,"925,000","8,684,000",-,"159,307,000","164,117,000","3,509,000",-,"160,608,000",-,"160,608,000","4,810,000",-,-,-,-,-,-,-,"12,734,000","9,286,000","3,448,000","26,287,000","239,744,000","183,809,000","140,784,000","140,784,000","43,025,000","3,996,000",-,-,"3,592,000","3,592,000","12,424,000","12,424,000","12,424,000",-,-,-,-,"22,454,000","22,454,000","11,953,000",-,"324,000","13,469,000","31,663,000","28,928,000","2,348,000",-,"2,348,000","12,179,000","16,820,000","472,000","-1,947,000",-,-,"2,735,000","51,382,000",-,"28,928,000",-,"16,194,000","63,806,000","16,194,000","34,878,000","30,323,000","469,000","461,000",-,"8,000"
55,6/30/2009,"279,754,000","15,801,000","13,987,000",-,-,"13,987,000","1,814,000","1,814,000",-,"52,788,000","1,925,000","49,969,000",-,"894,000","8,168,000",-,"165,102,000","169,671,000","4,662,000",-,"165,009,000",-,"165,009,000","4,569,000",-,-,-,-,-,-,-,"12,890,000","9,206,000","3,684,000","25,005,000","250,287,000","190,439,000","148,633,000","148,633,000","41,806,000","3,921,000",-,-,"3,651,000","3,651,000","13,292,000","13,292,000","13,292,000",-,-,-,-,"25,160,000","25,160,000","14,777,000",-,-,"13,824,000","29,467,000","27,294,000","2,342,000",-,"2,342,000","11,758,000","16,730,000","435,000","-3,101,000",-,-,"2,173,000","52,454,000",-,"27,294,000",-,"14,404,000","65,746,000","14,404,000","38,452,000","24,465,000","468,000","461,000",-,"7,000"
56,3/31/2009,"286,422,000","19,913,000","18,359,000",-,-,"18,359,000","1,554,000","1,554,000",-,"48,147,000","1,087,000","46,253,000",-,"807,000","8,215,000",-,"171,119,000","175,418,000","4,045,000",-,-,-,"171,373,000","4,299,000",-,-,-,-,-,-,-,"12,178,000","8,855,000","3,323,000","26,850,000","257,766,000","194,635,000",-,-,-,"4,789,000",-,-,"3,340,000","3,340,000","13,828,000","13,828,000","13,828,000",-,-,-,-,"27,679,000","27,679,000","16,985,000",-,"328,000","13,167,000","28,656,000","26,477,000","2,261,000",-,"2,261,000","11,738,000","16,217,000","450,000","-3,289,000",-,-,"2,179,000","54,156,000",-,"26,477,000",-,"14,299,000","67,984,000","14,299,000","41,507,000","23,148,000","452,279","445,279",-,"7,000"
57,12/31/2008,"291,081,000","6,327,000","4,471,000","4,471,000","4,471,000","14,859,000","1,856,000","1,856,000",-,"61,082,000","1,725,000","43,473,000","3,331,000","15,884,000","8,554,000",-,"167,988,000","173,367,000","4,366,000","58,281,000","14,105,000","94,708,000","1,907,000","3,917,000","-1,462,000","7,950,000",-,"7,950,000",-,-,-,"8,868,000","8,868,000","2,820,000","30,312,000","263,433,000","192,865,000","155,717,000","155,717,000","37,148,000","5,153,000",-,-,"3,949,000","3,949,000",-,-,-,-,-,-,-,"47,087,000","47,087,000","17,895,000",-,"344,000","14,035,000","27,648,000","25,422,000","2,261,000",-,"2,261,000","11,461,000","16,246,000","597,000","-3,949,000","-3,949,000",-,"2,226,000","72,509,000",-,"25,422,000",-,"16,554,000","72,509,000","16,554,000","47,087,000","42,616,000","444,312","444,312",-,-
58,9/30/2008,"145,610,000","4,886,000","3,060,000",-,-,"3,060,000","1,826,000","1,826,000",-,"40,632,000",-,"40,632,000",-,-,-,-,"76,053,000","77,106,000",-,-,-,-,"77,106,000","1,053,000",-,-,-,-,-,-,-,"9,921,000",-,-,"14,118,000","129,322,000","84,984,000","65,729,000","65,729,000","19,255,000","7,448,000",-,-,-,-,-,-,-,-,-,-,-,"21,450,000","21,450,000",-,-,-,"15,440,000","16,288,000","14,218,000","1,787,000",-,"1,787,000","11,959,000","3,377,000","675,000","-2,230,000",-,-,"2,070,000","35,668,000",-,"14,218,000",-,"4,297,000","35,668,000","4,297,000","21,450,000","18,390,000","348,000","348,000",-,-
59,6/30/2008,"142,771,000","6,540,000","3,525,000",-,-,"3,525,000","3,015,000","3,015,000",-,"33,737,000",-,"33,737,000",-,-,-,-,"74,340,000","75,328,000",-,-,-,-,"75,328,000","988,000",-,-,-,-,-,-,-,"9,928,000",-,-,"18,226,000","125,654,000","84,689,000","64,820,000","64,820,000","19,869,000","7,343,000",-,-,-,-,-,-,-,-,-,-,-,"22,432,000","22,432,000",-,-,-,"11,190,000","17,117,000","15,108,000","1,787,000",-,"1,787,000","11,940,000","3,387,000","779,000","-1,227,000",-,-,"2,009,000","37,540,000",-,"15,108,000",-,"5,180,000","37,540,000","5,180,000","22,432,000","18,907,000","357,000","346,000",-,"11,000"
60,3/31/2008,"139,991,000","6,091,000","3,934,000",-,-,"3,934,000","2,157,000","2,157,000",-,"38,755,000",-,"38,755,000",-,-,-,-,"72,453,000","74,269,000",-,-,-,-,"74,269,000","865,000","-951,000",-,-,-,-,-,-,"9,349,000",-,-,"13,343,000","123,560,000","80,410,000","61,234,000","61,234,000","19,176,000","7,664,000",-,-,-,-,-,-,-,-,-,-,-,"21,907,000","21,907,000",-,-,-,"13,579,000","16,431,000","14,423,000","1,764,000",-,"1,764,000","11,664,000","2,603,000","829,000","-779,000",-,-,"2,008,000","36,330,000",-,"14,423,000",-,"5,074,000","36,330,000","5,074,000","21,907,000","17,973,000","341,000","341,000",-,-
61,12/31/2007,"138,920,000","6,296,000","3,567,000",-,-,"3,567,000","2,729,000","2,729,000",-,"34,354,000",-,"40,399,000",-,"34,354,000","6,045,000",-,"67,952,000","69,736,000","3,927,000","28,607,000","18,739,000","18,463,000","413,000","794,000","-990,000","3,464,000",-,"3,464,000",-,-,-,"9,551,000","8,405,000","1,146,000","11,258,000","122,412,000","82,696,000","63,256,000","63,256,000","19,440,000","9,774,000","7,037,000","2,737,000","4,330,000","4,330,000",-,-,-,-,-,-,-,"21,157,000","21,157,000","7,065,000",-,"134,000","4,321,000","16,508,000","14,854,000","1,764,000",-,"1,764,000","11,497,000","2,618,000","878,000","-147,000","-147,000","-1,000","1,654,000","36,011,000",-,"14,854,000",-,"5,303,000","36,011,000","5,303,000","21,157,000","17,590,000","341,000","341,000",-,-
62,9/30/2007,"131,366,000","5,678,000","3,318,000",-,-,"3,318,000","2,360,000","2,360,000",-,"38,349,000",-,"38,349,000",-,-,-,-,"68,047,000","69,750,000",-,-,-,-,"69,750,000","717,000","-986,000",-,-,-,-,-,-,"8,935,000",-,-,"10,357,000","115,161,000","78,409,000","59,839,000","59,839,000","18,570,000","8,648,000",-,-,-,-,-,-,-,-,-,-,-,"16,542,000","16,542,000",-,-,-,"11,562,000","16,205,000","14,539,000","1,764,000",-,"1,764,000","11,531,000","2,631,000","1,132,000","-255,000",-,-,"1,666,000","31,081,000",-,"14,539,000",-,"5,604,000","31,081,000","5,604,000","16,542,000","13,224,000","340,517","340,517",-,-
63,6/30/2007,"125,651,000","5,001,000","3,177,000",-,-,"3,177,000","1,824,000","1,824,000",-,"35,154,000",-,"35,154,000",-,-,-,-,"66,573,000","68,280,000",-,-,-,-,"68,280,000","703,000","-1,004,000",-,-,-,-,-,-,"8,658,000",-,-,"10,265,000","109,777,000","77,221,000","58,919,000","58,919,000","18,302,000","10,017,000",-,-,-,-,-,-,-,-,-,-,-,"14,499,000","14,499,000",-,-,-,"8,040,000","15,874,000","14,504,000","1,764,000",-,"1,764,000","11,339,000","2,606,000","766,000","-439,000",-,-,"1,370,000","29,003,000",-,"14,504,000",-,"5,846,000","29,003,000","5,846,000","14,499,000","11,322,000","339,798","339,798",-,-
