,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Restricted Cash And Investments,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Security Agree to be Resold,Long Term Equity Investment,Derivative Assets,Net Loan,Allowance for Loans And Lease Losses,Receivables,Prepaid Assets,Net PPE,Gross PPE,Properties,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Construction in Progress,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Defined Pension Benefit,Assets Held for Sale,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Trading Liabilities,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Preferred Securities Outside Stock Equity,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Other Equity Interest,Minority Interest,Total Capitalization,Common Stock Equity,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
20,3/31/2018,"2,652,123,000","397,552,000","184,445,000","184,445,000",-,"184,445,000",-,"213,107,000","213,107,000","213,107,000",-,"221,038,000","1,059,892,000","9,381,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"262,683,000","2,448,561,000","1,443,678,000","83,364,000","216,902,000","71,482,000",-,"395,516,000","203,562,000","195,924,000",-,-,-,-,-,"7,638,000","267,406,000","195,924,000","195,924,000","267,406,000","195,924,000","71,482,000",-,"20,378,426","20,053,153",-,"325,273"
21,12/31/2017,"2,521,771,000","401,933,000","200,380,000","180,624,000","13,128,000","6,628,000",-,"201,553,000","201,553,000","201,553,000","22,744,000","219,818,000","1,117,082,000","7,484,000","17,679,000","7,929,000","10,027,000","10,027,000",-,-,-,-,-,"10,027,000",-,"23,453,000","13,588,000","9,865,000","8,752,000","781,000","24,103,000","2,323,900,000","1,510,421,000","108,469,000","216,821,000","170,724,000","2,297,000","195,136,000","197,871,000","190,250,000","10,160,000","10,160,000","139,999,000","10,177,000","22,250,000","7,621,000","360,974,000","190,250,000","166,797,000","360,974,000","166,797,000","170,724,000","11,078,000","20,646,273","20,321,000","1,450","325,273"
22,9/30/2017,"2,526,214,000","347,475,000","162,555,000",-,-,"162,555,000",-,"184,920,000","184,920,000","184,920,000",-,"221,936,000","1,034,878,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"669,000","174,123,000","2,327,470,000","1,406,774,000","227,961,000","213,269,000","59,740,000",-,"239,658,000","198,744,000","191,013,000",-,-,-,-,-,"7,731,000","250,753,000","191,013,000","191,013,000","250,753,000","191,013,000","59,740,000",-,"20,389,691","20,064,418",-,"325,273"
23,6/30/2017,"2,492,443,000","367,316,000","170,482,000","163,353,000","31,943,000","7,129,000",-,"196,834,000","196,834,000","196,834,000","21,071,000","229,719,000","1,006,471,000","7,565,000",-,"70,592,000",-,-,-,-,-,-,-,-,-,"22,653,000",-,-,-,"2,301,000","31,943,000","2,296,657,000","1,376,188,000","202,401,000","223,413,000","84,502,000",-,"177,249,000","195,786,000","188,396,000","10,188,000","10,188,000","140,837,000","12,069,000","20,830,000","7,390,000","272,898,000","188,396,000","165,743,000","272,898,000","165,743,000","84,502,000",-,"20,701,273","20,376,000",-,"325,273"
24,3/31/2017,"2,416,467,000","325,279,000","132,265,000",-,-,"132,265,000",-,"193,014,000","193,014,000","193,014,000",-,"234,048,000","963,962,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,925,000","154,908,000","2,230,441,000","1,340,135,000","197,777,000","226,724,000","66,877,000",-,"227,664,000","186,026,000","178,784,000",-,-,-,-,-,"7,242,000","245,661,000","178,784,000","178,784,000","245,661,000","178,784,000","66,877,000",-,"20,157,232","19,831,959",-,"325,273"
25,12/31/2016,"2,374,986,000","293,986,000","133,012,000","128,009,000",-,"5,003,000",-,"160,974,000","160,974,000","160,974,000","20,029,000","290,872,000","1,012,725,000",-,"59,520,000","7,335,000","9,373,000",-,-,-,-,-,-,-,-,"21,346,000","12,330,000","9,016,000","4,714,000","4,389,000","36,278,000","2,192,408,000","1,402,372,000","153,691,000","330,942,000","198,085,000","2,165,000","148,236,000","182,578,000","175,386,000","10,096,000","10,096,000","136,795,000","12,619,000","17,110,000","7,192,000","373,471,000","175,386,000","154,040,000","373,471,000","154,040,000","198,085,000","65,073,000","20,517,273","20,192,000","1,450","325,273"
26,9/30/2016,"2,557,261,000","312,331,000","120,270,000",-,-,"120,270,000",-,"192,061,000","192,061,000","192,061,000",-,"334,411,000","976,430,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,036,000","157,834,000","2,361,949,000","1,367,969,000","208,507,000","329,098,000","71,650,000",-,"219,738,000","195,312,000","188,108,000",-,-,-,-,-,"7,204,000","259,758,000","188,108,000","188,108,000","259,758,000","188,108,000","71,650,000",-,"20,065,652","19,949,204",-,"116,448"
27,6/30/2016,"2,608,149,000","322,682,000","134,856,000","128,272,000","29,011,000","6,584,000",-,"187,826,000","187,826,000","187,826,000","19,606,000","369,942,000","979,755,000",-,-,"60,569,000",-,-,-,-,-,-,-,-,-,"24,053,000",-,-,-,"50,305,000","29,011,000","2,409,852,000","1,360,858,000","188,698,000","368,414,000","109,342,000",-,"127,353,000","198,297,000","191,257,000","9,906,000","9,906,000","145,710,000","12,772,000","17,110,000","7,040,000","300,599,000","191,257,000","167,204,000","300,599,000","167,204,000","109,342,000",-,"19,813,000","19,813,000",-,0
28,3/31/2016,"2,595,666,000","297,231,000","126,265,000",-,-,"126,265,000",-,"170,966,000","170,966,000","170,966,000",-,"342,681,000","1,018,130,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"54,260,000","146,169,000","2,395,299,000","1,383,818,000","184,865,000","338,433,000","99,093,000",-,"202,784,000","200,367,000","191,568,000",-,-,-,-,-,"8,799,000","290,661,000","191,568,000","191,568,000","290,661,000","191,568,000","99,093,000",-,"19,747,057","19,747,057",-,0
29,12/31/2015,"2,409,656,000","250,957,000","104,702,000","98,934,000",-,"5,768,000",-,"146,255,000","146,255,000","146,255,000","19,139,000","288,476,000","1,066,454,000",-,"16,914,000","7,765,000","9,923,000","9,923,000",-,-,-,-,-,"9,923,000",-,"24,596,000","16,294,000","8,302,000","5,272,000","43,900,000","30,069,000","2,212,138,000","1,411,412,000","43,827,000","324,898,000","199,130,000","3,271,000","132,477,000","197,518,000","188,460,000","9,842,000","9,842,000","143,976,000","12,421,000","15,112,000","9,058,000","387,553,000","188,460,000","163,864,000","387,553,000","163,864,000","199,130,000","94,391,000","19,685,097","19,685,097","1,450",0
30,9/30/2015,"2,548,523,000","290,333,000","126,324,000",-,-,"126,324,000",-,"164,009,000","164,009,000","164,009,000",-,"327,257,000","1,047,179,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"45,451,000","136,340,000","2,347,094,000","1,388,523,000","180,015,000","319,171,000","96,111,000",-,"190,250,000","201,429,000","192,495,000",-,-,-,-,-,"8,934,000","288,606,000","192,495,000","192,495,000","288,606,000","192,495,000","96,111,000",-,"19,563,172","19,563,172",-,0
31,6/30/2015,"2,571,713,000","303,898,000","154,514,000","144,324,000","28,104,000","10,190,000",-,"149,384,000","149,384,000","149,384,000","18,705,000","296,942,000","1,063,390,000",-,-,"55,489,000",-,-,-,-,-,-,-,-,-,"24,913,000",-,-,-,"60,929,000","28,104,000","2,370,331,000","1,406,940,000","181,435,000","289,984,000","127,437,000",-,"109,610,000","201,382,000","192,427,000","9,758,000","9,758,000","141,208,000","12,290,000","13,991,000","8,955,000","319,864,000","192,427,000","167,514,000","319,864,000","167,514,000","127,437,000",-,"19,516,000","19,516,000",-,0
32,3/31/2015,"2,669,724,000","305,287,000","133,025,000",-,-,"133,025,000",-,"172,262,000","172,262,000","172,262,000",-,"378,815,000","1,072,492,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"160,454,000","2,473,230,000","1,396,932,000","208,636,000","376,577,000","105,380,000",-,"240,807,000","196,494,000","187,137,000",-,-,-,-,-,"9,357,000","292,517,000","187,137,000","187,137,000","292,517,000","187,137,000","105,380,000",-,"19,275,815","19,275,815",-,0
33,12/31/2014,"2,634,139,000","296,597,000","134,884,000","129,957,000",-,"4,927,000",-,"161,713,000","161,713,000","161,713,000","18,181,000","345,008,000","1,158,135,000",-,"21,329,000","10,554,000","10,532,000","21,831,000",-,-,-,-,-,"10,532,000","-11,299,000","27,577,000","19,169,000","8,408,000","5,028,000","7,647,000","40,383,000","2,434,161,000","1,520,281,000","64,917,000","405,586,000","220,157,000","5,804,000","162,436,000","199,978,000","190,447,000","9,609,000","9,609,000","137,144,000","11,918,000","11,532,000","9,531,000","410,537,000","190,447,000","162,870,000","410,537,000","162,870,000","220,157,000","85,206,000","19,217,874","19,217,874","1,450",0
34,9/30/2014,"2,728,645,000","324,272,000","133,424,000","133,424,000",-,0,-,"190,848,000","190,848,000","190,848,000",-,"308,611,000","1,153,636,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"169,151,000","2,526,480,000","1,484,537,000","215,395,000","300,415,000","90,234,000",-,"284,567,000","202,165,000","193,597,000",-,-,-,-,-,"8,568,000","283,831,000","193,597,000","193,597,000","283,831,000","193,597,000","90,234,000",-,"19,152,461","19,152,461",-,0
35,6/30/2014,"2,753,593,000","338,582,000","140,281,000","132,137,000","26,640,000","8,144,000",-,"198,301,000","198,301,000","198,301,000","17,497,000","269,839,000","1,174,628,000",-,"11,503,000","11,503,000","10,747,000","10,747,000",-,-,-,-,-,"10,747,000",-,"29,740,000",-,-,-,"10,248,000","53,270,000","2,554,871,000","1,508,469,000","228,135,000","263,494,000","124,449,000",-,"225,082,000","198,722,000","190,281,000","9,535,000","9,535,000","134,958,000","11,582,000","5,851,000","8,441,000","314,730,000","190,281,000","160,541,000","314,730,000","160,541,000","124,449,000",-,"19,070,463","19,070,463",-,0
36,3/31/2014,"2,758,447,000","371,170,000","165,838,000","165,838,000",-,0,-,"205,332,000","205,332,000","205,332,000",-,"270,353,000","1,139,360,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,936,000","160,383,000","2,565,999,000","1,455,526,000","241,455,000","260,991,000","102,395,000",-,"339,807,000","192,448,000","183,945,000",-,-,-,-,-,"8,503,000","286,340,000","183,945,000","183,945,000","286,340,000","183,945,000","102,395,000","154,936,000","18,883,563","18,883,563",-,0
37,12/31/2013,"2,671,318,000","283,764,000","195,549,000","166,599,000","22,929,000","6,021,000",-,"88,215,000","88,215,000","88,215,000","16,640,000","282,265,000","1,279,763,000",-,"11,006,000","11,006,000","10,847,000","21,927,000","10,039,000",-,-,"11,888,000",-,-,"-11,080,000","29,918,000","21,179,000","8,739,000","2,140,000","4,050,000","24,462,000","2,480,859,000","1,713,157,000","106,207,000","274,284,000","200,498,000","8,088,000","54,381,000","190,459,000","181,871,000","9,415,000","9,415,000","128,728,000","11,135,000","5,851,000","8,588,000","382,117,000","181,871,000","151,953,000","382,117,000","151,953,000","200,498,000","4,697,000","18,830,007","18,830,007","1,450",0
38,9/30/2013,"2,723,362,000","170,206,000","170,206,000","170,206,000",-,0,-,-,-,-,-,"290,858,000","1,199,542,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"13,873,000","158,633,000","2,535,668,000","1,483,387,000","358,350,000","287,198,000","114,308,000",-,"122,015,000","187,694,000","179,051,000",-,-,-,-,-,"8,643,000","293,359,000","179,051,000","179,051,000","293,359,000","179,051,000","114,308,000",-,"18,657,214","18,657,214",-,0
39,6/30/2013,"2,645,316,000","156,701,000","156,701,000","148,285,000","24,275,000","8,416,000",-,-,-,-,"15,676,000","299,213,000","1,154,504,000",-,"9,781,000","9,781,000","10,572,000","10,572,000",-,-,-,-,-,"10,572,000",-,"28,537,000",-,-,-,"20,377,000","45,135,000","2,462,955,000","1,426,205,000","342,432,000","293,669,000","138,210,000",-,"57,786,000","182,361,000","174,070,000","9,313,000","9,313,000","124,332,000","11,071,000","5,851,000","8,291,000","312,280,000","174,070,000","145,533,000","312,280,000","145,533,000","138,210,000",-,"18,627,000","18,627,000",-,0
40,3/31/2013,"2,681,356,000","135,240,000","135,240,000","135,240,000",-,0,-,-,-,-,-,"334,741,000","1,136,243,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"23,332,000","163,485,000","2,497,608,000","1,413,412,000","331,780,000","335,619,000","117,264,000",-,"125,215,000","183,748,000","175,339,000",-,-,-,-,-,"8,409,000","292,603,000","175,339,000","175,339,000","292,603,000","175,339,000","117,264,000",-,"18,564,386","18,564,386",-,0
41,12/31/2012,"2,692,538,000","175,343,000","175,343,000","141,532,000","26,508,000","7,303,000",-,-,-,-,"17,834,000","357,450,000","1,346,496,000",-,"9,502,000","9,502,000","10,588,000","21,198,000","3,495,000","3,495,000","5,932,000","11,660,000",-,"111,000","-10,610,000","29,853,000","21,390,000","8,463,000","2,846,000","19,269,000","23,955,000","2,509,409,000","1,660,330,000","92,172,000","358,886,000","214,956,000","9,056,000","55,736,000","183,129,000","175,242,000","9,238,000","9,238,000","120,347,000","10,084,000","5,851,000","7,887,000","389,894,000","175,242,000","145,389,000","389,894,000","145,389,000","214,956,000","39,309,000","18,476,009","18,476,009","1,450",0
42,9/30/2012,"2,721,061,000","138,628,000","138,628,000","138,628,000",-,0,-,-,-,-,-,"370,969,000","1,166,459,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"14,685,000","169,576,000","2,541,297,000","1,433,247,000","329,048,000","372,409,000","114,106,000",-,"126,940,000","179,764,000","171,630,000",-,-,-,-,-,"8,134,000","285,736,000","171,630,000","171,630,000","285,736,000","171,630,000","114,106,000",-,"18,313,846","18,313,846",-,-
43,6/30/2012,"2,652,334,000","158,986,000","158,986,000","147,911,000","21,283,000","11,075,000",-,-,-,-,"23,790,000","355,934,000","1,157,176,000",-,"9,736,000","9,736,000","10,642,000","10,642,000",-,-,-,-,-,"10,642,000",-,"28,916,000",-,-,-,"12,383,000","47,115,000","2,478,568,000","1,402,042,000","308,564,000","355,952,000","155,239,000",-,"56,402,000","173,766,000","165,845,000","9,081,000","9,081,000","116,266,000","9,841,000","5,851,000","7,921,000","321,084,000","165,845,000","136,929,000","321,084,000","136,929,000","155,239,000",-,"18,163,306","18,163,306",-,-
44,3/31/2012,"2,637,218,000","153,382,000","153,382,000","153,382,000",-,0,-,-,-,-,-,"319,929,000","1,138,118,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"38,593,000","165,484,000","2,466,029,000","1,405,415,000","303,127,000","320,298,000","136,560,000",-,"120,093,000","171,189,000","163,708,000",-,-,-,-,-,"7,481,000","300,268,000","163,708,000","163,708,000","300,268,000","163,708,000","136,560,000",-,"18,125,503","18,125,503",-,-
45,12/31/2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"17,868,006","17,868,006",-,-
