,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Fees & Commission Expense,Dividend Income,Income from Associates & Other Participating Interests,Special Income Charges,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Write Off,Other Special Charges,Other Non Operating Income Expenses,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Minority Interests,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Net Income from Continuing & Discontinued Operation,Normalized Income,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
24,6/30/2017,"15,887,000","7,741,000","13,691,000",-,"8,146,000","2,169,000","2,782,000",-,-,"36,000","651,000","-781,000","1,012,000",-,-,"-231,000","8,652,000","5,282,000","994,000","3,869,000","4,045,000","4,288,000","4,288,000","-243,000","23,000","3,869,000",-,-,-,-,"4,045,000","4,657,108",-,"4,045,000","-754,000","-754,000",0,"-141,892"
25,3/31/2017,"16,688,000","6,787,000","6,787,000",-,"9,901,000","2,793,000","3,224,000",-,-,"13,000","532,000","-1,282,000","916,000",-,-,"366,000","-8,126,000","4,961,000","1,201,000","3,130,000","3,465,000","3,760,000","3,760,000","-295,000","22,000","3,130,000",0.80,0.80,"3,912,500","3,912,500","3,465,000","4,436,756",-,"3,465,000","-1,282,000","-1,282,000",0,"-310,244"
26,12/31/2016,"9,109,000","6,868,000","6,868,000",-,"2,241,000","-303,000","2,929,000",-,-,"17,000","498,000",-,-,-,-,-,"-12,459,000","-3,445,000","572,000","-4,440,000","-4,229,000","-4,017,000","-4,017,000","-212,000","23,000","-4,440,000",-1.10,-1.10,"4,036,364","4,036,364","-4,229,000","-4,229,000",-,"-4,229,000",-,-,0,0
27,9/30/2016,"12,858,000","7,185,000","7,185,000",-,"5,673,000","2,535,000","3,262,000",-,-,"14,000","618,000","389,000","1,067,000",-,-,"-1,456,000","-10,212,000","843,000","803,000","-204,000","-204,000","40,000","40,000","-244,000",-,"-204,000",-0.15,-0.15,"4,113,333","4,113,333","-204,000","-515,200",-,"-204,000","389,000","389,000",0,"77,800"
28,6/30/2016,"17,914,000","8,577,000","15,828,000",-,"9,337,000","2,441,000","3,017,000",-,-,"36,000","683,000","-2,929,000","740,000",-,-,"1,389,000","8,736,000","3,608,000","720,000","2,055,000","2,611,000","2,888,000","2,888,000","-277,000",-,"2,055,000",-,-,-,-,"2,611,000","4,955,499",-,"2,611,000","-2,929,000","-2,929,000",0,"-584,501"
29,3/31/2016,"17,934,000","7,913,000","7,913,000",-,"10,021,000","2,915,000","3,197,000",-,-,"28,000","555,000","-376,000","372,000",-,-,"4,000","-8,092,000","6,106,000","1,571,000","4,301,000","4,301,000","4,535,000","4,535,000","-234,000",-,"4,301,000",1.10,1.10,"3,534,545","3,534,545","4,301,000","4,580,368",-,"4,301,000","-376,000","-376,000",0,"-96,632"
30,12/31/2015,"14,990,000","8,059,000","8,059,000",-,"6,931,000","2,255,000","3,471,000",-,-,"27,000","556,000",-,-,-,-,-,"-11,594,000","-858,000","230,000","-1,325,000","-1,325,000","-1,088,000","-1,088,000","-237,000",-,"-1,325,000",-0.35,-0.35,"3,785,714","3,785,714","-1,325,000","-1,325,000",-,"-1,325,000",-,-,0,0
31,9/30/2015,"16,334,000","8,028,000","8,028,000",-,"8,306,000","2,493,000","3,509,000",-,-,"28,000","689,000","-429,000","193,000",-,-,"236,000","-8,768,000","6,097,000","634,000","5,229,000","5,229,000","5,463,000","5,463,000","-234,000",-,"5,229,000",1.25,1.25,"4,183,200","4,183,200","5,229,000","5,613,384",-,"5,229,000","-429,000","-429,000",0,"-44,616"
32,6/30/2015,"21,489,000","9,223,000","16,798,000",-,"12,266,000","2,628,000","3,591,000",-,-,"51,000","729,000","-3,640,000","160,000",-,-,"3,480,000","-9,844,000","6,569,000","1,540,000","3,931,000","4,359,000","5,029,000","5,029,000","-670,000",-,"3,931,000",-,-,-,-,"4,359,000","7,145,659",-,"4,359,000","-3,640,000","-3,640,000",0,"-853,341"
33,3/31/2015,"19,743,000","8,274,000","8,274,000",-,"11,469,000","2,979,000","3,684,000",-,-,"17,000","582,000","694,000","-43,000",-,-,"-651,000","-8,845,000","7,059,000","1,367,000","5,259,000","5,259,000","5,692,000","5,692,000","-433,000",-,"5,259,000",1.30,1.30,"4,045,385","4,045,385","5,259,000","4,698,942",-,"5,259,000","694,000","694,000",0,"133,942"
34,12/31/2014,"14,306,000","8,547,000","8,547,000",-,"5,759,000","-418,000","3,718,000",-,-,"22,000","567,000",-,-,-,-,-,"-11,892,000","1,731,000","966,000","511,000","511,000","765,000","765,000","-254,000",-,"511,000",0.10,0.10,"3,843,575","3,843,575","511,000","511,000",-,"511,000",-,-,0,0
35,9/30/2014,"19,038,000","8,753,000","8,753,000",-,"10,285,000","3,179,000","4,062,000",-,-,"201,000","685,000",-,-,-,-,-,"-10,768,000","4,609,000","987,000","3,431,000","3,431,000","3,622,000","3,622,000","-191,000",-,"3,431,000",0.85,0.85,"4,036,471","4,036,471","3,431,000","3,431,000",-,"3,431,000",-,-,0,0
36,6/30/2014,"19,213,000","8,684,000","16,714,000",-,"10,529,000","3,001,000","3,595,000",-,-,"64,000","729,000",-,-,-,-,-,"-9,414,000","5,555,000","747,000","4,535,000","4,535,000","4,808,000","4,808,000","-273,000",-,"4,535,000",-,-,-,-,"4,535,000","4,535,000",-,"4,535,000",-,-,0,0
37,3/31/2014,"19,227,000","8,721,000","8,721,000",-,"10,506,000","3,136,000","4,046,000",-,-,"24,000","551,000",-,-,-,-,-,"-8,524,000","6,785,000","1,275,000","5,211,000","5,211,000","5,510,000","5,510,000","-299,000",-,"5,211,000",1.35,1.35,"3,860,000","3,860,000","5,211,000","5,211,000",-,"5,211,000",-,-,0,0
