,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Deposits,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Securities Activities,Credit Card,Other Customer Services,Fees & Commission Expense,Dividend Income,Investment Banking Profit,Trading Gain Loss,Foreign Exchange Trading Gains,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Equipment,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Insurance & Claims,Other G and A,Selling & Marketing Expense,Other Non Interest Expense,Special Income Charges,Gain on Sale of Business,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Loss on Extinguishment of Debt,Other Special Charges,Other Non Operating Income Expenses,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income Discontinuous Operations,Net Income Extraordinary,Minority Interests,Preferred Stock Dividends,Average Dilution Earnings,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
0,ttm,"75,305,000","48,668,000","74,408,000","41,242,000","41,242,000","18,632,000","4,515,000","7,154,000","2,865,000","25,740,000","11,559,000","2,488,000","5,801,000","4,455,000","1,437,000","26,637,000","91,000","12,959,000","12,959,000","3,784,000",-,"2,546,000","-242,000","9,175,000",-,-,"3,084,000","14,159,000","6,593,000","-460,000","-460,000",-,"-21,000","-5,112,000","51,386,000","2,320,000","2,329,000","28,305,000","26,749,000","26,655,000","94,000",-,"1,556,000","20,761,000",-,-,-,-,-,-,-,"18,807,000","3,642,000","13,700,000","14,845,000","14,934,000","15,165,000","-231,000",-,"-89,000","1,032,000","41,000","13,741,000",-,-,-,-,"43,556,000","14,845,000","15,076,000","11,669,000","4,262,000","15,076,000","1,059,000","1,059,000",0,0
1,3/31/2023,"20,405,000","13,348,000","29,395,000","13,283,000","13,283,000","6,891,000","3,031,000","5,174,000","1,016,000","16,047,000","7,708,000","1,649,000","2,337,000","3,566,000","787,000","7,057,000","22,000","3,262,000","3,262,000","896,000",-,"637,000","39,000","2,366,000",-,-,"726,000","3,939,000","1,493,000","2,000","2,000",-,"-146,000","-1,968,000","13,313,000","598,000",-,"7,893,000","7,562,000","7,538,000","24,000",-,"331,000","4,822,000","1,059,000","1,059,000",-,-,-,-,-,"6,183,000","1,531,000","4,606,000","4,606,000","4,651,000","4,652,000","-1,000",-,"-45,000","277,000","11,000","4,606,000",2.21,2.19,"1,943,500","1,964,100","11,380,000","4,606,000","3,812,750","8,205,000","1,111,000","4,607,000","1,059,000","1,059,000",0,"264,750"
2,12/31/2022,"18,001,000","13,270,000","25,708,000","12,249,000","12,249,000","6,425,000","2,343,000","3,779,000","912,000","12,438,000","5,998,000","1,420,000","2,072,000","2,267,000","681,000","4,731,000","19,000","2,896,000","2,896,000","880,000",-,"547,000","-46,000","2,016,000",-,-,"607,000","2,419,000","1,853,000","-236,000","-236,000",-,"-348,000","-1,820,000","13,005,000","601,000",-,"7,062,000","6,638,000","6,618,000","20,000",-,"424,000","5,342,000",-,-,-,-,-,-,-,"3,176,000","640,000","2,251,000","2,513,000","2,534,000","2,536,000","-2,000",-,"-21,000","238,000","11,000","2,262,000",1.16,1.16,"1,936,900","1,955,900","11,450,000","2,513,000","2,515,000","6,122,000","1,108,000","2,515,000",-,-,0,0
3,9/30/2022,"18,498,000","12,563,000","19,919,000","10,783,000","10,783,000","4,982,000","1,218,000","2,176,000","760,000","7,356,000","3,270,000","745,000","1,618,000","1,251,000","472,000","5,935,000","23,000","3,054,000","3,054,000","915,000",-,"571,000","-70,000","2,139,000",-,-,"725,000","2,625,000","1,554,000","-44,000","-44,000",-,"300,000","-1,330,000","12,774,000","557,000",-,"7,177,000","6,770,000","6,745,000","25,000",-,"407,000","5,040,000",-,-,-,-,-,-,-,"4,394,000","879,000","3,479,000","3,479,000","3,509,000","3,515,000","-6,000",-,"-30,000","277,000","11,000","3,479,000",1.64,1.63,"1,936,800","1,955,100","11,233,000","3,479,000","3,485,000","3,394,000","1,065,000","3,485,000",-,-,0,0
4,6/30/2022,"19,618,000","11,964,000","15,630,000","9,495,000","9,495,000","4,029,000","658,000","805,000","643,000","3,666,000","1,420,000","268,000","1,186,000","655,000","137,000","7,654,000","23,000","3,475,000","3,475,000","1,023,000",-,"659,000","-50,000","2,452,000",-,-,"845,000","4,525,000","1,639,000","-172,000","-172,000",-,"-174,000","-1,232,000","12,415,000","619,000",-,"6,908,000","6,494,000","6,472,000","22,000",-,"414,000","4,888,000",-,-,-,-,-,-,-,"5,971,000","1,182,000","4,547,000","4,547,000","4,568,000","4,789,000","-221,000",-,"-21,000","238,000","11,000","4,547,000",2.20,2.19,"1,941,500","1,958,100","10,732,000","4,547,000","4,768,000","1,463,000","1,074,000","4,768,000",-,-,0,0
5,3/31/2022,"19,188,000","10,871,000","13,151,000","8,716,000","8,716,000","3,196,000","296,000","394,000","549,000","2,280,000","871,000","55,000","925,000","282,000","147,000","8,317,000","26,000","3,534,000","3,534,000","966,000",-,"767,000","-75,000","2,568,000",-,-,"908,000","4,590,000","1,547,000","-8,000","-8,000",-,"201,000","-730,000","13,192,000","543,000",-,"7,158,000","6,847,000","6,820,000","27,000",-,"311,000","5,491,000",-,-,-,-,-,-,-,"5,266,000","941,000","4,306,000","4,306,000","4,323,000","4,325,000","-2,000",-,"-17,000","279,000","8,000","4,306,000",2.03,2.02,"1,971,700","1,988,200","10,141,000","4,306,000","4,308,000","690,000","1,015,000","4,308,000",-,-,0,0
6,12/31/2021,"17,003,000","10,819,000","12,828,000","8,924,000","8,924,000","3,207,000","159,000","289,000","249,000","2,009,000","-134,000","51,000","856,000","212,000","112,000","6,184,000","19,000","4,182,000","4,182,000","953,000","953,000","700,000","21,000","3,229,000",-,-,"1,504,000","1,704,000","1,035,000","-100,000","-100,000",-,"398,000","506,000","13,559,000","620,000",-,"7,598,000","7,120,000","7,093,000","27,000","2,084,000","478,000","5,341,000",-,-,-,-,-,-,-,"3,950,000","771,000","3,173,000","3,173,000","3,179,000","3,179,000",0,-,"-6,000","229,000","8,000","3,173,000",1.60,1.46,"1,984,300","2,001,600","11,325,000","3,173,000","3,173,000","448,000","985,000","3,173,000",-,-,0,0
7,9/30/2021,"17,164,000","10,398,000","12,650,000","8,874,000","8,874,000","3,169,000","147,000","264,000","196,000","2,252,000","1,023,000","8,000","828,000","287,000","106,000","6,766,000","25,000","4,406,000","4,406,000","1,007,000","1,007,000","773,000","53,000","3,399,000","2,660,000",-,"1,493,000","2,233,000","924,000","96,000","96,000",-,"31,000","204,000","11,506,000","560,000",-,"6,482,000","6,080,000","6,058,000","22,000","1,997,000","402,000","4,464,000","-680,000","-680,000",-,-,-,-,-,"5,862,000","1,193,000","4,352,000","4,644,000","4,668,000","4,669,000","-1,000",-,"-24,000","266,000","8,000","4,360,000",2.17,2.15,"2,009,300","2,026,200","10,602,000","4,644,000","4,645,000","411,000","1,035,000","4,645,000","-680,000","-680,000",0,0
8,6/30/2021,"17,470,000","10,199,000","12,463,000","8,733,000","8,733,000","3,288,000","126,000","205,000","111,000","2,264,000","955,000","31,000","868,000","260,000","150,000","7,271,000","30,000","4,396,000","4,396,000","1,022,000","1,022,000","821,000","132,000","3,374,000","2,515,000",-,"1,386,000","2,304,000","965,000","120,000","120,000",-,"451,000","1,085,000","11,207,000","558,000",-,"6,337,000","5,997,000","5,982,000","15,000","1,895,000","340,000","4,312,000",-,-,-,-,-,-,-,"7,348,000","1,155,000","6,193,000","6,193,000","6,203,000","6,193,000","10,000",-,"-10,000","253,000","8,000","6,193,000",2.87,2.85,"2,056,500","2,073,000","11,284,000","6,193,000","6,183,000","331,000","982,000","6,183,000",-,-,0,0
9,3/31/2021,"19,338,000","10,166,000","12,534,000","8,909,000","8,909,000","3,089,000","145,000","294,000","97,000","2,368,000","712,000","31,000","918,000","253,000","114,000","9,172,000","20,000","4,631,000","4,631,000","961,000","961,000","942,000","75,000","3,670,000","2,171,000",-,"1,624,000","3,913,000","962,000","343,000","343,000",-,"285,000","2,096,000","11,125,000","576,000",-,"6,323,000","6,053,000","6,001,000","52,000","1,852,000","270,000","4,226,000",-,-,-,-,-,-,-,"10,309,000","2,332,000","7,942,000","7,942,000","7,975,000","7,977,000","-2,000",-,"-33,000","292,000","7,000","7,942,000",3.64,3.62,"2,082,000","2,096,600","12,262,000","7,942,000","7,944,000","439,000","962,000","7,944,000",-,-,0,0
10,12/31/2020,"16,513,000","10,483,000","13,047,000","9,365,000","9,365,000","3,114,000","126,000","322,000","88,000","2,564,000","1,161,000","18,000","1,016,000","247,000","122,000","6,030,000","26,000","3,585,000","3,585,000","907,000","907,000","702,000","-96,000","2,678,000","2,470,000","32,000","1,009,000","1,959,000","1,089,000","276,000","276,000",-,"210,000","48,000","10,730,000","631,000",-,"5,709,000","5,357,000","5,341,000","16,000","2,028,000","352,000","4,390,000",-,-,-,-,-,-,-,"5,831,000","1,183,000","4,632,000","4,632,000","4,654,000","4,648,000","6,000",-,"-22,000","267,000","9,000","4,632,000",2.22,2.08,"2,081,900","2,095,700","10,531,000","4,632,000","4,626,000","448,000","1,051,000","4,626,000",-,-,0,0
11,9/30/2020,"17,318,000","10,493,000","13,314,000","9,421,000","9,421,000","3,294,000","116,000","352,000","98,000","2,821,000","1,293,000","88,000","1,025,000","292,000","123,000","6,825,000","25,000","3,645,000","3,645,000","892,000","892,000","746,000","15,000","2,753,000","2,146,000","33,000","1,076,000","2,508,000","960,000","294,000","294,000",-,"378,000","-2,220,000","11,022,000","575,000",-,"5,891,000","5,653,000","5,595,000","58,000","1,891,000","238,000","4,556,000",-,-,-,-,-,-,-,"4,076,000","815,000","3,230,000","3,230,000","3,254,000","3,261,000","-7,000",-,"-24,000","284,000","7,000","3,230,000",1.37,1.36,"2,081,800","2,094,300","8,273,000","3,230,000","3,237,000","468,000","1,033,000","3,237,000",-,-,0,0
12,6/30/2020,"19,735,000","11,080,000","14,589,000","10,149,000","10,149,000","3,727,000","159,000","401,000","110,000","3,509,000","1,469,000","140,000","1,303,000","453,000","144,000","8,655,000","31,000","3,752,000","3,752,000","819,000","819,000","686,000","-52,000","2,933,000","1,815,000","43,000","1,358,000","4,157,000","1,114,000","640,000","640,000",-,"106,000","-7,857,000","10,430,000","562,000",-,"5,938,000","5,639,000","5,624,000","15,000","1,741,000","299,000","3,930,000",-,-,-,-,-,-,-,"1,448,000","131,000","1,316,000","1,316,000","1,316,000","1,317,000","-1,000",-,0,"253,000",0,"1,316,000",0.38,0.38,"2,081,700","2,084,300","3,223,000","1,316,000","1,317,000","560,000","926,000","1,317,000",-,-,0,0
13,3/31/2020,"20,999,000","11,492,000","17,139,000","11,250,000","11,250,000","3,845,000","527,000","1,208,000","283,000","5,647,000","2,389,000","384,000","1,325,000","1,085,000","239,000","9,507,000","43,000","3,875,000","3,875,000","854,000","854,000","826,000","113,000","3,021,000","2,242,000","26,000","1,040,000","5,261,000","995,000","371,000","371,000",-,"-274,000","-6,997,000","10,892,000","565,000","565,000","6,006,000","5,678,000","5,654,000","24,000","1,723,000","328,000","4,321,000",-,-,-,-,-,-,-,"3,110,000","576,000","2,522,000","2,522,000","2,516,000","2,534,000","-18,000",-,"6,000","291,000","7,000","2,522,000",1.06,1.06,"2,097,900","2,113,700","4,495,000","2,522,000","2,540,000","1,735,000","927,000","2,540,000",-,-,0,0
14,12/31/2019,"18,378,000","11,997,000","18,545,000","11,809,000","11,809,000","4,311,000","603,000","1,450,000","334,000","6,548,000","2,753,000","489,000","1,470,000","1,320,000","316,000","6,381,000","110,000","3,856,000","3,856,000","823,000","823,000","622,000","301,000","3,033,000","2,464,000","38,000","1,012,000","1,412,000","344,000","510,000","510,000",-,"603,000","-2,197,000","10,479,000","615,000","615,000","5,435,000","5,090,000","5,065,000","25,000","1,850,000","345,000","4,429,000",-,-,-,-,-,-,-,"5,702,000","703,000","4,979,000","4,979,000","4,995,000","4,999,000","-4,000",-,"-16,000","297,000","9,000","4,979,000",2.32,2.15,"2,149,400","2,166,800","9,800,000","4,979,000","4,983,000","2,053,000","1,039,000","4,983,000",-,-,0,0
15,9/30/2019,"18,576,000","11,641,000","19,177,000","11,993,000","11,993,000","4,259,000","736,000","1,745,000","399,000","7,536,000","3,170,000","609,000","1,583,000","1,630,000","345,000","6,935,000","21,000","3,786,000","3,786,000","880,000","880,000","684,000","266,000","2,906,000","2,445,000","45,000","911,000","2,802,000","406,000","347,000","347,000",-,"-2,000","-2,071,000","10,483,000","580,000","580,000","5,724,000","5,346,000","5,329,000","17,000","1,783,000","378,000","4,179,000",-,-,-,-,-,-,-,"6,022,000","1,079,000","4,913,000","4,913,000","4,928,000","4,943,000","-15,000",-,"-15,000","254,000","9,000","4,913,000",2.09,2.07,"2,220,800","2,237,100","9,570,000","4,913,000","4,928,000","2,481,000","983,000","4,928,000",-,-,0,0
16,6/30/2019,"18,758,000","11,950,000","19,712,000","11,981,000","11,981,000","4,590,000","736,000","1,893,000","457,000","7,762,000","3,095,000","715,000","1,719,000","1,724,000","320,000","6,808,000","27,000","3,750,000","3,750,000","869,000","869,000","649,000","259,000","2,881,000","2,451,000","55,000","934,000","1,874,000","427,000","463,000","463,000",-,"721,000","-2,074,000","10,519,000","569,000","569,000","5,834,000","5,400,000","5,381,000","19,000","1,724,000","434,000","4,116,000",-,-,-,-,-,-,-,"6,165,000","1,373,000","4,799,000","4,799,000","4,809,000","4,792,000","17,000",-,"-10,000","296,000",-,"4,799,000",1.95,1.95,"2,286,100","2,289,000","9,876,000","4,799,000","4,782,000","2,629,000","952,000","4,782,000",-,-,0,0
17,3/31/2019,"18,576,000","11,759,000","19,076,000","11,969,000","11,969,000","4,185,000","607,000","1,783,000","483,000","7,317,000","3,027,000","652,000","1,722,000","1,589,000","327,000","6,817,000","28,000","3,765,000","3,765,000","839,000","839,000","657,000","221,000","2,926,000","2,214,000","49,000","914,000","2,804,000","473,000","122,000","122,000",-,"126,000","-1,968,000","10,596,000","564,000","564,000","6,029,000","5,670,000","5,658,000","12,000","1,720,000","359,000","4,003,000",-,-,-,-,-,-,-,"6,012,000","1,275,000","4,710,000","4,710,000","4,735,000","4,737,000","-2,000",-,"-25,000","262,000",-,"4,710,000",1.88,1.87,"2,340,400","2,342,400","9,791,000","4,710,000","4,712,000","2,390,000","931,000","4,712,000",-,-,0,0
18,12/31/2018,"17,124,000","11,923,000","18,776,000","11,961,000","11,961,000","3,933,000","649,000","1,692,000","481,000","6,853,000","2,619,000","637,000","1,678,000","1,466,000","277,000","5,201,000","27,000","3,743,000","3,743,000","830,000","830,000","628,000","278,000","2,913,000","2,313,000","60,000","873,000","1,056,000","36,000","61,000","61,000",-,"341,000","-1,897,000","9,921,000","596,000","596,000","4,979,000","4,604,000","4,576,000","28,000","1,832,000","375,000","4,346,000",-,-,-,-,-,-,-,"5,306,000","1,001,000","4,313,000","4,313,000","4,297,000","4,305,000","-8,000",-,"16,000","313,000",-,"4,313,000",1.80,1.64,"2,401,100","2,402,700","10,026,000","4,313,000","4,321,000","2,341,000","954,000","4,321,000",-,-,0,0
19,9/30/2018,"18,389,000","11,802,000","18,170,000","11,639,000","11,639,000","3,980,000","629,000","1,425,000","434,000","6,368,000","2,269,000","578,000","1,687,000","1,250,000","273,000","6,587,000","29,000","3,714,000","3,714,000","911,000","911,000","652,000","265,000","2,803,000","2,255,000","63,000","856,000","2,566,000","467,000","-1,000","-1,000",-,"308,000","-1,948,000","10,337,000","565,000","565,000","5,723,000","5,345,000","5,319,000","26,000","1,806,000","378,000","4,049,000",-,-,-,-,-,-,-,"6,104,000","1,471,000","4,622,000","4,622,000","4,625,000","4,633,000","-8,000",-,"-3,000","270,000",-,"4,622,000",1.73,1.73,"2,479,800","2,481,400","9,854,000","4,622,000","4,630,000","2,054,000","945,000","4,630,000",-,-,0,0
20,6/30/2018,"18,469,000","11,665,000","17,550,000","11,190,000","11,190,000","4,053,000","493,000","1,336,000","394,000","5,885,000","1,925,000","523,000","1,658,000","1,224,000","236,000","6,804,000","31,000","4,045,000","4,045,000","934,000","934,000","697,000","279,000","3,111,000","2,197,000","84,000","1,012,000","2,151,000","175,000","87,000","87,000",-,"521,000","-1,791,000","10,733,000","570,000","570,000","5,884,000","5,473,000","5,452,000","21,000","1,797,000","411,000","4,279,000",-,-,-,-,-,-,-,"5,945,000","1,444,000","4,490,000","4,490,000","4,516,000","4,501,000","15,000",-,"-26,000","318,000",-,"4,490,000",1.63,1.63,"2,530,900","2,532,300","9,874,000","4,490,000","4,475,000","1,829,000","929,000","4,475,000",-,-,0,0
21,3/31/2018,"18,872,000","11,172,000","16,332,000","10,892,000","10,892,000","3,543,000","432,000","1,039,000","364,000","5,160,000","1,621,000","471,000","1,528,000","949,000","215,000","7,700,000","32,000","3,935,000","3,935,000","905,000","905,000","814,000","312,000","3,030,000",-,"62,000","822,000","3,289,000","745,000","142,000","142,000",-,"334,000","-1,831,000","10,951,000","593,000","593,000","6,214,000","5,833,000","5,807,000","26,000","1,758,000","381,000","4,144,000",-,-,-,-,-,-,-,"6,090,000","1,441,000","4,620,000","4,620,000","4,642,000","4,649,000","-7,000",-,"-22,000","272,000",-,"4,620,000",1.68,1.68,"2,561,600","2,563,000","9,341,000","4,620,000","4,627,000","1,471,000","926,000","4,627,000",-,-,0,0
22,12/31/2017,"17,255,000","11,223,000","15,759,000","10,563,000","10,563,000","3,442,000","479,000","901,000","317,000","4,536,000","1,480,000","340,000","1,447,000","780,000","176,000","6,032,000","-369,000","3,994,000","3,994,000","788,000","788,000",-,"429,000","3,206,000",-,"57,000","924,000","1,414,000","488,000","136,000","136,000",-,"488,000","-2,045,000","10,111,000","621,000","621,000","5,294,000","4,908,000","4,880,000","28,000","1,783,000","386,000","4,196,000",-,-,-,-,-,-,-,"5,099,000","23,270,000","-18,299,000","-18,299,000","-18,280,000","-18,171,000","-109,000",-,"-19,000","320,000",-,"-18,299,000",-7.02,-7.15,"2,606,200","2,606,200","9,178,000","-18,299,000","-18,190,000","1,380,000","942,000","-18,190,000",-,-,0,0
23,9/30/2017,"18,173,000","11,442,000","15,821,000","10,652,000","10,652,000","3,480,000","486,000","858,000","292,000","4,379,000","1,474,000","318,000","1,405,000","712,000","169,000","6,731,000","166,000","3,941,000","3,941,000","1,010,000","1,010,000",-,"406,000","2,931,000",-,"53,000","911,000","2,170,000","610,000","198,000","198,000",-,"256,000","-1,971,000","10,199,000","608,000","608,000","5,749,000","5,332,000","5,304,000","28,000","1,759,000","417,000","3,842,000",-,-,-,-,-,-,-,"6,003,000","1,866,000","4,133,000","4,133,000","4,132,000","4,137,000","-5,000",-,"1,000","272,000",-,"4,133,000",1.42,1.42,"2,683,600","2,683,700","9,471,000","4,133,000","4,138,000","1,344,000","920,000","4,138,000",-,-,0,0
24,6/30/2017,"18,024,000","11,165,000","15,201,000","10,199,000","10,199,000","3,481,000","375,000","828,000","260,000","4,036,000","1,274,000","202,000","1,409,000","676,000","146,000","6,859,000","156,000","3,940,000","3,940,000","1,003,000","1,003,000",-,"364,000","2,937,000",-,"58,000","916,000","2,562,000","802,000","201,000","201,000",-,"-123,000","-1,694,000","10,652,000","604,000","604,000","5,918,000","5,486,000","5,463,000","23,000","1,690,000","432,000","4,130,000",-,-,-,-,-,-,-,"5,678,000","1,795,000","3,872,000","3,872,000","3,904,000","3,883,000","21,000",-,"-32,000","320,000",-,"3,872,000",1.28,1.28,"2,739,100","2,739,200","9,471,000","3,872,000","3,851,000","1,203,000","901,000","3,851,000",-,-,0,0
25,3/31/2017,"18,120,000","10,857,000","14,423,000","9,947,000","9,947,000","3,172,000","295,000","661,000","294,000","3,566,000","1,110,000","199,000","1,312,000","493,000","147,000","7,263,000","169,000","3,652,000","3,652,000","893,000","893,000",-,"311,000","2,759,000",-,"54,000","862,000","3,022,000","588,000","180,000","180,000",-,"240,000","-1,632,000","10,507,000","620,000","620,000","5,937,000","5,564,000","5,534,000","30,000","1,659,000","373,000","3,950,000",-,-,-,-,-,-,-,"5,981,000","1,863,000","4,090,000","4,090,000","4,100,000","4,118,000","-18,000",-,"-10,000","301,000",-,"4,090,000",1.35,1.35,"2,765,300","2,765,500","9,225,000","4,090,000","4,108,000","956,000","896,000","4,108,000",-,-,0,0
26,12/31/2016,"17,012,000","11,162,000","14,439,000","10,013,000","10,013,000","3,182,000","268,000","596,000","320,000","3,277,000","1,040,000","177,000","1,205,000","424,000","124,000","5,850,000","171,000","3,502,000","3,502,000","813,000","813,000",-,"337,000","2,689,000",-,"60,000","794,000","1,691,000","245,000","270,000","270,000",-,"216,000","-1,760,000","10,152,000","625,000","625,000","5,420,000","5,014,000","4,982,000","32,000","1,685,000","406,000","4,107,000",-,-,-,-,-,-,-,"5,100,000","1,509,000","3,573,000","3,573,000","3,588,000","3,591,000","-3,000",-,"-15,000","320,000",-,"3,573,000",1.27,1.14,"2,813,800","2,814,200","9,402,000","3,573,000","3,576,000","864,000","1,006,000","3,576,000",-,-,0,0
27,9/30/2016,"17,760,000","11,479,000","14,653,000","10,229,000","10,229,000","3,285,000","247,000","636,000","221,000","3,174,000","1,107,000","90,000","1,080,000","459,000","102,000","6,281,000","184,000","3,506,000","3,506,000","862,000","862,000",-,"372,000","2,644,000",-,"35,000","726,000","2,238,000","466,000","255,000","255,000",-,"98,000","-1,701,000","10,439,000","624,000","624,000","5,641,000","5,238,000","5,203,000","35,000","1,694,000","403,000","4,174,000",-,-,-,-,-,-,-,"5,620,000","1,733,000","3,840,000","3,840,000","3,857,000","3,887,000","-30,000",-,"-17,000","225,000",-,"3,840,000",1.24,1.24,"2,879,900","2,880,100","9,778,000","3,840,000","3,870,000","883,000","938,000","3,870,000",-,-,0,0
28,6/30/2016,"17,548,000","11,236,000","14,356,000","9,750,000","9,750,000","3,424,000","237,000","664,000","236,000","3,120,000","1,039,000","109,000","1,082,000","527,000","96,000","6,312,000","217,000","3,603,000","3,603,000","878,000","878,000",-,"344,000","2,725,000",-,"45,000","753,000","1,816,000","402,000","82,000","82,000",-,"594,000","-1,360,000","10,418,000","642,000","642,000","5,711,000","5,278,000","5,229,000","49,000","1,657,000","433,000","4,065,000",-,-,-,-,-,-,-,"5,770,000","1,723,000","3,998,000","3,998,000","4,024,000","4,047,000","-23,000",-,"-26,000","322,000",-,"3,998,000",1.24,1.24,"2,915,800","2,915,900","9,876,000","3,998,000","4,021,000","901,000","868,000","4,021,000",-,-,0,0
29,3/31/2016,"17,555,000","11,227,000","14,167,000","9,760,000","9,760,000","3,254,000","219,000","647,000","252,000","2,940,000","969,000","100,000","1,046,000","502,000","88,000","6,328,000","264,000","3,274,000","3,274,000","811,000","811,000",-,"271,000","2,463,000",-,"35,000","574,000","1,840,000","613,000","-279,000","-279,000",-,"1,229,000","-1,957,000","10,611,000","651,000","651,000","6,034,000","5,644,000","5,556,000","88,000","1,649,000","390,000","3,926,000",-,-,-,-,-,-,-,"4,987,000","1,479,000","3,501,000","3,501,000","3,506,000","3,508,000","-2,000",-,"-5,000","210,000",-,"3,501,000",1.10,1.10,"2,943,000","2,943,100","9,270,000","3,501,000","3,503,000","866,000","908,000","3,503,000",-,-,0,0
30,12/31/2015,"18,456,000","11,463,000","14,364,000","9,966,000","9,966,000","3,165,000","189,000","554,000","407,000","2,901,000","955,000","86,000","1,117,000","416,000","58,000","6,993,000","402,000","3,573,000","3,573,000","821,000","821,000",-,"373,000","2,752,000",-,"83,000","833,000","537,000","296,000","-29,000","-29,000",-,"2,510,000","-2,350,000","11,298,000","710,000","710,000","5,980,000","5,609,000","5,445,000","164,000","1,697,000","371,000","4,608,000",-,-,-,-,-,-,-,"4,808,000","1,403,000","3,335,000","3,335,000","3,360,000","3,405,000","-45,000",-,"-25,000","265,000",-,"3,335,000",1.12,1.02,"2,968,300","2,969,500","9,113,000","3,335,000","3,380,000","743,000","874,000","3,380,000",-,-,0,0
31,9/30/2015,"18,692,000","11,773,000","14,714,000","9,985,000","9,985,000","3,138,000","187,000","656,000","661,000","2,941,000","951,000","159,000","1,131,000","379,000","57,000","6,919,000","464,000","3,602,000","3,602,000","870,000","870,000",-,"415,000","2,732,000",-,"87,000","692,000","1,327,000","432,000","71,000","71,000",-,"1,455,000","-1,647,000","10,858,000","722,000","722,000","5,901,000","5,510,000","5,321,000","189,000","1,628,000","391,000","4,235,000",-,-,-,-,-,-,-,"6,187,000","1,881,000","4,291,000","4,291,000","4,296,000","4,306,000","-10,000",-,"-5,000","174,000",-,"4,291,000",1.36,1.35,"2,993,300","2,996,900","10,126,000","4,291,000","4,301,000","843,000","865,000","4,301,000",-,-,0,0
32,6/30/2015,"19,470,000","11,822,000","14,873,000","10,529,000","10,529,000","3,267,000","168,000","664,000","122,000","3,051,000","999,000","157,000","1,109,000","443,000","54,000","7,648,000","482,000","4,189,000","4,189,000","995,000","995,000",-,"497,000","3,194,000",-,"123,000","960,000","2,173,000","718,000","140,000","140,000",-,"664,000","-1,467,000","11,109,000","737,000","737,000","6,057,000","5,664,000","5,483,000","181,000","1,656,000","393,000","4,315,000",-,-,-,-,-,-,-,"6,894,000","2,036,000","4,846,000","4,846,000","4,864,000","4,858,000","6,000",-,"-18,000","202,000",-,"4,846,000",1.52,1.51,"3,020,000","3,025,000","10,355,000","4,846,000","4,840,000","832,000","882,000","4,840,000",-,-,0,0
33,3/31/2015,"19,736,000","11,572,000","14,600,000","10,555,000","10,555,000","3,015,000","183,000","642,000","110,000","3,028,000","1,030,000","119,000","1,160,000","376,000","47,000","8,164,000","497,000","4,132,000","4,132,000","962,000","962,000",-,"501,000","3,170,000",-,"95,000","938,000","1,971,000","86,000","235,000","235,000",-,"1,329,000","-1,718,000","11,081,000","709,000","709,000","6,109,000","5,717,000","5,520,000","197,000","1,600,000","392,000","4,263,000",-,-,-,-,-,-,-,"6,937,000","2,120,000","4,770,000","4,770,000","4,812,000","4,817,000","-5,000",-,"-42,000","128,000",0,"4,770,000",1.51,1.51,"3,034,200","3,039,300","9,854,000","4,770,000","4,775,000","825,000","885,000","4,775,000",-,-,0,0
34,12/31/2014,"17,812,000","12,101,000","15,260,000","11,047,000","11,047,000","3,161,000","222,000","613,000","115,000","3,159,000","319,000","140,000","1,199,000","422,000","41,000","5,711,000","497,000","4,073,000","4,073,000","946,000","946,000",-,"529,000","3,127,000",-,"102,000","839,000","418,000",-,"127,000","127,000",-,"596,000","-1,807,000","14,632,000","750,000","750,000","6,497,000","6,013,000","5,807,000","206,000","1,657,000","484,000","7,385,000",-,-,-,-,-,-,-,"1,373,000","991,000","350,000","350,000","381,000","382,000","-1,000",-,"-31,000","159,000",0,"350,000",0.12,0.06,"3,025,600","3,031,500","10,294,000","350,000","351,000","835,000","916,000","351,000",-,-,0,0
