,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Investment Securities,Depreciation Amortization Depletion,Depreciation & amortization,Deferred Tax,Deferred Income Tax,Other non-cash items,Asset Impairment Charge,Provision for Loan Lease And Other Losses,Change in working capital,Change in Receivables,Change in Loans,Change in Other Current Assets,Change in Other Current Liabilities,Change in Other Working Capital,Cash from Discontinued Operating Activities,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Capital Expenditure Reported,Proceeds Payment Federal Funds Sold And Securities Purchased Under Agreement To Resell,Proceeds Payment in Interest Bearing Deposits in Bank,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Sale of PPE,Net Business Purchase And Sale,Purchase of Business,Sale of Business,Net Other Investing Changes,Cash from Discontinued Investing Activities,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Change in Federal Funds And Securities Sold for Repurchase,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Net Other Financing Charges,Cash from Discontinued Financing Activities,Cash Flow from Discontinued Operation,End Cash Position,Changes in Cash,Effect of Exchange Rate Changes,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
94,12/31/1999,"-3,620,000","-3,620,000","2,622,000","-281,000","-281,000","829,000","829,000",-,-,"-3,067,000",-,-,"-4,208,000",-,-,-,-,-,-,"-9,448,000","-9,448,000",-,-,-,"-2,484,000","-23,691,000","21,207,000",-,-,-,"-476,000",-,0,-,-,"-6,488,000",-,"15,550,000","15,550,000",-,"3,926,000","-1,010,000","1,694,000","-2,704,000","4,936,000",-,-,"-1,020,000",-,-,-,-,"-502,000","-119,000",-,-,"14,158,000","2,482,000","-23,000","11,699,000",-,-,-,"-476,000",-,"1,694,000","-2,704,000",-,"-4,096,000"
95,9/30/1999,"5,733,000","5,733,000","2,435,000","-35,000","-35,000","877,000","877,000",-,-,"2,054,000",-,-,"402,000",-,-,-,-,-,-,"-8,622,000","-8,622,000",-,-,-,"-995,000","-20,593,000","19,598,000",-,-,-,"-341,000",-,0,-,-,"-7,286,000",-,"-125,000","-125,000",-,"-2,002,000","-654,000","1,728,000","-2,382,000","-1,348,000",-,-,"-795,000",-,-,-,-,"-512,000","-72,000",-,-,"11,699,000","-3,014,000","25,000","14,688,000",-,-,-,"-341,000",-,"1,728,000","-2,382,000",-,"5,392,000"
96,6/30/1999,"8,811,000","8,811,000","2,448,000","-188,000","-188,000","799,000","799,000",-,-,"1,778,000",-,-,"3,974,000",-,-,-,-,-,-,"-9,233,000","-9,233,000",-,-,-,"-1,231,000","-23,331,000","22,100,000",-,-,-,"-356,000",-,"-806,000",-,-,"-6,840,000",-,"3,454,000","3,454,000",-,"-1,420,000","-357,000","2,580,000","-2,937,000","-1,063,000",-,-,"-575,000",-,-,-,-,"-512,000","-111,000",-,-,"14,688,000","3,032,000","-43,000","11,699,000",-,-,-,"-356,000",-,"2,580,000","-2,937,000",-,"8,455,000"
97,3/31/1999,"-1,770,000","-1,770,000","2,362,000","-53,000","-53,000","822,000","822,000",-,-,"-5,517,000",-,-,"616,000",-,-,-,-,-,-,"-8,707,000","-8,707,000",-,-,-,"-2,568,000","-23,401,000","20,833,000",-,-,-,"-399,000",-,"-1,344,000",-,-,"-4,396,000",-,"8,587,000","8,587,000",-,"-980,000","846,000","2,642,000","-1,796,000","-1,826,000",-,-,"-1,146,000",-,-,-,-,"-447,000","406,000",-,-,"11,699,000","-1,890,000","-248,000","13,837,000",-,-,-,"-399,000",-,"2,642,000","-1,796,000",-,"-2,169,000"
98,12/31/1998,"4,812,000","4,812,000","3,374,000",-,-,"1,850,000","1,850,000",-,-,"-32,183,000",-,-,"32,805,000",-,-,-,-,-,-,"-25,405,000","-25,405,000",-,-,-,"-6,545,000","-67,293,000","60,748,000",-,-,-,-,-,-,-,-,"-13,165,000",-,"20,077,000","20,077,000",-,"-6,680,000","121,000","7,954,000","-7,833,000","-6,801,000",-,-,"-2,184,000",-,"725,000",-,-,"-1,320,000","1,410,000",-,-,"13,837,000","-516,000",-,"5,737,000",-,-,-,-,-,"7,954,000","-7,833,000",-,"3,007,000"
99,9/30/1998,"5,149,000","5,149,000","199,000",-,-,"386,000","386,000",-,-,"16,877,000",-,-,"-12,313,000",-,-,-,-,-,-,"-2,674,000","-2,674,000",-,-,-,"173,000","-6,194,000","6,367,000",-,-,-,-,-,-,-,-,"-2,847,000",-,"-1,633,000","-1,633,000",-,"-1,382,000","-248,000","2,314,000","-2,562,000","-1,134,000",-,-,"-696,000",-,0,-,-,"-150,000","-114,000",-,-,"5,737,000","842,000",-,"4,895,000",-,-,-,-,-,"2,314,000","-2,562,000",-,"5,149,000"
100,6/30/1998,"318,000","318,000","1,141,000",-,-,"380,000","380,000",-,-,"9,799,000",-,-,"-11,002,000",-,-,-,-,-,-,"-1,574,000","-1,574,000",-,-,-,"-257,000","-7,055,000","6,798,000",-,-,-,-,-,-,-,-,"-1,317,000",-,"2,208,000","2,208,000",-,"2,238,000","1,163,000","1,845,000","-682,000","1,075,000",-,-,"-405,000",-,0,-,-,"-201,000","217,000",-,-,"4,895,000","952,000",-,"3,943,000",-,-,-,-,-,"1,845,000","-682,000",-,"318,000"
101,3/31/1998,"-5,434,000","-5,434,000","1,093,000",-,-,"363,000","363,000",-,-,"-25,075,000",-,-,"18,185,000",-,-,-,-,-,-,"-1,966,000","-1,966,000",-,-,-,"-2,064,000","-7,687,000","5,623,000",-,-,-,-,-,-,-,-,"98,000",-,"7,310,000","7,310,000",-,"7,508,000","952,000","2,182,000","-1,230,000","6,556,000",-,-,"-422,000",-,"600,000",-,-,"-175,000","-535,000",-,-,"3,943,000","-90,000",-,"4,033,000",-,-,-,-,-,"2,182,000","-1,230,000",-,"-5,434,000"
102,12/31/1997,"-1,205,000","-1,205,000","976,000",-,-,"134,000","134,000",-,-,"730,000",-,-,"1,041,000",-,-,-,-,-,-,"-1,261,000","-1,261,000",-,-,-,"-1,596,000","-6,804,000","5,208,000",-,-,-,-,-,-,-,-,"1,953,000",-,"2,980,000","2,980,000",-,"4,853,000","4,580,000",-,"-4,382,000","273,000",-,-,"-908,000",-,"217,000",-,-,"-240,000","-1,270,000",-,-,"4,033,000","514,000",-,"2,127,000",-,-,-,-,-,-,"-4,382,000",-,"-2,823,000"
103,9/30/1997,"1,298,000","1,298,000","823,000",-,-,"101,000","101,000",-,-,"356,000",-,-,"18,000",-,-,-,-,-,-,"-2,583,000","-2,583,000",-,-,-,"-1,075,000","-6,065,000","4,990,000",-,-,-,-,-,-,-,-,"-1,508,000",-,"1,673,000","1,673,000",-,"741,000","-546,000",-,"-5,000","1,287,000",-,-,"-455,000",-,"392,000",-,-,"-114,000","1,112,000",-,-,"2,127,000","388,000",-,"1,739,000",-,-,-,-,-,-,"-5,000",-,"1,298,000"
104,6/30/1997,"108,000","108,000","663,000",-,-,"94,000","94,000",-,-,"-408,000",-,-,"-241,000",-,-,-,-,-,-,"-1,952,000","-1,952,000",-,-,-,"-1,217,000","-5,789,000","4,572,000",-,-,-,-,-,-,-,-,"-735,000",-,"1,807,000","1,807,000",-,"1,441,000","225,000","225,000",0,"1,216,000",-,-,"-161,000",-,-,-,-,"-116,000","-139,000",-,-,"1,739,000","-37,000",-,"1,776,000",-,-,-,-,-,"225,000",0,-,"108,000"
105,3/31/1997,"466,000","466,000","642,000",-,-,"92,000","92,000",-,-,"1,460,000",-,-,"-1,728,000",-,-,-,-,-,-,"-821,000","-821,000",-,-,-,"-322,000","-7,662,000","7,340,000",-,-,-,-,-,-,-,-,"-499,000",-,"263,000","263,000",-,"664,000","-426,000","316,000","-742,000","1,090,000",-,-,"-339,000",-,-,-,-,"-117,000","-16,000",-,-,"1,776,000","-92,000",-,"1,868,000",-,-,-,-,-,"316,000","-742,000",-,"466,000"
106,12/31/1996,"-371,000","-371,000","643,000",-,-,"86,000","86,000",-,-,"-2,472,000",-,-,-,-,-,-,-,-,-,"-826,000","-826,000",-,-,-,"-1,852,000","-5,690,000","3,838,000",-,-,-,0,-,-,-,-,"1,026,000",-,"1,430,000","1,430,000",-,"618,000","1,050,000","1,350,000","-300,000","-432,000",-,-,"-161,000",-,"1,000,000",-,-,"-91,000","-32,000",-,-,"1,868,000","233,000",-,"1,635,000",-,-,-,-,-,"1,350,000","-300,000",-,"-371,000"
107,9/30/1996,"1,430,000","1,430,000","561,000",-,-,"89,000","89,000",-,-,"584,000",-,-,"196,000",-,-,-,-,-,-,"-255,000","-255,000",-,-,-,"123,000","-8,128,000","8,251,000",-,-,-,0,-,-,-,-,"-378,000",-,"-1,175,000","-1,175,000",-,"-513,000","132,000","240,000","-108,000","-645,000",-,-,"-115,000",-,0,-,-,"-100,000","-152,000",-,-,"1,635,000",0,-,"1,635,000",-,-,-,-,-,"240,000","-108,000",-,"1,430,000"
108,6/30/1996,"247,000","247,000","576,000",-,-,"80,000","80,000",-,-,"-951,000",-,-,"542,000",-,-,-,-,-,-,"-4,315,000","-4,315,000",-,-,-,"-72,000","-10,003,000","9,931,000",-,-,-,-,-,-,-,-,"-83,000",-,"4,286,000","4,286,000",-,"2,510,000","550,000","700,000","-150,000","1,960,000",-,-,"1,300,000",-,-,-,-,"-92,000","-45,000",-,-,"1,635,000","218,000",-,"1,417,000",-,-,-,-,-,"700,000","-150,000",-,"-3,913,000"
109,3/31/1996,"1,031,000","1,031,000","520,000",-,-,"87,000","87,000",-,-,"2,534,000",-,-,"-2,110,000",-,-,-,-,-,-,"-847,000","-847,000",-,-,-,"-713,000","-5,750,000","5,037,000",-,-,-,-,-,-,-,-,"-134,000",-,"-633,000","-633,000",-,"-92,000","440,000","650,000","-210,000","-532,000",-,-,"-164,000",-,-,-,-,"-99,000","5,000",-,-,"1,417,000","-449,000",-,"1,866,000",-,-,-,-,-,"650,000","-210,000",-,"1,031,000"
110,12/31/1995,"312,000","312,000","490,000",-,-,"182,000","182,000",-,-,"6,626,000",-,-,"-6,986,000",-,-,-,-,-,-,"-393,000","-393,000",-,-,-,"-885,000","-4,888,000","4,003,000",-,-,-,-,-,-,-,-,"492,000",-,"485,000","485,000",-,"1,011,000","402,000","550,000","-148,000","609,000",-,-,"-125,000",-,-,-,-,"-85,000","12,000",-,-,"1,866,000","404,000",-,"1,462,000",-,-,-,-,-,"550,000","-148,000",-,"312,000"
111,9/30/1995,"79,000","79,000","456,000",-,-,"-30,000","-30,000",-,-,"-8,746,000",-,-,"8,399,000",-,-,-,-,-,-,"-53,000","-53,000",-,-,-,"-1,711,000","-6,298,000","4,587,000",-,-,-,-,-,-,-,-,"1,658,000",-,"-6,000","-6,000",-,"303,000","192,000","350,000","-158,000","111,000",-,-,"-142,000",-,-,-,-,"-85,000","-17,000",-,-,"1,462,000","20,000",-,"1,442,000",-,-,-,-,-,"350,000","-158,000",-,"79,000"
112,6/30/1995,"-123,000","-123,000","342,000",-,-,"64,000","64,000",-,-,"-614,000",-,-,"85,000",-,-,-,-,-,-,"212,000","212,000",-,-,-,"1,627,000","-3,095,000","4,722,000",-,-,-,-,-,-,-,-,"-1,415,000",-,"104,000","104,000",-,"511,000","1,139,000","1,825,000","-686,000","-628,000",-,-,"-74,000",-,-,-,-,"-85,000","-1,000",-,-,"1,442,000","193,000",-,"1,249,000",-,-,-,-,-,"1,825,000","-686,000",-,"-123,000"
113,3/31/1995,"2,917,000","2,917,000","340,000",-,-,"88,000","88,000",-,-,"5,712,000",-,-,"-3,223,000",-,-,-,-,-,-,"-214,000","-214,000",-,-,-,"-287,000","-4,250,000","3,963,000",-,-,-,-,-,-,-,-,"73,000",-,"-2,681,000","-2,681,000",-,"-2,106,000","417,000","800,000","-383,000","-2,523,000",-,-,"-77,000",-,-,-,-,"-86,000","-4,000",-,-,"1,249,000","22,000",-,"1,227,000",-,-,-,-,-,"800,000","-383,000",-,"2,917,000"
114,12/31/1994,"-480,000","-480,000","334,000",-,-,"91,000","91,000",-,-,"-2,283,000",-,-,"1,378,000",-,-,-,-,-,-,"424,000","424,000",-,-,-,"-687,000","-2,645,000","1,958,000",-,-,-,-,-,-,-,-,"1,111,000",-,"75,000","75,000",-,"498,000","284,000","500,000","-216,000","214,000",-,-,"-527,000",-,-,-,-,"-68,000","1,378,000",-,-,0,"19,000",-,0,"-19,000",-,-,-,-,"500,000","-216,000",-,"-480,000"
115,9/30/1994,"-115,000","-115,000","332,000",-,-,"84,000","84,000",-,-,"-443,000",-,-,"-88,000",-,-,-,-,-,-,"-309,000","-309,000",-,-,-,"-803,000","-1,952,000","1,149,000",-,-,-,-,-,-,-,-,"494,000",-,"221,000","221,000",-,"685,000","-52,000","200,000","-252,000","737,000",-,-,"226,000",-,-,-,-,"-69,000","-1,364,000",-,-,0,"-203,000",-,0,"203,000",-,-,-,-,"200,000","-252,000",-,"-115,000"
116,6/30/1994,"846,000","846,000","320,000",-,-,"100,000","100,000",-,-,"477,000",-,-,"-51,000",-,-,-,-,-,-,"-103,000","-103,000",-,-,-,"294,000","-1,196,000","1,490,000",-,-,-,-,-,-,-,-,"-397,000",-,"-795,000","-795,000",-,"-242,000","-202,000",0,"-202,000","-40,000",-,-,"-63,000",-,-,-,-,"-69,000","-17,000",-,-,0,"-52,000",-,0,"52,000",-,-,-,-,0,"-202,000",-,"846,000"
117,3/31/1994,"267,000","267,000","340,000",-,-,"74,000","74,000",-,-,"368,000",-,-,"-515,000",-,-,-,-,-,-,"327,000","327,000",-,-,-,"-240,000","-3,438,000","3,198,000",-,-,-,-,-,-,-,-,"567,000",-,"-657,000","-657,000",-,"41,000","87,000","450,000","-363,000","-46,000",-,-,"-179,000",-,-,-,-,"-61,000","-1,000",-,-,0,"-63,000",-,"1,526,000","-1,463,000",-,-,-,-,"450,000","-363,000",-,"267,000"
118,12/31/1993,"-1,141,700","-1,141,700","298,900",-,-,"47,100","47,100",-,-,"-1,083,700",-,-,"-404,000",-,-,-,-,-,-,"321,800","321,800",-,-,-,"103,700","-475,300","579,000",-,-,-,-,-,-,-,-,"218,100",-,"1,344,800","1,344,800",-,"1,458,600","46,200","150,000","-103,800","1,412,400",-,-,"-62,600",-,-,-,-,"-37,900","9,400",-,-,0,"524,900",-,0,"-524,600",-,-,-,-,"150,000","-103,800",-,"-1,141,700"
119,9/30/1993,"1,951,600","1,951,600","258,700",-,-,"36,400","36,400",-,-,"239,200",-,-,"1,417,300",-,-,-,-,-,-,"-2,638,000","-2,638,000",-,-,-,"-543,300","-1,508,100","964,800",-,-,-,-,-,-,-,-,"-2,094,700",-,"2,069,500","2,069,500",-,"2,111,600","1,183,000","1,283,000","-100,000","928,600",-,-,"1,300",-,-,-,-,"-35,700","-20,100",-,-,0,"1,383,100",-,0,"-1,383,100",-,-,-,-,"1,283,000","-100,000",-,"1,951,600"
120,6/30/1993,"-1,080,100","-1,080,100","186,400",-,-,"22,900","22,900",-,-,"-869,900",-,-,"-419,500",-,-,-,-,-,-,"-67,100","-67,100",-,-,-,"-10,000","-250,800","240,800",-,-,-,-,-,-,-,-,"-57,100",-,"1,133,200","1,133,200",-,"844,000","884,500","1,100,000","-215,500","-40,500",-,-,"330,400",-,-,-,-,"-33,400","-18,300",-,-,0,"-14,000",-,0,"14,000",-,-,-,-,"1,100,000","-215,500",-,"-1,080,100"
121,3/31/1993,"604,200","604,200","207,000",-,-,"18,600","18,600",-,-,"259,400",-,-,"119,200",-,-,-,-,-,-,"-79,700","-79,700",-,-,-,"-48,400","-713,800","665,400",-,-,-,-,-,-,-,-,"-31,300",-,"-246,500","-246,500",-,"-195,200","171,300","200,000","-28,700","-366,500",-,-,"1,900",-,-,-,-,"-32,000","-21,000",-,-,0,"278,000",-,"272,300","-550,300",-,-,-,-,"200,000","-28,700",-,"604,200"
122,12/31/1992,"-69,300","-69,300","219,900",-,-,"25,100","25,100",-,-,"-94,300",-,-,"-220,000",-,-,-,-,-,-,"-246,600","-246,600",-,-,-,"54,600","-479,300","533,900",-,-,-,-,-,-,-,-,"248,800",-,"-44,400","-44,400",-,"-10,400","-330,400","-10,000","-320,400","320,000",-,-,"6,100",-,-300,-,-,"-27,600","-11,300",-,-,0,"-360,300",-,0,"360,300",-,-,-,-,"-10,000","-320,400",-,"-619,300"
123,9/30/1992,"299,100","299,100","165,000",-,-,"24,000","24,000",-,-,"-5,500",-,-,"115,600",-,-,-,-,-,-,"-148,700","-148,700",-,-,-,"-76,300","-916,600","840,300",-,-,-,-,-,-,-,-,"-72,400",-,"151,400","151,400",-,"-95,800","128,600","160,000","-31,400","-224,400",-,-,"-4,200",-,-,-,-,"-22,600","-17,100",-,-,0,"301,800",-,0,"-301,800",-,-,-,-,"160,000","-31,400",-,"299,100"
124,6/30/1992,"420,200","420,200","150,300",-,-,"25,300","25,300",-,-,"142,700",-,-,"101,900",-,-,-,-,-,-,"-52,600","-52,600",-,-,-,"23,100","-326,500","349,600",-,-,-,-,-,-,-,-,"-75,700",-,"-302,300","-302,300",-,"-118,300","-77,400","103,000","-180,400","-40,900",-,-,"-85,300",-,-,-,-,"-21,500","-4,800",-,-,0,"65,300",-,0,"-65,300",-,-,-,-,"103,000","-180,400",-,"420,200"
125,3/31/1992,"-189,900","-189,900","221,000",-,-,"22,700","22,700",-,-,"-246,900",-,-,"-186,700",-,-,-,-,-,-,"281,200","281,200",-,-,-,"-53,200","-371,500","318,300",-,-,-,-,-,-,-,-,"334,400",-,"-140,800","-140,800",-,"-56,700","-18,800","420,800","-439,600","-37,900",-,-,"-24,800",-,-,-,-,"-13,300","-22,600",-,-,0,"-49,500",-,"315,000","-265,500",-,-,-,-,"420,800","-439,600",-,"-189,900"
126,12/31/1991,"385,300","385,300","132,100",-,-,"29,600","29,600",-,-,"237,800",-,-,"-14,200",-,-,-,-,-,-,"19,700","19,700",-,-,-,"23,300","135,100","-111,800",-,-,-,0,-,-,-,-,"-3,600",-,"-404,600","-404,600",-,"-373,600","202,500","340,000","-137,500","-576,100",-,-,"13,200",-,-,-,-,"-13,200",-,-,-,0,400,-,0,"3,900",-,-,-,-,"340,000","-137,500",-,"385,300"
127,9/30/1991,"-62,800","-62,800","123,500",-,-,"31,000","31,000",-,-,"-339,000",-,-,"121,700",-,-,-,-,-,-,"-352,000","-352,000",-,-,-,"-148,300","-787,700","639,400",-,-,-,0,-,-,-,-,"-203,700",-,"339,600","339,600",-,"360,500","280,700","360,200","-79,500","79,800",-,-,"1,800",-,-,-,-,"-13,100",-,-,-,0,"-75,200",-,0,"70,900",-,-,-,-,"360,200","-79,500",-,"-62,800"
128,6/30/1991,"157,600","157,600","117,300",-,-,"28,700","28,700",-,-,"-109,700",-,-,"121,300",-,-,-,-,-,-,"-41,300","-41,300",-,-,-,"34,500","-471,300","505,800",-,-,-,0,-,-,-,-,"-75,800",-,"3,700","3,700",-,"76,900","-1,700","200,000","-201,700","78,600",-,-,"-60,500",-,-,-,-,"-10,700",-,-,-,0,"120,000",-,0,"-115,700",-,-,-,-,"200,000","-201,700",-,"157,600"
129,3/31/1991,"97,200","97,200","105,900",-,-,"31,100","31,100",-,-,"166,300",-,-,"-206,100",-,-,-,-,-,-,"-445,200","-445,200",-,-,-,"-1,500","-577,000","575,500",-,-,-,"-7,800",-,-,-,-,"-435,900",-,"324,000","324,000",-,"340,900","384,100","405,800","-21,700","-43,200",-,-,"-2,200",-,-,-,-,"-10,700",-,-,-,0,"-24,000",-,"298,100","-274,100",-,-,"-7,800",-,"405,800","-21,700",-,"89,400"
130,12/31/1990,"216,300","216,300","98,800",-,-,"33,100","33,100",-,-,"245,300",-,-,"-160,900",-,-,-,-,-,-,"-353,500","-353,500",-,-,-,"-86,800","365,900","-452,700",-,-,-,"-361,100",-,-,-,-,"94,400",-,"40,300","40,300",-,"84,700","154,100","352,100","-198,000","-69,400",-,-,"-23,400",-,-,-,-,"-10,800",-,-,-,0,"-96,900",-,0,"96,900",-,-,-,-,"352,100","-198,000",-,"137,500"
131,9/30/1990,"129,900","129,900","94,000",-,-,"34,600","34,600",-,-,"-225,300",-,-,"226,600",-,-,-,-,-,-,"-181,900","-181,900",-,-,-,"-126,600","-569,900","443,300",-,-,-,"353,200",-,-,-,-,"-408,500",-,"78,800","78,800",-,"199,800","-53,800","2,000","-55,800","253,600",-,-,"-51,900",-,-,-,-,"-11,000",-,-,-,0,"26,800",-,0,"-26,800",-,-,-,-,"2,000","-55,800",-,"200,800"
132,6/30/1990,"208,100","208,100","96,900",-,-,"29,300","29,300",-,-,"82,800",-,-,-900,-,-,-,-,-,-,"-280,800","-280,800",-,-,-,"-106,400","-639,100","532,700",-,-,-,"-58,300",-,-,-,-,"-116,100",-,"149,100","149,100",-,"165,100","296,000","301,200","-5,200","-130,900",-,-,"5,800",-,-,-,-,"-8,800",-,-,-,0,"76,400",-,0,"-76,400",-,-,"-58,300",-,"301,200","-5,200",-,"149,800"
133,3/31/1990,"143,000","143,000","83,200",-,-,"27,100","27,100",-,-,"94,100",-,-,"-61,400",-,-,-,-,-,-,"-1,199,300","-1,199,300",-,-,-,"-32,400","-362,400","330,000",-,-,-,"-12,600",-,-,-,-,"-1,154,300",-,"1,149,700","1,149,700",-,"1,201,800","-5,000","200,000","-205,000","1,206,800",-,-,"-29,300",-,-,-,-,"-8,800",-600,-,-,0,"93,400",-,"198,400","-291,800",-,-,"-12,600",-,"200,000","-205,000",-,"130,400"
