,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash Equivalents,Cash And Due from Banks,Restricted Cash And Investments,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Customer Acceptances,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Other Receivables,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Construction in Progress,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Assets Held for Sale,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Payables And Accrued Expenses,Payables,Total Tax Payable,Income Tax Payable,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Current Notes Payable,Other Current Borrowings,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Long Term Provisions,Liabilities of Discontinued Operations,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
113,12/31/1994,"66,798,100","3,511,400","3,511,400",-,"3,511,400",-,-,-,-,-,"13,821,900",-,"13,821,900",-,-,-,"45,394,300","46,224,600",-,-,-,-,"46,224,600","830,300",-,-,-,"987,200",-,-,-,-,-,-,-,-,"793,600",-,-,-,"2,289,700","62,099,600","48,564,300","39,428,500","39,428,500","9,135,800","5,499,100",-,-,-,-,-,-,-,"3,277,600","3,277,600",-,"3,277,600",-,"3,569,800","3,569,800",-,-,-,-,"1,188,800","4,698,500","4,698,500","160,000","160,000",-,"3,169,300",-,-,"-115,300","1,484,500",-,"8,268,300","160,000","4,538,500",-,"3,904,900","11,385,900","3,744,900","6,847,400","3,336,000","480,724","480,724",-,-
114,9/30/1994,"64,500,300","3,006,700","3,006,700",-,"3,006,700",-,-,-,-,-,"13,611,000",-,"13,611,000",-,-,-,"43,788,600","44,608,800",-,-,-,-,"44,608,800","820,200",-,-,-,"947,300",-,-,-,-,-,-,-,-,"576,500",-,-,-,"2,570,200","59,798,400","47,816,500","39,285,200","39,285,200","8,531,300","5,514,800",-,-,-,-,-,-,-,"3,172,700","3,172,700",-,"3,172,700",-,"2,177,800","2,177,800",-,-,-,-,"1,116,600","4,701,900","4,701,900","160,000","160,000",-,"3,056,200",-,-,-,"1,485,700",-,"6,879,700","160,000","4,541,900",-,"4,125,400","9,892,400","3,965,400","5,350,500","2,343,800","487,084","487,084",-,-
115,6/30/1994,"63,356,600","3,132,900","3,132,900",-,"3,132,900",-,-,-,-,-,"14,189,300",-,"14,189,300",-,-,-,"42,341,200","43,157,600",-,-,-,-,"43,157,600","816,400",-,-,-,"933,300",-,-,-,-,-,-,-,-,"566,700",-,-,-,"2,193,200","58,757,800","47,796,200","39,382,000","39,382,000","8,414,200","5,509,700",-,-,-,-,-,-,-,"2,326,300","2,326,300",-,"2,326,300",-,"2,123,600","2,123,600",-,-,-,-,"1,002,000","4,598,800","4,598,800","160,000","160,000",-,"2,908,800",-,-,-,"1,530,000",-,"6,722,400","160,000","4,438,800",-,"4,032,100","8,888,700","3,872,100","4,449,900","1,317,000","488,492","488,492",-,-
116,3/31/1994,"61,475,800","2,830,700","2,830,700",-,"2,830,700",-,-,-,-,-,"13,566,000",-,"13,566,000",-,-,-,"40,567,200","41,379,800",-,-,-,-,"41,379,800","812,600",-,-,-,"910,900",-,-,-,-,-,-,-,-,"542,900",-,-,-,"3,058,100","56,939,500","46,880,600","38,667,000","38,667,000","8,213,600","5,674,500",-,-,-,-,-,-,-,"1,560,200","1,560,200",-,"1,560,200",-,"1,744,500","1,744,500",-,-,-,-,"1,079,700","4,536,300","4,536,300","160,000","160,000",-,"2,769,100",-,-,-,"1,607,200",-,"6,280,800","160,000","4,376,300",-,"3,993,400","7,681,000","3,833,400","3,304,700","474,000","234,754","234,754",-,-
117,12/31/1993,"27,007,300","1,375,600","1,375,600",-,"1,375,600",-,-,-,-,-,"6,391,300",-,"6,391,300",-,-,-,"17,417,000","17,897,600",-,-,-,-,"17,897,600","480,600",-,-,-,"421,800",-,-,-,-,-,-,-,-,"214,100",-,-,-,"1,187,500","24,968,700","19,880,700","16,077,000","16,077,000","3,803,700","2,353,700",-,-,-,-,-,-,-,"1,175,800","1,175,800",-,"1,175,800",-,"952,700","952,700",-,-,-,-,"605,800","2,038,600","2,038,600",-,-,-,"1,369,000",-,-,-,"669,600",-,"2,991,300",-,"2,038,600",-,"1,824,500","4,167,100","1,824,500","2,128,500","752,900","234,754","234,754",-,-
118,9/30/1993,"25,760,600","1,758,100","1,231,900","979,700","252,200",-,"526,200","526,200","16,300",-,"5,657,100","13,200","5,643,900",-,-,-,"16,534,300","17,019,300",-,-,-,-,"17,019,300","485,000",-,-,-,"430,300",-,-,-,-,-,-,-,-,-,-,-,-,"1,364,500","23,752,600","17,765,000","14,674,300","14,674,300","3,090,700","3,130,700",-,-,-,-,-,-,-,"1,161,100","1,161,100",-,"1,161,100",-,"1,077,800","1,077,800",-,-,-,-,"618,000","2,008,000","2,008,000",-,-,-,"1,344,500",-,-,-,"663,500",-,"3,085,800",-,"2,008,000",-,"2,008,000","4,246,900","2,008,000","2,238,900","1,007,000","234,172","234,172",-,-
119,6/30/1993,"25,919,800","2,425,100","2,146,800","996,500","1,150,300",-,"278,300","278,300","21,800",-,"5,373,200",-,"5,373,200",-,-,-,"16,548,200","17,037,200",-,-,-,-,"17,037,200","489,000",-,-,-,"433,400",-,-,-,-,-,-,-,-,-,-,-,-,"1,118,100","23,980,300","18,147,000","14,883,300","14,883,300","3,263,700","3,187,500",-,-,-,-,-,-,-,"1,083,400","1,083,400",-,"1,083,400",-,"1,091,600","1,091,600",-,-,-,-,"470,800","1,939,500","1,939,500",-,-,-,"1,278,800",-,-,-,"660,700",-,"3,031,100",-,"1,939,500",-,"1,939,500","4,114,500","1,939,500","2,175,000","28,200","233,958","233,958",-,-
120,3/31/1993,"25,957,500","2,409,700","2,159,500","1,085,400","1,074,100",-,"250,200","250,200","25,300",-,"5,365,600","18,000","5,347,600",-,-,-,"16,673,100","17,168,200",-,-,-,-,"17,168,200","495,100",-,-,-,"428,300",-,-,-,-,-,-,-,-,-,-,-,-,"1,055,500","24,086,100","18,780,200","15,665,500","15,665,500","3,114,700","3,205,000",-,-,-,-,-,-,-,"558,900","558,900",-,"558,900",-,"996,800","996,800",-,-,-,-,"545,200","1,871,400","1,871,400",-,-,-,"1,214,300",-,-,-,"657,100",-,"2,868,200",-,"1,871,400",-,"1,871,400","3,427,100","1,871,400","1,555,700",-,"233,658","233,658",-,-
121,12/31/1992,"24,978,300","2,120,900","2,022,900","1,345,100","677,800",-,"98,000","98,000","29,400",-,"5,609,600","3,000","5,606,600",-,-,-,"15,699,000","16,201,700",-,-,-,-,"16,201,700","502,700",-,-,-,"406,600",-,-,-,-,-,-,-,-,-,-,-,-,"1,112,800","23,110,200","18,658,000","14,999,100","14,999,100","3,658,900","2,834,100",-,-,-,-,-,-,-,"276,400","276,400",-,"276,400",-,"886,100","886,100",-,-,-,-,"455,600","1,868,100","1,868,100","60,000","60,000",-,"1,153,300",-,-,-,"654,800",-,"2,754,200","60,000","1,808,100",-,"1,868,100","2,970,600","1,808,100","1,162,500",-,"233,452","233,452",-,-
122,9/30/1992,"24,388,900","2,073,800","1,969,900","1,432,500","537,400",-,"103,900","103,900","74,000",-,"5,500,300","22,400","5,477,900",-,-,-,"15,229,400","15,742,100",-,-,-,-,"15,742,100","512,700",-,-,-,"406,600",-,-,-,-,-,-,-,-,-,-,-,-,"1,104,800","22,590,200","17,327,200","14,344,800","14,344,800","2,982,400","3,375,600",-,-,-,-,-,-,-,"441,600","441,600",-,"441,600",-,"687,100","687,100",-,-,-,-,"758,700","1,798,700","1,798,700","60,000","60,000",-,"1,096,800",-,-,-,"641,900",-,"2,485,800","60,000","1,738,700",-,"1,798,700","2,867,400","1,738,700","1,128,700",-,"232,220","232,220",-,-
123,6/30/1992,"23,528,500","2,052,500","1,762,500","1,367,100","395,400",-,"290,000","290,000","103,400",-,"4,631,500","39,800","4,591,700",-,-,-,"15,356,800","15,879,900",-,-,-,-,"15,879,900","523,100",-,-,-,"391,700",-,-,-,-,-,-,-,-,-,-,-,-,"992,600","21,786,800","17,724,100","14,664,600","14,664,600","3,059,500","835,900",-,-,-,-,-,-,-,"1,969,300","1,969,300",-,"1,969,300",-,"689,300","689,300",-,-,-,-,"568,200","1,741,700","1,741,700","60,000","60,000",-,"1,043,600",-,-,-,"638,100",-,"2,431,000","60,000","1,681,700",-,"1,741,700","4,340,300","1,681,700","2,658,600","896,100","231,824","231,824",-,-
124,3/31/1992,"24,455,800","2,282,800","1,631,800","1,346,200","285,600",-,"651,000","651,000","95,900",-,"4,481,000","24,900","4,456,100",-,-,-,"16,059,600","16,575,400",-,-,-,-,"16,575,400","515,800",-,-,-,"350,000",-,-,-,-,-,-,-,-,-,-,-,-,"1,186,500","22,775,300","19,125,200","16,033,500","16,033,500","3,091,700","2,325,700",-,-,-,-,-,-,-,"266,400","266,400",-,"266,400",-,"463,000","463,000",-,-,-,-,"595,000","1,680,500","1,680,500","60,000","60,000",-,"985,500",-,-,-,"635,000",-,"2,143,500","60,000","1,620,500",-,"1,680,500","2,349,900","1,620,500","729,400",-,"231,488","231,488",-,-
125,12/31/1991,"15,404,500","1,610,000","1,529,000","850,300","678,700",-,"81,000","81,000","65,200",-,"3,564,600","1,600","3,563,000",-,-,-,"9,417,400","9,584,800",-,-,-,-,"9,584,800","167,400",-,-,-,"213,600",-,-,-,-,-,-,-,-,-,-,-,-,"533,700","14,287,800","11,535,100","9,568,200","9,568,200","1,966,900","1,276,700",-,-,-,-,-,-,-,"283,700","283,700",-,"283,700",-,"177,100","177,100",-,-,-,-,"1,015,200","1,116,700","1,116,700",-,-,-,"611,400",-,-,-,"505,300",-,"1,293,800",-,"1,116,700",-,"1,116,700","1,577,500","1,116,700","460,800",-,"132,116","132,116",-,-
126,9/30/1991,"23,357,900","1,255,000","1,255,000",-,"1,255,000",-,-,-,-,-,"4,842,000",-,"4,842,000",-,-,-,"15,137,900","15,688,300",-,-,-,-,"15,688,300","208,600","-341,800",-,-,"377,500",-,-,-,-,-,-,-,-,"308,800",-,-,-,"1,436,700","21,907,700","19,157,900","15,981,400","15,981,400","3,176,500","1,170,700",-,-,"220,600","220,600","220,600","220,600",-,"459,400","459,400",-,"459,400",-,"517,700","517,700",-,-,-,-,"381,400","1,450,200","1,450,200","184,000","184,000",-,"693,600",-,-,-,"572,600",-,"1,967,900","184,000","1,266,200",-,"1,141,400","2,243,300","957,400","977,100",-,"189,206","189,206",-,-
127,6/30/1991,"25,149,700","1,325,500","1,325,500",-,"1,325,500",-,-,-,-,-,"6,501,900",-,"6,501,900",-,-,-,"15,650,200","16,212,500",-,-,-,-,"16,212,500","203,300","-359,000",-,-,"353,900",-,-,-,-,-,-,-,-,"323,700",-,-,-,"994,500","23,741,900","19,191,100","16,343,100","16,343,100","2,848,000","1,223,000",-,-,"224,100","224,100","224,100","224,100",-,"2,377,900","2,377,900",-,"2,377,900",-,"515,300","515,300",-,-,-,-,"210,500","1,407,800","1,407,800","174,000","174,000",-,"663,200",-,-,-,"570,600",-,"1,923,100","174,000","1,233,800",-,"1,084,100","4,127,000","910,100","2,893,200","1,567,700","188,820","188,820",-,-
128,3/31/1991,"19,284,000","987,800","987,800",-,"987,800",-,-,-,-,-,"4,069,800",-,"4,069,800",-,-,-,"12,907,500","13,464,800",-,-,-,-,"13,464,800","160,500","-396,800",-,-,"236,200",-,-,-,-,-,-,-,-,"307,600",-,-,-,"775,100","18,050,900","15,928,800","13,522,400","13,522,400","2,406,400","1,303,000",-,-,"154,600","154,600","154,600","154,600",-,"108,000","108,000",-,"108,000",-,"388,300","388,300",-,-,-,-,"168,200","1,233,100","1,233,100","24,000","24,000",-,"636,800",-,-,-,"572,300",-,"1,621,400","24,000","1,209,100",-,"925,500","1,705,400","901,500","496,300",-,"188,280","188,280",-,-
129,12/31/1990,"15,110,200","1,321,000","1,298,500","999,500","299,000",-,"22,500","22,500","49,500",-,"3,190,100","25,100","3,165,000",-,-,-,"9,895,100","10,073,800",-,-,-,-,"10,073,800","178,700",-,-,-,"215,200",-,-,-,-,-,-,-,-,-,-,-,-,"439,300","14,105,000","12,118,100","10,095,100","10,095,100","2,023,000","1,487,400",-,-,-,-,-,-,-,"57,500","57,500",-,"57,500",-,"183,200","183,200",-,-,-,-,"258,800","1,005,200","1,005,200",-,-,-,"508,900",-,-,-,"496,300",-,"1,188,400",-,"1,005,200",-,"1,005,200","1,245,900","1,005,200","240,700",-,"131,074","131,074",-,-
130,9/30/1990,"15,621,300","1,486,000","1,394,500","897,800","496,700",-,"91,500","91,500","66,700",-,"3,256,400","23,100","3,233,300",-,-,-,"10,089,900","10,261,400",-,-,-,-,"10,261,400","171,500",-,-,-,"219,400",-,-,-,-,-,-,-,-,-,-,-,-,"502,900","14,633,600","12,421,500","10,511,200","10,511,200","1,910,300","1,599,200",-,-,-,-,-,-,-,"116,500","116,500",-,"116,500",-,"193,500","193,500",-,-,-,-,"302,900","987,700","987,700",-,-,-,"485,700",-,-,-,"502,000",-,"1,181,200",-,"987,700",-,"987,700","1,297,700","987,700","310,000",-,"131,848","131,848",-,-
131,6/30/1990,"15,476,200","1,393,900","1,380,000","978,500","401,500",-,"13,900","13,900","66,000",-,"3,092,100","6,900","3,085,200",-,-,-,"10,190,600","10,357,900",-,-,-,-,"10,357,900","167,300",-,-,-,"205,900",-,-,-,-,-,-,-,-,-,-,-,-,"527,700","14,511,700","12,527,800","10,594,300","10,594,300","1,933,500","1,331,100",-,-,-,-,-,-,-,"131,100","131,100",-,"131,100",-,"193,700","193,700",-,-,-,-,"328,000","964,500","964,500",-,-,-,"460,300",-,-,-,"504,200",-,"1,158,200",-,"964,500",-,"964,500","1,289,300","964,500","324,800",-,"132,128","132,128",-,-
132,3/31/1990,"15,444,700","1,576,000","1,559,900","852,900","707,000",-,"16,100","16,100","30,800",-,"2,878,800","5,200","2,873,600",-,-,-,"10,250,700","10,416,700",-,-,-,-,"10,416,700","166,000",-,-,-,"201,300",-,-,-,-,-,-,-,-,-,-,-,-,"507,100","14,491,500","12,349,500","10,441,900","10,441,900","1,907,600","1,583,100",-,-,-,-,-,-,-,"96,800","96,800",-,"96,800",-,"194,200","194,200",-,-,-,-,"267,900","953,200","953,200",-,-,-,"434,900",-,-,-,"518,300",-,"1,147,400",-,"953,200",-,"953,200","1,244,200","953,200","291,000",-,"134,000","134,000",-,-
133,12/31/1989,"10,903,300","1,591,400","1,580,700","783,200","797,500",-,"10,700","10,700","31,700",-,"1,906,300","38,200","1,868,100",-,-,-,"6,719,900","6,808,700",-,-,-,-,"6,808,700","88,800",-,-,-,"110,900",-,-,-,-,-,-,-,-,-,-,-,-,"543,100","10,157,100","8,424,500","6,841,300","6,841,300","1,583,200","1,376,000",-,-,-,-,-,-,-,"19,500","19,500",-,"19,500",-,"122,200","122,200",-,-,-,-,"214,900","746,200","746,200","25,000","25,000",-,"508,400",-,-,-,"212,800",-,"868,400","25,000","721,200",-,"746,200","862,900","721,200","141,700",-,"86,994","86,994",-,-
