,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Sale of Business,Gain Loss On Sale of PPE,Gain Loss On Investment Securities,Realized Gain Loss On Sale of Loans And Lease,Depreciation Amortization Depletion,Depreciation & amortization,Deferred Tax,Deferred Income Tax,Other non-cash items,Amortization of Financing Costs And Discounts,Asset Impairment Charge,Stock based compensation,Provision for Loan Lease And Other Losses,Change in working capital,Change in Loans,Change in Other Current Assets,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Investment Properties Purchase And Sale,Sale of Investment Properties,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Purchase of PPE,Sale of PPE,Net Intangibles Purchase And Sale,Purchase of Intangibles,Net Business Purchase And Sale,Purchase of Business,Sale of Business,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Proceeds from Stock Option Exercised,Net Other Financing Charges,Other Cash Adjustment Inside Change in Cash,End Cash Position,Changes in Cash,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
20,6/30/2018,"619,000","619,000","482,000","-157,000",-,"-36,000",0,"-45,000","92,000","92,000","-5,000","-5,000","186,000","-5,000",-,"26,000","64,000","-64,000",-,-,"-64,000","-708,000","-708,000","-650,000","933,000","-1,583,000","7,000","7,000","-190,000","61,000","-251,000","-17,000","-17,000",0,-,-,-,-,-,"23,000","230,000","230,000","696,000","139,000","1,257,000","-1,118,000","557,000",-,-,"-119,000","4,000","-123,000",-,-,-,"-141,000","-3,000",-,-,"784,000","141,000","643,000",-,-,"190,000","-17,000","4,000","1,257,000","-1,118,000","-123,000","602,000"
21,3/31/2018,"-211,000","-211,000","418,000","-41,000",-,"3,000",0,"-44,000","103,000","103,000","22,000","22,000","-895,000","27,000",-,"27,000","61,000","67,000",-,-,"67,000","749,000","749,000","2,497,000","-1,547,000","4,044,000","7,000","7,000","-1,755,000","38,000","-1,793,000","-18,000","-19,000","1,000",-,-,-,-,-,"18,000","-566,000","-566,000","234,000","-504,000","501,000","-1,005,000","738,000",-,-,"-146,000","10,000","-156,000",0,-,0,"-127,000","-43,000",-,-,"643,000","-28,000","671,000",-,-,"199,000","-19,000","10,000","501,000","-1,005,000","-156,000","-230,000"
22,12/31/2017,"736,000","736,000","197,000","-62,000",-,"9,000","-3,000","-70,000","106,000","106,000","169,000","169,000","272,000","32,000",-,"26,000","49,000","-53,000",-,-,"-53,000","-1,406,000","-1,406,000","-1,314,000","-2,743,000","1,429,000","14,000","14,000","5,000","54,000","-49,000","-56,000","-56,000",0,-,-,"-70,000","-70,000",-,"15,000","779,000","779,000","-680,000","-703,000","2,000","-705,000","23,000",-,-,"-202,000","-4,000","-198,000",0,0,0,"-127,000","-1,000",-,-,"671,000","109,000","562,000",-,"3,000","156,000","-56,000","-4,000","2,000","-705,000","-198,000","680,000"
23,9/30/2017,"1,668,000","1,668,000","364,000","-26,000",-,"13,000","-3,000","-37,000","103,000","103,000","-78,000","-78,000","895,000","38,000",-,"23,000","51,000","298,000",-,-,"298,000","-2,101,000","-2,101,000","-2,090,000","-3,580,000","1,490,000","18,000","18,000","-12,000","52,000","-64,000","-32,000","-32,000",0,-,-,0,0,-,"15,000","394,000","394,000","158,000","1,874,000","1,900,000","-26,000","-1,716,000",-,-,"-266,000","4,000","-270,000",0,-,0,"-117,000","-6,000",-,-,"562,000","-39,000","601,000",-,"-57,000","161,000","-32,000","4,000","1,900,000","-26,000","-270,000","1,636,000"
24,6/30/2017,"-184,000","-184,000","412,000","-43,000",-,"-5,000",0,"-39,000","98,000","98,000","75,000","75,000","-746,000","90,000",-,"24,000","66,000","-160,000",-,-,"-160,000","-655,000","-655,000","-46,000","-1,478,000","1,432,000","8,000","8,000","-537,000","40,000","-577,000","-22,000","-22,000",0,-,-,-,-,-,"16,000","891,000","891,000","2,262,000","943,000","950,000","-7,000","1,319,000",-,-,"-86,000","3,000","-89,000",0,-,0,"-118,000","-6,000",-,-,"601,000","52,000","549,000",-,-,"130,000","-22,000","3,000","950,000","-7,000","-89,000","-206,000"
25,3/31/2017,"-405,000","-405,000","325,000","-26,000",-,"10,000","-2,000","-35,000","100,000","100,000","137,000","137,000","-1,020,000","43,000",-,"27,000","63,000","-54,000",-,-,"-54,000","1,923,000","1,923,000","2,123,000","-358,000","2,481,000","11,000","11,000","-218,000","37,000","-255,000","-2,000","-2,000",0,-,-,-,-,-,"9,000","-1,646,000","-1,646,000","-935,000","-10,000",0,"-10,000","-925,000",-,-,"-85,000","22,000","-107,000","-350,000",-,"-350,000","-118,000","-53,000",-,-,"549,000","-128,000","677,000",-,-,"151,000","-2,000","22,000",0,"-10,000","-457,000","-407,000"
26,12/31/2016,"829,000","829,000","228,000","-16,000",-,"40,000","-10,000","-47,000","21,000","21,000","74,000","74,000","248,000",-,-,"33,000","66,000","59,000",-,-,"59,000","-2,013,000","-2,013,000","-916,000","-2,910,000","1,994,000","3,000","3,000","-1,039,000","40,000","-1,079,000","-66,000","-66,000",-,-,-,0,0,-,"5,000","1,112,000","1,112,000","873,000","-26,000","749,000","-775,000","899,000",-,-,"-40,000","27,000","-67,000","490,000","490,000",-,"-111,000",-,-,-,"677,000","-72,000","749,000",-,"76,000","121,000","-66,000","517,000","749,000","-775,000","-67,000","763,000"
27,9/30/2016,"136,000","136,000","173,000","-40,000",-,"19,000","1,000","-61,000","169,000","169,000","-90,000","-90,000","-204,000",-,-,"30,000","59,000","39,000",-,-,"39,000","1,738,000","1,738,000","2,304,000","-3,837,000","6,141,000","6,000","6,000","-44,000","28,000","-72,000","-49,000","-49,000",-,-,-,-,-,-,"2,000","-1,621,000","-1,621,000","-1,859,000","476,000","500,000","-24,000","-2,335,000",-,-,"-71,000","2,000","-73,000",-,-,-,"-78,000",-,-,-,"749,000","253,000","496,000",-,"9,000","118,000","-49,000","521,000","500,000","-24,000","-73,000","87,000"
28,6/30/2016,"351,000","351,000","201,000",-,-,"3,000","-11,000","-29,000","62,000","62,000","-23,000","-23,000","278,000",-,-,"17,000","52,000","-200,000",-,-,"-200,000","-2,845,000","-2,845,000","-1,106,000","-2,338,000","1,232,000","4,000","4,000","-1,734,000","32,000","-1,766,000","-22,000","-22,000",-,-,-,-,-,-,"13,000","2,516,000","2,516,000","649,000","591,000","602,000","-11,000","58,000",-,-,"2,000","2,000",0,-,-,-,"-78,000",-,-,-,"496,000","22,000","474,000",-,"46,000","82,000","-22,000","2,000","602,000","-11,000",0,"329,000"
29,3/31/2016,"373,000","373,000","188,000",-,-,"1,000",0,"-2,000","62,000","62,000","50,000","50,000","-58,000",-,-,"19,000","89,000","23,000",-,-,"23,000","-3,337,000","-3,337,000","-2,718,000","-3,715,000","997,000","3,000","3,000","-623,000","40,000","-663,000","-8,000","-8,000",-,-,-,-,-,-,"9,000","2,831,000","2,831,000","562,000","478,000","976,000","-498,000","84,000",-,-,"1,000","1,000",0,-,-,-,"-68,000",-,-,-,"474,000","-133,000","607,000",-,"13,000","108,000","-8,000","1,000","976,000","-498,000",0,"365,000"
