,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Sale of Business,Gain Loss On Sale of PPE,Gain Loss On Investment Securities,Realized Gain Loss On Sale of Loans And Lease,Depreciation Amortization Depletion,Depreciation & amortization,Deferred Tax,Deferred Income Tax,Other non-cash items,Amortization of Financing Costs And Discounts,Asset Impairment Charge,Stock based compensation,Provision for Loan Lease And Other Losses,Change in working capital,Change in Loans,Change in Other Current Assets,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Investment Properties Purchase And Sale,Sale of Investment Properties,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Purchase of PPE,Sale of PPE,Net Intangibles Purchase And Sale,Purchase of Intangibles,Net Business Purchase And Sale,Purchase of Business,Sale of Business,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Proceeds from Stock Option Exercised,Net Other Financing Charges,Other Cash Adjustment Inside Change in Cash,End Cash Position,Changes in Cash,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
75,9/30/2004,"271,000","271,000","252,000","-31,000",-,-,"-10,000",-,"54,000","54,000","103,000","103,000","-290,000",-,-,-,-,"183,000",-,-,-,"-1,306,000","-1,306,000","-178,000","-721,000","543,000",-,-,-,-,-,"-25,000",-,-,-,-,-,-,-,"-1,072,000","1,706,000","1,706,000","-1,523,000","-1,306,000","706,000","-2,012,000","-217,000",-,-,"-53,000",-,-,-,-,-,"-127,000",-,-,-,"2,984,000","671,000","2,313,000",-,-,-,"-25,000",-,"706,000","-2,012,000",-,"246,000"
76,6/30/2004,"-185,000","-185,000","239,000","-74,000",-,-,"-73,000",-,-,-,"80,000","80,000","-127,000",-,-,-,-,"-396,000",-,-,-,"-1,596,000","-1,596,000","-59,000","-1,146,000","1,087,000",-,-,-,-,-,"-23,000",-,-,-,-,-,-,-,"-1,514,000","1,981,000","1,981,000","-250,000","-470,000","695,000","-1,165,000","220,000",-,-,"-161,000",-,-,-,-,-,"-127,000",-,-,-,"2,313,000","200,000","2,113,000",-,-,-,"-23,000",-,"695,000","-1,165,000",-,"-208,000"
77,3/31/2004,"33,000","33,000","250,000","12,000",-,-,"37,000",-,-,-,"2,000","2,000","45,000",-,-,-,-,"-276,000",-,-,-,"111,000","111,000","-76,000","-599,000","523,000",-,-,-,-,-,"-27,000",-,-,-,-,-,-,-,"214,000","-743,000","-743,000","502,000","-56,000","654,000","-710,000","558,000",-,-,"-186,000",-,-,-,-,-,"-128,000",-,-,-,"2,113,000","-599,000","2,712,000",-,-,-,"-27,000",-,"654,000","-710,000",-,"6,000"
78,12/31/2003,"510,000","510,000","234,000","-32,000",-,-,"66,000",-,"52,000","52,000","59,000","59,000","113,000",-,-,-,-,"84,000",-,-,-,"-137,000","-137,000","66,000","-751,000","817,000",-,-,-,-,-,"-22,000",-,-,-,-,0,-,-,"-181,000","-59,000","-59,000","-1,972,000","-75,000","209,000","-284,000","-1,897,000",-,-,"-90,000",-,-,-,-,-,"-128,000",-,-,-,"2,712,000","314,000","2,398,000",-,-,-,"-22,000",-,"209,000","-284,000",-,"488,000"
79,9/30/2003,"-280,000","-280,000","227,000","-85,000",-,-,"-53,000",-,"53,000","53,000","-9,000","-9,000","-308,000",-,-,-,-,"-158,000",-,-,-,"678,000","678,000","220,000","-1,879,000","2,099,000",-,-,-,-,-,"-47,000",-,-,-,-,-,-,-,"522,000","-1,249,000","-1,249,000","48,000","-294,000","399,000","-693,000","342,000",-,-,"-56,000",-,-,-,-,-,"-128,000",-,-,-,"2,398,000","-851,000","3,249,000",-,-,-,"-47,000",-,"399,000","-693,000",-,"-327,000"
80,6/30/2003,"922,000","922,000","225,000","-5,000",-,-,"-20,000",-,"55,000","55,000","-52,000","-52,000","632,000",-,-,-,-,"67,000",-,-,-,"994,000","994,000","1,623,000","-329,000","1,952,000",-,-,-,-,-,"-16,000",-,-,-,-,-,-,-,"-613,000","-1,741,000","-1,741,000","-959,000","-1,856,000","453,000","-2,309,000","897,000",-,-,"-58,000",-,-,-,-,-,"-128,000",-,-,-,"3,249,000","175,000","3,074,000",-,-,-,"-16,000",-,"453,000","-2,309,000",-,"906,000"
81,3/31/2003,"104,000","104,000","217,000","-19,000",-,-,"-4,000",-,"50,000","50,000","74,000","74,000","-60,000",-,-,-,-,"-158,000",-,-,-,"-1,559,000","-1,559,000","-1,102,000","-3,612,000","2,510,000",-,-,-,-,-,"-10,000",-,-,-,-,-,-,-,"-447,000","1,165,000","1,165,000","224,000","637,000","1,871,000","-1,234,000","-413,000",-,-,"-40,000",-,-,-,-,-,"-129,000",-,-,-,"3,074,000","-290,000","3,364,000",-,-,-,"-10,000",-,"1,871,000","-1,234,000",-,"94,000"
82,12/31/2002,"499,000","499,000","245,000","-15,000",-,-,"28,000",-,"49,000","49,000","91,000","91,000","215,000",-,-,-,-,"-86,000",-,-,-,"-887,000","-887,000","-1,259,000","-1,879,000","620,000",-,-,-,-,-,"-22,000",-,-,-,-,"-48,000",-,-,"442,000","713,000","713,000","-3,490,000","-905,000","272,000","-1,177,000","-2,585,000",-,-,"-26,000",-,-,-,-,-,"-128,000",-,-,-,"3,364,000","325,000","3,039,000",-,-,-,"-22,000",-,"272,000","-1,177,000",-,"477,000"
83,9/30/2002,"444,000","444,000","245,000","-24,000",-,-,"-24,000",-,"56,000","56,000","1,000","1,000","213,000",-,-,-,-,"-47,000",-,-,-,"111,000","111,000","-1,206,000","-2,173,000","967,000",-,-,-,-,-,"-24,000",-,-,-,-,0,-,-,"1,341,000","-445,000","-445,000","-44,000","-802,000","524,000","-1,326,000","758,000",-,-,"-42,000",-,-,-,-,-,"-128,000",-,-,-,"3,039,000","110,000","2,929,000",-,-,-,"-24,000",-,"524,000","-1,326,000",-,"420,000"
84,6/30/2002,"186,000","186,000","246,000","-8,000",-,-,-,-,"57,000","57,000","69,000","69,000","-167,000",-,-,-,-,"-11,000",-,-,-,"-478,000","-478,000","77,000","-1,331,000","1,408,000",-,-,-,-,-,"-29,000",-,-,-,-,-,-,-,"-511,000","738,000","738,000","-703,000","1,309,000","1,888,000","-579,000","-2,012,000",-,-,"12,000",-,-,-,-,-,"-128,000",-,-,-,"2,929,000","446,000","2,483,000",-,-,-,"-29,000",-,"1,888,000","-579,000",-,"157,000"
85,3/31/2002,"330,000","330,000","240,000","-1,000",-,-,-,-,"64,000","64,000","-6,000","-6,000","128,000",-,-,-,-,"-95,000",-,-,-,"-1,019,000","-1,019,000","10,000","-1,546,000","1,556,000",-,-,-,-,-,"-15,000",-,-,-,-,-,-,-,"-1,014,000","281,000","281,000","1,947,000","719,000","2,055,000","-1,336,000","1,228,000",-,-,"16,000",-,-,-,-,-,"-127,000",-,-,-,"2,483,000","-408,000","2,891,000",-,-,-,"-15,000",-,"2,055,000","-1,336,000",-,"315,000"
86,12/31/2001,"1,061,000","1,061,000","-174,000","-140,000",-,-,"-137,000",-,"93,000","93,000","1,000","1,000","1,098,000",-,-,-,-,"183,000",-,-,-,"1,367,000","1,367,000","-70,000","-922,000","852,000",-,-,-,-,-,"-39,000",-,-,-,-,0,-,-,"1,476,000","-2,340,000","-2,340,000","-1,646,000","-523,000","322,000","-845,000","-1,123,000",-,-,"8,000",-,-,-,-,-,"-125,000",-,0,-,"2,891,000","88,000","2,803,000",-,-,-,"-39,000",-,"322,000","-845,000",-,"1,022,000"
87,9/30/2001,"167,000","167,000","249,000","182,000",-,-,"136,000",-,"93,000","93,000","-157,000","-157,000","-421,000",-,-,-,-,"221,000",-,-,-,"2,644,000","2,644,000","1,317,000","1,228,000","89,000",-,-,-,-,-,"-34,000",-,-,-,-,0,-,-,"1,361,000","-2,789,000","-2,789,000","-2,272,000","354,000","1,484,000","-1,130,000","-2,626,000",-,-,"-42,000",-,-,-,-,-,"-126,000",-,-,-,"2,803,000","22,000","2,781,000",-,-,-,"-34,000",-,"1,484,000","-1,130,000",-,"133,000"
88,6/30/2001,"423,000","423,000","-160,000","-37,000",-,-,"-8,000",-,"247,000","247,000","-26,000","-26,000","589,000",-,-,-,-,"-190,000",-,-,-,"139,000","139,000","255,000","-2,950,000","3,205,000",-,-,-,-,-,"-28,000",-,-,-,-,0,-,-,"-88,000","-265,000","-265,000","69,000","207,000","802,000","-595,000","-138,000",-,-,"6,000",-,-,-,-,-,"-125,000",-,-,-,"2,781,000","297,000","2,484,000",-,-,-,"-28,000",-,"802,000","-595,000",-,"395,000"
89,3/31/2001,"43,000","43,000","217,000","-10,000",-,-,"-26,000",-,"97,000","97,000","43,000","43,000","-172,000",-,-,-,-,"-132,000",-,-,-,"494,000","494,000","562,000","-1,806,000","2,368,000",-,-,-,-,-,"-20,000",-,-,-,-,"-3,000",-,-,"-45,000","-1,242,000","-1,242,000","1,572,000","294,000","1,256,000","-962,000","1,278,000",-,-,"11,000",-,-,-,-,-,"-125,000",-,-,-,"2,484,000","-705,000","3,189,000",-,-,-,"-20,000",-,"1,256,000","-962,000",-,"23,000"
90,12/31/2000,"1,158,000","1,158,000","266,000","-39,000",-,-,"-50,000",-,"95,000","95,000","132,000","132,000","286,000",-,-,-,-,"418,000",-,-,-,"-1,800,000","-1,800,000","131,000","-2,075,000","2,206,000",-,-,-,-,-,"-43,000",-,-,-,-,-,-,-,"-1,513,000","1,140,000","1,140,000","554,000","365,000","1,133,000","-768,000","189,000",-,-,"-134,000",-,-,-,-,-,"-120,000",-,0,-,"3,189,000","498,000","2,691,000",-,-,-,"-43,000",-,"1,133,000","-768,000",-,"1,115,000"
91,9/30/2000,"-162,000","-162,000","121,000","-363,000",-,-,"50,000",-,"96,000","96,000","65,000","65,000","205,000",-,-,-,-,"-286,000",-,-,-,"-806,000","-806,000","3,961,000","-2,805,000","6,766,000",-,-,-,-,-,"-21,000",-,-,-,-,-,-,-,"-5,103,000","481,000","481,000","1,924,000","-298,000","1,364,000","-1,662,000","2,222,000",-,-,"-68,000",-,-,-,-,-,"-119,000",-,-,-,"2,691,000","-487,000","3,178,000",-,-,-,"-21,000",-,"1,364,000","-1,662,000",-,"-183,000"
92,6/30/2000,"555,000","555,000","248,000","-2,000",-,-,"-2,000",-,"95,000","95,000","81,000","81,000","73,000",-,-,-,-,"60,000",-,-,-,"-1,115,000","-1,115,000","616,000","-1,703,000","2,319,000",-,-,-,-,-,"-20,000",-,-,-,-,0,-,-,"-1,711,000","981,000","981,000","-1,816,000","-689,000","1,396,000","-2,085,000","-1,127,000",-,-,"-121,000",-,-,-,-,-,"-122,000",-,-,-,"3,178,000","421,000","2,757,000",-,-,-,"-20,000",-,"1,396,000","-2,085,000",-,"535,000"
93,3/31/2000,"32,000","32,000","367,000","-1,000",-,-,"-1,000",-,"96,000","96,000","57,000","57,000","-352,000",-,-,-,-,"-135,000",-,-,-,"397,000","397,000","-340,000","-676,000","336,000",-,-,-,-,-,"-19,000",-,-,-,-,"-357,000",-,-,"1,113,000","-488,000","-488,000","-3,057,000","-1,077,000","393,000","-1,470,000","-1,980,000",-,-,"-111,000",-,-,-,-,-,"-123,000",-,-,-,"2,757,000","-59,000","2,816,000",-,-,-,"-19,000",-,"393,000","-1,470,000",-,"13,000"
94,12/31/1999,"1,103,000","1,103,000","264,000","-283,000",-,-,"-3,000",-,"98,000","98,000","162,000","162,000","337,000",-,-,-,-,"525,000",-,-,-,"-2,769,000","-2,769,000","4,338,000","-634,000","4,972,000",-,-,-,-,-,"-33,000",-,-,-,-,-,-,-,"-7,074,000","1,464,000","1,464,000","620,000","65,000","73,000","-8,000","555,000",-,-,"-141,000",-,-,-,-,-,"-117,000",-,0,-,"2,816,000","-202,000","3,018,000",-,-,-,"-33,000",-,"73,000","-8,000",-,"1,070,000"
95,9/30/1999,"182,000","182,000","270,000","-163,000",-,-,"-2,000",-,"100,000","100,000","141,000","141,000","-104,000",-,-,-,-,"-62,000",-,-,-,"-1,489,000","-1,489,000","-311,000","-513,000","202,000",-,-,-,-,-,"-11,000",-,-,-,-,-,-,-,"-1,167,000","1,265,000","1,265,000","919,000","889,000","1,391,000","-502,000","30,000",-,-,"3,000",-,-,-,-,-,"-117,000",-,-,-,"3,018,000","-42,000",0,-,-,-,"-11,000",-,"1,391,000","-502,000",-,"171,000"
96,6/30/1999,"354,000","354,000","280,000","-20,000",-,-,"-20,000",-,"99,000","99,000","63,000","63,000","-106,000",-,-,-,-,"38,000",-,-,-,"-788,000","-788,000","134,000","-544,000","678,000",-,-,-,-,-,"-27,000",-,-,-,-,-,-,-,"-895,000","513,000","513,000","-1,051,000","-544,000","420,000","-964,000","-507,000",-,-,"-12,000",-,-,-,-,-,"-117,000",-,-,-,0,"79,000",0,"-79,000",-,-,"-27,000",-,"420,000","-964,000",-,"327,000"
97,3/31/1999,"215,000","215,000","293,000","-4,000",-,-,"-4,000",-,"99,000","99,000","100,000","100,000","31,000",-,-,-,-,"-304,000",-,-,-,"-63,000","-63,000","-483,000","-3,353,000","2,870,000",-,-,-,-,-,"-23,000",-,-,-,-,-,-,-,"443,000","-467,000","-467,000","1,070,000","2,708,000","3,336,000","-628,000","-1,638,000",-,-,"-161,000",-,-,-,-,-,"-116,000",-,-,-,0,"-315,000","3,296,000","-2,981,000",-,-,"-23,000",-,"3,336,000","-628,000",-,"192,000"
98,12/31/1998,"813,000","813,000","260,000","-32,000",-,-,"-5,000",-,"144,000","144,000","84,000","84,000","340,000",-,-,-,-,-,-,-,-,"-1,378,000","-1,378,000","1,213,000","-1,557,000","2,770,000",-,-,-,-,-,"362,000",-,-,-,-,-,-,-,"-2,953,000","1,111,000","1,111,000","1,330,000","1,630,000","1,965,000","-335,000","-300,000",-,-,"-345,000",-,-,-,-,-,"-107,000",-,"247,000",-,0,"546,000",0,"-546,000",-,-,-,-,"1,965,000","-335,000",-,"1,175,000"
99,9/30/1998,"727,000","727,000","252,000","-62,000",-,-,0,-,"62,000","62,000","87,000","87,000","-165,000",-,-,-,-,"553,000",-,-,-,"-2,297,000","-2,297,000","-127,000","-309,000","182,000",-,-,-,-,-,"-461,000",-,-,-,-,-,-,-,"-1,709,000","1,270,000","1,270,000","706,000","1,161,000","1,272,000","-111,000","-455,000",-,-,"-144,000",-,-,-,-,-,"-103,000",-,-,-,0,"-300,000",0,"300,000",-,-,"-461,000",-,"1,272,000","-111,000",-,"266,000"
100,6/30/1998,"-321,000","-321,000","249,000","27,000",-,-,"-2,000",-,"64,000","64,000","94,000","94,000","-35,000",-,-,-,-,"-720,000",-,-,-,"-2,649,000","-2,649,000","723,000","-69,000","792,000",-,-,-,-,-,"-11,000",-,-,-,-,-,-,-,"-3,361,000","2,733,000","2,733,000","1,928,000","1,154,000","1,555,000","-401,000","774,000",-,-,"258,000",-,-,-,-,-,"-103,000",-,-,-,0,"-237,000","3,287,000",-,-,-,"-11,000",-,"1,555,000","-401,000",-,"-332,000"
101,3/31/1998,"584,000","584,000","235,000","-31,000",-,-,"-2,000",-,"58,000","58,000","60,000","60,000","112,000",-,-,-,-,"150,000",-,-,-,"-149,000","-149,000","1,264,000","-47,000","1,311,000",-,-,-,-,-,"-16,000",-,-,-,-,-,-,-,"-1,397,000","-799,000","-799,000","2,556,000","1,591,000","1,693,000","-102,000","965,000",-,-,"19,000",-,-,-,-,-,"-103,000",-,-,-,"3,287,000","-364,000","3,651,000",-,-,-,"-16,000",-,"1,693,000","-102,000",-,"568,000"
102,12/31/1997,"152,000","152,000","248,000","-63,000",-,-,-,-,"62,000","62,000","99,000","99,000","-226,000",-,-,-,-,"32,000",-,-,-,"-1,508,000","-1,508,000","-925,000","-2,858,000","1,933,000",-,-,-,-,-,"13,000",-,-,-,-,0,-,-,"-596,000","2,067,000","2,067,000","110,000","-121,000","210,000","-331,000","231,000",-,-,"-78,000",-,-,-,-,-,"-94,000",-,0,-,"3,651,000","711,000","2,940,000",-,-,-,-,-,"210,000","-331,000",-,"165,000"
103,9/30/1997,"95,000","95,000","236,000","-79,000",-,-,-,-,"60,000","60,000","8,000","8,000","267,000",-,-,-,-,"-397,000",-,-,-,"-1,873,000","-1,873,000","-77,000","-887,000","810,000",-,-,-,-,-,"-80,000",-,-,-,-,-,-,-,"-1,715,000","1,807,000","1,807,000","1,601,000","1,184,000","1,731,000","-547,000","417,000",-,-,"-132,000",-,-,-,-,-,"-91,000",-,-,-,"2,940,000","29,000","2,911,000",-,-,-,"-80,000",-,"1,731,000","-547,000",-,"15,000"
104,6/30/1997,"-309,000","-309,000","223,000",-,-,-,-,-,"60,000","60,000","30,000","30,000","-562,000",-,-,-,-,"-50,000",-,-,-,"-1,567,000","-1,567,000","449,000","-46,000","495,000",-,-,-,-,-,"-29,000",-,-,-,-,-,-,-,"-1,987,000","1,545,000","1,545,000","1,171,000","664,000","1,100,000","-436,000","507,000",-,-,"-72,000",-,-,-,-,-,"-92,000",-,-,-,"2,911,000","-331,000","3,242,000",-,-,-,"-29,000",-,"1,100,000","-436,000",-,"-338,000"
105,3/31/1997,"307,000","307,000","212,000",-,-,-,-,-,"60,000","60,000","2,000","2,000","116,000",-,-,-,-,"-83,000",-,-,-,"-560,000","-560,000","113,000","-989,000","1,102,000",-,-,-,-,-,"-60,000",-,-,-,-,-,-,-,"-613,000","51,000","51,000","1,437,000","561,000","650,000","-89,000","876,000",-,-,"-216,000",-,-,-,-,-,"-92,000",-,-,-,"3,242,000","-202,000","3,444,000",-,-,-,"-60,000",-,"650,000","-89,000",-,"247,000"
106,12/31/1996,"344,000","344,000","151,000",0,-,-,0,-,"60,000","60,000","29,000","29,000","104,000",-,-,-,-,-,-,-,-,"-1,995,000","-1,995,000","-732,000","-1,673,000","941,000",-,-,-,-,-,"-95,000",-,-,-,-,-,-,-,"-1,168,000","1,985,000","1,985,000","990,000","-450,000","500,000","-950,000","1,440,000",-,-,"-213,000",-,-,-,-,-,"-86,000",-,"500,000",-,0,"334,000",0,"-334,000",-,-,"-95,000",-,"500,000","-950,000",-,"249,000"
107,9/30/1996,"220,000","220,000","207,000",0,-,-,0,-,"56,000","56,000","50,000","50,000","-93,000",-,-,-,-,-,-,-,-,"-365,000","-365,000","247,000","-439,000","686,000",-,-,-,-,-,"-95,000",-,-,-,-,-,-,-,"-517,000","194,000","194,000","361,000","486,000","659,000","-173,000","-125,000",-,-,"-184,000",-,-,-,-,-,"-87,000",-,"2,000",-,0,"49,000",0,"-49,000",-,-,"-95,000",-,"659,000","-173,000",-,"125,000"
108,6/30/1996,"192,000","192,000","217,000",0,-,-,"8,000",-,"58,000","58,000","16,000","16,000","-99,000",-,-,-,-,-,-,-,-,"-618,000","-618,000","-244,000","-1,350,000","1,106,000",-,-,-,-,-,"-46,000",-,-,-,-,-,-,-,"-328,000","512,000","512,000","789,000","-16,000","600,000","-616,000","805,000",-,-,"-38,000",-,-,-,-,-,"-92,000",-,-,-,0,"86,000",0,"-86,000",-,-,"-46,000",-,"600,000","-616,000",-,"146,000"
109,3/31/1996,"901,000","901,000","208,000","-9,000",-,-,"-9,000",-,"56,000","56,000","17,000","17,000","629,000",-,-,-,-,-,-,-,-,"88,000","88,000","694,000","-571,000","1,265,000",-,-,-,-,-,"-43,000",-,-,-,-,-,-,-,"-563,000","-1,458,000","-1,458,000","599,000","251,000","334,000","-83,000","348,000",-,-,"-84,000",-,-,-,-,-,"-92,000",-,-,-,0,"-469,000","3,444,000","-2,975,000",-,-,"-43,000",-,"334,000","-83,000",-,"858,000"
110,12/31/1995,"1,174,400","1,174,400","206,700","71,100",-,-,"-1,600",-,"59,000","59,000","111,100","111,100","726,500",-,-,-,-,-,-,-,-,"997,100","997,100","1,385,700","-458,100","1,843,800",-,-,-,-,-,"-57,700",-,-,-,-,-,-,-,"-330,900","-2,071,900","-2,071,900","-1,231,400","-115,100","-47,600","-67,500","-1,116,300",-,-,"-141,100",-,-,-,-,-,"-88,300",-,-,-,0,"99,500",0,"-99,500",-,-,"-57,700",-,"-47,600","-67,500",-,"1,116,700"
111,9/30/1995,"1,085,500","1,085,500","209,600",-200,-,-,-200,-,"46,500","46,500","38,000","38,000","791,600",-,-,-,-,-,-,-,-,"-720,300","-720,300","442,700","-482,100","924,800",-,-,-,-,-,"22,600",-,-,-,-,-,-,-,"-1,185,600","-217,900","-217,900","676,400","89,900","159,100","-69,200","586,500",-,-,"-40,600",-,-,-,-,-,"-85,900",-,-,-,0,"147,400",0,"-147,400",-,-,-,-,"159,100","-69,200",-,"1,108,100"
112,6/30/1995,"-465,200","-465,200","199,000","-2,600",-,-,"-2,500",-,"67,400","67,400","28,400","28,400","-757,400",-,-,-,-,-,-,-,-,"660,500","660,500","591,400","-626,900","1,218,300",-,-,-,-,-,"-87,700",-,-,-,-,-,-,-,"156,800","-301,600","-301,600","254,200","301,000","382,900","-81,900","-46,800",-,-,"-327,000",-,-,-,-,-,"-89,000",-,400,-,0,"-106,300",0,"106,300",-,-,"-87,700",-,"382,900","-81,900",-,"-552,900"
113,3/31/1995,"622,700","622,700","173,900","-16,100",-,-,"44,900",-,"49,900","49,900","-8,800","-8,800","423,800",-,-,-,-,-,-,-,-,"787,200","787,200","1,252,800","-542,900","1,795,700",-,-,-,-,-,"-56,000",-,-,-,-,-,-,-,"-409,600","-1,618,000","-1,618,000","122,200","84,800","151,700","-66,900","37,400",-,-,"-178,600",-,-,-,-,-,"-91,500",-,300,-,0,"-208,100","3,511,400","-3,303,300",-,-,"-56,000",-,"151,700","-66,900",-,"566,700"
114,12/31/1994,"-256,600","-256,600","193,800","21,700",-,-,"23,700",-,"62,000","62,000","85,600","85,600","-619,700",-,-,-,-,-,-,-,-,"-824,700","-824,700","4,454,200","2,925,400","1,528,800",-,-,-,-,-,"-70,200",-,-,-,-,-,-,-,"-5,208,700","1,586,000","1,586,000","1,455,700","1,387,100","1,414,200","-27,100","68,600",-,-,"-149,200",-,-,-,-,-,"-112,900",-,-200,-,0,"504,600",0,"-504,600",-,-,"-70,200",-,"1,414,200","-27,100",-,"-326,800"
115,9/30/1994,"435,200","435,200","229,300","-2,000",-,-,"-2,000",-,"96,400","96,400","46,600","46,600","64,900",-,-,-,-,-,-,-,-,"-1,104,600","-1,104,600","-3,889,000","-4,545,300","656,300",-,-,-,-,-,"-59,100",-,-,-,-,-,-,-,"2,843,500","543,100","543,100","903,700","53,000","66,000","-13,000","850,700",-,-,"-35,900",-,-,-,-,-,"-50,200",-,100,-,0,"-126,200",0,"126,200",-,-,"-59,100",-,"66,000","-13,000",-,"376,100"
116,6/30/1994,"916,000","916,000","221,800",-600,-,-,-600,-,"6,500","6,500","24,700","24,700","663,600",-,-,-,-,-,-,-,-,"-1,937,300","-1,937,300","-60,900","-1,086,800","1,025,900",-,-,-,-,-,"-53,500",-,-,-,-,-,-,-,"-1,822,900","1,323,500","1,323,500","982,100","380,700","423,000","-42,300","601,400",-,-,"-17,900",-,-,-,-,-,"-82,400",-,200,-,0,"302,200",0,"-302,200",-,-,"-53,500",-,"423,000","-42,300",-,"862,500"
117,3/31/1994,"622,100","622,100","208,600","-6,400",-,-,"-6,400",-,"52,800","52,800","13,400","13,400","353,700",-,-,-,-,-,-,-,-,"-1,819,000","-1,819,000","-759,100","-2,865,400","2,106,300",-,-,-,-,-,"-21,700",-,-,-,-,-,-,-,"-1,038,200","1,250,200","1,250,200","1,316,500","-21,000","50,900","-71,900","1,337,500",-,-,"6,000",-,-,-,-,-,"-113,300",-,600,-,0,"53,300","2,777,400","-2,830,700",-,-,"-21,700",-,"50,900","-71,900",-,"600,400"
118,12/31/1993,"113,900","113,900","57,100",300,-,-,300,-,"22,300","22,300","28,500","28,500","15,400",-,-,-,-,"-9,700",-,-,-,"-919,500","-919,500","-1,181,900","-1,230,800","48,900",-,-,-,-,-,"-15,800",-,-,-,-,-,-,-,"278,200","1,201,600","1,201,600","-887,800","-125,400",0,"-125,400","-762,400",-,-,"4,900",-,-,0,-,-,"-32,800",-,"1,600",0,0,"396,000",0,"-396,000",-,-,"-15,800",-,0,"-125,400",-,"98,100"
119,9/30/1993,"89,100","89,100","98,200","-54,500",-,-,"-25,100",-,"46,100","46,100","3,400","3,400","-36,700",-,-,-,-,"32,600",-,-,-,"284,100","284,100","13,100","-1,246,700","1,259,800",-,-,-,-,-,"-16,400",-,-,-,-,-,-,-,"287,400","-389,800","-389,800","21,800",900,"1,100",-200,"20,900",-,-,"2,100",-,-,0,-,-,"-32,800",-,"1,100",-200,0,"-16,800",0,"16,800",-,-,"-16,400",-,"1,100",-200,-,"72,700"
120,6/30/1993,"-70,100","-70,100","96,900",-100,-,-,-100,-,"24,700","24,700","9,800","9,800","-184,700",-,-,-,-,"-16,700",-,-,-,"41,000","41,000","-123,700","-487,000","363,300",-,-,-,-,-,"96,600",-,-,-,-,-,-,-,"68,100","-60,000","-60,000","602,100","95,000","199,100","-104,100","507,100",-,-,"3,000",-,-,0,-,-,"-32,800",-,900,-,0,"-89,000",0,"89,000",-,-,-,-,"199,100","-104,100",-,"26,500"
121,3/31/1993,"349,600","349,600","95,000","-1,200",-,-,"-1,200",-,"22,300","22,300","15,100","15,100","220,900",-,-,-,-,"-2,500",-,-,-,"-384,300","-384,300","356,300","-245,800","602,100",-,-,-,-,-,"-142,800",-,-,-,-,-,-,-,"-597,800","-224,900","-224,900","763,600","110,200","110,300",-100,"653,400",-,-,"2,000",-,-,"-61,800",-,-,"-34,200",-,"19,800",-,0,"-259,600","1,345,100","-1,085,500",-,-,"-142,800",-,"110,300",-100,-,"206,800"
122,12/31/1992,"-203,400","-203,400","86,500",-200,-,-,-200,-,"31,800","31,800","58,500","58,500","-346,900",-,-,-,-,"-33,100",-,-,-,"-682,700","-682,700","-85,100","-718,700","633,600",-,-,-,-,-,"-61,100",-,-,-,-,-,-,-,"-536,500","798,600","798,600","-511,600","195,100","196,200","-1,100","-706,700",-,-,"9,600",-,-,-,-,-,"-30,100",-,-100,-,0,"-87,400",0,"87,400",-,-,"-61,100",-,"196,200","-1,100",-,"-264,500"
123,9/30/1992,"246,600","246,600","82,800","-1,000",-,-,-900,-,"24,300","24,300","14,700","14,700","120,500",-,-,-,-,"5,300",-,-,-,"-620,800","-620,800","-1,248,300","-1,252,100","3,800",-,-,-,-,-,"-30,600",-,-,-,-,-,-,-,"658,100","439,700","439,700","974,000","-36,300","-36,200",-100,"1,010,300",-,-,"3,200",-,-,-,-,-,"-30,000",-,"33,800",-,0,"65,400",0,"-65,400",-,-,"-30,600",-,"-36,200",-100,-,"216,000"
124,6/30/1992,"268,200","268,200","87,700","-20,500",-,-,-500,-,"19,600","19,600","4,900","4,900","186,600",-,-,-,-,"-10,100",-,-,-,"341,600","341,600","810,700","-584,900","1,395,600",-,-,-,-,-,"-57,800",-,-,-,-,-,-,-,"-411,300","-589,100","-589,100","437,800","224,700",-,"-11,500","213,100",-,-,"2,800",-,-,-,-,-,"-29,800",-,"-630,800",200,0,"20,900",0,"-20,900",-,-,"-57,800",-,-,"-11,500",-,"210,400"
