,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Funds Sold,Customer Acceptances,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Derivative Assets,Net Loan,Gross Loan,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Prepaid Assets,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Depositsby Bank,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Payables And Accrued Expenses,Payables,Total Tax Payable,Income Tax Payable,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Current Notes Payable,Other Current Borrowings,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Provisions,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
0,3/31/2023,"91,127,000","10,734,000","10,734,000","1,563,000",-,"9,171,000",-,-,-,-,"18,649,000",-,-,-,"18,649,000",-,"53,519,000","54,160,000","31,630,000","2,316,000","18,981,000","1,233,000","641,000",-,"7,826,000",-,-,"7,826,000",-,"399,000",-,-,-,-,-,-,-,-,-,"85,133,000","64,706,000","31,533,000",-,"31,533,000","33,173,000",-,"2,327,000",-,-,-,"2,327,000","11,016,000","11,016,000",-,"11,016,000",-,"7,084,000","7,084,000",-,-,-,"5,994,000","5,994,000","1,535,000","394,000","1,141,000","11,476,000","2,209,000","6,055,000","-3,171,000",-,"13,078,000","394,000","5,600,000","5,994,000","23,700,000","5,600,000","18,100,000","7,366,000","132,000","132,000",-,-
1,12/31/2022,"85,406,000","6,282,000","6,282,000","1,758,000",-,"4,524,000",-,-,-,-,"19,169,000",-,"17,919,000",-,"19,169,000",-,"52,032,000","52,642,000","30,909,000","2,311,000","18,225,000","1,197,000","610,000",-,"7,523,000",-,-,"7,523,000",-,"400,000","1,336,000","81,000","737,000","518,000","-936,000","635,000","635,000",-,-,"80,225,000","71,397,000","31,452,000",-,"31,452,000","39,945,000",-,"2,593,000",-,-,-,"2,593,000","3,211,000","3,211,000","841,000","3,211,000",-,"3,024,000","3,024,000",-,-,-,"5,181,000","5,181,000","1,535,000","394,000","1,141,000","11,258,000","2,220,000","6,090,000","-3,742,000",-,"8,205,000","394,000","4,787,000","5,181,000","11,022,000","4,787,000","6,235,000",-,"228,165","130,967",-,"97,198"
2,9/30/2022,"84,143,000","5,970,000","5,970,000","1,735,000",-,"4,235,000",-,-,-,-,"19,611,000",-,"18,360,000",-,"19,611,000",-,"50,423,000","50,999,000","30,713,000","2,262,000","16,808,000","1,216,000","576,000",-,"7,727,000",-,-,"7,727,000",-,"412,000",-,-,-,-,-,-,-,-,-,"79,074,000","73,016,000","30,720,000",-,"30,720,000","42,296,000",-,"2,534,000",-,-,-,"2,534,000","508,000","508,000","840,000","508,000",-,"3,016,000","3,016,000",-,-,-,"5,069,000","5,069,000","1,535,000","394,000","1,141,000","11,005,000","2,209,000","6,093,000","-3,587,000",-,"8,085,000","394,000","4,675,000","5,069,000","8,199,000","4,675,000","3,524,000",-,"228,165","130,921",-,"97,244"
3,6/30/2022,"86,889,000","7,533,000","7,533,000","1,631,000",-,"5,902,000",-,-,-,-,"20,989,000",-,-,-,"20,989,000",-,"50,238,000","50,801,000","31,259,000","2,178,000","16,073,000","1,291,000","563,000",-,"7,707,000",-,-,"7,707,000",-,"422,000",-,-,-,-,-,-,-,-,"2,800,000","80,454,000","75,765,000","33,457,000",-,"33,457,000","42,308,000",-,"2,059,000",-,-,-,"2,059,000","847,000","847,000","847,000",-,-,"2,630,000","2,630,000",-,-,-,"6,435,000","6,435,000","1,535,000","394,000","1,141,000","10,752,000","2,204,000","6,102,000","-1,954,000",-,"9,065,000","394,000","6,041,000","6,435,000","8,671,000","6,041,000","2,630,000",-,"228,165","130,777",-,"97,388"
4,3/31/2022,"89,165,000","13,550,000","13,550,000","1,466,000",-,"12,084,000",-,-,-,-,"18,991,000",-,-,-,"18,991,000","1,500,000","48,365,000","48,919,000","29,562,000","2,047,000","16,062,000","1,248,000","554,000",-,"7,815,000","120,000",-,"7,815,000",-,"444,000",-,-,-,-,-,"646,000","635,000","11,000",-,"82,129,000","77,608,000","34,931,000",-,"34,931,000","42,677,000",-,"1,839,000","6,000","6,000","6,000","1,839,000","857,000","857,000","857,000",-,"440,000","2,682,000","2,682,000",-,"45,000",-,"7,036,000","7,036,000","1,535,000","394,000","1,141,000","10,585,000","2,194,000","6,105,000","-1,173,000",-,"9,718,000","394,000","6,642,000","7,036,000","9,324,000","6,642,000","2,682,000",-,"228,165","130,729",-,"97,435"
5,12/31/2021,"94,616,000","22,679,000","22,679,000","1,236,000",-,"21,443,000",-,-,-,-,"17,183,000",-,-,-,"17,183,000",-,"48,057,000","48,645,000","29,366,000","2,097,000","15,974,000","1,208,000","588,000",-,"6,243,000",-,-,"6,243,000",-,"454,000","1,453,000","85,000","852,000","516,000","-999,000","635,000","635,000",-,-,"86,719,000","82,339,000","36,539,000",-,"36,539,000","45,800,000",-,"1,584,000",-,-,-,"1,584,000","877,000","877,000","877,000",-,-,"2,796,000","2,796,000",-,"30,000",-,"7,897,000","7,897,000","1,535,000","394,000","1,141,000","10,494,000","2,175,000","6,095,000","-212,000",-,"10,693,000","394,000","7,503,000","7,897,000","10,299,000","7,503,000","2,796,000",-,"228,165","130,688",-,"97,477"
6,9/30/2021,"94,529,000","23,589,000","23,589,000","1,050,000",-,"22,539,000",-,-,-,-,"17,033,000",-,-,-,"17,033,000",-,"47,017,000","47,626,000","29,486,000","2,102,000","16,038,000","48,195,000","609,000",-,"6,443,000","118,000",-,"6,443,000",-,"447,000",-,-,-,-,-,"647,000","635,000","12,000",-,"86,726,000","82,284,000","38,191,000",-,"38,191,000","44,093,000",-,"1,605,000",-,-,-,"1,605,000",0,0,"887,000",0,-,"2,837,000","2,837,000",-,-,-,"7,803,000","7,803,000","1,535,000","394,000","1,141,000","10,366,000","2,170,000","6,061,000","-207,000",-,"10,640,000","394,000","7,409,000","7,803,000","10,246,000","7,409,000","2,837,000",-,"228,165","131,006",-,"97,158"
7,6/30/2021,"88,355,000","16,501,000","16,501,000","1,008,000",-,"15,493,000",-,-,-,-,"16,020,000",-,-,-,"16,020,000",-,"48,987,000","49,639,000","31,243,000","2,083,000","16,313,000","50,228,000","652,000",-,"6,393,000",-,-,"6,393,000",-,"454,000",-,-,-,-,-,"649,000","635,000","14,000",-,"80,424,000","76,066,000","35,552,000",-,"35,552,000","40,514,000",-,"1,504,000",-,-,-,"1,504,000",0,0,"892,000",0,-,"2,854,000","2,854,000",-,-,-,"7,931,000","7,931,000","1,535,000","394,000","1,141,000","10,202,000","2,163,000","5,849,000","-120,000",-,"10,785,000","394,000","7,537,000","7,931,000","10,391,000","7,537,000","2,854,000",-,"228,165","133,917",-,"94,247"
8,3/31/2021,"86,291,000","14,871,000","14,871,000","1,064,000",-,"13,807,000",-,-,-,-,"15,771,000",-,-,-,"15,771,000",-,"49,228,000","50,005,000","30,886,000","2,093,000","16,036,000","990,000","777,000",-,"5,965,000",-,-,"5,965,000",-,"456,000",-,-,-,-,-,"649,000","635,000","14,000",-,"78,139,000","73,807,000","34,985,000",-,"34,985,000","38,822,000",-,"1,480,000",-,-,-,"1,480,000",0,0,"898,000",0,-,"2,852,000","2,852,000",-,-,-,"8,152,000","8,152,000","1,535,000","394,000","1,141,000","9,975,000","2,183,000","5,436,000","-105,000",-,"11,004,000","394,000","7,758,000","8,152,000","10,610,000","7,758,000","2,852,000",-,"228,165","139,585",-,"88,580"
9,12/31/2020,"88,129,000","15,767,000","15,767,000","1,031,000",-,"14,736,000",-,-,-,-,"15,200,000",-,-,-,"15,200,000",-,"50,749,000","51,697,000","33,679,000","2,194,000","15,824,000","52,291,000","948,000",-,"5,954,000",-,-,"5,954,000",-,"459,000","1,418,000","86,000","847,000","485,000","-959,000","636,000","635,000","1,000",-,"80,079,000","72,869,000","33,449,000",-,"33,449,000","39,420,000",-,"1,482,000",-,-,-,"1,482,000",0,0,"905,000",0,-,"5,728,000","5,728,000","2,800,000",-,-,"8,050,000","8,050,000","1,535,000","394,000","1,141,000","9,623,000","2,185,000","5,461,000","168,000",-,"13,778,000","394,000","7,656,000","8,050,000","13,384,000","7,656,000","5,728,000",-,"228,165","139,167",-,"88,997"
10,9/30/2020,"83,631,000","11,141,000","11,141,000","988,000",-,"10,153,000",-,-,-,-,"15,250,000",-,-,-,"15,250,000",-,"50,790,000","51,768,000","33,527,000","2,166,000","16,075,000","52,369,000","978,000",-,"5,994,000",-,-,"5,994,000",-,"456,000",-,-,-,-,-,"637,000","635,000","2,000",-,"75,757,000","68,459,000","31,926,000",-,"31,926,000","36,533,000",-,"1,534,000",-,-,-,"1,534,000","10,000","10,000","911,000","10,000",-,"5,754,000","5,754,000","2,800,000",-,-,"7,874,000","7,874,000","1,535,000","394,000","1,141,000","9,511,000","2,179,000","5,467,000","116,000",-,"13,628,000","394,000","7,480,000","7,874,000","13,244,000","7,480,000","5,764,000",-,"228,165","139,069",-,"89,095"
11,6/30/2020,"84,397,000","13,311,000","13,311,000","1,048,000",-,"12,263,000",-,-,-,-,"12,912,000",-,-,-,"12,912,000",-,"51,850,000","52,857,000","34,930,000","2,164,000","15,763,000","53,446,000","1,007,000",-,"5,874,000",-,-,"5,874,000",-,"450,000",-,-,-,-,-,"638,000","635,000","3,000",-,"76,595,000","67,720,000","32,138,000",-,"32,138,000","35,582,000",-,"1,602,000",-,-,-,"1,602,000","752,000","752,000","917,000","752,000",-,"6,521,000","6,521,000","3,550,000",-,-,"7,802,000","7,802,000","1,536,000","395,000","1,141,000","9,404,000","2,173,000","5,469,000","158,000",-,"14,323,000","395,000","7,407,000","7,802,000","14,680,000","7,407,000","7,273,000",-,"228,165","139,040",-,"89,125"
12,3/31/2020,"76,337,000","4,855,000","4,855,000","848,000",-,"4,007,000",-,-,-,-,"13,179,000",-,-,-,"13,179,000",-,"51,958,000","52,874,000","35,284,000","2,315,000","15,275,000","53,458,000","916,000",-,"5,891,000",-,-,"5,891,000",-,"454,000",-,-,-,-,-,"638,000","635,000","3,000",-,"68,935,000","57,366,000","29,720,000",-,"29,720,000","27,646,000",-,"1,872,000",-,-,-,"1,872,000","2,263,000","2,263,000","917,000","2,263,000",-,"7,434,000","7,434,000","3,800,000",-,-,"7,402,000","7,402,000","1,141,000",-,"1,141,000","9,389,000","2,168,000","5,470,000","174,000",-,"14,836,000",-,"7,402,000","7,402,000","17,099,000","7,402,000","9,697,000","4,842,000","228,165","139,037",-,"89,127"
13,12/31/2019,"73,402,000","5,818,000","5,818,000","973,000",-,"4,845,000",-,-,-,-,"12,553,000",-,-,-,"12,553,000",-,"49,144,000","49,781,000","32,482,000","2,440,000","14,859,000","50,369,000","637,000",-,"5,430,000",-,-,"5,430,000",-,"457,000","1,417,000","86,000","818,000","513,000","-960,000","637,000","635,000","2,000",-,"66,075,000","57,295,000","29,913,000",-,"29,913,000","27,382,000",-,"1,440,000",-,-,-,"1,440,000","71,000","71,000","884,000","71,000",-,"7,269,000","7,269,000","3,800,000",-,-,"7,327,000","7,327,000","1,141,000",-,"1,141,000","9,538,000","2,174,000","5,291,000","-235,000",-,"14,596,000",-,"7,327,000","7,327,000","14,667,000","7,327,000","7,340,000","1,522,000","228,169","142,100",-,"86,069"
14,9/30/2019,"72,848,000","4,117,000","4,117,000","1,229,000",-,"2,888,000",-,-,-,-,"12,575,000",-,-,-,"12,575,000",-,"50,261,000","50,913,000","33,945,000","2,451,000","14,517,000","51,491,000","652,000",-,"5,428,000",-,-,"5,428,000",-,"467,000",-,-,-,-,-,"639,000","635,000","4,000",-,"65,648,000","56,809,000","29,675,000",-,"29,675,000","27,134,000",-,"1,477,000",-,-,-,"1,477,000","51,000","51,000","892,000","51,000",-,"7,311,000","7,311,000","3,800,000",-,-,"7,200,000","7,200,000","1,141,000",-,"1,141,000","9,369,000","2,172,000","5,146,000","-336,000",-,"14,511,000",-,"7,200,000","7,200,000","14,562,000","7,200,000","7,362,000","3,245,000","228,165","144,136",-,"84,028"
15,6/30/2019,"72,537,000","3,581,000","3,581,000","1,029,000",-,"2,552,000",-,-,-,-,"12,478,000",-,-,-,"12,478,000",-,"50,569,000","51,226,000","34,350,000","2,443,000","14,433,000","51,801,000","657,000",-,"5,439,000",-,-,"5,439,000",-,"470,000",-,-,-,-,-,"639,000","635,000","4,000",-,"65,214,000","55,537,000","28,536,000",-,"28,536,000","27,001,000",-,"1,386,000",-,-,-,"1,386,000","1,733,000","1,733,000","887,000","1,733,000",-,"6,558,000","6,558,000","3,800,000",-,-,"7,323,000","7,323,000","1,141,000",-,"1,141,000","9,176,000","2,168,000","4,780,000","-382,000",-,"13,881,000",-,"7,323,000","7,323,000","15,614,000","7,323,000","8,291,000","4,710,000","228,165","149,797",-,"78,368"
16,3/31/2019,"70,690,000","3,481,000","3,481,000","1,063,000",-,"2,418,000",-,-,-,-,"12,348,000",-,-,-,"12,348,000",-,"49,120,000","49,767,000","33,047,000","2,491,000","14,229,000","50,302,000","647,000",-,"5,267,000",-,-,"5,267,000",-,"474,000",-,-,-,-,-,"640,000","635,000","5,000",-,"63,281,000","54,091,000","27,849,000",-,"27,849,000","26,242,000",-,"1,407,000",-,-,-,"1,407,000","935,000","935,000","869,000","935,000",-,"6,848,000","6,848,000","3,800,000",-,-,"7,409,000","7,409,000","1,141,000",-,"1,141,000","8,979,000","2,159,000","4,357,000","-513,000",-,"14,257,000",-,"7,409,000","7,409,000","15,192,000","7,409,000","7,783,000","4,302,000","228,165","155,418",-,"72,747"
17,12/31/2018,"70,818,000","4,561,000","4,561,000","1,390,000",-,"3,171,000",-,-,-,-,"12,179,000",-,-,0,"12,179,000",-,"49,492,000","50,163,000","31,976,000","2,514,000","14,153,000","50,163,000","671,000",-,"4,111,000",-,-,"4,111,000",-,"475,000","1,419,000","85,000","842,000","492,000","-944,000","639,000","635,000","4,000",-,"63,311,000","55,561,000","26,871,000",-,"26,871,000","28,690,000",-,"1,243,000",-,-,-,"1,243,000","44,000","44,000","861,000","44,000",-,"6,463,000","6,463,000","3,800,000",-,-,"7,507,000","7,507,000","1,141,000",-,"1,141,000","8,781,000","2,148,000","3,954,000","-609,000",-,"13,970,000",-,"7,507,000","7,507,000","14,014,000","7,507,000","6,507,000","1,946,000","228,165","160,084",-,"68,081"
18,9/30/2018,"71,448,000","5,839,000","5,839,000","945,000",-,"4,894,000",-,-,-,-,"11,998,000",-,-,0,"11,998,000",-,"47,875,000","48,539,000","30,889,000","2,436,000","14,124,000","1,090,000","664,000",-,"5,264,000",-,-,"5,264,000",-,"472,000",-,-,-,-,-,-,-,-,-,"63,662,000","56,006,000","26,705,000",-,"26,705,000","29,301,000",-,"1,154,000",-,-,-,"1,154,000","84,000","84,000","842,000","84,000",-,"6,418,000","6,418,000","3,800,000",-,-,"7,786,000","7,786,000","1,141,000",-,"1,141,000","8,587,000","2,144,000","3,475,000","-611,000",-,"14,204,000",-,"7,786,000","7,786,000","14,288,000","7,786,000","6,502,000","663,000","228,165","165,941",-,"62,224"
19,6/30/2018,"71,987,000","5,660,000","5,660,000","1,424,000",-,"4,236,000",-,-,-,-,"12,049,000",-,-,0,"12,049,000",-,"48,657,000","49,334,000","31,530,000","745,000","16,066,000","993,000","677,000",-,"5,154,000",-,-,"5,154,000",-,"467,000",-,-,-,-,-,-,-,-,-,"63,908,000","57,210,000","26,894,000",-,"26,894,000","30,316,000",-,"1,057,000",-,-,-,"1,057,000","58,000","58,000",-,"58,000",-,"5,583,000","5,583,000","3,800,000",-,-,"8,079,000","8,079,000","1,141,000",-,"1,141,000","8,374,000","2,144,000","2,991,000","-589,000",-,"13,662,000",-,"8,079,000","8,079,000","13,720,000","8,079,000","5,641,000",-,"228,165","170,910",-,"57,255"
20,3/31/2018,"72,335,000","6,836,000","6,836,000","1,173,000",-,"5,663,000",-,-,-,-,"12,104,000",-,-,0,"12,104,000",-,"48,078,000","48,776,000","30,909,000","751,000","16,152,000","964,000","698,000",-,"4,849,000",-,-,"4,849,000",-,"468,000",-,-,-,-,-,-,-,-,-,"64,335,000","57,635,000","26,674,000",-,"26,674,000","30,961,000",-,"1,058,000",-,-,-,"1,058,000","48,000","48,000","346,000","48,000",-,"5,594,000","5,594,000","3,800,000",-,-,"8,000,000","8,000,000","1,141,000",-,"1,141,000","8,110,000","2,134,000","2,832,000","-553,000",-,"13,594,000",-,"8,000,000","8,000,000","13,642,000","8,000,000","5,642,000",-,"228,165","172,474",-,"55,690"
21,12/31/2017,"71,567,000","5,845,000","5,845,000","1,438,000",-,"4,407,000",-,-,-,-,"12,300,000",-,-,"1,266,000","11,034,000",-,"47,993,000","48,705,000","31,060,000","738,000","15,924,000","983,000","712,000",-,"4,963,000",-,-,"4,963,000",-,"466,000","1,382,000","85,000","813,000","484,000","-916,000","641,000","635,000","6,000",-,"63,604,000","57,903,000","25,832,000",-,"25,832,000","32,071,000",-,"1,069,000",-,-,-,"1,069,000","10,000","10,000","347,000","10,000",-,"4,622,000","4,622,000","2,800,000",-,-,"7,963,000","7,963,000","1,141,000",-,"1,141,000","7,800,000","2,122,000","2,736,000","-364,000",-,"12,585,000",-,"7,963,000","7,963,000","12,595,000","7,963,000","4,632,000",-,"228,165","172,858",-,"55,306"
22,9/30/2017,"72,017,000","6,204,000","6,204,000","1,351,000",-,"4,853,000",-,-,-,-,"12,434,000",-,-,"1,344,000","11,090,000",-,"48,022,000","48,734,000","31,062,000","721,000","15,792,000","1,159,000","712,000",-,"4,247,000",-,-,"4,247,000",-,"467,000",-,-,-,-,-,"643,000","635,000","8,000",-,"63,983,000","57,819,000","25,428,000",-,"25,428,000","32,391,000",-,"1,018,000",-,-,-,"1,018,000","509,000","509,000",-,"509,000",-,"4,637,000","4,637,000","2,800,000",-,-,"8,034,000","8,034,000","1,141,000",-,"1,141,000","7,746,000","2,112,000","2,606,000","-359,000",-,"12,671,000",-,"8,034,000","7,391,000","13,180,000","7,391,000","5,146,000",-,"228,165","174,330",-,"53,835"
23,6/30/2017,"71,447,000","5,631,000","5,631,000","1,372,000",-,"4,259,000",-,-,-,-,"12,464,000",-,-,"1,430,000","11,034,000",-,"48,231,000","48,936,000","31,449,000","739,000","15,603,000","1,145,000","705,000",-,"3,993,000",-,-,"3,993,000",-,"484,000",-,-,-,-,-,"644,000","635,000","9,000",-,"63,462,000","56,781,000","25,571,000",-,"25,571,000","31,210,000",-,"997,000",-,-,-,"997,000","541,000","541,000",-,"541,000",-,"5,143,000","5,143,000","2,800,000",-,-,"7,985,000","7,985,000","1,141,000",-,"1,141,000","7,580,000","2,110,000","2,485,000","-361,000",-,"13,128,000",-,"7,985,000","7,341,000","13,669,000","7,341,000","5,684,000","53,000","228,165","175,913",-,"52,252"
24,3/31/2017,"72,976,000","8,319,000","8,319,000","1,176,000",-,"7,143,000",-,-,-,-,"12,430,000",-,-,"1,508,000","10,922,000",-,"47,045,000","47,753,000","30,215,000","747,000","15,685,000","1,106,000","708,000",-,"4,694,000",-,-,"4,694,000",-,"488,000",-,-,-,-,-,-,-,-,-,"65,046,000","58,863,000","26,971,000",-,"26,971,000","31,892,000",-,"989,000",-,-,-,"989,000","41,000","41,000",-,"41,000",-,"5,153,000","5,153,000","2,800,000",-,-,"7,930,000","7,930,000","1,141,000",-,"1,141,000","7,431,000","2,106,000","2,369,000","-379,000",-,"13,083,000",-,"7,930,000","7,930,000","13,124,000","7,930,000","5,194,000",-,"228,165","177,432",-,"50,733"
25,12/31/2016,"72,978,000","7,218,000","7,218,000","1,249,000",-,"5,969,000",-,-,-,-,"12,461,000",-,-,"1,582,000","10,879,000",-,"47,786,000","48,516,000","30,994,000","722,000","15,542,000","1,258,000","730,000",-,"5,012,000",-,-,"5,012,000",-,"501,000","1,416,000","86,000","831,000","499,000","-915,000","643,000","635,000","8,000",-,"65,182,000","58,985,000","27,445,000",-,"27,445,000","31,540,000",-,"1,012,000",-,-,-,"1,012,000","25,000","25,000",-,"25,000",-,"5,160,000","5,160,000","2,800,000",-,-,"7,796,000","7,796,000","1,141,000",-,"1,141,000","7,331,000","2,135,000","2,428,000","-383,000",-,"12,956,000",-,"7,796,000","7,796,000","12,981,000","7,796,000","5,185,000",-,"228,165","175,314",-,"52,851"
26,9/30/2016,"74,124,000","8,040,000","8,040,000","1,292,000",-,"6,748,000",-,-,-,-,"12,576,000",-,-,"1,695,000","10,881,000",-,"47,899,000","48,626,000","31,152,000","749,000","15,422,000","1,303,000","727,000",-,"5,081,000",-,-,"5,081,000",-,"528,000",-,-,-,-,-,-,-,-,-,"66,397,000","59,261,000","27,485,000",-,"27,485,000","31,776,000",-,"1,234,000",-,-,-,"1,234,000","12,000","12,000",-,"12,000",-,"5,890,000","5,890,000","2,800,000",-,-,"7,727,000","7,727,000","1,141,000",-,"1,141,000","7,262,000","2,174,000","2,558,000","-292,000",-,"13,617,000",-,"7,727,000","7,727,000","13,629,000","7,727,000","5,902,000",-,"228,165","172,068",-,"56,096"
27,6/30/2016,"71,280,000","4,110,000","4,110,000","1,172,000",-,"2,938,000",-,-,-,-,"12,619,000",-,-,"1,807,000","10,812,000",-,"48,967,000","49,696,000","32,360,000","745,000","15,226,000","1,365,000","729,000",-,"5,040,000",-,-,"5,040,000",-,"544,000",-,-,-,-,-,-,-,-,-,"63,586,000","56,374,000","27,815,000",-,"27,815,000","28,559,000",-,"1,279,000",-,-,-,"1,279,000","12,000","12,000","355,000","12,000",-,"5,921,000","5,921,000","2,800,000",-,-,"7,694,000","7,694,000","1,141,000",-,"1,141,000","7,157,000","2,165,000","2,474,000","-295,000",-,"13,615,000",-,"7,694,000","7,694,000","13,627,000","7,694,000","5,933,000","1,823,000","228,165","173,917",-,"54,247"
28,3/31/2016,"69,007,000","3,002,000","3,002,000","977,000",-,"2,025,000",-,-,-,-,"12,608,000",-,-,"1,907,000","10,701,000",-,"47,922,000","48,646,000","31,562,000","745,000","14,884,000","1,455,000","724,000",-,"4,934,000",-,-,"4,934,000",-,"541,000",-,-,-,-,-,-,-,-,-,"61,363,000","56,351,000","28,326,000",-,"28,326,000","28,025,000",-,"1,389,000",-,-,-,"1,389,000","514,000","514,000",-,"514,000",-,"3,109,000","3,109,000",-,-,-,"7,644,000","7,644,000","1,141,000",-,"1,141,000","7,097,000","2,158,000","2,424,000","-328,000",-,"10,753,000",-,"7,644,000","7,644,000","11,267,000","7,644,000","3,623,000","621,000","228,165","175,078",-,"53,087"
29,12/31/2015,"71,877,000","6,147,000","6,147,000","1,157,000",-,"4,990,000",-,-,-,-,"12,613,000",-,-,"1,981,000","10,632,000",-,"47,726,000","48,360,000","31,659,000","765,000","14,568,000","1,368,000","634,000",-,"4,841,000",-,-,"4,841,000",-,"550,000","1,439,000","87,000","862,000","490,000","-889,000",-,-,-,-,"64,317,000","59,853,000","29,014,000",-,"29,014,000","30,839,000",-,"1,383,000",-,-,-,"1,383,000","23,000","23,000","349,000","23,000",-,"3,058,000","3,058,000",-,-,-,"7,560,000","7,560,000","1,141,000",-,"1,141,000","7,084,000","2,173,000","2,409,000","-429,000",-,"10,618,000",-,"7,560,000","7,560,000","10,641,000","7,560,000","3,081,000",-,"175,700","175,700",-,-
30,9/30/2015,"71,012,000","7,200,000","7,200,000","1,101,000",-,"6,099,000",-,-,-,-,"10,719,000",-,-,"1,863,000","8,856,000",-,"47,569,000","48,191,000","31,777,000","777,000","14,255,000","1,382,000","622,000",-,"4,983,000",-,-,"4,983,000",-,"541,000",-,-,-,-,-,-,-,-,-,"63,390,000","58,768,000","30,071,000",-,"30,071,000","28,697,000",-,"1,413,000",-,-,-,"1,413,000","109,000","109,000","354,000","109,000",-,"3,100,000","3,100,000",-,-,-,"7,622,000","7,622,000","1,141,000",-,"1,141,000","7,007,000","2,165,000","2,346,000","-345,000",-,"10,722,000",-,"7,622,000","7,622,000","10,831,000","7,622,000","3,209,000",-,"228,165","177,154",-,"51,010"
31,6/30/2015,"69,945,000","5,965,000","5,965,000","1,148,000",-,"4,817,000",-,-,-,-,"10,338,000",-,-,"1,952,000","8,386,000",-,"48,337,000","48,955,000","32,723,000","796,000","14,016,000","1,420,000","618,000",-,"4,764,000",-,-,"4,764,000",-,"541,000",-,-,-,-,-,-,-,-,-,"62,422,000","58,260,000","30,093,000",-,"30,093,000","28,167,000",-,"1,265,000",-,-,-,"1,265,000","56,000","56,000","350,000","56,000",-,"2,841,000","2,841,000",-,-,-,"7,523,000","7,523,000","1,141,000",-,"1,141,000","6,908,000","2,158,000","2,288,000","-396,000",-,"10,364,000",-,"7,523,000","7,523,000","10,420,000","7,523,000","2,897,000",-,"228,165","178,361",-,"49,804"
32,3/31/2015,"69,336,000","5,962,000","5,962,000","1,170,000",-,"4,792,000",-,-,-,-,"10,186,000",-,-,"1,871,000","8,315,000",-,"47,679,000","48,280,000","32,091,000","744,000","14,012,000","1,433,000","601,000",-,"4,978,000",-,-,"4,978,000",-,"531,000",-,-,-,-,-,-,-,-,-,"61,836,000","57,570,000","30,176,000",-,"30,176,000","27,394,000",-,"1,500,000",-,-,-,"1,500,000","80,000","80,000","353,000","80,000",-,"2,686,000","2,686,000",-,-,-,"7,500,000","7,500,000","1,141,000",-,"1,141,000","6,841,000","2,188,000","2,300,000","-370,000",-,"10,186,000",-,"7,500,000","7,500,000","10,266,000","7,500,000","2,766,000",-,"228,165","178,050",-,"50,114"
33,12/31/2014,"69,190,000","6,071,000","6,071,000","1,026,000",-,"5,045,000",-,-,-,-,"10,150,000",-,-,"1,935,000","8,215,000",-,"47,194,000","47,788,000","31,520,000","724,000","14,048,000","1,496,000","594,000",-,"5,243,000",-,-,"5,243,000",-,"532,000","1,404,000","88,000","808,000","508,000","-872,000",-,-,-,-,"61,788,000","57,486,000","30,262,000",-,"30,262,000","27,224,000",-,"1,507,000",-,-,-,"1,507,000","116,000","116,000","349,000","116,000",-,"2,679,000","2,679,000",-,-,-,"7,402,000","7,402,000","1,141,000",-,"1,141,000","6,744,000","2,188,000","2,259,000","-412,000",-,"10,081,000",-,"7,402,000","7,402,000","10,197,000","7,402,000","2,795,000",-,"228,165","179,019",-,"49,146"
34,9/30/2014,"68,887,000","7,787,000","7,787,000","1,039,000",-,"6,748,000",-,-,-,-,"9,580,000",-,-,-,"9,580,000",-,"46,311,000","46,903,000","30,759,000","689,000","14,026,000","1,429,000","592,000",-,"4,685,000",-,-,"4,685,000",-,"524,000",-,-,-,-,-,-,-,-,-,"61,454,000","57,581,000","30,091,000",-,"30,091,000","27,490,000",-,"1,002,000",-,-,-,"1,002,000","202,000","202,000","346,000","202,000",-,"2,669,000","2,669,000",-,-,-,"7,433,000","7,433,000","1,141,000",-,"1,141,000","6,631,000","2,183,000","2,205,000","-317,000",-,"10,102,000",-,"7,433,000","7,433,000","10,304,000","7,433,000","2,871,000",-,"228,165","180,172",-,"47,993"
