,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Deposits,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Securities Activities,Credit Card,Other Customer Services,Fees & Commission Expense,Dividend Income,Investment Banking Profit,Trading Gain Loss,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Loans,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Equipment,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Insurance & Claims,Other G and A,Selling & Marketing Expense,Depreciation Amortization Depletion,Depreciation & amortization,Amortization,Amortization of Intangibles,Other Non Interest Expense,Special Income Charges,Gain on Sale of Business,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Loss on Extinguishment of Debt,Other Special Charges,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income Discontinuous Operations,Net Income Extraordinary,Net Income from Tax Loss Carryforward,Minority Interests,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
0,ttm,"3,120,000","2,392,000","2,683,000","2,331,000","2,331,000","256,000","87,000","10,000","96,000","291,000","184,000","23,000","72,000",-,"12,000","728,000",-,"430,000","517,000","293,000","48,000","92,000","84,000",-,"87,000","9,304",-,-,"223,000","223,000",-,-,"75,000","-95,000","1,859,000","286,000","128,000","158,000","62,000","1,205,000","1,155,000","1,155,000",-,-,"50,000","51,000","51,000","51,000","51,000","255,000","-7,000",-,0,0,-,"-9,723","1,159,000","247,000","868,000","900,000","912,000","912,000",-,-,-,"-12,000","32,000","868,000",-,-,-,-,"2,297,000","900,000","905,509","97,000","99,000","900,000","9,707","-7,000",0,"-1,491"
1,3/31/2023,"858,000","688,000","923,000","820,000","820,000","83,000","17,000","4,000","-1,000","236,000","171,000","38,000","20,000",-,"7,000","170,000",-,"113,000","113,000","79,000","11,000","34,000","20,000",-,"22,000",-,"10,000",-,"39,000","39,000",-,-,"18,000","-50,000","478,000","70,000","31,000","39,000","8,000","271,000","271,000","271,000",-,-,"14,000","12,000","12,000","12,000","12,000","125,000",-,-,-,-,-,-,"331,000","75,000","243,000","251,000","256,000","256,000",-,-,-,"-4,000","8,000","243,000",0.45,0.43,"536,938","571,991","638,000","251,000","251,000","21,000","12,000","251,000",-,-,0,0
2,12/31/2022,"884,000","709,000","860,000","751,000","751,000","80,000","24,000","5,000","14,000","151,000","112,000","13,000","19,000",-,"7,000","175,000",-,"113,000","113,000","60,000","12,000","33,000","20,000",-,"22,000",-,-,-,"35,000","35,000",-,-,"62,000","-45,000","505,000","71,000","32,000","39,000","12,000","282,000","282,000","282,000",-,-,"16,000","13,000","13,000","13,000","13,000","139,000","-7,000",-,-,-,-,-,"334,000","64,000","258,000","266,000","270,000","270,000",-,-,-,"-4,000","8,000","258,000",0.48,0.45,"536,000","572,000","664,000","266,000","266,000","29,000","13,000","266,000","-7,000","-7,000",0,0
3,9/30/2022,"875,000","662,000","737,000","628,000","628,000","70,000","34,000","2,000","3,000","74,000","42,000","7,000","18,000",-,"7,000","213,000",-,"120,000","120,000","86,000","11,000","34,000",-,-,"22,000",-,-,-,"46,000","46,000",-,-,"47,000","-60,000","470,000","71,000","32,000","39,000","10,000","276,000","276,000","276,000",-,-,"12,000","13,000","13,000","13,000","13,000","110,000",0,-,-,-,0,-,"346,000","78,000","257,000","265,000","268,000","268,000",-,-,-,"-3,000","8,000","257,000",0.48,0.45,"536,000","570,000","602,000","265,000","265,000","36,000","13,000","265,000",0,0,0,0
4,6/30/2022,"742,000","542,000","586,000","504,000","504,000","59,000","22,000","1,000","23,000","44,000","18,000","2,000","17,000","2,000","7,000","200,000",-,"150,000","150,000","114,000","12,000","36,000",-,-,"23,000",-,-,-,"51,000","51,000",-,-,"-1,000","-30,000","489,000","73,000","33,000","40,000","17,000","265,000","265,000","265,000",-,"9,000","10,000","13,000","13,000","13,000","13,000","138,000",-,-,-,-,-,-,"225,000","48,000","166,000","174,000","177,000","177,000",-,-,-,"-3,000","8,000","166,000",0.31,0.29,"535,000","569,000","512,000","174,000","174,000","23,000","13,000","174,000",-,-,0,0
5,3/31/2022,"708,000","479,000","513,000","457,000","457,000","49,000","7,000",-,"7,000","35,000","11,000","1,000","17,000",-,"6,000","229,000",-,"136,000","136,000","99,000","13,000","37,000",-,-,"20,000",-,-,-,"73,000","73,000",-,-,"20,000","40,000","492,000","72,000","32,000","40,000","23,000","279,000","279,000","279,000",-,"10,000","11,000","13,000","13,000","13,000","13,000","128,000",-,-,-,-,-,-,"255,000","57,000","187,000","195,000","198,000","198,000",-,-,-,"-3,000","8,000","187,000",0.35,0.34,"533,000","550,000","519,000","195,000","195,000","7,000","13,000","195,000",-,-,0,0
6,12/31/2021,"744,000","498,000","534,000","486,000","486,000","40,000","6,000",0,"2,000","36,000","13,000","1,000","17,000",-,"5,000","246,000",-,"139,000","139,000","103,000","12,000","36,000",-,-,"21,000",-,-,-,"82,000","82,000",-,-,"25,000","65,000","529,000","74,000","34,000","41,000","16,000","290,000","290,000","290,000",-,"9,000",-,"14,000","14,000","14,000","14,000","151,000","-13,000",-,0,-,-,"2,000","282,000","53,000","219,000","227,000","229,000","229,000",-,-,-,"-3,000","8,000","219,000",0.41,0.40,"537,000","542,000","563,000","227,000","227,000","6,000","14,000","227,000","-13,000","-13,000",0,0
7,9/30/2021,"738,000","492,000","536,000","492,000","492,000","37,000","6,000",0,"1,000","43,000","20,000","1,000","18,000",-,"4,000","246,000",-,"148,000","148,000","111,000","13,000","37,000","15,000",-,"24,000",-,-,-,"96,000","96,000",-,-,"2,000","85,000","526,000","75,000","33,000","42,000","21,000","296,000","296,000","296,000",-,"9,000",-,"14,000","14,000","14,000","14,000","141,000","-29,000",-,0,-,"23,000","6,000","298,000","63,000","224,000","232,000","235,000","235,000",-,-,-,"-3,000","8,000","224,000",0.41,0.41,"546,000","550,000","577,000","232,000","232,000","6,000","14,000","232,000","-29,000","-29,000",0,0
8,6/30/2021,"781,000","497,000","545,000","505,000","505,000","36,000","3,000",-,"1,000","48,000","24,000","1,000","18,000",-,"5,000","284,000",-,"148,000","148,000","113,000","14,000","35,000","21,000",-,"19,000",-,-,-,"102,000","102,000",-,-,"34,000","115,000","498,000","75,000","33,000","42,000","16,000","306,000","306,000","306,000",-,-,-,"14,000","14,000","14,000","14,000","103,000",-,-,-,-,-,-,"399,000","88,000","295,000","308,000","311,000","311,000",-,-,-,"-3,000","13,000","295,000",0.54,0.53,"550,000","557,000","612,000","308,000","308,000","3,000","14,000","308,000",-,-,0,0
9,3/31/2021,"808,000","508,000","508,000","514,000","514,000","36,000",-,-,"2,000","48,000","24,000","1,000","18,000",-,"1,000","300,000",-,"156,000","156,000","123,000","12,000","33,000","17,000",-,"16,000",-,-,-,"126,000","126,000",-,-,"18,000","45,000","545,000","76,000","37,000","39,000","14,000","319,000","319,000","319,000",-,-,-,"14,000","14,000","14,000","14,000","136,000",-,-,-,-,-,-,"307,000","71,000","225,000","233,000","235,000","236,000",-,-,-,"-3,000","8,000","225,000",0.41,0.40,"552,000","558,000","553,000","233,000","233,000",-,"14,000","233,000",-,-,0,0
10,12/31/2020,"810,000","522,000","574,000","540,514","540,514","32,716",-,-,"1,567","53,000","31,000","1,000","20,000",-,"1,000","288,000",-,"159,000","159,000","128,000","12,331","31,000","18,000",-,"17,020",-,-,-,"104,000","104,000",-,-,"25,000","-1,000","508,000","76,000","35,894","39,981","19,137","319,000","319,000","319,000",-,"-12,684","4,862","15,000","15,000","15,000","15,000","98,000",-339,-,-850,-,-,"1,189","301,000","56,000","234,000","242,000","245,000","245,000",-,-,-,"-3,000","8,000","234,000",0.42,0.42,"553,000","557,000","521,000","242,000","242,000",-,"15,000","242,000",-339,-339,0,0
11,9/30/2020,"1,356,000","532,000","598,000","565,479","565,479","31,711",-,-,"1,021","66,000","42,000","1,000","22,000",-,"1,000","824,000","5,627","163,000","163,000","133,000","11,741","30,000","17,000","1,652","15,634","2,679",-,-,"111,000","111,000",-,-,"550,000","-227,000","588,000","77,000","39,098","37,534","43,236","329,000","329,000","329,000","12,656","17,772","3,157","15,000","15,000","15,000","15,000","167,000","492,811",-,"-532,150",-,-,"39,339","541,000","2,000","523,000","536,000","539,000","539,000",-,-,-,"-3,000","13,000","523,000",0.95,0.95,"550,000","551,000","305,000","536,000","536,000",-,"15,000","536,000","492,811","492,811",0,0
12,6/30/2020,"499,959","305,344","346,624","314,780","314,780","34,094",-,-67,"-2,183","41,280","24,745",233,"14,106","1,222",974,"194,615","6,380","63,189","74,843","45,099","7,733","13,800","6,652","1,559","11,654","1,057",-,-,"110,928","110,928",-,-,"13,061","-110,000","320,511","46,351","21,445","24,906","12,808","220,744","218,219","206,149","9,031","3,039","2,525","5,284","5,284","5,284","5,284","35,324",-3,-,-,-,0,3,"69,445","12,780","52,264","53,814","56,665","56,665",-,-,-,"-2,851","1,550","52,264",0.17,0.17,"312,090","312,936","195,344","53,814","53,816",-67,"5,284","53,814",-3,-3,0,-0.5521
13,3/31/2020,"465,866","302,802","378,368","335,425","335,425","41,330",-,"2,330",-717,"75,566","54,489","5,027","7,921","4,837","3,292","163,064","4,589","63,594","75,286","43,971","7,195","15,405","7,253","1,462","11,692","1,130",-,-,"95,660","95,660",-,-,"-1,909","-145,000","299,614","44,142","19,563","24,579","8,819","213,748","206,292","189,747","9,421","7,124","7,456","5,308","5,308","5,308","5,308","27,597",-13,-,-,-,0,13,"21,239","4,767","12,070","13,620","16,472","16,472",-,-,-,"-2,852","1,550","12,070",0.04,0.04,"311,597","313,170","157,802","13,620","13,630","2,330","5,308","13,620",-13,-13,0,-2.9178
14,12/31/2019,"483,464","311,393","404,142","363,229","363,229","38,432",-,-,"2,481","92,749","67,413","3,989","10,491","7,869","2,987","172,071","5,255","68,975","80,146","48,610","7,434","14,557","7,984","1,561","11,171","1,508",-,-,"80,978","80,978",-,-,"15,355","-10,000","316,670","43,959","19,972","23,987","19,427","215,119","200,222","183,351","8,321","8,550","14,897","6,206","6,206","6,206","6,206","31,959",459,-,-,-,-65,-394,"157,253","35,970","116,823","118,373","121,283","121,283",-,-,-,"-2,910","1,550","116,823",0.38,0.37,"311,250","313,353","301,393","118,373","118,019",-,"6,206","118,373",459,459,0,104.9915
15,9/30/2019,"460,783","300,676","407,494","363,793","363,793","39,625",-,-,"4,076","106,818","78,591","3,333","13,752","8,199","2,943","160,107","4,427","66,611","78,245","48,508","7,163","14,157","7,017","1,400","11,634","1,556",-,-,"77,742","77,742",-,-,"9,771","-15,000","284,504","42,275","18,887","23,388","19,764","193,648","187,002","171,281","8,039","7,682","6,646","6,206","6,206","6,206","6,206","22,611","-11,540",-,-,-,6,"11,534","149,739","35,796","109,510","111,060","113,943","113,943",-,-,-,"-2,883","1,550","109,510",0.35,0.35,"311,888","313,805","285,676","111,060","119,841",-,"6,206","111,060","-11,540","-11,540",0,"-2,759"
16,6/30/2019,"449,890","303,610","412,089","362,195","362,195","44,745",-,-,"5,149","108,479","79,002","4,316","14,683","6,722","3,756","146,280","5,126","64,568","76,281","46,665","7,888","14,120","6,355","1,253","11,713","1,809",-,-,"66,463","66,463",-,-,"8,314","-13,000","296,911","44,095","20,719","23,376","17,777","194,076","188,502","175,972","6,742","5,788","5,574","6,206","6,206","6,206","6,206","34,757","8,230",-,-,-,0,"-8,230","148,209","34,467","109,340","110,890","113,742","113,742",-,-,-,"-2,852","1,550","109,340",0.35,0.35,"314,063","315,786","290,610","110,890","104,574",-,"6,206","110,890","8,230","8,230",0,"1,914"
17,3/31/2019,"424,066","294,508","400,615","344,044","344,044","45,788",-,-,"10,783","106,107","82,210",961,"14,337","5,783","2,816","129,558","4,402","58,066","69,554","42,512","7,026","12,633","6,015","1,368","11,488","2,313",-,-,"53,780","53,780",-,-,"10,997","-9,000","284,589","44,661","20,693","23,968","15,130","203,077","195,835","182,753","6,967","6,115","7,242","6,216","6,216","6,216","6,216","15,505",-14,-,-,-,1,13,"130,463","27,058","99,035","100,585","103,405","103,405",-,-,-,"-2,820","1,550","99,035",0.31,0.31,"317,435","319,581","285,508","100,585","100,596",-,"6,216","100,585",-14,-14,0,-2.9036
18,12/31/2018,"399,855","302,512","401,186","343,762","343,762","48,039",-,-,"9,385","98,674","73,679","6,833","13,842",-,"4,320","97,343","4,852","52,884","65,829","37,283","6,959","13,380","6,760","1,447","12,945","2,425",-,-,"39,838","39,838",-,-,"-2,656","-6,000","268,952","45,692","22,053","23,639","12,321","184,453","176,735","162,396","6,706","7,633","7,718","6,461","6,461","6,461","6,461","20,025",-49,-,-,-,14,35,"124,854","24,049","96,345","97,895","100,805","100,805",-,-,-,"-2,910","1,550","96,345",0.30,0.30,"321,505","323,885","296,512","97,895","97,935",-,"6,461","97,895",-49,-49,0,-9.4382
19,9/30/2018,"641,552","305,700","393,669","340,977","340,977","46,652",-,-,"6,040","87,969","59,090","9,762","13,992",-,"5,125","335,852","4,337","63,753","76,874","47,051","7,438","14,200","6,878","1,307","13,121","2,757",-,-,"257,672","257,672",-,-,"7,333","-2,000","282,451","45,118","20,002","25,116","11,811","196,762","188,397","170,835","10,611","6,951","8,365","6,460","6,460","6,460","6,460","22,300","1,540",-,-,-,1,"-1,541","358,641","83,925","270,283","271,833","274,716","274,716",-,-,-,"-2,883","1,550","270,283",0.83,0.83,"324,406","327,252","303,700","271,833","270,653",-,"6,460","271,833","1,540","1,540",0,360.36
20,6/30/2018,"423,804","310,932","310,932","335,202","335,202","47,508",-,-,"5,101","76,879","48,749","10,110","13,230",-,"4,790","112,872","5,773","62,508","77,161","47,359","8,132","13,740","6,635","1,295","14,653","3,124",-,-,"37,728","37,728",-,-,"112,872",0,"318,099","48,334","22,503","25,831","18,199","207,452","202,382","173,646","12,730","16,006","5,070","6,460","6,460","6,460","6,460","37,654",-16,-,-,-,0,16,"105,689","19,697","81,590","83,140","85,992","85,992",-,-,-,"-2,852","1,550","81,590",0.25,0.25,"325,153","328,426","310,932","83,140","83,140",-,"6,460","83,140",-16,-16,0,0
21,3/31/2018,"421,629","301,173","363,355","311,637","311,637","47,386",-,-,"4,332","62,182","35,033","10,042","11,983",-,"5,124","120,456","3,993","60,999","76,560","43,284","7,277","13,483","11,267","1,249","15,561","2,249",-,-,"45,592","45,592",-,-,"7,623","1,000","295,570","45,601","20,451","25,150","14,617","197,846","194,247","177,086","11,279","5,882","3,599","6,474","6,474","6,474","6,474","31,032","-2,134",-,-,-,0,"2,134","124,925","29,931","90,624","92,174","94,994","94,994",-,-,-,"-2,820","1,550","90,624",0.28,0.27,"326,489","330,344","302,173","92,174","93,797",-,"6,474","92,174","-2,134","-2,134",0,-511.3064
22,12/31/2017,"364,659","242,088","287,633","245,143","245,143","39,241",-,-,"3,249","45,545","24,469","6,707","10,183",-,"4,186","122,571","3,987","58,147","68,766","39,479","7,116","12,642","8,237","1,292","10,619",-,-,-,"55,216","55,216",-,-,"5,221","-3,000","303,937","38,574","15,887","22,687","28,203","207,675","202,362","184,929","11,547","5,886","5,313","3,568","3,568","3,568","3,568","25,917","-32,114",-,-,-,0,"32,114","25,608","73,989","-52,841","-51,291","-48,381","-48,381",-,-,-,"-2,910","1,550","-52,841",-0.20,-0.20,"265,169","265,169","239,088","-51,291","-32,023",-,"3,568","-51,291","-32,114","-32,114",0,"-12,846"
23,9/30/2017,"325,758","209,817","248,145","211,343","211,343","33,968",-,-,"2,834","38,328","20,270","4,998","9,762",-,"3,298","115,941","3,539","52,771","63,576","37,305","6,953","11,937","6,170","1,211","10,805",-,-,-,"55,764","55,764",-,-,"3,867",0,"217,902","32,238","13,619","18,619","8,618","160,508","155,303","141,758","8,458","5,087","5,205","1,964","1,964","1,964","1,964","14,574","-22,491",-,-,-,"14,329","8,162","85,365","13,596","67,336","68,886","71,769","71,769",-,-,-,"-2,883","1,550","67,336",0.29,0.28,"233,749","236,340","209,817","68,886","87,795",-,"1,964","68,886","-22,491","-22,491",0,"-3,582"
24,6/30/2017,"316,850","200,701","235,341","196,090","196,090","35,207",-,-,"4,044","34,640","19,186","2,903","8,348",-,"4,203","116,149","4,351","52,146","63,670","37,216","7,698","12,029","5,605","1,122","11,524",-,-,-,"55,515","55,515",-,-,"4,137","2,000","205,860","32,121","12,800","19,321","13,155","162,059","157,964","143,796","8,370","5,798","4,095","1,964","1,964","1,964","1,964","-3,439",-533,-,-,-,-,533,"112,457","17,253","90,802","92,352","95,204","95,204",-,-,-,"-2,852","1,550","90,802",0.39,0.38,"233,482","236,263","202,701","92,352","92,803",-,"1,964","92,352",-533,-533,0,-81.7622
25,3/31/2017,"295,772","189,708","218,811","181,747","181,747","32,185",-,-,"4,879","29,103","16,186","1,392","7,744",-,"3,781","106,064","3,247","47,969","58,844","33,794","6,653","11,906","5,455","1,036","10,875",-,-,-,"50,722","50,722",-,-,"4,126","1,000","211,622","29,490","12,340","17,150","10,029","156,710","152,109","139,433","8,129","4,547","4,601","1,232","1,232","1,232","1,232","14,161",292,-,-,-,-,-292,"85,442","27,054","54,018","55,568","58,388","58,388",-,-,-,"-2,820","1,550","54,018",0.23,0.23,"233,076","236,855","190,708","55,568","55,368",-,"1,232","55,568",292,292,0,92.4472
26,12/31/2016,"308,715","195,551","219,897","186,003","186,003","33,001",-,-,893,"24,346","11,996","1,151","7,351",-,"3,848","113,164","3,558","52,812","63,725","38,370","7,053","11,003","6,353",946,"10,913",-,-,-,"51,791","51,791",-,-,"5,003",0,"222,300","32,686","12,818","19,868","10,865","161,761","155,668","141,623","8,034","6,011","6,093","1,300","1,300","1,300","1,300","15,688","-4,684",-,-,-,0,"4,684","81,731","24,008","53,294","54,844","57,723","57,723",-,-,-,"-2,879","1,550","53,294",0.23,0.23,"232,731","235,590","195,551","54,844","58,152",-,"1,300","54,844","-4,684","-4,684",0,"-1,376"
27,9/30/2016,"323,222","185,195","206,972","175,484","175,484","30,645",-,-,843,"21,777","10,027","1,254","7,165",-,"3,331","138,027","5,259","54,664","65,182","40,228","6,885","10,828","6,260",981,"10,518",-,-,-,"71,548","71,548",-,-,"6,556","-4,000","222,780","29,207","12,722","16,485","9,609","168,395","162,330","148,906","8,346","5,078","6,065","1,299","1,299","1,299","1,299","14,270",-260,-,-,-,0,260,"96,182","28,547","63,202","64,752","67,635","67,635",-,-,-,"-2,883","1,550","63,202",0.27,0.27,"231,856","234,092","181,195","64,752","64,935",-,"1,299","64,752",-260,-260,0,-77.168
28,6/30/2016,"311,257","176,264","197,376","164,252","164,252","32,171",-,-,953,"21,112","9,146","1,203","6,981",-,"3,782","134,993","4,295","49,886","60,407","34,845","7,224","10,665","6,558","1,115","10,521",-,-,-,"78,012","78,012",-,-,"2,800","-4,000","190,301","31,144","12,736","18,408","10,175","164,456","159,975","147,205","7,862","4,908","4,481","1,299","1,299","1,299","1,299","-16,773","-26,000",-,-,-,0,"26,000","90,956","30,016","56,538","58,088","60,940","60,940",-,-,-,"-2,852","1,550","56,538",0.24,0.24,"231,573","233,576","172,264","58,088","75,508",-,"1,299","58,088","-26,000","-26,000",0,"-8,580"
29,3/31/2016,"296,479","172,074","193,664","159,684","159,684","32,422",-,-,"1,558","21,590","8,817","1,128","7,606",-,"4,039","124,405","3,876","48,578","58,478","35,178","6,565","10,415","5,259","1,061","9,900",-,-,-,"68,551","68,551",-,-,"3,400","-3,000","217,502","30,350","12,604","17,746","10,078","159,140","154,167","140,966","8,234","4,967","4,973","1,300","1,300","1,300","1,300","16,634",475,-,-,-,0,-475,"76,452","24,239","47,812","49,362","52,213","52,213",-,-,-,"-2,851","1,550","47,812",0.20,0.20,"234,651","236,666","169,074","49,362","49,038",-,"1,300","49,362",475,475,0,150.6225
30,12/31/2015,"289,124","166,652","187,620","153,883","153,883","33,322",-,-,415,"20,968","6,455",736,"9,743",-,"4,034","122,472","4,507","52,186","61,947","37,458","6,873","11,021","5,607",988,"9,761",-,-,-,"63,112","63,112",-,-,"2,667","-1,000","219,794","33,853","13,853","20,000","9,460","158,966","153,693","140,696","7,972","5,025","5,273","1,359","1,359","1,359","1,359","16,156","-14,186",-,-,-,1,"14,185","54,144","2,715","47,031","48,581","51,429","51,429",-,-,-,"-2,848","1,550","47,031",0.20,0.20,"237,983","240,072","165,652","48,581","62,056",-,"1,359","48,581","-14,186","-14,186",0,-710.7186
31,9/30/2015,"272,741","163,562","183,687","151,866","151,866","31,355",-,-,466,"20,125","5,889",664,"9,314",-,"4,258","109,179","4,743","51,736","61,866","37,117","6,590","11,620","5,561",978,"10,130",-,-,-,"51,459","51,459",-,-,"1,241","-1,000","194,373","31,385","13,282","18,103","8,765","138,451","133,619","120,905","7,812","4,902","4,832","1,298","1,298","1,298","1,298","14,474","6,444",-,-,-,"-5,794",-650,"83,812","12,107","67,178","68,728","71,705","71,705",-,-,-,"-2,977","1,550","67,178",0.29,0.29,"233,111","235,058","162,562","68,728","63,216",-,"1,298","68,728","6,444","6,444",0,931.8024
32,6/30/2015,"286,908","166,640","187,030","154,633","154,633","32,305",-,-,92,"20,390","6,228",726,"9,666",-,"3,770","120,268","4,045","53,588","63,621","36,333","7,416","12,456","5,884","1,532","10,033",-,-,-,"56,249","56,249",-,-,"6,386","-2,000","208,361","31,087","11,764","19,323","9,727","150,529","146,180","132,756","8,407","5,017","4,349","1,298","1,298","1,298","1,298","15,720",0,-,-,-,0,-,"76,547","21,590","50,556","52,106","54,957","54,957",-,-,-,"-2,851","1,550","50,556",0.22,0.22,"232,800","234,669","164,640","52,106","52,106",-,"1,298","52,106",0,0,0,0
33,3/31/2015,"277,218","156,866","178,068","145,388","145,388","32,001",-,-,679,"21,202","6,578","1,046","9,664",-,"3,914","120,352","4,058","50,241","59,578","35,172","6,698","11,399","5,186","1,123","9,337",-,-,-,276,276,-,-,"65,777","-5,000","204,384","30,380","12,218","18,162","7,257","152,525","147,792","137,160","6,777","3,855","4,733","1,298","1,298","1,298","1,298","12,924","-162,500",-,-,-,0,"162,500","-94,666","-22,261","-76,713","-75,163","-72,405","-72,405",-,-,-,"-2,758","1,550","-76,713",-0.33,-0.33,"232,816","232,816","151,866","-75,163","49,117",-,"1,298","-75,163","-162,500","-162,500",0,"-38,220"
34,12/31/2014,"270,047","159,050","179,448","147,239","147,239","31,746",-,-,463,"20,398","6,102","1,200","9,146",-,"3,950","110,997","4,119","55,221","63,638","38,198","6,945","11,647","5,737","1,111","8,417",-,-,-,0,0,-,-,"51,657","-6,000","201,062","30,174","12,077","18,097","12,552","138,950","134,873","124,365","5,603","4,905","4,077","1,225","1,225","1,225","1,225","18,161",184,0,-,-,-184,0,"63,169","12,278","46,361","47,911","50,891","50,891",0,-,-,"-2,980","1,550","46,361",0.20,0.20,"234,220","235,448","153,050","47,911","47,763",-,"1,225","47,911",184,184,0,35.7696
35,9/30/2014,"308,312","159,541","178,858","147,938","147,938","31,057",-,-,-137,"19,317","5,825","1,265","8,445",-,"3,782","148,771","4,140","93,974","103,018","77,468","6,779","12,333","5,521",917,"9,044",-,-,-,-862,-862,-,-,"51,519","-6,000","201,752","30,169","12,405","17,764","10,463","143,235","138,849","127,135","7,365","4,349","4,386",982,982,982,982,"16,903","-35,390",0,-,-,0,"35,390","65,170","15,421","45,324","46,874","49,749","49,749",0,-,-,"-2,875","1,550","45,324",0.19,0.19,"235,249","236,862","153,541","46,874","73,891",-,982,"46,874","-35,390","-35,390",0,"-8,373"
36,6/30/2014,"274,865","156,768","177,359","145,919","145,919","31,403",-,-,37,"20,591","6,893","1,195","8,416",-,"4,087","118,097","3,923","64,636","73,440","44,196","7,309","12,843","7,919","1,173","8,804",-,-,-,"-1,923","-1,923",-,-,"51,461","-5,000","194,728","30,473","11,944","18,529","6,151","139,963","135,651","126,177","4,345","5,129","4,312",981,981,981,981,"17,160","38,200",0,-,-,0,"-38,200","113,337","32,157","76,771","78,321","81,180","81,180",0,-,-,"-2,859","1,550","76,771",0.32,0.32,"237,147","237,250","151,768","78,321","50,958",-,981,"78,321","38,200","38,200",0,"10,837"
37,3/31/2014,"293,457","152,359","173,584","141,872","141,872","31,305",-,-,407,"21,225","7,986","1,105","8,563",-,"3,571","141,098","6,469","68,582","77,564","52,361","6,744","12,276","4,520","1,663","8,982",-,-,-,"5,657","5,657",-,-,"60,390","-10,000","211,142","36,097","17,592","18,505","15,039","141,562","135,654","124,420","7,051","4,183","5,908",982,982,982,982,"17,462","-4,440",0,-,-,"4,350",90,"67,875","18,645","44,867","46,417","49,230","49,230",0,-,-,"-2,813","1,550","44,867",0.19,0.19,"236,586","237,401","142,359","46,417","49,637",-,982,"46,417","-4,440","-4,440",0,"-1,220"
38,12/31/2013,"283,078","157,135","179,053","148,666","148,666","30,095",-,-,292,"21,918","8,435","1,139","8,902",-,"3,442","125,943","4,596","55,657","64,761","40,447","6,596","11,505","4,998","1,215","9,104",-,-,-,"2,183","2,183",-,-,"63,507","-15,000","220,638","31,439","12,811","18,628","15,419","154,561","149,876","137,530","7,738","4,608","4,685","1,128","1,128","1,128","1,128","18,091","-30,359",-4,-,-,-,"30,355","17,081","-36,555","49,146","50,696","53,630","53,636",-6,-,-,"-2,934","1,550","49,146",0.21,0.21,"234,029","236,753","142,135","50,696","70,435",-,"1,128","50,702","-30,359","-30,359",0,"-10,626"
39,9/30/2013,"299,723","158,838","182,610","152,756","152,756","29,663",-,-,191,"23,772","9,959","1,103","9,078",-,"3,632","140,885","4,293","66,249","75,724","51,733","6,649","10,868","5,303","1,171","9,475",-,-,-,-96,-96,-,-,"70,439","-10,000","423,852","31,483","13,147","18,336","12,704","161,893","156,407","142,698","8,336","5,373","5,486",928,928,928,928,"216,844",-114,115,-,-,-,229,"-134,243","-31,094","-107,451","-105,901","-103,026","-103,149",123,-,-,"-2,875","1,550","-107,451",-0.45,-0.45,"236,328","236,895","148,838","-105,901","-105,936",-,928,"-106,024",-114,-114,0,-26.4052
40,6/30/2013,"293,527","160,019","183,991","154,483","154,483","29,434",-,-,74,"23,972","10,316","1,156","9,146",-,"3,354","133,508","4,676","56,419","65,543","41,558","6,950","10,540","5,299","1,196","9,124",-,-,-,-351,-351,-,-,"72,764","-15,000","217,384","28,990","11,785","17,205","14,065","158,208","154,087","140,310","8,616","5,161","4,121",928,928,928,928,"15,193",-900,0,-,-,-,900,"60,243","15,008","40,843","42,393","45,236","45,235",1,-,-,"-2,843","1,550","40,843",0.17,0.17,"240,555","240,891","145,019","42,393","43,068",-,928,"42,392",-900,-900,0,-224.2119
