,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Interest Bearing Deposits Assets,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Funds Sold,Security Agree to be Resold,Customer Acceptances,Foreclosed Assets,Other Real Estate Owned,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Other Receivables,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Payables And Accrued Expenses,Payables,Accounts Payable,Other Payable,Current Debt And Capital Lease Obligation,Current Debt,Current Notes Payable,Other Current Borrowings,Trading Liabilities,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Preferred Securities Outside Stock Equity,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number
0,3/31/2023,"80,731,000","3,784,000","3,475,000","987,000",-,"2,488,000",-,"309,000","309,000","141,000","168,000",-,-,-,"11,439,000","1,122,000","10,317,000","1,362,000","8,954,000",-,"58,980,000","59,695,000","650,000","32,172,000","807,000","26,065,000","1,000","715,000",-,-,-,-,"603,000",-,-,-,-,-,-,-,"1,732,000","1,511,000","222,000","4,193,000","71,836,000","61,441,000","40,307,000","40,307,000","21,134,000","1,174,000",-,"1,174,000",-,-,-,-,"6,484,000","6,484,000",-,"6,484,000","144,000",-,"1,605,000","1,605,000",-,-,"2,162,000","8,895,000","8,600,000","1,350,000","1,014,000","336,000","3,595,000","4,863,000",-,"-1,208,000",-,"295,000","10,205,000","1,014,000","7,586,000","6,868,000","15,675,000","5,854,000","8,089,000","4,614,000","537,619","537,619","21,500"
1,12/31/2022,"78,953,000","2,927,000","2,445,000","1,061,000",-,"1,384,000",-,"482,000","482,000","482,000",-,-,-,-,"11,582,000","1,375,000","10,207,000","1,371,000","8,836,000",-,"58,006,000","58,691,000","590,000","31,780,000","840,000","25,481,000",-,"685,000",-,-,-,-,"612,000","1,067,000","163,000","544,000","277,000","82,000","1,000","-455,000","1,744,000","1,511,000","234,000","4,082,000","70,405,000","63,489,000","40,023,000","40,023,000","23,466,000","1,013,000",-,"1,013,000",-,-,-,-,"2,506,000","2,506,000",-,"2,506,000","335,000",-,"1,597,000","1,597,000",-,-,"2,478,000","8,548,000","8,253,000","1,350,000","1,014,000","336,000","3,430,000","4,840,000",-,"-1,367,000",-,"295,000","9,850,000","1,014,000","7,239,000","6,509,000","11,342,000","5,495,000","4,103,000","1,658,000","537,101","537,101","21,500"
2,9/30/2022,"82,551,000","8,248,000","7,587,000","1,246,000",-,"6,341,000",-,"661,000","661,000","690,000",-,-,-,-,"11,657,000","1,342,000","10,315,000","1,385,000","8,718,000",-,"56,665,000","57,304,000","761,000","31,120,000","864,000","24,559,000",-,"639,000",-,-,-,-,"629,000",-,-,-,-,-,-,-,"1,767,000","1,511,000","246,000","3,585,000","73,883,000","68,131,000","41,430,000","41,430,000","26,701,000","657,000",-,"657,000",-,-,-,-,"1,711,000","1,711,000",-,"1,711,000","372,000",-,"1,598,000","1,598,000",-,-,"2,071,000","8,668,000","8,373,000","1,349,000","1,014,000","335,000","3,175,000","4,802,000",-,"-953,000",-,"295,000","9,971,000","1,014,000","7,359,000","6,606,000","10,668,000","5,592,000","3,309,000",-,"536,737","536,737","21,500"
3,6/30/2022,"86,326,000","13,127,000","12,270,000","1,281,000",-,"10,989,000",-,"857,000","857,000","712,000",-,-,-,-,"11,290,000","1,509,000","9,781,000","687,000","8,941,000",-,"55,982,000","56,603,000","1,027,000","30,963,000","867,000","23,746,000",-,"621,000",-,-,-,-,"645,000",-,-,-,-,-,-,-,"1,789,000","1,511,000","272,000","3,493,000","77,712,000","71,945,000","44,154,000","44,154,000","27,791,000","1,158,000",-,"1,158,000",-,-,-,-,"1,710,000","1,710,000",-,"1,710,000","585,000",-,"1,597,000","1,597,000",-,-,"1,875,000","8,614,000","8,319,000","1,349,000","1,014,000","335,000","3,051,000","4,778,000",-,"-859,000",-,"295,000","9,916,000","1,014,000","7,305,000","6,530,000","10,612,000","5,516,000","3,307,000",-,"536,333","536,333",26.75
4,3/31/2022,"88,661,000","15,413,000","14,773,000","1,225,000",-,"13,548,000",-,"640,000","640,000","640,000",-,-,-,-,"11,766,000","1,823,000","9,943,000","701,000","9,242,000",-,"55,404,000","56,026,000","1,014,000","30,798,000","854,000","23,361,000","-1,000","622,000",-,-,-,-,"669,000",-,-,-,-,-,-,-,"1,795,000","1,511,000","285,000","3,614,000","79,964,000","74,115,000","46,063,000","46,063,000","28,052,000","760,000",-,"760,000",-,-,-,-,"1,719,000","1,719,000",-,"1,719,000","513,000",-,"1,591,000","1,591,000",-,-,"2,026,000","8,697,000","8,402,000","1,348,000","1,014,000","334,000","2,996,000","4,769,000",-,"-711,000",-,"295,000","9,993,000","1,014,000","7,388,000","6,607,000","10,698,000","5,593,000","3,310,000",-,"534,587","534,587","21,500"
5,12/31/2021,"89,091,000","16,695,000","16,054,000","1,147,000",-,"14,907,000",-,"641,000","641,000","641,000",-,-,-,-,"11,020,000","1,601,000","9,419,000","712,000","8,707,000",-,"55,361,000","56,031,000","1,172,000","31,068,000","910,000","22,881,000",-,"670,000",-,-,-,-,"665,000","1,072,000","163,000","543,000","276,000","74,000","16,000","-407,000","1,808,000","1,511,000","298,000","3,542,000","80,598,000","74,894,000","47,011,000","47,011,000","27,883,000","1,247,000",-,"1,247,000",-,-,-,-,"2,124,000","2,124,000",-,"2,124,000","426,000",-,"1,590,000","1,590,000",-,-,"1,564,000","8,493,000","8,198,000","853,000","520,000","333,000","2,891,000","4,742,000",-,"-288,000",-,"295,000","9,788,000","520,000","7,678,000","6,390,000","11,392,000","5,870,000","3,714,000",-,"533,577","533,577","21,500"
6,9/30/2021,"88,537,000","16,387,000","16,026,000","1,197,000",-,"14,829,000",-,"361,000","361,000","361,000",-,-,-,-,"10,117,000","1,319,000","8,798,000","304,000","8,494,000",-,"55,753,000","56,487,000","1,052,000","31,516,000","938,000","22,981,000",-,"734,000",-,-,-,-,"692,000",-,-,-,-,-,-,-,"1,822,000","1,511,000","311,000","3,766,000","80,004,000","74,264,000","46,916,000","46,916,000","27,348,000",-,-,-,-,-,-,-,"2,225,000","2,225,000",-,"2,225,000","315,000",-,"1,584,000","1,584,000",-,-,"1,616,000","8,533,000","8,238,000","859,000","520,000","339,000","2,754,000","4,866,000",-,"-241,000",-,"295,000","9,822,000","520,000","7,718,000","6,416,000","11,527,000","5,896,000","3,809,000",-,"541,860","541,860","21,500"
7,6/30/2021,"87,908,000","15,376,000","14,754,000","1,303,000",-,"13,451,000",-,"622,000","622,000","622,000",-,-,-,-,"9,433,000","1,035,000","8,398,000",-,"8,388,000",-,"56,849,000","57,664,000","977,000","32,528,000","1,002,000","23,156,000","1,000","815,000",-,-,-,-,"714,000",-,-,-,-,-,-,-,"1,836,000","1,511,000","325,000","3,700,000","79,342,000","73,280,000","47,447,000","47,447,000","25,833,000",-,-,-,-,-,-,-,"2,246,000","2,246,000",-,"2,246,000","531,000",-,"1,672,000","1,672,000",-,-,"1,613,000","8,566,000","8,271,000","864,000","520,000","344,000","2,613,000","4,997,000",-,"-203,000",-,"295,000","9,943,000","520,000","7,751,000","6,435,000","11,669,000","5,915,000","3,918,000",-,"550,865","550,865","21,500"
8,3/31/2021,"87,512,000","13,324,000","12,804,000","1,169,000",-,"11,635,000",-,"520,000","520,000","520,000",-,-,-,-,"9,437,000","1,076,000","8,361,000",-,"8,351,000",-,"58,497,000","59,411,000","811,000","33,951,000","1,126,000","23,523,000",-,"914,000",-,-,-,-,"719,000",-,-,-,-,-,-,-,"1,850,000","1,511,000","339,000","3,685,000","79,206,000","73,167,000","48,121,000","48,121,000","25,046,000",-,-,-,-,-,-,-,"2,203,000","2,203,000",-,"2,203,000","454,000",-,"1,671,000","1,671,000",-,-,"1,711,000","8,306,000","8,011,000","815,000","470,000","345,000","2,402,000","5,036,000",-,"-242,000",-,"295,000","9,682,000","470,000","7,541,000","6,161,000","11,415,000","5,691,000","3,874,000",-,"552,374","552,374","19,500"
9,12/31/2020,"84,209,000","9,999,000","9,554,000","1,203,000",-,"8,351,000",-,"445,000","445,000","445,000",-,-,-,-,"9,233,000","1,176,000","8,057,000",-,"8,047,000",-,"58,291,000","59,254,000","1,022,000","33,103,000","1,128,000","24,000,000","1,000","963,000",-,-,-,-,"759,000","1,136,000","182,000","594,000","269,000","73,000","18,000","-377,000","1,864,000","1,511,000","354,000","4,063,000","75,903,000","69,983,000","47,810,000","47,810,000","22,173,000",-,-,-,-,-,-,-,"2,198,000","2,198,000",-,"2,198,000","353,000",-,"1,670,000","1,670,000",-,-,"1,699,000","8,306,000","8,011,000","817,000","470,000","347,000","2,261,000","5,073,000",-,"-140,000",-,"295,000","9,681,000","470,000","7,541,000","6,147,000","11,409,000","5,677,000","3,868,000",-,"555,031","555,031","19,500"
10,9/30/2020,"83,030,000","7,111,000","6,518,000","1,075,000",-,"5,443,000","5,443,292","593,000","593,000","593,000",-,-,-,-,"9,382,000","1,386,000","7,996,000",-,"7,995,872",-,"59,770,000","60,758,000","1,051,000","33,656,000","1,212,000","24,839,000",-,"988,000",-,-,-,-,"756,000",-,-,-,-,-,-,-,"1,876,000","1,510,431","365,700","4,135,000","74,886,000","68,409,000","47,025,000","47,025,000","21,384,000",-,-,-,-,-,-,-,"2,142,000","2,142,000",-,"2,142,000","477,000",-,"2,162,000","2,162,000",-,-,"1,696,000","8,144,000","7,849,000","817,000","470,000","347,000","2,111,000","5,061,000",-,"-140,000",-,"295,000","10,011,000","470,000","7,379,000","5,973,000","11,683,000","5,503,000","4,304,000",-,"554,788","554,788","19,500"
11,6/30/2020,"48,644,659","4,155,391","3,740,124","604,280",-,"604,280","3,135,844","415,267","415,267","113,000","302,267",-,"15,134","15,134","6,602,606","1,116,450","5,486,156","10,000","5,476,156","599,704","32,916,711","33,454,592","745,655","21,393,893","449,310","10,865,734","32,708,937","537,881",-,"145,455",-,"145,455","448,028",-,-,-,-,-,-,-,"1,552,395","1,432,787","119,608","2,209,235","43,436,274","37,759,351","25,971,533","25,971,533","11,787,818","2,261,114","778,529","1,482,585","24,735","24,735",-,"24,735","130,583","130,583",-,"130,583","232,742","94,389","2,032,476","2,032,476",-,-,"900,884","5,208,385","4,912,954","435,513","240,289","195,224","1,671,629","2,940,610",-,"-134,798",-,"295,431","6,945,430","240,289","4,672,665","3,360,559","6,835,724","3,120,270","2,163,059",-,"312,359","312,359","10,000"
12,3/31/2020,"47,197,378","1,800,574","1,208,089","537,564",-,"537,564","670,525","592,485","592,485","30,050","562,435",-,"15,837","15,837","6,432,421","1,877,514","4,554,907","10,000","4,544,907","696,250","33,529,414","33,973,904","595,601","22,124,430","494,798","10,759,075","33,378,303","444,490",-,"180,569",-,"180,569","447,812",-,-,-,-,-,-,-,"1,557,679","1,432,787","124,892","2,536,822","42,141,798","34,419,650","25,479,842","25,479,842","8,939,808","1,264,608","476,013","788,595","91,274","91,274",-,"91,274","4,060,673","4,060,673",-,"4,060,673","452,611","234,984","792,751","792,751",-,-,"825,247","5,055,580","4,760,149","290,538","95,624","194,914","1,667,105","2,938,670",-,"-136,164",-,"295,431","5,552,900","95,624","4,664,525","3,202,470","9,517,949","3,106,846","4,853,424","3,645,335","311,863","311,863","4,000"
13,12/31/2019,"43,310,900","1,749,298","1,116,133","633,728",-,"633,728","482,405","633,165","633,165","46,536","586,629",-,"17,838","17,838","5,801,610","1,346,207","4,455,403","10,000","4,445,403","183,115","31,454,594","31,654,901","593,790","20,051,091","495,864","10,514,156","31,061,111","200,307",-,"40,114","40,114","40,114","455,006","792,743","98,804","428,695","205,493","50,032","9,719","-337,737","1,562,987","1,432,787","130,200","2,046,338","38,234,892","32,429,535","24,000,584","24,000,584","8,428,951","1,265,269","548,344","716,925","49,535","49,535",-,"49,535","2,253,045","2,253,045",0,"2,253,045","505,581","67,480","791,368","791,368",-,"46,236","873,079","5,076,008","4,780,577","290,292","95,624","194,668","1,798,442","2,931,451",-,"-239,608",-,"295,431","5,571,945","95,624","4,684,953","3,217,590","7,729,366","3,121,966","3,044,413","1,928,280","311,469","311,469","4,000"
14,9/30/2019,"43,717,684","1,860,092","1,114,131","749,719",-,"749,719","364,412","745,961","745,961","48,747","697,214",-,"20,181","20,181","5,820,888","1,395,043","4,425,845","10,000","4,415,845","250,786","31,622,527","31,815,676","554,843","20,293,930","493,009","10,473,894","31,260,833","193,149",-,"209,732","209,732","209,732","451,600",-,-,-,-,-,-,-,"1,569,193","1,432,787","136,406","1,912,685","38,721,641","31,944,660","23,675,848","23,675,848","8,268,812","1,672,063","936,837","735,226","66,842","66,842",-,"66,842","2,276,139","2,276,139",-,"2,276,139","719,777","83,530","1,195,096","1,195,096",-,-,"763,534","4,996,043","4,700,612","290,111","95,624","194,487","1,725,846","2,925,309",-,"-240,654",-,"295,431","5,895,708","95,624","4,604,988","3,131,419","8,076,223","3,035,795","3,471,235","2,357,104","311,180","311,180","4,000"
15,6/30/2019,"42,171,770","1,842,885","1,189,261","596,081",-,"596,081","593,180","653,624","653,624","50,705","602,919",-,"19,286","19,286","6,094,551","1,668,942","4,425,609","10,000","4,415,609","185,521","29,967,167","30,159,916","447,106","19,054,269","494,376","10,164,165","29,712,810","192,749",-,"147,574","147,574","147,574","454,271",-,-,-,-,-,-,-,"1,575,399","1,432,787","142,612","1,885,116","37,245,689","32,308,318","24,221,570","24,221,570","8,086,748","1,430,315","666,007","764,308","66,369","66,369",-,"66,369","865,347","865,347",-,"865,347","558,347","88,485","1,186,646","1,186,646",-,-,"741,862","4,926,081","4,630,650","290,923","95,624","195,299","1,660,520","2,941,696",-,"-262,489",-,"295,431","5,817,296","95,624","4,535,026","3,055,251","6,587,019","2,959,627","2,051,993","862,732","312,478","312,478","4,000"
16,3/31/2019,"41,099,003","2,226,124","1,583,843","570,589",-,"570,589","1,013,254","642,281","642,281","167,602","474,679",-,"23,396","23,396","6,308,049","1,681,727","4,626,322","10,000","4,616,322","118,128","28,399,799","28,584,710","594,662","17,176,112","506,230","10,307,706","27,990,048","184,911",-,"46,782","46,782","46,782","484,494",-,-,-,-,-,-,-,"1,581,606","1,432,788","148,818","1,910,625","36,252,482","32,462,888","24,499,840","24,499,840","7,963,048","1,085,148","339,360","745,788","100,290","100,290",-,"100,290","140,832","140,832",-,"140,832","429,669","107,123","1,177,926","1,177,926",-,-,"748,606","4,846,521","4,551,090","292,725","95,624","197,101","1,595,568","2,983,948",-,"-321,151",-,"295,431","5,729,016","95,624","4,455,466","2,969,484","5,774,224","2,873,860","1,318,758",-,"315,361","315,361","4,000"
17,12/31/2018,"40,833,117","2,682,936","2,058,902","781,291",-,"781,291","1,277,611","624,034","624,034","237,591","386,443",-,"25,290","25,290","6,084,638","1,448,168","4,636,470","10,000","4,626,470","81,475","28,034,257","28,214,681","679,149","16,514,328","518,370","10,502,834","27,535,532","180,424",-,"38,861","38,861","38,861","494,041","815,845","107,864","461,665","196,469","30,230","19,617","-321,804","1,581,358","1,426,324","155,034","1,810,261","36,056,231","32,682,992","24,541,675","24,541,675","8,141,317","1,019,159","256,567","762,592","9,572","9,572",-,"9,572","114,764","114,764","395,872","114,764","335,380","133,713","1,170,963","1,170,963",-,"46,168","589,688","4,776,886","4,481,455","294,732","95,624","199,108","1,542,408","3,029,425",-,"-385,110",-,"295,431","5,652,418","95,624","4,385,831","2,900,097","5,671,558","2,804,473","1,285,727",-,"318,573","318,573","4,000"
18,9/30/2018,"40,635,924","1,974,891","1,173,732","642,051",-,"642,051","531,681","801,159","801,159","113,722","687,437",-,"28,628","28,628","6,549,374","1,930,991","4,618,383","10,000","4,608,383","54,476","27,889,906","28,075,865","725,651","16,044,145","530,796","10,775,273","27,350,214","185,959",-,"177,802","177,802","177,802","506,453",-,-,-,-,-,-,-,"1,571,317","1,409,822","161,495","1,883,077","35,893,993","31,008,085","22,982,204","22,982,204","8,025,881","1,115,984","437,474","678,510","36,939","36,939",-,"36,939","1,069,912","1,069,912",-,"1,069,912","739,694","170,324","1,200,134","1,200,134",-,-,"552,921","4,741,931","4,446,500","298,088","95,624","202,464","1,484,959","3,101,102",-,"-437,649",-,"295,431","5,646,634","95,624","4,350,876","2,875,183","6,620,922","2,779,559","2,270,046","1,096,314","323,943","323,943","4,000"
19,6/30/2018,"41,076,795","2,227,654","1,353,586","602,952",-,"602,952","750,634","874,068","874,068","91,303","782,765",-,"29,712","29,712","6,383,881","1,649,470","4,734,411","10,000","4,724,411","122,056","28,208,937","28,394,399","692,659","16,438,745","549,112","10,713,883","27,701,740","185,462",-,"68,148","68,148","68,148","525,175",-,-,-,-,-,-,-,"1,577,231","1,409,276","167,955","1,934,001","36,527,046","30,977,867","22,739,977","22,739,977","8,237,890","1,064,807","351,655","713,152","14,739","14,739",-,"14,739","1,836,852","1,836,852",-,"1,836,852","743,721","135,349","1,227,281","1,227,281",-,-,"526,430","4,549,749","4,254,318","298,751","95,624","203,127","1,254,069","3,113,612",-,"-412,114",-,"295,431","5,481,599","95,624","4,254,318","4,254,318","7,222,827","4,254,318","3,064,133","1,710,547","325,003","325,003","4,000"
20,3/31/2018,"40,463,195","1,742,382","769,171","459,820",-,"459,820","309,351","973,211","973,211","62,541","910,670",-,"35,715","35,715","6,595,585","1,759,430","4,836,155","10,000","4,826,155","114,348","27,833,011","28,020,205","770,412","15,828,308","560,810","10,860,675","27,249,793","187,194",-,"94,036","94,036","94,036","531,981",-,-,-,-,-,-,-,"1,572,916","1,398,501","174,415","1,943,221","35,890,667","30,818,951","22,838,105","22,838,105","7,980,846","1,064,868","392,714","672,154","6,167","6,167",-,"6,167","1,332,141","1,332,141",-,"1,332,141","827,362","121,394","1,214,967","1,214,967",-,-,"504,817","4,572,528","4,277,097","300,120","95,624","204,496","1,211,655","3,155,407",-,"-390,085",-,"295,431","5,492,064","95,624","4,181,473","2,704,181","6,728,581","2,608,557","2,547,108","1,777,937","327,194","327,194","4,000"
21,12/31/2017,"41,423,388","2,637,646","1,824,673","639,073",-,"639,073","1,185,600","812,973","812,973","87,364","725,609",-,"43,382","43,382","6,596,600","1,416,345","5,180,255","10,000","5,170,255","81,634","28,168,751","28,358,306","699,377","16,057,273","619,899","10,981,757","27,658,929","189,555",-,"68,693","68,693","68,693","532,251","850,965","104,454","472,619","194,057","26,640","53,195","-318,714","1,571,242","1,386,853","184,389","1,723,189","36,842,900","30,629,196","22,588,889","22,588,889","8,040,307","1,047,588","399,820","647,768","48,996","48,996",-,"48,996","2,626,213","2,626,213",-,"2,626,213","638,515","85,061","1,218,097","1,218,097",100,"46,100","549,234","4,580,488","4,285,057","299,835","95,624","204,211","1,102,888","3,147,613",-,"-265,279",-,"295,431","5,503,154","95,624","4,189,433","2,713,815","8,033,743","2,618,191","3,844,310","2,019,637","326,736","326,736","4,000"
22,9/30/2017,"29,622,636","1,692,081","952,128","347,802",-,"347,802","604,326","739,953","739,953","76,316","663,637",-,"12,522","12,522","5,442,540","1,469,402","3,973,138","10,000","3,963,138","80,976","20,311,004","20,505,871","339,780","12,791,844","350,433","7,023,814","20,166,091","194,867",-,"68,750","68,750","68,750","293,393",-,-,-,-,-,-,-,"279,492","236,335","43,157","1,441,878","26,739,085","22,099,254","15,614,009","15,614,009","6,485,245","809,517","292,650","516,867","44,304","44,304",-,"44,304","1,637,419","1,637,419",-,"1,637,419","579,028","83,146","1,059,507","1,059,507",-,-,"426,910","2,883,551","2,588,120","242,019","95,624","146,395","1,177,126","1,401,359",-,"-232,384",-,"295,431","3,647,627","95,624","2,492,496","2,308,628","5,189,422","2,213,004","2,696,926","1,744,798","234,231","234,231","4,000"
23,6/30/2017,"29,369,956","1,652,746","960,719","387,053",-,"387,053","573,666","692,027","692,027","34,036","657,991",-,"11,901",-,"5,275,483","1,315,891","3,959,592","10,000","3,949,592","91,653","20,224,833","20,422,090","432,771","12,598,219","353,550","7,037,550","19,989,319","197,257",-,"127,724","127,724","127,724","292,463",-,-,-,-,-,-,-,"281,456","236,335","45,121","1,411,697","26,543,068","22,333,349","16,030,764","16,030,764","6,302,585","1,058,576","314,892","743,684","28,571","28,571",-,"28,571","1,044,658","1,044,658",-,"1,044,658","555,793","92,717","1,033,329","1,033,329",-,-,"396,075","2,826,888","2,531,457","241,960","95,624","146,336","1,131,162","1,395,797",-,"-237,462",-,"295,431","3,564,786","95,624","2,435,833","2,250,001","4,513,820","2,154,377","2,077,987","1,117,268","234,135","234,135","4,000"
24,3/31/2017,"29,618,600","3,342,604","2,475,887","369,290",-,"369,290","2,106,597","866,717","866,717","31,495","835,222",-,"15,144",-,"5,120,942","1,167,310","3,953,632","14,354","3,939,278","98,120","18,993,562","19,195,530","105,456","11,703,996","346,721","7,039,357","19,090,074","201,968",-,"168,315","168,315","168,315","290,497",-,-,-,-,-,-,-,"211,156","191,371","19,785","1,378,260","26,878,140","23,479,841","17,124,221","17,124,221","6,355,620","911,159","504,805","406,354","21,116","21,116",-,"21,116","79,454","79,454",-,"79,454","848,190","101,347","1,035,036","1,035,036",-,-,"401,997","2,740,460","2,445,029","241,801","95,624","146,177","1,061,409","1,391,777",-,"-249,958",-,"295,431","3,480,065","95,624","2,349,405","2,233,873","3,463,895","2,138,249","1,114,490",-,"233,883","233,883","4,000"
25,12/31/2016,"28,555,231","2,097,828","1,433,308","373,274",-,"373,274","1,060,034","664,520","664,520","50,838","613,682",-,"16,237",-,"4,854,917","897,071","3,957,846","14,347","3,943,499","121,654","19,498,700","19,700,768","111,248","12,148,087","359,033","7,082,400","19,589,520","202,068",-,"57,411","57,411","57,411","289,385","612,881","63,463","342,027","180,435","26,956",-,"-323,496","212,388","191,371","21,017","1,406,711","25,850,147","22,672,363","16,731,769","16,731,769","5,940,594","867,260","414,207","453,053","21,002","21,002",-,"21,002","83,177","83,177",-,"83,177","561,848","135,897","1,040,656","1,040,656",100,"46,032","467,944","2,705,084","2,409,653","241,639","95,624","146,015","1,029,032","1,386,636",-,"-247,654",-,"295,431","3,450,309","95,624","2,314,029","2,197,265","3,437,862","2,101,641","1,123,833",-,"233,624","233,624","4,000"
26,9/30/2016,"28,449,222","1,377,385","547,473","327,639",-,"327,639","219,834","829,912","829,912","27,097","802,815",-,"18,945",-,"5,362,469","1,320,535","4,041,934","14,340","4,027,594","160,736","19,509,445","19,711,002","155,215","12,118,298","357,423","7,080,066","19,555,787","201,557",-,"91,997","91,997","91,997","279,178",-,-,-,-,-,-,-,"213,688","191,371","22,317","1,435,379","25,704,640","21,574,180","15,683,928","15,683,928","5,890,252","880,282","538,284","341,998","68,897","68,897",-,"68,897","792,736","792,736",-,"792,736","702,226","144,829","1,065,651","1,065,651",-,-,"475,839","2,744,582","2,449,151","241,396","95,624","145,772","992,264","1,376,319",-,"-160,828",-,"295,431","3,514,802","95,624","2,353,527","2,235,463","4,211,914","2,139,839","1,858,387","1,310,914","233,235","233,235","4,000"
27,6/30/2016,"27,541,070","1,527,693","605,391","283,648",-,"283,648","321,743","922,302","922,302","40,570","881,732",-,"20,053",-,"5,186,535","1,162,959","4,023,576","14,333","4,009,243","196,989","18,507,506","18,707,313","117,976","11,179,445","360,687","7,049,205","18,589,337","199,807",-,"219,939","219,939","219,939","279,676",-,-,-,-,-,-,-,"214,923","191,307","23,616","1,387,756","24,849,146","20,630,177","14,945,445","14,945,445","5,684,732","959,798","508,669","451,129","90,400","90,400",-,"90,400","543,033","543,033",-,"543,033","789,540","170,619","1,076,943","1,076,943",-,-,"588,636","2,691,924","2,396,493","240,636","95,624","145,012","945,663","1,362,528",-,"-152,334",-,"295,431","3,473,436","95,624","2,300,869","2,181,570","3,920,845","2,085,946","1,619,976","1,014,585","232,019","232,019","4,000"
28,3/31/2016,"26,963,682","2,034,089","1,232,545","280,625",-,"280,625","951,920","801,544","801,544","34,061","767,483",-,"24,521",-,"5,255,252","1,226,521","4,028,731","14,326","4,014,405","165,007","17,487,230","17,691,264","116,270","10,239,183","354,221","6,981,590","17,574,994","204,034",-,"114,854","114,854","114,854","274,347",-,-,-,-,-,-,-,"216,222","191,307","24,915","1,392,160","24,320,734","20,327,834","14,610,639","14,610,639","5,717,195","1,013,630","588,413","425,217","56,399","56,399",-,"56,399","96,723","96,723",-,"96,723","738,653","146,297","1,323,749","1,323,749",-,-,"617,449","2,642,948","2,347,517","240,966","95,624","145,342","905,595","1,371,397",-,"-170,441",-,"295,431","3,671,266","95,624","2,251,893","2,131,295","3,672,365","2,035,671","1,420,472","187,927","232,547","232,547","4,000"
29,12/31/2015,"26,195,136","1,633,899","903,647","300,811",-,"300,811","602,836","730,252","730,252","114,479","615,773",-,"33,063",-,"4,825,616","881,450","3,944,166","14,320","3,929,846","104,365","17,602,602","17,812,844","126,342","10,436,390",-,"7,250,112","17,686,502","210,242",-,"63,660","63,660","63,660","275,619","636,581","67,442","343,797","194,072","31,270",-,"-360,962","217,522","191,307","26,215","1,438,790","23,555,550","19,967,478","14,431,593","14,431,593","5,535,885","802,299","464,166","338,133","23,072","23,072",-,"23,072","137,861","137,861",-,"137,861","566,019","108,339","1,315,176","1,315,176",-,"45,964","635,306","2,639,586","2,344,155","244,741","95,624","149,117","874,303","1,439,303",-,"-214,192",-,"295,431","3,659,331","95,624","2,248,531","2,126,633","3,701,568","2,031,009","1,453,037","549,390","238,587","238,587","4,000"
30,9/30/2015,"25,384,109","1,710,567","853,031","256,342",-,"256,342","596,689","857,536","857,536","64,438","793,098",-,"35,332",-,"4,907,134","1,229,180","3,677,954","4,313","3,673,641","152,548","16,638,986","16,849,800","124,308","9,610,295","349,324","6,765,873","16,725,492","210,814",-,"83,547","83,547","83,547","269,332",-,-,-,-,-,-,-,"171,556","145,932","25,624","1,415,107","22,795,491","18,865,220","13,473,835","13,473,835","5,391,385","853,321","520,992","332,329","95,346","95,346",-,"95,346","99,887","99,887",-,"99,887","788,563","140,965","1,341,186","1,341,186",-,-,"611,003","2,588,618","2,293,187","242,022","95,624","146,398","850,110","1,377,731",-,"-176,676",-,"295,431","3,634,373","95,624","2,197,563","2,121,631","3,638,636","2,026,007","1,441,073","588,042","234,237","234,237","4,000"
