,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Sale of Business,Gain Loss On Sale of PPE,Gain Loss On Investment Securities,Pension And Employee Benefit Expense,Realized Gain Loss On Sale of Loans And Lease,Depreciation Amortization Depletion,Depreciation & amortization,Depreciation,Amortization,Amortization of Intangibles,Deferred Tax,Deferred Income Tax,Other non-cash items,Asset Impairment Charge,Stock based compensation,Excess Tax Benefit from Stock Based Compensation,Provision for Loan Lease And Other Losses,Unrealized Gain Loss On Investment Securities,Change in working capital,Change in Receivables,Changes in Account Receivables,Change in Payables And Accrued Expense,Change in Payable,Change in Tax Payable,Change in Income Tax Payable,Change in Account Payable,Change in Loans,Change in Other Current Assets,Change in Other Current Liabilities,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Proceeds Payment in Interest Bearing Deposits in Bank,Decrease in Interest Bearing Depositsin Bank,Increase in Interest Bearing Depositsin Bank,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Investment Properties Purchase And Sale,Sale of Investment Properties,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Purchase of PPE,Sale of PPE,Net Business Purchase And Sale,Purchase of Business,Sale of Business,Interest Received CFI,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Cash Dividends Paid,Common Stock Dividend Paid,Preferred Stock Dividend Paid,Proceeds from Stock Option Exercised,Net Other Financing Charges,Other Cash Adjustment Inside Change in Cash,End Cash Position,Changes in Cash,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
0,ttm,"2,311,000","2,311,000","912,000","-53,000","-22,000","-13,000","-18,000",-,-,"99,000","99,000","59,000","40,000","40,000","91,000","91,000","-1,552,000",-,"75,000",-,"95,000",-,"2,644,000",-,-,-,-,-,-,"23,827",-,-,-,"2,644,000","8,313,000","8,313,000","13,523,000",-,-,"-2,073,000","-3,479,000","1,406,000",-,-,"-3,224,000",-,"-3,224,000","-10,000","-28,000","18,000",0,-,-,-,"97,000","-10,869,000","-10,869,000","386,000","4,000","4,000",-,"382,000","382,000",-,"-12,000","-12,000","494,000","494,000","-356,000","-324,000","-32,000","36,000","-11,000",-,"1,543,000","-245,000","1,788,000",-,"20,000","280,000","-28,000","494,000","386,000",-,"-12,000","2,283,000"
1,3/31/2023,"-69,000","-69,000","255,000",-,-,-,0,-,-,"30,000","30,000","14,000","16,000","16,000","6,000","6,000","-541,000",-,"22,000",-,"50,000",-,"109,000",-,-,-,-,-,-,-,-,-,-,"109,000","-2,022,000","-2,022,000","-1,103,000",-,-,"33,000","-221,000","254,000",-,-,"-949,000",-,-,"-5,000","-5,000",0,-,-,-,-,"2,000","1,844,000","1,844,000","3,987,000","8,000",-,-,"3,979,000",-,-,"-4,000","-4,000",0,0,"-91,000","-83,000","-8,000","5,000","-4,000",-,"1,296,000","-247,000","1,543,000",-,"3,000","200,000","-5,000",0,-,-,"-4,000","-74,000"
2,12/31/2022,"25,000","25,000","270,000","-1,000","-1,000",0,0,-,-,"18,000","18,000","14,000","4,000","4,000","-76,000","-76,000","-347,000",-,"22,000",-,"45,000",-,"94,000",-,-,-,-,-,-,-,-,-,-,"94,000","1,158,000","1,158,000","1,857,000",-,-,"-24,000","-310,000","286,000",-,-,"-753,000",-,-,"-5,000","-6,000","1,000",-,-,-,-,"83,000","-1,523,000","-1,523,000","1,088,000","-1,000",-,-,"1,089,000",-,-,0,0,0,0,"-89,000","-81,000","-8,000","6,000","-2,000",-,"1,543,000","-340,000","1,883,000",-,"9,000","153,000","-6,000",0,-,-,0,"19,000"
3,9/30/2022,"768,000","768,000","268,000","-45,000",-,"-12,000","-12,000",-,-,"40,000","40,000","15,000","25,000","25,000","10,000","10,000","-235,000",-,"21,000",-,"60,000",-,"649,000",-,-,-,-,-,-,-,-,-,-,"649,000","4,435,000","4,435,000","6,234,000",-,-,"-971,000","-1,306,000","335,000",-,-,"-831,000",-,-,"-1,000","-3,000","2,000",-,-,-,-,"4,000","-5,165,000","-5,165,000","-540,000","-4,000",-,-,"-536,000",-,-,"-2,000","-2,000",0,0,"-89,000","-81,000","-8,000","4,000","-3,000",-,"1,883,000","38,000","1,845,000",-,"1,000","56,000","-3,000",0,-,-,"-2,000","765,000"
4,6/30/2022,"824,000","824,000","176,000","-1,000",-,"-1,000",0,-,-,"23,000","23,000","15,000","8,000","8,000","119,000","119,000","-533,000",-,"18,000",-,"30,000",-,"992,000",-,-,-,-,-,-,-,-,-,-,"992,000","2,566,000","2,566,000","4,073,000",-,-,"-5,000","-371,000","366,000",-,-,"-1,506,000",-,-,"2,000","-9,000","11,000",-,-,-,-,"2,000","-3,410,000","-3,410,000","242,000","8,000",-,-,"234,000",-,-,"-8,000","-8,000",0,0,"-88,000","-80,000","-8,000","11,000","-3,000",-,"1,845,000","-20,000","1,865,000",-,"8,000","52,000","-9,000",0,-,-,"-8,000","815,000"
5,3/31/2022,"694,000","694,000","198,000","-6,000",-,0,"-6,000",-,-,"18,000","18,000","15,000","3,000","3,000","38,000","38,000","-437,000",-,"14,000",-,"-40,000",-,"909,000",-,-,-,-,-,-,-,-,-,-,"909,000","154,000","154,000","1,359,000",-,-,"-1,073,000","-1,492,000","419,000",-,-,"-134,000",-,-,"-6,000","-10,000","4,000",-,-,-,-,"8,000","-771,000","-771,000","-404,000","1,000",-,-,"-405,000",-,-,"-2,000","-2,000","494,000","494,000","-90,000","-82,000","-8,000","15,000","-3,000",-,"1,865,000","77,000","1,788,000",-,"2,000","19,000","-10,000","494,000",-,-,"-2,000","684,000"
6,12/31/2021,"173,000","173,000","229,000","-1,000",-,"-3,000","-1,000",-,-,"12,000","12,000","15,000","-3,000","-3,000","28,000","28,000","-1,969,000",-,"12,000",-,"-65,000",-,"1,927,000",-,-,-,-,-,-,-,-,-,-,"1,927,000","-144,000","-144,000","-78,000",-,-,"-711,000","-1,809,000","1,098,000",-,-,"618,000",-,-,"13,000","-7,000","20,000",0,-,-,-,"14,000","201,000","201,000","-98,000","4,000",-,-,"-102,000",-,-,"-144,000","-144,000",0,0,"-90,000","-81,000","-9,000","3,000","-102,000",-,"1,788,000","230,000","1,558,000",-,"4,000","42,000","-7,000",0,-,-,"-144,000","166,000"
7,9/30/2021,"-447,000","-447,000","235,000","21,000",-,"-1,000","-1,000",-,-,"11,000","11,000","15,000","-4,000","-4,000","-51,000","-51,000","-644,000",-,"10,000",-,"-85,000",-,"56,000",-,-,-,-,-,-,-,-,-,-,"56,000","-527,000","-527,000","-1,378,000",-,-,"-450,000","-1,000,000","550,000",-,-,"1,290,000",-,-,"-2,000","-20,000","18,000",-,-,-,-,"13,000","607,000","607,000","-134,000","-113,000","-1,000",-,"-21,000",-,-,"-146,000","-146,000",0,0,"-93,000","-85,000","-8,000",0,"-3,000",-,"1,558,000","-367,000","1,925,000",-,"81,000","30,000","-20,000",0,"-1,000",-,"-146,000","-467,000"
8,6/30/2021,"-49,000","-49,000","310,000","-12,000",-,"-1,000",-,-,-,"11,000","11,000","15,000","-4,000","-4,000","26,000","26,000","-211,000",-,"11,000",-,"-115,000",-,"-69,000",-,-,-,-,-,-,-,-,-,-,"-69,000","126,000","126,000","-1,816,000",-,-,"9,000","-582,000","591,000",-,-,"1,939,000",-,-,"-13,000","-16,000","3,000",-,-,-,-,"7,000","159,000","159,000","45,000","1,000",-,-,"44,000",-,-,"-64,000","-64,000",-,-,"-91,000","-83,000","-8,000","13,000","-3,000",-,"1,925,000","236,000","1,689,000",-,"171,000","59,000","-16,000",-,"-3,000",-,"-64,000","-65,000"
9,3/31/2021,"1,064,000","1,064,000","236,000","34,000",-,"34,000",-,-,-,"16,000","16,000","16,000",0,0,"-3,000","-3,000","494,000",-,"10,000",-,"-45,000",-,"322,000",-,-,-,-,-,-,-,-,-,-,"322,000","-4,072,000","-4,072,000","-3,284,000",-,"-3,284,000","-448,000","-1,065,000","617,000",-,-,"-338,000",-,"-338,000","-9,000","-10,000","1,000",-,-,-,-,"7,000","3,049,000","3,049,000","4,000",0,-,-,"4,000","4,000",-,"-62,000","-62,000",-,-,"-92,000","-84,000","-8,000","12,000","-3,000",-,"1,689,000","41,000","1,648,000",-,"2,000","39,000","-10,000",-,"4,000",-,"-62,000","1,054,000"
10,12/31/2020,"444,897","444,897","244,825","4,168",-,806,"3,362",-,"-38,219","18,009","18,009","15,182","2,827","2,827","64,444","64,444",996,-,"9,413",-,612,-,"102,430",-,-,-,-,-,-,-,-,-,-,"102,430","-1,518,362","-1,518,362","-3,174,046",-,-,"-88,366","-1,573,926","1,485,560",-,-,"1,490,625",0,"1,490,625","-19,356","-22,707","3,351","265,454",-,-,-,"7,327","1,053,245","1,053,245","-436,657","-492,985","7,466","-500,451","56,328",-,-,"1,049","1,049",-665,-665,"-91,809","-83,058","-8,751","2,855","-3,414",-,"1,648,000","-20,220","1,668,113",-,"15,377","79,546","-22,707",-665,"7,466","-500,451","1,049","422,190"
11,9/30/2020,"230,058","230,058","539,038","6,431",-,"5,378","1,170",-,"-49,400","4,521","4,521","15,778","-11,257","-11,257","-43,916","-43,916","-284,335",-,"11,588",-,"247,388",-,"-248,129",-,-,-,-,-,-,-,-,-,-,"-517,482","1,777,619","1,777,619","-359,515",-,-,"994,299","-1,667,762","2,662,061",-,-,"-660,778",0,"-660,778","-8,175","-14,442","6,267",-,-,-,-,"6,372","-1,359,111","-1,359,111","-1,528,777","-1,070,066",0,"-1,070,066","-458,711",-,-,"-6,614","-6,614",0,0,"-52,166","-47,017","-5,149",0,"-2,852",-,"1,668,113","648,566","1,019,547",-,"83,137","56,086","-14,442",0,0,"-1,070,066","-6,614","215,616"
12,6/30/2020,"897,050","897,050","56,665","3,036",-,"1,358","1,493",-,"7,748","19,982","19,982","10,524","9,458","9,458","-19,928","-19,928","-364,115",-,"3,718",-,"110,000","1,233","1,086,459","29,286","-5,828","-67,507","-67,507",-,-,-968,-,"346,017","76,041","702,622","-2,744,314","-2,744,314","-2,465,319",-,-,"-937,092","-1,284,362","347,270",-,-,"663,576",-,"663,576","-13,051","-13,248",197,-,-,-,66,"7,506","1,736,762","1,736,762","-1,693,877","1,239,707",-,"-1,827","-2,933,584",-,-,"-1,479","-1,479",-,-,"-49,398","-47,848","-1,550",1,"-2,851",-,"1,019,547","-110,502","1,130,049",-,"1,246","41,502","-13,248",-,-,"-1,827","-1,479","883,802"
13,3/31/2020,"-1,400,005","-1,400,005","16,472",365,-,458,-25,-,"-1,129","19,488","19,488","10,516","8,972","8,972","-18,600","-18,600","-407,546",-,"7,281",-,"145,000","1,295","-1,163,760","-141,544","-1,089","32,857","32,857",-,-,"-8,882",-,"-477,645","-66,858","-510,570","-2,481,943","-2,481,943","-188,120",-,-,"19,159","-213,950","233,109","3,185","3,185","-2,312,423",-,"-2,312,423","-5,418","-7,603","2,185",-,-,-,64,"4,795","3,745,104","3,745,104","1,803,311","-3,656",-,"-3,656","1,806,967",-,-,"-3,956","-3,956",-,-,"-45,627","-44,077","-1,550","4,144","-2,883",-,"1,130,049","-136,844","1,266,893",-,"5,240","83,866","-7,603",-,-,"-3,656","-3,956","-1,407,608"
14,12/31/2019,"113,722","113,722","121,283","2,345",-,"1,719",3,0,0,"11,837","11,837","10,643","1,194","1,194","-54,745","-54,745","-366,849",-,"6,252",-,"10,000","1,905","381,694","171,053","1,435","-32,903","-32,903",-,-,"-15,596",-,"-76,632","138,937","181,239","55,404","55,404","-117,993",-,-,"-30,266","-272,467","242,201","4,342","4,342","209,586",0,"209,586","-14,702","-20,390","5,688",0,0,-,115,"8,664","-397,913","-397,913","-834,806","-404,918","-1,937","-402,981","-429,888",-,-,-772,-772,-,-,"-36,616","-43,621","7,005",872,-,-,"1,266,893","-228,787","1,495,680",-,"37,694","107,703","-20,390",-,"-1,937","-402,981",-772,"93,332"
15,9/30/2019,"369,286","369,286","113,943",912,-,"1,271",-97,-,0,"20,958","20,958","10,578","10,380","10,380","8,159","8,159","-294,697",-,"5,822",-,"15,000","1,421","497,768","-52,927","9,231","3,973","3,973",-,-,"3,500",-,"-47,650","1,541","592,831","-1,346,683","-1,346,683","228,768",-,-,"27,681","-212,648","240,329","1,831","1,831","-1,596,110",0,"-1,596,110","-10,069","-16,282","6,213",0,0,-,76,"2,971","1,223,372","1,223,372","1,658,230","5,690","7,091","-1,401","1,652,540",-,-,"-28,383","-28,383",-,-,"-48,146","-43,744","-4,402","5,329",-,-,"1,495,680","245,975","1,249,705",-,"17,969","102,555","-16,282",-,"7,091","-1,401","-28,383","353,004"
16,6/30/2019,"224,797","224,797","113,742","18,056",-,"19,224",-49,-,"15,742","13,570","13,570","11,164","2,406","2,406","53,705","53,705","-256,576",-,"5,224",-,"13,000",141,"263,935","-100,942",-150,"-38,056","-38,056",-,-,"-4,135",-,"-49,590","2,353","450,170","-1,005,833","-1,005,833","420,074",-,-,"279,202","-61,022","340,224","5,860","5,860","-1,715,441","468,421",-,"-1,415","-5,492","4,077",0,0,-,150,"11,597","817,871","817,871","1,071,042","1,360","1,361",-1,"1,069,682",-,-,"-52,222","-52,222",-,-,"-52,205","-44,952","-7,253","2,944",-,-,"1,249,705","36,835","1,212,870",-,"13,834","111,851","-5,492",-,"-90,696",-1,"-52,222","219,305"
17,3/31/2019,"122,489","122,489","103,405",-363,-,-42,-31,-,"19,291","18,874","18,874","11,400","7,474","7,474","7,238","7,238","-359,674",-,"5,432",-,"9,000","1,258","337,319","-13,891","-5,970","107,288","107,288",-,-,"16,570",-,"56,984","-47,631","234,569","-92,730","-92,730","264,357",-,-,"87,002","-83,512","170,514","3,791","3,791","-448,321","-448,321",-,"-2,915","-6,995","4,080",0,0,-,148,"6,999","-222,214","-222,214","93,998","1,941","3,120","-1,179","92,057","92,057",-,"-53,436","-53,436",-,-,"-40,309","-38,759","-1,550",520,"-2,883",-,"1,212,870","-192,455","1,405,325",-,"1,008","88,774","-6,995",-,"95,177","-1,179","-53,436","115,494"
18,12/31/2018,"365,150","365,150","100,805","-8,156",-,"1,149",28,-,"-7,554","14,022","14,022","11,532","2,490","2,490","-2,757","-2,757","-442,527",-,"5,706",-,"6,000","1,238","690,819","137,621","-1,320","-28,812","-28,812",-,-,"-1,445",-,"39,649","26,737","515,624","-865,195","-865,195","-745,930",-,-,"9,420","-110,990","120,410","5,496","5,496","-128,157","-128,157",-,"-7,388","-15,058","7,670",-6,-6,-,69,"6,797","462,160","462,160","-1,088,602","-36,629","14,831","-51,460","-1,051,973",-,"-1,051,973","-80,771","-80,771",-,-,"-31,948","-38,953","7,005",39,-,-,"1,405,325","-37,885","1,443,210",-,"30,038","99,418","-15,058",-,"14,831","-1,103,433","-80,771","350,092"
19,9/30/2018,"-174,728","-174,728","274,716","-209,289",-,-855,"-212,859",-,"25,651","17,353","17,353","11,939","5,414","5,414","68,284","68,284","-352,526",-,"6,012",-,"2,000",456,"18,266","-113,985","-4,331","35,037","35,037",-,-,"12,837",-,"-38,075","13,511","121,778","916,713","916,713","218,953",-,-,"375,115","-107,223","482,338","7,815","7,815","302,387","302,387",-,"8,350","-7,878","16,228",0,0,-,164,"11,744","-775,795","-775,795","-743,426","-27,663","-15,319","-12,344","-715,763",-,"-715,763","-19,207","-19,207",-,-,"-49,106","-39,001","-10,105",23,-,-,"1,443,210","-33,810","1,477,020",-,282,"74,369","-7,878",-,"-15,319","-728,107","-19,207","-182,606"
20,6/30/2018,"248,261","248,261","85,992","1,508",-,"1,588",-31,-,"-11,770","10,911","10,911","11,783",-872,-872,"17,721","17,721","-197,707",-,"5,547",-,0,296,"323,993","19,157","-6,731","2,315","2,315",-,-,"-6,257",-,"-13,092","22,121","293,492","-839,784","-839,784","-441,283",-,-,"72,790","-95,041","167,831","6,986","6,986","-436,639","-436,639",-,"-3,083","-7,030","3,947","-46,017","-46,017",-,326,"14,122","635,512","635,512","522,860","18,210","20,806","-2,596","504,650",-,"504,650","-2,588","-2,588",-,-,"-40,949","-39,399","-1,550",93,"-2,820",-,"1,477,020","43,989","1,433,031",-,"8,431","-1,102,216","-7,030",-,"20,806","502,054","-2,588","241,231"
21,3/31/2018,"-204,378","-204,378","94,994","-3,072",-,"-3,202",-86,-,"3,651","16,839","16,839","11,978","4,861","4,861","20,309","20,309","-418,204",-,"5,906",-,"-1,000","-1,592","81,442","-28,333","-2,990","-32,799","-32,799",-,-,"10,030",-,"44,468","-66,349","164,455","1,268,638","1,268,638","876,249",-,-,"5,953","-159,951","165,904","10,527","10,527","418,174","418,174",-,"-15,401","-18,020","2,619","-27,599","-27,599",-,241,"11,021","-1,083,275","-1,083,275","-1,288,092","-2,466",159,"-2,625","-1,285,626",0,"-1,285,626","-2,202","-2,202",-,-,"-22,903","-21,353","-1,550","4,327","-2,883",-,"1,433,031","-19,015","1,452,046",-,"4,066","1,236,007","-18,020",-,159,"-1,288,251","-2,202","-222,398"
22,12/31/2017,"288,065","288,065","-48,381","1,328",-,"6,670",-137,"-5,100","-9,109","17,791","17,791","9,651","8,140","8,140","121,548","121,548","-198,106",-,"5,656",-,"3,000",-914,"386,143","-27,124","-27,181","1,757","1,757",-,-,"-2,935",-,"292,282","18,893","100,335","-1,069,657","-1,069,657","-581,274",-,-,"-36,385","-1,132,861","1,096,476","4,233","4,233","-221,973","-221,973",-,"-21,812","-22,651",839,"-212,663",-,-,217,"4,233","1,145,883","1,145,883","795,245","-23,399","-21,271","-2,128","818,644","818,644",-,-269,-269,-,-,"-22,604","-21,054","-1,550",959,"-2,911",-,"1,452,046","364,291","1,087,755",-,"16,266","47,968","-22,651",-,"797,373","-2,128",-269,"265,414"
23,9/30/2017,"135,025","135,025","71,769","14,245",-,58,-6,-,-292,"19,032","19,032","8,435","10,597","10,597","16,315","16,315","96,259",-,"5,131",-,0,-,"-87,619","54,246","-4,728","23,299","23,299",-,-,"7,566",-,"-50,549","16,899","-131,514","-225,065","-225,065","-30,660",-,-,"-5,081","-160,359","155,278",-,-,"-182,047","-182,047",-,"-9,423","-9,897",474,0,-,-,251,"1,895","98,715","98,715","356,071","12,369",-,"-138,046","343,702","343,702",-,-332,-332,-,-,"-22,591","-21,041","-1,550","2,350","-2,851",-,"1,087,755","8,675","1,079,080",-,"16,346","30,497","-9,897",-,"494,117","-138,046",-332,"125,128"
24,6/30/2017,"-369,250","-369,250","95,204",-488,-,-107,-405,-,"3,586","18,511","18,511","8,466","10,045","10,045","-23,782","-23,782","-111,448",-,"4,811",-,"-2,000",-,"-350,058","37,093","-3,498","-95,091","-95,091",-,-,"-6,057",-,"-15,549","22,345","-298,856","512,942","512,942","1,537,063",-,-,"7,774","-125,354","133,128",-,-,"-904,175","-904,175",-,"-9,095","-11,180","2,085",-,-,-,141,"5,205","-300,619","-300,619","873,584","-3,933",-,"-3,933","877,517","877,517",-,"-2,937","-2,937",-,-,"-22,894","-21,344","-1,550",778,"-2,820",-,"1,079,080","-156,927","1,236,007",-,"20,854","40,430","-11,180",-,"877,517","-3,933","-2,937","-380,430"
25,3/31/2017,"-71,198","-71,198","58,388",148,-,36,-44,-,-809,"15,590","15,590","8,151","7,439","7,439","6,920","6,920","5,260",-,"5,029",-,"-1,000",-,"-161,533","-109,849","1,055","7,474","7,474",-,-,"7,360",-,"16,873","-75,014","-1,017","-554,262","-554,262","-1,046,563",-,-,-586,"-135,676","135,090",-,-,"499,796","499,796",-,"-9,300","-9,318",18,-,-,-,256,"2,135","823,673","823,673","36,870","-3,306",-,"-3,306","40,176","40,176",-,"-2,016","-2,016",-,-,"-18,015","-16,465","-1,550","2,045","-2,852",-,"1,236,007","198,213","1,037,794",-,951,"21,478","-9,318",-,"40,176","-3,306","-2,016","-80,516"
26,12/31/2016,"440,695","440,695","57,723",-493,-,928,132,0,"-1,033","17,207","17,207","8,355","8,852","8,852","11,504","11,504","32,300",-,"5,158","-2,242",0,-,"319,538","38,227","3,641","-52,935","-52,935",-,-,"-5,040",-,"62,664","-11,751","283,333","-917,883","-917,883","-840,200",-,-,"-29,173","-682,696","653,523",-,-,"-56,464","-56,464",-,"-19,490","-21,250","1,760",-,-,-,309,-,"357,431","357,431","-725,509","-2,928",0,"-2,928","-722,581",-,-,-595,-595,-,-,"-17,910","-16,360","-1,550","3,769",-669,-,"1,037,794","-119,757","1,157,551",-,29,"29,119","-21,250",-,"10,277","-735,786",-595,"419,445"
27,9/30/2016,"-238,281","-238,281","67,635","-165,725",-,"-1,636",200,-,"1,227","18,109","18,109","7,996","10,113","10,113","33,734","33,734","-37,824",-,"4,582",143,"4,000",-,"-162,935","119,177","-8,765","-15,973","-15,973",-,-,"5,530",-,"-33,296","11,627","-244,470","-909,982","-909,982","101,909",-,-,"-34,813","-245,624","210,811",-,-,"-970,004","-970,004",-,"-7,420","-14,270","6,850",-,-,-,346,-,"1,099,864","1,099,864","165,626","-4,561",-,"-4,661","170,187",-,-,"-7,103","-7,103",-,-,"-17,734","-16,184","-1,550","17,903","-2,994",-,"1,157,551","-48,399","1,205,950",-,246,"15,982","-14,270",-,"-562,571","728,197","-7,103","-252,551"
28,6/30/2016,"89,722","89,722","60,940",686,-,471,-99,-,-258,"15,205","15,205","7,914","7,291","7,291","30,073","30,073","-7,079",-,"3,855",469,"4,000",-,"-18,427","-89,982","15,103","18,770","18,770",-,-,"-15,231",-,"-55,782","-6,480","115,047","-372,428","-372,428","630,177",-,-,"27,854","-152,526","180,380",-,-,"-1,017,032","-1,017,032",-,"-13,714","-15,144","1,430",-,-,-,287,-,"406,487","406,487","138,695","-253,783",-,"-253,783","392,478","392,478",-,"-13,935","-13,935",-,-,"-18,163","-16,613","-1,550",650,"-3,321",-,"1,205,950","123,781","1,082,169",-,"10,717","36,132","-15,144",-,"392,478","-253,783","-13,935","74,578"
29,3/31/2016,"-111,018","-111,018","52,213","2,646",-,"3,684","-1,574",-,-91,"14,152","14,152","8,122","6,030","6,030","4,293","4,293","9,697",-,"3,941",17,"3,000",-,"-200,977","-59,546","-8,352","43,533","43,533",-,-,"10,206",-,"19,223","-29,942","-174,245","-268,259","-268,259","-349,084",-,-,"-22,602","-159,066","136,464",-,-,"112,474","112,474",-,"-10,534","-11,890","1,356",-,-,-,"1,487",-,"430,383","430,383","164,038","-6,155",-,"-6,155","170,193","170,193",-,"-75,763","-75,763",-,-,"-15,897","-14,347","-1,550",157,"-2,837",-,"1,082,169","51,106","1,031,063",-,617,"11,223","-11,890",-,"170,193","-6,155","-75,763","-122,908"
30,12/31/2015,"154,532","154,532","51,429","1,979",-,"2,915","-1,439",-,-583,"17,888","17,888","8,593","9,295","9,295","5,194","5,194","2,141",-,"3,844",100,"1,000",-,"70,957","23,346","3,459","-82,761","-82,761",-,-,"-10,487",-,"7,368","-1,054","124,058","-941,815","-941,815","-6,147",-,-,"-239,519","-456,683","217,164",-,-,"-677,154","-677,154",-,"-14,228","-15,002",774,-,-,-,320,-,"704,468","704,468","-23,171","-10,123","497,040","-507,163","-13,048",-,"-13,048","-12,596","-12,596",-,-,"-15,519","-13,969","-1,550",359,"-3,104",-,"1,031,063","-82,815","1,113,878",-,94,"31,113","-15,002",-,"497,040","-520,211","-12,596","139,530"
31,9/30/2015,"101,539","101,539","63,332","-4,332",-,411,345,-,-36,"10,299","10,299","8,958","1,341","1,341","20,594","20,594","-148,669",-,"3,478",-547,"1,000",-,"156,384","-1,088","-8,610","50,021","50,021",-,-,"8,976",-,"-38,950","191,686","-45,285","-58,671","-58,671","-251,745",-,-,"-2,572","-181,794","179,222",-,-,"204,440","204,440",-,"-9,194","-9,194",0,-,-,-,400,-,"-97,276","-97,276","-272,501","-206,737",0,"-206,737","-65,764",-,"-65,764",-21,-21,-,-,"-15,508","-13,958","-1,550","2,145","-2,305",-,"1,113,878","-54,408","1,168,286",-,37,"10,875","-9,194",-,0,"-272,501",-21,"92,345"
32,6/30/2015,"252,678","252,678","54,957","-1,583",-,"-2,859",-8,-,-,"17,500","17,500","9,085","8,415","8,415","23,662","23,662","14,089",-,"3,450",113,"2,000",-,"138,490","114,963","15,370","-52,238","-52,238",-,-,"-15,363",-,"-29,285","-204,205","316,582","-99,893","-99,893","93,689",-,-,"-11,718","-196,183","184,465",-,-,"-214,172","-214,172",-,"31,822","-5,698","37,520",-,-,-,486,-,"-141,892","-141,892","-157,396","-4,974",0,"-4,974","-152,422",-,"-152,422","-3,264","-3,264",-,-,"-15,821","-14,271","-1,550","1,375","-2,871",-,"1,168,286","10,893","1,157,393",-,"4,305","35,516","-5,698",-,0,"-157,396","-3,264","246,980"
33,3/31/2015,"-141,586","-141,586","-72,405",87,-,-13,-276,-,-,"15,056","15,056","9,144","5,912","5,912","-25,254","-25,254","162,500",-,"3,024",-22,"5,000",-,"-229,572","-153,589","-5,415","80,769","80,769",-,-,"7,750","7,327","-19,442","-25,580","-119,057","580,365","580,365","1,183,334",-,-,"-88,400","-231,534","143,134",-,-,"-507,890","-507,890",-,"-7,204","-10,053","2,849",-,-,-,525,-,"-352,791","-352,791","-892,924","-307,834",0,"-307,834","-585,090",-,"-585,090","-16,767","-16,767",-,-,"-13,299","-11,749","-1,550","3,340","-2,923",-,"1,157,393","85,988","1,071,405",-,"10,554","13,218","-10,053",-,0,"-892,924","-16,767","-151,639"
34,12/31/2014,"119,159","119,159","50,891",-34,0,"-1,350",0,-,-,"14,572","14,572","8,924","5,648","5,648","7,524","7,524",17,-,"2,996",-553,"6,000",-,"37,746","159,477","4,458","-318,805","-318,805",-,-,"-7,002","10,630","-30,869","14,835","202,478","-1,357,452","-1,357,452","-1,346,482",-,-,-693,"-131,036","130,343",-,-,"-416,884","-416,884",-,"-7,261","-9,485","2,224","413,352",-,"413,352",516,-,"1,399,967","1,399,967","165,095","606,234","397,893","208,341","-441,139",-,-,"-14,676","-14,676",0,0,"-13,257","-11,707","-1,550",920,"-227,532",-,"1,071,405","161,674","909,731",-,"132,319","133,936","-9,485",0,"487,809","-322,714","-14,676","109,674"
35,9/30/2014,"200,064","200,064","49,749","2,863",0,"1,142",862,-,-,"14,340","14,340","8,775","5,565","5,565","-8,040","-8,040","-7,529",-,"2,668","6,068","6,000",-,"133,945","-27,906","-4,623","242,427","242,427",-,-,"7,766","207,030","-3,450","75,630","-359,786","-22,285","-22,285","-19,565",-,-,"19,447","-170,904","190,351",-,-,"-17,437","-17,437",-,"-5,217","-6,468","1,251",0,0,0,487,-,"-361,170","-361,170","-302,166","-3,063",0,"-3,063","-299,103",-,-,"-24,032","-24,032",0,0,"-13,331","-11,781","-1,550",320,"-8,912",-,"909,731","-183,391","1,093,122",-,"-86,490","-94,411","-6,468",0,"-830,158","527,992","-24,032","193,596"
36,6/30/2014,"52,359","52,359","81,180","5,220",0,"1,364","1,923",-,-,"13,907","13,907","8,953","4,954","4,954","5,015","5,015",293,-,"2,927","1,472","5,000",-,"-62,655","-117,264","5,878","45,763","45,763",-,-,"-10,026","2,414","78,760","-156,602","84,274","-238,106","-238,106","429,620",-,-,"23,408","-103,279","126,687",-,-,"-679,738","-679,738",-,"-11,667","-11,699",-,0,-,0,271,-,"206,768","206,768","742,966","-2,277","1,849","-4,126","745,243","745,243",-,"-2,520","-2,520",0,0,"-13,533","-11,983","-1,550",395,"-4,284",-,"1,093,122","21,021","1,072,101",-,-,-,"-11,699",0,"747,092","-4,126","-2,520","40,660"
