,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Interest Bearing Deposits Assets,Restricted Cash And Investments,Restricted Cash & Cash Equivalents,Restricted Investments,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Security Agree to be Resold,Security Borrowed,Customer Acceptances,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Net PPE,Gross PPE,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Financial Instruments Sold Under Agreements To Repurchase,Securities Loaned,Payables And Accrued Expenses,Payables,Accounts Payable,Total Tax Payable,Income Tax Payable,Other Payable,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Commercial Paper,Other Current Borrowings,Trading Liabilities,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Capital Lease Obligation,Preferred Securities Outside Stock Equity,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Foreign Currency Translation Adjustments,Other Equity Adjustments,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
90,8/31/2000,"404,123,000","41,729,000","17,255,000",-,-,"17,255,000",-,-,-,-,"24,474,000","24,474,000",-,-,"27,866,000","289,441,000",-,"289,441,000",-,-,-,-,"19,041,000","19,817,000",-,-,-,-,"19,817,000","776,000","11,618,000",-,-,-,"2,296,000",-,-,-,-,-,-,"12,132,000","385,069,000","11,454,000","11,454,000","11,454,000",-,"167,102,000",-,-,"78,803,000","78,803,000",-,-,-,-,-,"22,783,000","22,783,000",-,"22,783,000",-,-,"42,833,000","42,833,000",-,-,"62,094,000","19,054,000","18,654,000","557,000","545,000","12,000","19,826,000","3,296,000","4,863,000","-162,000",-,-,-,"400,000","61,487,000","545,000","18,109,000",-,"18,654,000","83,725,000","18,109,000","65,616,000","48,361,000","1,121,598","1,121,598",-,-
91,5/31/2000,"417,586,000","115,624,000","15,956,000",-,-,"15,956,000",-,-,-,-,"99,668,000","99,668,000",-,-,"29,602,000","227,442,000",-,"227,442,000",-,-,-,-,"21,733,000","22,506,000",-,-,-,-,"22,506,000","773,000","9,435,000",-,-,-,"2,158,000",-,-,-,-,-,-,"11,592,000","399,076,000","11,089,000","11,089,000","11,089,000",-,"162,505,000",-,-,"79,513,000","79,513,000",-,-,-,-,-,"39,876,000","39,876,000",-,"39,876,000",-,-,"37,355,000","37,355,000",-,-,"68,738,000","18,510,000","18,110,000","557,000","545,000","12,000","18,813,000","3,245,000","4,360,000","-145,000",-,-,-,"400,000","55,465,000","545,000","17,565,000",-,"18,110,000","94,796,000","17,565,000","77,231,000","61,275,000","1,124,979","1,124,979",-,-
92,2/29/2000,"408,072,000","54,557,000","15,329,000",-,-,"15,329,000",-,-,-,-,"39,228,000","39,228,000",-,-,"31,278,000","281,196,000",-,"281,196,000",-,-,-,-,"22,986,000","23,757,000",-,-,-,-,"23,757,000","771,000","6,411,000",-,-,-,"2,231,000",-,-,-,-,-,-,"9,413,000","389,820,000","10,845,000","10,845,000","10,845,000",-,"173,548,000",-,-,"62,982,000","62,982,000",-,-,-,-,-,"48,019,000","48,019,000",-,"48,019,000",-,-,"32,890,000","32,890,000",-,-,"61,536,000","18,252,000","17,852,000","557,000","545,000","12,000","17,592,000","3,253,000","3,456,000","-94,000",-,-,-,"400,000","50,742,000","545,000","17,307,000",-,"17,852,000","98,216,000","17,307,000","80,909,000","65,580,000","1,134,181","1,134,181",-,-
93,11/30/1999,"366,967,000","12,325,000","12,325,000",-,-,"12,325,000",-,-,-,-,-,-,-,-,-,"286,192,000",-,"286,192,000",-,-,-,-,"20,229,000","20,998,000",-,-,-,-,"20,998,000","769,000","36,922,000",-,-,-,"2,204,000",-,-,-,-,-,-,"9,095,000","349,553,000","10,397,000","10,397,000","10,397,000",-,"166,418,000",-,-,"50,061,000","50,061,000",-,-,-,-,-,"38,242,000","38,242,000",-,"38,242,000",-,-,"28,604,000","28,604,000",-,-,"55,831,000","17,414,000","17,014,000","682,000","670,000","12,000","16,285,000","3,836,000","4,355,000","-1,833,000",-,-,"2,399,000","400,000","45,618,000","670,000","16,344,000",-,"17,014,000","83,190,000","16,344,000","66,846,000","54,521,000","1,134,181","1,134,181",-,-
94,8/31/1999,"340,870,000","13,382,000","13,382,000",-,-,"13,382,000",-,-,-,-,-,-,-,-,-,"267,792,000",-,"267,792,000",-,-,-,-,"15,791,000","16,557,000",-,-,-,-,"16,557,000","766,000","32,618,000",-,-,-,"2,145,000",-,-,-,-,-,-,"9,142,000","325,025,000","9,286,000","9,286,000","9,286,000",-,"116,175,000",-,-,"50,751,000","50,751,000",-,-,-,-,-,"22,231,000","22,231,000",-,"22,231,000",-,-,"29,038,000","29,038,000",-,-,"97,544,000","15,845,000","15,445,000","671,000","671,000",-,"14,796,000",-,-,-,-,-,"-22,000","400,000","44,483,000","671,000","14,774,000",-,"15,445,000","66,043,000","14,774,000","51,269,000","37,887,000","1,118,488","1,118,488",-,-
95,5/31/1999,"342,345,000","10,611,000","10,611,000",-,-,"10,611,000",-,-,-,-,-,-,-,-,-,"270,345,000",-,"270,345,000",-,-,-,-,"13,820,000","14,588,000",-,-,-,-,"14,588,000","768,000","37,148,000",-,-,-,"2,121,000",-,-,-,-,-,-,"8,300,000","326,596,000","8,809,000","8,809,000","8,809,000",-,"169,767,000",-,-,"47,796,000","47,796,000",-,-,-,-,-,"24,322,000","24,322,000",-,"24,322,000",-,-,"28,782,000","28,782,000",-,-,"47,120,000","15,749,000","15,749,000","1,072,000","1,072,000",-,"13,973,000",-,-,-,-,-,"704,000",-,"44,531,000","1,072,000","14,677,000",-,"15,749,000","67,781,000","14,677,000","53,104,000","42,493,000","1,133,574","1,133,574",-,-
96,2/28/1999,"321,778,000","6,225,000","6,225,000",-,-,"6,225,000",-,-,-,-,-,-,-,-,-,"261,570,000",-,"261,570,000",-,-,-,-,"14,752,000","15,529,000",-,-,-,-,"15,529,000","777,000","29,364,000",-,-,-,"2,121,000",-,-,-,-,-,-,"7,746,000","305,542,000","8,422,000","8,422,000","8,422,000",-,"159,370,000",-,-,"44,435,000","44,435,000",-,-,-,-,-,"20,052,000","20,052,000",-,"20,052,000",-,-,"27,298,000","27,298,000",-,-,"45,965,000","16,236,000","16,236,000","1,073,000","1,073,000",-,"12,968,000",-,-,"-31,000","-31,000",-,"2,226,000",-,"43,534,000","1,073,000","15,163,000",-,"16,236,000","62,513,000","15,163,000","47,350,000","41,125,000","1,141,180","1,141,180",-,-
97,11/30/1998,"317,590,000","16,878,000","16,878,000",-,-,"16,878,000",-,-,-,-,-,-,-,-,-,"249,762,000",-,"249,762,000",-,-,-,-,"15,209,000","15,996,000",-,-,-,-,"15,996,000","787,000","26,576,000",-,-,-,"1,834,000",-,-,-,-,-,-,"7,331,000","302,072,000","8,197,000","8,197,000","8,197,000",-,"147,319,000",-,-,"46,221,000","46,221,000",-,-,-,-,-,"28,137,000","28,137,000",-,"28,137,000",-,-,"27,435,000","27,435,000",-,-,"44,763,000","15,518,000","15,518,000","1,074,000","1,074,000",-,"12,080,000",-,-,-,-,-,"2,364,000",-,"42,953,000","1,074,000","14,444,000",-,"15,518,000","70,016,000","14,444,000","55,572,000","38,694,000","1,131,342","1,131,342",-,-
98,8/31/1998,"360,929,000","9,820,000","9,820,000",-,-,"9,820,000",-,-,-,-,-,-,-,-,-,"294,320,000",-,"294,320,000",-,-,-,-,"16,802,000","17,657,000",-,-,-,-,"17,657,000","855,000","30,667,000",-,-,-,"1,779,000",-,-,-,-,-,-,"7,541,000","345,888,000","8,718,000","8,718,000","8,718,000",-,"182,284,000",-,-,"58,833,000","58,833,000",-,-,-,-,-,"22,870,000","22,870,000",-,"22,870,000",-,-,"28,070,000","28,070,000",-,-,"45,113,000","15,041,000","15,041,000","674,000","674,000",-,"11,120,000",-,-,-,-,-,"3,247,000",-,"43,111,000","674,000","14,367,000",-,"15,041,000","65,307,000","14,367,000","50,940,000","41,120,000","1,165,582","1,165,582",-,-
99,5/31/1998,"380,665,000","102,702,000","9,271,000",-,-,"9,271,000",-,-,-,-,"93,431,000","93,431,000",-,-,"15,552,000","199,498,000",-,"199,498,000",-,-,-,-,"17,089,000","17,913,000",-,-,-,-,"17,913,000","824,000","36,579,000",-,-,-,"1,760,000",-,-,-,-,-,-,"7,485,000","366,840,000","9,133,000","9,133,000","9,133,000",-,"192,658,000",-,-,"57,099,000","57,099,000",-,-,-,-,-,"28,159,000","28,159,000",-,"28,159,000",-,-,"28,354,000","28,354,000",-,-,"51,437,000","13,825,000","13,825,000","875,000","875,000",-,"10,607,000",-,-,-,-,-,"2,343,000",-,"42,179,000","875,000","12,950,000",-,"13,825,000","69,463,000","12,950,000","56,513,000","47,242,000","1,175,346","1,175,346",-,-
100,2/28/1998,"345,534,000","100,551,000","11,249,000",-,"6,198,000","5,051,000",-,-,-,-,"89,302,000","89,302,000",-,-,"14,095,000","164,709,000",-,"164,709,000",-,-,-,-,"19,934,000","20,839,000",-,-,-,-,"20,839,000","905,000","36,696,000",-,-,-,"1,718,000",-,-,-,-,-,-,"7,831,000","331,010,000","9,199,000","9,199,000","9,199,000",-,"177,869,000",-,-,"43,617,000","43,617,000",-,-,-,-,-,"28,660,000","28,660,000",-,"28,660,000",-,-,"25,897,000","25,897,000",-,-,"45,768,000","14,524,000","14,524,000","875,000","875,000",-,"9,887,000",-,-,-,-,-,"3,762,000",-,"40,421,000","875,000","13,649,000",-,"14,524,000","68,206,000","13,649,000","54,557,000","43,308,000","1,210,012","1,210,012",-,-
101,11/30/1997,"302,287,000","8,255,000","8,255,000",-,-,"8,255,000",-,-,-,-,-,-,-,-,-,"234,689,000",-,"234,689,000",-,-,-,-,"20,033,000","20,917,000",-,-,-,-,"20,917,000","884,000","30,227,000",-,-,-,"1,705,000",-,-,-,-,-,-,"7,378,000","287,332,000","8,993,000","8,993,000","8,993,000",-,"149,479,000",-,-,"42,153,000","42,153,000",-,-,-,-,-,"22,614,000","22,614,000",-,"22,614,000",-,-,"24,792,000","24,792,000",-,-,"39,301,000","14,955,000","14,955,000","876,000","876,000",-,"9,330,000",-,-,-,-,-,"4,749,000",-,"39,747,000","876,000","14,079,000",-,"14,955,000","61,485,000","14,079,000","47,406,000","39,151,000","1,189,418","1,189,418",-,-
102,8/31/1997,"282,480,000","90,091,000","9,386,000",-,-,"9,386,000",-,-,-,-,"80,705,000","80,705,000",-,-,"13,904,000","140,404,000",-,"140,404,000",-,-,-,-,"20,625,000","21,493,000",-,-,-,-,"21,493,000","868,000","5,435,000",-,-,-,"1,680,000",-,-,-,-,-,-,"10,341,000","268,694,000","8,511,000","8,511,000","8,511,000",-,"161,760,000",-,-,"28,907,000","28,907,000","1,200,000",-,-,"27,707,000",-,"22,704,000","22,704,000",-,"22,704,000",-,-,"25,196,000","25,196,000",-,-,"21,616,000","13,786,000","12,787,000","876,000","876,000",-,"8,618,000",-,-,"-7,000","-7,000",-,"3,300,000","999,000","37,983,000","876,000","11,911,000",-,"12,787,000","59,811,000","11,911,000","47,900,000","38,514,000","1,183,792","1,183,792",-,-
103,5/31/1997,"269,984,000","85,182,000","4,331,000",-,-,"4,331,000",-,-,-,-,"80,851,000","80,851,000",-,-,"14,537,000","133,847,000",-,"133,847,000",-,-,-,-,"20,322,000","21,143,000",-,-,-,-,"21,143,000","821,000","7,732,000",-,-,-,"1,655,000",-,-,-,-,-,-,"6,709,000","256,829,000","7,575,000","7,575,000","7,575,000",-,"158,284,000",-,-,"9,502,000","9,502,000","3,103,000",-,-,"6,399,000",-,"23,999,000","23,999,000",-,"23,999,000",-,-,"25,898,000","25,898,000",-,-,"31,571,000","13,155,000","13,155,000","877,000","877,000",-,"8,039,000",-,-,"-9,000","-9,000",-,"4,248,000",-,"39,053,000","877,000","12,278,000",-,"13,155,000","62,175,000","12,278,000","49,897,000","45,566,000","1,172,686","1,172,686",-,-
104,3/31/1997,"42,260,000","1,184,900","1,184,900",-,-,"1,184,900",-,-,-,-,-,-,-,-,-,"13,098,300",-,"13,098,300",-,-,-,-,"21,147,600","21,966,400",-,-,-,-,"21,966,400","818,800","3,708,700",-,-,-,"380,600",-,-,-,-,-,-,"2,739,900","36,799,700","7,138,100","7,138,100","7,138,100",-,"5,675,400",-,-,"3,836,100","3,836,100",-,-,-,-,-,"4,380,800","4,380,800",-,"4,380,800",-,-,"7,689,900","7,689,900",-,-,"8,079,400","5,460,300","5,460,300",-,-,-,"3,203,600",-,-,-,-,-,"2,256,700",-,"13,150,200",-,"5,460,300",-,"5,460,300","17,531,000","5,460,300","12,070,700","10,885,800","649,600","649,600",-,-
105,12/31/1996,"42,413,600","1,999,200","1,999,200",-,-,"1,999,200",-,-,-,-,-,-,-,-,-,"11,388,000",-,"11,388,000",-,-,-,-,"22,372,900","23,188,200",-,-,-,-,"23,188,200","815,300","3,643,600",-,-,-,"379,700",-,-,-,-,-,-,"2,630,200","37,249,200","2,371,900","2,371,900","2,371,900",-,"4,840,700",-,-,"4,206,200","4,206,200","4,049,400","156,800","156,800",-,-,"4,840,700","4,840,700",-,"4,840,700",-,-,"17,941,300","17,941,300",-,-,"3,048,400","5,164,400","5,164,400",-,-,-,"2,972,700",-,-,-,-,-,"2,191,700",-,"23,105,700",-,"5,164,400",-,"5,164,400","27,946,400","5,164,400","22,782,000","20,782,800","639,400","639,400",-,-
106,9/30/1996,"37,191,300","1,102,200","1,102,200",-,-,"1,102,200",-,-,-,-,-,-,-,-,-,"7,874,600",-,"7,874,600",-,-,-,-,"19,594,600","20,282,700",-,-,-,-,"20,282,700","688,100","6,669,700",-,-,-,"376,800",-,-,-,"161,100",-,-,"1,412,300","32,213,100","6,598,200","6,598,200","6,598,200",-,"4,728,600",-,-,"6,589,500","6,589,500",-,-,-,-,-,"2,397,200","2,397,200",-,"2,397,200",-,-,"8,823,200","8,823,200",-,-,"3,076,400","4,978,200","4,978,200",-,-,-,"2,780,100",-,-,-,-,-,"2,198,100",-,"13,801,400",-,"4,978,200",-,"4,817,100","16,198,600","4,817,100","11,220,400","10,118,200","606,400","606,400",-,-
