,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Interest Bearing Deposits Assets,Restricted Cash And Investments,Restricted Cash & Cash Equivalents,Restricted Investments,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Security Agree to be Resold,Security Borrowed,Customer Acceptances,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Net PPE,Gross PPE,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Financial Instruments Sold Under Agreements To Repurchase,Securities Loaned,Payables And Accrued Expenses,Payables,Accounts Payable,Total Tax Payable,Income Tax Payable,Other Payable,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Commercial Paper,Other Current Borrowings,Trading Liabilities,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Capital Lease Obligation,Preferred Securities Outside Stock Equity,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Foreign Currency Translation Adjustments,Other Equity Adjustments,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
36,3/31/2014,"831,381,000","210,069,000","98,400,000","13,239,000",-,"85,161,000",-,"4,093,000","129,000","3,964,000","107,576,000","107,576,000",-,"147,595,000",-,"183,023,000","119,534,000","4,603,000",-,"58,886,000",-,-,"46,305,000","46,429,000","4,730,000","15,610,000","12,638,000","13,451,000","-124,000","124,000","60,506,000","60,506,000",-,-,"5,778,000","12,031,000",-,"-6,253,000","9,811,000","6,601,000","3,210,000","168,294,000","761,113,000","116,648,000","116,648,000","116,648,000",-,"114,183,000","114,183,000","32,370,000","175,998,000","175,998,000","175,998,000",-,-,-,-,"11,179,000","11,179,000",0,"11,179,000","78,722,000","32,868,000","157,462,000","157,462,000",-,-,"41,683,000","70,268,000","67,071,000","3,240,000","3,220,000","20,000","43,522,000","23,364,000","2,087,000","-968,000",-,-,-,"3,197,000","224,533,000","3,220,000","63,851,000",-,"57,260,000","232,492,000","54,040,000","168,641,000","70,241,000","2,038,894","1,971,686",632.382,"67,208"
37,12/31/2013,"832,702,000","220,052,000","98,542,000","16,058,000",-,"82,484,000",-,"3,380,000",-,"3,380,000","118,130,000","118,130,000","118,130,000","129,707,000",-,"185,357,000","126,841,000","5,086,000",-,"53,430,000",-,-,"42,874,000","43,030,000","6,329,000","13,263,000","11,577,000","11,861,000","-156,000","156,000","57,104,000","57,104,000",-,-,"6,019,000","12,439,000",-,"-6,420,000","9,881,000","6,595,000","3,286,000","181,708,000","763,672,000","112,379,000","112,379,000","112,379,000",-,"145,676,000","145,676,000","32,799,000","157,125,000","157,125,000","157,125,000",-,-,-,-,"6,375,000","6,375,000","8,000","6,367,000","70,760,000","33,761,000","163,557,000","163,557,000",-,0,"41,240,000","69,030,000","65,921,000","3,240,000","3,220,000","20,000","42,172,000","24,570,000","2,968,000","-1,093,000",-,-,-,"3,109,000","229,478,000","3,220,000","62,701,000",-,"56,040,000","232,633,000","52,820,000","169,932,000","71,390,000","2,038,894","1,944,869",632.382,"94,025"
38,9/30/2013,"832,223,000","229,161,000","95,173,000","14,333,000",-,"80,840,000",-,-,-,-,"133,988,000","133,988,000",-,"139,169,000",-,"325,607,000","273,658,000","5,083,000",-,"46,866,000",-,-,"37,734,000","37,900,000",-,-,-,-,"37,900,000","166,000","57,710,000","57,710,000",-,-,"6,008,000","12,213,000",-,"-6,205,000","10,105,000","6,591,000","3,514,000","26,729,000","763,982,000","104,807,000","104,807,000","104,807,000",-,"262,043,000","262,043,000","32,807,000","152,091,000","152,091,000","152,091,000",-,-,-,-,"2,333,000","2,333,000","54,000","2,279,000",-,-,"172,333,000","172,333,000",-,0,"37,568,000","68,241,000","65,128,000","2,390,000","2,370,000","20,000","42,237,000","24,235,000","2,720,000","-1,014,000",-,-,-,"3,113,000","237,461,000","2,370,000","62,758,000",-,"55,023,000","237,424,000","52,653,000","174,666,000","79,493,000","2,038,894","1,953,351",-,"85,543"
39,6/30/2013,"802,691,000","225,056,000","82,562,000","16,295,000",-,"66,267,000",-,-,-,-,"142,494,000","142,494,000",-,"129,114,000",-,"307,765,000","260,038,000","4,869,000",-,"42,858,000",-,-,"34,571,000","34,696,000",-,-,-,-,"34,696,000","125,000","64,473,000","64,473,000",-,-,"5,966,000","11,953,000",-,"-5,987,000","10,202,000","6,600,000","3,602,000","25,544,000","736,577,000","81,514,000","81,514,000","81,514,000",-,"261,667,000","261,667,000","36,135,000","145,555,000","145,555,000","145,555,000",-,-,-,-,"2,366,000","2,366,000","125,000","2,241,000",-,-,"174,769,000","174,769,000",-,0,"34,571,000","66,114,000","63,181,000","1,528,000","1,508,000","20,000","41,455,000","23,933,000","2,566,000","-1,169,000",-,-,-,"2,933,000","237,950,000","1,508,000","61,673,000",-,"52,979,000","238,808,000","51,471,000","177,135,000","94,573,000","2,038,894","1,959,326",563.882,"79,568"
40,3/31/2013,"801,383,000","214,630,000","74,215,000","17,773,000",-,"56,442,000",-,-,-,-,"140,415,000","140,415,000",-,"135,727,000",-,"313,630,000","267,236,000","4,940,000",-,"41,454,000",-,-,"30,615,000","30,744,000",-,-,-,-,"30,744,000","129,000","62,271,000","62,271,000",-,-,"5,928,000",-,-,-,"10,327,000","6,633,000","3,694,000","28,255,000","735,311,000","80,623,000","80,623,000","80,623,000",-,"251,742,000","251,742,000","40,351,000","137,127,000","137,127,000","137,127,000",-,-,-,-,"2,475,000","2,475,000","254,000","2,221,000",-,-,"181,436,000","181,436,000",-,"4,425,000","37,132,000","66,072,000","62,704,000","1,528,000","1,508,000","20,000","40,750,000","23,661,000","2,541,000","-694,000",-,-,-,"3,368,000","244,140,000","1,508,000","61,196,000",-,"52,377,000","245,107,000","50,869,000","183,911,000","109,696,000","2,038,894","1,960,583",563.882,"78,311"
41,12/31/2012,"780,960,000","212,879,000","77,348,000","20,352,000",-,"56,996,000",-,"1,119,000",-,"1,119,000","134,412,000","134,412,000",-,"121,701,000",-,"276,274,000","7,299,000","229,106,000",-,"39,869,000",-,"36,197,000","29,046,000","29,152,000",-,-,-,-,"29,152,000","106,000","64,288,000","56,953,000",-,"7,335,000","5,946,000","11,471,000",-,"-5,525,000","10,433,000","6,650,000","3,783,000","24,196,000","715,532,000","83,266,000","83,266,000","83,266,000",-,"205,838,000","205,838,000","36,849,000","127,722,000","127,722,000","127,722,000",-,-,-,-,"2,779,000","2,779,000","306,000","2,473,000",-,"36,958,000","184,657,000","184,657,000",-,"4,309,000","33,154,000","65,428,000","62,109,000","1,528,000","1,508,000","20,000","39,912,000","23,426,000","2,241,000","-516,000",-,-,-,"3,319,000","246,766,000","1,508,000","60,601,000",-,"51,676,000","248,037,000","50,168,000","187,436,000","110,088,000","2,038,894","1,974,042",563.882,"64,852"
42,9/30/2012,"764,985,000","201,715,000","65,433,000",-,-,"65,433,000",-,-,-,-,"136,282,000","136,282,000",-,"138,545,000",-,"274,798,000",-,"274,798,000",-,-,-,"34,568,000","24,344,000","24,445,000",-,-,"24,445,000",-,-,"101,000","63,578,000","63,578,000","63,578,000",-,"6,083,000","11,433,000",-,"-5,350,000","10,527,000","6,622,000","3,905,000","10,827,000","695,513,000","70,757,000","69,467,000","69,467,000","1,290,000","241,107,000","241,107,000","35,920,000","142,548,000","127,987,000","127,987,000",-,-,-,"14,561,000","2,123,000","2,123,000","320,000","1,803,000",-,-,"184,885,000","184,885,000",-,-,"18,173,000","69,472,000","61,799,000","1,528,000","1,508,000","20,000","39,441,000","23,202,000","2,226,000","-146,000",-,-,-,"7,673,000","246,684,000","1,508,000","60,291,000",-,"51,272,000","247,299,000","49,764,000","187,008,000","121,575,000","2,038,894","1,975,040",563.882,"63,854"
43,6/30/2012,"748,517,000","219,412,000","71,424,000",-,-,"71,424,000",-,-,-,-,"147,988,000","147,988,000",-,"134,263,000",-,"254,561,000",-,"254,561,000",-,-,-,"34,343,000","21,394,000","21,471,000",-,-,-,-,"21,471,000","77,000","56,981,000",-,-,-,"6,343,000","11,654,000",-,"-5,311,000","10,597,000","6,610,000","3,987,000","10,623,000","676,880,000","68,252,000","3,140,000","3,140,000","65,112,000","123,475,000","123,475,000","30,762,000","141,496,000","126,779,000","3,166,000",-,-,"123,613,000","14,717,000","1,988,000","1,988,000","288,000","1,700,000",-,-,"167,828,000","167,828,000",-,-,"143,079,000","71,637,000","62,841,000","1,528,000","1,508,000","20,000","40,586,000","23,151,000","2,204,000","-220,000",-,-,-,"8,796,000","230,669,000","1,508,000","61,333,000",-,"52,244,000","231,149,000","50,736,000","169,816,000","98,392,000","2,038,894","1,977,403",563.882,"61,491"
44,3/31/2012,"781,030,000","205,328,000","68,877,000",-,-,"68,877,000",-,-,-,-,"136,451,000","136,451,000",-,"141,610,000",-,"293,352,000",-,"293,352,000",-,-,-,"40,016,000","16,729,000","16,755,000",-,-,"16,755,000",-,-,"26,000","54,943,000","54,943,000","54,943,000",-,"6,410,000","11,489,000",-,"-5,079,000","10,870,000","6,700,000","4,170,000","11,772,000","710,438,000","66,441,000",-,-,-,"238,310,000","238,310,000","34,431,000","147,715,000","133,900,000","2,712,000",-,-,"131,188,000","13,815,000","2,017,000","2,017,000","257,000","1,760,000",-,-,"200,089,000","200,089,000",-,-,"21,435,000","70,592,000","62,324,000","1,528,000","1,508,000","20,000","40,118,000","22,930,000","2,192,000","-60,000",-,-,-,"8,268,000","262,413,000","1,508,000","60,816,000",-,"51,454,000","262,922,000","49,946,000","202,106,000","133,229,000","2,038,894","1,978,338",563.882,"60,556"
45,12/31/2011,"749,898,000","207,367,000","76,255,000","12,654,000",-,"63,601,000",-,"957,000",-,"957,000","130,155,000","130,155,000",-,"127,074,000",-,"262,616,000","9,697,000","222,424,000",-,"30,495,000",-,"48,064,000","15,369,000","15,386,000",-,-,"15,386,000",-,"15,386,000","17,000","48,669,000","43,421,000","48,669,000","5,248,000","6,457,000","11,309,000",-,"-4,852,000","10,971,000","6,686,000","4,285,000","23,311,000","679,820,000","65,662,000","65,662,000","65,662,000",-,"174,494,000","174,494,000","30,462,000","123,615,000","123,615,000","123,615,000",-,-,"121,323,000",-,"3,118,000","3,118,000","978,000","2,140,000",-,"46,453,000","204,678,000","204,678,000",-,-,"31,338,000","70,078,000","62,049,000","1,528,000","1,508,000","20,000","40,341,000","22,836,000","2,499,000","-157,000",-,-,-,"8,029,000","266,727,000","1,508,000","60,541,000",-,"51,078,000","268,337,000","49,570,000","207,796,000","131,541,000","1,989,377","1,926,986",563.882,"62,391"
46,9/30/2011,"794,939,000","254,595,000","84,771,000",-,-,"84,771,000",-,-,-,-,"169,824,000","169,824,000",-,"123,904,000",-,"252,950,000",-,"239,816,000",-,"13,134,000",-,"54,412,000","13,453,000","13,471,000",-,-,"13,471,000",-,-,"18,000","54,630,000","54,630,000","54,630,000",-,"6,511,000","11,233,000",-,"-4,722,000","11,079,000","6,709,000","4,370,000","23,405,000","724,845,000","66,184,000",-,-,-,"232,017,000","232,017,000","27,785,000","169,694,000","152,396,000","2,788,000",-,-,"149,608,000","17,298,000","2,881,000","2,881,000","910,000","1,971,000",-,-,"204,128,000","204,128,000",-,-,"22,156,000","70,094,000","61,828,000","1,528,000","1,508,000","20,000","40,710,000","22,501,000","2,498,000","-413,000",-,-,-,"8,266,000","265,956,000","1,508,000","60,320,000",-,"50,749,000","267,329,000","49,241,000","207,009,000","122,238,000","1,989,377","1,927,540",563.882,"61,837"
47,6/30/2011,"830,747,000","257,241,000","76,251,000",-,-,"76,251,000",-,-,-,-,"180,990,000","180,990,000",-,"132,092,000",-,"293,630,000",-,"293,630,000",-,-,-,"46,167,000","12,476,000","12,512,000",-,-,"12,512,000",-,-,"36,000","58,492,000","58,492,000","58,492,000",-,"6,399,000","10,923,000",-,"-4,524,000","11,218,000","6,744,000","4,474,000","13,032,000","762,604,000","65,525,000",-,-,-,"261,603,000","261,603,000","35,375,000","157,212,000","141,616,000","3,066,000",-,-,"138,550,000","15,596,000","3,566,000","3,566,000","865,000","2,701,000",-,-,"216,847,000","216,847,000",-,-,"22,476,000","68,143,000","59,707,000","1,528,000","1,508,000","20,000","38,637,000","22,346,000","2,484,000","-320,000",-,-,-,"8,436,000","276,554,000","1,508,000","58,199,000",-,"48,489,000","278,612,000","46,981,000","220,413,000","144,162,000","1,989,377","1,929,033",563.882,"60,345"
48,3/31/2011,"836,185,000","237,463,000","74,540,000",-,-,"74,540,000",-,-,-,-,"162,923,000","162,923,000",-,"142,937,000",-,"353,725,000","308,112,000","45,613,000",-,-,-,-,"11,882,000","11,927,000",-,-,"11,927,000",-,-,"45,000","58,930,000","58,930,000","58,930,000",-,"6,366,000","10,625,000",-,"-4,259,000","11,324,000","6,743,000","4,581,000","13,558,000","769,677,000","63,495,000",-,-,-,"293,161,000","293,161,000","36,084,000","146,472,000","132,511,000","2,659,000",-,-,"129,852,000","13,961,000","3,302,000","3,302,000","959,000","2,343,000",-,-,"214,205,000","214,205,000",-,-,"12,958,000","66,508,000","58,186,000","9,613,000","9,597,000","16,000","39,269,000","12,185,000","2,455,000","-426,000",-,-,-,"8,322,000","272,391,000","9,597,000","48,589,000",-,"46,862,000","266,096,000","37,265,000","217,507,000","142,967,000","1,603,913","1,545,064","44,000","58,849"
49,12/31/2010,"807,698,000","215,048,000","66,498,000","7,044,000",-,"59,454,000",-,"297,000",-,"297,000","148,253,000","148,253,000",-,"138,730,000",-,"290,515,000","6,778,000","254,088,000",-,"29,649,000",-,"51,292,000","10,576,000","10,658,000",-,-,"10,658,000",-,"10,658,000","82,000","54,150,000","45,048,000","54,150,000","9,102,000","6,154,000","10,630,000",-,"-4,476,000","11,406,000","6,739,000","4,667,000","29,827,000","742,291,000","63,812,000","63,812,000","63,812,000",-,"228,552,000","228,552,000","29,094,000","129,184,000","129,184,000","129,184,000",-,-,"126,612,000","16,518,000","3,762,000","3,762,000","945,000","2,817,000",-,"47,802,000","202,404,000","202,404,000",-,-,"37,681,000","65,407,000","57,211,000","9,613,000","9,597,000","16,000","38,603,000","13,521,000","4,059,000","-467,000",-,-,-,"8,196,000","259,615,000","9,597,000","47,614,000",-,"45,805,000","253,780,000","36,208,000","206,166,000","139,668,000","1,603,913","1,512,022","44,000","91,891"
50,9/30/2010,"841,372,000","207,340,000","53,388,000",-,-,"53,388,000",-,-,-,-,"153,952,000","153,952,000",-,"162,434,000",-,"311,660,000",-,"311,660,000",-,-,"10,033,000","57,054,000","9,568,000","9,568,000",-,-,-,-,-,-,"52,965,000","52,965,000","52,965,000",-,"6,032,000","10,354,000",-,"-4,322,000","11,574,000","6,766,000","4,808,000","12,712,000","775,790,000","61,202,000",-,-,-,"309,695,000","309,695,000","31,123,000","145,742,000","130,445,000","2,813,000",-,-,"127,632,000","15,297,000","4,649,000","4,649,000","4,649,000",-,-,-,"213,553,000","213,553,000",-,-,"9,826,000","65,582,000","56,876,000","9,613,000","9,597,000","16,000","38,056,000","13,389,000","4,066,000","-116,000",-,-,-,"8,706,000","270,429,000","9,597,000","47,279,000",-,"45,302,000","265,481,000","35,705,000","218,202,000","164,814,000","1,603,913","1,512,990","44,000","90,923"
51,6/30/2010,"809,456,000","181,209,000","36,347,000",-,-,"36,347,000",-,-,-,-,"144,862,000","144,862,000",-,"178,859,000",-,"342,379,000",-,"342,379,000",-,-,-,-,"7,764,000","7,764,000",-,-,-,-,-,-,"46,483,000","46,483,000","46,483,000",-,"6,100,000","10,197,000",-,"-4,097,000","11,673,000","6,749,000","4,924,000","34,989,000","750,297,000","61,368,000",-,-,-,"310,323,000","310,323,000","26,524,000","142,921,000","127,319,000","2,519,000",-,-,"124,800,000","15,602,000","3,835,000","3,835,000","3,835,000",-,-,-,"182,810,000","182,810,000",-,-,"22,516,000","59,159,000","51,013,000","9,612,000","9,597,000","15,000","38,210,000","7,649,000","4,104,000","-354,000",-,-,-,"8,146,000","233,823,000","9,597,000","41,416,000",-,"39,340,000","228,061,000","29,743,000","186,645,000","150,298,000","1,487,850","1,397,007","44,000","90,843"
52,3/31/2010,"819,719,000","196,478,000","57,845,000",-,-,"57,845,000",-,-,-,-,"138,633,000","138,633,000",-,"181,055,000",-,"269,921,000",-,"269,921,000",-,-,-,-,"7,484,000","7,484,000",-,-,-,-,-,-,"42,292,000",-,-,-,"6,047,000","9,962,000",-,"-3,915,000","12,167,000","7,169,000","4,998,000","104,275,000","764,540,000","63,926,000",-,-,-,"300,433,000","300,433,000","31,372,000","149,832,000","135,875,000","2,729,000",-,-,"133,146,000","13,957,000","3,323,000","3,323,000",-,"3,323,000",-,-,"206,094,000","206,094,000",-,-,"9,560,000","55,179,000","48,264,000","9,612,000","9,597,000","15,000","36,539,000","6,750,000","4,078,000","-559,000",-,-,-,"6,915,000","254,358,000","9,597,000","38,667,000",-,"36,097,000","248,084,000","26,500,000","209,417,000","151,572,000","1,487,850","1,398,470","44,000","89,381"
53,12/31/2009,"771,462,000","198,911,000","55,703,000","6,988,000",-,"48,715,000",-,-,-,-,"143,208,000","143,208,000",-,"167,501,000",-,"254,449,000","5,329,000","249,120,000",-,-,-,"49,081,000","7,259,000","7,259,000",-,-,-,-,"7,259,000",-,"44,477,000","38,758,000","44,477,000","5,719,000","7,067,000","10,801,000",-,"-3,734,000","12,216,000","7,162,000","5,054,000","30,501,000","718,682,000","62,215,000","62,215,000","62,215,000",-,"228,575,000","228,575,000","26,246,000","125,078,000","125,078,000","125,078,000",-,-,"122,481,000","20,849,000","2,378,000","2,378,000","783,000","1,595,000",-,"38,209,000","193,374,000","193,374,000",-,-,"42,607,000","52,780,000","46,688,000","9,612,000","9,597,000","15,000","35,056,000","8,619,000","6,039,000","-560,000",-,-,-,"6,092,000","240,062,000","9,597,000","37,091,000",-,"34,472,000","232,843,000","24,875,000","195,752,000","140,049,000","1,487,850","1,360,595","44,000","127,255"
54,9/30/2009,"769,503,000","197,348,000","50,363,000",-,-,"28,610,000","21,753,000",-,-,-,"146,985,000","146,985,000",-,"128,922,000",-,"358,809,000","338,496,000","20,313,000",-,-,-,-,-,-,-,-,-,-,-,-,"48,678,000","11,330,000","11,330,000","37,348,000","6,765,000","10,297,000",-,"-3,532,000","12,656,000","6,977,000","5,679,000","16,325,000","717,279,000","62,415,000",-,-,-,"265,937,000","265,937,000","26,182,000","136,703,000","118,289,000","3,143,000",-,-,"115,146,000","18,414,000","2,913,000","2,913,000","2,913,000",-,-,-,"223,129,000","223,129,000",-,-,-,"52,224,000","46,349,000","9,612,000","9,597,000","15,000","34,726,000","8,441,000","6,131,000","-299,000",-,-,-,"5,875,000","269,478,000","9,597,000","36,752,000",-,"33,693,000","262,794,000","24,096,000","226,042,000","175,679,000","1,487,850","1,358,901","44,000","128,950"
55,6/30/2009,"676,957,000","178,448,000","56,649,000",-,-,"56,649,000",-,-,-,-,"121,799,000","121,799,000",-,"107,853,000",-,"305,077,000",-,"305,077,000",-,-,-,-,"5,814,000","5,814,000",-,-,"5,814,000",-,-,-,"44,856,000","44,856,000","44,856,000",-,"6,548,000","10,656,000",-,"-4,108,000","12,389,000","6,836,000","5,553,000","15,972,000","625,494,000","62,382,000",-,-,-,"202,496,000","202,496,000","18,002,000","132,772,000","113,812,000",-,-,-,-,"18,960,000","3,030,000","3,030,000","3,030,000",-,-,-,"186,792,000","186,792,000",-,-,"20,020,000","51,463,000","46,586,000","9,612,000","9,597,000","15,000","34,245,000","9,214,000","6,143,000","-342,000",-,-,-,"4,877,000","233,378,000","9,597,000","36,989,000",-,"34,197,000","226,811,000","24,600,000","189,822,000","133,173,000","1,487,850","1,359,204","44,000","128,646"
56,3/31/2009,"626,023,000","192,175,000","71,635,000",-,-,"71,635,000",-,-,-,-,"120,540,000","120,540,000",-,"92,589,000",-,"269,862,000",-,"269,862,000",-,-,-,-,"6,698,000","6,698,000",-,-,"6,698,000",-,-,-,"39,074,000","25,894,000",-,"13,180,000","6,018,000","9,224,000",-,"-3,206,000","3,075,000","2,226,000","849,000","16,532,000","576,816,000","59,922,000",-,-,-,"69,641,000","69,641,000","19,106,000","124,940,000","112,954,000",-,-,-,-,"11,986,000","3,411,000","3,411,000","3,411,000",-,-,-,"182,108,000","182,108,000",-,-,"117,688,000","49,207,000","49,207,000","19,220,000","19,208,000","12,000","35,577,000","429,000","6,233,000","-4,638,000","-4,167,000","-471,000","4,852,000",-,"231,315,000","19,208,000","29,999,000",-,"46,132,000","215,518,000","26,924,000","185,519,000","113,884,000","1,204,591","1,074,498",-,"130,094"
57,11/30/2008,"658,812,000","210,519,000","137,742,000","11,276,000",-,"126,466,000",-,"59,088,000",-,-,"72,777,000","72,777,000",-,"85,785,000","31,294,000","181,868,000","2,204,000","179,664,000",-,-,-,"99,766,000","6,528,000","6,528,000",-,-,-,-,"6,528,000",-,"45,587,000","38,328,000",-,"7,259,000","5,057,000","8,060,000",-,"-3,003,000","3,138,000","2,243,000","895,000","20,564,000","607,981,000","42,755,000","42,755,000","42,755,000",-,"147,825,000","147,825,000","14,821,000","120,950,000","120,950,000","120,950,000",-,-,"118,366,000",-,"10,483,000","10,483,000","6,744,000","3,739,000",-,"73,521,000","163,437,000","163,437,000",-,-,"34,189,000","50,831,000","50,831,000","19,167,000","19,155,000","12,000","38,096,000","1,619,000","7,926,000","-125,000","-46,000","-79,000",-,-,"214,268,000","19,155,000","31,676,000",-,"47,693,000","205,596,000","28,538,000","173,920,000","36,178,000","1,238,601","1,074,498",-,"164,103"
58,8/31/2008,"987,403,000","503,091,000","23,702,000",-,-,"23,702,000",-,"58,798,000",-,-,"420,591,000","420,591,000",-,-,"48,052,000","394,654,000",-,"394,654,000",-,-,-,-,"3,050,000","3,050,000",-,-,-,-,-,-,"14,787,000",-,-,-,"5,004,000",-,-,-,"3,996,000",-,-,"14,769,000","951,638,000","36,774,000","36,774,000","36,774,000",-,"349,160,000",-,-,"324,959,000","324,959,000","3,193,000",-,-,"321,766,000",-,"14,159,000","14,159,000",-,"14,159,000",-,-,"202,327,000","202,327,000",-,-,"24,259,000","35,765,000","35,765,000","1,112,000","1,100,000","12,000","40,698,000","615,000","6,280,000","-380,000",-,-,-,-,"238,092,000","1,100,000","34,665,000",-,"31,769,000","251,151,000","30,669,000","216,486,000","192,784,000","1,211,702","1,109,155",-,"102,546"
59,5/31/2008,"1,031,228,000","500,899,000","23,782,000",-,-,"23,782,000",-,"53,393,000",-,-,"423,724,000","423,724,000",-,-,"58,172,000","421,807,000",-,"421,807,000",-,-,-,-,"3,769,000","3,769,000",-,-,-,-,-,-,"23,663,000",-,-,-,"4,856,000",-,-,-,"3,890,000",-,-,"14,172,000","996,735,000","35,227,000","35,227,000","35,227,000",-,"374,605,000",-,-,"303,546,000","303,546,000","4,056,000",-,-,"299,490,000",-,"23,816,000","23,816,000",-,"23,816,000",-,-,"210,724,000","210,724,000",-,-,"48,817,000","34,493,000","34,493,000","1,112,000","1,100,000","12,000","39,581,000","340,000","6,322,000","-218,000",-,-,-,-,"245,217,000","1,100,000","33,393,000",-,"30,603,000","267,933,000","29,503,000","234,540,000","210,758,000","1,108,865","1,108,865",-,-
60,2/29/2008,"1,090,896,000","471,917,000","20,965,000",-,-,"20,965,000",-,"60,964,000",-,-,"389,988,000","389,988,000",-,-,"67,793,000","497,017,000",-,"497,017,000",-,-,-,-,"9,575,000","9,575,000",-,-,-,-,-,-,"25,442,000",-,-,-,"4,548,000",-,-,-,"4,061,000",-,-,"10,543,000","1,057,616,000","35,687,000","35,687,000","35,687,000",-,"380,722,000",-,-,"266,551,000","266,551,000","3,095,000",-,-,"263,456,000",-,"153,595,000","153,595,000",-,"153,595,000",-,-,"200,316,000","200,316,000",-,-,"20,745,000","33,280,000","33,280,000","1,112,000","1,100,000","12,000","38,852,000",-,"6,546,000","-138,000",-,-,-,-,"233,596,000","1,100,000","32,180,000",-,"29,219,000","386,091,000","28,119,000","353,911,000","332,946,000","1,105,302","1,105,302",-,-
61,11/30/2007,"1,045,409,000","214,093,000","87,206,000","25,598,000",-,"61,608,000",-,"61,608,000",-,-,"126,887,000","126,887,000","126,887,000","239,994,000","76,352,000","302,484,000","3,096,000","299,388,000",-,-,-,"77,003,000","11,629,000","11,629,000",-,-,-,-,"11,629,000",-,"100,683,000","84,672,000",-,"16,011,000","4,372,000","7,821,000",-,"-3,449,000","4,071,000","3,024,000","1,047,000","91,080,000","1,014,140,000","31,179,000","31,179,000","31,179,000",-,"225,577,000","225,577,000","110,423,000","215,631,000","215,631,000","215,631,000",-,-,"213,907,000",-,"34,495,000","34,495,000","22,596,000","11,899,000",-,"71,604,000","190,624,000","190,624,000",-,-,"134,607,000","31,269,000","31,269,000","1,112,000","1,100,000","12,000","38,045,000","1,902,000","9,591,000","-199,000","114,000","-313,000",-,-,"221,893,000","1,100,000","30,169,000",-,"27,198,000","255,288,000","26,098,000","225,119,000","137,913,000","1,056,290","1,056,290",-,-
62,8/31/2007,"1,185,131,000","513,759,000","36,588,000",-,-,"36,588,000",-,"43,229,000",-,-,"433,942,000","433,942,000",-,-,"89,080,000","521,019,000",-,"521,019,000",-,-,-,-,"16,127,000","16,127,000",-,-,-,-,-,-,"30,218,000",-,-,-,"4,193,000",-,-,-,"3,451,000",-,-,"7,284,000","1,149,881,000","23,268,000","23,268,000","23,268,000",-,"522,298,000",-,-,"187,305,000","187,305,000","5,177,000",-,-,"182,128,000",-,"213,330,000","213,330,000",-,"213,330,000",-,-,"175,214,000","175,214,000",-,-,"28,466,000","35,250,000","35,250,000","1,112,000","1,100,000","12,000","42,043,000","1,471,000","9,281,000","-95,000",-,-,-,-,"210,464,000","1,100,000","34,150,000",-,"31,799,000","422,694,000","30,699,000","388,544,000","351,956,000","1,061,228","1,061,228",-,-
63,5/31/2007,"1,199,993,000","475,164,000","31,786,000",-,-,"31,786,000",-,"47,114,000",-,-,"396,264,000","396,264,000",-,-,"130,875,000","526,655,000",-,"526,655,000",-,-,-,-,"36,251,000","37,035,000",-,-,-,-,"37,035,000","784,000","11,991,000",-,-,-,"4,501,000",-,-,-,"4,132,000",-,-,"10,424,000","1,160,482,000","43,577,000","43,577,000","43,577,000",-,"252,710,000",-,-,"162,277,000","162,277,000","6,541,000",-,-,"155,736,000",-,"503,204,000","503,204,000",-,"503,204,000",-,-,"171,932,000","171,932,000",-,-,"26,782,000","39,511,000","39,511,000","1,112,000","1,100,000","12,000","46,256,000","2,165,000","9,903,000","-119,000",-,-,-,-,"211,443,000","1,100,000","38,411,000",-,"35,379,000","713,547,000","34,279,000","675,136,000","643,350,000","1,052,546","1,052,546",-,-
