,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Deposits,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Expense,Non Interest Income,Fees And Commissions,Fees & Commission Income,Trust Fees by Commissions,Securities Activities,Other Customer Services,Fees & Commission Expense,Investment Banking Profit,Trading Gain Loss,Foreign Exchange Trading Gains,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Other G and A,Selling & Marketing Expense,Other Non Interest Expense,Special Income Charges,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Other Special Charges,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income Discontinuous Operations,Net Income Extraordinary,Net Income from Tax Loss Carryforward,Minority Interests,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
102,11/30/1997,"4,085,000","593,000","3,447,000",-,-,-,-,-,-,"2,854,000",-,-,-,-,-,"3,492,000","1,796,000","1,796,000",-,-,-,-,"773,000",-,-,-,-,-,"3,690,000","-353,000","2,375,000","137,000",-,-,"1,499,000","1,175,000","1,175,000",-,"324,000","739,000",-,-,-,-,"1,357,000","547,000","796,000","810,000","810,000","810,000",-,-,-,-,"14,000","796,000",-,-,-,-,"240,000","810,000","810,000",-,-,"810,000",-,-,0,0
103,8/31/1997,"4,492,000","805,000","3,570,000",-,-,-,-,-,-,"2,765,000",-,-,-,-,-,"3,687,000","1,844,000","1,844,000",-,-,-,-,"818,000",-,-,"984,000","984,000",-,"41,000","-385,000","3,001,000","134,000",-,-,"2,142,000","1,849,000","1,849,000",-,"293,000","725,000",-,-,-,-,"1,106,000","428,000","663,000","678,000","678,000","678,000",-,-,-,-,"15,000","663,000",0.58,0.55,"1,143,103","1,205,455","420,000","678,000","678,000",-,-,"678,000",-,-,0,0
104,5/31/1997,"3,898,000","719,000","3,197,000",-,-,-,-,-,-,"2,478,000",-,-,-,-,-,"3,179,000","2,426,000","2,426,000","1,206,000",-,"1,220,000",-,"581,000",-,-,-,-,-,"172,000","-378,000","2,637,000","127,000",-,-,"1,779,000","1,505,000","1,505,000",-,"274,000","731,000",-,-,-,-,"883,000","356,000","509,000","527,000","527,000","527,000",-,-,-,-,"18,000","509,000",0.43,0.42,"1,183,721","1,211,905","341,000","527,000","527,000",-,-,"527,000",-,-,0,0
105,3/31/1997,"2,028,800","571,600","986,500",-,-,-,-,-,-,"414,900",-,-,-,-,-,"1,457,200","1,231,100","1,231,100","305,600",-,"925,500",-,"79,500",-,-,-,-,-,"146,600","-378,400","1,195,900","64,000",-,-,"803,000","616,300","616,300",-,"186,700","328,900",-,-,-,-,"454,500","178,200","276,300","276,300","276,300","276,300",-,-,-,-,-,"276,300",0.47,0.46,"587,872","600,652","193,200","276,300","276,300",-,"22,600","276,300",-,-,0,0
106,12/31/1996,"2,038,000","563,500","968,900",-,-,-,-,-,-,"405,400",-,-,-,-,-,"1,474,500","1,258,700","1,258,700","294,300",-,"964,400",-,"78,100",-,-,-,-,-,"137,700","-423,100","1,251,300","67,400",-,-,"812,800","559,200","559,200",-,"253,600","371,100",-,-,-,-,"363,600","135,800","227,800","227,800","227,800","227,800",-,-,-,-,-,"227,800",-,-,-,-,"140,400","227,800","227,800",-,"24,500","227,800",-,-,0,0
107,9/30/1996,"1,833,000","503,300","893,700",-,-,-,-,-,-,"390,400",-,-,-,-,-,"1,329,700","1,156,300","1,156,300","264,300",-,"892,000",-,"45,700",-,-,-,-,-,"127,700","-307,000","1,133,000","63,800",-,-,"735,700","525,800","525,800",-,"209,900","333,500",-,-,-,-,"393,000","154,000","239,000","239,000","239,000","239,000",-,-,-,-,-,"239,000",0.37,0.36,"570,118","576,905","196,300","239,000","239,000",-,"18,900","239,000",-,-,0,0
108,6/30/1996,"1,815,900","483,600","863,300",-,-,-,-,-,-,"379,700",-,-,-,-,-,"1,332,300","1,126,700","1,126,700","303,800",-,"822,900",-,"57,600",-,-,-,-,-,"148,000","-274,200","1,153,600","63,700",-,-,"754,300","552,900","552,900",-,"201,400","335,600",-,-,-,-,"388,100","149,300","238,800","238,800","238,800","238,800",-,-,-,-,-,"238,800",0.44,0.43,"542,727","555,349","209,400","238,800","238,800",-,"20,300","238,800",-,-,0,0
109,3/31/1996,"1,775,500","470,700","861,400",-,-,-,-,-,-,"390,700",-,-,-,-,-,"1,304,800","1,096,400","1,096,400","300,700",-,"795,700",-,"64,700",-,-,-,-,-,"143,700","-228,000","1,147,100","61,200",-,-,"762,200","570,300","570,300",-,"191,900","323,700",-,-,-,-,"400,400","154,600","245,800","245,800","245,800","245,800",-,-,-,-,-,"245,800",0.42,0.41,"585,238","599,512","242,700","245,800","245,800",-,"19,600","245,800",-,-,0,0
110,12/31/1995,"1,724,900","502,200","905,000",-,-,-,-,-,-,"402,800",-,-,-,-,-,"1,222,700","1,038,600","1,038,600","273,800",-,"764,800",-,"48,800",-,-,-,-,-,"135,300","-292,700","1,139,600","61,900",-,-,"720,900","496,900","496,900",-,"224,000","356,800",-,-,-,-,"292,600","114,500","178,100","178,100","178,100","178,100",-,-,-,-,-,"178,100",-,-,-,-,"209,500","178,100","178,100",-,"19,200","178,100",-,-,0,0
111,9/30/1995,"1,643,900","469,500","844,200",-,-,-,-,-,-,"374,700",-,-,-,-,-,"1,174,400","991,500","991,500","266,200",-,"725,300",-,"45,100",-,-,-,-,-,"137,800","-192,700","1,095,500","60,800",-,-,"715,900","511,500","511,500",-,"204,400","318,800",-,-,-,-,"355,700","137,000","218,700","218,700","218,700","218,700",-,-,-,-,-,"218,700",0.31,0.31,"705,484","705,484","276,800","218,700","218,700",-,"19,200","218,700",-,-,0,0
112,6/30/1995,"1,562,500","428,200","812,600",-,-,-,-,-,-,"384,400",-,-,-,-,-,"1,134,300","938,700","938,700","247,900",-,"690,800",-,"48,700",-,-,-,-,-,"146,900","-137,600","1,039,600","58,400",-,-,"648,500","489,500","489,500",-,"159,000","332,700",-,-,-,-,"385,300","147,800","237,500","237,500","237,500","237,500",-,-,-,-,-,"237,500",0.35,0.34,"678,571","698,529","290,600","237,500","237,500",-,"16,300","237,500",-,-,0,0
113,3/31/1995,"1,488,300","404,300","757,200",-,-,-,-,-,-,"352,900",-,-,-,-,-,"1,084,000","892,700","892,700","234,600",-,"658,100",-,"38,900",-,-,-,-,-,"152,400","-120,700","1,005,300","54,400",-,-,"631,400","483,700","483,700",-,"147,700","319,500",-,-,-,-,"362,300","140,200","222,100","222,100","222,100","222,100",-,-,-,-,-,"222,100",0.33,0.33,"673,030","673,030","283,600","222,100","222,100",-,"15,300","222,100",-,-,0,0
114,12/31/1994,"1,468,700","386,400","706,300",-,-,-,-,-,-,"319,900",-,-,-,-,-,"1,082,300","888,100","888,100","211,600",-,"676,500",-,"41,100",-,-,-,-,-,"153,100","-209,800","1,026,400","57,700",-,-,"629,800","428,100","428,100",-,"201,700","338,900",-,-,-,-,"232,500","92,500","140,000","140,000","140,000","140,000",-,-,-,-,-,"140,000",-,-,-,-,"176,600","140,000","140,000",-,"22,900","140,000",-,-,0,0
115,9/30/1994,"1,377,300","390,300","653,800",-,-,-,-,-,-,"263,500",-,-,-,-,-,"987,000","836,600","836,600","208,200",-,"628,400",-,"32,500",-,-,-,-,-,"117,900","-137,100","940,000","58,100",-,-,"600,200","432,700","432,700",-,"167,500","281,700",-,-,-,-,"300,200","115,700","184,500","184,500","184,500","184,500",-,-,-,-,-,"184,500",0.27,0.27,"683,333","683,333","253,200","184,500","184,500",-,"10,000","184,500",-,-,0,0
116,6/30/1994,"1,334,600","357,900","604,200",-,-,-,-,-,-,"246,300",-,-,-,-,-,"976,700","798,200","798,200","206,900",-,"591,300",-,"40,300",-,-,-,-,-,"138,200","-98,100","898,400","57,400",-,-,"552,900","432,500","432,500",-,"120,400","288,100",-,-,-,-,"338,100","131,200","206,900","206,900","206,900","206,900",-,-,-,-,-,"206,900",0.31,0.31,"667,419","667,419","259,800","206,900","206,900",-,"13,400","206,900",-,-,0,0
117,3/31/1994,"1,373,500","324,100","542,900",-,-,-,-,-,-,"218,800",-,-,-,-,-,"1,049,400","850,800","850,800","247,600",-,"603,200",-,"84,000",-,-,-,-,-,"114,600","-103,400","926,300","54,900",-,-,"588,500","470,900","470,900",-,"117,600","282,900",-,-,-,-,"343,800","134,300","209,500","209,500","209,500","209,500",-,-,-,-,-,"209,500",0.31,0.31,"675,806","675,806","220,700","209,500","209,500",-,"12,500","209,500",-,-,0,0
118,12/31/1993,"1,302,200","299,800","516,200",-,-,-,-,-,-,"216,400",-,-,-,-,-,"1,002,400","808,500","808,500","237,100",-,"571,400",-,"90,900",-,-,-,-,-,"103,000","-154,300","924,100","56,600",-,-,"577,300","415,400","415,400",-,"161,900","290,200",-,-,-,-,"223,800","85,300","138,500","138,500","138,500","138,500",-,-,-,-,-,"138,500",-,-,-,-,"145,500","138,500","138,500",-,"14,200","138,500",-,-,0,0
119,9/30/1993,"1,291,200","313,000","517,600",-,-,-,-,-,-,"204,600",-,-,-,-,-,"978,200","766,600","766,600","226,300",-,"540,300",-,"90,200",-,-,-,-,-,"121,400","-114,900","898,400","56,300",-,-,"528,600","418,500","418,500",-,"110,100","313,500",-,-,-,-,"277,900","106,300","171,600","171,600","171,600","171,600",-,-,-,-,-,"171,600",0.26,0.26,"660,000","660,000","198,100","171,600","171,600",-,"16,500","171,600",-,-,0,0
120,6/30/1993,"1,241,300","266,600","449,500",-,-,-,-,-,-,"182,900",-,-,-,-,-,"974,700","737,000","737,000","213,500",-,"523,500",-,"115,900",-,-,-,-,-,"121,800","-98,400","879,000","53,700",-,-,"533,400","432,800","432,800",-,"100,600","291,900",-,-,-,-,"263,900","106,800","157,100","157,100","157,100","157,100",-,-,-,-,-,"157,100",0.23,0.23,"683,043","683,043","168,200","157,100","157,100",-,"8,400","157,100",-,-,0,0
121,3/31/1993,"1,171,600","214,500","425,900",-,-,-,-,-,-,"211,400",-,-,-,-,-,"957,100","733,500","733,500","227,100",-,"506,400",-,"97,900",-,-,-,-,-,"125,700","-90,000","851,000","51,200",-,-,"535,000","437,200","437,200",-,"97,800","264,800",-,-,-,-,"230,600","94,200","136,400","136,400","136,400","136,400",-,-,-,-,-,"136,400",0.20,0.20,"682,000","682,000","124,500","136,400","136,400",-,"12,200","136,400",-,-,0,0
122,1/31/1993,"355,000","340,700","1,440,500",-,-,"189,700",-,-,"1,250,800","1,099,800",-,-,-,-,-,"14,300","81,700","81,700","81,700",-,-,-,"227,900",-,-,-,-,-,"-295,300",-,"500,800","-54,700","-54,700",-,"306,500","306,500","306,500",-,-,"249,000",-,-,-,-,"194,900","53,000","129,700","141,900","141,900","141,900",-,-,-,-,"12,200","129,700",-,-,-,-,"340,700","141,900","141,900",-,-,"141,900",-,-,0,0
123,10/31/1992,"317,000","434,600","1,312,100",-,-,"343,400",-,-,"968,700","877,500",-,-,-,-,-,"-117,600","76,300","76,300","76,300",-,-,-,"182,300",-,-,-,-,-,"-376,200",-,"575,900","-59,000","-59,000",-,"379,600","379,600","379,600",-,-,"255,300",-,-,-,-,"175,700","65,100","98,300","110,600","110,600","110,600",-,-,-,-,"12,300","98,300",0.63,0.61,"156,032","161,148","434,600","110,600","110,600",-,-,"110,600",-,-,0,0
124,7/31/1992,"418,400","345,600","1,873,700",-,-,"224,900",-,-,"1,648,800","1,528,100",-,-,-,-,-,"72,800","77,400","77,400","77,400",-,-,-,"284,200",-,-,-,-,-,"-288,800",-,"568,900","-57,300","-57,300",-,"371,600","371,600","371,600",-,-,"254,600",-,-,-,-,"195,200","76,200","106,500","119,000","119,000","119,000",-,-,-,-,"12,500","106,500",0.68,0.66,"156,618","161,364","345,600","119,000","119,000",-,-,"119,000",-,-,0,0
125,4/30/1992,"396,800","411,500","1,545,200",-,-,"323,100",-,-,"1,222,100","1,133,700",-,-,-,-,-,"-14,700","76,200","76,200","76,200",-,-,-,"270,400",-,-,-,-,-,"-361,300",-,"580,500","-57,100","-57,100",-,"399,000","399,000","399,000",-,-,"238,600",-,-,-,-,"227,900","88,800","126,700","139,100","139,100","139,100",-,-,-,-,"12,400","126,700",0.81,0.78,"156,420","162,436","411,500","139,100","139,100",-,-,"139,100",-,-,0,0
126,12/31/1991,"374,400","342,100","1,413,000",-,-,"260,600",-,-,"1,152,400","1,070,900",-,-,-,-,-,"32,300","73,900","73,900","73,900",-,-,-,"252,300",-,-,-,-,-,"-293,900",-,"510,600","-58,900","-58,900",-,"326,800","326,800","326,800",-,-,"242,700",-,-,-,-,"206,000","73,600","122,900","132,400","132,400","132,400",-,-,-,-,"9,500","122,900",-,-,-,-,"342,100","132,400","132,400",-,-,"132,400",-,-,0,0
127,9/30/1991,"305,800","421,200","1,432,500",-,-,"357,100",-,-,"1,075,400","1,011,300",-,-,-,-,-,"-115,400","67,000","67,000","67,000",-,-,-,"193,600",-,-,-,-,-,"-376,000",-,"532,000","-52,800","-52,800",-,"361,400","361,400","361,400",-,-,"223,400",-,-,-,-,"195,200","73,400","114,500","121,800","121,800","121,800",-,-,-,-,"7,300","114,500",0.76,0.73,"150,658","156,849","421,200","121,800","121,800",-,-,"121,800",-,-,0,0
128,6/30/1991,"286,200","382,800","1,341,300",-,-,"323,700",-,-,"1,017,600","958,500",-,-,-,-,-,"-96,600","55,600","55,600","55,600",-,-,-,"190,500",-,-,-,-,-,"-342,700",-,"501,300","-52,900","-52,900",-,"333,900","333,900","333,900",-,-,"220,300",-,-,-,-,"167,900","67,000","95,000","100,900","100,900","100,900",-,-,-,-,"5,900","95,000",0.63,0.61,"150,794","155,738","382,800","100,900","100,900",-,-,"100,900",-,-,0,0
129,3/31/1991,"298,900","449,000","1,333,000",-,-,"397,700",-,-,"935,300","884,000",-,-,-,-,-,"-150,100","74,600","74,600","74,600",-,-,-,"187,000",-,-,-,-,-,"-411,700",-,"544,300","-53,000","-53,000",-,"373,900","373,900","373,900",-,-,"223,400",-,-,-,-,"203,600","83,500","114,700","120,100","120,100","120,100",-,-,-,-,"5,400","114,700",0.77,0.73,"148,961","157,123","449,000","120,100","120,100",-,-,"120,100",-,-,0,0
130,12/31/1990,"255,800","232,500","1,221,300",-,-,"176,800",-,-,"1,044,500","988,800",-,-,-,-,-,"23,300","72,800","72,800","72,800",-,-,-,"146,300",-,-,-,-,-,"-195,800",-,"386,900","-51,100","-51,100",-,"223,100","223,100","223,100",-,-,"214,900",-,-,-,-,"101,300","43,000","51,700","58,300","58,300","58,300",-,-,-,-,"6,600","51,700",-,-,-,-,"232,500","58,300","58,300",-,-,"58,300",-,-,0,0
131,9/30/1990,"288,800","299,200","1,260,600",-,-,"245,700",-,-,"1,014,900","961,400",-,-,-,-,-,"-10,400","70,600","70,600","70,600",-,-,-,"176,600",-,-,-,-,-,"-257,600",-,"460,800","-51,000","-51,000",-,"302,300","302,300","302,300",-,-,"209,500",-,-,-,-,"127,200","55,300","67,400","71,900","71,900","71,900",-,-,-,-,"4,500","67,400",0.46,0.46,"146,522","146,522","299,200","71,900","71,900",-,-,"71,900",-,-,0,0
132,6/30/1990,"468,000","36,200","978,100",-,-,-,-,-,-,"941,900",-,-,-,-,-,"431,800","267,100","267,100","65,100","202,000",-,-,"166,100",-,-,-,-,-,"-1,400",-,"404,100","-49,200","-49,200",-,"250,400","250,400","250,400",-,-,"202,900",-,-,-,-,"100,000","42,000","58,000","58,000","58,000","58,000",-,-,-,-,-,"58,000",0.36,0.36,"161,111","161,111","36,200","58,000","58,000",-,-,"58,000",-,-,0,0
133,3/31/1990,"261,500","316,700","1,135,600",-,-,"278,700",-,-,"856,900","818,900",-,-,-,-,-,"-55,200","66,600","66,600","66,600",-,-,-,"163,200",-,-,-,-,-,"-285,000",-,"436,600","-47,800","-47,800",-,"281,100","281,100","281,100",-,-,"203,300",-,-,-,-,"141,600","59,500","82,100","82,100","82,100","82,100",-,-,-,-,-,"82,100",0.52,0.52,"157,885","157,885","316,700","82,100","82,100",-,-,"82,100",-,-,0,0
134,12/31/1989,"396,400","308,200","1,196,500",-,-,"268,400",-,-,"928,100","888,300",-,-,-,-,-,"88,200","65,100","65,100","65,100",-,-,-,"298,300",-,-,-,-,-,"-275,200",-,"460,900","-48,100","-48,100",-,"312,600","312,600","312,600",-,-,"196,400",-,-,-,-,"243,500","94,900","144,300","148,600","148,600","148,600",-,-,-,-,"4,300","144,300",-,-,-,-,"308,200","148,600","148,600",-,-,"148,600",-,-,0,0
135,9/30/1989,"284,600","297,800","1,198,600",-,-,"244,800",-,-,"953,800","900,800",-,-,-,-,-,"-13,200","60,600","60,600","60,600",-,-,-,"192,100",-,-,-,-,-,"-265,900",-,"415,200","-48,300","-48,300",-,"269,700","269,700","269,700",-,-,"193,800",-,-,-,-,"167,200","66,100","96,600","101,100","101,100","101,100",-,-,-,-,"4,500","96,600",0.64,0.64,"150,938","150,938","297,800","101,100","101,100",-,-,"101,100",-,-,0,0
136,6/30/1989,"324,400","307,100","1,191,700",-,-,"278,000",-,-,"913,700","884,600",-,-,-,-,-,"17,300","61,800","61,800","61,800",-,-,-,"226,400",-,-,-,-,-,"-270,900",-,"441,500","-46,100","-46,100",-,"294,600","294,600","294,600",-,-,"193,000",-,-,-,-,"190,000","77,900","107,100","112,100","112,100","112,100",-,-,-,-,"5,000","107,100",0.71,0.71,"150,845","150,845","307,100","112,100","112,100",-,-,"112,100",-,-,0,0
137,3/31/1989,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"81,100","81,100","81,100","81,100",-,-,-,-,-,"81,100",0.51,0.51,"159,020","159,020",-,"81,100","81,100",-,-,"81,100",-,-,0,0
138,12/31/1988,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"93,300","108,300","108,300","108,300",-,-,-,-,-,"93,300",-,-,-,-,-,"108,300","108,300",-,-,"108,300",-,-,0,0
139,9/30/1988,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"52,400","52,400","52,400","52,400",-,-,-,-,-,"52,400",0.33,0.33,"158,788","158,788",-,"52,400","52,400",-,-,"52,400",-,-,0,0
140,6/30/1988,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"135,300","135,300","135,300","135,300",-,-,-,-,-,"135,300",0.88,0.88,"153,750","153,750",-,"135,300","135,300",-,-,"135,300",-,-,0,0
141,3/31/1988,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"98,600","98,600","98,600","98,600",-,-,-,-,-,"98,600",0.64,0.64,"154,063","154,063",-,"98,600","98,600",-,-,"98,600",-,-,0,0
142,12/31/1987,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"31,300","31,300","31,300","31,300",-,-,-,-,-,"31,300",-,-,-,-,-,"31,300","31,300",-,-,"31,300",-,-,0,0
143,9/30/1987,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"72,900","72,900","72,900","72,900",-,-,-,-,-,"72,900",0.47,0.47,"155,106","155,106",-,"72,900","72,900",-,-,"72,900",-,-,0,0
144,6/30/1987,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"62,400","62,400","62,400","62,400",-,-,-,-,-,"62,400",0.41,0.41,"152,195","152,195",-,"62,400","62,400",-,-,"62,400",-,-,0,0
145,3/31/1987,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"64,300","64,300","64,300","64,300",-,-,-,-,-,"64,300",0.43,0.43,"149,535","149,535",-,"64,300","64,300",-,-,"64,300",-,-,0,0
146,12/31/1986,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"57,300","58,300","58,300","58,300",-,-,-,-,-,"57,300",-,-,-,-,-,"58,300","58,300",-,-,"58,300",-,-,0,0
147,9/30/1986,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"39,500","39,500","39,500","39,500",-,-,-,-,-,"39,500",0.27,0.27,"146,296","146,296",-,"39,500","39,500",-,-,"39,500",-,-,0,0
148,6/30/1986,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"45,500","45,500","45,500","45,500",-,-,-,-,-,"45,500",0.31,0.31,"146,774","146,774",-,"45,500","45,500",-,-,"45,500",-,-,0,0
149,3/31/1986,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"58,000","58,000","58,000","58,000",-,-,-,-,-,"58,000",0.47,0.47,"123,404","123,404",-,"58,000","58,000",-,-,"58,000",-,-,0,0
150,12/31/1985,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"25,500","26,500","26,500","26,500",-,-,-,-,-,"25,500",-,-,-,-,-,"26,500","26,500",-,-,"26,500",-,-,0,0
151,9/30/1985,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"26,500","26,500","26,500","26,500",-,-,-,-,-,"26,500",0.23,0.23,"115,217","115,217",-,"26,500","26,500",-,-,"26,500",-,-,0,0
