,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Sale of Business,Gain Loss On Investment Securities,Earnings Losses from Equity Investments,Pension And Employee Benefit Expense,Realized Gain Loss On Sale of Loans And Lease,Depreciation Amortization Depletion,Depreciation & amortization,Deferred Tax,Deferred Income Tax,Other non-cash items,Asset Impairment Charge,Stock based compensation,Provision for Loan Lease And Other Losses,Change in working capital,Change in Receivables,Changes in Account Receivables,Change in Payables And Accrued Expense,Change in Payable,Change in Tax Payable,Change in Income Tax Payable,Change in Account Payable,Change in Loans,Change in Other Current Assets,Change in Other Current Liabilities,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Purchase of PPE,Sale of PPE,Net Business Purchase And Sale,Purchase of Business,Sale of Business,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Net Other Financing Charges,Other Cash Adjustment Inside Change in Cash,End Cash Position,Changes in Cash,Effect of Exchange Rate Changes,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
10,12/31/2013,"35,553,000","35,553,000","3,613,000","-454,000","-34,000","-45,000","-375,000",-,-,"1,511,000","1,511,000","-117,000","-117,000","100,000","198,000","1,180,000","110,000","29,412,000","6,774,000","6,774,000","26,697,000","26,697,000",-,-,"26,697,000","39,284,000",-,-,"-43,343,000","-24,461,000","-24,461,000","-14,375,000","-30,557,000","16,182,000","-10,057,000",-,-,"-1,316,000","-1,316,000",-,"1,147,000",-,"1,147,000","140,000","2,633,000","2,633,000","-10,799,000","-10,803,000","27,939,000","-38,742,000","4,000",-,"-691,000",-,"-691,000","1,696,000","1,696,000",-,"-475,000","-16,211,000",-,"59,883,000","13,725,000","-202,000","46,904,000","-544,000","930,000","4,793,000","-1,316,000","1,696,000","27,939,000","-38,742,000","-691,000","34,237,000"
11,12/31/2012,"24,548,000","24,548,000","716,000","-240,000","-156,000","-78,000","23,000",0,-,"1,581,000","1,581,000","-639,000","-639,000",-,"271,000","891,000","155,000","21,813,000","-10,200,000","-10,200,000","-1,283,000","-1,283,000",-,-,"-1,283,000","16,663,000",-,-,"16,633,000","-12,414,000","-12,414,000","-9,341,000","-24,477,000","15,136,000","-3,486,000",-,-,"-1,312,000","-1,312,000",-,"1,725,000",0,"1,725,000",-,"-11,897,000","-11,897,000","-20,151,000","-19,446,000","23,646,000","-43,092,000","-705,000",-,"-227,000",0,"-227,000",-,-,-,"-469,000","-8,654,000",-,"46,904,000","237,000","-119,000","47,312,000","-526,000","88,000","5,213,000","-1,312,000",0,"23,646,000","-43,092,000","-227,000","23,236,000"
12,12/31/2011,"6,684,000","6,684,000","4,645,000","673,000","-24,000","-143,000","995,000",0,-,"1,404,000","1,404,000","413,000","413,000",-,"159,000","1,300,000",-,"-1,910,000","1,519,000","1,519,000","-6,963,000","-6,963,000",-,-,"-6,963,000","-24,700,000","-15,932,000","19,466,000","28,234,000","-2,036,000","-2,036,000","-732,000","-20,601,000","19,998,000",-,-,-,"-1,304,000","-1,304,000",-,0,0,0,-,"-5,148,000","-5,148,000","-6,920,000","-6,507,000","32,725,000","-39,232,000","-413,000",-,"-317,000",0,"-317,000",0,-,0,"-834,000","1,073,000",-,"47,312,000","-500,000","-314,000","47,615,000","511,000","892,000","6,835,000","-1,304,000",0,"32,725,000","-39,232,000","-317,000","5,380,000"
13,12/31/2010,"40,307,000","40,307,000","5,702,000","-204,000","-48,000","-102,000",-,"-54,000","1,190,000","1,419,000","1,419,000","-129,000","-129,000","-76,000","201,000","1,260,000",-,"32,134,000","-9,568,000","-9,568,000","761,000","761,000",-,-,"761,000","-14,379,000","43,138,000","-2,197,000","55,320,000","-29,157,000","-29,157,000","-28,743,000","-29,989,000","1,246,000",-,-,-,"-1,201,000","-1,201,000",-,"787,000","-1,042,000","1,829,000",-,"4,163,000","4,163,000","-379,000","-1,257,000","32,523,000","-33,780,000","878,000",-,"5,264,000","5,581,000","-317,000",0,0,0,"-1,156,000","-1,163,000",-,"47,615,000","15,313,000","14,000","31,991,000","297,000","1,091,000","5,891,000","-1,201,000","5,581,000","32,523,000","-33,780,000","-317,000","39,106,000"
14,12/31/2009,"-45,951,000","-45,951,000","1,406,000","-1,097,000","-606,000",-,-,-,-,"1,224,000","1,224,000","-932,000","-932,000",-,"823,000","1,265,000",0,"-48,640,000","-2,445,000","-2,445,000","818,000","818,000",-,-,"818,000","46,689,000","-38,180,000","-8,833,000","-93,702,000","-4,472,000","-4,472,000",0,0,0,0,0,0,"-2,877,000","-2,877,000",-,"-1,595,000","-2,160,000","565,000",-,"3,024,000","3,024,000","3,061,000","10,785,000","43,960,000","-33,175,000","-7,724,000","-7,724,000","6,205,000","6,255,000","-50,000","-10,950,000",0,"-10,950,000","-1,732,000","-4,420,000",-,"31,991,000","-47,399,000","720,000","78,670,000",-,"1,028,000","7,605,000","-2,877,000","6,255,000","43,960,000","-33,175,000","-11,000,000","-48,828,000"
15,11/30/2008,"73,417,000","73,417,000","1,707,000","-4,484,000","-2,232,000",-,-,-,-,"794,000","794,000","-1,224,000","-1,224,000","3,116,000","1,238,000","1,878,000",0,"73,508,000","54,531,000","54,531,000","-114,500,000","-114,500,000",-,-,"-114,500,000","-6,329,000",-,-,"139,806,000","729,000","729,000",0,0,0,0,0,0,"-1,400,000","-1,400,000",-,"2,129,000","-174,000","2,303,000",-,"-18,544,000","-18,544,000","-32,222,000","-8,210,000","47,910,000","-56,120,000","-24,012,000",-,"-1,431,000","397,000","-1,828,000","18,997,000","18,997,000",-,"-1,227,000","-14,237,000",-,"78,654,000","55,602,000","-2,546,000","25,598,000",-,"1,406,000","35,587,000","-1,400,000","19,394,000","47,910,000","-56,120,000","-1,828,000","72,017,000"
16,11/30/2007,"-22,093,000","-22,093,000","3,209,000","-121,000","-168,000","47,000","47,000",-,-,"475,000","475,000","-2,046,000","-2,046,000","-38,000","437,000","1,941,000","478,000","-26,428,000","1,786,000","1,786,000","71,057,000","71,057,000",-,-,"71,057,000","-56,461,000",-,-,"-42,810,000","-11,438,000","-11,438,000","-9,801,000","-14,073,000","4,272,000","525,000","5,301,000","-4,776,000","-1,469,000","-1,469,000",-,"-693,000","-1,169,000","476,000","525,000","38,523,000","38,523,000","49,694,000","41,420,000","74,540,000","-33,120,000","8,274,000",-,"-2,627,000","1,192,000","-3,819,000",0,0,-,"-1,219,000","-30,424,000",-,"25,598,000","4,992,000",-,"20,606,000",-,"3,404,000","59,955,000","-1,469,000","1,192,000","74,540,000","-33,120,000","-3,819,000","-23,562,000"
17,11/30/2006,"-60,803,000","-60,803,000","7,472,000",-,-,-,-,-,-,"876,000","876,000","212,000","212,000","125,000",-,"1,955,000","756,000","-72,199,000","-38,421,000","-38,421,000","33,603,000","33,603,000",-,-,"33,603,000","29,756,000",-,-,"-97,137,000","-2,345,000","-2,345,000",-,-,-,"-632,000","11,532,000","-12,164,000","993,000",-,"993,000","-2,706,000","-2,706,000",-,"-632,000","54,340,000","54,340,000","24,784,000","27,206,000","47,849,000","-20,643,000","-2,422,000",-,"-2,733,000","643,000","-3,376,000","1,097,000","1,097,000",-,"-1,167,000","22,712,000",-,"20,606,000","-8,808,000",-,"29,414,000",-,-,-,-,"1,740,000","47,849,000","-20,643,000","-3,376,000","-60,803,000"
18,11/30/2005,"-31,352,000","-31,352,000","4,939,000",-,-,-,-,-,-,"815,000","815,000","-1,076,000","-1,076,000","-29,146,000",-,-,-,"-6,884,000",-,-,-,-,-,-,-,-,-,-,-,"-4,121,000","-4,121,000",-,-,-,-,-,-,"-540,000",-,-,"-323,000",-,-,"-3,258,000","32,076,000","32,076,000","31,381,000","36,564,000","53,299,000","-16,735,000","-5,183,000",-,"-3,366,000",-,-,-,-,-,"-1,180,000","355,000",-,"29,414,000","-3,397,000",-,"32,811,000",-,-,-,"-540,000",-,"53,299,000","-16,735,000",-,"-31,892,000"
19,11/30/2004,"-24,506,000","-24,506,000","4,486,000",-,-,-,-,-,-,"805,000","805,000","-195,000","-195,000","1,718,000",-,-,-,"-31,320,000",-,-,-,-,-,-,-,-,-,-,-,"-3,096,000","-3,096,000",-,-,-,-,-,-,"-569,000",-,-,"-758,000",-,-,"-1,769,000","30,721,000","30,721,000","31,689,000","25,686,000","37,601,000","-11,915,000","6,003,000",-,"-810,000",-,-,-,-,-,"-1,096,000",-,-,"32,811,000","3,119,000",-,"29,692,000",-,-,-,"-569,000",-,"37,601,000","-11,915,000",-,"-25,075,000"
