,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash And Due from Banks,Restricted Cash And Investments,Restricted Cash & Cash Equivalents,Restricted Investments,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Security Agree to be Resold,Security Borrowed,Customer Acceptances,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Net PPE,Gross PPE,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Financial Instruments Sold Under Agreements To Repurchase,Securities Loaned,Payables And Accrued Expenses,Payables,Accounts Payable,Total Tax Payable,Income Tax Payable,Other Payable,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Commercial Paper,Other Current Borrowings,Trading Liabilities,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Capital Lease Obligation,Preferred Securities Outside Stock Equity,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Foreign Currency Translation Adjustments,Other Equity Adjustments,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
26,12/31/1996,"42,413,600","1,999,200","1,999,200",-,"1,999,200",-,-,-,-,-,-,-,-,"11,388,000",-,"11,388,000",-,-,-,-,"22,372,900","23,188,200",-,-,-,-,"23,188,200","815,300","3,643,600",-,-,-,"379,700",-,-,-,-,-,-,"2,630,200","37,249,200","2,371,900","2,371,900","2,371,900",-,"4,840,700",-,-,"4,206,200","4,206,200","4,049,400","156,800","156,800",-,-,"4,840,700","4,840,700",-,"4,840,700",-,-,"17,941,300","17,941,300",-,-,"3,048,400","5,164,400","5,164,400",-,-,-,"2,972,700",-,-,-,-,-,"2,191,700",-,"23,105,700",-,"5,164,400",-,"5,164,400","27,946,400","5,164,400","22,782,000","20,782,800","639,400","639,400",-,-
27,12/31/1995,"38,208,200","1,464,500","1,464,500",-,"1,464,500",-,-,-,-,-,-,-,-,"5,420,700",-,"5,420,700",-,-,-,-,"20,834,600","21,556,400",-,-,-,-,"21,556,400","721,800","6,004,900",-,-,-,"341,000",-,-,-,"161,900",-,-,"3,980,600","33,374,500","6,191,100","6,191,100","6,191,100",-,"4,938,600",-,-,"6,397,500","6,397,500",-,-,-,-,-,"6,325,500","6,325,500",-,"6,325,500",-,-,"6,732,400","6,732,400",-,-,"2,789,400","4,833,700","4,833,700",-,-,-,"2,165,700",-,-,-,-,-,"2,668,000",-,"11,566,100",-,"4,833,700",-,"4,671,800","17,891,600","4,671,800","13,057,900","11,593,400","675,200","675,200",-,-
28,12/31/1994,"31,859,400","1,334,100","1,334,100",-,"1,334,100",-,-,-,-,-,-,-,-,"5,215,100",-,"5,215,100",-,-,-,-,"15,608,400","16,174,100",-,-,-,-,"16,174,100","565,700","5,988,500",-,-,-,"280,600",-,-,-,"164,900",-,-,"3,267,800","27,751,400","5,208,700","5,208,700","5,208,700",-,"4,712,400",-,-,"6,143,600","6,143,600",-,-,-,-,-,"1,552,400","1,552,400",-,"1,552,400",-,-,"7,789,800","7,789,800",-,-,"2,344,500","4,108,000","4,108,000",-,-,-,"1,418,300",-,-,-,-,-,"2,689,700",-,"11,897,800",-,"4,108,000",-,"3,943,100","13,450,200","3,943,100","9,342,200","8,008,100","675,600","675,600",-,-
29,12/31/1993,"27,662,300","830,300","830,300",-,"830,300",-,-,-,-,-,-,-,-,"5,472,000",-,"5,472,000",-,-,-,-,"11,711,400","12,148,200",-,-,-,-,"12,148,200","436,800","5,691,300",-,-,-,"257,500",-,-,-,"173,500",-,-,"3,526,300","24,185,200","4,888,100","4,888,100","4,888,100",-,"4,768,400",-,-,"6,122,200","6,122,200",-,-,-,-,-,"1,035,400","1,035,400",-,"1,035,400",-,-,"5,365,600","5,365,600",-,-,"2,005,500","3,477,100","3,477,100",-,-,-,"762,600",-,-,-,-,-,"2,714,500",-,"8,842,700",-,"3,477,100",-,"3,303,600","9,878,100","3,303,600","6,401,000","5,570,700","682,400","682,400",-,-
30,1/31/1993,"80,353,200","46,978,500","2,563,700",-,"2,563,700",-,-,-,"44,414,800","44,414,800",-,-,-,"26,714,600",-,-,-,"26,714,600",-,-,-,-,-,-,-,-,-,-,"3,699,100","3,699,100","3,699,100",-,"552,300",-,-,-,-,-,-,"2,408,700","76,919,100",-,-,-,-,"55,019,500",-,-,"462,400","462,400","462,400",-,-,-,-,"7,687,600","7,687,600",-,"7,687,600",-,-,"3,960,000","3,960,000",-,-,"9,789,600","3,434,100","3,434,100",-,-,-,"2,442,400",-,-,"-1,800","-1,800",-,"993,500",-,"7,394,100",-,"3,434,100",-,"3,434,100","15,081,700","3,434,100","11,647,600","9,083,900","680,000","680,000",-,-
31,12/31/1991,"63,709,100","40,094,300","3,230,300",-,"3,230,300",-,-,-,"36,864,000","36,864,000",-,-,-,"19,030,000",-,-,-,"19,030,000",-,-,-,-,-,-,-,-,-,-,"2,372,200","2,372,200","2,372,200",-,"543,600",-,-,-,-,-,-,"1,669,000","60,715,700",-,-,-,-,"42,383,900",-,-,"396,700","396,700","396,700",-,-,-,-,"6,731,300","6,731,300",-,"6,731,300",-,-,"2,836,700","2,836,700",-,-,"8,367,100","2,993,400","2,993,400",-,-,-,"2,011,500",-,-,"14,700","14,700",-,"967,200",-,"5,830,100",-,"2,993,400",-,"2,993,400","12,561,400","2,993,400","9,568,000","6,337,700",-,-,-,-
32,12/31/1990,"53,526,500","41,712,900","2,308,700",-,"2,308,700",-,-,-,"39,404,200","39,404,200",-,-,-,"8,481,200",-,-,-,"8,481,200",-,-,-,-,-,-,-,-,-,-,"1,998,600","1,998,600","1,998,600",-,"385,300",-,-,-,-,-,-,"948,500","51,355,000",-,-,-,-,"37,599,300",-,-,"222,600","222,600","222,600",-,-,-,-,"5,420,400","5,420,400",-,"5,420,400",-,-,"1,381,600","1,381,600",-,-,"6,731,100","2,171,500","2,171,500",-,-,-,"1,621,900",-,-,"26,900","26,900",-,"522,700",-,"3,553,100",-,"2,171,500",-,"2,171,500","8,973,500","2,171,500","6,802,000","4,493,300",-,-,-,-
33,12/31/1989,"53,275,500","41,984,700","1,862,000",-,"1,862,000",-,-,-,"40,122,700","40,122,700",-,-,-,"7,905,300",-,-,-,"7,905,300",-,-,-,-,-,-,-,-,-,-,"1,798,700","1,798,700",-,-,"267,600",-,-,-,-,-,-,"1,319,200","51,254,500",-,-,-,-,"40,522,400",-,-,-,-,-,-,-,-,-,"5,287,400","5,287,400",-,"5,287,400",-,-,"742,900","742,900",-,-,"4,701,800","2,021,000","2,021,000",-,-,-,"1,424,900",-,-,"12,400","12,400",-,"583,700",-,"2,763,900",-,"2,021,000",-,"2,021,000","8,051,300","2,021,000","6,030,300","4,168,300",-,-,-,-
34,12/31/1988,"40,050,800",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"38,713,300",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"814,800","814,800",-,-,"37,898,500","1,337,500","1,337,500",-,-,-,"1,036,900",-,-,-,-,-,"300,600",-,"2,152,300",-,"1,337,500",-,"1,337,500","2,152,300","1,337,500","814,800","814,800",-,-,-,-
35,12/31/1987,"29,662,600",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"28,662,100",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"582,600","582,600",-,-,"28,079,500","1,000,500","1,000,500",-,-,-,"680,300",-,-,-,-,-,"320,200",-,"1,583,100",-,"1,000,500",-,"1,000,500","1,583,100","1,000,500","582,600","582,600",-,-,-,-
36,12/31/1986,"28,392,800",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"27,607,200",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"539,200","539,200",-,-,"27,068,000","785,600","785,600",-,-,-,"473,400",-,-,-,-,-,"312,200",-,"1,324,800",-,"785,600",-,"785,600","1,324,800","785,600","539,200","539,200",-,-,-,-
37,12/31/1985,"15,794,100",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"15,492,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"358,000","358,000",-,-,"15,134,000","302,100","302,100",-,-,-,"281,800",-,-,-,-,-,"20,300",-,"660,100",-,"302,100",-,"302,100","660,100","302,100","358,000","358,000",-,-,-,-
