,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Security Agree to be Resold,Federal Home Loan Bank Stock,SECURITIES_AND_INVESTMENTS,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Derivative Assets,Net Loan,Gross Loan,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Receivables,Accounts receivable,Gross Accounts Receivable,Prepaid Assets,Net PPE,Gross PPE,Properties,Buildings And Improvements,Machinery Furniture Equipment,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Deferred Assets,Deferred Tax Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Payables And Accrued Expenses,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Long Term Provisions,Employee Benefits,Current Deferred Liabilities,Current Deferred Taxes Liabilities,Non Current Deferred Liabilities,Non Current Deferred Taxes Liabilities,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number
10,12/31/2012,"22,766,123","1,008,983","1,008,983","752,056","123,570","1,008,983","133,357","133,357","133,357","39,806","12,527,442","1,184,265",-,"11,343,177",-,"140,919","8,836,282","8,946,933","7,637,721","144,657","1,164,555","8,946,933","110,651","326,871","326,871",-,461,"66,545","66,545",-,-,"167,993","36,907","66,545","-138,355",-,-,-,-,-,"65,868","20,160,890","19,176,452","5,301,177","5,301,177","13,875,275","160,000","160,000",-,-,-,"166,110","166,110","166,110","71,305","457,762","457,762",-,-,"22,299","94,209",-,-,"25,580","25,580","360,566","2,605,233","1,830,555",45,0,45,"1,174,878","547,079","108,553",-,"774,678","2,288,317",-,"1,830,555",-,"1,830,555","2,454,427","1,830,555","623,872",-,"44,627","44,627",-
11,12/31/2011,"19,968,894","1,114,948","852,010",-,-,"852,010","262,938","262,938","175,553","39,189","11,540,486","11,540,486",-,"87,385",-,"97,693","6,880,135","6,970,082","5,898,700","161,137","910,245","6,970,082","89,947","376,854","376,854","376,854","8,776","56,471","175,041",-,-,"142,437","32,604",-,"-118,570",-,-,-,0,0,"124,012","17,718,505","16,709,536","4,847,648","4,847,648","11,861,888",-,-,-,"114,472","114,472",0,0,0,"16,868","603,648","603,648",-,-,-,-,"7,975","7,975",-,-,"405,321","2,250,389","1,569,392",44,0,44,"999,733","484,216","85,399",-,"680,997","2,173,040",-,"1,569,392",-,"1,569,392","2,173,040","1,569,392","603,648",-,"43,508","43,508",-
12,12/31/2010,"17,527,761","3,076,432","2,672,725",-,-,"2,672,725","403,707","403,707",-,-,"8,639,487","8,639,487",-,-,-,-,"5,439,110","5,521,737","4,594,777","554,527","372,433","5,521,737","82,627","328,187","328,187","328,187",-,"44,545","143,852",-,-,"112,826","31,026",-,"-99,307",-,-,-,-,-,-,"15,779,483","14,336,941","5,325,403","5,325,403","9,011,538",-,-,-,-,-,"37,245","37,245","37,245",-,"1,209,260","1,209,260",-,-,-,-,-,-,-,-,"196,037","1,748,278","1,274,350",42,0,42,"827,831","422,334","24,143",-,"473,928","2,483,610",-,"1,274,350",-,"1,274,350","2,520,855","1,274,350","1,246,505",-,"42,268","42,268",-
13,12/31/2009,"12,841,399","3,512,853","3,454,611",-,-,"3,454,611","58,242","58,242",-,-,"4,491,752","4,491,752",-,-,-,-,"4,475,644","4,548,094","3,603,639","442,628",-,"4,548,094","72,450","329,414","329,414","329,414",-,"31,736","119,558","83,920",-,"9,234","26,404",-,"-87,822",0,0,-,-,-,-,"11,367,289","10,331,937","4,032,949","4,032,949","6,298,988",-,-,-,-,-,"38,755","38,755","38,755",-,"856,650","856,650",-,-,-,-,-,-,-,-,"139,947","1,474,110","1,128,343",41,0,41,"732,907","389,490","5,905",-,"345,767","1,984,993",-,"1,128,343",-,"1,128,343","2,023,748","1,128,343","895,405",-,"41,338","41,338",-
14,12/31/2008,"10,023,208","1,791,396","1,791,396",-,-,"1,791,396","647,414","647,414",-,-,"1,786,100","1,786,100",-,-,-,-,"5,402,557","5,506,253","4,515,019","523,402",-,"5,506,253","103,696","361,060","361,060","361,060",-,"30,589","104,604","69,558",-,"9,153","25,893",-,"-74,015","4,092","4,092",-,-,-,"647,414","8,712,885","7,473,472","3,053,507","3,053,507","4,419,965",-,-,-,-,-,"62,120","62,120","62,120",-,"1,000,640","1,000,640",-,-,-,-,-,-,-,-,"176,653","1,310,323","989,967","221,218","221,185",33,"728,666","45,872","-5,789",-,"320,356","1,990,607","221,185","768,782",-,"985,875","1,831,542","764,690","1,062,760",-,"33,143","33,143",235
15,12/31/2007,"6,692,456","684,063","325,399",-,-,"325,399","358,664","358,664",-,-,"1,602,574","1,602,574",-,-,-,-,"4,104,437","4,151,730",-,-,-,"4,151,730","47,293","258,662","258,662","258,662",-,"38,628",-,-,-,-,-,-,-,"4,092",-,-,-,-,-,"5,775,700","4,611,203","1,384,344","1,384,344","3,226,859",-,-,-,-,-,"90,000","90,000","90,000",-,"875,254","875,254",-,-,-,-,-,-,-,-,"199,243","916,756","676,654",33,-,33,"682,911",-,"-6,290",-,"240,102","1,551,908",-,"676,654",-,"672,562","1,641,908","672,562","965,254","639,855","32,671","32,671",-
16,12/31/2006,"6,081,452","632,585","393,284",-,-,"393,284","239,301","239,301",-,-,"1,692,343","1,692,343",-,-,-,-,"3,439,655","3,482,402",-,-,-,"3,482,402","42,747","258,267","258,267","258,267",-,"37,306",-,-,-,-,-,-,-,"21,296",-,-,-,-,-,"5,286,923","4,057,625","1,018,097","1,018,097","3,039,528","483,537",-,-,-,-,"200,000","200,000","200,000",-,"352,465","352,465",-,-,-,-,-,-,-,-,"193,296","794,529","628,514",34,-,34,"641,528","4,873","-17,921",-,"166,015","980,979",-,"628,514",-,"607,218","1,180,979","607,218","552,465","159,181","34,401","34,401",-
17,12/31/2005,"5,541,715","462,098","286,446",-,-,"286,446","175,652","175,652",-,-,"2,037,270","2,037,270",-,-,-,-,"2,806,568","2,843,353",-,-,-,"2,843,353","36,785","175,042","175,042","175,042",-,"25,099",-,-,-,-,-,-,-,"35,638",-,-,-,-,-,"4,852,958","4,252,730","1,318,452","1,318,452","2,934,278","279,464",-,-,-,-,-,-,-,-,"195,843","195,843",-,-,-,-,-,-,-,-,"124,921","688,757","569,301",35,-,35,"587,713","8,439","-26,886",-,"119,456","765,144",-,"569,301",-,"533,663","765,144","533,663","195,843",-,"35,103","35,103",-
18,12/31/2004,"5,153,600","445,948","279,653",-,-,"279,653","166,295","166,295",-,-,"2,258,207","2,258,207",-,-,-,-,"2,274,530","2,312,143",-,-,-,"2,312,143","37,613","124,325","124,325","124,325",-,"14,951",-,-,-,-,-,-,-,"35,639",-,-,-,-,-,"4,550,658","4,219,514","1,569,661","1,569,661","2,649,853",-,-,-,-,-,"9,820","9,820","9,820",-,"196,161","196,161",-,-,-,-,-,-,-,-,"125,163","602,942","532,268",36,-,36,"487,509","44,886",-163,-,"70,674","728,429",-,"532,268",-,"496,629","738,249","496,629","205,981",-,"35,970","35,970",-
19,12/31/2003,"4,465,370","794,996","252,521",-,-,"252,521","542,475","542,475",-,-,"1,575,434","1,575,434",-,-,-,-,"1,924,729","1,989,229",-,-,-,"1,989,229","64,500","117,663","117,663","117,663",-,"14,999",-,-,-,-,-,-,-,"37,549",-,-,-,-,-,"3,967,621","3,666,876","1,480,524","1,480,524","2,186,352",-,-,-,-,-,"9,124","9,124","9,124",-,"204,286","204,286",-,-,-,-,-,-,-,-,"87,335","497,749","447,005",35,-,35,"422,131","14,240","10,599",-,"50,744","651,291",-,"447,005",-,"409,456","660,415","409,456","213,410",-,"35,028","35,028",-
