,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Security Agree to be Resold,Federal Home Loan Bank Stock,SECURITIES_AND_INVESTMENTS,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Derivative Assets,Net Loan,Gross Loan,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Prepaid Assets,Net PPE,Gross PPE,Properties,Buildings And Improvements,Machinery Furniture Equipment,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Deferred Assets,Deferred Tax Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Payables And Accrued Expenses,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Long Term Provisions,Employee Benefits,Current Deferred Liabilities,Current Deferred Taxes Liabilities,Non Current Deferred Liabilities,Non Current Deferred Taxes Liabilities,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number
12,12/31/2019,"71,004,903","6,781,783","6,781,783","6,492,443",0,"6,781,783","289,340","289,340","289,340","60,258","29,071,694","1,213,829","13,842,946","14,014,919",-,"1,143,089","32,859,712","33,164,636","28,428,121","489,949","4,246,566","33,164,636","304,924",-,"1,745,233","1,745,233",-,-,-,"359,241","359,241",-,-,"390,586","121,907","359,241","-350,617","187,240","137,823","49,417","28,433","28,433","248,828","64,383,823","61,757,807","20,916,237","20,916,237","40,841,570",-,0,0,-,-,"17,430","17,430","17,430","1,026,344","566,834","347,987",-,"218,847","67,656","354,393",-,-,-,-,"2,041,752","6,621,080","6,470,307","340,190","340,138",52,"4,575,601","1,470,071","84,445",-,"150,773","6,818,294","340,138","6,130,169","218,847","6,283,067","6,495,586","5,942,929","584,264",-,"51,656","51,656",350
13,9/30/2019,"68,231,233","6,946,196","6,946,196","6,557,085","1,992","6,946,196","387,119","387,119","387,119","59,790","28,424,029","1,150,094","14,407,078","12,866,857",-,"982,099","30,759,584","31,063,994","26,662,081","481,072","3,920,841","31,063,994","304,410",-,"1,586,068","1,586,068",-,-,-,"325,245","325,245",-,-,-,-,"325,245",-,"190,111","137,823","52,288","6,759","6,759","286,301","62,182,764","59,542,874","19,062,264","19,062,264","40,480,610",-,-,0,-,-,"18,898","18,898","18,898","845,053","889,770","697,227",-,"192,543","63,108","259,809",-,-,-,-,"1,731,222","6,048,469","5,890,680",52,0,52,"4,312,745","1,441,730","136,153",-,"157,789","6,587,907",-,"5,890,680","192,543","5,700,569","6,606,805","5,700,569","908,668",-,"51,556","51,556",-
14,6/30/2019,"63,773,739","9,020,925","9,020,925","8,727,265","1,982","9,020,925","291,678","291,678","291,678","59,508","23,888,832","1,079,749","14,868,761","7,940,322",-,"757,017","28,907,685","29,209,573","25,016,983","463,854","3,728,736","29,209,573","301,888",-,"1,465,081","1,465,081",-,-,-,"298,235","298,235",-,-,-,-,"298,235",-,"192,981","137,823","55,158","30,135","30,135","349,950","58,067,564","55,610,540","16,279,051","16,279,051","39,331,489",-,-,-,-,-,"24,252","24,252","24,252","704,554","892,296","696,970",-,"195,326","62,664","194,176",-,-,-,-,"1,540,476","5,706,175","5,554,043",52,0,52,"4,051,194","1,421,565","81,232",-,"152,132","6,251,013",-,"5,554,043","195,326","5,361,062","6,275,265","5,361,062","916,548",-,"51,562","51,562",-
15,3/31/2019,"60,160,285","7,066,883","7,066,883","6,766,158","1,970","7,066,883","298,755","298,755","298,755","59,508","22,785,328","974,979","15,055,255","6,755,094",-,"643,354","28,550,294","28,850,445","24,840,192","420,324","3,589,929","28,850,445","300,151",-,"1,260,899","1,260,899",-,-,-,"303,662","303,662",-,-,-,-,"303,662",-,"193,219","135,190","58,029","72,451","72,451","228,289","54,676,462","52,327,197","13,048,485","13,048,485","39,278,712",-,-,-,-,-,"14,455","14,455","14,455","654,385","901,882","696,715",-,"205,167","57,970","115,876",-,-,-,-,"1,432,928","5,483,823","5,342,773",52,0,52,"3,963,965","1,394,130","-15,374",-,"141,050","6,039,488",-,"5,342,773","205,167","5,149,554","6,053,943","5,149,554","916,337",-,"52,322","52,322",-
16,12/31/2018,"56,927,979","3,571,539","3,571,539","3,444,971","2,957","3,571,539","123,611","123,611","123,611","58,878","24,218,589","941,104","15,487,442","7,790,043",-,"410,407","28,057,377","28,338,280","24,456,728","420,672","3,460,880","28,338,280","280,903",-,"951,261","951,261",-,-,-,"129,213","129,213",-,-,"329,583","98,237","129,213","-298,607",-,-,-,"65,433","65,433","162,809","51,663,136","49,328,900","10,225,478","10,225,478","39,103,422","319,414",0,"319,414",-,-,"631,412","631,412","631,412","268,405","696,465","696,465",-,-,"55,183","224,405",-,-,-,-,"1,006,359","5,264,843","5,116,209",53,0,53,"3,791,838","1,378,438","-54,120",-,"148,634","5,812,674",-,"5,116,209",-,"5,116,209","6,444,086","5,116,209","1,327,877",-,"52,586","52,586",-
17,9/30/2018,"58,139,734","3,819,141","3,819,141","3,697,018","2,942","3,819,141","119,181","119,181","119,181","102,378","25,883,584","896,249","15,899,726","9,087,609",-,"496,168","27,209,202","27,494,915","23,712,308","417,718","3,364,889","27,494,915","285,713",-,"1,105,917","1,105,917",-,-,-,"121,890","121,890",-,-,-,-,"121,890",-,-,-,-,"81,618","81,618","178,566","53,069,689","48,596,111","8,122,337","8,122,337","40,473,774","371,539",0,"371,539",-,-,"2,631,252","2,631,252","2,631,252","432,724","696,217","696,217",-,-,"51,808","173,036",-,-,-,-,"1,146,109","5,070,045","4,924,369",53,0,53,"3,672,696","1,360,030","-108,410",-,"145,676","5,620,586",-,"4,924,369",-,"4,924,369","8,251,838","4,924,369","3,327,469",-,"53,250","53,250",-
18,6/30/2018,"55,867,745","2,712,101","2,712,101","2,670,473","4,249","2,712,101","37,379","37,379","37,379","58,864","26,344,134","852,505","15,898,263","9,593,366",-,"455,794","25,709,483","25,996,192","22,326,831","397,279","3,272,082","25,996,192","286,709",-,"984,424","984,424",-,-,-,"117,603","117,603",-,-,-,-,"117,603",-,-,-,-,"75,286","75,286","167,091","51,062,904","48,887,295","8,293,993","8,293,993","40,593,302",-,0,-,-,-,"417,246","417,246","417,246","366,432","695,972","695,972",-,-,"54,103","111,717",-,-,-,-,"1,062,391","4,804,841","4,657,653",53,-,53,"3,397,879","1,346,586","-86,865",-,"147,188","5,353,625",-,"4,657,653",-,"4,657,653","5,770,871","4,657,653","1,113,218",-,"53,211","53,211",-
19,3/31/2018,"53,500,787","2,619,384","2,619,384","2,241,287","2,917","2,619,384","375,180","375,180","375,180","60,514","25,454,176","824,936","14,548,856","10,080,384",-,"505,022","24,313,650","24,587,944","21,097,918","350,947","3,139,079","24,587,944","274,294",-,"986,523","986,523",-,-,-,"127,054","127,054",-,-,-,-,"127,054",-,-,-,-,"59,581","59,581","161,168","48,941,063","45,936,532","8,421,177","8,421,177","37,515,355","395,000","395,000",-,-,-,"1,102,140","1,102,140","1,102,140","502,180","695,731","695,731",-,-,"52,823","61,175",-,-,-,-,"1,206,660","4,559,724","4,415,446",53,0,53,"3,160,081","1,326,998","-71,686",-,"144,278","5,111,177",-,"4,415,446",-,"4,415,446","6,213,317","4,415,446","1,797,871",-,"52,922","52,922",-
20,12/31/2017,"51,214,467","2,923,075","2,923,075","2,672,290","2,909","2,923,075","247,876","247,876","247,876","60,020","24,435,172","651,053","12,663,455","11,120,664",-,"440,890","22,851,292","23,106,316","19,697,163","328,980","3,080,173","23,106,316","255,024",-,"876,246","876,246",-,-,-,"128,682","128,682",-,-,"305,386","89,225","128,682","-265,929",-,-,-,"63,845","63,845","113,772","46,895,052","44,254,075","7,598,578","7,598,578","36,655,497","330,000","330,000",-,-,-,"1,033,730","1,033,730","1,033,730","311,388","695,492","695,492",-,-,"51,770","167,531",-,-,-,-,"911,755","4,319,415","4,179,795",53,-,53,"2,866,837","1,314,377","-1,472",-,"139,620","4,875,287",-,"4,179,795",-,"4,179,795","5,909,017","4,179,795","1,729,222",-,"52,835","52,835",-
21,9/30/2017,"50,754,287","3,555,571","3,555,571","3,490,005","2,902","3,555,571","62,664","62,664","62,664","58,012","24,285,812","627,469","11,055,006","12,603,337",-,"395,860","21,940,317","22,189,327","18,852,453","300,227","3,036,647","22,189,327","249,010",-,"849,761","849,761",-,-,-,"122,826","122,826",-,-,-,-,"122,826",-,-,-,-,"75,043","75,043","113,153","46,556,989","44,812,033","7,950,012","7,950,012","36,862,021",-,-,-,-,-,"4,840","4,840","4,840","350,091","749,618","749,618",-,-,"48,172","124,111",-,-,-,-,"990,498","4,197,298","4,059,813",53,0,53,"2,749,627","1,294,499","15,634",-,"137,485","4,809,431",-,"4,059,813",-,"4,059,813","4,814,271","4,059,813","754,458",-,"52,724","52,724",-
22,6/30/2017,"48,400,379","3,854,244","3,854,244","3,658,927","2,896","3,854,244","192,421","192,421","192,421","58,012","22,640,093","630,670","9,938,371","12,071,052",-,"581,220","20,739,970","20,976,466","17,754,813","276,259","2,945,394","20,976,466","236,496",-,"1,044,125","1,044,125",-,-,-,"121,947","121,947",-,-,-,-,"121,947",-,-,-,-,"87,809","87,809","131,952","44,360,344","42,465,291","7,418,920","7,418,920","35,046,371",-,-,-,-,-,470,470,470,"618,474","749,429","749,429",-,-,"47,000","84,206",-,-,-,-,"1,145,154","4,040,035","3,899,435",53,0,53,"2,601,007","1,283,485","14,890",-,"140,600","4,648,864",-,"3,899,435",-,"3,899,435","4,649,334","3,899,435","749,899",-,"52,684","52,684",-
23,3/31/2017,"46,413,339","3,795,679","3,795,679","3,612,954","4,688","3,795,679","178,037","178,037","178,037","57,592","21,635,252","635,550","8,615,695","12,384,007",-,"266,594","20,184,321","20,427,451","17,396,510","231,097","2,799,844","20,427,451","243,130",-,"675,783","675,783",-,-,-,"122,304","122,304",-,-,-,-,"122,304",-,-,-,-,"90,934","90,934","90,490","42,509,883","41,079,700","7,491,766","7,491,766","33,587,934",-,-,-,-,-,"5,163","5,163","5,163","178,134","795,465","795,465",-,-,"46,335","46,189",-,-,-,-,"629,555","3,903,456","3,764,331",52,0,52,"2,477,814","1,268,507","17,958",-,"139,125","4,559,796",-,"3,764,331",-,"3,764,331","4,564,959","3,764,331","800,628",-,"52,428","52,428",-
24,12/31/2016,"44,683,660","2,545,750","2,545,750","2,476,588","5,134","2,545,750","64,028","64,028","64,028","57,592","21,669,961","622,552","8,426,998","12,620,411",-,"263,128","19,674,578","19,899,944","16,945,288","241,364","2,713,292","19,899,944","225,366",-,"672,688","672,688",-,-,-,"120,683","120,683",-,-,"277,968","70,909","120,683","-228,194",-,-,-,"71,840","71,840","106,337","40,906,623","38,979,868","7,004,411","7,004,411","31,975,457",-,0,-,-,-,"512,668","512,668","512,668","132,456","795,704","795,704",-,-,"45,265","135,842",-,-,-,-,"618,383","3,777,037","3,642,554",52,0,52,"2,376,331","1,242,741","23,430",-,"134,483","4,438,258",-,"3,642,554",-,"3,642,554","4,950,926","3,642,554","1,308,372",-,"52,254","52,254",-
25,9/30/2016,"43,274,037","2,521,319","2,521,319","2,352,469","5,131","2,521,319","163,719","163,719","163,719","57,466","21,082,824","625,178","7,791,949","12,665,697",-,"309,009","18,871,700","19,112,265","16,245,107","241,106","2,626,052","19,112,265","240,565",-,"683,180","683,180",-,-,-,"115,014","115,014",-,-,-,-,"115,014",-,-,-,-,"24,676","24,676","97,717","39,550,720","38,189,416","7,160,442","7,160,442","31,028,974",-,0,-,-,-,"2,421","2,421","2,421","167,032","795,971","795,971",-,-,"35,924","102,394",-,-,-,-,"562,912","3,723,317","3,593,051",52,0,52,"2,276,865","1,219,555","96,579",-,"130,266","4,389,022",-,"3,593,051",-,"3,593,051","4,391,443","3,593,051","798,392",-,"52,061","52,061",-
26,6/30/2016,"43,132,654","1,854,457","1,854,457","1,533,270","5,128","1,854,457","316,059","316,059","316,059","63,166","21,923,114","664,054","8,200,443","13,058,617",-,"296,154","18,589,055","18,833,778","16,083,407","239,777","2,510,594","18,833,778","244,723",-,"655,543","655,543",-,-,-,"110,485","110,485",-,-,-,-,"110,485",-,-,-,-,"1,555","1,555","136,058","39,498,861","37,596,567","7,308,718","7,308,718","30,287,849",-,0,-,-,-,"503,219","503,219","503,219","223,969","796,329","796,329",-,-,"34,889","71,276",-,-,-,-,"602,746","3,633,793","3,505,578",52,0,52,"2,165,784","1,209,821","129,921",-,"128,215","4,301,907",-,"3,505,578",-,"3,505,578","4,805,126","3,505,578","1,299,548",-,"52,026","52,026",-
27,3/31/2016,"43,573,902","1,868,512","1,868,512","1,574,966","5,125","1,868,512","288,421","288,421","288,421","56,991","23,543,814","668,497","8,548,238","14,327,079",-,"249,149","17,504,898","17,735,147","15,080,602","228,415","2,426,130","17,735,147","230,249",-,"548,108","548,108",-,-,-,"108,570","108,570",-,-,-,-,"108,570",-,-,-,-,"11,154","11,154","76,830","40,062,862","38,759,721","7,826,465","7,826,465","30,933,256",-,0,-,-,-,0,0,0,"136,127","796,570","796,570",-,-,"34,541","49,893",-,-,-,-,"506,571","3,511,040","3,381,044",52,0,52,"2,072,820","1,192,782","115,390",-,"129,996","4,177,614",-,"3,381,044",-,"3,381,044","4,177,614","3,381,044","796,570",-,"51,701","51,701",-
28,12/31/2015,"44,686,703","1,503,257","1,503,257","1,372,743","5,123","1,503,257","125,391","125,391","125,391","56,991","25,846,657","674,946","8,790,963","16,380,748",-,"317,915","16,524,457","16,742,070","14,201,115","226,883","2,314,072","16,742,070","217,613",-,"709,707","709,707",-,-,-,"102,625","102,625",-,-,"241,126","60,339","102,625","-198,840",-,-,-,"73,941","73,941","104,594","41,353,472","39,142,776","8,275,279","8,275,279","30,867,497","135,000","135,000",-,-,-,"774,900","774,900","774,900","185,436","796,702","796,702",-,-,"34,415","151,134",-,-,-,-,"639,094","3,333,231","3,198,134",52,0,52,"1,993,646","1,189,032","15,404",-,"135,097","3,994,836",-,"3,198,134",-,"3,198,134","4,769,736","3,198,134","1,571,602","68,345","51,610","51,610",-
29,9/30/2015,"41,730,982","1,674,145","1,674,145","1,454,538","5,123","1,674,145","214,484","214,484","214,484","46,116","24,264,742","650,555","8,306,526","15,307,661",-,"271,689","15,117,073","15,314,580","12,893,846","212,825","2,207,909","15,314,580","197,507",-,"580,370","580,370",-,-,-,"94,652","94,652",-,-,-,-,"94,652",-,-,-,-,"5,513","5,513","113,207","38,416,754","37,049,417","8,390,454","8,390,454","28,658,963",-,-,-,-,-,"3,756","3,756","3,756","184,884","797,211","797,211",-,-,"36,631","113,139",-,-,-,-,"566,370","3,314,228","3,174,899",51,0,51,"1,906,135","1,171,649","97,064",-,"139,329","3,972,110",-,"3,174,899",-,"3,174,899","3,975,866","3,174,899","800,967",-,"51,489","51,489",-
30,6/30/2015,"40,236,118","2,625,550","2,625,550","2,281,816","5,122","2,625,550","338,612","338,612","338,612","46,116","22,877,156","645,506","7,735,891","14,495,759",-,"283,842","14,068,786","14,261,430","11,937,498","226,720","2,097,212","14,261,430","192,644",-,"576,342","576,342",-,-,-,"88,284","88,284",-,-,-,-,"88,284",-,-,-,-,"27,436","27,436","88,085","37,046,646","35,626,965","7,892,245","7,892,245","27,734,720",-,-,-,-,-,"2,537","2,537","2,537","244,256","802,454","802,454",-,-,"35,617","90,262",-,-,-,-,"614,690","3,189,472","3,051,102",51,0,51,"1,824,626","1,162,508","63,917",-,"138,370","3,853,556",-,"3,051,102",-,"3,051,102","3,856,093","3,051,102","804,991",-,"51,461","51,461",-
