,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Security Agree to be Resold,Federal Home Loan Bank Stock,SECURITIES_AND_INVESTMENTS,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Derivative Assets,Net Loan,Gross Loan,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Prepaid Assets,Net PPE,Gross PPE,Properties,Buildings And Improvements,Machinery Furniture Equipment,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Deferred Assets,Deferred Tax Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Payables And Accrued Expenses,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Long Term Provisions,Employee Benefits,Current Deferred Liabilities,Current Deferred Taxes Liabilities,Non Current Deferred Liabilities,Non Current Deferred Taxes Liabilities,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number
69,9/30/2005,"5,369,066","418,691","241,263",-,-,"241,263","177,428","177,428",-,-,"2,155,694","2,155,694",-,-,-,-,"2,603,868","2,638,731",-,-,-,"2,638,731","34,863",-,"132,027","132,027","132,027",-,-,"23,148",-,-,-,-,-,-,-,"35,638",-,-,-,-,-,"4,713,903","4,292,139","1,595,478","1,595,478","2,696,661","119,164",-,-,-,-,"2,396","2,396","2,396",-,"196,231","196,231",-,-,-,-,-,-,-,-,"103,973","655,163","545,847",35,-,35,"562,067","6,028","-22,283",-,"109,316","742,078",-,"545,847",-,"510,209","744,474","510,209","198,627",-,"35,123","35,123",-
70,6/30/2005,"5,307,826","538,245","259,824",-,-,"259,824","278,421","278,421",-,-,"2,201,016","2,201,016",-,-,-,-,"2,387,593","2,423,965",-,-,-,"2,423,965","36,372",-,"126,551","126,551","126,551",-,-,"18,782",-,-,-,-,-,-,-,"35,639",-,-,-,-,-,"4,676,816","4,373,119","1,644,473","1,644,473","2,728,646",-,-,-,-,-,"11,418","11,418","11,418",-,"197,499","197,499",-,-,-,-,-,-,-,-,"94,780","631,010","532,930",35,-,35,"539,035","5,263","-11,403",-,"98,080","730,429",-,"532,930",-,"497,291","741,847","497,291","208,917",-,"35,097","35,097",-
71,3/31/2005,"5,047,636","396,707","252,659",-,-,"252,659","144,048","144,048",-,-,"2,188,182","2,188,182",-,-,-,-,"2,308,324","2,344,022",-,-,-,"2,344,022","35,698",-,"102,308","102,308","102,308",-,-,"16,476",-,-,-,-,-,-,-,"35,639",-,-,-,-,-,"4,445,846","4,156,275","1,513,684","1,513,684","2,642,591",-,-,-,-,-,"11,915","11,915","11,915",-,"197,247","197,247",-,-,-,-,-,-,-,-,"80,409","601,790","516,866",35,-,35,"511,659","20,079","-14,907",-,"84,924","714,113",-,"516,866",-,"481,227","726,028","481,227","209,162",-,"35,407","35,407",-
72,12/31/2004,"5,153,600","445,948","279,653",-,-,"279,653","166,295","166,295",-,-,"2,258,207","2,258,207",-,-,-,-,"2,274,530","2,312,143",-,-,-,"2,312,143","37,613",-,"124,325","124,325","124,325",-,-,"14,951",-,-,-,-,-,-,-,"35,639",-,-,-,-,-,"4,550,658","4,219,514","1,569,661","1,569,661","2,649,853",-,-,-,-,-,"9,820","9,820","9,820",-,"196,161","196,161",-,-,-,-,-,-,-,-,"125,163","602,942","532,268",36,-,36,"487,509","44,886",-163,-,"70,674","728,429",-,"532,268",-,"496,629","738,249","496,629","205,981",-,"35,970","35,970",-
73,9/30/2004,"4,930,633","449,430","231,656",-,-,"231,656","217,774","217,774",-,-,"2,133,614","2,133,614",-,-,-,-,"2,171,814","2,230,414",-,-,-,"2,230,414","58,600",-,"125,431","125,431","125,431",-,-,"14,705",-,-,-,-,-,-,-,"35,639",-,-,-,-,-,"4,343,833","4,037,615","1,573,850","1,573,850","2,463,765",-,-,-,-,-,"10,050","10,050","10,050",-,"196,096","196,096",-,-,-,-,-,-,-,-,"100,072","586,800","512,061",36,-,36,"467,954","41,202","2,869",-,"74,739","708,157",-,"512,061",-,"476,422","718,207","476,422","206,146",-,"35,755","35,755",-
74,6/30/2004,"4,857,521","544,634","213,530",-,-,"213,530","331,104","331,104",-,-,"2,087,995","2,087,995",-,-,-,-,"2,052,535","2,114,435",-,-,-,"2,114,435","61,900",-,"120,725","120,725","120,725",-,-,"14,083",-,-,-,-,-,-,-,"37,549",-,-,-,-,-,"4,315,352","4,005,386","1,610,735","1,610,735","2,394,651",-,-,-,-,-,"34,263","34,263","34,263",-,"205,805","205,805",-,-,-,-,-,-,-,-,"69,898","542,169","473,477",36,-,36,"451,851","34,491","-12,901",-,"68,692","679,282",-,"473,477",-,"435,928","713,545","435,928","240,068","26,538","35,577","35,577",-
75,3/31/2004,"4,492,255","690,419","200,966",-,-,"200,966","489,453","489,453",-,-,"1,709,180","1,709,180",-,-,-,-,"1,929,407","1,992,707",-,-,-,"1,992,707","63,300",-,"111,384","111,384","111,384",-,-,"14,316",-,-,-,-,-,-,-,"37,549",-,-,-,-,-,"3,959,887","3,676,293","1,514,660","1,514,660","2,161,633",-,-,-,-,-,"9,761","9,761","9,761",-,"202,763","202,763",-,-,-,-,-,-,-,-,"71,070","532,368","476,433",35,-,35,"436,144","23,586","16,668",-,"55,935","679,196",-,"476,433",-,"438,884","688,957","438,884","212,524","11,558","35,237","35,237",-
76,12/31/2003,"4,465,370","794,996","252,521",-,-,"252,521","542,475","542,475",-,-,"1,575,434","1,575,434",-,-,-,-,"1,924,729","1,989,229",-,-,-,"1,989,229","64,500",-,"117,663","117,663","117,663",-,-,"14,999",-,-,-,-,-,-,-,"37,549",-,-,-,-,-,"3,967,621","3,666,876","1,480,524","1,480,524","2,186,352",-,-,-,-,-,"9,124","9,124","9,124",-,"204,286","204,286",-,-,-,-,-,-,-,-,"87,335","497,749","447,005",35,-,35,"422,131","14,240","10,599",-,"50,744","651,291",-,"447,005",-,"409,456","660,415","409,456","213,410",-,"35,028","35,028",-
77,9/30/2003,"4,259,816","705,950","229,001",-,-,"229,001","476,949","476,949",-,-,"1,522,084","1,522,084",-,-,-,-,"1,844,432","1,911,932",-,-,-,"1,911,932","67,500",-,"88,766","88,766","88,766",-,-,"15,036",-,-,-,-,-,-,-,"83,548",-,-,-,-,-,"3,718,008","3,472,326","1,596,642","1,596,642","1,875,684",-,-,-,-,-,"9,054","9,054","9,054",-,"154,377","154,377",-,-,-,-,-,-,-,-,"82,251","541,808","455,106",35,-,35,"437,428","5,453","12,190",-,"86,702","609,483",-,"455,106",-,"371,558","618,537","371,558","163,431",-,"34,596","34,596",-
78,6/30/2003,"4,294,590","543,811","238,202",-,-,"238,202","305,609","305,609",-,-,"1,663,920","1,663,920",-,-,-,-,"1,895,300","1,964,800",-,-,-,"1,964,800","69,500",-,"92,426","92,426","92,426",-,-,"15,585",-,-,-,-,-,-,-,"83,548",-,-,-,-,-,"3,776,256","3,488,384","1,594,677","1,594,677","1,893,707",-,-,-,-,-,"9,264","9,264","9,264",-,"163,057","163,057",-,-,-,-,-,-,-,-,"115,551","518,334","432,135",34,-,34,"419,999","1,758","10,344",-,"86,199","595,192",-,"432,135",-,"348,587","604,456","348,587","172,321",-,"34,490","34,490",-
79,3/31/2003,"3,988,088","498,987","145,805",-,-,"145,805","353,182","353,182",-,-,"1,291,551","1,291,551",-,-,-,-,"2,000,063","2,070,063",-,-,-,"2,070,063","70,000",-,"80,697","80,697","80,697",-,-,"16,223",-,-,-,-,-,-,-,"100,567",-,-,-,-,-,"3,338,848","3,251,094","1,481,178","1,481,178","1,769,916",-,-,-,-,-,"9,196","9,196","9,196",-,"17,538","17,538",-,-,-,-,-,-,-,-,"61,020","649,240","566,136",39,-,39,"487,028","69,649","9,420",-,"83,104","583,674",-,"566,136",-,"465,569","592,870","465,569","26,734",-,"38,874","38,874",-
80,12/31/2002,"4,183,181","442,589","239,927",-,-,"239,927","202,662","202,662",-,-,"1,535,694","1,535,694",-,-,-,-,"2,015,580","2,086,080",-,-,-,"2,086,080","70,500",-,"70,883","70,883","70,883",-,-,"17,886",-,-,-,-,-,-,-,"100,549",-,-,-,-,-,"3,510,201","3,436,127","1,544,002","1,544,002","1,892,125",-,-,-,-,-,"9,127","9,127","9,127",-,"17,397","17,397",-,-,-,-,-,-,-,-,"47,550","672,980","590,350",41,-,41,"476,610","99,979","13,720",-,"82,630","607,747",-,"590,350",-,"489,801","616,874","489,801","26,524",-,"40,578","40,578",-
81,9/30/2002,"3,863,599","534,032","178,459",-,-,"178,459","355,573","355,573",-,-,"1,322,999","1,322,999",-,-,-,-,"1,811,907","1,885,707",-,-,-,"1,885,707","73,800",-,"76,643","76,643","76,643",-,-,"19,380",-,-,-,-,-,-,-,"98,638",-,-,-,-,-,"3,169,336","3,095,390","1,456,294","1,456,294","1,639,096",-,-,-,-,-,"9,058","9,058","9,058",-,"17,256","17,256",-,-,-,-,-,-,-,-,"47,632","694,263","622,304",43,-,43,"464,693","143,897","13,671",-,"71,959","639,560",-,"622,304",-,"523,666","648,618","523,666","26,314",-,"42,972","42,972",-
82,6/30/2002,"3,831,770","386,116","231,247",-,-,"231,247","154,869","154,869",-,-,"1,460,659","1,460,659",-,-,-,-,"1,792,877","1,868,877",-,-,-,"1,868,877","76,000",-,"72,985","72,985","72,985",-,-,"20,495",-,-,-,-,-,-,-,"98,638",-,-,-,-,-,"3,103,591","2,993,179","1,460,170","1,460,170","1,533,009",-,-,-,-,-,"41,734","41,734","41,734",-,"26,105","26,105",-,-,-,-,-,-,-,-,"42,573","728,179","658,843",46,-,46,"451,597","196,387","10,813",-,"69,336","684,948",-,"658,843",-,"560,205","726,682","560,205","67,839",-,"45,654","45,654",-
83,3/31/2002,"3,987,475","339,526","335,424",-,-,"335,424","4,102","4,102",-,-,"1,777,762","1,777,762",-,-,-,-,"1,674,612","1,745,987",-,-,-,"1,745,987","71,375",-,"76,968","76,968","76,968",-,-,"21,384",-,-,-,-,-,-,-,"97,223",-,-,-,-,-,"3,320,285","3,181,512","1,602,974","1,602,974","1,578,538",-,-,-,-,-,"41,469","41,469","41,469",-,"64,550","64,550",-,-,-,-,-,-,-,-,"32,754","667,190","640,755",46,-,46,"436,612","198,640","5,457",-,"26,435","705,305",-,"640,755",-,"543,532","746,774","543,532","106,019",-,"45,559","45,559",-
84,12/31/2001,"4,172,077","440,532","228,318",-,-,"228,318","212,214","212,214",-,-,"1,833,162","1,833,162",-,-,-,-,"1,694,663","1,767,038",-,-,-,"1,767,038","72,375",-,"85,621","85,621","85,621",-,-,"21,719",-,-,-,-,-,-,-,"96,380",-,-,-,-,-,"3,477,646","3,380,977","1,643,314","1,643,314","1,737,663",-,-,-,-,-,"41,203","41,203","41,203",-,"25,685","25,685",-,-,-,-,-,-,-,-,"29,781","694,431","627,515",45,-,45,"423,252","196,143","8,075",-,"66,916","653,200",-,"627,515",-,"531,135","694,403","531,135","66,888",-,"45,390","45,390",-
85,9/30/2001,"4,147,885","459,575","398,191",-,-,"398,191","61,384","61,384",-,-,"1,843,362","1,843,362",-,-,-,-,"1,652,219","1,725,719",-,-,-,"1,725,719","73,500",-,"74,863","74,863","74,863",-,-,"22,431",-,-,-,-,-,-,-,"95,435",-,-,-,-,-,"3,414,987","3,309,082","1,673,295","1,673,295","1,635,787",-,-,-,-,-,"40,937","40,937","40,937",-,"25,475","25,475",-,-,-,-,-,-,-,-,"39,493","732,898","664,113",47,-,47,"411,168","241,071","11,827",-,"68,785","689,588",-,"664,113",-,"568,678","730,525","568,678","66,412",-,"47,432","47,432",-
86,6/30/2001,"4,422,761","792,066","404,121",-,-,"404,121","387,945","387,945",-,-,"1,856,266","1,856,266",-,-,-,-,"1,655,630","1,729,630",-,-,-,"1,729,630","74,000",-,"95,970","95,970","95,970",-,-,"22,829",-,-,-,-,-,-,-,-,-,-,-,-,-,"3,698,802","3,650,278","1,767,928","1,767,928","1,882,350",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"48,524","723,959","655,017",49,-,49,"392,566","259,328","3,074",-,"68,942",-,-,"655,017",-,"655,017",-,"655,017",-,-,"48,518","48,518",-
87,3/31/2001,"4,842,755","1,319,180","243,078",-,-,"243,078","1,076,102","1,076,102",-,-,"1,724,119","1,724,119",-,-,-,-,"1,658,175","1,731,975",-,-,-,"1,731,975","73,800",-,"119,906","119,906","119,906",-,-,"21,375",-,-,-,-,-,-,-,-,-,-,-,-,-,"4,113,569","4,042,205","1,999,673","1,999,673","2,042,532",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"71,364","729,186","659,970",49,-,49,"368,434","286,623","4,864",-,"69,216",-,-,"659,970",-,"659,970",-,"659,970",-,-,"49,473","49,473",-
88,12/31/2000,"5,626,775","1,722,366","332,632",-,-,"332,632","1,389,734","1,389,734",-,-,"2,107,590","2,107,590",-,-,-,-,"1,642,749","1,716,549",-,-,-,"1,716,549","73,800",-,"135,577","135,577","135,577",-,-,"18,493",-,-,-,-,-,-,-,-,-,-,-,-,-,"4,943,397","4,862,259","2,413,501","2,413,501","2,448,758",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"81,138","683,378","614,121",49,-,49,"335,098","280,008","-1,034",-,"69,257",-,-,"614,121",-,"614,121",-,"614,121",-,-,"48,978","48,978",-
89,9/30/2000,"5,504,131","1,805,237","364,670",-,-,"364,670","1,440,567","1,440,567",-,-,"2,020,914","2,020,914",-,-,-,-,"1,523,055","1,596,855",-,-,-,"1,596,855","73,800",-,"143,180","143,180","143,180",-,-,"11,745",-,-,-,-,-,-,-,-,-,-,-,-,-,"4,876,590","4,799,894","2,409,029","2,409,029","2,390,865",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"76,696","627,541","571,610",49,-,49,"299,359","273,944","-1,742",-,"55,931",-,-,"571,610",-,"571,610",-,"571,610",-,-,"48,862","48,862",-
90,6/30/2000,"5,393,225","1,549,887","346,108",-,-,"346,108","1,203,779","1,203,779",-,-,"2,184,348","2,184,348",-,-,-,-,"1,524,734","1,598,534",-,-,-,"1,598,534","73,800",-,"124,248","124,248","124,248",-,-,"10,008",-,-,-,-,-,-,-,-,-,-,-,-,-,"4,918,479","4,845,222","2,308,401","2,308,401","2,536,821",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"73,257","474,746","436,183",46,-,46,"264,420","178,457","-6,740",-,"38,563",-,-,"436,183",-,"436,183",-,"436,183",-,-,"46,283","46,283",-
91,3/31/2000,"5,064,525","1,463,837","393,295",-,-,"393,295","1,070,542","1,070,542",-,-,"1,910,499","1,910,499",-,-,-,-,"1,558,542","1,631,442",-,-,-,"1,631,442","72,900",-,"121,377","121,377","121,377",-,-,"10,270",-,-,-,-,-,-,-,-,-,-,-,-,-,"4,625,291","4,515,851","2,110,361","2,110,361","2,405,490",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"109,440","439,234","400,684",23,-,23,"230,708","171,034","-1,081",-,"38,550",-,-,"400,684",-,"400,684",-,"400,684",-,-,"46,008","46,008",-
92,12/31/1999,"4,596,400","1,176,100","1,176,100",-,-,"1,176,100",-,-,-,-,"1,747,400","1,747,400",-,-,-,-,"1,551,200","1,623,000",-,-,-,"1,623,000","71,800",-,"110,900","110,900","110,900",-,-,"10,700",-,-,-,-,-,-,-,-,-,-,-,-,100,"4,189,000","4,109,400","2,181,300","2,181,300","1,928,100",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"79,600","407,400","368,900",-,-,-,"176,100","153,400","39,400",-,"38,500",-,-,"368,900",-,"368,900",-,"368,900",-,-,"44,800","44,800",-
93,9/30/1999,"3,721,800","289,000","289,000",-,-,"289,000",-,-,-,-,"1,745,300","1,745,300",-,-,-,-,"1,590,200","1,661,000",-,-,-,"1,661,000","70,800",-,"86,200","86,200","86,200",-,-,"11,100",-,-,-,-,-,-,-,-,-,-,-,-,-,"3,439,800","3,404,800","2,045,800","2,045,800","1,359,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"35,000","282,000","243,500",-,-,-,"151,200","96,000","-3,700",-,"38,500",-,-,"243,500",-,"243,500",-,"243,500",-,-,"41,754","41,754",-
94,6/30/1999,"4,081,400","883,900","883,900",-,-,"883,900",-,-,-,-,"1,593,800","1,593,800",-,-,-,-,"1,519,900","1,576,200",-,-,-,"1,576,200","56,300",-,"72,100","72,100","72,100",-,-,"11,700",-,-,-,-,-,-,-,-,-,-,-,-,-,"3,815,900","3,790,900","2,627,000","2,627,000","1,163,900",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"25,000","265,500","227,000",-,-,-,"140,600",-,"-6,200","92,600","38,500",-,-,"227,000",-,"227,000",-,"227,000",-,-,"41,702","41,702",-
95,3/31/1999,"3,938,600","798,700","798,700",-,-,"798,700",-,-,-,-,"1,504,700","1,504,700",-,-,-,-,"1,566,700","1,614,300",-,-,-,"1,614,300","47,600",-,"56,300","56,300","56,300",-,-,"11,600",-,-,-,-,-,-,-,-,-,-,-,-,600,"3,676,800","3,654,300","2,654,800","2,654,800","999,500",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"22,500","261,800","223,300",-,-,-,"131,700",-,800,"90,800","38,500",-,-,"223,300",-,"223,300",-,"223,300",-,-,"41,522","41,522",-
96,12/31/1998,"3,545,500","522,200","522,200",-,-,"522,200",-,-,-,-,"1,397,500","1,397,500",-,-,-,-,"1,565,900","1,611,900",-,-,-,"1,611,900","46,000",-,"47,800","47,800","47,800",-,-,"11,400",-,-,-,-,-,-,-,-,-,-,-,-,700,"3,291,100","3,269,800","2,348,000","2,348,000","921,800",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"21,300","254,400","215,900",-,-,-,"123,900",-,"2,100","89,900","38,500",-,-,"215,900",-,"215,900",-,"215,900",-,-,"41,424","41,424",-
97,9/30/1998,"3,216,200","819,200","819,200",-,-,"819,200",-,-,-,-,"940,900","940,900",-,-,-,-,"1,402,300","1,438,200",-,-,-,"1,438,200","35,900",-,"43,800","43,800","43,800",-,-,"9,300",-,-,-,-,-,-,-,-,-,-,-,-,700,"2,967,500","2,943,900","2,104,200","2,104,200","839,700",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"23,600","248,700","210,200",-,-,-,"119,300",-,"4,000","86,900","38,500",-,-,"210,200",-,"210,200",-,"210,200",-,-,"41,158","41,158",-
98,6/30/1998,"3,123,100","691,300","691,300",-,-,"691,300",-,-,-,-,"1,066,500","1,066,500",-,-,-,-,"1,308,400","1,350,700",-,-,-,"1,350,700","42,300",-,"49,300","49,300","49,300",-,-,"7,000",-,-,-,-,-,-,-,-,-,-,-,-,600,"2,886,300","2,867,300","2,092,700","2,092,700","774,600",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"19,000","236,800","198,300",-,-,-,"110,800",-,"1,900","85,600","38,500",-,-,"198,300",-,"198,300",-,"198,300",-,-,"41,144","41,144",-
99,3/31/1998,"2,800,900","490,400","490,400",-,-,"490,400",-,-,-,-,"1,058,200","1,058,200",-,-,-,-,"1,201,600","1,242,000",-,-,-,"1,242,000","40,400",-,"44,700","44,700","44,700",-,-,"5,900",-,-,-,-,-,-,-,-,-,-,-,-,100,"2,613,300","2,597,200","1,830,300","1,830,300","766,900",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"16,100","187,600","187,600",-,-,-,"102,600",-,"2,600","82,400",-,-,-,"187,600",-,"187,600",-,"187,600",-,-,"40,974","40,974",-
100,12/31/1997,"2,625,100","426,800","426,800",-,-,"426,800",-,-,-,-,"1,013,900","1,013,900",-,-,-,-,"1,136,900","1,174,600",-,-,-,"1,174,600","37,700",-,"42,300","42,300","42,300",-,-,"4,500",-,-,-,-,-,-,-,-,-,-,-,-,700,"2,450,600","2,432,400","1,644,000","1,644,000","788,400",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"18,200","174,500","174,500",-,-,-,"95,000",-,"2,400","77,100",-,-,-,"174,500",-,"174,500",-,"174,500",-,-,"39,880","39,880",-
101,9/30/1997,"2,405,800","528,300","528,300",-,-,"528,300",-,-,-,-,"837,400","837,400",-,-,-,-,"998,700","1,037,300",-,-,-,"1,037,300","38,600",-,"37,100","37,100","37,100",-,-,"3,600",-,-,-,-,-,-,-,-,-,-,-,-,700,"2,243,500","2,228,200","1,536,700","1,536,700","691,500",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"15,300","162,300","162,300",-,-,-,"87,600",-,"2,000","72,700",-,-,-,"162,300",-,"162,300",-,"162,300",-,-,"39,524","39,524",-
102,6/30/1997,"2,215,800","482,200","482,200",-,-,"482,200",-,-,-,-,"693,800","693,800",-,-,-,-,"1,000,900","1,038,200",-,-,-,"1,038,200","37,300",-,"34,000","34,000","34,000",-,-,"3,700",-,-,-,-,-,-,-,-,-,-,-,-,"1,200","2,065,100","2,055,000","1,425,000","1,425,000","630,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"10,100","150,700","150,700",-,-,-,"80,300",-,200,"70,200",-,-,-,"150,700",-,"150,700",-,"150,700",-,-,"38,548","38,548",-
103,3/31/1997,"1,951,500","383,200","383,200",-,-,"383,200",-,-,-,-,"635,400","635,400",-,-,-,-,"895,100","931,500",-,-,-,"931,500","36,400",-,"32,500","32,500","32,500",-,-,"3,900",-,-,-,-,-,-,-,-,-,-,-,-,"1,400","1,811,300","1,799,700","1,194,400","1,194,400","605,300",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"11,600","140,200","140,200",-,-,-,"73,500",-,"-1,700","68,400",-,-,-,"140,200",-,"140,200",-,"140,200",-,-,"38,140","38,140",-
104,12/31/1996,"1,924,500","433,200","433,200",-,-,"433,200",-,-,-,-,"625,000","625,000",-,-,-,-,"830,800","863,500",-,-,-,"863,500","32,700",-,"29,500","29,500","29,500",-,-,"4,200",-,-,-,-,-,-,-,-,-,-,-,-,"1,800","1,789,100","1,774,300","1,175,000","1,175,000","599,300",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"14,800","135,400","135,400",-,-,-,"67,300",-,"2,500","65,600",-,-,-,"135,400",-,"135,400",-,"135,400",-,-,"37,320","37,320",-
105,9/30/1996,"1,703,800","365,900","365,900",-,-,"365,900",-,-,-,-,"493,100","493,100",-,-,-,-,"810,800","840,800",-,-,-,"840,800","30,000",-,"27,100","27,100","27,100",-,-,"4,100",-,-,-,-,-,-,-,-,-,-,-,-,"2,800","1,578,700","1,568,900","1,079,500","1,079,500","489,400",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"9,800","125,100","125,100",-,-,-,"61,400",-,-500,"64,200",-,-,-,"125,100",-,"125,100",-,"125,100",-,-,"37,184","37,184",-
106,6/30/1996,"1,736,500","462,700","462,700",-,-,"462,700",-,-,-,-,"445,300","445,300",-,-,-,-,"794,700","823,700",-,-,-,"823,700","29,000",-,"25,800","25,800","25,800",-,-,"4,300",-,-,-,-,-,-,-,-,-,-,-,-,"3,700","1,617,500","1,608,600","1,095,300","1,095,300","513,300",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"8,900","119,000","119,000",-,-,-,"56,200",-,-900,"63,700",-,-,-,"119,000",-,"119,000",-,"119,000",-,-,"36,848","36,848",-
107,3/31/1996,"1,424,500","339,600","339,600",-,-,"339,600",-,-,-,-,"334,200","334,200",-,-,-,-,"718,200","748,400",-,-,-,"748,400","30,200",-,"23,700","23,700","23,700",-,-,"4,500",-,-,-,-,-,-,-,-,-,-,-,-,"4,300","1,312,300","1,301,900","847,900","847,900","454,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"10,400","112,200","112,200",-,-,-,"50,500",-,-300,"62,000",-,-,-,"112,200",-,"112,200",-,"112,200",-,-,"36,572","36,572",-
108,12/31/1995,"1,407,600","342,300","342,300",-,-,"342,300",-,-,-,-,"321,300","321,300",-,-,-,-,"708,700","738,400",-,-,-,"738,400","29,700",-,"25,600","25,600","25,600",-,-,"4,700",-,-,-,-,-,-,-,-,-,-,-,-,"5,000","1,302,600","1,290,000","838,700","838,700","451,300",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"12,600","105,000","105,000",-,-,-,"45,900",-,-200,"59,300",-,-,-,"105,000",-,"105,000",-,"105,000",-,-,"35,856","35,856",-
109,9/30/1995,"1,256,300","374,400","374,400",-,-,"374,400",-,-,-,-,"178,100","178,100",-,-,-,-,"673,800","704,200",-,-,-,"704,200","27,000","-3,400","19,800","19,800","19,800",-,-,"4,700",-,-,-,-,-,-,-,-,-,-,-,-,"5,500","1,158,100","1,148,400","754,500","754,500","393,900",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"9,700","98,200","98,200",-,-,-,"40,400",-,-300,"58,100",-,-,-,"98,200",-,"98,200",-,"98,200",-,-,"35,476","35,476",-
110,6/30/1995,"1,173,500","357,700","357,700",-,-,"357,700",-,-,-,-,"140,400","140,400",-,-,-,-,"636,800","662,500",-,-,-,"662,500","22,500","-3,200","29,000","29,000","29,000",-,-,"9,500",-,-,-,-,-,-,-,-,-,-,-,-,100,"1,081,300","1,070,600","679,500","679,500","391,100",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"10,700","92,200","92,200",-,-,-,"35,000",-,-,"57,200",-,-,-,"92,200",-,"92,200",-,"92,200",-,-,"35,316","35,316",-
111,3/31/1995,"1,119,300","258,600","258,600",-,-,"258,600",-,-,-,-,"155,600","155,600",-,-,-,-,"675,100","696,600",-,-,-,"696,600","21,500",-,"21,700","21,700","21,700",-,-,"8,400",-,-,-,-,-,-,-,-,-,-,-,-,-100,"1,035,300","1,023,700","645,100","645,100","378,600",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"11,600","84,000","84,000",-,-,-,"31,000",-,-,"53,000",-,-,-,"84,000",-,"84,000",-,"84,000",-,-,"34,644","34,644",-
112,12/31/1994,"1,161,500","289,800","289,800",-,-,"289,800",-,-,-,-,"156,500","156,500",-,-,-,-,"682,400","702,400",-,-,-,"702,400","20,000",-,"22,100","22,100","22,100",-,-,"2,200",-,-,-,-,-,-,-,-,-,-,-,-,"8,500","1,084,200","1,075,400","673,900","673,900","401,500",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"8,800","77,300","77,300",-,-,-,"27,700",-,"4,200","45,400",-,-,-,"77,300",-,"77,300",-,"77,300",-,-,"34,036","34,036",-
