,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Deposits,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Other Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Credit Card,Other Customer Services,Fees & Commission Expense,Investment Banking Profit,Foreign Exchange Trading Gains,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Loans,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Equipment,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Insurance & Claims,Other G and A,Selling & Marketing Expense,Securities Amortization,Other Non Interest Expense,Special Income Charges,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Other Special Charges,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income Extraordinary,Minority Interests,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
0,ttm,"6,213,000","4,485,000","5,673,000","3,208,000","3,208,000","2,253,000",-,"212,000",-,"1,188,000","862,000","216,000","110,000",-,"1,728,000",-,"1,117,000","1,117,000","341,000","142,000","150,000","484,000",-,"420,000","288,000","-97,000","-97,000",-,-,"166,000","-420,000","3,571,000","370,000","370,000",-,"480,000","2,368,000","2,368,000","2,293,000","75,000","85,000",-,-,"353,000","-50,000","50,000",-,-,"2,172,000","563,000","1,509,000","1,672,000","1,609,000","1,609,000",-,"63,000","163,000","1,509,000",-,-,-,-,"4,065,000","1,672,000","1,709,400","212,000","222,000","1,672,000","-50,000","-50,000",0,"-12,600"
1,12/31/2022,"1,528,000","1,038,000","1,756,000","1,119,000","1,119,000","530,000",-,"107,000",-,"718,000","514,000",-,"204,000",-,"490,000",-,"305,000","305,000","75,000","20,000","36,000","174,000",-,"127,000","69,000","-58,000","-58,000",-,-,"47,000","-141,000","997,000","107,000","107,000",-,"125,000","685,000","685,000","644,000","18,000","23,000",-,-,"80,000","-11,000","11,000",-,-,"379,000","74,000","275,000","315,000","305,000","305,000",-,"10,000","40,000","275,000",4.65,4.62,"59,113","59,455","897,000","315,000","323,899","107,000","67,000","315,000","-11,000","-11,000",0,"-2,101"
2,9/30/2022,"1,557,000","1,198,000","1,521,000","865,000","865,000","580,000",-,"76,000",-,"323,000","249,000",-,"74,000",-,"359,000",-,"266,000","266,000","67,000","19,000","37,000","143,000",-,"75,000","74,000","-87,000","-87,000",-,-,"31,000","-72,000","885,000","96,000","96,000",-,"117,000","609,000","609,000","563,000","25,000","21,000",-,-,"63,000","-7,000","7,000",-,-,"593,000","175,000","429,000","469,000","418,000","418,000",-,"51,000","40,000","429,000",7.26,7.21,"59,096","59,549","1,126,000","469,000","474,096","76,000","55,000","469,000","-7,000","-7,000",0,"-1,904"
3,6/30/2022,"1,529,000","1,167,000","1,274,000","654,000","654,000","597,000",-,"23,000",-,"107,000","77,000",-,"30,000",-,"362,000",-,"241,000","241,000","72,000","22,000","40,000","107,000",-,"125,000","69,000","-140,000","-140,000",-,-,"67,000","-196,000","832,000","86,000","86,000",-,"132,000","545,000","545,000","502,000","16,000","27,000",-,-,"69,000","-16,000","16,000",-,-,"485,000","132,000","333,000","373,000","353,000","353,000",-,"20,000","40,000","333,000",5.65,5.60,"58,935","59,454","971,000","373,000","384,824","23,000","50,000","373,000","-16,000","-16,000",0,"-4,176"
4,3/31/2022,"1,599,000","1,082,000","1,122,000","570,000","570,000","546,000",-,"6,000",-,"40,000","22,000","1,000","18,000",-,"517,000",-,"182,000","182,000","63,000","22,000","37,000","60,000",-,"93,000","73,000","148,000","148,000",-,-,"21,000","-11,000","857,000","81,000","81,000",-,"106,000","614,000","614,000","584,000","16,000","14,000",-,-,"56,000","-16,000","16,000",-,-,"715,000","182,000","472,000","515,000","533,000","533,000",-,"-18,000","43,000","472,000",8.03,7.92,"58,800","59,599","1,071,000","515,000","526,824","6,000","50,000","515,000","-16,000","-16,000",0,"-4,176"
5,12/31/2021,"1,500,000","939,000","975,000","544,000","544,000","425,000",-,"6,000",-,"36,000","21,000",-,"15,000",-,"561,000",-,"164,000","164,000","63,000","22,000","38,000","41,000",-,"124,000","73,000","169,000","169,000",-,-,"31,000","-48,000","875,000","77,000","77,000",-,"110,000","623,000","623,000","597,000","15,000","11,000",-,-,"65,000","-27,000","27,000",-,-,"550,000","142,000","371,000","394,000","408,000","408,000",-,"-14,000","23,000","371,000",6.32,6.22,"58,703","59,624","891,000","394,000","413,872","6,000","45,000","394,000","-27,000","-27,000",0,"-7,128"
6,9/30/2021,"1,524,000","852,000","884,000","519,000","519,000","360,000",-,"5,000",-,"32,000","19,000",-,"13,000",-,"672,000",-,"156,000","156,000","63,000","22,000","34,000","37,000",-,"90,000","65,000","336,000","336,000",-,-,"25,000","-21,000","796,000","79,000","79,000","54,000","104,000","567,000","567,000","548,000","13,000","6,000",-,-,"46,000","-83,000","83,000",-,-,"624,000","149,000","365,000","387,000","475,000","475,000",-,"-88,000","22,000","365,000",6.33,6.24,"57,723","58,521","831,000","387,000","447,092","5,000","45,000","387,000","-83,000","-83,000",0,"-22,908"
7,6/30/2021,"1,489,000","728,000","751,000","472,000","472,000","275,000",-,"4,000",-,"23,000","12,000",-,"11,000",-,"761,000",-,"122,000","122,000","59,000","21,000","31,000","32,000","19,000","103,000","67,000","427,000","427,000",-,-,"42,000","-35,000","634,000","54,000","54,000","37,000","97,000","438,000","438,000","425,000","10,000","3,000",-,-,"45,000","-19,000","19,000",-,-,"801,000","173,000","502,000","515,000","628,000","628,000",-,"-113,000","13,000","502,000",9.23,9.09,"54,353","55,152","693,000","515,000","529,231","4,000","30,051","515,000","-19,000","-19,000",0,"-4,769"
8,3/31/2021,"1,403,759","659,579","678,746","430,422","430,422","245,059",-,"3,265",-,"19,167","10,437",-,"8,730",-,"744,180",-,"125,930","125,930","53,859","14,559","27,567","44,504","21,535","142,302","57,393","388,763","388,763",-,-,"29,792","-18,679","636,001","50,503","50,503","32,822","81,343","458,699","458,699","445,425","9,463","3,811",-,-,"45,456",-,-,-,-,"749,079","187,315","532,220","536,814","561,764","561,764",-,"-24,950","4,594","532,220",10.20,10.03,"52,180","53,076","640,900","536,814","536,814","3,265","30,949","536,814",-,-,0,0
9,12/31/2020,"1,213,263","591,480","607,558","403,361","403,361","201,398",-,"2,799",-,"16,078","8,909",-,"7,169",-,"621,783",-,"122,247","122,247","54,407","12,538","25,389","42,451","20,230","133,434","51,091","293,753","293,753",-,-,"21,258","38,433","664,799","86,438","86,438","41,705","77,336","428,753","428,753","415,705","8,601","4,447",-,-,"72,272",-,-,-,-,"586,897","148,096","388,316","392,910","438,801","438,801",-,"-45,891","4,594","388,316",7.49,7.40,"51,817","52,466","629,913","392,910","392,910","2,799","27,233","392,910",-,-,0,0
10,9/30/2020,"1,075,323","527,740","543,127","368,981","368,981","171,429",-,"2,717",-,"15,387","8,218",-,"7,169",-,"547,583",-,"118,696","118,696","47,769","9,669","22,756","48,171","16,416","92,181","43,881","243,603","243,603",-,-,"49,222","52,018","491,021","49,737","49,737","30,772","67,215","336,516","336,516","327,369","6,933","2,214",-,-,"37,553",-,-,-,-,"636,320","162,265","441,713","446,307","474,055","474,055",-,"-27,748","4,594","441,713",8.53,8.47,"51,773","52,146","579,758","446,307","446,307","2,717","23,957","446,307",-,-,0,0
11,6/30/2020,"881,775","512,927","523,523","365,110","365,110","156,011",-,"2,402",-,"10,596","5,694",-,"4,902",-,"368,848",-,"113,187","113,187","43,096","8,845","21,288","48,803","21,018","141,503","36,256","61,374","61,374",-,-,"16,528","-66,481","479,636","46,553","46,553","27,708","63,828","329,608","329,608","319,797","6,819","2,992",-,-,"39,647",-,-,-,-,"335,658","87,869","228,935","233,529","247,789","247,789",-,"-14,260","4,594","228,935",4.44,4.42,"51,581","51,795","446,446","233,529","233,529","2,402","24,826","233,529",-,-,0,0
12,3/31/2020,"826,071","524,137","567,402","382,569","382,569","167,209",-,"17,624",-,"43,265","37,398",-,"5,867",-,"301,934",-,"136,975","136,975","49,256","7,908","28,304","59,415","18,919","46,867","47,505","59,450","59,450",-,-,"11,137","-243,480","399,585","45,286","45,286","26,940","38,705","274,891","274,891","255,586","5,234","14,071",-,-,"40,703",-,-,-,-,"183,006","49,357","132,253","135,622","133,649","133,649",-,"1,973","3,369","132,253",2.56,2.55,"51,565","51,944","280,657","135,622","135,622","17,624","24,824","135,622",-,-,0,0
13,12/31/2019,"847,012","533,668","588,735","396,698","396,698","170,044",-,"21,993",-,"55,067","47,509",-,"7,558",-,"313,344",-,"141,216","141,216","48,231","8,230","32,288","60,697","17,251","58,172","42,399","58,960","58,960",-,-,"12,597","-17,383","460,752","43,947","43,947","24,384","72,461","296,824","296,824","274,661","5,166","16,997",-,-,"47,520",-,-,-,-,"368,877","94,061","262,856","262,856","274,816","274,816",-,"-11,960",-,"262,856",5.10,5.06,"51,587","51,959","516,285","262,856","262,856","21,993","22,309","262,856",-,-,0,0
14,9/30/2019,"814,653","520,644","583,892","394,246","394,246","160,779",-,"28,867",-,"63,248","55,106",-,"8,142",-,"294,009",-,"134,143","134,143","45,031","8,493","30,158","58,954","15,638","38,516","40,309","67,410","67,410",-,-,"13,631","-36,536","391,324","43,756","43,756","26,775","55,202","258,260","258,260","233,840","4,881","19,539",-,-,"34,106",-,-,-,-,"386,793","105,075","267,281","267,281","281,718","281,718",-,"-14,437",-,"267,281",5.19,5.15,"51,545","51,858","484,108","267,281","267,281","28,867","19,584","267,281",-,-,0,0
15,6/30/2019,"863,153","529,403","585,767","414,077","414,077","145,326",-,"26,364",-,"56,364","47,150",-,"9,214",-,"333,750",-,"133,260","133,260","44,297","7,758","28,790","60,173","19,029","48,694","38,506","96,045","96,045",-,-,"17,245","-23,946","383,522","40,598","40,598","23,911","40,830","264,677","264,677","243,172","4,483","17,022",-,-,"37,417",-,-,-,-,"455,685","119,114","317,987","317,987","336,571","336,571",-,"-18,584",-,"317,987",6.12,6.08,"51,955","52,336","505,457","317,987","317,987","26,364","19,994","317,987",-,-,0,0
16,3/31/2019,"793,262","512,886","551,014","394,144","394,144","137,654",-,"19,216",-,"38,128","27,907",-,"10,221",-,"280,376",-,"130,303","130,303","44,230","8,041","27,483","58,590","15,622","49,795","38,048","50,333","50,333",-,-,"11,897","-28,551","365,664","37,748","37,748","21,700","36,986","257,394","257,394","238,061","3,979","15,354",-,-,"33,536",-,-,-,-,"399,047","107,435","288,732","288,732","291,612","291,612",-,"-2,880",-,"288,732",5.49,5.44,"52,587","53,109","484,335","288,732","288,732","19,216","20,830","288,732",-,-,0,0
17,12/31/2018,"697,654","514,460","542,897","378,756","378,756","149,013",-,"15,128",-,"28,437","10,897",-,"17,540",-,"183,194",-,"104,277","107,790","40,689","5,872","25,333","41,768","3,513",-,"38,252","27,478","27,478",-,-,"13,187","-13,644","304,079","34,497","34,497","20,342","46,755","200,934","200,934","183,782","4,970","12,182",-,-,"21,893",-,-,-,-,"379,931","105,000","266,264","266,264","274,931","274,931",-,"-8,667",-,"266,264",5.01,4.96,"53,125","53,685","500,816","266,264","266,264","15,128","14,517","266,264",-,-,0,0
18,9/30/2018,"699,779","493,222","513,313","352,353","352,353","152,823",-,"8,137",-,"20,091","8,042",-,"12,049",-,"206,557",-,"95,545","99,058","38,672","5,479","24,121","36,265","3,513",-,"32,656","66,334","66,334",-,-,"12,022","-17,174","305,932","33,552","33,552","19,858","36,542","217,699","217,699","195,437","9,550","12,712",-,-,"18,139",-,-,-,-,"376,673","95,308","274,817","274,817","281,365","281,365",-,"-6,548",-,"274,817",5.16,5.10,"53,235","53,919","476,048","274,817","274,817","8,137","14,487","274,817",-,-,0,0
19,6/30/2018,"655,855","466,443","481,301","330,298","330,298","144,816",-,"6,187",-,"14,858","6,270",-,"8,588",-,"189,412",-,"85,770","89,047","36,669",-,"22,926","29,452","3,277",-,"34,077","55,175","55,175",-,-,"14,390","-29,080","302,462","32,461","32,461","19,173","46,813","204,376","204,376","181,955","10,326","12,095",-,-,"18,812",-,-,-,-,"324,313","77,287","237,798","237,798","247,026","247,026",-,"-9,228",-,"237,798",4.48,4.42,"53,064","53,776","437,363","237,798","237,798","6,187","14,525","237,798",-,-,0,0
20,3/31/2018,"571,971","419,863","432,398","297,073","297,073","129,569",-,"5,756",-,"12,535","4,097",-,"8,438",-,"152,108",-,"77,773","81,183","36,616",-,"21,692","22,875","3,410",-,"33,827","28,249","28,249",-,-,"12,259","-27,972","262,007","32,161","32,161","18,545","28,725","186,427","186,427","165,806","9,430","11,191",-,-,"14,694",-,-,-,-,"281,992","73,966","194,961","194,961","208,026","208,026",-,"-13,065",-,"194,961",3.69,3.63,"52,883","53,685","391,891","194,961","194,961","5,756","14,377","194,961",-,-,0,0
21,12/31/2017,"542,766","393,706","405,016","279,805","279,805","120,376",-,"4,835",-,"11,310","2,458",-,"8,852",-,"149,060",-,"69,456","72,662","33,653","5,311","20,444","18,565","3,206",-,"33,734","27,888","27,888",-,-,"17,982","-22,242","260,809","30,960","30,960","18,000","35,604","176,770","176,770","156,990","8,715","11,065",-,-,"17,475",-,-,-,-,"259,715","135,051","117,210","117,210","124,664","124,664",-,"-7,454",-,"117,210",2.22,2.19,"52,762","53,502","371,464","117,210","117,210","4,835","16,858","117,210",-,-,0,0
22,9/30/2017,"529,590","373,974","385,271","268,445","268,445","110,615",-,"6,211",-,"11,297","2,304",-,"8,993",-,"155,616",-,"69,889","73,051","37,218","5,198","20,270","15,563","3,162",-,"29,671","40,160","40,160",-,-,"15,896","-23,522","254,599","31,597","31,597","18,937","32,987","171,951","171,951","153,263","8,359","10,329",-,-,"18,064",-,-,-,-,"251,469","97,351","148,620","148,620","154,118","154,118",-,"-5,498",-,"148,620",2.82,2.79,"52,705","53,305","350,452","148,620","148,620","6,211","12,997","148,620",-,-,0,0
23,6/30/2017,"468,061","342,696","353,927","250,197","250,197","96,407",-,"7,323",-,"11,231","2,197",-,"9,034",-,"125,365",-,"57,996","61,159","30,078","5,536","18,099","12,982","3,163",-,"26,108","28,450","28,450",-,-,"12,811","-15,806","248,083","30,084","30,084","18,958","27,925","169,675","169,675","148,973","9,313","11,389",-,-,"20,399",-,-,-,-,"204,172","71,656","123,193","123,193","132,516","132,516",-,"-9,323",-,"123,193",2.34,2.32,"52,537","53,194","326,890","123,193","123,193","7,323","13,877","123,193",-,-,0,0
24,3/31/2017,"424,207","309,993","320,926","227,341","227,341","90,449",-,"3,136",-,"10,933","1,717",-,"9,216",-,"114,214",-,"52,886","56,331","29,575",-,"17,730","9,026","3,445",-,"26,247","22,660","22,660",-,-,"12,421","-30,734","234,188","27,509","27,509","15,858","25,419","165,053","165,053","147,176","8,682","9,195",-,-,"16,207",-,-,-,-,"159,285","51,405","101,483","101,483","107,880","107,880",-,"-6,397",-,"101,483",1.94,1.91,"52,344","53,179","279,259","101,483","101,483","3,136","12,391","101,483",-,-,0,0
25,12/31/2016,"407,119","296,605","307,333","216,699","216,699","86,357",-,"4,277",-,"10,728","1,627",-,"9,101",-,"110,514",-,"54,475","57,463","30,224",-,"18,979","8,260","2,988",-,"27,185","31,710","31,710",-,-,"-2,856","-16,454","232,198","28,650","28,650","17,641","27,023","158,574","158,574","139,860","8,661","10,053",-,-,"17,951",-,-,-,-,"158,467","54,825","99,466","99,466","103,642","103,642",-,"-4,176",-,"99,466",1.91,1.89,"52,134","52,677","280,151","99,466","99,466","4,277","11,705","99,466",-,-,0,0
26,9/30/2016,"430,197","289,161","300,413","214,227","214,227","83,990",-,"2,196",-,"11,252","1,535",-,"9,717",-,"141,036",-,"51,478","54,582","28,335","5,231","18,295","7,952","3,104",-,"25,944","42,922","42,922",-,-,"20,692","-20,004","217,669","25,816","25,816","16,291","23,443","152,877","152,877","136,568","7,805","8,504",-,-,"15,533",-,-,-,-,"192,524","76,877","111,081","111,081","115,647","115,647",-,"-4,566",-,"111,081",2.13,2.12,"52,046","52,413","269,157","111,081","111,081","2,196","11,346","111,081",-,-,0,0
27,6/30/2016,"393,399","283,336","293,992","205,287","205,287","87,178",-,"1,527",-,"10,656","1,261",-,"9,395",-,"110,063",-,"47,653","50,366","26,930","4,298","15,424","8,012","2,713",-,"24,088","32,068","32,068",-,-,"6,254","-36,746","197,226","25,945","25,945","16,586","25,516","131,799","131,799","115,580","6,892","9,327",-,-,"13,966",-,-,-,-,"159,427","65,047","92,964","92,964","94,380","94,380",-,"-1,416",-,"92,964",1.79,1.78,"51,831","52,187","246,590","92,964","92,964","1,527","12,232","92,964",-,-,0,0
28,3/31/2016,"363,903","281,421","291,658","197,942","197,942","91,646",-,"2,070",-,"10,237","1,188",-,"9,049",-,"82,482",-,"45,924","49,576","26,074","4,620","15,507","7,995","3,652",-,"26,966","-6,379","-6,379",-,-,"15,971","-33,475","200,247","25,019","25,019","14,984","19,000","141,435","141,435","122,262","6,927","12,246",-,-,"14,793",-,-,-,-,"130,181","53,584","79,174","79,174","76,597","76,597",-,"2,577",-,"79,174",1.53,1.52,"51,646","52,085","247,946","79,174","79,174","2,070","11,536","79,174",-,-,0,0
29,12/31/2015,"379,935","269,069","279,232","185,401","185,401","91,835",-,"1,996",-,"10,163","1,164",-,"8,999",-,"110,866",-,"45,095","48,735","26,738","4,284","15,816","6,181","3,640",-,"23,970","29,954","29,954",-,-,"11,847","-29,066","207,163","25,791","25,791","15,127","24,005","141,181","141,181","123,811","6,750","10,620",-,-,"16,186",-,-,-,-,"143,706","53,697","87,512","87,512","90,009","90,009",-,"-2,497",-,"87,512",1.70,1.68,"51,509","52,061","240,003","87,512","87,512","1,996","11,504","87,512",-,-,0,0
30,9/30/2015,"360,067","254,660","264,791","174,993","174,993","88,316",-,"1,482",-,"10,131","1,158",-,"8,973",-,"105,407",-,"42,323","45,393","25,174","4,074","14,536","5,683","3,070",-,"22,995","29,012","29,012",-,-,"11,077","-34,450","180,638","20,904","20,904","12,356","21,137","124,327","124,327","109,345","6,954","8,028",-,-,"14,270",-,-,-,-,"144,979","57,017","81,733","81,733","87,962","87,962",-,"-6,229",-,"81,733",1.59,1.57,"51,479","52,048","220,210","81,733","81,733","1,482","8,751","81,733",-,-,0,0
31,6/30/2015,"366,721","243,771","253,926","167,252","167,252","85,354",-,"1,320",-,"10,155","1,182",-,"8,973",-,"122,950",-,"40,378","43,715","24,236","3,861","14,215","5,264","3,337",-,"22,364","41,292","41,292",-,-,"18,916","-23,452","193,836","19,936","19,936","11,787","18,950","140,641","140,641","124,915","5,962","9,764",-,-,"14,309",-,-,-,-,"149,433","54,974","86,143","86,143","94,459","94,459",-,"-8,316",-,"86,143",1.68,1.66,"51,268","51,876","220,319","86,143","86,143","1,320","9,861","86,143",-,-,0,0
32,3/31/2015,"407,487","238,890","248,789","165,458","165,458","82,046",-,"1,285",-,"9,899","1,943",-,"7,956",-,"168,597",-,"37,111","40,532","23,960","3,722","12,090","4,482","3,421",-,"17,678","122,888","122,888",-,-,"-9,080","-8,715","190,424","19,970","19,970","12,657","24,185","132,671","132,671","115,770","5,789","11,112",-,-,"13,598",-,-,-,-,"208,348","63,066","88,516","88,516","145,282","145,282",-,"-56,766",-,"88,516",1.74,1.71,"51,009","51,719","230,175","88,516","88,516","1,285","9,892","88,516",-,-,0,0
33,12/31/2014,"399,011","234,737","243,725","161,801","161,801","80,761",-,"1,163",-,"8,988","3,181",-,"5,807",-,"164,274",-,"33,359","36,722","22,238","3,610","10,352","4,132","3,363",-,"18,624","128,152","128,152",-,-,"-15,861","-41,413","184,659","21,017","21,017","13,449","25,994","123,365","123,365","107,227","5,546","10,592",-,"2,933","14,283",-,-,-,-,"172,939","42,302","58,832","58,832","130,637","130,637",-,"-71,805",-,"58,832",1.16,1.14,"50,859","51,528","193,324","58,832","58,832","1,163","10,655","58,832",-,-,0,0
34,9/30/2014,"297,454","220,565","229,326","153,292","153,292","74,312",-,"1,722",-,"8,761","2,961",-,"5,800",-,"76,889",-,"32,157","35,435","20,712","3,574","10,909","3,814","3,278",-,"17,911","32,182","32,182",-,-,"-5,361","-18,835","176,486","20,068","20,068","12,631","26,081","114,541","114,541","99,932","4,587","10,022",-,"2,228","15,796",-,-,-,-,"102,133","38,961","62,995","62,995","63,172","63,172",-,-177,-,"62,995",1.26,1.24,"50,752","51,571","201,730","62,995","62,995","1,722","10,005","62,995",-,-,0,0
35,6/30/2014,"215,901","204,965","213,841","147,680","147,680","64,218",-,"1,943",-,"8,876","3,068",-,"5,808",-,"10,936",-,"28,791","32,065","18,297","3,559","10,249","3,519","3,274",-,"17,928","-44,545","-44,545",-,-,"8,762","-4,132","167,987","19,733","19,733","12,053","21,113","114,014","114,014","99,820","4,945","9,249",-,"2,502","13,127",-,-,-,-,"43,782","33,582","50,797","50,797","10,200","10,200",-,"40,597",-,"50,797",1.06,1.04,"48,168","49,045","200,833","50,797","50,797","1,943","9,577","50,797",-,-,0,0
36,3/31/2014,"503,350","196,328","205,024","148,172","148,172","55,216",-,"1,636",-,"8,696","2,904",-,"5,792",-,"307,022",-,"30,547","33,750","20,050","2,755","10,282","3,418","3,203",-,"17,196","248,079","248,079",-,-,"11,200","-1,617","168,110","18,902","18,902","11,582","21,189","116,829","116,829","102,507","4,128","10,194",-,"2,028","11,190",-,-,-,-,"333,623","58,917","91,301","91,301","274,706","274,706",-,"-183,405",-,"91,301",1.98,1.95,"45,866","46,725","194,711","91,301","91,301","1,636","9,459","91,301",-,-,0,0
37,12/31/2013,"422,579","186,998","195,384","146,988","146,988","46,947",-,"1,449",-,"8,386","2,595",-,"5,791",-,"235,581",-,"29,979","33,111","20,328","2,632","9,216","3,567","3,132",-,"15,882","177,929","177,929",-,0,"11,791","-30,177","164,211","19,114","19,114","11,637","23,419","110,023","110,023","96,486","3,636","9,901",-,"2,262","11,655",-,-,-,-,"228,191","35,285","58,757","58,757","192,906","192,906",-,"-134,149",-,"58,757",1.29,1.27,"45,701","46,431","156,821","58,757","58,757","1,449","9,420","58,757",0,0,0,0
38,9/30/2013,"431,840","177,096","185,240","139,687","139,687","44,401",-,"1,152",-,"8,144","2,397",-,"5,747",-,"254,744",-,"21,367","24,273","12,692","2,822","8,188","3,393","2,906",-,"12,887","198,064","198,064",-,0,"22,426","-13,412","154,844","18,069","18,069","12,171","18,966","107,160","107,160","96,869","2,913","7,378",-,"1,519","10,649",-,-,-,-,"263,584","47,404","67,621","67,621","216,180","216,180",-,"-148,559",-,"67,621",1.48,1.46,"45,580","46,202","163,684","67,621","67,621","1,152","9,193","67,621",0,0,0,0
39,6/30/2013,"265,271","170,081","177,983","131,785","131,785","45,464",-,734,-,"7,902","2,085",-,"5,817",-,"95,190",-,"20,645","23,694","12,561","2,940","7,609","3,524","3,049",-,"12,778","49,537","49,537",-,0,"12,230","-19,919","138,896","17,197","17,197","11,402","16,633","95,378","95,378","84,742","2,853","7,783",-,"1,338","9,688",-,-,-,-,"106,456","29,968","48,584","48,584","76,488","76,488",-,"-27,904",-,"48,584",1.08,1.06,"45,164","45,684","150,162","48,584","48,584",734,"8,802","48,584",0,0,0,0
40,3/31/2013,"238,718","163,169","171,014","123,744","123,744","46,551",-,719,-,"7,845","2,051",-,"5,794",-,"75,549",-,"20,096","23,151","12,228","2,769","7,448","3,475","3,055",-,"13,448","38,478","38,478",-,-,"3,527","-7,827","143,945","16,492","16,492","10,725","17,160","100,358","100,358","88,704","3,382","8,272",-,"1,317","9,935",-,-,-,-,"86,946","26,401","40,891","40,891","60,545","60,545",-,"-19,654",-,"40,891",0.91,0.90,"44,802","45,393","155,342","40,891","40,891",719,"8,479","40,891",-,-,0,0
41,12/31/2012,"284,611","160,563","168,168","124,304","124,304","42,794",-,"1,070",-,"7,605","1,825",-,"5,780",-,"124,048",-,"21,607","24,247","13,310",-,"6,624","4,313","2,640",-,"12,647","74,558","74,558",-,-,"15,236","-14,238","141,185","18,328","18,328","12,459","18,965","94,118","94,118","83,558","2,894","7,666",-,950,"9,774",-,-,-,-,"129,188","29,526","50,421","50,421","99,662","99,662",-,"-49,241",-,"50,421",1.13,1.12,"44,525","44,982","146,325","50,421","50,421","1,070","5,471","50,421",-,-,0,0
42,9/30/2012,"223,569","154,430","161,958","121,446","121,446","39,387",-,"1,125",-,"7,528","1,740",-,"5,788",-,"69,139",-,"22,166","22,166","8,369","3,954","6,348","7,449",-,-,"12,211","21,339","20,228",-,"1,111","13,423","-6,788","135,571","16,913","5,666","11,247","17,759","85,098","85,098","79,262","2,836","3,000",-,941,"15,801",400,-,-,-,"81,610","28,470","42,289","42,289","53,140","53,140",-,"-10,851",-,"42,289",0.95,0.94,"44,449","44,915","147,642","42,289","41,305","1,125","9,057","42,289","1,511","1,511",0,527.1189
43,6/30/2012,"232,360","151,934","159,818","113,935","113,935","44,971",-,912,-,"7,884","1,614",-,"6,270",-,"80,426",-,"33,240","33,240","8,369","3,375","6,169","18,702",-,-,"12,031","34,522","25,809",-,"8,713","12,664","-7,999","135,766","14,797","5,378","9,419","16,514","85,956","85,956","80,385","2,731","2,840",-,-,"18,499","-9,418",-,-,"9,418","88,595","31,517","47,603","47,603","57,078","57,078",-,"-9,475",-,"47,603",1.08,1.06,"44,207","44,712","143,935","47,603","41,990",912,"7,140","47,603","8,713","8,713",0,"3,100"
44,3/31/2012,"210,230","150,937","158,774","109,461","109,461","48,275",-,"1,038",-,"7,837","1,481",-,"6,356",-,"59,293",-,"32,400","32,400","8,096","2,897","5,668","18,636",-,-,"12,718","13,815","7,839","1,659","5,976","13,078","-14,529","132,270","13,187","5,623","7,564","14,607","88,923","88,923","83,737","2,498","5,186",-,"1,058","15,553",258,-,-,-,"63,689","23,756","34,790","34,790","39,933","39,933",-,"-5,143",-,"34,790",0.79,0.78,"43,780","44,460","136,408","34,790","30,881","1,038","6,454","34,790","6,234","6,234",0,"2,325"
45,12/31/2011,"213,129","140,070","147,802","104,895","104,895","41,393",-,"1,514",-,"7,732","1,483",-,"6,249",-,"73,059",-,"16,762","16,762","7,994",-,"6,054","2,714",-,-,"11,494","58,436","19,755",-,-,"-13,633","-8,245","124,075","14,224","5,461","8,763","17,807","92,044","92,044","80,514","2,358","9,172",-,-,-,"-10,635",-,-,"10,635","70,174","26,284","35,574","35,574","43,890","43,890",-,"-8,316",-,"35,574",-,-,-,-,"131,825","35,574","18,033","1,514","7,491","35,574","28,046","28,046",0,"10,505"
46,9/30/2011,"231,066","135,455","143,324","101,693","101,693","40,256",-,"1,375",-,"7,869","1,715",-,"6,154",-,"95,611",-,"30,290","30,290","8,259",-,"4,506","17,525",-,-,"11,546","62,213","52,262",-,"9,951","3,108",-769,"127,451","12,187","4,967","7,220","16,122","81,647","81,647","77,009","2,302","4,638",-,-,"17,495","-11,609",-,-,"11,609","102,846","26,770","37,571","37,571","76,076","76,076",-,"-38,505",-,"37,571",0.87,0.86,"43,233","43,791","134,686","37,571","30,210","1,375","6,165","37,571","9,951","9,951",0,"2,590"
