,,Unnamed: 0,Date,Market Cap (intraday),Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA
TD,62,TD,10/31/2007,54.19B,,13.08,,,3.57,2.46,,
TD,63,TD,7/31/2007,46.06B,,13.56,,,3.93,2.38,,
TD,64,TD,4/30/2007,44.00B,,14.83,,,4.02,2.28,,
TD,65,TD,1/31/2007,42.62B,,15.93,,,3.79,2.44,,
TD,66,TD,10/31/2006,41.63B,,10.25,,,3.55,2.43,,
TD,67,TD,7/31/2006,36.94B,,9.49,,,2.87,2.2,,
TD,68,TD,4/30/2006,40.17B,,11.45,,,3.56,2.49,,
TD,69,TD,1/31/2006,37.83B,,11.12,,,3.46,2.4,,
TD,70,TD,10/31/2005,33.72B,,17.48,,,3.28,2.66,,
TD,71,TD,7/31/2005,32.41B,,15.66,,,3.4,2.54,,
TD,72,TD,4/30/2005,28.26B,,14.56,,,3.06,2.69,,
TD,73,TD,1/31/2005,25.62B,,13.96,,,2.94,2.41,,
TD,74,TD,10/31/2004,26.40B,,15.26,,,3.01,2.6,,
TD,75,TD,7/31/2004,21.77B,,14.34,,,2.75,2.37,,
TD,76,TD,4/30/2004,21.14B,,14.3,,,2.74,2.38,,
TD,77,TD,1/31/2004,21.52B,,28.72,,,2.82,2.46,,
TD,78,TD,10/31/2003,21.85B,,29.1,,,2.86,2.49,,
TD,79,TD,7/31/2003,17.40B,,84.89,,,2.43,2.14,,
TD,80,TD,4/30/2003,15.36B,,,,,2.23,1.98,,
TD,81,TD,1/31/2003,13.81B,,,,,2.11,1.79,,
TD,82,TD,10/31/2002,12.35B,,,,,1.89,1.67,,
TD,83,TD,7/31/2002,13.32B,,80.08,,,2.04,1.76,,
TD,84,TD,4/30/2002,17.05B,,26.46,,,2.52,2.15,,
TD,85,TD,1/31/2002,17.11B,,21.79,,,2.48,2.18,,
TD,86,TD,10/31/2001,14.15B,,17.26,,,2.07,1.88,,
TD,87,TD,7/31/2001,16.08B,,18.34,,,2.25,2.09,,
TD,88,TD,4/30/2001,15.99B,,19.08,,,2.25,2.11,,
TD,89,TD,1/31/2001,18.51B,,28.67,,,2.53,2.43,,
TD,90,TD,10/31/2000,17.16B,,26.91,,,2.61,2.36,,
TD,91,TD,7/31/2000,14.85B,,13.96,,,2.22,2.01,,
TD,92,TD,4/30/2000,14.38B,,6.74,,,2.57,1.94,,
TD,93,TD,1/31/2000,15.66B,,7.21,,,2.75,2.07,,
TD,94,TD,10/31/1999,14.31B,,8.79,,,3.1,2.24,,
TD,95,TD,7/31/1999,11.74B,,15.39,,,2.64,2.24,,
TD,96,TD,4/30/1999,15.88B,,20.21,,,3.47,2.94,,
TD,97,TD,1/31/1999,12.45B,,17.33,,,3.04,2.45,,
TD,98,TD,10/31/1998,8.91B,,11.84,,,2.11,1.84,,
TD,99,TD,7/31/1998,11.73B,,15.29,,,2.72,2.37,,
TD,100,TD,4/30/1998,13.57B,,17.11,,,3.27,2.71,,
TD,101,TD,1/31/1998,10.93B,,15.12,,,2.92,2.36,,
TD,102,TD,10/31/1997,10.84B,,14.48,,,2.8,2.26,,
TD,103,TD,7/31/1997,9.58B,,13.02,,,2.66,2.03,,
TD,104,TD,4/30/1997,8.38B,,12.35,,,2.51,1.85,,
TD,105,TD,1/31/1997,8.32B,,11.91,,,2.48,1.81,,
TD,106,TD,10/31/1996,7.08B,,10.53,,,2.2,1.54,,
CFG,0,CFG,As of Date: 4/18/2023Current,14.77B,,7.31,6.63,,1.76,0.67,,
CFG,1,CFG,3/31/2023,14.71B,,7.41,6.19,,1.8,0.68,,
CFG,2,CFG,12/31/2022,19.39B,,9.82,7.5,0.27,2.4,0.92,,
CFG,3,CFG,9/30/2022,17.04B,,8.74,6.62,0.24,2.17,0.76,,
CFG,4,CFG,6/30/2022,17.69B,,7.56,7.94,,2.3,0.88,,
CFG,5,CFG,3/31/2022,19.18B,,8.78,10.68,,2.91,0.9,,
CFG,6,CFG,12/31/2021,19.95B,,9.49,11.11,,3.05,0.93,,
CFG,7,CFG,9/30/2021,20.02B,,10.49,10.44,,2.97,0.95,,
CFG,8,CFG,6/30/2021,19.54B,,12.88,10.82,,2.84,0.94,,
CFG,9,CFG,3/31/2021,18.80B,,19.89,12.09,,2.74,0.91,,
CFG,10,CFG,12/31/2020,15.28B,,16.18,11.92,,2.25,0.75,,
CFG,11,CFG,9/30/2020,10.80B,,10.11,9.93,,1.65,0.53,,
CFG,12,CFG,6/30/2020,10.77B,,8.64,19.12,,1.7,0.53,,
CFG,13,CFG,3/31/2020,8.02B,,4.94,4.87,,1.31,0.39,,
CFG,14,CFG,12/31/2019,17.59B,,10.74,10.21,,2.9,0.85,,
CFG,15,CFG,9/30/2019,15.70B,,9.48,8.74,,2.6,0.75,,
CFG,16,CFG,6/30/2019,16.21B,,9.66,9.18,,2.68,0.79,,
CFG,17,CFG,3/31/2019,14.96B,,9.23,8.47,,2.55,0.75,,
CFG,18,CFG,12/31/2018,13.85B,,7.62,7.71,,2.4,0.7,,
CFG,19,CFG,9/30/2018,18.36B,,10.54,10.12,,3.22,0.92,,
CFG,20,CFG,6/30/2018,18.86B,,11.37,11.47,,3.35,0.95,,
CFG,21,CFG,3/31/2018,20.47B,,12.92,12.59,,3.71,1.02,,
CFG,22,CFG,12/31/2017,20.65B,,17.07,14.81,,3.82,1.04,,
CFG,23,CFG,9/30/2017,18.96B,,16.18,13.42,,3.52,0.95,,
CFG,24,CFG,6/30/2017,18.05B,,16.44,15.06,,3.43,0.92,,
CFG,25,CFG,3/31/2017,17.60B,,17.54,15.15,,3.45,0.9,,
CFG,26,CFG,12/31/2016,18.24B,,19.36,15.9,,3.68,0.92,,
CFG,27,CFG,9/30/2016,12.80B,,14.71,12.0,,2.66,0.64,,
CFG,28,CFG,6/30/2016,10.57B,,12.65,11.01,,2.19,0.54,,
CFG,29,CFG,3/31/2016,11.08B,,13.52,9.44,,2.34,0.57,,
CFG,30,CFG,12/31/2015,13.82B,,17.18,13.81,,2.9,0.71,,
CFG,31,CFG,9/30/2015,12.59B,,16.33,12.14,,2.71,0.65,,
CFG,32,CFG,6/30/2015,14.67B,,16.47,13.46,,3.18,0.75,,
CFG,33,CFG,3/31/2015,13.21B,,15.23,11.67,,2.81,0.69,,
CFG,34,CFG,12/31/2014,13.57B,,16.98,15.06,,2.81,0.7,,
CFG,35,CFG,9/30/2014,13.12B,,16.93,,,2.65,0.67,,
NYCB,0,NYCB,As of Date: 4/27/2023Current,7.72B,,8.48,8.9,0.47,3.5,0.93,,
NYCB,1,NYCB,3/31/2023,6.17B,,7.17,7.54,,2.96,0.74,,
NYCB,2,NYCB,12/31/2022,5.86B,,6.83,7.75,0.51,2.85,0.94,,
NYCB,3,NYCB,9/30/2022,3.98B,,6.77,6.27,0.41,2.85,0.63,,
NYCB,4,NYCB,6/30/2022,4.26B,,7.48,6.77,,3.11,0.66,,
NYCB,5,NYCB,3/31/2022,5.01B,,8.93,7.65,,3.69,0.77,,
NYCB,6,NYCB,12/31/2021,5.68B,,9.47,8.21,,4.24,0.88,,
NYCB,7,NYCB,9/30/2021,5.98B,,10.55,8.66,,4.59,0.93,,
NYCB,8,NYCB,6/30/2021,5.12B,,9.93,9.18,,4.14,0.81,,
NYCB,9,NYCB,3/31/2021,5.87B,,12.37,11.07,,5.03,0.93,,
NYCB,10,NYCB,12/31/2020,4.89B,,12.71,9.57,,4.49,0.79,,
NYCB,11,NYCB,9/30/2020,3.84B,,10.47,8.27,,3.67,0.62,,
NYCB,12,NYCB,6/30/2020,4.73B,,13.08,12.58,,4.65,0.77,,
NYCB,13,NYCB,3/31/2020,4.38B,,12.19,10.98,,4.26,0.71,,
NYCB,14,NYCB,12/31/2019,5.62B,,15.82,13.99,,5.41,0.91,,
NYCB,15,NYCB,9/30/2019,5.87B,,16.3,14.41,,5.61,0.95,,
NYCB,16,NYCB,6/30/2019,4.66B,,12.79,12.63,,4.39,0.76,,
NYCB,17,NYCB,3/31/2019,5.41B,,14.65,14.1,,5.02,0.88,,
NYCB,18,NYCB,12/31/2018,4.46B,,10.94,12.14,,4.02,0.71,,
NYCB,19,NYCB,9/30/2018,5.09B,,11.92,12.5,,4.03,0.81,,
NYCB,20,NYCB,6/30/2018,5.41B,,12.4,13.5,,4.08,0.86,,
NYCB,21,NYCB,3/31/2018,6.39B,,14.48,15.6,,4.67,1.02,,
NYCB,22,NYCB,12/31/2017,6.37B,,14.97,15.13,1.58,4.49,1.02,,
NYCB,23,NYCB,9/30/2017,6.30B,,14.01,13.72,1.43,4.5,1.01,,
NYCB,24,NYCB,6/30/2017,6.42B,,13.82,15.46,1.44,4.54,1.05,,
NYCB,25,NYCB,3/31/2017,6.83B,,13.83,15.7,1.33,4.71,1.12,,
NYCB,26,NYCB,12/31/2016,7.75B,,,14.86,,11.07,1.27,,
NYCB,27,NYCB,9/30/2016,6.93B,,,11.86,,10.21,1.15,,
NYCB,28,NYCB,6/30/2016,7.30B,,,13.14,,10.83,1.22,,
NYCB,29,NYCB,3/31/2016,7.74B,,,12.72,1.57,11.61,1.3,,
NYCB,30,NYCB,12/31/2015,7.91B,,14.97,14.45,1.78,5.28,1.36,,
NYCB,31,NYCB,9/30/2015,8.02B,,16.27,16.42,2.65,5.79,1.38,,
NYCB,32,NYCB,6/30/2015,8.17B,,16.71,16.45,2.65,5.93,1.41,,
NYCB,33,NYCB,3/31/2015,7.43B,,15.35,15.82,2.51,5.44,1.29,,
NYCB,34,NYCB,12/31/2014,7.08B,,14.81,14.99,2.38,5.25,1.23,,
NYCB,35,NYCB,9/30/2014,7.02B,,14.97,14.27,2.04,5.18,1.22,,
NYCB,36,NYCB,6/30/2014,7.07B,,14.93,14.2,3.84,5.16,1.23,,
NYCB,37,NYCB,3/31/2014,7.11B,,14.88,14.41,3.89,5.13,1.24,,
NYCB,38,NYCB,12/31/2013,7.43B,,15.75,15.55,4.21,5.34,1.3,,
NYCB,39,NYCB,9/30/2013,6.66B,,13.49,13.95,3.77,4.69,1.17,,
NYCB,40,NYCB,6/30/2013,6.17B,,12.39,13.02,3.52,4.25,1.09,,
NYCB,41,NYCB,3/31/2013,6.32B,,12.7,12.82,3.46,4.35,1.12,,
NYCB,42,NYCB,12/31/2012,5.75B,,11.59,11.71,2.39,3.97,1.02,,
NYCB,43,NYCB,9/30/2012,6.22B,,12.87,13.04,2.29,4.35,1.11,,
NYCB,44,NYCB,6/30/2012,5.50B,,11.6,10.96,1.74,3.92,0.99,,
NYCB,45,NYCB,3/31/2012,6.10B,,12.76,12.61,50.46,4.31,1.1,,
NYCB,46,NYCB,12/31/2011,5.41B,,10.66,11.24,,3.65,0.97,,
NYCB,47,NYCB,9/30/2011,5.21B,,10.26,10.03,1.43,3.52,0.93,,
NYCB,48,NYCB,6/30/2011,6.56B,,12.49,11.29,1.88,4.31,1.18,,
NYCB,49,NYCB,3/31/2011,7.55B,,13.92,11.59,1.93,5.0,1.36,,
NYCB,50,NYCB,12/31/2010,8.21B,,15.2,13.93,2.32,5.45,1.49,,
NYCB,51,NYCB,9/30/2010,7.08B,,12.13,11.79,1.69,5.26,1.29,,
NYCB,52,NYCB,6/30/2010,6.65B,,11.66,,,5.23,1.22,,
NYCB,53,NYCB,3/31/2010,7.20B,,14.26,,,5.97,1.33,,
NYCB,54,NYCB,12/31/2009,6.29B,,12.4,11.95,1.09,5.44,1.17,,
NYCB,55,NYCB,9/30/2009,4.06B,,11.31,,,4.45,0.94,,
NYCB,56,NYCB,6/30/2009,3.69B,,11.88,,,4.35,0.88,,
NYCB,57,NYCB,3/31/2009,3.85B,,41.37,,,5.31,0.91,,
NYCB,58,NYCB,12/31/2008,4.12B,,52.0,,,5.97,0.98,,
NYCB,59,NYCB,9/30/2008,5.77B,,119.93,16.64,1.51,9.61,1.35,,
NYCB,60,NYCB,6/30/2008,6.13B,,55.75,,,8.79,1.43,,
NYCB,61,NYCB,3/31/2008,5.92B,,20.24,,,8.51,1.42,,
NYCB,62,NYCB,12/31/2007,5.69B,,19.53,,,8.23,1.36,,
NYCB,63,NYCB,9/30/2007,6.16B,,26.46,,,9.0,1.56,,
NYCB,64,NYCB,6/30/2007,5.34B,,21.82,,,7.53,1.44,,
NYCB,65,NYCB,3/31/2007,5.51B,,21.72,,,7.76,1.49,,
NYCB,66,NYCB,12/31/2006,4.76B,,20.91,,,7.01,1.28,,
NYCB,67,NYCB,9/30/2006,4.83B,,19.27,,,6.88,1.31,,
NYCB,68,NYCB,6/30/2006,4.87B,,19.42,,,6.94,1.32,,
NYCB,69,NYCB,3/31/2006,4.74B,,17.35,,,7.04,1.42,,
NYCB,70,NYCB,12/31/2005,4.46B,,12.81,,,6.05,1.37,,
NYCB,71,NYCB,9/30/2005,4.36B,,12.71,,,6.01,1.34,,
NYCB,72,NYCB,6/30/2005,4.81B,,13.23,,,6.37,1.48,,
NYCB,73,NYCB,3/31/2005,4.82B,,15.13,,,7.09,1.51,,
NYCB,74,NYCB,12/31/2004,5.45B,,15.47,,,7.45,1.71,,
NYCB,75,NYCB,9/30/2004,5.44B,,13.65,,,6.65,1.73,,
NYCB,76,NYCB,6/30/2004,5.19B,,12.81,,,6.24,1.71,,
NYCB,77,NYCB,3/31/2004,9.06B,,19.49,,,9.53,2.67,,
NYCB,78,NYCB,12/31/2003,7.34B,,17.34,,,8.38,2.56,,
NYCB,79,NYCB,9/30/2003,4.34B,,15.77,,,7.93,3.35,,
NYCB,80,NYCB,6/30/2003,4.03B,,15.29,,,7.69,3.04,,
NYCB,81,NYCB,3/31/2003,3.12B,,12.36,,,6.12,2.32,,
NYCB,82,NYCB,12/31/2002,3.05B,,13.01,,,6.28,2.31,,
NYCB,83,NYCB,9/30/2002,3.02B,,13.54,,,5.19,2.46,,
NYCB,84,NYCB,6/30/2002,2.88B,,19.47,,,6.91,2.89,,
NYCB,85,NYCB,3/31/2002,2.83B,,20.63,,,7.27,2.87,,
NYCB,86,NYCB,12/31/2001,2.33B,,17.07,,,6.01,2.37,,
NYCB,87,NYCB,9/30/2001,2.38B,,24.99,,,7.45,8.21,,
NYCB,88,NYCB,6/30/2001,1.64B,,31.03,,,8.84,5.71,,
NYCB,89,NYCB,3/31/2001,1.26B,,34.8,,,8.99,4.1,,
NYCB,90,NYCB,12/31/2000,725.08M,,21.82,,,9.54,5.91,,
NYCB,91,NYCB,9/30/2000,580.97M,,16.94,,,7.46,4.31,,
NYCB,92,NYCB,6/30/2000,382.98M,,10.82,,,4.76,2.84,,
NYCB,93,NYCB,3/31/2000,376.94M,,10.92,,,4.73,2.81,,
NYCB,94,NYCB,12/31/1999,569.85M,,16.24,,,7.21,4.16,,
NYCB,95,NYCB,9/30/1999,586.73M,,16.84,,,7.49,4.18,,
NYCB,96,NYCB,6/30/1999,696.31M,,21.09,,,8.84,4.82,,
NYCB,97,NYCB,3/31/1999,582.71M,,18.49,,,7.5,4.04,,
NYCB,98,NYCB,12/31/1998,632.23M,,22.2,,,8.4,4.23,,
NYCB,99,NYCB,9/30/1998,572.97M,,21.46,,,7.77,3.87,,
NYCB,100,NYCB,6/30/1998,651.78M,,25.47,,,8.83,3.84,,
NYCB,101,NYCB,3/31/1998,656.60M,,27.12,,,9.26,3.87,,
NYCB,102,NYCB,12/31/1997,603.94M,,25.31,,,9.12,3.54,,
NYCB,103,NYCB,9/30/1997,521.85M,,26.51,,,9.14,3.02,,
NYCB,104,NYCB,6/30/1997,463.17M,,23.28,,,8.22,2.66,,
NYCB,105,NYCB,3/31/1997,412.10M,,17.23,,,6.49,2.0,,
NYCB,106,NYCB,12/31/1996,360.53M,,16.74,,,5.84,1.71,,
NYCB,107,NYCB,9/30/1996,228.93M,,12.46,,,4.84,1.11,,
NYCB,108,NYCB,6/30/1996,253.51M,,13.95,,,5.13,1.19,,
NYCB,109,NYCB,3/31/1996,268.23M,,12.78,,,4.7,1.23,,
NYCB,110,NYCB,12/31/1995,225.18M,,11.72,,,4.29,1.06,,
NYCB,111,NYCB,9/30/1995,250.68M,,12.05,,,4.21,1.21,,
NYCB,112,NYCB,6/30/1995,199.63M,,9.59,,,3.35,0.97,,
NYCB,113,NYCB,3/31/1995,184.33M,,8.9,,,3.05,0.88,,
NYCB,114,NYCB,12/31/1994,174.22M,,6.33,,,3.77,0.84,,
NYCB,115,NYCB,9/30/1994,201.47M,,7.01,,,4.17,0.97,,
NYCB,116,NYCB,6/30/1994,191.06M,,7.93,,,3.96,0.94,,
NYCB,117,NYCB,3/31/1994,165.83M,,8.73,,,3.43,0.84,,
NYCB,118,NYCB,12/31/1993,155.61M,,10.49,,,2.63,0.81,,
CMA,0,CMA,As of Date: 4/19/2023Current,6.05B,,4.83,5.38,,1.59,1.08,,
CMA,1,CMA,3/31/2023,5.73B,,5.13,4.67,,1.63,1.2,,
CMA,2,CMA,12/31/2022,8.75B,,8.84,6.58,0.31,2.73,1.87,,
CMA,3,CMA,9/30/2022,9.31B,,10.33,7.9,0.36,3.13,1.54,,
CMA,4,CMA,6/30/2022,9.60B,,10.07,10.3,3.81,3.35,1.44,,
CMA,5,CMA,3/31/2022,11.82B,,10.83,14.16,3.94,4.18,1.58,,
CMA,6,CMA,12/31/2021,11.37B,,10.82,15.41,0.79,4.08,1.53,,
CMA,7,CMA,9/30/2021,10.55B,,10.58,14.9,0.89,3.86,1.4,,
CMA,8,CMA,6/30/2021,9.55B,,11.66,12.3,1.05,3.47,1.23,,
CMA,9,CMA,3/31/2021,10.01B,,21.94,13.0,0.99,3.45,1.31,,
CMA,10,CMA,12/31/2020,7.77B,,15.39,13.62,,2.63,1.04,,
CMA,11,CMA,9/30/2020,5.32B,,9.22,11.17,22.34,1.76,0.72,,
CMA,12,CMA,6/30/2020,5.30B,,7.19,23.64,8.45,1.72,0.72,,
CMA,13,CMA,3/31/2020,4.08B,,3.73,4.89,1.53,1.33,0.56,,
CMA,14,CMA,12/31/2019,10.20B,,9.08,9.81,1.64,3.3,1.42,,
CMA,15,CMA,9/30/2019,9.51B,,8.46,8.3,1.34,3.15,1.3,,
CMA,16,CMA,6/30/2019,11.20B,,9.41,8.88,1.2,3.6,1.47,,
CMA,17,CMA,3/31/2019,11.58B,,10.18,9.07,1.08,3.77,1.52,,
CMA,18,CMA,12/31/2018,11.00B,,11.53,,,3.62,1.41,,
CMA,19,CMA,9/30/2018,15.16B,,16.83,11.53,0.83,4.81,1.85,,
CMA,20,CMA,6/30/2018,15.63B,,19.68,13.68,1.08,4.99,1.94,,
CMA,21,CMA,3/31/2018,16.56B,,23.17,15.13,1.19,5.39,2.08,,
CMA,22,CMA,12/31/2017,15.10B,,19.64,16.37,1.11,5.08,1.87,,
CMA,23,CMA,9/30/2017,13.41B,,19.07,14.75,1.05,4.59,1.66,,
CMA,24,CMA,6/30/2017,12.88B,,21.23,16.72,1.53,4.5,1.62,,
CMA,25,CMA,3/31/2017,12.17B,,25.59,17.15,1.69,4.26,1.56,,
CMA,26,CMA,12/31/2016,11.73B,,28.38,17.3,2.15,4.23,1.55,,
CMA,27,CMA,9/30/2016,8.14B,,20.57,14.12,1.56,3.01,1.06,,
CMA,28,CMA,6/30/2016,7.15B,,16.79,16.45,1.91,2.67,0.94,,
CMA,29,CMA,3/31/2016,6.63B,,13.33,11.53,1.24,2.5,0.88,,
CMA,30,CMA,12/31/2015,7.35B,,13.9,13.46,1.58,2.84,0.96,,
CMA,31,CMA,9/30/2015,7.28B,,13.34,12.72,1.4,2.87,0.97,,
CMA,32,CMA,6/30/2015,9.15B,,16.31,15.02,1.65,3.66,1.22,,
CMA,33,CMA,3/31/2015,8.04B,,14.28,13.19,1.37,3.31,1.09,,
CMA,34,CMA,12/31/2014,8.39B,,15.77,14.6,1.43,3.52,1.13,,
CMA,35,CMA,9/30/2014,8.98B,,17.02,14.88,1.46,3.74,1.22,,
CMA,36,CMA,6/30/2014,9.08B,,17.42,15.02,1.56,3.77,1.25,,
CMA,37,CMA,3/31/2014,9.41B,,18.18,15.48,2.21,3.88,1.32,,
CMA,38,CMA,12/31/2013,8.67B,,16.39,16.0,2.29,3.56,1.24,,
CMA,39,CMA,9/30/2013,7.22B,,14.35,13.5,1.93,2.97,1.04,,
CMA,40,CMA,6/30/2013,7.43B,,14.7,13.51,1.52,3.01,1.06,,
CMA,41,CMA,3/31/2013,6.74B,,13.46,12.39,1.4,2.72,0.97,,
CMA,42,CMA,12/31/2012,5.71B,,11.36,11.25,1.16,2.29,0.82,,
CMA,43,CMA,9/30/2012,6.01B,,13.05,11.27,0.94,2.38,0.85,,
CMA,44,CMA,6/30/2012,6.04B,,14.09,11.16,1.21,2.35,0.85,,
CMA,45,CMA,3/31/2012,6.39B,,15.48,12.29,1.16,2.46,0.93,,
CMA,46,CMA,12/31/2011,5.13B,,12.0,11.74,2.15,1.92,0.73,,
CMA,47,CMA,9/30/2011,4.57B,,10.68,9.66,1.52,1.71,0.66,,
CMA,48,CMA,6/30/2011,6.11B,,18.29,13.51,2.44,2.59,1.01,,
CMA,49,CMA,3/31/2011,6.49B,,20.29,14.35,1.98,2.71,1.1,,
CMA,50,CMA,12/31/2010,7.46B,,54.15,23.58,3.35,3.0,1.29,,
CMA,51,CMA,9/30/2010,6.56B,,,,,2.56,1.12,,
CMA,52,CMA,6/30/2010,6.49B,,,,,2.23,1.12,,
CMA,53,CMA,3/31/2010,6.71B,,,,,2.2,1.18,,
CMA,54,CMA,12/31/2009,4.47B,,,,,1.71,0.92,,
CMA,55,CMA,9/30/2009,4.48B,,,,-7.38,1.73,0.92,,
CMA,56,CMA,6/30/2009,3.20B,,,,-5.31,1.23,0.65,,
CMA,57,CMA,3/31/2009,2.77B,,45.77,,,1.06,0.55,,
CMA,58,CMA,12/31/2008,2.99B,,15.39,,-2.45,1.11,0.59,,
CMA,59,CMA,9/30/2008,4.93B,,15.84,,-4.04,1.76,0.97,,
CMA,60,CMA,6/30/2008,3.86B,,8.38,,,1.37,0.76,,
CMA,61,CMA,3/31/2008,5.28B,,8.9,,,1.85,1.0,,
CMA,62,CMA,12/31/2007,6.55B,,9.89,,,2.34,1.28,,
CMA,63,CMA,9/30/2007,7.74B,,10.68,,,2.84,1.54,,
CMA,64,CMA,6/30/2007,9.10B,,12.55,,,3.37,1.78,,
CMA,65,CMA,3/31/2007,9.22B,,12.29,,,3.42,1.79,,
CMA,66,CMA,12/31/2006,9.25B,,11.83,,,3.3,1.78,,
CMA,67,CMA,9/30/2006,9.04B,,11.12,,,3.19,1.74,,
CMA,68,CMA,6/30/2006,8.43B,,10.15,,,2.92,1.63,,
CMA,69,CMA,3/31/2006,9.41B,,11.19,,,3.31,1.85,,
CMA,70,CMA,12/31/2005,9.25B,,11.22,,,3.47,1.82,,
CMA,71,CMA,9/30/2005,9.73B,,11.64,,,3.6,1.91,,
CMA,72,CMA,6/30/2005,9.67B,,12.09,,,3.67,1.89,,
CMA,73,CMA,3/31/2005,9.29B,,11.97,,,3.56,1.85,,
CMA,74,CMA,12/31/2004,10.40B,,14.0,,,3.97,2.04,,
CMA,75,CMA,9/30/2004,10.12B,,14.69,,,3.89,2.01,,
CMA,76,CMA,6/30/2004,9.42B,,14.44,,,3.57,1.91,,
CMA,77,CMA,3/31/2004,9.41B,,14.8,,,3.49,1.85,,
CMA,78,CMA,12/31/2003,9.81B,,14.95,,,3.51,1.92,,
CMA,79,CMA,9/30/2003,8.17B,,11.53,,,2.82,1.6,,
CMA,80,CMA,6/30/2003,8.15B,,14.81,,,2.76,1.6,,
CMA,81,CMA,3/31/2003,6.64B,,11.84,,,2.23,1.33,,
CMA,82,CMA,12/31/2002,7.56B,,12.72,,,2.54,1.53,,
CMA,83,CMA,9/30/2002,8.42B,,14.48,,,3.16,1.73,,
CMA,84,CMA,6/30/2002,10.75B,,13.41,,,3.73,2.24,,
CMA,85,CMA,3/31/2002,11.01B,,16.13,,,3.87,2.29,,
CMA,86,CMA,12/31/2001,10.15B,,14.77,,,3.55,2.11,,
CMA,87,CMA,9/30/2001,9.86B,,13.82,,,3.92,2.19,,
CMA,88,CMA,6/30/2001,10.26B,,14.22,,,3.75,2.32,,
CMA,89,CMA,3/31/2001,10.97B,,13.28,,,3.91,2.92,,
CMA,90,CMA,12/31/2000,9.32B,,13.17,,,3.82,2.59,,
CMA,91,CMA,9/30/2000,9.16B,,13.34,,,3.87,2.66,,
CMA,92,CMA,6/30/2000,7.02B,,10.25,,,2.97,2.04,,
CMA,93,CMA,3/31/2000,6.55B,,9.83,,,2.8,1.98,,
CMA,94,CMA,12/31/1999,7.31B,,11.28,,,3.27,2.27,,
CMA,95,CMA,9/30/1999,7.91B,,12.56,,,3.64,2.54,,
CMA,96,CMA,6/30/1999,9.29B,,15.12,,,4.37,3.1,,
CMA,97,CMA,3/31/1999,9.75B,,16.35,,,4.73,3.35,,
CMA,98,CMA,12/31/1998,10.63B,,18.33,,,5.24,3.8,,
CMA,99,CMA,9/30/1998,8.52B,,21.69,,,4.29,3.17,,
CMA,100,CMA,6/30/1998,10.27B,,27.48,,,5.23,3.99,,
CMA,101,CMA,3/31/1998,11.05B,,31.12,,,5.68,4.29,,
CMA,102,CMA,12/31/1997,9.44B,,28.29,,,4.91,3.76,,
CMA,103,CMA,9/30/1997,8.31B,,19.59,,,4.44,3.33,,
CMA,104,CMA,6/30/1997,7.18B,,17.73,,,3.96,2.97,,
CMA,105,CMA,3/31/1997,5.97B,,15.3,,,3.36,2.57,,
CMA,106,CMA,12/31/1996,5.59B,,14.75,,,3.19,2.36,,
CMA,107,CMA,9/30/1996,5.53B,,12.96,,,3.17,2.35,,
CMA,108,CMA,6/30/1996,5.13B,,12.14,,,2.84,1.89,,
CMA,109,CMA,3/31/1996,4.91B,,11.79,,,2.73,1.88,,
CMA,110,CMA,12/31/1995,4.58B,,11.66,,,2.67,1.8,,
CMA,111,CMA,9/30/1995,4.17B,,10.79,,,2.47,1.68,,
CMA,112,CMA,6/30/1995,3.68B,,9.53,,,2.19,1.48,,
CMA,113,CMA,3/31/1995,3.25B,,8.23,,,1.89,1.29,,
CMA,114,CMA,12/31/1994,2.85B,,7.56,,,1.71,1.19,,
CMA,115,CMA,9/30/1994,3.28B,,8.6,,,1.95,1.37,,
CMA,116,CMA,6/30/1994,3.34B,,9.19,,,2.04,1.43,,
CMA,117,CMA,3/31/1994,3.01B,,8.54,,,1.86,1.3,,
CMA,118,CMA,12/31/1993,3.06B,,9.34,,,1.99,1.4,,
CMA,119,CMA,9/30/1993,3.23B,,14.82,,,2.09,1.46,,
CMA,120,CMA,6/30/1993,3.52B,,15.93,,,2.29,1.63,,
CMA,121,CMA,3/31/1993,3.84B,,34.38,,,2.63,1.86,,
CMA,122,CMA,12/31/1992,3.67B,,33.33,,,2.55,1.84,,
CMA,123,CMA,9/30/1992,3.40B,,16.06,,,2.37,1.77,,
CMA,124,CMA,6/30/1992,3.37B,,16.88,,,2.37,1.81,,
CMA,125,CMA,3/31/1992,1.74B,,10.84,,,2.18,0.83,,
CMA,126,CMA,12/31/1991,1.67B,,10.73,,,2.12,1.65,,
CMA,127,CMA,9/30/1991,1.33B,,8.74,,,1.68,1.37,,
CMA,128,CMA,6/30/1991,1.20B,,7.8,,,1.52,1.45,,
CMA,129,CMA,3/31/1991,1.01B,,7.31,,,1.44,1.35,,
CMA,130,CMA,12/31/1990,701.49M,,5.67,,,1.12,0.93,,
CMA,131,CMA,9/30/1990,558.49M,,7.08,,,0.96,0.79,,
CMA,132,CMA,6/30/1990,766.93M,,9.75,,,1.32,1.11,,
CMA,133,CMA,3/31/1990,770.32M,,10.29,,,1.37,1.15,,
CMA,134,CMA,12/31/1989,793.25M,,10.62,,,,,,
CMA,135,CMA,9/30/1989,878.68M,,8.06,,,,,,
