,,Unnamed: 0,Breakdown,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow,Other Cash Adjustment Inside Change in Cash,Cash Flow from Discontinued Operation
CFG,3,CFG,6/30/2022,"-1,876,000","-9,448,000","7,902,000","6,514,000",-,-,"-5,000",-,-,"-752,000","-2,000","-1,881,000",,
CFG,4,CFG,3/31/2022,"1,554,000","-3,914,000","3,138,000","9,936,000",-,-,"-51,000",-,-,"-1,004,000",0,"1,503,000",,
CFG,5,CFG,12/31/2021,"1,105,000","-7,499,000","1,836,000","9,158,000",-,-,"-65,000",0,0,"-150,000","-200,000","1,040,000",,
CFG,6,CFG,9/30/2021,"1,280,000","-1,284,000","1,079,000","13,716,000",-,-,"-27,000",0,0,"1,000","-250,000","1,253,000",,
CFG,7,CFG,6/30/2021,"580,000","-631,000","-1,968,000","12,641,000",-,-,"-22,000",-,0,"-1,353,000",0,"558,000",,
CFG,8,CFG,3/31/2021,"-690,000","-1,072,000","3,689,000","14,660,000",-,-,"-10,000",-,0,"-4,000","-95,000","-700,000",,
CFG,9,CFG,12/31/2020,"866,000","-637,000","3,288,000","12,733,000",-,-,-,0,0,"-803,000",0,"748,000",,
CFG,10,CFG,9/30/2020,"658,000","2,100,000","-988,000","9,216,000",-,-,-,0,"14,000","-5,000",0,"711,000",,
CFG,11,CFG,6/30/2020,"-86,000","1,169,000","2,305,000","7,446,000",-,-,"-37,000","395,000","1,509,000","-8,753,000",0,"-123,000",,
CFG,12,CFG,3/31/2020,"-1,327,000","-8,768,000","10,767,000","4,058,000",-,-,"-16,000",0,"6,800,000","-4,500,000","-270,000","-1,343,000",,
CFG,13,CFG,12/31/2019,"727,000","-2,089,000","906,000","3,386,000",-,-,"-138,000","437,000","5,550,000","-4,301,000","-400,000","589,000",,
CFG,14,CFG,9/30/2019,"393,000","-498,000","912,000","3,842,000",-,-,"-89,000",0,"2,800,000","-1,551,000","-500,000","304,000",,
CFG,15,CFG,6/30/2019,"105,000","183,000","311,000","3,035,000",-,-,"-77,000","1,000","1,750,000","-2,003,000","-120,000","28,000",,
CFG,16,CFG,3/31/2019,"472,000","-1,471,000","-639,000","2,436,000",-,-,"-62,000","292,000","2,750,000","-7,002,000","-200,000","410,000",,
CFG,17,CFG,12/31/2018,"560,000","-2,014,000","1,537,000","4,074,000",-,-,"-137,000","297,000","5,000,000","-4,504,000","-300,000","423,000",,
CFG,18,CFG,9/30/2018,"-208,000","-1,690,000","2,024,000","3,991,000",-,-,"-122,000",0,"6,003,000","-2,749,000","-400,000","-330,000",,
CFG,19,CFG,6/30/2018,"711,000","-2,255,000","1,550,000","3,865,000",-,-,"-137,000",-,"5,250,000","-4,334,000","-150,000","574,000",,
CFG,20,CFG,3/31/2018,"704,000","-1,118,000","1,241,000","3,859,000",-,-,"-89,000",-,"6,250,000","-3,250,000","-175,000","615,000",,
CFG,21,CFG,12/31/2017,"433,000","-60,000","539,000","3,032,000",-,-,"-187,000",-,"3,255,000","-1,250,000","-335,000","246,000",,
CFG,22,CFG,9/30/2017,"913,000","-2,039,000","-921,000","2,120,000",-,-,"-106,000",-,"1,999,000","-1,750,000","-225,000","807,000",,
CFG,23,CFG,6/30/2017,"-316,000","-742,000","1,232,000","4,167,000",-,-,"-94,000",-,"7,112,000","-5,751,000","-130,000","-410,000",,
CFG,24,CFG,3/31/2017,"853,000","-1,143,000","579,000","3,993,000",-,-,"-53,000",-,"2,997,000","-4,000,000","-130,000","800,000",,
CFG,25,CFG,12/31/2016,"292,000","-2,627,000","3,124,000","3,704,000",-,-,"-133,000",-,"5,500,000","-2,301,000","-180,000","159,000",,
CFG,26,CFG,9/30/2016,"494,000","-3,062,000","1,828,000","2,915,000",-,-,"-63,000",-,"2,649,000","-2,497,000","-250,000","431,000",,
CFG,27,CFG,6/30/2016,"330,000","-3,316,000","4,786,000","3,655,000",-,-,"-54,000",-,"6,245,000","-3,002,000",-,"276,000",,
CFG,28,CFG,3/31/2016,"374,000","-2,321,000","717,000","1,855,000",-,-,"-53,000",-,"750,000","-629,000",-,"321,000",,
CFG,29,CFG,12/31/2015,"398,000","-1,709,000","2,640,000","3,085,000",-,-,"-103,000",0,"6,500,000","-758,000",0,"295,000",,
CFG,30,CFG,9/30/2015,"316,000","774,000","-2,203,000","1,756,000",-,-,"-61,000",0,"250,000","-2,000","-250,000","255,000",,
CFG,31,CFG,6/30/2015,"417,000","-3,230,000","678,000","2,869,000",-,-,"-70,000",-,-,"-3,000",-,"347,000",,
CFG,32,CFG,3/31/2015,"98,000","-1,740,000","3,370,000","5,004,000",-,-,"-65,000",-,-,"-3,000",-,"33,000",,
CFG,33,CFG,12/31/2014,"190,000","-2,874,000","3,071,000","3,276,000","190,000","90,000","-147,000",-,"2,583,000","1,000",-,"43,000",,
CFG,34,CFG,9/30/2014,"179,000","-1,790,000","-856,000","2,889,000",-,-,"-47,000",-,"333,000","-2,000",-,"132,000",,
CFG,35,CFG,6/30/2014,"321,000","-574,000","2,757,000","5,356,000",-,-,"-70,000",-,-,"-2,000",-,"251,000",,
CFG,36,CFG,3/31/2014,"700,000","-5,036,000","4,431,000","2,852,000",-,-,"-47,000",-,-,"-3,000",-,"653,000",,
CFG,37,CFG,12/31/2013,"1,013,000","-2,671,000","1,833,000","2,757,000",-,-,"-121,000",-,"336,000","3,000",-,"892,000",,
CFG,38,CFG,9/30/2013,"241,000","-4,716,000","2,571,000","2,582,000",-,-,"-90,000",-,"333,000",0,-,"151,000",,
CFG,39,CFG,6/30/2013,"673,000","4,386,000","-3,962,000","4,486,000",-,-,"-83,000",-,-,"-291,000",-,"590,000",,
CFG,40,CFG,3/31/2013,"722,000","548,000","-944,000","3,389,000",-,-,"-74,000",-,-,"-3,000",-,"648,000",,
NYCB,0,NYCB,ttm,"1,026,000","-6,323,000","5,168,000","2,082,000","17,000","657,000","-3,000",-,"12,029,000","-13,960,000","-24,000","1,023,000",-,
NYCB,1,NYCB,12/31/2022,"395,000","-1,581,000","1,568,000","2,082,000","4,000","258,000",-,-,"5,099,000","-4,150,000","-5,000","392,000",-,
NYCB,2,NYCB,9/30/2022,"232,000","-1,672,000","-137,000","1,700,000","5,000","170,000",-,-,"3,975,000","-6,300,000",0,"232,000",-,
NYCB,3,NYCB,6/30/2022,"214,000","-2,002,000","2,165,000","3,277,000","8,000","119,000",-,-,"1,955,000","-2,435,000","-8,000","215,000",-,
NYCB,4,NYCB,3/31/2022,"185,000","-1,068,000","1,572,000","2,900,000",0,"110,000","-1,000",-,"1,000,000","-1,075,000","-11,000","184,000",-,
NYCB,5,NYCB,12/31/2021,"215,000","-2,005,000","1,479,000","2,211,000",0,"91,000","-1,000",-,"2,372,000","-1,244,000",0,"214,000",-,
NYCB,6,NYCB,9/30/2021,"61,000","45,000","330,000","2,522,000","135,000","105,000","-1,000",-,"26,000","-51,000","-1,000","60,000",-,
NYCB,7,NYCB,6/30/2021,"-109,614","-120,821","-406,549","2,086,000","321,995","92,811","-1,683",-,"299,000","-599,000",515,"-111,297",-,
NYCB,8,NYCB,3/31/2021,"123,614","-681,179","1,332,549","2,722,915","14,005","113,189",-317,-,"325,000","-650,000","-15,515","123,297",-,
NYCB,9,NYCB,12/31/2020,"94,074","-649,673","1,044,889","1,947,931","100,414","114,149",-,-,"3,450,000","-1,475,000",-20,"94,074",-,
NYCB,10,NYCB,9/30/2020,"93,173","-602,164","563,105","1,458,641","7,073","149,051",-,-,"1,500,000","-950,000",-289,"93,173",-,
NYCB,11,NYCB,6/30/2020,"16,253","330,774","-276,706","1,404,527",386,"167,001",-,-,"975,000","-1,000,000","-21,554","16,691",-,
NYCB,12,NYCB,3/31/2020,"130,696","-104,296","565,936","1,334,206","10,000","202,459",-438,-,"2,150,000","-3,125,000","-37,159","130,258",-,
NYCB,13,NYCB,12/31/2019,"170,790","-1,211,948","928,350","741,870",400,"191,134",-,-,"1,500,000","-1,669,000",-48,"171,436",-,
NYCB,14,NYCB,9/30/2019,"79,985","-149,339","-304,263","854,678",0,"241,487",-,-,"1,780,992","-1,237,000",-345,"79,339",-,
NYCB,15,NYCB,6/30/2019,"100,538","-330,067","467,805","1,228,295","69,372","192,650",-,-,"755,000","-931,000",-39,"100,538",-,
NYCB,16,NYCB,3/31/2019,"158,437","-367,553","-275,820","990,019","5,908","187,890",-,-,"749,820","-1,700,000","-74,788","158,437",-,
NYCB,17,NYCB,12/31/2018,"320,504","-1,137,596","560,293","1,474,955","20,739","201,144","-1,596",-,"1,967,268","-1,600,000","-160,821","318,908",-,
NYCB,18,NYCB,9/30/2018,"-126,840","-1,063,754","717,951","1,731,754","9,500","163,791",-632,-,"250,000","-203,500",-420,"-127,472",-,
NYCB,19,NYCB,6/30/2018,"198,422","-1,353,343","678,546","2,204,397","8,648","149,493","-3,580",-,"1,500,000","-1,050,000",-293,"194,842",-,
NYCB,20,NYCB,3/31/2018,"148,269","-465,773","470,107","2,680,772","5,236","131,160","-4,039",0,"1,950,000","-1,520,000","-1,715","144,230",-,
NYCB,21,NYCB,12/31/2017,"11,862","-1,421,341","660,221","2,528,169","107,031","117,294","-1,061",0,-,"-2,450,000","-7,485","10,801",-,
NYCB,22,NYCB,9/30/2017,"778,393","1,461,170","-91,982","3,277,427","43,000","115,867","-4,074",0,-,0,-344,"774,319",-,
NYCB,23,NYCB,6/30/2017,"166,356","754,224","-775,030","1,129,846","67,650","111,494","-8,977",-276,-,-,-502,"157,379",-,
NYCB,24,NYCB,3/31/2017,"370,099","267,687","-211,340","984,296",1,"102,821","-13,671","503,116",-,-,"-10,132","356,428",-,
NYCB,25,NYCB,12/31/2016,"359,816","89,312","-663,060","557,850","45,046","98,717","-14,514",-,"1,000,000",-,-135,"345,302",-,
NYCB,26,NYCB,9/30/2016,"108,135","-277,909","267,267","771,782","9,983","97,968","-8,726",-,0,-,-206,"99,409",-,
NYCB,27,NYCB,6/30/2016,"-23,971","-333,757","381,137","674,289","125,207","94,371","-50,176",-,"181,000",0,-114,"-74,147",-,
NYCB,28,NYCB,3/31/2016,"311,673","1,740,519","-1,938,986","650,880",2,"91,079","-10,763",-,0,0,"-8,222","300,910",-,
NYCB,29,NYCB,12/31/2015,"-693,986","-1,033,989","1,679,855","537,674",-55,"127,789","-2,942",-,"10,543,902",-,-21,"-696,928",-,
NYCB,30,NYCB,9/30/2015,"97,149","-384,809","284,736","585,794","70,941","136,375","-9,703",-,"297,862",-,-317,"87,446",-,
NYCB,31,NYCB,6/30/2015,"100,070","-396,282","302,372","588,718","106,024","137,434","-11,475",-,"202,821",-,-115,"88,595",-,
NYCB,32,NYCB,3/31/2015,"76,341","417,921","-475,854","582,558","10,698","139,220","-10,682",-,"198,915",-,"-6,567","65,659",-,
NYCB,33,NYCB,12/31/2014,"228,585","-66,648","-260,324","564,150","70,935","140,709","-25,565",-,-,"-105,625",-940,"203,020",-,
NYCB,34,NYCB,9/30/2014,"395,872","-342,626","-59,659","662,537","52,784","140,644","-19,083",-,-,"-1,954",-178,"376,789",-,
NYCB,35,NYCB,6/30/2014,"-90,143","-876,827","963,048","668,950","106,452","137,034","-17,165",-,-,"-1,514",-136,"-107,308",-,
NYCB,36,NYCB,3/31/2014,"188,103","-859,741","699,960","672,872","17,418","135,424","-11,682",-,-,"-1,522","-6,029","176,421",-,
NYCB,37,NYCB,12/31/2013,"47,297","-1,437,302","780,993","644,550","93,859","137,102","-15,864",-,-,"-1,540",-967,"31,433",-,
NYCB,38,NYCB,9/30/2013,"669,876","-2,221,395","1,485,371","1,253,562","15,604","140,381","-6,287",-,-,"-51,575",-155,"663,589",-,
NYCB,39,NYCB,6/30/2013,"26,742","-275,910","-486,180","1,319,710","92,448","144,029","-7,700",-,-,"-711,551",-118,"19,042",-,
NYCB,40,NYCB,3/31/2013,"632,015","-1,238,704","234,489","2,055,058","10,270","130,989","-7,391",-,-,"-26,623","-4,079","624,624",-,
NYCB,41,NYCB,12/31/2012,"38,208","-172,200","22,960","2,427,258","89,789","198,241","-17,417",-,-,"-121,194",-809,"20,791",-,
NYCB,42,NYCB,9/30/2012,"142,103","-1,192,787","428,301","2,538,290","24,796","158,032","-9,389",-,"1,015,000","-2,227",-159,"132,714",-,
NYCB,43,NYCB,6/30/2012,"-346,171","892,189","258,871","3,160,673","132,219","149,681","-6,153",-,"-1,595,000","-92,512",-129,"-352,324",-,
NYCB,44,NYCB,3/31/2012,"741,876","-1,257,870","870,041","2,355,784","39,746","161,951","-5,802",-,"318,000","-2,289","-2,425","736,074",-,
NYCB,45,NYCB,12/31/2011,"188,682","259,579","-43,204","2,001,737","45,635","173,056","-11,255",-,-,"-516,664",-927,"177,427",-,
NYCB,46,NYCB,9/30/2011,"-320,989","-36,087","1,243,643","1,596,680","16,522","166,205","-5,464",-,-,"-102,207",-92,"-326,453",-,
NYCB,47,NYCB,6/30/2011,"107,750","-1,238,946","-510,420","710,113","79,824","175,493","-4,855",-,0,"-2,278",-296,"102,895",-,
NYCB,48,NYCB,3/31/2011,"854,764","-195,522","-235,055","2,351,729","10,134","171,491","-19,172",-,"-500,000","-16,554","-2,381","835,592",-,
NYCB,49,NYCB,12/31/2010,"335,416","-57,676","-585,289","1,927,542","73,972","186,864","-39,307",0,-,-,"-1,186","296,109",-,
NYCB,50,NYCB,9/30/2010,"-121,921","138,031","-395,344","2,235,091","86,330","188,899","-4,514",0,-,-,-110,"-126,435",-,
NYCB,51,NYCB,6/30/2010,"-76,740","748,448","-605,272","2,614,325","128,729","211,272","-2,536",0,-,-,"-1,052","-79,276",-,
NYCB,52,NYCB,3/31/2010,"-203,146","467,048","-386,870","2,547,889","18,819","203,198","-2,284","28,935",-,"-333,340","-1,706","-205,430",-,
NYCB,53,NYCB,12/31/2009,"102,462","4,217,745","-1,803,188","2,670,857","11,853","161,138","-2,498","947,484",-,-,"-23,297","99,964",-,
NYCB,54,NYCB,9/30/2009,"128,079","-75,916","-61,089","153,838","8,532","174,136","-1,496",-,"-155,930",-,-27,"126,583",-,
NYCB,55,NYCB,6/30/2009,"59,288","-430,880","367,075","162,764","96,329","189,856","-2,734",-,"352,496",-,-638,"56,554",-,
NYCB,56,NYCB,3/31/2009,"-78,183","40,626","1,622","167,281","66,053","190,489",-657,-,"209,797",-,-624,"-78,840",-,
NYCB,57,NYCB,12/31/2008,"283,229","-503,032","146,589","203,216",-,-,"-12,881",-,-,"484,299",-,"270,348",-,
NYCB,58,NYCB,9/30/2008,"141,177","-1,122,255","977,383","276,430",-,-,"-4,159",-,-,"-99,182",-,"137,018",-,
NYCB,59,NYCB,6/30/2008,"-247,246","-358,701","333,821","280,125",-,-,"-3,097",-,-,"-741,574",-,"-250,343",-,
NYCB,60,NYCB,3/31/2008,"67,590","-134,273","283,191","552,251",-,-,"-2,450",-,-,"-75,430",-,"65,140",-,
NYCB,61,NYCB,12/31/2007,"1,538","-437,993","-507,424","335,743",-,-,-,-,-,-,-,"-7,265",-,
NYCB,62,NYCB,9/30/2007,"103,839","305,255","-209,506","1,279,622",-,-,-,-,-,"382,496",-,"110,387",-,
NYCB,63,NYCB,6/30/2007,"162,577","1,575,670","-905,241","1,080,034",-,-,"-3,948",-,-,"-477,831",-,"158,629",-,
NYCB,64,NYCB,3/31/2007,"28,266","572,728","-584,725","247,028",-,-,"-2,600",-,-,"-400,527",-,"25,666",-,
NYCB,65,NYCB,12/31/2006,"69,621","357,516","-466,185","230,759",-,-,-64,-,"784,564",-,-,"69,557",-,
NYCB,66,NYCB,9/30/2006,"64,326","-177,447","140,297","269,807",-,-,"-6,489",-,"25,202",-,-,"57,837",-,
NYCB,67,NYCB,6/30/2006,"82,315","780,966","-812,628","242,631",-,-,"-4,025",-,"-571,816",-,-,"78,290",-,
NYCB,68,NYCB,3/31/2006,"74,415","-930,310","816,070","191,978",-,-,"-1,499",-,"596,689",-,-,"72,916",-,
NYCB,69,NYCB,12/31/2005,"56,184","-669,414","640,146","231,803",-,-,-792,-,-,-,-,"55,392",-,
NYCB,70,NYCB,9/30/2005,"98,690","119,595","-250,552","204,887",-,-,-,-,-,-,-,"99,141",-,
NYCB,71,NYCB,6/30/2005,"51,901","-499,418","486,803","237,154",-,-,-934,-,-,-,-,"50,967",-,
NYCB,72,NYCB,3/31/2005,"247,424","-705,189","466,783","197,868",-,-,"-1,101",-,"276,626",-,-,"246,323",-,
NYCB,73,NYCB,12/31/2004,"89,705","-377,989","289,451","188,850",-,-,-823,-,"183,252",-,-,"88,882",-,
NYCB,74,NYCB,9/30/2004,"183,115","373,478","-619,891","187,683",-,-,"-2,364",-,"-772,144",-,-,"180,751",-,
NYCB,75,NYCB,6/30/2004,"38,783","2,288,711","-2,244,800","250,981",-,-,"-1,632",-,"-1,949,030",-,-,"37,151",-,
NYCB,76,NYCB,3/31/2004,"22,708","-2,925,937","2,784,445","168,287",-,-,"-4,154",-,"2,732,914",-,-,"18,554",-,
NYCB,77,NYCB,12/31/2003,"-1,492,367","-8,656,510","10,299,034","287,071",-,-,"-80,773",-,"3,392,069",-,-,"-1,573,140",-,
NYCB,78,NYCB,9/30/2003,"67,345","-479,774","434,250","136,914",-,-,"-2,971",-,"677,511",-,-,"64,374",-,
NYCB,79,NYCB,6/30/2003,"-7,117","-409,629","359,660","115,093",-,-,"-1,148",-,"553,376",-,-,"-8,265",-,
NYCB,80,NYCB,3/31/2003,"79,920","-627,379","621,993","172,179",-,-,"-1,005",-,"715,988",-,-,"78,915",-,
NYCB,81,NYCB,12/31/2002,"-17,170","-1,292,352","1,263,934","97,645",-,-,-629,-,"1,141,171",-,-,"-17,799",-,
NYCB,82,NYCB,9/30/2002,"67,089","206,613","-273,447","143,233",-,-,"-9,964",-,"-94,831",-,-,"57,125",-,
NYCB,83,NYCB,6/30/2002,"32,500","-916,433","860,558","142,978",-,-,-710,-,"846,449",-,-,"31,790",-,
NYCB,84,NYCB,3/31/2002,"5,961","-108,361","90,138","166,353",-,-,-977,-,"192,452",-,-,"4,984",-,
NYCB,85,NYCB,12/31/2001,"92,083","-982,607","862,860","178,615",-,-,-,-,"279,953",-,-,"93,283",-,
NYCB,86,NYCB,9/30/2001,"-563,821","-3,055,254","3,594,252","206,279",-,-,"-34,176",-,"1,188,580",-,-,"-597,997",-,
NYCB,87,NYCB,6/30/2001,"57,694","-293,801","-163,155","231,102",-,-,-681,-,-,-,-,"57,013",-,
NYCB,88,NYCB,3/31/2001,"-11,811","471,551","-87,091","630,364",-,-,-173,-,-,"-4,283",-,"-11,984",-,
NYCB,89,NYCB,12/31/2000,"-106,497","-1,952,272","2,282,011","257,715",-,-,"-30,484",-,-,-,-,"-136,981",-,
NYCB,90,NYCB,9/30/2000,"-18,662","-95,975","125,861","34,473",-,-,-31,-,-,-,-,"-18,693",-,
NYCB,91,NYCB,6/30/2000,"34,441","-71,770","27,245","23,249",-,-,-39,-,-,-,-,"34,402",-,
NYCB,92,NYCB,3/31/2000,"-12,398","-79,625","88,132","33,333",-,-,-38,-,-,-,-,"-12,436",-,
NYCB,93,NYCB,12/31/1999,"-9,700","149,900","-137,600","37,200",-,-,-300,-,-,-,-,"-10,000",0,
NYCB,94,NYCB,9/30/1999,"3,000","-135,400","145,900","34,600",-,-,-200,-,-,-,-,"2,800",-,
NYCB,95,NYCB,6/30/1999,"22,500","-119,900","89,200",0,-,-,-,-,-,-,-,"22,400",-,
NYCB,96,NYCB,3/31/1999,"-2,800","-31,500","17,000",0,-,-,-,-,-,-,-,"-2,800",-,
NYCB,97,NYCB,12/31/1998,"33,000","-19,000","10,000",0,-,-,-300,-,-,-,-,"32,700",-,
NYCB,98,NYCB,9/30/1998,"-34,700","-22,200","25,300",0,-,-,-100,-,-,-,-,"-34,800",-,
NYCB,99,NYCB,6/30/1998,"45,200","-66,300","46,900",0,-,-,-,-,-,-,-,"45,200",-,
NYCB,100,NYCB,3/31/1998,"-1,600","-14,000","21,200",0,-,-,-100,-,-,-,-,"-1,700",-,
NYCB,101,NYCB,12/31/1997,"26,000","-59,200","34,000",0,-,-,-100,-,-,-,-,"25,900",-,
NYCB,102,NYCB,9/30/1997,"2,500","-78,700","71,200",0,-,-,-200,-,-,-,-,"2,300",-,
NYCB,103,NYCB,6/30/1997,"15,500","-86,100","78,000",0,-,-,-100,-,-,-,-,"15,400",-,
NYCB,104,NYCB,3/31/1997,"-9,100","-12,400","20,000",0,-,-,-300,-,"24,600",-,-,"-9,400",-,
NYCB,105,NYCB,12/31/1996,"26,300","-34,800","9,900",0,-,-,-200,-,-,-,-,"26,100",-,
NYCB,106,NYCB,9/30/1996,"-1,200","-27,800","24,700",0,-,-,-800,-,-,-,-,"-2,000",-,
NYCB,107,NYCB,6/30/1996,"11,900","-45,800","34,100",0,-,-,-200,-,-,-,-,"11,700",-,
NYCB,108,NYCB,3/31/1996,"-8,200","-32,400","25,400",0,-,-,-100,-,"13,500",-,-,"-8,300",-,
NYCB,109,NYCB,12/31/1995,"24,200","-36,000","35,900",0,-,-,-,-,-,-,-,"24,200",-200,
NYCB,110,NYCB,9/30/1995,"7,000","-9,100","6,100",0,-,-,-300,-,-,-,-,"6,700",-,
NYCB,111,NYCB,6/30/1995,"6,300","5,500","-15,400",0,-,-,-,-,-,"-53,100",-,"6,200",-,
NYCB,112,NYCB,3/31/1995,"-7,500","-3,900","14,000",0,-,-,-,-,-,"-18,600",-,"-7,500",100,
NYCB,113,NYCB,12/31/1994,"11,700","-21,500","2,700",0,-,-,-,-,"-1,200",-,-,"11,700",-,
NYCB,114,NYCB,9/30/1994,"-3,100","-64,600","67,300",0,-,-,-,-,"66,800",-,-,"-3,100",-200,
NYCB,115,NYCB,6/30/1994,"9,700","-31,100","9,900",0,-,-,-,-,"10,400",-,-,"9,600",200,
NYCB,116,NYCB,3/31/1994,"-24,700","-4,300","5,000",0,-,-,-,-,"5,600",-,-,"-24,700",-100,
CMA,0,CMA,ttm,"638,000","-9,952,000","-7,083,000","6,282,000","277,000","130,000","-82,000","28,000","500,000",0,"-43,000","556,000",-,
CMA,1,CMA,12/31/2022,"597,000","-1,424,000","1,139,000","6,282,000","95,000","75,000","-24,000","1,000",0,0,0,"573,000",-,
CMA,2,CMA,9/30/2022,"393,000","-289,000","-1,667,000","5,970,000","80,000","27,000","-17,000",-,-,0,"-3,000","376,000",-,
CMA,3,CMA,6/30/2022,"358,000","-5,042,000","-1,333,000","7,533,000","97,000","12,000","-24,000",-,-,0,"-1,000","334,000",-,
CMA,4,CMA,3/31/2022,"-710,000","-3,197,000","-5,222,000","13,550,000","5,000","16,000","-17,000","18,000",-,0,"-39,000","-727,000",-,
CMA,5,CMA,12/31/2021,"429,000","-1,447,000","108,000","22,679,000","42,000","10,000","-20,000","12,000",-,0,"-50,000","409,000",-,
CMA,6,CMA,9/30/2021,"202,000","1,481,000","5,405,000","23,589,000","19,000","17,000","-15,000","4,000",-,0,"-220,000","187,000",-,
CMA,7,CMA,6/30/2021,"-156,000","681,000","1,105,000","16,501,000","95,000","10,000","-17,000","8,000",-,0,"-451,000","-173,000",-,
CMA,8,CMA,3/31/2021,"159,000","1,008,000","-2,063,000","14,871,000","1,000","20,000","-18,000","10,000",-,"-2,800,000","-8,000","141,000",-,
CMA,9,CMA,12/31/2020,"208,000","28,000","4,390,000","15,767,000","8,000","17,000","-28,000","2,000",0,0,0,"180,000",-,
CMA,10,CMA,9/30/2020,"-24,000","-1,286,000","-860,000","11,141,000","56,000","34,000","-22,000","-4,000",0,"-750,000",0,"-46,000",-,
CMA,11,CMA,6/30/2020,"45,000","190,000","8,221,000","13,311,000","74,000","50,000","-14,000","397,000",0,-,0,"31,000",-,
CMA,12,CMA,3/31/2020,"699,000","-3,534,000","1,872,000","4,855,000","3,000","102,000","-15,000","3,000",0,-,"-199,000","684,000",-,
CMA,13,CMA,12/31/2019,"221,000","1,096,000","384,000","5,818,000","45,000","115,000","-24,000","6,000",0,0,"-152,000","197,000",-,
CMA,14,CMA,9/30/2019,"444,000","231,000","-139,000","4,117,000","60,000","127,000","-33,000","1,000","700,000",0,"-370,000","411,000",-,
CMA,15,CMA,6/30/2019,"385,000","-1,582,000","1,297,000","3,581,000","149,000","122,000","-13,000","5,000",0,-,"-429,000","372,000",-,
CMA,16,CMA,3/31/2019,"40,000","-239,000","-881,000","3,481,000","12,000","98,000","-16,000","6,000","350,000",-,"-443,000","24,000",-,
CMA,17,CMA,12/31/2018,"649,000","-1,183,000","-744,000","4,561,000","75,000","89,000","-25,000","2,000",0,0,"-501,000","624,000",-,
CMA,18,CMA,9/30/2018,"353,000","743,000","-917,000","5,839,000","31,000","73,000","-24,000","4,000","850,000",0,"-500,000","329,000",-,
CMA,19,CMA,6/30/2018,"256,000","-569,000","-863,000","5,660,000",-,"59,000","-21,000","6,000",0,-,"-169,000","235,000",-,
CMA,20,CMA,3/31/2018,"358,000","-147,000","780,000","6,836,000",-,"40,000","-20,000","40,000","1,000,000",-,"-168,000","338,000",-,
CMA,21,CMA,12/31/2017,"245,000","56,000","-660,000","5,845,000","89,000","33,000","-26,000","12,000",0,0,"-148,000","219,000",-,
CMA,22,CMA,9/30/2017,"202,000","205,000","166,000","6,204,000","117,000","35,000","-16,000","16,000",0,"-500,000","-147,000","186,000",-,
CMA,23,CMA,6/30/2017,"249,000","-1,172,000","-1,765,000","5,631,000","129,000",-,"-15,000","6,000",-,-,"-132,000","234,000",-,
CMA,24,CMA,3/31/2017,"407,000","773,000","-79,000","8,319,000","1,000",-,"-12,000","76,000",-,-,"-125,000","395,000",-,
CMA,25,CMA,12/31/2016,"96,000","37,000","-955,000","7,218,000","40,000","36,000","-24,000","127,000",0,"-650,000","-99,000","72,000",-,
CMA,26,CMA,9/30/2016,"158,000","1,073,000","2,699,000","8,040,000",-,"24,000","-17,000","13,000",0,0,"-97,000","141,000",-,
CMA,27,CMA,6/30/2016,"-6,000","-1,122,000","2,236,000","4,110,000",-,"32,000","-27,000","11,000",-,-,"-65,000","-33,000",-,
CMA,28,CMA,3/31/2016,"245,000","-258,000","-3,132,000","3,002,000","2,000","19,000","-27,000","1,000",-,-,"-49,000","218,000",-,
CMA,29,CMA,12/31/2015,"199,000","-2,232,000","980,000","6,147,000","42,000","30,000","-41,000","1,000",0,0,"-65,000","158,000",-,
CMA,30,CMA,9/30/2015,"269,000","401,000","565,000","7,200,000",-,"19,000","-24,000","3,000","519,000","-300,000","-60,000","245,000",-,
CMA,31,CMA,6/30/2015,"56,000","-923,000","870,000","5,965,000",-,"26,000","-29,000","12,000",-,-,"-59,000","27,000",-,
CMA,32,CMA,3/31/2015,"338,000","-501,000","54,000","5,962,000",-,"19,000","-25,000","6,000",-,-,"-66,000","313,000",-,
CMA,33,CMA,12/31/2014,"74,000","-1,416,000","-374,000","6,071,000","64,000","27,000","-32,000","4,000",0,0,"-60,000","42,000",-,
CMA,34,CMA,9/30/2014,"219,000","190,000","3,484,000","7,787,000","44,000","24,000","-7,000","9,000","247,000","-150,000","-59,000","212,000",-,
CMA,35,CMA,6/30/2014,"132,000","-1,389,000","-469,000","3,894,000","110,000","25,000","-15,000","10,000",-,-,"-61,000","117,000",-,
CMA,36,CMA,3/31/2014,"214,000","-1,128,000","83,000","5,620,000",0,"25,000","-16,000","26,000",-,-,"-80,000","198,000",-,
CMA,37,CMA,12/31/2013,"386,000","-1,190,000","167,000","6,451,000","11,000","26,000",-,-,-,0,"-73,000","284,000",-,
CMA,38,CMA,9/30/2013,"165,000","1,391,000","1,607,000","7,088,000","82,000","27,000",-,-,-,"-25,000","-72,000","165,000",-,
