,,Unnamed: 0,Breakdown,Total Revenue,Pretax Income,Tax Provision,Net Income Common Stockholders,Average Dilution Earnings,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items,Credit Losses Provision,Non Interest Expense,Special Income Charges,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Total Money Market Investments,Income from Associates & Other Participating Interests,Rent Expense Supplemental,Other Non Operating Income Expenses,Earnings from Equity Interest Net of Tax,Operating Income
ZION,2,ZION,12/31/2022,"873,000","359,000","75,000","277,000",,"277,000",1.84,1.84,"148,739","148,829","284,000","284,000","835,000","115,000","720,000","31,000","284,000",0,0,0,0,,,,,,,,,,
ZION,3,ZION,9/30/2022,"828,000","278,000","61,000","211,000",,"211,000",1.40,1.40,"149,628","149,792","217,000","217,000","707,000","44,000","663,000","34,000","217,000",0,0,0,0,,,,,,,,,,
ZION,4,ZION,6/30/2022,"765,000","260,000","57,000","195,000",,"195,000",1.29,1.29,"150,635","150,838","203,000","203,781","608,000","15,000","593,000","26,000","203,000","-1,000","-1,000",0,-219,,,,,,,,,,
ZION,5,ZION,3/31/2022,"686,000","255,000","52,000","195,000",,"195,000",1.27,1.27,"151,285","151,687","203,000","203,000","555,000","11,000","544,000","19,000","203,000",0,0,0,0,,,,,,,,,,
ZION,6,ZION,12/31/2021,"743,000","269,000","56,000","207,000",,"207,000",1.34,1.34,"153,248","153,635","213,000","213,000","566,000","13,000","553,000","8,000","213,000",0,0,0,0,,,,,,,,,,
ZION,7,ZION,9/30/2021,"694,000","311,000","71,000","234,000",,"234,000",1.45,1.45,"160,221","160,480","240,000","240,772","569,000","14,000","555,000","-11,000","240,000","-1,000","-1,000",0,-228,,,,,,,,,,
ZION,8,ZION,6/30/2021,"760,000","455,000","101,000","345,000",,"345,000",2.08,2.08,"162,742","163,054","354,000","354,000","570,000","15,000","555,000","-8,000","354,000",-,-,0,0,,,,,,,,,,
ZION,9,ZION,3/31/2021,"714,000","411,000","89,000","314,000",,"314,000",1.90,1.90,"163,551","163,887","322,000","322,000","562,000","17,000","545,000","-3,000","322,000",-,-,0,0,,,,,,,,,,
ZION,10,ZION,12/31/2020,"716,000","359,000","75,000","275,000",,"275,000",1.66,1.66,"163,658","163,900","284,000","285,582","571,000","21,000","550,000","11,000","284,000","-2,000","-2,000",0,-418,,,,,,,,,,
ZION,11,ZION,9/30/2020,"712,000","215,000","40,000","167,000",,"167,000",1.01,1.01,"163,608","163,779","175,000","176,628","581,000","26,000","555,000","12,000","175,000","-2,000","-2,000",0,-372,,,,,,,,,,
ZION,12,ZION,6/30/2020,"680,000","82,000","16,000","57,000",,"57,000",0.34,0.34,"163,542","164,425","66,000","66,000","595,000","32,000","563,000","18,000","66,000",-,-,0,0,,,,,,,,,,
ZION,13,ZION,3/31/2020,"682,000","16,000","2,000","6,000",,"6,000",0.04,0.04,"164,143","172,998","14,000","14,875","622,000","74,000","548,000","45,000","14,000","-1,000","-1,000",0,-125,,,,,,,,,,
ZION,14,ZION,12/31/2019,"711,000","235,000","52,000","174,000",,"174,000",1.03,0.97,"167,078","178,718","183,000","211,823","647,000","88,000","559,000","45,000","183,000","-37,000","-37,000",0,"-8,177",,,,,,,,,,
ZION,15,ZION,9/30/2019,"713,000","288,000","66,000","214,000",,"214,000",1.23,1.17,"173,160","181,870","222,000","223,542","677,000","110,000","567,000","50,000","222,000","-2,000","-2,000",0,-458,,,,,,,,,,
ZION,16,ZION,6/30/2019,"701,000","256,000","58,000","189,000",,"189,000",1.05,0.99,"179,156","189,098","198,000","198,773","684,000","115,000","569,000","49,000","198,000","-1,000","-1,000",0,-227,,,,,,,,,,
ZION,17,ZION,3/31/2019,"708,000","274,000","61,000","205,000",,"205,000",1.10,1.04,"184,767","195,241","213,000","213,000","675,000","99,000","576,000","44,000","213,000",-,-,0,0,,,,,,,,,,
ZION,18,ZION,12/31/2018,"716,000","290,000","64,000","217,000",,"217,000",1.14,1.08,"189,169","199,048","226,000","227,558","656,000","80,000","576,000","52,000","226,000","-2,000","-2,000",0,-442,,,,,,,,,,
ZION,19,ZION,9/30/2018,"701,000","292,000","69,000","215,000",,"215,000",1.11,1.04,"192,973","205,765","223,000","225,292","631,000","66,000","565,000","49,000","223,000","-3,000","-3,000",0,-708,,,,,,,,,,
ZION,20,ZION,6/30/2018,"686,000","253,000","56,000","187,000",,"187,000",0.95,0.89,"195,583","209,247","197,000","197,779","606,000","58,000","548,000","49,000","197,000","-1,000","-1,000",0,-221,,,,,,,,,,
ZION,21,ZION,3/31/2018,"680,000","308,000","70,000","231,000",,"231,000",1.16,1.09,"196,722","210,243","238,000","238,000","589,000","47,000","542,000","43,000","238,000",-,-,0,0,,,,,,,,,,
ZION,22,ZION,12/31/2017,"665,000","259,000","136,000","114,000",,"114,000",0.57,0.54,"198,648","209,681","123,000","124,200","562,000","36,000","526,000","1,000","123,000","-2,000","-2,000",0,-800,,,,,,,,,,
ZION,23,ZION,9/30/2017,"661,000","243,000","83,000","152,000",,"152,000",0.75,0.72,"200,332","209,106","160,000","161,316","557,000","35,000","522,000","2,000","160,000","-2,000","-2,000",0,-684,,,,,,,,,,
ZION,24,ZION,6/30/2017,"660,000","248,000","80,000","154,000",,"154,000",0.76,0.73,"201,822","208,183","168,000","168,677","558,000","30,000","528,000","2,000","168,000","-1,000","-1,000",0,-323,,,,,,,,,,
ZION,25,ZION,3/31/2017,"621,000","184,000","45,000","129,000",,"129,000",0.63,0.61,"202,347","210,405","139,000","143,530","515,000","26,000","489,000","2,000","139,000","-6,000","-6,000",0,"-1,470",,,,,,,,,,
ZION,26,ZION,12/31/2016,"608,714","206,886","69,485","124,990",,"124,990",0.61,0.60,"202,886","205,446","137,401","139,910","501,766","21,296","480,470","1,909","137,401","-3,779","-3,779",0,"-1,270",,,,,,,,,,
ZION,27,ZION,9/30/2016,"614,074","191,957","64,694","116,895",,"116,895",0.57,0.57,"204,312","204,714","127,263","127,818","490,695","21,508","469,187","1,951","127,263",-837,-837,0,-282.069,,,,,,,,,,
ZION,28,ZION,6/30/2016,"590,566","174,180","60,231","90,647",,"90,647",0.44,0.44,"204,236","204,536","113,949","114,181","486,952","22,103","464,849","1,979","113,949",-354,-354,0,-122.484,,,,,,,,,,
ZION,29,ZION,3/31/2016,"569,603","131,885","41,448","78,777",,"78,777",0.38,0.38,"203,967","204,096","90,437","93,671","474,901","22,059","452,842","2,014","90,437","-4,714","-4,714",0,"-1,480",,,,,,,,,,
ZION,30,ZION,12/31/2015,"572,897","147,420","44,933","88,197",,"88,197",0.43,0.43,"203,884","204,277","102,487","105,610","473,559","24,726","448,833","2,273","102,487","-4,493","-4,493",0,"-1,370",,,,,,,,,,
ZION,31,ZION,9/30/2015,"556,190","141,779","40,780","84,238",,"84,238",0.41,0.41,"203,668","204,155","100,999","104,058","456,230","30,853","425,377","2,298","100,999","-4,297","-4,297",0,"-1,238",,,,,,,,,,
ZION,32,ZION,6/30/2015,"424,125","19,459","5,499","-1,100",,"-1,100",-0.01,-0.01,"202,888","202,888","13,960","17,369","455,236","31,532","423,704","2,318","13,960","-4,752","-4,752",0,"-1,343",,,,,,,,,,
ZION,33,ZION,3/31/2015,"539,168","143,201","51,176","75,279",,"75,279",0.37,0.37,"202,603","202,944","92,025","92,025","448,446","31,100","417,346","2,358","92,025",0,0,0,0,,,,,,,,,,
ZION,34,ZION,12/31/2014,"559,826","136,048","47,789","73,206",,"73,206",0.36,0.36,"202,783","203,278","88,259","88,259","461,959","31,530","430,429","2,640","88,259",0,0,0,0,,,,,,,,,,
ZION,35,ZION,9/30/2014,"532,890","148,997","53,109","79,127",,"79,127",0.40,0.40,"196,687","197,271","95,888","124,476","460,275","43,457","416,818","2,665","95,888","-44,422","-44,422",0,"-15,834",,,,,,,,,,
ZION,36,ZION,6/30/2014,"541,133","189,522","69,972","104,490",,"104,490",0.56,0.56,"184,668","185,286","119,550","119,550","463,191","46,908","416,283","2,736","119,550",0,0,0,0,,,,,,,,,,
ZION,37,ZION,3/31/2014,"554,784","157,331","56,121","76,190",,"76,190",0.41,0.41,"184,440","185,123","101,210","101,210","467,568","51,103","416,465","2,882","101,210",0,0,0,0,,,,,,,,,,
ZION,38,ZION,12/31/2013,"400,885","-63,327","-21,855","-59,437",,"-59,437",-0.32,-0.32,"184,209","184,209","-41,472","10,860","490,017","57,982","432,035","3,224","-41,472","-79,910","-79,910",0,"-27,578",,,,,,,,,,
ZION,39,ZION,9/30/2013,"537,711","172,621","61,107","209,707",,"209,707",1.13,1.12,"184,112","184,742","111,514","111,514","473,407","57,886","415,521","3,570","111,514",0,0,0,0,,,,,,,,,,
ZION,40,ZION,6/30/2013,"555,805","126,117","43,091","55,385",,"55,385",0.30,0.30,"183,647","184,062","83,026","109,545","493,233","62,576","430,657","3,762","83,026","-40,282","-40,282",0,"-13,763",,,,,,,,,,
ZION,41,ZION,3/31/2013,"539,334","171,021","60,634","88,324",,"88,324",0.48,0.48,"183,396","183,655","110,723","110,723","484,748","66,633","418,115","3,819","110,723",-,-,0,0,,,,,,,,,,
ZION,42,ZION,12/31/2012,"484,116","87,503","29,817","35,605",,"35,605",0.19,0.19,"183,300","183,456","58,252","58,252","498,257","68,300","429,957","4,216","58,252",-,-,0,0,,,,,,,,,,
ZION,43,ZION,9/30/2012,"554,437","170,301","60,704","62,322",,"62,322",0.34,0.34,"183,237","183,383","109,851","106,186","515,037","70,839","444,198","47,810","109,851","5,695","5,695",0,"2,030",,,,,,,,,,
ZION,44,ZION,6/30/2012,"540,775","142,500","51,036","55,215",,"55,215",0.30,0.30,"182,985","183,137","91,737","92,949","518,231","86,244","431,987","4,262","91,737","-1,889","-1,889",0,-676.5404,,,,,,,,,,
ZION,45,ZION,3/31/2012,"549,298","141,262","51,859","25,489",,"25,489",0.14,0.14,"182,798","182,964","89,676","89,676","523,698","81,399","442,299","4,291","89,676","1,847","1,847",0,0,,,,,,,,,,
ZION,46,ZION,12/31/2011,"573,238","136,648","47,877","43,051",,"43,051",-,-,-,-,"89,019","98,155","539,473","77,565","461,908","52,064","89,019","-14,063","-14,063",0,"-4,927",,,,,,,,,,
ZION,47,ZION,9/30/2011,"595,615","168,066","59,348","65,165",,"65,165",0.35,0.35,"182,676","183,858","109,093","112,306","554,396","83,801","470,595","52,288","109,093","-4,967","-4,967",0,"-1,754",,,,,,,,,,
ZION,48,ZION,6/30/2011,"532,440","126,935","54,325","29,038",,"29,038",0.16,0.16,"182,472","182,728","72,875","74,990","558,666","142,494","416,172","4,855","72,875","-3,254","-3,254",0,"-1,139",,,,,,,,,,
ZION,49,ZION,3/31/2011,"553,076","89,624","37,033","14,767",,"14,767",0.08,0.08,"181,707","181,998","52,817","44,726","552,392","128,536","423,856","5,701","52,817","12,448","12,448",0,"4,357",,,,,,,,,,
ZION,50,ZION,12/31/2010,"520,107","-96,491","-24,097","-110,287",,"-110,287",-0.62,-0.62,"178,098","178,098","-72,200","-72,200","574,038","167,170","406,868","6,230","-72,200",0,0,0,0,,,,,,,,,,
ZION,51,ZION,9/30/2010,"576,913","-78,637","-31,180","-80,469",,"-80,469",-0.47,-0.47,"172,865","172,865","-47,325","4,810","581,934","130,059","451,875","6,296","-47,325","-86,388","-86,388",0,"-34,253",,,,,,,,,,
ZION,52,ZION,6/30/2010,"531,940","-136,259","-22,898","-135,228",,"-135,228",-0.84,-0.84,"161,810","161,810","-112,993","-44,933","583,738","170,392","413,346","6,414","-112,993","-81,808","-81,808",0,"-13,748",,,,,,,,,,
ZION,53,ZION,3/31/2010,"586,473","-91,781","-28,644","-86,521",,"-86,521",-0.57,-0.57,"151,073","151,073","-60,210","-17,865","580,135","124,835","455,300","6,577","-60,210","-61,556","-61,556",0,"-19,211",,,,,,,,,,
ZION,54,ZION,12/31/2009,"195,955","-287,774","-116,812","-161,957",,"-161,957",-,-,-,-,"-169,539","741,402","606,126","153,107","453,019","55,943","-169,539","-1,401,448","-1,401,448",0,"-490,507",,,,,,,,,,
ZION,55,ZION,9/30/2009,"803,305","-253,847","-98,565","-179,491",,"-179,491",-1.41,-1.41,"127,581","127,581","-152,888","-119,760","631,802","155,752","476,050","7,575","-152,888","-54,156","-54,156",0,"-21,028",,,,,,,,,,
ZION,56,ZION,6/30/2009,"1,118,466","-103,091","-34,239","-40,672",,"-40,672",-0.35,-0.35,"115,908","115,908","-67,643","-311,636","637,696","144,008","493,688","7,078","-67,643","365,327","365,327",0,"121,334",,,,,,,,,,
ZION,57,ZION,3/31/2009,"409,423","-978,308","-151,727","-852,327",,"-852,327",-7.47,-7.47,"114,106","114,106","-826,041","-173,871","639,702","164,927","474,775","36,396","-826,041","-771,882","-771,882",0,"-119,712",,,,,,,,,,
ZION,58,ZION,12/31/2008,"426,152","-614,552","-126,512","-498,084",,"-498,084",-,-,-,-,"-482,976","-200,790","725,200","216,758","508,442","38,375","-482,976","-355,335","-355,335",0,"-73,149",,,,,,,,,,
ZION,59,ZION,9/30/2008,"581,613","48,974","11,214","33,351",,"33,351",0.31,0.31,"108,407","108,497","37,760","39,782","735,652","243,649","492,003","37,647","37,760","-2,623","-2,623",0,-600.611,,,,,,,,,,
ZION,60,ZION,6/30/2008,"557,115","94,235","22,037","69,744",,"69,744",0.65,0.65,"106,595","106,712","72,198","72,413","722,932","238,189","484,743","35,565","72,198",-281,-281,0,-65.7123,,,,,,,,,,
ZION,61,ZION,3/31/2008,"643,447","156,645","49,896","104,296",,"104,296",0.97,0.97,"106,514","106,687","106,749","138,298","790,115","303,657","486,458","28,614","106,749","-46,296","-46,296",0,"-14,747",,,,,,,,,,
ZION,62,ZION,12/31/2007,"458,651","42,522","-11,035","42,198",,"42,198",-,-,-,-,"45,541","46,045","827,519","348,634","478,885","31,000","45,541",-776,-776,0,-271.6,,,,,,,,,,
ZION,63,ZION,9/30/2007,"622,460","207,585","71,853","131,962",,"131,962",1.24,1.22,"106,814","107,880","135,732","136,178","817,742","341,105","476,637","31,326","135,732",-682,-682,0,-236.0659,,,,,,,,,,
ZION,64,ZION,6/30/2007,"610,688","245,279","86,065","155,607",,"155,607",1.44,1.43,"107,803","109,124","159,214","160,182","789,614","320,267","469,347","32,480","159,214","-1,491","-1,491",0,-523.1712,,,,,,,,,,
ZION,65,ZION,3/31/2007,"602,497","242,112","88,854","149,655",,"149,655",1.38,1.36,"108,414","110,107","153,258","153,258","770,451","313,368","457,083","30,167","153,258",-,-,0,0,,,,,,,,,,
ZION,66,ZION,12/31/2006,"598,920","238,438","80,081","150,343",,"150,343",-,-,-,-,"146,508","153,657","761,707","302,668","459,039","33,974","146,508","-10,764","-10,764",0,"-3,615",,,,,,,,,,
ZION,67,ZION,9/30/2006,"591,840","237,464","83,790","153,674",,"153,674",1.45,1.42,"106,285","108,061","153,674","155,324","731,743","285,232","446,511","35,442","153,674","-2,549","-2,549",0,-899.4235,,,,,,,,,,
ZION,68,ZION,6/30/2006,"574,086","224,131","78,821","145,310",,"145,310",1.37,1.35,"106,001","107,883","145,310","151,084","686,601","250,274","436,327","32,343","145,310","-8,906","-8,906",0,"-3,132",,,,,,,,,,
ZION,69,ZION,3/31/2006,"552,778","212,891","75,258","137,633",,"137,633",1.30,1.28,"105,472","107,725","137,633","127,633","638,070","215,223","422,847","32,012","137,633","15,468","15,468",0,"5,468",,,,,,,,,,
ZION,70,ZION,12/31/2005,"492,865","197,246","69,139","128,107",,"128,107",-,-,-,-,"128,107","131,649","548,402","173,583","374,819","29,391","128,107","-5,454","-5,454",0,"-1,912",,,,,,,,,,
ZION,71,ZION,9/30/2005,"451,901","191,170","68,200","122,970",,"122,970",1.37,1.34,"89,980","91,605","122,970","123,103","483,277","142,625","340,652","24,779","122,970",-207,-207,0,-73.8474,,,,,,,,,,
ZION,72,ZION,6/30/2005,"437,480","185,140","66,330","118,810",,"118,810",1.32,1.30,"89,846","91,610","118,810","118,810","455,736","124,808","330,928","23,950","118,810",-,-,0,0,,,,,,,,,,
ZION,73,ZION,3/31/2005,"417,947","169,983","59,749","110,234",,"110,234",1.23,1.20,"89,877","91,494","110,234","110,234","422,841","107,890","314,951","22,547","110,234",-,-,0,0,,,,,,,,,,
ZION,74,ZION,12/31/2004,"408,331","157,622","52,641","104,981",,"104,981",-,-,-,-,"104,981","105,051","408,217","94,927","313,290","10,815","104,981",-105,-105,0,-35.0668,,,,,,,,,,
ZION,75,ZION,9/30/2004,"404,271","160,635","58,140","102,495",,"102,495",1.14,1.13,"89,617","90,957","102,495","103,710","383,059","88,281","294,778","34,729","102,495","-1,904","-1,904",0,-689.131,,,,,,,,,,
ZION,76,ZION,6/30/2004,"391,524","153,473","54,631","98,842",,"98,842",1.10,1.09,"89,589","90,658","98,842","98,842","362,479","78,234","284,245","24,896","98,842",-,-,0,0,,,,,,,,,,
ZION,77,ZION,3/31/2004,"388,233","154,383","54,714","99,669",,"99,669",1.11,1.10,"89,724","90,905","99,669","99,669","351,383","69,200","282,183","24,337","99,669",-,-,0,0,,,,,,,,,,
ZION,78,ZION,12/31/2003,"381,007","147,500","51,890","95,610",,"95,610",-,-,-,-,"95,610","82,849","347,060","68,806","278,254","23,274","95,610","19,686","19,686",0,"6,925",,,,,,,,,,
ZION,79,ZION,9/30/2003,"467,255","130,710","66,511","62,084",,"62,084",0.69,0.68,"89,754","90,811","62,084","124,102","349,392","72,313","277,079","25,741","64,199","-99,838","-99,838",0,"-39,935",,,,,,,,,,
ZION,80,ZION,6/30/2003,"374,758","141,364","48,956","92,425",,"92,425",1.03,1.02,"90,008","90,586","92,425","92,408","353,537","79,584","273,953","24,426","92,408",-,-,0,0,,,,,,,,,,
ZION,81,ZION,3/31/2003,"362,547","133,770","46,394","87,704",,"87,704",0.97,0.97,"90,529","90,648","87,704","87,376","349,399","83,191","266,208","21,095","87,376",-,-,0,0,,,,,,,,,,
ZION,82,ZION,12/31/2002,"365,150","131,016","46,958","87,495",,"87,495",-,-,-,-,"87,495","84,058","355,627","97,045","258,582","12,797","84,058",-,-,0,0,,,,,,,,,,
ZION,83,ZION,9/30/2002,"336,121","97,140","31,772","39,446",,"39,446",0.43,0.43,"91,499","92,017","39,446","65,368","366,620","105,314","261,306","26,113","65,368",-,-,0,0,,,,,,,,,,
ZION,84,ZION,6/30/2002,"363,052","125,061","42,986","82,075",,"82,075",0.89,0.89,"91,779","92,629","82,075","82,075","368,680","109,642","259,038","27,790","82,075",-,-,0,0,,,,,,,,,,
ZION,85,ZION,3/31/2002,"352,013","121,666","42,035","79,631",,"79,631",0.52,0.51,"92,055","92,814","79,631","79,631","364,997","108,782","256,215","20,393","79,631",-,-,0,0,,,,,,,,,,
ZION,86,ZION,12/31/2001,"356,556","108,387","36,501","71,886",,"71,886",-,-,-,-,"71,886","71,886","376,392","124,571","251,821","17,013","71,886",-,-,0,0,,,,,,,,,,
ZION,87,ZION,9/30/2001,"355,422","114,004","41,207","72,797",,"72,797",0.79,0.78,"92,306","93,509","72,797","72,797","401,238","154,125","247,113","43,565","72,797",-,-,0,0,,,,,,,,,,
ZION,88,ZION,6/30/2001,"328,911","112,549","38,954","73,595",,"73,595",0.80,0.79,"92,165","93,210","73,595","73,595","407,409","172,391","235,018","34,141","73,595",-,-,0,0,,,,,,,,,,
ZION,89,ZION,3/31/2001,"327,606","113,039","41,138","64,742",,"64,742",0.73,0.72,"88,247","89,495","71,901","71,901","406,913","191,076","215,837","24,895","71,901",-,-,0,0,,,,,,,,,,
ZION,90,ZION,12/31/2000,"292,286","100,499","34,525","65,974",,"65,974",-,-,-,-,"65,974","65,974","425,523","215,764","209,759","42,933","65,974",0,0,0,0,,,,,,,,,,
ZION,91,ZION,9/30/2000,"283,378","100,290","35,646","64,644",,"64,644",0.74,0.74,"86,909","87,610","64,644","64,644","424,482","216,453","208,029",-,"64,644",-,-,0,0,,,,,,,,,,
ZION,92,ZION,6/30/2000,"265,197","91,028","31,445","59,583",,"59,583",0.70,0.69,"85,707","86,323","59,583","59,583","396,623","202,025","194,598",-,"59,583",-,-,0,0,,,,,,,,,,
ZION,93,ZION,3/31/2000,"251,592","-50,447","-21,955","-28,492",,"-28,492",-0.33,-0.33,"86,459","86,459","-28,492","29,655","379,555","188,563","190,992","19,919","-28,492","-96,911","-96,911",0,"-38,764",,,,,,,,,,
ZION,94,ZION,12/31/1999,"304,900","64,100","26,500","37,600",,"37,600",-,-,-,-,"37,600","37,600","418,900","195,200","223,700","39,700","37,600",-,-,0,0,,,,,,,,,,
ZION,95,ZION,9/30/1999,"237,500","83,800","29,000","54,800",,"54,800",0.69,0.69,"77,939","77,939","54,800","54,800","324,600","148,300","176,300","19,600","54,800",-,-,0,0,,,,,,,,,,
ZION,96,ZION,6/30/1999,"235,300","79,900","27,100","52,800",,"52,800",0.60,0.59,"84,396","85,599","52,800","52,800","315,100","140,500","174,600","13,600","52,800",-,-,0,0,,,,,,,,,,
ZION,97,ZION,3/31/1999,"230,200","75,800","26,900","48,900",,"48,900",0.56,0.55,"85,493","85,493","48,900","48,900","300,700","133,800","166,900","17,700","48,900",-,-,0,0,,,,,,,,,,
ZION,98,ZION,12/31/1998,"233,300","46,800","14,700","32,100",,"32,100",-,-,-,-,"32,100","56,724","308,300","133,500","174,800","17,200","32,100","-35,900","-35,900",0,"-11,276",,,,,,,,,,
ZION,99,ZION,9/30/1998,"180,300","65,000","22,300","42,700",,"42,700",0.55,0.54,"77,636","79,074","42,700","33,109","234,500","103,800","130,700","12,400","42,700","14,600","14,600",0,"5,009",,,,,,,,,,
ZION,100,ZION,6/30/1998,"164,600","55,000","17,600","37,400",,"37,400",0.44,0.44,"75,000","75,000","37,400","37,400","213,300","95,200","118,100","11,800","37,400",-,-,0,0,,,,,,,,,,
ZION,101,ZION,3/31/1998,"151,700","53,000","16,600","36,400",,"36,400",0.54,0.52,"72,222","75,000","36,400","36,400","201,700","93,800","107,900","10,700","36,400",-,-,0,0,,,,,,,,,,
ZION,102,ZION,12/31/1997,"169,300","58,700","20,400","38,300",,"38,300",-,-,-,-,"38,300","38,235","226,500","100,100","126,400","10,600","38,300",100,100,0,34.753,,,,,,,,,,
ZION,103,ZION,9/30/1997,"118,200","44,900","15,500","29,400",,"29,400",0.50,0.49,"71,400","72,857","29,400","29,269","163,400","81,600","81,800","8,400","29,400",200,200,0,69.0423,,,,,,,,,,
ZION,104,ZION,6/30/1997,"108,200","43,300","15,300","28,000",,"28,000",0.47,0.47,"59,574","59,574","28,000","28,000","155,600","79,600","76,000","6,700","28,000",-,-,0,0,,,,,,,,,,
ZION,105,ZION,3/31/1997,"99,400","40,700","14,000","26,700",,"26,700",0.45,0.45,"68,000","68,000","26,700","26,700","136,900","69,300","67,600","5,800","26,700",-,-,0,0,,,,,,,,,,
ZION,106,ZION,12/31/1996,"100,600","40,500","13,600","26,900",,"26,900",-,-,-,-,"26,900","26,900","127,300","56,000","71,300","9,900","26,900",-,-,0,0,,,,,,,,,,
ZION,107,ZION,9/30/1996,"94,800","39,600","13,800","25,800",,"25,800",0.43,0.43,"60,000","60,000","25,800","25,800","122,100","56,300","65,800","1,000","25,800",-,-,0,0,,,,,,,,,,
ZION,108,ZION,6/30/1996,"90,000","37,900","12,800","25,100",,"25,100",0.43,0.43,"58,372","58,372","25,100","25,100","116,100","52,600","63,500","5,700","25,100",-,-,0,0,,,,,,,,,,
ZION,109,ZION,3/31/1996,"86,000","35,700","12,000","23,700",,"23,700",0.40,0.40,"59,250","59,250","23,700","23,700","113,500","53,600","59,900","5,300","23,700",-,-,0,0,,,,,,,,,,
ZION,110,ZION,12/31/1995,"84,600","33,200","10,700","22,500",,"22,500",-,-,-,-,"22,500","22,500","113,700","53,700","60,000","4,700","22,500",-,-,0,0,,,,,,,,,,
ZION,111,ZION,9/30/1995,"81,800","34,100","11,800","22,300",,"22,300",0.38,0.38,"58,684","58,684","22,300","22,300","113,600","55,700","57,900","4,600","22,300",-,-,0,0,,,,,,,,,,
ZION,112,ZION,6/30/1995,"78,000","31,200","10,700","20,500",,"20,500",0.35,0.35,"58,571","58,571","20,500","20,500","105,400","49,500","55,900","5,500","20,500",-,-,0,0,,,,,,,,,,
ZION,113,ZION,3/31/1995,"69,200","23,800","7,800","16,000",,"16,000",0.27,0.27,"59,259","59,259","16,000","16,000","97,800","44,600","53,200","3,300","16,000",-,-,0,0,,,,,,,,,,
ZION,114,ZION,12/31/1994,"71,400","24,800","7,500","17,300",,"17,300",-,-,-,-,"17,300","17,300","95,100","41,900","53,200","4,100","17,300",-,-,0,0,,,,,,,,,,
ZION,115,ZION,9/30/1994,"72,000","26,800","9,100","17,700",,"17,700",0.30,0.30,"59,000","59,000","17,700","17,700","95,000","43,100","51,900","4,900","17,700",-,-,0,0,,,,,,,,,,
ZION,116,ZION,6/30/1994,"67,200","24,700","8,300","16,400",,"16,400",0.28,0.28,"58,571","58,571","16,400","16,400","86,800","38,100","48,700","4,100","16,400",-,-,0,0,,,,,,,,,,
ZION,117,ZION,3/31/1994,"61,200","18,400","6,000","12,400",,"12,400",0.22,0.22,"56,364","56,364","12,400","12,400","77,200","32,400","44,800","4,600","12,400",-,-,0,0,,,,,,,,,,
ZION,118,ZION,12/31/1993,"65,800","23,400","7,700","15,700",,"15,700",-,-,-,-,"15,700","15,700","76,400","32,800","43,600","4,700","15,700",-,-,0,0,,,,,,,,,,
ZION,119,ZION,9/30/1993,"59,900","19,700","6,300","13,400",,"13,400",0.27,0.27,"49,630","49,630","13,400","13,400","67,700","29,800","37,900","4,400","13,400",-,-,0,0,,,,,,,,,,
ZION,120,ZION,6/30/1993,"57,900","21,900","7,100","14,800",,"14,800",0.30,0.30,"49,333","49,333","14,800","14,800","63,200","24,000","39,200","4,200","14,800",-,-,0,0,,,,,,,,,,
ZION,121,ZION,3/31/1993,"51,300","11,100","3,600","9,100",,"9,100",0.18,0.18,"50,556","50,556","7,500","7,500","60,500","24,400","36,100","3,700","7,500",-,-,0,0,,,,,,,,,,
ZION,122,ZION,12/31/1992,"57,400","21,400","7,000","14,400",,"14,400",-,-,-,-,"14,400","14,400","65,400","26,200","39,200","11,600","14,400",-,-,0,0,,,,,,,,,,
ZION,123,ZION,9/30/1992,"52,300","18,200","6,200","12,000",,"12,000",0.24,0.24,"50,000","50,000","12,000","12,000","64,000","26,800","37,200","1,400","12,000",-,-,0,0,,,,,,,,,,
ZION,124,ZION,6/30/1992,"48,500","14,700","5,300","9,400",,"9,400",0.19,0.19,"49,474","49,474","9,400","9,400","65,200","30,200","35,000","1,400","9,400",-,-,0,0,,,,,,,,,,
ZION,125,ZION,3/31/1992,"49,900","10,300","2,700","7,600",,"7,600",0.16,0.16,"47,500","47,500","7,600","7,600","63,100","31,000","32,100","1,400","7,600",-,-,0,0,,,,,,,,,,
ZION,126,ZION,12/31/1991,"50,300","9,700","1,700","8,000",,"8,000",-,-,-,-,"8,000","8,000","70,400","36,600","33,800","1,300","8,000",-,-,0,0,,,,,,,,,,
ZION,127,ZION,9/30/1991,"47,900","10,900","3,800","7,100",,"7,100",0.15,0.15,"47,333","47,333","7,100","7,100","71,500","38,100","33,400","1,400","7,100",-,-,0,0,,,,,,,,,,
ZION,128,ZION,6/30/1991,"46,400","11,100","3,900","7,200",,"7,200",0.15,0.15,"48,000","48,000","7,200","7,200","69,300","37,600","31,700","1,300","7,200",-,-,0,0,,,,,,,,,,
