,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash And Due from Banks,Restricted Cash And Investments,Restricted Investments,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Funds Sold,Security Agree to be Resold,Foreclosed Assets,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Prepaid Assets,Net PPE,Gross PPE,Properties,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Construction in Progress,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Deferred Assets,Deferred Tax Assets,Assets Held for Sale,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Securities Loaned,Payables And Accrued Expenses,Payables,Accounts Payable,Current Debt And Capital Lease Obligation,Current Debt,Line of Credit,Other Current Borrowings,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
11,12/31/2011,"6,844,500","155,000","155,000",-,"155,000",-,-,"7,343","7,343",0,"7,343","89,104","133,900","1,490,500","1,490,500","286,258",-,-,"4,680,900","4,787,200",-,"1,336,600","72,500","2,996,400","381,700","99,200","-7,100",-,-,-,-,"16,470","105,500","167,330","73,716","30,580",-,"49,533",982,"12,519",-,"-61,784","35,700","25,925","9,807","61,724","61,724",59,"243,000","6,207,800","5,658,500","4,100,300","4,100,300","1,558,200","123,600",-,"123,600",-,"35,400","35,400","35,400",-,-,-,-,"390,300","390,300",-,-,"35,414","636,700","636,700","141,000","141,000",8,"-243,500","743,800",-,"-4,600",-,-,"1,027,000","141,000","495,700",-,"601,000","886,000","460,000","390,300","235,300","82,362","82,362",141,-
12,12/31/2010,"6,193,900","216,700","215,800",-,"215,800",-,-,900,900,900,"37,733","107,655","129,800","1,273,100","1,273,100","48,151",-,-,"4,129,800","4,240,500",-,"934,600","71,500",-,"3,234,400","110,700",-,-,-,-,-,"24,741","114,400","175,080","73,474","30,580",-,"57,423",360,"13,243",-,"-60,708","39,300",-,-,"79,860","79,860",91,"290,800","5,591,700","5,338,400","3,895,100","3,895,100","1,443,300","109,400",-,"109,400",-,"27,900","27,900","27,900","72,964","72,964",-,"72,964","116,000","116,000",-,-,"27,861","602,200","602,200","870,400","130,800","739,600","-258,800","739,561",-,"-9,400",-,-,"718,200","130,800","471,400",-,"562,900","587,400","432,100","116,000",-,"81,669","81,669",140,-
13,12/31/2009,"5,753,200","396,800","392,400",-,"392,400",-,-,"4,400","4,400","4,400","54,029","83,347","92,500","864,800","864,800","7,482",-,-,"3,971,000","4,079,600",-,"802,200","80,300",-,"3,197,100","108,600",-,509,-,-,-,"35,323","125,900","180,050","72,710","31,585",-,"60,374","1,655","13,726",-,"-54,167","43,100",-,-,"68,957","68,957",-,"259,100","5,177,500","4,722,200","3,565,200","3,565,200","1,157,000","223,300",-,"223,300",-,"100,300","100,300","100,300","29,352","29,352",-,"29,352","131,800","131,800",-,-,-100,"575,700","575,700","811,700","127,900","683,800","-241,600","684,092",-,"5,400",200,-,"707,500","127,900","447,800",-,"532,600","579,600","404,700","131,800",-,"72,504","72,504",140,-
14,12/31/2008,"5,242,761","139,954","136,791",-,"136,791",-,-,"3,163","3,163",-,-,-,-,"606,424","606,424",-,-,-,"4,020,884","4,095,711",-,-,-,-,"4,095,711","74,827",-,"68,086","19,719","19,719","48,367",-,"140,910",-,-,-,-,-,-,-,-,-,"100,000",-,-,-,-,-,"166,503","4,747,264","3,652,266","2,641,641","2,641,641","1,010,625","321,004",-,-,-,"33,838","33,838","33,838","586,120","586,120",-,"586,120","154,036","154,036",-,-,-,"495,497","495,497","125,207","125,203",4,"-85,424","484,205",-,"-28,491",-,-,"649,533","125,203","370,294",-,"395,497","1,110,450","270,294","740,156","603,365","38,499","38,499",-,-
15,12/31/2007,"5,016,096","115,629","104,650",-,"104,650",-,-,"10,979","10,979",-,-,-,-,"736,200","736,200",-,-,-,"3,583,704","3,633,009",-,-,-,-,"3,633,009","49,305",-,"22,344","22,344","22,344",-,-,"143,421",-,-,-,-,-,-,-,-,-,"242,180",-,-,-,-,-,"172,618","4,514,468","3,546,922","2,539,280","2,539,280","1,007,642","275,016",-,-,-,"25,591","25,591","25,591","489,330","489,330",-,"489,330","177,609","177,609",-,-,-,"501,628","501,518",3,-,3,"152,286","377,973",-,"-28,744",-,110,"679,127",-,"501,518",-,"259,338","1,168,457","259,338","666,939","562,289","30,158","30,158",-,-
16,12/31/2006,"4,169,604","264,880","143,721",-,"143,721",-,-,"121,159","121,159",-,-,-,-,"542,321","542,321",-,-,-,"2,969,671","3,003,222",-,-,-,-,"3,003,222","33,551",-,"17,425","17,425","17,425",-,-,"99,859",-,-,-,-,-,-,-,-,-,"148,230",-,-,-,-,-,"127,218","3,761,025","3,400,423","2,246,178","2,246,178","1,154,245","170,656",-,-,-,"19,078","19,078","19,078","11,000","11,000",-,"11,000","159,868","159,868",-,-,-,"408,579","408,579",3,-,3,"126,170","287,553",-,"-5,147",-,-,"568,447",-,"408,579",-,"260,349","579,447","260,349","170,868","27,147","27,085","27,085",-,-
17,12/31/2005,"2,857,271","188,792","111,150",-,"111,150",-,-,"77,642","77,642",-,-,-,-,"748,533","748,533",-,-,-,"1,772,145","1,793,337",-,-,-,-,"1,793,337","21,192",-,"10,545","10,545","10,545",-,-,"58,430",-,-,-,-,-,-,-,-,-,"5,164",-,-,-,-,-,"73,662","2,613,048","2,393,812","1,413,803","1,413,803","980,009","78,170",-,-,-,"29,626","29,626","29,626","7,000","7,000",-,"7,000","104,440","104,440",-,-,-,"244,223","244,223",2,-,2,"86,281","167,996",-,"-10,056",-,-,"348,663",-,"244,223",-,"239,059","355,663","239,059","111,440",290,"22,810","22,810",-,-
18,12/31/2004,"2,176,849","130,494","92,282",-,"92,282",-,-,"38,212","38,212",-,-,-,-,"788,622","788,622",-,-,-,"1,173,264","1,188,535",-,-,-,-,"1,188,535","15,271",-,"8,359","8,359","8,359",-,-,"29,364",-,-,-,-,-,-,-,-,-,"5,386",-,-,-,-,-,"41,360","2,043,278","1,756,036","1,006,486","1,006,486","749,550",-,-,-,-,"7,120","7,120","7,120","185,494","185,494",-,"185,494","94,628","94,628",-,-,-,"133,571","133,571",2,-,2,"58,216","80,459",-,"-5,106",-,-,"228,199",-,"133,571",-,"128,185","413,693","128,185","280,122","187,840","22,274","22,274",-,-
19,12/31/2003,"1,576,773","78,536","61,893",-,"61,893",-,-,"16,643","16,643",-,-,-,-,"715,978","715,978",-,-,-,"721,700","733,078",-,-,-,-,"733,078","11,378",-,"6,389","6,389","6,389",-,-,"18,038",-,-,-,-,-,-,-,-,-,673,-,-,-,-,-,"35,459","1,479,322","1,094,646","653,486","653,486","441,160",-,-,-,-,"5,337","5,337","5,337","241,261","241,261",-,"241,261","128,328","128,328",-,-,"9,750","97,451","97,451",2,-,2,"38,159","62,533",-,"-3,243",-,-,"225,779",-,"97,451",-,"96,778","467,040","96,778","369,589","307,696","22,274","22,274",-,-
20,12/31/2002,"872,074","159,683","159,683",-,"159,683",-,-,-,-,-,-,-,-,-,-,-,-,-,"457,906","464,355",-,-,-,-,"464,355","6,449",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"254,485","804,632",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"804,632","67,442","67,442",-,-,-,-,-,-,-,-,-,-,-,"67,442",-,"67,442",-,"67,442",-,-,"22,274","22,274",-,-
21,12/31/2001,"602,703","104,101","104,101",-,"104,101",-,-,-,-,-,-,-,-,-,-,-,-,-,"400,647","407,210",-,-,-,-,"407,210","6,563",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"97,955","566,841",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"566,841","35,862","35,862",-,-,-,-,-,-,-,-,-,-,-,"35,862",-,"35,862",-,"35,862",-,-,"22,274","22,274",-,-
