,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Restricted Cash And Investments,Restricted Investments,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Funds Sold,Security Agree to be Resold,Foreclosed Assets,Other Real Estate Owned,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Prepaid Assets,Net PPE,Gross PPE,Properties,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Construction in Progress,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Deferred Assets,Deferred Tax Assets,Assets Held for Sale,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Securities Loaned,Payables And Accrued Expenses,Payables,Accounts Payable,Current Debt And Capital Lease Obligation,Current Debt,Line of Credit,Other Current Borrowings,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Unrealized Gain Loss,Other Equity Adjustments,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
40,3/31/2013,"8,174,100","556,300","422,300","422,300",-,"296,775","29,767","29,767","134,000","134,000",-,"134,000","77,921",-,"139,400","1,302,400","1,302,400","290,591","1,006,185",-,"5,759,800","5,861,300","27,900","2,084,900","26,000","3,722,500",-,"95,500","-6,000",-,-,-,-,"10,017","107,100","107,100",-,-,-,-,-,-,"107,100",-,"29,200","23,224","5,942","54,060","54,060",-,"279,900","7,392,800","6,734,900","4,804,500","4,804,500","1,930,400","64,700",-,"64,700","132,600","130,100","130,100","130,100",-,-,-,-,"330,500","330,500",-,-,"130,080","781,300","781,300","927,900","141,000","786,900","-153,800","786,941",-,"7,200",-,-,-,-,"1,111,800","141,000","640,300",-,"752,100","970,800","611,100","330,500",-,"87,079","87,079",141,-
41,12/31/2012,"7,622,600","204,600","204,600","204,600",-,"62,836","30,936","30,936",-,0,-,0,"77,247",-,"138,300","1,236,600","1,236,600","291,333","939,590",-,"5,613,900","5,715,300","31,100","1,947,800","31,800","3,704,600",-,"95,400","-6,000",-,-,-,-,"12,029","107,900","107,900",-,"32,078","73,887","51,089","2,441","15,863","107,900","-67,448","29,800","23,224","6,539","51,757","51,757",-,"291,500","6,863,000","6,455,200","4,522,000","4,522,000","1,933,200","79,000",-,"79,000",0,"98,900","98,900","98,900","118,717","118,717",-,"118,717","229,900","229,900",-,-,"98,875","759,600","759,600","925,900","141,000","784,900","-174,500","784,852",-,"8,200",-,-,-,-,"989,500","141,000","618,600",-,"729,800","848,500","588,800","229,900","25,300","86,465","86,465",141,-
42,9/30/2012,"7,403,600","307,900","168,100",-,-,"168,100",-,-,"139,800","139,800",-,"139,800","78,234",-,"137,300","1,338,900","1,338,900","283,472",-,-,"5,235,500","5,339,200",-,"4,494,400","56,600","788,200","5,332,932","97,400","-6,300",-,-,-,-,"13,166","106,900",-,-,-,-,-,-,-,-,-,"29,000","23,224","5,764","36,605","36,605",38,"248,100","6,705,600","6,162,000","4,321,200","4,321,200","1,840,800","73,100",-,"73,100",-,"72,400","72,400","72,400",-,-,-,-,"259,800","259,800",-,-,"138,300","698,000","698,000","141,000","141,000",8,"-206,200","751,100",-,"12,100",-,-,-,-,"957,800","141,000","557,000",-,"669,000","816,800","528,000","259,800","91,700","83,455","83,455",141,-
43,6/30/2012,"7,163,600","178,900","178,900",-,-,"178,900",-,-,"3,630",-,-,-,"76,994",-,"136,100","1,401,500","1,401,500","284,891",-,-,"5,067,300","5,171,100",-,"4,324,300","55,800","791,000",-,"97,500","-6,300",-,-,-,-,"13,464","106,900",-,-,-,-,-,-,-,-,-,"34,000","25,925","8,028","48,159","48,159",45,"238,900","6,491,500","6,001,400","4,159,300","4,159,300","1,842,100","86,900",-,"86,900",-,"63,000","63,000","63,000",-,-,-,-,"340,200","340,200",-,-,"62,939","672,100","672,100","141,000","141,000",8,"-221,300","748,100",-,"4,300",-,-,-,-,"1,012,300","141,000","531,100",-,"638,100","871,300","497,100","340,200","161,300","83,157","83,157",141,-
44,3/31/2012,"6,925,300","179,800","179,800",-,-,"179,800",-,-,"4,854",-,-,-,"81,445",-,"135,000","1,423,200","1,423,200","285,577",-,-,"4,828,100","4,932,900",-,"1,436,500","58,700","3,437,700",-,"98,100","-6,700",-,-,-,-,"14,708","105,100",-,-,-,-,-,-,-,-,-,"34,800","25,925","8,918","55,296","55,296",52,"219,300","6,271,200","5,899,100","4,141,400","4,141,400","1,757,700","114,400",-,"114,400",-,"27,000","27,000","27,000",-,-,-,-,"230,700","230,700",-,-,"27,150","654,100","654,100","141,000","141,000",8,"-234,000","746,200",-,900,-,-,-,-,"884,800","141,000","513,100",-,"619,300","743,800","478,300","230,700","50,900","83,144","83,144",141,-
45,12/31/2011,"6,844,541","162,338","154,995",-,-,"154,995",-,-,"7,343","7,343",0,"7,343","89,104",-,"133,898","1,516,678","1,230,420","286,258",-,-,"4,680,899","4,787,136",-,"3,889,936","72,504","824,696",-,"99,170","-7,067",-,-,-,-,"16,470","105,546","167,330","73,716","30,580",-,"49,533",982,"12,519",-,"-61,784","35,732","25,925","9,807","61,724","61,724",59,"42,093","6,207,858","5,658,512","4,100,301","4,100,301","1,558,211","123,626",-,"123,626",-,-,-,-,-,-,-,-,"390,306","390,306",-,-,"35,414","636,683","636,683","141,008","141,000",8,"-243,512","743,780",-,"-4,593",-,-,-,-,"1,026,989","141,000","495,683",-,"600,951","885,989","459,951","390,306","235,311","82,362","82,362",141,-
46,9/30/2011,"6,545,900","306,000","306,000",-,-,"306,000",-,-,"14,302","14,302",0,"14,302","86,692",-,"132,700","1,304,600","1,304,600","173,193",-,-,"4,426,300","4,533,000",-,"1,152,900","60,300","2,915,400","404,400","100,200","-6,500",-,-,-,-,"18,614","106,200",-,-,-,-,-,-,-,-,-,"36,600","25,925","10,697","62,493","62,493",67,"233,500","5,913,600","5,632,900","4,113,900","4,113,900","1,519,000","142,600",-,"142,600",-,"28,600","28,600","28,600",-,-,-,-,"109,500","109,500",-,-,"28,588","632,300","632,300","141,000","141,000",8,"-248,800","743,000",-,"-2,900",-,-,-,-,"741,800","141,000","491,300",-,"595,700","600,800","454,700","109,500",-,"82,263","82,263",141,-
47,6/30/2011,"6,508,100","534,600","534,600",-,-,"534,600","35,885","35,885",-,-,0,-,"85,732",-,"131,500","1,138,200","1,138,200","82,441","23,745",-,"4,307,300","4,417,600",-,"1,029,500","62,600","1,681,619","3,325,500","104,400","-5,900",-,-,-,-,"19,005","109,200",-,-,-,-,-,-,-,-,-,"37,500","25,925","11,586","71,312","71,312",74,"249,800","5,892,400","5,588,300","4,071,500","4,071,500","1,516,800","148,700",-,"148,700",-,"39,600","39,600","39,600","73,138","73,138",-,"73,138","115,800","115,800",-,-,"39,594","615,700","615,700","132,300","132,300",8,"-252,400","741,600",-,"-5,800",-,-,-,-,"731,500","132,300","483,400",-,"578,200","599,200","445,900","115,800",-,"82,139","82,139",140,-
48,3/31/2011,"6,404,800","363,300","363,300",-,-,"363,300",-,-,"29,947","29,947",0,"29,947","98,312",-,"131,000","1,319,600","1,319,600","48,150",-,-,"4,171,900","4,278,000",-,"935,900","65,700",-,"3,276,400","106,100","-6,159",-,-,-,-,"21,755","112,000",-,-,-,-,-,-,-,-,-,"38,400",-,-,"79,752","79,752",82,"268,600","5,803,200","5,497,500","4,042,400","4,042,400","1,455,100","163,400",-,"163,400",-,"26,300","26,300","26,300",-,-,-,-,"116,000","116,000",-,-,"26,310","601,600","601,600","872,500","131,600","740,900","-256,200","740,878",-,"-14,700",-,-,-,-,"717,600","131,600","470,000",-,"563,200","586,000","431,600","116,000",-,"82,237","82,237",140,-
49,12/31/2010,"6,193,883","254,479","215,828",-,-,"215,828",-,-,"38,651","38,651",918,"37,733","107,655",-,"129,808","1,272,242","1,224,091","48,151",-,-,"4,129,843","4,240,542",-,-,-,-,"4,240,542","110,699",-,-,-,-,-,"24,741","114,372","175,080","73,474","30,580",-,"57,423",360,"13,243",-,"-60,708","39,291",-,-,"79,860","79,860",91,"41,501","5,591,709","5,338,441","3,895,190","3,895,190","1,443,251","109,409",-,"109,409",-,-,-,-,"72,964","72,964",-,"72,964","43,034","43,034",-,-,"27,861","602,174","602,174","130,835","130,827",8,"-258,800","739,561",-,"-9,422",-,-,-,-,"645,208","130,827","471,347",-,"562,883","587,345","432,056","115,998",-,"81,669","81,669",140,-
50,9/30/2010,"6,179,100","616,000","616,000",-,"1,000","615,000",-,-,"1,635",-,-,-,"110,096",-,"94,800","929,700","929,700","24,104",-,-,"4,065,300","4,173,500",-,"876,800","71,400",-,"3,225,300","108,200",-,-,-,-,-,"28,237","116,500",-,-,-,-,-,-,-,-,-,"40,200",-,-,"70,083","70,083",102,"316,600","5,559,300","5,328,500","3,906,800","3,906,800","1,421,700","86,800",-,"86,800",-,"34,800","34,800","34,800",-,-,-,-,"109,200","109,200",-,-,"34,808","619,800","619,800","867,900","130,100","737,800","-245,500","737,762",-,"-2,600",-,-,-,-,"729,000","130,100","489,700",-,"579,600","598,900","449,500","109,200",-,"81,503","81,503",140,-
51,6/30/2010,"5,959,500","560,600","560,600",-,-,"560,600",-,-,"5,094","5,094",0,"5,063","104,365",-,"94,000","848,600","848,600","4,610",-,-,"4,020,000","4,130,000",-,"832,800","74,600",-,"3,222,600","110,000",-,-,-,-,-,"31,194","118,700",-,-,-,-,-,-,-,-,-,"41,300",-,-,"68,114","68,114",116,"276,300","5,383,600","5,230,200","3,899,800","3,899,800","1,330,400","87,100",-,"87,100",-,"30,000","30,000","30,000",-,-,-,-,"36,300","36,300",-,-,"30,083","575,900","575,900","817,600","129,400","688,200","-245,000","688,260",-,"3,300",-,-,-,-,"612,200","129,400","446,500",-,"534,600","482,800","405,200","36,300",-,"73,344","73,344",140,-
52,3/31/2010,"6,096,200","830,000","827,600",-,-,"827,600",-,-,"2,400","2,400","2,400","13,305","105,637",-,"93,200","781,100","781,100","5,827",-,-,"3,946,400","4,059,100",-,"757,900","77,600",-,"3,223,600","112,700",-,-,-,-,-,"32,529","121,200",-,-,-,-,-,-,-,-,-,"42,200",-,-,"68,580","68,580",480,"282,100","5,520,500","5,190,100","3,841,400","3,841,400","1,348,700","169,100",-,"169,100",-,"39,000","39,000","39,000",-,-,-,-,"122,300","122,300",-,-,"38,935","575,700","575,700","814,700","128,700","686,000","-243,700","686,234",-,"4,700",-,-,-,-,"698,000","128,700","447,000",-,"533,500","569,300","404,800","122,300",-,"73,031","73,031",140,-
53,12/31/2009,"5,753,279","450,859","393,357",-,-,"393,357",-,-,"57,502","57,502","3,473","54,029","83,347",-,"92,510","852,128","844,646","7,482",-,-,"3,971,016","4,079,639",-,-,-,-,"4,079,639","108,623",-,509,-,-,-,"35,323","125,883","180,050","72,710","31,585",-,"60,374","1,655","13,726",-,"-54,167","43,121",-,-,"68,957","68,957",-,"29,626","5,177,554","4,722,102","3,565,089","3,565,089","1,157,013","223,269",-,"223,269",-,-,-,-,"29,352","29,352",-,"29,352","102,438","102,438",-,-,"100,393","575,725","575,725","127,952","127,945",7,"-241,724","684,092",-,"5,405",-,-,-,-,"678,163","127,945","447,780",-,"532,604","579,570","404,659","131,790",-,"72,504","72,504",140,-
54,9/30/2009,"5,831,300","757,900","752,900",-,-,"752,900","41,061","41,061","5,000","5,000","5,000","55,051",-,"72,795","91,800","727,800","727,800","7,483",-,-,"3,863,800","3,968,000",-,"2,613,400","77,300",-,"1,277,300","104,200",-,"21,326","19,090","19,090","2,236",-,"128,600",-,-,-,-,-,-,-,-,-,"51,600","33,390","18,199","56,241","56,241",-,"209,800","5,228,400","4,732,200","3,577,400","3,577,400","1,154,800","264,100",-,"264,100",-,"30,800","30,800","30,800","70,000","70,000",-,"70,000","181,300","181,300","9,386",-,"20,000","602,900","602,900","809,100","127,200","681,900","-212,200","682,043",-,"6,000","-1,318","7,352",-,-,"784,200","127,200","475,700",-,"551,300","657,000","424,100","181,300",-,"72,489","72,489",140,-
55,6/30/2009,"5,701,500","568,900","568,900",-,"20,300","548,600","41,061","41,061","189,043","189,043","20,314","168,729",-,"42,137","91,300","556,980","549,497","7,483",-,-,"3,944,800","4,028,900",-,"768,900",-,-,"3,260,000","84,100",-,"24,244","20,703","20,703","3,541",-,"136,700",-,-,-,-,-,-,-,-,-,"57,900","33,966","19,144","41,385","41,385",-,"901,900","5,079,900","4,352,200","3,243,600","3,243,600","1,108,600","300,400",-,"300,400",-,"30,600","30,600","30,600","245,000","245,000",-,"245,000","111,766","111,766",-,-,"396,700","621,600","621,600","126,600","126,600",7,"-186,000","680,135",-,900,"-1,939",-,"680,100",-,"733,403","126,600","495,000",-,"563,700","851,844","437,100","356,766",-,"72,435","72,435",140,-
56,3/31/2009,"5,267,286","268,591","224,315",-,-,"224,315","40,975","40,975","3,301","3,301","3,301",-,-,"15,455","90,832","583,561","575,583","7,978",-,-,"3,998,557","4,075,741",-,-,-,-,"4,075,741","77,184",-,"63,414","21,138","21,138","42,276",-,"138,079",-,-,-,-,-,-,-,-,-,"54,055","33,966","20,089","31,626","31,626",-,"23,116","4,840,348","4,061,499","3,022,266","3,022,266","1,039,233","272,258",-,"272,258",-,"33,003","33,003","33,003","320,000","320,000",-,"320,000","153,588","153,588",-,-,-,"426,938","426,938","125,889","125,885",4,"-169,450","486,189",-,"-15,690","-3,008","-12,682",-,-,"580,526","125,885","301,053",-,"372,883","774,641","246,998","473,588","249,273","38,499","38,499",140,-
57,12/31/2008,"5,242,761","139,954","136,791",-,-,"136,791",-,-,"3,163","3,163",-,-,-,-,-,"606,424","606,424",-,-,-,"4,020,884","4,095,711",-,-,-,-,"4,095,711","74,827",-,"68,086","19,719","19,719","48,367",-,"140,910",-,-,-,-,-,-,-,-,-,"100,000",-,-,-,-,-,"166,503","4,747,264","3,652,266","2,641,641","2,641,641","1,010,625","321,004",-,-,-,"33,838","33,838","33,838","586,120","586,120",-,"586,120","154,036","154,036",-,-,-,"495,497","495,497","125,207","125,203",4,"-85,424","484,205",-,"-28,491",-,-,-,-,"649,533","125,203","370,294",-,"395,497","1,110,450","270,294","740,156","603,365","38,499","38,499",-,-
58,9/30/2008,"5,228,970","172,896","137,754",-,-,"137,754",-,-,"35,142","35,142",-,-,-,-,-,"622,007","622,007",-,-,-,"3,890,114","3,947,211",-,-,-,-,"3,947,211","57,097",-,"54,958","54,958","54,958",-,-,"142,883",-,-,-,-,-,-,-,-,-,"160,548",-,-,-,-,-,"185,564","4,751,095","3,509,005","2,524,040","2,524,040","984,965","295,403",-,-,-,"34,924","34,924","34,924","754,875","754,875",-,"754,875","156,888","156,888",-,-,-,"477,875","477,875",4,-,4,"63,966","465,955",-,"-52,050",-,-,-,-,"634,763",-,"477,875",-,"317,327","1,389,638","317,327","911,763","774,009","38,499","38,499",-,-
59,6/30/2008,"5,219,333","181,283","170,341",-,-,"170,341",-,-,"10,942","10,942",-,-,-,-,-,"621,653","621,653",-,-,-,"3,815,877","3,874,565",-,-,-,-,"3,874,565","58,688",-,"18,341","18,341","18,341",-,-,"143,472",-,-,-,-,-,-,-,-,-,"240,735",-,-,-,-,-,"197,972","4,693,892","3,653,678","2,646,082","2,646,082","1,007,596","185,590",-,-,-,"23,343","23,343","23,343","666,600","666,600",-,"666,600","164,681","164,681",-,-,-,"525,441","525,441",3,-,3,"158,674","412,899",-,"-46,135",-,-,-,-,"690,122",-,"525,441",-,"284,706","1,356,722","284,706","831,281","660,940","34,059","34,059",-,-
60,3/31/2008,"5,197,303","191,861","132,894",-,-,"132,894",-,-,"58,967","58,967",-,-,-,-,-,"731,123","731,123",-,-,-,"3,671,793","3,722,632",-,-,-,-,"3,722,632","50,839",-,"20,636","20,636","20,636",-,-,"143,923",-,-,-,-,-,-,-,-,-,"241,366",-,-,-,-,-,"196,601","4,703,343","3,630,264","2,598,035","2,598,035","1,032,229","224,630",-,-,-,"36,018","36,018","36,018","645,380","645,380",-,"645,380","167,051","167,051",-,-,-,"493,960","493,960",3,-,3,"156,259","380,413",-,"-42,715",-,-,-,-,"661,011",-,"493,960",-,"252,594","1,306,391","252,594","812,431","679,537","30,230","30,230",-,-
61,12/31/2007,"5,016,096","115,629","104,650",-,-,"104,650",-,-,"10,979","10,979",-,-,-,-,-,"736,200","736,200",-,-,-,"3,583,704","3,633,009",-,-,-,-,"3,633,009","49,305",-,"22,344","22,344","22,344",-,-,"143,421",-,-,-,-,-,-,-,-,-,"242,180",-,-,-,-,-,"172,618","4,514,468","3,546,922","2,539,280","2,539,280","1,007,642","275,016",-,-,-,"25,591","25,591","25,591","489,330","489,330",-,"489,330","177,609","177,609",-,-,-,"501,628","501,518",3,-,3,"152,286","377,973",-,"-28,744",-,-,-,110,"679,127",-,"501,518",-,"259,338","1,168,457","259,338","666,939","562,289","30,158","30,158",-,-
62,9/30/2007,"5,003,432","166,527","128,899",-,-,"128,899",-,-,"37,628","37,628",-,-,-,-,-,"788,371","788,371",-,-,-,"3,506,616","3,546,527",-,-,-,-,"3,546,527","39,911",-,"21,587","21,587","21,587",-,-,"138,415",-,-,-,-,-,-,-,-,-,"243,120",-,-,-,-,-,"138,796","4,487,519","3,792,662","2,680,597","2,680,597","1,112,065","204,062",-,-,-,"20,749","20,749","20,749","297,525","297,525",-,"297,525","172,521","172,521",-,-,-,"515,913","515,895",3,-,3,"149,844","379,173",-,"-13,125",-,-,-,18,"688,416",-,"515,895",-,"272,775","985,941","272,775","470,046","341,147","29,911","29,911",-,-
63,6/30/2007,"4,746,826","195,919","122,886",-,-,"122,886",-,-,"73,033","73,033",-,-,-,-,-,"685,577","685,577",-,-,-,"3,351,994","3,388,940",-,-,-,-,"3,388,940","36,946",-,"19,577","19,577","19,577",-,-,"130,255",-,-,-,-,-,-,-,-,-,"237,400",-,-,-,-,-,"126,104","4,227,375","3,815,847","2,655,355","2,655,355","1,160,492","195,746",-,-,-,"14,754","14,754","14,754","32,500","32,500",-,"32,500","168,528","168,528",-,-,-,"519,451","519,451",3,-,3,"138,761","383,841",-,"-3,154",-,-,-,-,"687,979",-,"519,451",-,"282,051","720,479","282,051","201,028","78,142","29,984","29,984",-,-
64,3/31/2007,"4,727,644","296,457","129,655",-,-,"129,655",-,-,"166,802","166,802",-,-,-,-,-,"647,711","647,711",-,-,-,"3,298,518","3,336,037",-,-,-,-,"3,336,037","37,519",-,"19,107","19,107","19,107",-,-,"125,570",-,-,-,-,-,-,-,-,-,"237,409",-,-,-,-,-,"102,872","4,216,399","3,849,145","2,606,166","2,606,166","1,242,979","175,951",-,-,-,"24,236","24,236","24,236","28,000","28,000",-,"28,000","139,067","139,067",-,-,-,"511,245","511,245",3,-,3,"130,814","381,271",-,-843,-,-,-,-,"650,312",-,"511,245",-,"273,836","678,312","273,836","167,067","37,412","30,414","30,414",-,-
65,12/31/2006,"4,169,604","264,880","143,721",-,-,"143,721",-,-,"121,159","121,159",-,-,-,-,-,"542,321","542,321",-,-,-,"2,969,671","3,003,222",-,-,-,-,"3,003,222","33,551",-,"17,425","17,425","17,425",-,-,"99,859",-,-,-,-,-,-,-,-,-,"148,230",-,-,-,-,-,"127,218","3,761,025","3,400,423","2,246,178","2,246,178","1,154,245","170,656",-,-,-,"19,078","19,078","19,078","11,000","11,000",-,"11,000","159,868","159,868",-,-,-,"408,579","408,579",3,-,3,"126,170","287,553",-,"-5,147",-,-,-,-,"568,447",-,"408,579",-,"260,349","579,447","260,349","170,868","27,147","27,085","27,085",-,-
66,9/30/2006,"4,002,793","224,352","103,281",-,-,"103,281",-,-,"121,071","121,071",-,-,-,-,-,"554,133","554,133",-,-,-,"2,886,533","2,919,643",-,-,-,-,"2,919,643","33,110",-,"15,783","15,783","15,783",-,-,"93,763",-,-,-,-,-,-,-,-,-,"146,723",-,-,-,-,-,"81,506","3,609,723","3,250,279","2,191,598","2,191,598","1,058,681","149,184",-,-,-,"18,365","18,365","18,365","52,000","52,000",-,"52,000","139,895","139,895",-,-,-,"393,070","393,070",3,-,3,"117,162","285,446",-,"-9,541",-,-,-,-,"532,965",-,"393,070",-,"246,347","584,965","246,347","191,895","88,614","26,977","26,977",-,-
67,6/30/2006,"3,889,621","243,103","137,495",-,-,"137,495",-,-,"105,608","105,608",-,-,-,-,-,"586,935","586,935",-,-,-,"2,740,503","2,772,661",-,-,-,-,"2,772,661","32,158",-,"14,773","14,773","14,773",-,-,"82,718",-,-,-,-,-,-,-,-,-,"145,318",-,-,-,-,-,"76,271","3,522,511","3,198,359","2,009,602","2,009,602","1,188,757","138,547",-,-,-,"15,675","15,675","15,675",-,-,-,-,"169,930","169,930",-,-,-,"367,110","367,110",3,-,3,"105,596","274,574",-,"-13,063",-,-,-,-,"537,040",-,"367,110",-,"221,792","537,040","221,792","169,930","32,435","26,586","26,586",-,-
68,3/31/2006,"3,580,145","380,931","141,729",-,-,"141,729",-,-,"239,202","239,202",-,-,-,-,-,"624,919","624,919",-,-,-,"2,326,478","2,354,167",-,-,-,-,"2,354,167","27,689",-,"12,843","12,843","12,843",-,-,"71,862",-,-,-,-,-,-,-,-,-,"92,011",-,-,-,-,-,"71,101","3,223,807","2,957,414","1,770,820","1,770,820","1,186,594","90,378",-,-,-,"26,181","26,181","26,181","16,084","16,084",-,"16,084","133,750","133,750",-,-,-,"356,338","356,338",3,-,3,"94,719","271,867",-,"-10,251",-,-,-,-,"490,088",-,"356,338",-,"264,327","506,172","264,327","149,834","8,105","26,365","26,365",-,-
69,12/31/2005,"2,857,271","188,792","111,150",-,-,"111,150",-,-,"77,642","77,642",-,-,-,-,-,"748,533","748,533",-,-,-,"1,772,145","1,793,337",-,-,-,-,"1,793,337","21,192",-,"10,545","10,545","10,545",-,-,"58,430",-,-,-,-,-,-,-,-,-,"5,164",-,-,-,-,-,"73,662","2,613,048","2,393,812","1,413,803","1,413,803","980,009","78,170",-,-,-,"29,626","29,626","29,626","7,000","7,000",-,"7,000","104,440","104,440",-,-,-,"244,223","244,223",2,-,2,"86,281","167,996",-,"-10,056",-,-,-,-,"348,663",-,"244,223",-,"239,059","355,663","239,059","111,440",290,"22,810","22,810",-,-
70,9/30/2005,"2,745,014","308,623","90,618",-,-,"90,618",-,-,"218,005","218,005",-,-,-,-,-,"713,075","713,075",-,-,-,"1,598,253","1,617,541",-,-,-,-,"1,617,541","19,288",-,"9,189","9,189","9,189",-,-,"36,859",-,-,-,-,-,-,-,-,-,"5,220",-,-,-,-,-,"73,795","2,506,761","2,347,498","1,299,323","1,299,323","1,048,175",-,-,-,-,"8,825","8,825","8,825","55,810","55,810",-,"55,810","94,628","94,628",-,-,-,"238,253","238,253",2,-,2,"77,839","167,950",-,"-7,538",-,-,-,-,"332,881",-,"238,253",-,"233,033","388,691","233,033","150,438","59,820","22,793","22,793",-,-
71,6/30/2005,"2,621,344","318,435","93,174",-,-,"93,174",-,-,"225,261","225,261",-,-,-,-,-,"695,356","695,356",-,-,-,"1,435,177","1,455,228",-,-,-,-,"1,455,228","18,118","-1,933","85,509","8,371","8,371","77,138",-,"35,822",-,-,-,-,-,-,-,-,-,"5,275",-,-,-,-,-,"45,770","2,398,855","2,189,554","1,225,275","1,225,275","964,279",-,-,-,-,"9,349","9,349","9,349","109,724","109,724",-,"109,724","90,228","90,228",-,-,-,"222,489","222,489",2,-,2,"70,090","158,212",-,"-5,815",-,-,-,-,"312,717",-,"222,489",-,"217,214","422,441","217,214","199,952","106,778","22,274","22,274",-,-
72,3/31/2005,"2,338,856","209,388","87,034",-,-,"87,034",-,-,"122,354","122,354",-,-,-,-,-,"729,144","729,144",-,-,-,"1,314,687","1,331,801",-,-,-,-,"1,331,801","17,114",-,"8,053","8,053","8,053",-,-,"29,218",-,-,-,-,-,-,-,-,-,"5,331",-,-,-,-,-,"43,035","2,201,774","2,018,689","1,154,578","1,154,578","864,111",-,-,-,-,"9,340","9,340","9,340","79,117","79,117",-,"79,117","94,628","94,628",-,-,-,"137,082","137,082",2,-,2,"63,537","81,457",-,"-7,914",-,-,-,-,"231,710",-,"137,082",-,"131,751","310,827","131,751","173,745","86,711","22,274","22,274",-,-
