,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Restricted Cash And Investments,Restricted Investments,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Funds Sold,Security Agree to be Resold,Foreclosed Assets,Other Real Estate Owned,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Prepaid Assets,Net PPE,Gross PPE,Properties,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Construction in Progress,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Deferred Assets,Deferred Tax Assets,Assets Held for Sale,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Securities Loaned,Payables And Accrued Expenses,Payables,Accounts Payable,Current Debt And Capital Lease Obligation,Current Debt,Line of Credit,Other Current Borrowings,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Unrealized Gain Loss,Other Equity Adjustments,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
22,9/30/2017,"19,922,200","650,400","650,400","650,400",-,"519,224","65,680","65,680",-,-,-,-,"29,000",-,"166,800","3,773,600","3,773,600","154,920","3,552,844",-,"14,385,500","14,521,900","16,300","6,735,900","50,700","7,719,000",-,"136,400",-,-,-,-,-,-,"120,100","120,100",-,-,-,-,-,-,"120,100",-,"301,200","301,200","11,262","83,772","83,772",-,"495,600","17,776,600","16,904,800","9,296,100","9,296,100","7,608,700","26,100",-,"26,100",-,"472,800","472,800","472,800",0,0,-,0,"372,900","372,900",-,-,"472,894","2,145,600","2,145,600","1,378,800",-,"1,378,800","758,600","1,418,835","40,004","8,200",-,-,-,-,"2,518,500",-,"2,145,600",-,"1,844,400","2,518,500","1,844,400","372,900",-,"107,061","105,493",-,"1,567"
23,6/30/2017,"18,844,700","606,700","606,700","606,700",-,"457,106","65,357","65,357",-,-,-,-,"31,000",-,"166,400","3,283,000","3,283,000","132,802","3,084,658",-,"13,858,100","13,989,900","16,700","6,318,500","47,900","7,606,800",-,"131,800",-,-,-,-,-,-,"120,500","120,500",-,-,-,-,-,-,"120,500",-,"301,600","301,600","11,750","87,658","87,658",-,"477,400","16,786,000","16,031,100","9,171,700","9,171,700","6,859,400","32,700",-,"32,700",-,"346,800","346,800","346,800",0,0,-,0,"375,400","375,400",-,-,"346,853","2,058,700","2,058,700","1,376,400",-,"1,376,400","675,800","1,413,061","36,651","6,500",-,-,-,-,"2,434,100",-,"2,058,700",-,"1,757,100","2,434,100","1,757,100","375,400",-,"106,931","105,429",-,"1,502"
24,3/31/2017,"18,122,500","647,000","647,000","647,000",-,"511,655","65,404","65,404",-,-,-,-,"45,200",-,"165,500","2,869,100","2,869,100","102,590","2,700,011",-,"13,535,100","13,662,700","17,800","6,039,100","43,000","7,562,800",-,"127,600",-,-,-,-,-,-,"120,000","120,000",-,-,-,-,-,-,"120,000",-,"302,100","302,100","12,238","88,083","88,083",-,"438,500","16,153,500","15,356,000","9,241,900","9,241,900","6,114,100","35,700",-,"35,700",-,"394,900","394,900","394,900",0,0,-,0,"366,900","366,900",-,-,"394,948","1,969,000","1,969,000","1,370,300",-,"1,370,300","595,800","1,406,943","36,605","2,900",-,-,-,-,"2,335,900",-,"1,969,000",-,"1,666,900","2,335,900","1,666,900","366,900",-,"106,930","105,428",-,"1,502"
25,12/31/2016,"17,200,800","284,500","284,500","284,500",-,"116,425","65,249","65,249",-,-,-,-,"47,800",-,"164,500","2,767,800","2,767,800","92,079","2,609,380",-,"13,083,800","13,208,500","18,900","5,855,800","39,000","7,294,800",-,"124,700",-,-,-,-,-,-,"119,800","119,800",-,"33,309","83,285","45,676","4,840","22,709","119,800","-69,986","302,900","302,900","12,927","95,194","95,194",-,"429,700","15,309,300","14,549,800","8,916,900","8,916,900","5,632,900","41,700",-,"41,700",-,"269,900","269,900","269,900","80,000","80,000",-,"80,000","447,900","447,900",-,-,"269,785","1,891,500","1,891,500","1,373,800",0,"1,373,800","522,400","1,400,140","26,362","-4,700",-,-,-,-,"2,339,400",-,"1,891,500",-,"1,588,600","2,339,400","1,588,600","447,900","163,400","106,371","105,071",-,"1,300"
26,9/30/2016,"17,042,600","356,100","356,100","356,100",-,"175,331","65,013","65,013",-,-,-,-,"49,600",-,"163,600","2,778,100","2,778,100","52,421","2,659,182",-,"12,910,700","13,033,600","21,300","5,715,000","38,400","7,258,900",-,"122,900",-,-,-,-,-,-,"121,300","121,300",-,-,-,-,-,-,"121,300",-,"303,600","303,600","13,625","72,720","72,720",-,"359,600","15,185,200","14,443,200","8,818,400","8,818,400","5,624,800","44,400",0,"44,400",-,"314,700","314,700","314,700",0,0,-,0,"382,900","382,900",-,-,"314,784","1,857,400","1,857,400","1,368,400",0,"1,368,400","452,600","1,394,526","26,210","36,400",-,-,-,-,"2,240,300",-,"1,857,400",-,"1,553,800","2,240,300","1,553,800","382,900","26,800","106,368","105,071",-,"1,297"
27,6/30/2016,"16,728,700","696,200","696,200","696,200",-,"548,673","58,682","58,682",-,0,-,0,"49,800",-,"164,300","2,262,600","2,262,600","36,929","2,165,539",-,"12,755,700","12,877,800","22,300","5,577,600","41,800","7,236,100",-,"122,100",-,-,-,-,-,-,"120,500","120,500",-,-,-,-,-,-,"120,500",-,"304,300","304,300","14,322","65,275","65,275",-,"375,300","14,932,500","14,201,300","8,926,200","8,926,200","5,275,100","38,500",0,"38,500",0,"310,600","310,600","310,600",0,0,-,0,"382,100","382,100",-,-,"310,605","1,796,200","1,796,200","1,364,000",0,"1,364,000","385,600","1,389,914","25,924","46,600",-,-,-,-,"2,178,300",-,"1,796,200",-,"1,491,900","2,178,300","1,491,900","382,100",-,"106,372","105,084",-,"1,288"
28,3/31/2016,"15,248,000","1,031,000","1,031,000","1,031,000",-,"894,292","58,235","58,235",-,0,-,0,"52,800",-,"163,400","2,099,900","2,099,900","21,514","2,012,820",-,"11,122,200","11,241,400","23,600","5,378,500","33,700","5,805,600",-,"119,200",-,-,-,-,-,-,"119,800","119,800",-,-,-,-,-,-,"119,800",-,"304,000","304,000","15,019","73,979","73,979",-,"354,900","13,587,800","13,081,700","8,446,500","8,446,500","4,635,200","36,100",200,"36,100",-,"259,400","259,400","259,400",0,0,-,0,"210,600","210,600",-,-,"259,468","1,660,200","1,660,200","1,302,900",0,"1,302,900","324,000","1,328,678","25,828","33,300",-,-,-,-,"1,870,800",-,"1,660,200",-,"1,356,200","1,870,800","1,356,200","210,600",-,"104,799","103,514",-,"1,286"
29,12/31/2015,"14,275,100","224,600","224,600","224,600",-,"90,931","58,111","58,111",-,0,-,0,"43,900",-,"162,500","2,042,200","2,042,200",-,"1,982,523",-,"11,017,600","11,136,700","23,800","5,262,800","26,900","5,823,200",-,"119,100",-,-,-,-,-,-,"118,500","118,500",-,"33,971","83,431","40,025","1,999","18,958","118,500","-59,849","305,400","305,400","15,716","86,352","86,352",-,"360,400","12,683,600","12,030,600","7,936,600","7,936,600","4,094,000","38,200",-,"38,200",0,"254,500","254,500","254,500","150,000","150,000",0,"150,000","360,300","360,300",-,-,"254,480","1,591,500","1,591,500","1,306,600",0,"1,306,600","262,600","1,306,594",-,"22,300",-,-,-,-,"1,951,800",-,"1,591,500",-,"1,286,100","1,951,800","1,286,100","360,300","135,700","103,087","103,087",-,-
30,9/30/2015,"13,955,500","325,400","325,400","161,944",-,"325,400","57,986","57,986",-,0,-,0,"57,700",-,"161,700","1,993,600","1,993,600",-,"1,932,980",-,"10,671,200","10,788,300","24,400","4,960,400","26,600","5,776,900",-,"117,100",-,-,-,-,-,-,"121,700","121,700",-,-,-,-,-,-,"121,700",-,"305,800","305,800","16,420","78,550","78,550",-,"318,400","12,371,800","11,610,400","7,532,900","7,532,900","4,077,500","53,200",-,"53,200",0,"201,400","201,400","201,400","300,027","300,027",0,"300,027","506,800","506,800",-,-,"201,428","1,583,700","1,583,700","1,344,200","70,500","1,344,200","218,900","1,273,648",-,"20,600",-,-,-,-,"2,090,500","70,500","1,583,700",-,"1,277,900","2,090,500","1,277,900","506,800","181,400","102,305","102,305",70.5,-
31,6/30/2015,"13,470,100","758,300","700,200","700,200",-,"550,257","51,040","51,040","58,100","58,100",-,"58,100","59,300",-,"161,100","1,531,900","1,531,900",-,"1,478,234",-,"10,245,600","10,360,700","39,400","4,759,700","24,000","5,537,600",-,"115,100",-,-,-,-,-,-,"116,000","116,000",-,-,-,-,-,-,"116,000",-,"300,000","300,000","17,124","82,075","82,075",-,"297,900","11,955,400","11,406,700","7,482,300","7,482,300","3,924,400","42,200",-,"42,200","57,600","171,000","171,000","171,000","69,429","69,429",0,"69,429","277,900","277,900",-,-,"171,034","1,514,700","1,514,700","1,339,500","70,500","1,269,000","159,900","1,268,947",-,"15,300",-,-,-,-,"1,792,600","70,500","1,444,200",-,"1,214,700","1,722,100","1,144,200","277,900",-,"102,291","102,291",70.5,-
32,3/31/2015,"11,251,900","492,400","492,400","492,400",-,"365,511","51,774","51,774",-,0,-,0,"63,800",-,"142,900","1,453,700","1,453,700",-,"1,399,428",-,"8,706,500","8,818,600",-,"3,725,200","26,500","5,066,900",-,"112,100",-,-,-,-,-,-,"114,300","114,300",-,-,-,-,-,-,"114,300",-,"25,600","25,600","2,408","59,079","59,079",-,"252,700","10,200,600","9,662,300","7,004,900","7,004,900","2,657,400","47,200",-,"47,200",0,"175,200","175,200","175,200","75,229","75,229",0,"75,229","315,900","315,900","200,000",-,"175,057","1,051,300","1,051,300","902,400","70,500","831,900","125,500","831,931",-,"23,400",-,-,-,-,"1,367,200","70,500","980,800",-,"1,025,700","1,296,700","955,200","315,900",-,"89,180","89,180",70.5,-
33,12/31/2014,"10,600,500","164,400","164,400","164,400",-,"39,067","25,275","25,275",-,0,-,0,"57,100",-,"142,000","1,547,800","1,547,800",0,"1,520,237",-,"8,288,100","8,410,800",-,"3,531,900","32,600","4,846,300",-,"110,200","-12,500",-,-,-,-,"5,927","113,800","113,800",-,"33,971","82,494","51,320",848,"18,160","113,800","-72,975","25,900","25,900","2,689","62,686","62,686",-,"261,400","9,599,600","8,931,000","6,643,000","6,643,000","2,288,000","54,900",-,"54,900",0,"183,000","183,000","183,000","180,169","180,169","25,000","155,169","430,700","430,700","210,094",-,"182,928","1,000,900","1,000,900","898,800","70,500","828,300","85,500","828,327",-,"16,600",-,-,-,-,"1,431,600","70,500","930,400",-,"975,000","1,361,100","904,500","430,700","266,300","88,691","88,691",70.5,-
34,9/30/2014,"10,288,800","258,800","258,800","258,800",-,"108,216","25,275","25,275",-,0,-,0,"51,800",-,"143,200","1,597,300","1,597,300",0,"1,569,689",-,"7,820,300","7,940,000",0,"3,292,200","33,000","4,614,800",-,"109,200","-10,500",-,-,-,-,"6,334","112,100","112,100",-,-,-,-,-,-,"112,100",-,"26,200","26,200","2,970","67,501","67,501",-,"279,100","9,285,700","8,697,600","6,450,900","6,450,900","2,246,700","53,000",-,"53,000",0,"162,500","162,500","162,500","120,665","120,665",0,"120,665","372,600","372,600","210,117",-,"162,543","1,003,100","1,003,100","948,200","141,000","807,200","45,400","807,257",-,"9,500",-,-,-,-,"1,375,700","141,000","862,100",-,"976,900","1,234,700","835,900","372,600","113,800","87,849","87,849",141,-
35,6/30/2014,"10,023,600","379,300","379,300","379,300",-,"199,352","25,275","25,275",-,0,-,0,"59,292",-,"142,500","1,606,700","1,606,700",0,"1,577,272",-,"7,438,600","7,554,100",0,"3,027,700","40,900","4,485,500",-,"105,900","-9,600",-,-,-,-,"4,060","109,600","109,600",-,-,-,-,-,-,"109,600",-,"26,500","26,500","3,251","68,287","68,287",-,"320,400","9,065,900","8,469,500","6,190,700","6,190,700","2,278,800","53,700",-,"53,700",0,"162,500","162,500","162,500","61,941","61,941",0,"61,941","380,200","380,200","211,155",-,"162,487","957,700","957,700","944,400","141,000","803,400","4,800","803,376",-,"8,500",-,-,-,-,"1,337,900","141,000","816,700",-,"931,200","1,196,900","790,200","380,200",900,"87,774","87,774",141,-
36,3/31/2014,"9,746,600","465,900","354,800","354,800",-,"193,538","25,275","25,275","111,100","111,100",-,"111,100","56,450",-,"141,500","1,671,200","1,671,200","275,738","1,366,433",-,"7,004,700","7,115,700",0,"2,723,400","38,300","4,354,000",-,"103,900","-7,100",-,-,-,-,"4,660","106,600","106,600",-,-,-,-,-,-,"106,600",-,"26,800","23,224","3,553","78,322","78,322",-,"329,900","8,851,800","8,149,000","6,055,400","6,055,400","2,093,600","57,400",-,"57,400","99,100","160,700","160,700","160,700","61,324","61,324","5,000","56,324","385,600","385,600","217,166",-,"149,994","894,800","894,800","936,300","141,000","795,300","-30,400","795,306",-,"-11,100",-,-,-,-,"1,280,400","141,000","753,800",-,"868,000","1,139,400","727,000","385,600","30,800","87,554","87,554",141,-
37,12/31/2013,"9,307,100","305,200","305,200","305,200",-,"170,608","30,186","30,186",-,0,-,0,"66,719",-,"140,600","1,689,600","1,689,600","283,006","1,370,696",-,"6,701,300","6,810,300",0,"2,478,200","43,100","4,289,000",-,"100,100","-8,900",-,-,-,-,"4,778","120,200","120,200",-,"33,023","73,990","59,632","5,335","15,714","120,200","-67,520","27,400","23,224","4,150","79,374","79,374",-,"322,800","8,451,800","7,838,200","5,638,200","5,638,200","2,200,000","71,200",-,"71,200",0,"159,400","159,400","159,400","28,906","28,906","3,000","25,906","383,000","383,000","247,973",-,"159,493","855,300","855,300","938,200","141,000","797,200","-61,400","797,146",-,"-21,500",-,-,-,-,"1,238,300","141,000","714,300",-,"827,900","1,097,300","686,900","383,000","77,800","87,186","87,186",141,-
38,9/30/2013,"8,921,400","509,000","380,900","380,900",-,"238,306","30,186","30,186","128,100","128,100",-,"128,100","76,475",-,"139,700","1,370,800","1,370,800","289,108","1,073,886",-,"6,418,400","6,524,400","25,400","2,234,900","29,800","4,234,300",-,"97,900","-8,100",-,-,-,-,"5,236","105,900","105,900",-,-,-,-,-,-,"105,900",-,"27,900","23,224","4,747","79,570","79,570",-,"349,700","8,095,100","7,275,300","5,302,800","5,302,800","1,972,500","55,500","13,285","55,500","126,600","204,200","204,200","204,200","32,500","32,500","32,500",0,"433,500","433,500","274,277",-,"204,090","826,300","826,300","933,200","141,000","792,200","-92,400","792,140",-,"-14,500",-,-,-,-,"1,259,800","141,000","685,300",-,"798,400","1,118,800","657,400","433,500","52,600","87,099","87,099",141,-
39,6/30/2013,"8,593,700","382,900","248,900","248,900",-,"116,430","31,164","31,164","134,000","134,000","5,545","134,000","76,499",-,"140,400","1,313,100","1,313,100","289,850","985,837",-,"6,315,200","6,418,300","27,600","2,174,100","28,500","4,188,100",-,"96,300","-6,800",-,-,-,-,"3,451","106,100","106,100",-,-,-,-,-,-,"106,100",-,"28,500","23,224","5,344","82,627","82,627",-,"307,500","7,794,200","7,001,300","5,081,700","5,081,700","1,919,600","51,900",-,"51,900","129,500","153,000","153,000","153,000",-,-,-,-,"458,500","458,500",-,-,"152,976","799,500","799,500","930,500","141,000","789,500","-120,200","789,462",-,"-10,800",-,-,-,-,"1,258,000","141,000","658,500",-,"771,000","1,117,000","630,000","458,500","209,600","86,997","86,997",141,-
