,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Sale of Business,Gain Loss On Sale of PPE,Gain Loss On Investment Securities,Pension And Employee Benefit Expense,Realized Gain Loss On Sale of Loans And Lease,Depreciation Amortization Depletion,Depreciation & amortization,Depreciation,Amortization,Amortization of Intangibles,Deferred Tax,Deferred Income Tax,Other non-cash items,Amortization of Financing Costs And Discounts,Amortization of Securities,Asset Impairment Charge,Stock based compensation,Provision for Loan Lease And Other Losses,Unrealized Gain Loss On Investment Securities,Change in working capital,Change in Receivables,Change in Prepaid Assets,Change in Payables And Accrued Expense,Change in Payable,Change in Tax Payable,Change in Income Tax Payable,Change in Account Payable,Change in Other Current Assets,Change in Other Current Liabilities,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Proceeds Payment Federal Funds Sold And Securities Purchased Under Agreement To Resell,Proceeds Payment in Interest Bearing Deposits in Bank,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Investment Properties Purchase And Sale,Sale of Investment Properties,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Purchase of PPE,Sale of PPE,Net Business Purchase And Sale,Purchase of Business,Sale of Business,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Change in Federal Funds And Securities Sold for Repurchase,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Cash Dividends Paid,Common Stock Dividend Paid,Net Other Financing Charges,Other Cash Adjustment Inside Change in Cash,End Cash Position,Changes in Cash,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
0,ttm,"2,791,000","2,791,000","1,098,000","-39,000",-,"-10,000",0,-,"-22,000","533,000","533,000","533,000",-,-,"206,000","206,000","-418,000",-,-,-,"19,000","645,000","3,000","744,000",-,-,-,-,-,-,-,"484,000","260,000",-,"75,000","75,000",-,"6,965,000","-666,000","-2,740,000","2,074,000",-,-,"-5,099,000","245,000","-5,344,000","-818,000","-926,000","108,000","134,000",-,"134,000","-441,000","-2,686,000","-2,686,000",-,"352,000","-1,245,000","3,854,000","-5,099,000","1,597,000","3,105,000","-1,508,000","-1,240,000","-1,240,000",0,0,"-83,000",-,"-24,000",-,"518,000","180,000","338,000",-,-,"525,000","-926,000",0,"6,959,000","-6,607,000","-1,240,000","1,865,000"
1,3/31/2023,"-362,000","-362,000","9,518,000","9,000",-,"-4,000","14,000",-,"-1,000","124,000","124,000",-,-,-,"-69,000","-69,000","-9,904,000",-,-,-,"1,000","783,000","9,000","-833,000",-,-,-,-,-,-,-,"-486,000","-347,000",-,"2,628,000","2,628,000",-,"-88,000","8,000","-337,000","345,000",-,-,"1,173,000","1,173,000",-,"-299,000","-332,000","33,000","1,347,000",-,"1,347,000","487,000","-1,186,000","-1,186,000","63,000","4,229,000","5,479,000","6,500,000","-1,021,000","-1,250,000","500,000","-1,750,000",-,-,-,-,"-26,000",-,"-6,000",-,"1,598,000","1,080,000","518,000",-,-,"366,000","-332,000",-,"7,000,000","-2,771,000",-,"-694,000"
2,12/31/2022,"1,020,000","1,020,000","257,000","-7,000",-,"-1,000",0,-,"-6,000","134,000","134,000","134,000",-,-,"126,000","126,000","-13,000",-,-,-,"2,000","79,000","-2,000","444,000",-,-,-,-,-,-,-,"400,000","44,000",-,"-711,000","-711,000",-,"1,148,000","-479,000","-927,000","448,000",-,-,"-624,000","72,000","-696,000","-344,000","-381,000","37,000",0,-,0,"-412,000","-272,000","-272,000",-,"-1,711,000","-758,000","601,000","-1,359,000","-953,000","105,000","-1,058,000","-448,000","-448,000",-,-,"-25,000",-,"20,000",-,"518,000","37,000","481,000",-,-,"210,000","-381,000",-,"706,000","-2,417,000","-448,000","639,000"
3,9/30/2022,"528,000","528,000","315,000","-5,000",-,"-1,000",0,-,"-3,000","128,000","128,000","128,000",-,-,"66,000","66,000","296,000",-,-,-,"3,000","60,000","2,000","-337,000",-,-,-,-,-,-,-,"-287,000","-50,000",-,"-1,894,000","-1,894,000",-,"303,000","-94,000","-529,000","435,000",-,-,"-1,975,000","57,000","-2,032,000","-148,000","-167,000","19,000",0,-,0,"20,000","1,264,000","1,264,000",-,"3,896,000","1,403,000","1,601,000","-198,000","2,493,000","2,943,000",-,-,-,-,-,"-20,000",-,"-23,000",-,"481,000","-102,000","583,000",-,-,"106,000","-167,000",-,"4,544,000","-648,000",-,"361,000"
4,6/30/2022,"843,000","843,000","255,000","-9,000",-,"-7,000","3,000",-,"-5,000","145,000","145,000","145,000",-,-,"75,000","75,000","-59,000",-,-,-,"2,000","42,000",-,"389,000",-,-,-,-,-,-,-,"189,000","200,000",-,"298,000","298,000",-,"2,809,000","104,000","-474,000","578,000",-,-,"-2,465,000","-144,000","-2,321,000","-104,000","-137,000","33,000",0,-,0,"-46,000","-1,081,000","-1,081,000",-,"1,170,000","1,140,000","1,651,000","-511,000","30,000","30,000",-,-,-,-,-,"-24,000",-,"1,000",-,"583,000","60,000","523,000",-,-,"87,000","-137,000",-,"1,681,000","-511,000",-,"706,000"
5,3/31/2022,"400,000","400,000","271,000","-18,000",-,"-1,000","-3,000",-,"-8,000","126,000","126,000","126,000",-,-,"-61,000","-61,000","-642,000",-,-,-,"12,000","464,000",-,"248,000",-,-,-,-,-,-,-,"182,000","66,000",-,"2,382,000","2,382,000",0,"2,705,000","-197,000","-810,000","613,000",-,-,"-35,000","260,000","-295,000","-222,000","-241,000","19,000","134,000",-,"134,000","-3,000","-2,597,000","-2,597,000",-,"-3,003,000","-3,030,000","1,000","-3,031,000","27,000","27,000",-,-,-,-,-,"-14,000",-,"-22,000",-,"523,000","185,000","338,000",-,-,"122,000","-241,000",-,"28,000","-3,031,000",-,"159,000"
6,12/31/2021,"177,988","177,988","123,282","-8,996",-,-,"-3,066",-,"-5,930","35,466","35,466","26,292","9,174","9,174","-16,852","-16,852","14,182","6,134",-,-,-,"-5,138",-,"29,910","-1,326","42,471","1,362","1,362",-,-,"1,362","-27,143","14,546",-,"-1,409,623","-1,409,623",-,-,"-1,477,242","-2,196,067","718,825",-,-,"98,048",-,-,"-34,904","-34,904",0,0,0,-,"4,475","1,231,999","1,231,999",-,"-99,463","-24,989",0,"-24,989","-74,474",-,-,0,0,0,0,"-9,249",-,-,-,"337,814",364,"337,450",-,-860,"13,243","-34,904",0,0,"-77,375",0,"143,084"
7,9/30/2021,"136,284","136,284","124,073","-18,455",-,"-1,891","-11,432",-,"-7,023","31,428","31,428","26,240","5,188","5,188","-4,175","-4,175","-37,971","3,527",-,-,-,"-1,120",-,"38,977",132,"30,872","-2,252","-2,252",-,-,"-2,252","-4,807","15,032",-,"-1,806,117","-1,806,117",-,-,"-1,978,379","-2,857,012","878,633",-,-,"189,200",-,-,"-21,163","-21,181",18,0,0,-,"4,225","1,611,919","1,611,919",-,"-34,425","-5,396",0,"-5,396","-29,029",-,-,0,0,0,0,"-9,251",-,-,-,"337,450","-57,914","395,364",-,"4,131","17,220","-21,181",0,0,"-5,396",0,"115,103"
8,6/30/2021,"-702,931","-702,931","152,788","-37,885",-,"-1,317","-27,484",-,"-10,401","31,614","31,614","26,189","5,425","5,425","4,886","4,886","-35,233","1,374",-,-,-,"-19,603",-,"-800,872","-11,724",-,"3,661","3,661",-,-,"3,661","1,505","10,770",-,"-384,340","-384,340",-,-,"-880,650","-2,305,447","1,424,797",-,-,"519,516",-,-,"-27,705","-27,738",33,0,0,-,"4,499","1,072,140","1,072,140",-,"5,925","-5,974",0,"-5,974","11,899",-,-,0,0,0,0,"-13,863",-,-,-,"395,364","-15,131","410,495",-,"867,185","11,771","-27,738",0,0,"-5,974",0,"-730,669"
9,3/31/2021,"104,876","104,876","147,316","-34,583",-,"-6,567","-25,218",0,"-9,365","33,659","33,659","27,864","5,795","5,795","8,555","8,555","-43,365",116,-,-,-,"-10,974",-,"4,152","24,375",-,"-4,264","-4,264",-,-,"-4,264","17,535","-33,494",-,"-3,968,346","-3,968,346",-,-,"-3,548,337","-5,186,930","1,638,593",-,-,"-383,507",-,-,"-22,401","-23,544","1,143",0,0,-,"-14,101","3,911,917","3,911,917",-,"21,245","-17,973",0,"-17,973","39,218",-,-,0,0,0,0,"-9,249",-,-,-,"410,495","48,447","362,048",-,11,"19,935","-23,544",0,0,"-17,973",0,"81,332"
10,12/31/2020,"123,757","123,757","138,084","-36,081",-,"-10,817","-24,215",0,"-11,866","41,684","41,684","27,472","14,212","14,212","-41,762","-41,762","-10,584","-13,112",-,"1,696",-,"5,403",-,"38,429","39,027",-,"-1,063","-1,063",-,-,"-1,063",-892,"1,357",-,"-1,230,773","-1,230,773",-,-,"-1,292,557","-3,056,686","1,764,129",-,-,"86,758","13,368","73,390","-33,571","-34,894","1,323",0,0,-,"8,597","1,116,645","1,116,645",-,"-56,392","-3,990",0,"-3,990","-52,402",-,"-52,402",0,0,0,0,"-8,563",-,-,-,"362,048","9,629","352,419",-,-,-,"-34,894",0,0,"-56,392",0,"88,863"
11,9/30/2020,"115,468","115,468","142,684","-28,874",-,"-1,689","-18,724",0,"-10,150","33,488","33,488","27,363","6,125","6,125","-1,547","-1,547","-5,044","-16,290",-,-115,-,"4,042",-,"-12,876","-27,241",-,"-3,608","-3,608",-,-,"-3,608","11,065","6,908",-,"-811,611","-811,611",-,-,"-398,547","-2,032,960","1,634,413",-,-,"-387,724",0,"-387,724","-35,760","-35,769",9,0,0,-,"10,420","659,329","659,329",-,"-53,227","-6,840",-1,"-6,839","-46,387",-,-,"-50,832","-50,832",0,0,"-8,642",-,-,-,"352,419","-36,814","389,233",-,-,-,"-35,769",0,-1,"-51,183","-50,832","79,699"
12,6/30/2020,"83,181","83,181","153,786","-88,218",-,"-1,027","-78,322",0,"-9,896","33,231","33,231","26,927","6,304","6,304","29,259","29,259","-25,964","16,215",-,"1,056",-,"20,552",-,"-56,736","-49,577",-,612,612,-,-,612,"-21,526","13,755",-,"-6,388,079","-6,388,079",-,-,"-3,011,372","-3,896,776","885,404",-,-,"-3,286,187",-,-,"-35,754","-35,791",37,"-58,764","-58,764",-,"3,998","6,239,911","6,239,911",-,"57,553","-37,361",-36,"-37,325","94,914",-,-,"-126,829","-126,829",-21,-21,"-8,932",-,-,-,"389,233","-64,987","454,220",-,-,-,"-35,791",-21,-36,"55,546","-126,829","47,390"
13,3/31/2020,"17,609","17,609","57,169","25,931",-,"1,384","31,613","-100,000","-5,682","33,039","33,039","26,879","6,160","6,160","-11,485","-11,485","-102,716","4,674",-,"1,419",-,"28,355",-,"-18,777","9,915",-,"-4,624","-4,624",-,-,"-4,624","4,067","-28,135",-,"-1,441,295","-1,441,295",-,-,"-1,116,260","-4,862,789","3,746,529","5,265","5,265","-202,667",-,-,"-26,930","-26,930",0,"-1,235","-1,235",-,"-94,203","1,501,187","1,501,187",-,"614,432","707,303","745,886","-38,583","-92,871",-,"-92,871","-156,094","-156,094","339,958","339,958","-4,256","-4,256","345,886",-,"454,220","77,501","376,719",-,-,-,"-26,930","339,958","745,886","-131,454","-156,094","-9,321"
14,12/31/2019,"141,409","141,409","101,874","-8,923",-,"3,033","-7,380",-,"-4,576","32,731","32,731","26,804","5,927","5,927","10,659","10,659","22,264","-4,303",-,740,-,"7,727",-,"-21,360","-20,148",-,"2,074","2,074",-,-,265,"-29,551","-7,168",-,"-460,068","-460,068",-,-,"381,163","-916,437","1,297,600","7,026","7,026","-653,175",0,"-653,175","-31,854","-31,858",4,"-162,936","-162,936",-,"6,734","406,445","406,445",-,"181,299","70,261","100,000","-29,739","111,038",-,-,"-131,860","-131,860",-,-,"-4,398","-4,398",-,-,"376,719","87,786","288,933",-,-,-,"-31,858",-,"100,000","-29,739","-131,860","109,551"
15,9/30/2019,"179,395","179,395","124,779","-4,015",-,366,-169,-,"-4,212","32,365","32,365","26,450","5,915","5,915","38,813","38,813","-28,279","-9,972",-,507,-,"6,766",-,"18,431","-1,820",-,"5,356","5,356",-,-,"3,662","14,545","9,957","-9,607","-119,747","-119,747",-,-,"368,671","-1,511,903","1,880,574","7,008","7,008","-461,133",0,"-461,133","-34,293","-34,346",53,0,0,-,"7,008","-54,862","-54,862",-,"59,831","89,463",-,"-10,537","-29,632",-,-,"-134,268","-134,268",-,-,"-4,496","-4,496",-,-,"288,933","4,786","284,147",-,-,-,"-34,346",-,-,"-10,537","-134,268","145,049"
16,6/30/2019,"79,724","79,724","119,359","-12,719",-,358,"-8,863",-,"-4,214","28,455","28,455","22,379","6,076","6,076","12,442","12,442","2,476","-11,028",-,990,-,"5,198",-,"-65,449","2,162",-,"8,664","8,664",-,-,"7,028","-44,163","29,612","-61,724","-400,674","-400,674",-,-,"-87,990","-1,286,468","1,198,478","4,454","4,454","-212,377",-,-,"-30,977","-30,998",21,-,-,-,"4,462","336,498","336,498",-,"-98,001","-24,320",-,"-24,320","-73,681",-,-,"-88,918","-88,918",-,-,"-4,575","-4,575",-,-,"284,147","15,548","268,599",-,-,-,"-30,998",-,-,"-24,320","-88,918","48,726"
17,3/31/2019,"140,041","140,041","111,359","-13,151",-,358,"-11,328",-,"-2,181","34,138","34,138","28,195","5,943","5,943","-7,316","-7,316","-6,600","-8,737",-,427,-,"11,750",-,"18,171","-3,909",-,"5,095","5,095",-,-,"3,457","31,072","-51,985","37,898","-577,980","-577,980",-,-,"-629,633","-1,305,175","675,542","7,430","7,430","68,052",-,-,"-23,821","-23,875",54,-,-,-,"7,422","379,098","379,098",-,"-44,116","-8,688",-,"-8,688","-35,428",-,-,"-98,077","-98,077",-,-,"-4,668","-4,668",-,-,"268,599","-58,841","327,440",-,-,-,"-23,875",-,-,"-8,688","-98,077","116,166"
18,12/31/2018,"130,193","130,193","89,473","17,820",-,"3,902","16,524",-,"-2,570","31,365","31,365","25,297","6,068","6,068","-27,019","-27,019","-2,528","-13,602",-,"1,234",-,"11,585",-,"21,865","20,218",-,"2,354","2,354",-,-,"1,312","-34,786","12,813",-,"-14,601","-14,601",-,-,"397,193","-354,236","751,429","4,640","4,640","-311,938","9,591","-321,529","-52,101","-52,174",73,"-48,828","-48,828",-,"1,073","-50,677","-50,677",-,"-154,047","-35,077",0,"-35,077","-118,970",-,-,"-105,009","-105,009",-,-,"-4,167","-4,167",-,-,"327,440","64,915","262,525",-,-,-,"-52,174",-,0,"-35,077","-105,009","78,019"
19,9/30/2018,"115,638","115,638","117,318","-9,037",-,-,"-3,854",-,"-3,030","30,159","30,159","24,141","6,018","6,018","16,477","16,477","14,326","-5,725",-,458,-,840,-,"-49,178","-6,049",-,"1,580","1,580",-,-,491,"28,654","-68,706","-4,657","58,684","58,684",-,-,"419,774","152,448","267,326","7,719","7,719","-341,592",-,"-341,592","-27,217","-28,667","1,450",0,0,-,"7,719","-172,322","-172,322",-,"135,315","61,559",-,"-63,441","73,756",-,-,-,-,-,-,"-4,204","-4,204",-,-,"262,525","2,000","260,525",-,-,-,"-28,667",-,-,"-63,441",-,"86,971"
20,6/30/2018,"61,581","61,581","93,291","-7,384",-,-,"-4,440",-,"-2,944","29,677","29,677","24,164","5,513","5,513","2,738","2,738","-8,999","-6,917",-,"1,488",-,"8,438",-,"-50,751","1,591",-,"1,432","1,432",-,-,411,"-31,677","27,640","-49,737","199,691","199,691",-,-,"687,418","187,912","499,506","7,389","7,389","-353,481",-,"-353,481","-35,337","-35,522",185,"-106,298",-,-,"7,389","-248,886","-248,886",-,"-64,732","-2,478",-,"-2,478","-62,254",-,-,-,-,-,-,"-4,204","-4,204",-,-,"260,525","12,386","248,139",-,-,-,"-35,522",-,-,"-2,478",-,"26,059"
21,3/31/2018,"458,388","458,388","100,231","-29,451",-,0,-971,-,"-2,666","29,228","29,228","23,179","6,049","6,049","-5,573","-5,573","7,185","-10,323",-,"1,210",-,"7,605",-,"358,276","-3,192",-,"-1,330","-1,330",-,-,"-2,454","342,312","-12,642","33,128","-454,665","-454,665",-,-,"-431,694","-936,077","504,383","8,380","8,380","-7,283",0,"-7,283","-24,068","-24,081",13,0,-,0,"8,380","-91,734","-91,734",-,"-790,500","-651,451",-,"-651,451","-139,049",-,-,-,-,-,-,"-4,204","-4,204",-,-,"248,139","-88,011","336,150",-,-,-,"-24,081",-,-,"-651,451",-,"434,307"
22,12/31/2017,"47,551","47,551","54,407","-4,108",-,-34,371,-,"-3,526","28,903","28,903","23,055","5,848","5,848","58,568","58,568","23,150","-5,493",-,"1,308",-,"-2,809",-,"-106,375","-2,463",-,893,893,-,-,-246,"-37,354","-39,720","-27,731","49,099","49,099",-,-,"501,842","-1,298,318","1,800,160","9,637","9,637","-441,930",163,"-442,093","-24,567","-24,708",141,"4,117",-,"4,117","9,637","-56,886","-56,886",-,"14,391",-136,0,-136,"14,527",-,-,-,-,-,-,"-3,603","-3,603",-,-,"336,150","39,764","296,386",-,-,-,"-24,708",-,0,-136,-,"22,843"
23,9/30/2017,"113,203","113,203","67,064","-7,549",-,-331,"-1,337",-,"-5,881","28,278","28,278","22,329","5,949","5,949","21,642","21,642","4,500","-11,617",-,992,-,"7,946",-,"1,947","-3,203",-,134,134,-,-,-943,"24,774","-19,469",-289,"-132,129","-132,129",-,-,"61,857","-254,528","316,385","10,836","10,836","-179,016","130,192","-309,208","-23,563","-24,178",615,0,-,0,"8,593","-241,460","-241,460",-,"-119,071","1,166",0,"1,166","-120,237",-,-,-,-,-,-,0,0,-,-,"296,386","-260,386","556,772",-,-,-,"-24,178",-,0,"1,166",-,"89,025"
24,6/30/2017,"53,302","53,302","134,660","-6,177",-,-3,"-3,351",-,"-2,823","28,578","28,578","22,804","5,774","5,774","38,935","38,935","-139,978","-11,933",-,443,-,"12,324",-,"-3,550","2,557",-,"2,307","2,307",-,-,"1,194","-19,262","20,906","-10,058","395,753","395,753",-,-,"489,380","-367,326","856,706","11,391","11,391","-357,285",0,"-357,285","-20,353","-20,453",100,"275,057",-,"275,057","8,954","-394,556","-394,556",-,"141,387","167,457","175,000","-7,543","-26,070",-,-,-,-,-,-,-,-,-,-,"556,772","54,499","502,273",-,-,-,"-20,453",-,"175,000","-7,543",-,"32,849"
25,3/31/2017,"137,599","137,599","67,621","-3,752",-,-156,24,-,"-3,620","27,887","27,887","22,616","5,271","5,271","6,693","6,693","15,933","-10,985",-,"1,717",-,"8,231",-,"24,254","1,974",-,"1,155","1,155",-,-,150,"-15,078","8,741","27,462","-981,395","-981,395",-,-,"-926,781","-1,728,140","801,359","8,845","8,845","-72,806","32,294","-105,100","-13,254","-15,459","2,205","25,646",-,"25,646","5,800","806,328","806,328",-,"86,658",-442,0,-442,"87,100",-,-,-,-,-,-,-,-,-,-,"502,273","-37,468","539,741",-,-,-,"-15,459",-,0,-442,-,"122,140"
26,12/31/2016,"9,189","9,189","52,690","-14,102",-,-,"-9,164",-,"-4,938","27,552","27,552","22,377","5,175","5,175","46,474","46,474","26,447","-11,694",-,950,-,"16,029",-,"-135,157","-2,087",-,975,975,-,-,-254,"-44,776","-81,795","-7,474","-63,589","-63,589",-,-,"382,752","-813,655","1,196,407","10,538","10,538","-431,662",0,"-431,662","-20,859","-20,859",-,0,0,-,"6,180","98,436","98,436",-,"-134,051","-7,324",0,"-7,324","-126,727",-,-,-,-,-,-,"-3,603","-3,603",-,-,"539,741","44,036","495,705",-,-,-,"-20,859",-,0,"-7,324",-,"-11,670"
27,9/30/2016,"128,767","128,767","51,404","-9,085",-,-,-352,-,"-8,733","27,422","27,422","21,924","5,498","5,498","-4,827","-4,827","-6,977","-9,065",-,"1,367",-,"7,507",-,"71,021","3,328",-,-759,-759,-,-,"-2,286","43,044","36,557","-11,149","-473,565","-473,565",-,-,"-117,105","-1,307,019","1,189,914","8,396","8,396","-301,622","64,337","-365,959","-31,365","-31,365",-,"-28,670",-,-,"5,197","332,934","332,934",-,"-38,750",-238,0,-238,"-38,512",-,-,-,-,-,-,"-3,603","-3,603",-,-,"495,705","-11,864","507,569",-,-,-,"-31,365",-,0,-238,-,"97,402"
28,6/30/2016,"19,327","19,327","69,316","-15,924",-,-,"-12,529",-,"-3,395","27,972","27,972","22,423","5,549","5,549",305,305,"-14,325","-11,658",-,"1,285",-,"4,562",-,"-42,206","5,105",-,"-15,491","-15,491",-,-,300,"-6,246","15,861","-41,435","131,300","131,300",-,-,"421,623","-826,248","1,247,871","7,808","7,808","-271,561",-,"-284,889","-16,022","-16,022",-,"13,198",-,"13,198","-15,938","-100,816","-100,816",-,"110,743","71,417","75,000","-3,583","39,326",-,-,-,-,-,-,"-7,206","-7,206",-,-,"507,569","49,811","457,758",-,-,-,"-16,022",-,"75,000","-3,583",-,"3,305"
29,3/31/2016,"75,157","75,157","52,072","-7,115",-,-,"-4,628",-,"-2,487","27,639","27,639","22,053","5,586","5,586","-8,806","-8,806","-6,439","-12,201",-,"2,599",-,"4,843",-,"22,565",594,-,"2,114","2,114",-,-,324,"-19,678","3,857","35,678","-694,542","-694,542",-,-,"-562,100","-1,139,933","577,833","8,202","8,202","-131,923",-,"-131,923","-13,595","-13,595",-,"14,745",-,"14,745","-1,669","543,057","543,057",-,"167,773","74,932","75,000",-68,"92,841",-,-,-,-,-,-,0,0,-,-,"457,758","-76,328","534,086",-,-,-,"-13,595",-,"75,000",-68,-,"61,562"
30,12/31/2015,"35,510","35,510","42,748","-5,968",-,-,20,-,"-5,772","33,287","33,287","22,158","11,129","11,129","4,491","4,491","17,880","-14,916",-,"-2,187",-,"7,046",-,"-46,871","8,981",-,"2,178","2,178",-,-,-237,"-42,129","-22,619","6,718","-116,643","-116,643",-,-,"314,078","-580,389","894,467","17,486","17,486","-383,315",0,"-383,315","-34,159","-34,159",-,"-22,242",-,0,"8,995","68,775","68,775",-,"-166,287","-1,263",0,"-1,263","-165,024",-,-,-,-,-,-,"-7,206","-7,206",-,-,"534,086","-12,358","546,444",-,-,-,"-34,159",-,0,"-1,263",-,"1,351"
31,9/30/2015,"120,497","120,497","55,958","-7,652",-,-,"-5,564",-,"-2,088","24,710","24,710","21,247","3,463","3,463","19,821","19,821","15,254","-24,488",-,"1,167",-,107,-,"35,620","7,465",-,"2,115","2,115",-,-,115,"14,982","11,992",-934,"-558,715","-558,715",-,-,"-221,455","-452,217","230,762","16,055","16,055","-315,746",-,"-361,608","-23,654","-23,654",-,0,-,0,"2,140","470,258","470,258",-,"266,382","229,850","230,000",-150,"36,532",-,-,-,-,-,-,"-3,603","-3,603",-,-,"546,444","32,040","514,404",-,-,-,"-23,654",-,"230,000",-150,-,"96,843"
32,6/30/2015,"14,317","14,317","47,864",-670,-,-,-147,-,-523,"25,443","25,443","22,347","3,096","3,096","-13,559","-13,559","-23,384","-28,512",-,"1,210",-,"7,719",-,"-1,794","15,635",-,858,858,-,-,"-2,535","-5,137","25,421","-38,571","16,691","16,691",-,-,"414,149","-75,115","489,264","24,597","24,597","-398,183",-,"-398,183","-18,744","-18,744",-,0,-,0,"19,469","-12,505","-12,505",-,"-219,968","-1,343",0,"-1,343","-218,625",-,-,-,-,-,-,"-3,603","-3,603",-,-,"514,404","18,503","495,901",-,-,-,"-18,744",-,0,"-1,343",-,"-4,427"
33,3/31/2015,"62,732","62,732","63,816","-8,594",-,-,"-5,126",-,"-3,468","27,171","27,171","21,965","5,206","5,206","-10,203","-10,203","-36,899","-17,150",-,"1,978",-,"5,792",-,"36,821","2,181",-,"2,286","2,286",-,-,176,"19,380",-336,"13,310","-589,336","-589,336",-,-,"-547,987","-1,360,272","812,285","22,794","22,794","-168,341",-,"-168,341","-13,177","-13,177",-,"123,137",-,"123,137","17,032","418,323","418,323",-,"66,025","116,860","120,000","-3,140","-50,835",-,-,-,-,-,-,"-3,603","-3,603",-,-,"495,901","-108,281","604,182",-,-,-,"-13,177",-,"120,000","-3,140",-,"49,555"
34,12/31/2014,"114,701","114,701","63,283","-32,721",0,-,-,-,"-1,637","29,187","29,187","22,232",-,-,"-10,309","-10,309","12,550","-13,032",-,"4,505",-,"8,305",-,"52,933","17,481",-,"2,278","2,278",-,-,"2,891","-37,808","-26,008","96,990","164,140","164,140",-,-,"463,156","-519,014","982,170","34,007","34,007","-484,447",-,"-484,447","-16,945","-16,945",-,"164,176",-,"164,176","38,200","-75,652","-75,652",-,"-168,966","-52,300",0,"-52,300","-116,666",-,-,0,0,-,-,"-2,886","-2,886",-,-,"604,182","203,189","400,993",-,"15,134","11,985","-16,945",-,0,"-52,300",0,"97,756"
