,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Home Loan Bank Stock,Customer Acceptances,Foreclosed Assets,Other Real Estate Owned,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Receivables,Accounts receivable,Other Receivables,Prepaid Assets,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Defined Pension Benefit,Assets Held for Sale,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Payables And Accrued Expenses,Payables,Other Payable,Current Debt And Capital Lease Obligation,Current Debt,Current Notes Payable,Other Current Borrowings,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
114,9/30/1994,"6,183,500","471,400","378,600",-,-,"378,600","92,800","92,800",-,-,-,-,-,"1,497,300","1,497,300",-,-,"3,867,800","3,939,300",-,-,-,-,"3,939,300","71,500",-,-,-,-,"190,200",-,-,-,-,-,-,-,-,-,-,-,-,"156,800","5,744,700","5,410,800","4,575,800","4,575,800","835,000",-,-,-,-,-,-,"231,500","231,500",-,"231,500","47,900","47,900",-,-,"54,500","438,800","438,800",-,-,-,"346,300",-,-,"92,500","486,700",-,"438,800",-,"438,800","718,200","438,800","279,400",-,"10,192","10,192",-,-
115,6/30/1994,"6,030,700","398,300","377,500",-,-,"377,500","20,800","20,800",-,"45,600",-,-,-,"1,581,200","1,581,200",-,-,"3,710,500","3,781,400",-,-,-,-,"3,781,400","70,900",-,-,-,-,"186,700",-,-,-,-,-,-,-,-,-,-,-,-,"108,400","5,617,700","5,292,800","4,502,300","4,502,300","790,500",-,-,-,-,-,-,"221,800","221,800",-,"221,800","49,900","49,900",-,-,"53,200","413,000","413,000",-,-,-,"336,100",-,-,"76,900","462,900",-,"413,000",-,"413,000","684,700","413,000","271,700",-,"9,867","9,867",-,-
116,3/31/1994,"6,100,600","519,000","376,700",-,-,"376,700","142,300","142,300",-,-,-,-,-,"1,612,700","1,612,700",-,-,"3,613,700","3,684,400",-,-,-,-,"3,684,400","70,700",-,-,-,-,"189,100",-,-,-,-,-,-,-,-,-,-,-,-,"166,100","5,699,700","5,360,200","4,554,400","4,554,400","805,800",-,-,-,-,-,-,"220,300","220,300",-,"220,300","59,400","59,400",-,-,"59,800","400,900","400,900",-,-,-,"325,500",-,-,"75,400","460,300",-,"400,900",-,"400,900","680,600","400,900","279,700",-,"9,709","9,709",-,-
117,12/31/1993,"6,101,000","412,900","392,900",-,-,"392,900","20,000","20,000",-,-,-,-,-,"1,814,800","1,814,800",-,-,"3,514,900","3,584,900",-,-,-,-,"3,584,900","70,000",-,-,-,-,"184,900",-,-,-,-,-,-,-,-,-,-,-,-,"173,500","5,711,900","5,358,200","4,574,200","4,574,200","784,000",-,-,-,-,-,-,"236,500","236,500",-,"236,500","60,300","60,300",-,-,"56,900","389,100","389,100",-,-,-,"317,600",-,-,"71,500","449,400",-,"389,100",-,"389,100","685,900","389,100","296,800",-,"9,766","9,766",-,-
118,9/30/1993,"5,900,300","411,100","320,400",-,-,"320,400","90,700","90,700",-,-,-,-,-,"1,521,900","1,521,900",-,-,"3,620,700","3,691,100",-,-,-,-,"3,691,100","70,400",-,-,-,-,"181,400",-,-,-,-,-,-,-,-,-,-,-,-,"165,200","5,523,500","5,151,400","4,407,700","4,407,700","743,700",-,-,-,-,-,-,"251,900","251,900",-,"251,900","63,400","63,400",-,-,"56,800","376,800","376,800",-,-,-,"305,900",-,-,"70,900","440,200",-,"376,800",-,"376,800","692,100","376,800","315,300",-,"9,751","9,751",-,-
119,6/30/1993,"5,434,400","401,000","353,600",-,-,"353,600","47,400","47,400",-,-,-,-,-,"1,408,600","1,408,600",-,-,"3,320,300","3,381,400",-,-,-,-,"3,381,400","61,100",-,-,-,-,"168,800",-,-,-,-,-,-,-,-,-,-,-,-,"135,700","5,069,300","4,788,000","4,094,200","4,094,200","693,800",-,-,-,-,-,-,"207,300","207,300",-,"207,300","17,300","17,300",-,-,"56,700","365,100","365,100",-,-,-,"295,000",-,-,"70,100","382,400",-,"365,100",-,"365,100","589,700","365,100","224,600",-,"9,736","9,736",-,-
120,3/31/1993,"5,312,700","394,500","283,500",-,-,"283,500","111,000","111,000",-,-,-,-,-,"1,415,800","1,415,800",-,-,"3,203,600","3,263,600",-,-,-,-,"3,263,600","60,000",-,-,-,-,"160,400",-,-,-,-,-,-,-,-,-,-,-,-,"138,400","4,962,400","4,681,600","4,030,600","4,030,600","651,000",-,-,-,-,-,-,"202,700","202,700",-,"202,700","16,800","16,800",-,-,"61,300","350,300","350,300",-,-,-,"281,600",-,-,"68,700","367,100",-,"350,300",-,"350,300","569,800","350,300","219,500",-,"9,709","9,709",-,-
121,12/31/1992,"5,413,800","476,300","366,300",-,-,"366,300","110,000","110,000",-,-,-,-,-,"1,488,700","1,488,700",-,-,"3,149,500","3,207,900",-,-,-,-,"3,207,900","58,400",-,-,-,-,"156,300",-,-,-,-,-,-,-,-,-,-,-,-,"143,000","5,080,000","4,816,600","4,084,900","4,084,900","731,700",-,-,-,-,-,-,"190,300","190,300",-,"190,300","17,500","17,500",-,-,"55,600","333,800","333,800",-,-,-,"268,700",-,-,"65,100","351,300",-,"333,800",-,"333,800","541,600","333,800","207,800",-,"9,608","9,608",-,-
122,9/30/1992,"5,353,400","465,700","345,100",-,-,"345,100","120,600","120,600",-,-,-,-,-,"1,454,300","1,454,300",-,-,"3,103,500","3,161,200",-,-,-,-,"3,161,200","57,700",-,-,-,-,"159,200",-,-,-,-,-,-,-,-,-,-,-,-,"170,700","5,032,000","4,731,500","4,034,400","4,034,400","697,100",-,-,-,-,-,-,"222,000","222,000",-,"222,000","18,000","18,000",-,-,"60,500","321,400","321,400",-,-,-,"258,500",-,-,"62,900","339,400",-,"321,400",-,"321,400","561,400","321,400","240,000",-,"9,465","9,465",-,-
123,6/30/1992,"5,285,300","1,855,100","349,400",-,-,"349,400","1,505,700","1,505,700",-,-,-,-,-,-,-,-,-,"3,121,100","3,178,300",-,-,-,-,"3,178,300","57,200","47,400",-,-,-,"158,600",-,-,-,-,-,-,-,-,-,-,-,-,"103,100","4,977,200","4,677,200","4,024,900","4,024,900","652,300",-,-,-,-,-,-,"218,900","218,900",-,"218,900","18,300","18,300",-,-,"62,800","308,100","308,100",-,-,-,"245,800",-,-,"62,300","326,400",-,"308,100",-,"308,100","545,300","308,100","237,200",-,"9,525","9,525",-,-
124,3/31/1992,"5,346,400","363,900","336,100",-,-,"336,100","27,800","27,800",-,-,-,-,-,"1,536,600","1,536,600",-,-,"3,120,900","3,176,100",-,-,-,-,"3,176,100","55,200",-,-,-,-,"158,700",-,-,-,-,-,-,-,-,-,-,-,-,"166,300","5,051,600","4,752,400","4,116,200","4,116,200","636,200",-,-,-,-,-,-,"209,800","209,800",-,"209,800","18,600","18,600",-,-,"70,800","294,800","294,800",-,-,-,"233,800",-,-,"61,000","313,400",-,"294,800",-,"294,800","523,200","294,800","228,400",-,"9,469","9,469",-,-
125,12/31/1991,"5,465,900","404,500","402,600",-,-,"402,600","1,900","1,900",-,"52,400",-,-,-,"1,686,700","1,686,700",-,-,"3,070,100","3,123,800",-,-,-,-,"3,123,800","53,700",-,-,-,-,"163,100",-,-,-,-,-,-,-,-,-,-,-,-,"89,100","5,182,700","4,824,500","4,197,100","4,197,100","627,400",-,-,-,-,-,-,"272,000","272,000",-,"272,000","19,000","19,000",-,-,"67,200","283,200","283,200",-,-,-,"223,000",-,-,"60,200","302,200",-,"283,200",-,"283,200","574,200","283,200","291,000",-,"9,450","9,450",-,-
126,9/30/1991,"5,437,800","484,600","366,900",-,-,"366,900","117,700","117,700",-,"54,200",-,-,-,"1,616,900","1,616,900",-,-,"3,009,300","3,060,900",-,-,-,-,"3,060,900","51,600",-,-,-,-,"162,500",-,-,-,-,-,-,-,-,-,-,-,-,"110,300","5,161,500","4,815,000","4,174,800","4,174,800","640,200",-,-,-,-,-,-,"248,900","248,900",-,"248,900","25,500","25,500",-,-,"72,100","276,300","276,300",-,-,-,"216,100",-,-,"60,200","301,800",-,"276,300",-,"276,300","550,700","276,300","274,400",-,"9,449","9,449",-,-
127,6/30/1991,"4,857,200","297,700","286,300",-,-,"286,300","11,400","11,400",-,"53,700",-,-,-,"1,550,000","1,550,000",-,-,"2,672,600","2,718,400",-,-,-,-,"2,718,400","45,800",-,-,-,-,"158,600",-,-,-,-,-,-,-,-,-,-,-,-,"124,600","4,591,700","4,278,700","3,678,500","3,678,500","600,200",-,-,-,-,-,-,"220,000","220,000",-,"220,000","29,800","29,800",-,-,"63,200","265,500","265,500",-,-,-,"208,100",-,-,"57,400","295,300",-,"265,500",-,"265,500","515,300","265,500","249,800",-,"9,265","9,265",-,-
128,3/31/1991,"4,850,500","307,900","246,500",-,-,"246,500","61,400","61,400",-,"54,500",-,-,-,"1,576,600","1,576,600",-,-,"2,625,400","2,669,900",-,-,-,-,"2,669,900","44,500",-,-,-,-,"154,300",-,-,-,-,-,-,-,-,-,-,-,-,"131,800","4,591,200","4,284,700","3,703,700","3,703,700","581,000",-,-,-,-,-,-,"199,600","199,600",-,"199,600","32,900","32,900",-,-,"74,000","259,300","259,300",-,-,-,"201,900",-,-,"57,400","292,200",-,"259,300",-,"259,300","491,800","259,300","232,500",-,"9,268","9,268",-,-
129,12/31/1990,"4,824,700","499,900","388,900",-,-,"388,900","111,000","111,000",-,"51,400",-,-,-,"1,441,300","1,441,300",-,-,"2,621,400","2,665,900",-,-,-,-,"2,665,900","44,500",-,-,-,-,"145,000",-,-,-,-,-,-,-,-,-,-,-,-,"65,700","4,568,700","4,281,600","3,632,600","3,632,600","649,000",-,-,-,-,-,-,"182,200","182,200",-,"182,200","30,600","30,600",-,-,"74,300","256,000","256,000",-,-,-,"198,500",-,-,"57,500","286,600",-,"256,000",-,"256,000","468,800","256,000","212,800",-,"9,275","9,275",-,-
