,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Interest Bearing Deposits Assets,Restricted Cash And Investments,Restricted Cash & Cash Equivalents,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Home Loan Bank Stock,Customer Acceptances,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Derivative Assets,Net Loan,Gross Loan,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Prepaid Assets,Net PPE,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Assets Held for Sale,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Payables And Accrued Expenses,Payables,Accounts Payable,Total Tax Payable,Income Tax Payable,Other Payable,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Commercial Paper,Other Current Borrowings,Trading Liabilities,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Provisions,Non Current Deferred Liabilities,Non Current Deferred Revenue,Preferred Securities Outside Stock Equity,Liabilities of Discontinued Operations,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Foreign Currency Translation Adjustments,Other Equity Adjustments,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
51,6/30/2010,"235,693,000","82,997,000","78,544,000",-,-,"78,544,000",-,-,-,"4,453,000","4,453,000",-,-,"3,946,000","60,969,000","7,393,000","49,834,000","3,742,000",-,"2,734,000",-,"36,605,000","37,147,000",-,-,-,"37,147,000","542,000",-,"524,000","524,000","524,000","1,841,000","1,624,000","1,548,000","21,460,000","16,106,000","5,354,000","342,000","31,248,000","204,588,000","143,667,000","101,482,000","101,482,000","42,185,000","2,712,000","14,845,000","10,200,000",-,-,-,-,"4,645,000","7,000","7,000","7,000",-,"8,323,000",-,"18,767,000","18,767,000",-,-,-,-,0,"16,267,000","31,105,000","30,396,000","12,000",-,"12,000","9,875,000","22,073,000","55,000","-1,509,000",-,-,-,"709,000","49,163,000",-,"30,396,000","8,936,000","49,170,000","8,936,000","18,774,000",-,"1,215,949","1,214,042",-,"1,907"
52,3/31/2010,"210,251,000","72,646,000","68,197,000",-,-,"68,197,000",-,-,-,"4,449,000","4,449,000",-,-,-,"61,426,000","5,844,000","51,467,000","4,115,000",-,-,-,"33,367,000","33,887,000",-,-,-,"33,887,000","520,000",-,"748,000","748,000","748,000",-,-,"1,583,000","21,526,000","16,077,000","5,449,000","334,000","18,621,000","179,791,000","131,627,000","101,297,000","101,297,000","30,330,000","3,882,000","14,596,000","10,328,000",-,-,-,-,"4,268,000","7,000","7,000","7,000",-,"6,277,000",-,"17,798,000","17,798,000",-,-,-,-,0,"5,604,000","30,460,000","29,688,000","12,000",-,"12,000","9,343,000","21,994,000","49,000","-1,612,000",-,-,-,"772,000","47,486,000",-,"29,688,000","8,162,000","47,493,000","8,162,000","17,805,000",-,"1,214,642","1,212,941",-,"1,701"
53,12/31/2009,"212,224,000","71,390,000","67,855,000","3,732,000",-,"63,664,000","459,000",-,-,"3,535,000","3,535,000",-,"502,000","3,900,000","57,488,000","1,439,000","51,632,000","4,417,000","51,632,000","2,816,000","4,562,000","30,392,000","33,177,000","10,325,000","721,000","6,100,000","16,031,000","503,000","-2,282,000","11,828,000","4,167,000","639,000","7,661,000","1,803,000","1,602,000","22,432,000","16,249,000","6,183,000","2,242,000","1,267,000","183,221,000","135,050,000","101,573,000","101,573,000","33,477,000","3,348,000","15,205,000","15,205,000","10,721,000","4,484,000","4,484,000",-,"4,484,000","12,000","12,000","12,000","602,000","1,194,000","5,202,000","17,711,000","17,711,000","125,000",-,-,-,"1,608,000","3,766,000","29,003,000","28,977,000","12,000",0,"12,000","8,912,000","21,917,000","29,000","-1,835,000",-,-,-,"26,000","46,688,000",-,"28,977,000","6,545,000","46,700,000","6,545,000","17,723,000",-,"1,208,862","1,207,835",-,"1,027"
54,9/30/2009,"212,007,000","71,621,000","67,713,000","3,333,000","15,031,000","64,380,000",-,-,-,"3,908,000","3,908,000",-,-,-,"62,302,000","7,952,000","48,032,000","6,318,000","48,032,000",-,-,"35,813,000","36,269,000",-,-,-,"36,269,000","456,000",-,"699,000","699,000","699,000",-,-,"1,682,000","21,596,000","16,022,000","5,574,000","2,000,000","16,294,000","183,691,000","133,936,000","103,169,000","103,169,000","30,767,000","2,553,000","14,313,000","14,313,000","10,458,000","3,855,000","3,855,000",-,"3,855,000","163,000","163,000","163,000","1,280,000","7,824,000",-,"18,766,000","18,766,000",-,-,-,-,"1,564,000","4,572,000","28,316,000","28,295,000","12,000",0,"12,000","8,462,000","21,794,000","26,000","-1,947,000",-,-,-,"21,000","47,061,000",-,"28,295,000","6,699,000","47,224,000","6,699,000","18,929,000",-,"1,205,155","1,204,244",-,910.677
55,6/30/2009,"203,012,000","67,334,000","63,646,000","3,783,000","16,494,000","59,863,000",-,-,-,"3,688,000","3,688,000",-,-,-,"56,549,000","7,611,000","42,126,000","6,812,000","42,126,000",-,-,"37,800,000","38,234,000",-,-,-,"38,234,000","434,000",-,"529,000","529,000","529,000",-,-,"1,685,000","21,717,000","16,040,000","5,677,000","2,137,000","15,261,000","175,708,000","130,589,000","94,534,000","94,534,000","36,055,000","2,058,000","11,282,000","11,282,000","8,492,000","2,790,000","2,790,000",-,"2,790,000","272,000","272,000","272,000","1,345,000","6,889,000",-,"18,708,000","18,708,000",-,-,-,-,"1,607,000","4,303,000","27,304,000","27,276,000","12,000",0,"12,000","11,028,000","21,867,000","23,000","-5,608,000",-,-,-,"28,000","45,984,000",-,"27,276,000","5,559,000","46,256,000","5,559,000","18,980,000",-,"1,203,652","1,202,828",-,823.823
56,3/31/2009,"203,478,000","77,519,000","74,971,000",-,-,"74,971,000",-,-,-,"2,548,000","2,548,000",-,-,-,"46,199,000","8,836,000","30,378,000","6,985,000",-,-,-,"41,018,000","41,488,000",-,-,-,"41,488,000","470,000",-,"500,000","500,000","500,000",-,-,"1,718,000","21,522,000","15,805,000","5,717,000",-,"15,002,000","175,241,000","133,594,000","104,328,000","104,328,000","29,266,000","1,605,000","11,795,000","8,415,000",-,-,-,-,"3,380,000","279,000","279,000","279,000",-,"6,739,000",-,"16,967,000","16,967,000",-,-,-,-,-,"4,262,000","28,237,000","28,210,000","2,807,000","2,795,000","12,000","10,953,000","20,452,000","12,000","-5,990,000",-,-,-,"27,000","45,177,000","2,795,000","25,415,000","6,688,000","42,661,000","3,893,000","17,246,000",-,"1,153,877","1,153,450",-,427.837
57,12/31/2008,"237,009,000","99,285,000","97,285,000","4,881,000","58,159,000","92,404,000","1,275,000",-,-,"2,000,000","2,000,000",-,"265,000",-,"56,166,000","11,102,000","47,485,000","7,371,000","37,693,000","2,421,000",-,"42,979,000","43,394,000","16,732,000",-,"7,498,000","43,394,000","415,000",-,"619,000","619,000","619,000","4,006,000","793,000","1,686,000","21,754,000","15,898,000","5,856,000",-,"14,520,000","208,959,000","159,673,000","103,857,000","103,857,000","55,816,000","1,372,000","13,053,000","13,053,000","9,274,000","3,779,000","3,779,000",-,-,"138,000","138,000","138,000","755,000","8,085,000",-,"16,620,000","16,620,000","114,000",-,-,-,-,"10,018,000","28,050,000","28,050,000","2,797,000","2,786,000","11,000","10,250,000","20,432,000","3,000","-5,426,000","-363,000","-5,063,000",-,-,"44,670,000","2,786,000","25,264,000","6,296,000","42,022,000","3,510,000","16,758,000",-,"1,147,607","1,147,567",-,40.262
58,9/30/2008,"267,510,000","105,320,000","97,561,000",-,"45,339,000","52,222,000",-,-,-,"7,759,000","7,759,000",-,"253,000",-,"63,050,000","8,091,000","54,959,000",-,-,-,-,"58,677,000","59,042,000",-,-,-,"59,042,000","365,000",-,"6,205,000","738,000","738,000","5,467,000",-,"1,678,000","22,958,000",-,-,-,"9,369,000","239,997,000","174,168,000","92,441,000","92,441,000","81,727,000","6,467,000","16,105,000","16,105,000","10,971,000","5,134,000","5,134,000",-,-,"10,908,000","10,908,000",-,"10,908,000",-,-,"18,457,000","18,457,000",-,-,-,-,-,"13,892,000","27,513,000","27,513,000","11,000",-,"11,000","10,438,000","20,212,000","33,000","-3,115,000",-,-,-,-,"45,970,000",-,"27,513,000","4,555,000","56,878,000","4,555,000","29,365,000",-,"1,148,509","1,147,567",-,942.777
59,6/30/2008,"201,225,000","59,984,000","43,886,000",-,"5,990,000","37,896,000",-,-,-,"16,098,000","16,098,000",-,"193,000",-,"50,328,000","5,992,000","44,336,000",-,-,-,-,"50,215,000","50,568,000",-,-,-,"50,568,000","353,000",-,"4,757,000","510,000","510,000","4,247,000",-,"1,698,000","23,405,000",-,-,-,"10,645,000","172,656,000","127,204,000","96,294,000","96,294,000","30,910,000","2,488,000","15,900,000","15,900,000","9,596,000","6,304,000","6,304,000",-,-,-,-,-,-,-,-,"17,079,000","17,079,000",-,-,-,-,-,"9,985,000","28,569,000","28,569,000","11,000",-,"11,000","10,463,000","20,126,000","112,000","-1,919,000",-,-,-,-,"45,648,000",-,"28,569,000","5,164,000","45,648,000","5,164,000","17,079,000",-,"1,148,499","1,146,070",-,"2,429"
60,3/31/2008,"204,935,000","57,302,000","45,404,000",-,-,"45,404,000",-,-,-,"11,898,000","11,898,000",-,-,-,"53,138,000","7,619,000","43,403,000","2,116,000",-,-,-,"51,778,000","52,092,000",-,"52,092,000",-,-,"314,000",-,"723,000","723,000","723,000",-,-,"1,714,000","22,934,000","16,581,000","6,353,000",-,"17,346,000","176,460,000","127,210,000","98,764,000","98,764,000","28,446,000","2,963,000","14,210,000","14,210,000","7,727,000","6,483,000","6,483,000",-,-,"31,000","31,000","31,000",-,"5,902,000",-,"20,372,000","20,372,000",-,-,-,-,-,"5,772,000","28,475,000","28,475,000","11,000",-,"11,000","10,435,000","20,078,000","212,000","-1,837,000",-,-,-,-,"48,847,000",-,"28,475,000","5,541,000","48,878,000","5,541,000","20,403,000",-,"1,143,818","1,143,818",-,-
61,12/31/2007,"197,656,000","50,566,000","41,458,000","6,635,000","6,635,000","34,312,000","511,000",-,-,"9,108,000","9,108,000",-,"81,000",-,"55,118,000","6,420,000","48,698,000","2,180,000","46,518,000","2,400,000",-,"45,637,000","45,964,000","20,455,000",-,"6,220,000","19,289,000","327,000",-,"10,595,000","5,628,000","739,000","4,967,000","1,986,000","1,731,000","23,252,000","16,331,000","6,921,000",0,"6,290,000","168,253,000","118,125,000","85,753,000","85,753,000","32,372,000","2,193,000","15,679,000","15,679,000","7,578,000","8,101,000","8,101,000",-,-,"4,079,000","4,079,000","4,079,000","2,007,000","4,577,000",-,"18,713,000","18,713,000","167,000",-,-,-,0,"4,720,000","29,403,000","29,403,000","11,000",-,"11,000","10,015,000","19,990,000","39,000","-574,000","11,000","-585,000",-,-,"48,116,000",-,"29,403,000","6,151,000","52,195,000","6,151,000","22,792,000",-,"1,145,983","1,145,983",-,-
62,9/30/2007,"183,972,000","38,362,000","34,168,000",-,"6,010,000","28,158,000",-,-,-,"4,194,000","4,194,000",-,"234,000",-,"53,972,000","6,890,000","47,082,000",-,-,-,-,"50,524,000","50,856,000",-,-,-,"50,856,000","332,000",-,"4,726,000","655,000","655,000","4,071,000",-,"1,701,000","22,318,000",-,-,-,"12,135,000","155,015,000","108,205,000","80,916,000","80,916,000","27,289,000","2,929,000","15,759,000","15,759,000","7,917,000","7,842,000","7,842,000",-,-,-,-,-,-,-,-,"16,424,000","16,424,000",-,-,-,-,-,"11,698,000","28,957,000","28,957,000","11,000",-,"11,000","9,773,000","19,713,000","49,000","-491,000",-,-,-,-,"45,381,000",-,"28,957,000","6,639,000","45,381,000","6,639,000","16,424,000",-,"1,138,682","1,138,682",-,-
63,6/30/2007,"126,333,000","38,145,000","26,147,000",-,"3,265,000","22,882,000",-,-,-,"11,998,000","11,998,000",-,"238,000",-,"31,497,000","3,374,000","28,123,000",-,-,-,-,"38,122,000","38,404,000",-,-,-,"38,404,000","282,000",-,"4,807,000","480,000","480,000","4,327,000",-,"1,119,000","6,953,000",-,-,-,"5,452,000","114,504,000","81,353,000","60,734,000","60,734,000","20,619,000","1,543,000","12,130,000","12,130,000","7,900,000","4,230,000","4,230,000",-,-,-,-,-,-,-,-,"12,605,000","12,605,000",-,-,-,-,-,"6,873,000","11,829,000","11,829,000","10,000",-,"10,000","9,571,000","10,203,000","7,544,000","-411,000",-,-,-,-,"24,434,000",-,"11,829,000","4,876,000","24,434,000","4,876,000","12,605,000",-,"1,137,851","1,137,851",-,-
64,3/31/2007,"99,848,000","17,345,000","15,633,000",-,"2,159,000","13,474,000",-,-,-,"1,712,000","1,712,000",-,-,-,"27,371,000","3,675,000","23,696,000",-,-,-,-,"37,999,000","38,289,000",-,-,-,"38,289,000","290,000",-,"409,000","409,000","409,000",-,-,"1,064,000","6,578,000",-,-,-,"9,082,000","88,321,000","59,016,000","41,747,000","41,747,000","17,269,000","773,000","10,892,000","10,892,000","6,739,000","4,153,000","4,153,000",-,-,-,-,-,-,-,-,"11,299,000","11,299,000",-,-,-,-,-,"6,341,000","11,527,000","11,527,000","7,909,000",-,"7,909,000","9,294,000","2,203,000","7,539,000","-340,000",-,-,-,-,"22,826,000",-,"11,527,000","4,949,000","22,826,000","4,949,000","11,299,000",-,"758,324","758,324",-,-
65,12/31/2006,"103,370,000","21,450,000","16,336,000","2,840,000","2,840,000","13,172,000","324,000",-,-,"5,114,000","5,114,000",-,"213,000",-,"27,507,000","5,544,000","857,000","1,729,000","19,377,000",-,-,"32,008,000","32,295,000","13,778,000","266,000","4,521,000","13,730,000","287,000",-,"9,363,000","3,865,000","422,000","5,498,000","858,000","1,050,000","7,013,000","5,172,000","1,841,000","18,000","3,890,000","91,777,000","62,146,000","42,592,000","42,592,000","19,554,000","790,000","12,595,000","12,595,000","7,466,000","5,129,000","5,129,000","7,266,000",-,"1,775,000","1,775,000",-,"1,775,000","2,507,000",-,"10,398,000","10,398,000","150,000",-,-,-,"64,000","3,127,000","11,593,000","11,593,000","7,903,000",-,"7,903,000","9,444,000","2,142,000","7,576,000","-317,000",-,-,"-3,000",-,"21,991,000",-,"11,593,000","4,580,000","21,991,000","4,580,000","10,398,000",-,"755,861","755,861",-,-
66,9/30/2006,"106,636,000","23,964,000","18,825,000",-,"2,072,000","16,753,000",-,-,-,"5,139,000","5,139,000",-,"311,000",-,"25,281,000","3,266,000","22,015,000",-,-,-,-,"33,619,000","33,958,000",-,-,-,"33,958,000","339,000",-,"406,000","406,000","406,000",-,-,"1,009,000","4,673,000",-,-,-,"17,373,000","96,169,000","54,953,000","43,502,000","43,502,000","11,451,000","1,040,000","11,014,000","11,014,000","201,000","4,140,000","4,140,000","6,673,000",-,"1,121,000","1,121,000",-,"1,121,000",-,-,"8,434,000","8,434,000",-,-,-,-,-,"19,607,000","10,467,000","10,467,000","7,874,000",-,"7,874,000","7,820,000","2,015,000","7,169,000","-73,000",-,-,-,-,"18,901,000",-,"10,467,000","5,794,000","20,022,000","5,794,000","9,555,000",-,"764,196","764,196",-,-
67,6/30/2006,"108,881,000","17,223,000","14,988,000",-,"3,010,000","11,978,000",-,-,-,"2,235,000","2,235,000",-,"210,000",-,"33,420,000","6,065,000","27,355,000",-,-,-,-,"35,313,000","35,650,000",-,-,-,"35,650,000","337,000",-,"394,000","394,000","394,000",-,-,"963,000","4,669,000",-,-,-,"16,689,000","98,825,000","56,741,000","40,811,000","40,811,000","15,930,000","1,177,000","10,694,000","10,694,000","192,000","3,864,000","3,864,000","6,638,000",-,"1,026,000","1,026,000",-,"1,026,000",-,-,"8,207,000","8,207,000",-,-,-,-,-,"20,980,000","10,056,000","10,056,000","7,867,000",-,"7,867,000","7,636,000","1,965,000","7,174,000","-238,000",-,-,-,-,"18,263,000",-,"10,056,000","5,387,000","19,289,000","5,387,000","9,233,000",-,"762,983","762,983",-,-
68,3/31/2006,"103,611,000","15,824,000","11,043,000",-,"3,408,000","7,635,000",-,-,-,"4,781,000","4,781,000",-,"272,000",-,"34,417,000","7,129,000","27,288,000",-,-,-,-,"39,635,000","40,054,000",-,-,-,"40,054,000","419,000",-,"378,000","378,000","378,000",-,-,"1,059,000","4,744,000",-,-,-,"7,282,000","93,510,000","65,224,000","48,335,000","48,335,000","16,889,000","903,000","11,403,000","11,403,000","171,000","3,676,000","3,676,000","7,556,000",-,"1,158,000","1,158,000",-,"1,158,000",-,-,"8,309,000","8,309,000",-,-,-,-,-,"6,513,000","10,101,000","10,101,000","7,857,000",-,"7,857,000","7,347,000","1,904,000","6,811,000","-196,000",-,-,-,-,"18,410,000",-,"10,101,000","5,357,000","19,568,000","5,357,000","9,467,000",-,"771,764","771,764",-,-
69,12/31/2005,"102,074,000","14,584,000","12,159,000",-,"3,515,000","8,644,000",-,-,-,"2,425,000","2,425,000",-,"233,000",-,"33,256,000","5,930,000","27,326,000",-,-,-,-,"40,315,000","40,726,000",-,-,-,"40,726,000","411,000",-,"391,000","391,000","391,000",-,-,"1,060,000","4,430,000",-,-,-,"7,805,000","92,198,000","64,424,000","46,188,000","46,188,000","18,236,000","834,000","12,919,000","12,919,000","172,000","4,124,000","4,124,000","8,623,000",-,"860,000","860,000",-,"860,000",-,-,"7,817,000","7,817,000",-,-,-,-,-,"5,344,000","9,876,000","9,876,000","7,838,000",-,"7,838,000","7,089,000","1,826,000","6,736,000","-141,000",-,-,-,-,"17,693,000",-,"9,876,000","5,446,000","18,553,000","5,446,000","8,677,000",-,"771,332","771,332",-,-
70,9/30/2005,"101,766,000","14,123,000","10,551,000",-,"3,493,000","7,058,000",-,-,-,"3,572,000","3,572,000",-,"175,000",-,"32,522,000","6,292,000","26,230,000",-,-,-,-,"41,582,000","42,143,000",-,-,-,"42,143,000","561,000",-,"357,000","357,000","357,000",-,-,"1,040,000","4,426,000",-,-,-,"7,541,000","92,158,000","61,077,000","44,788,000","44,788,000","16,289,000","3,349,000","12,787,000","12,787,000","132,000","4,552,000","4,552,000","8,103,000",-,"1,270,000","1,270,000",-,"1,270,000",-,-,"7,529,000","7,529,000",-,-,-,-,-,"6,146,000","9,608,000","9,608,000","7,866,000",-,"7,866,000","6,846,000","1,865,000","6,852,000","-117,000",-,-,-,-,"17,137,000",-,"9,608,000","5,182,000","18,407,000","5,182,000","8,799,000",-,"770,216","770,216",-,-
71,6/30/2005,"103,063,000","17,212,000","10,018,000",-,"2,957,000","7,061,000",-,-,-,"7,194,000","7,194,000",-,"120,000",-,"32,411,000","6,632,000","25,779,000",-,-,-,-,"40,119,000","40,681,000",-,-,-,"40,681,000","562,000",-,"331,000","331,000","331,000",-,-,"1,050,000","4,277,000",-,-,-,"7,543,000","93,592,000","63,997,000","45,512,000","45,512,000","18,485,000","1,415,000","13,212,000","13,212,000","123,000","4,442,000","4,442,000","8,647,000",-,"1,058,000","1,058,000",-,"1,058,000",-,-,"7,586,000","7,586,000",-,-,-,-,-,"6,324,000","9,471,000","9,471,000","7,858,000",-,"7,858,000","6,618,000","1,820,000","6,791,000","-34,000",-,-,-,-,"17,057,000",-,"9,471,000","5,194,000","18,115,000","5,194,000","8,644,000",-,"771,101","771,101",-,-
72,3/31/2005,"96,537,000","15,484,000","11,399,000",-,"2,597,000","8,802,000",-,-,-,"4,085,000","4,085,000",-,"138,000",-,"29,030,000","5,123,000","23,907,000",-,-,-,-,"38,181,000","38,764,000",-,-,-,"38,764,000","583,000",-,"313,000","313,000","313,000",-,-,"1,070,000","4,280,000",-,-,-,"8,041,000","87,202,000","58,963,000","43,389,000","43,389,000","15,574,000","879,000","12,990,000","12,990,000","114,000","4,192,000","4,192,000","8,684,000",-,"906,000","906,000",-,"906,000",-,-,"7,389,000","7,389,000",-,-,-,-,-,"6,075,000","9,335,000","9,335,000","7,847,000",-,"7,847,000","6,374,000","1,790,000","6,579,000","-97,000",-,-,-,-,"16,724,000",-,"9,335,000","5,055,000","17,630,000","5,055,000","8,295,000",-,"776,887","776,887",-,-
73,12/31/2004,"94,529,000","17,786,000","12,078,000",-,"3,886,000","8,192,000",-,-,-,"5,708,000","5,708,000",-,"137,000",-,"28,429,000","4,627,000","23,802,000",-,-,-,-,"35,190,000","35,781,000",-,-,-,"35,781,000","591,000",-,"285,000","285,000","285,000",-,-,"1,097,000","4,270,000",-,-,-,"7,335,000","85,239,000","58,721,000","41,279,000","41,279,000","17,442,000","1,205,000","13,229,000","13,229,000","113,000","4,452,000","4,452,000","8,664,000",-,"833,000","833,000",-,"833,000",-,-,"5,821,000","5,821,000",-,-,-,-,-,"5,430,000","9,290,000","9,290,000","7,836,000",-,"7,836,000","6,162,000","1,790,000","6,492,000","-6,000",-,-,-,-,"15,111,000",-,"9,290,000","5,020,000","15,944,000","5,020,000","6,654,000",-,"778,121","778,121",-,-
74,9/30/2004,"93,175,000","16,991,000","11,913,000",-,"3,057,000","8,856,000",-,-,-,"5,078,000","5,078,000",-,"238,000",-,"27,267,000","4,021,000","23,246,000",-,-,-,-,"36,521,000","37,119,000",-,-,-,"37,119,000","598,000",-,"356,000","356,000","356,000",-,-,"1,426,000","4,170,000",-,-,-,"6,206,000","84,121,000","58,440,000","42,904,000","42,904,000","15,536,000","1,174,000","12,128,000","12,128,000","174,000","4,222,000","4,222,000","7,732,000",-,"851,000","851,000",-,"851,000",-,-,"6,137,000","6,137,000",-,-,-,-,-,"5,391,000","9,054,000","9,054,000","7,831,000",-,"7,831,000","5,964,000","1,736,000","6,504,000","27,000",-,-,-,-,"15,191,000",-,"9,054,000","4,884,000","16,042,000","4,884,000","6,988,000",-,"778,000","778,000",-,-
75,6/30/2004,"97,536,000","21,039,000","12,948,000",-,"3,102,000","9,846,000",-,-,-,"8,091,000","8,091,000",-,"311,000",-,"26,448,000","3,462,000","22,986,000",-,-,-,-,"37,607,000","38,205,000",-,-,-,"38,205,000","598,000",-,"277,000","277,000","277,000",-,-,"1,404,000","4,165,000",-,-,-,"6,285,000","88,751,000","61,060,000","44,941,000","44,941,000","16,119,000","1,315,000","13,612,000","13,612,000","136,000","4,037,000","4,037,000","9,439,000",-,"1,100,000","1,100,000",-,"1,100,000",-,-,"6,025,000","6,025,000",-,-,-,-,-,"5,639,000","8,785,000","8,785,000","7,825,000",-,"7,825,000","5,764,000","1,696,000","6,446,000","-54,000",-,-,-,-,"14,810,000",-,"8,785,000","4,620,000","15,910,000","4,620,000","7,125,000",-,"778,027","778,027",-,-
76,3/31/2004,"92,652,000","16,293,000","12,518,000",-,"2,615,000","9,903,000",-,-,-,"3,775,000","3,775,000",-,"263,000",-,"28,392,000","4,309,000","24,083,000",-,-,-,-,"35,438,000","36,070,000",-,-,-,"36,070,000","632,000",-,"309,000","309,000","309,000",-,-,"1,388,000","4,142,000",-,-,-,"6,427,000","83,892,000","56,082,000","41,692,000","41,692,000","14,390,000","869,000","14,208,000","14,208,000","158,000","4,116,000","4,116,000","9,934,000",-,"855,000","855,000",-,"855,000",-,-,"6,276,000","6,276,000",-,-,-,-,-,"5,602,000","8,760,000","8,760,000","7,818,000",-,"7,818,000","5,548,000","1,668,000","6,431,000","157,000",-,-,-,-,"15,036,000",-,"8,760,000","4,618,000","15,891,000","4,618,000","7,131,000",-,"774,468","774,468",-,-
77,12/31/2003,"92,397,000","16,958,000","12,129,000",-,"3,843,000","8,286,000",-,-,-,"4,829,000","4,829,000",-,"170,000",-,"28,309,000","5,406,000","22,903,000",-,-,-,-,"34,615,000","35,283,000",-,-,-,"35,283,000","668,000",-,"214,000","214,000","214,000",-,-,"1,398,000","4,092,000",-,-,-,"6,641,000","83,969,000","56,406,000","41,617,000","41,617,000","14,789,000","1,039,000","14,530,000","14,530,000","82,000","4,256,000","4,256,000","10,192,000",-,"834,000","834,000",-,"834,000",-,-,"6,121,000","6,121,000",-,-,-,-,-,"5,039,000","8,428,000","8,428,000","7,800,000",-,"7,800,000","5,330,000","1,647,000","6,420,000","71,000",-,-,-,-,"14,549,000",-,"8,428,000","4,336,000","15,383,000","4,336,000","6,955,000",-,"775,319","775,319",-,-
78,9/30/2003,"95,193,000","15,734,000","9,051,000",-,"3,730,000","5,321,000",-,-,-,"6,683,000","6,683,000",-,"233,000",-,"29,751,000","6,889,000","22,862,000",-,-,-,-,"36,723,000","37,540,000",-,-,-,"37,540,000","817,000",-,"279,000","279,000","279,000",-,-,"1,088,000","3,972,000",-,-,-,"7,413,000","86,970,000","58,943,000","42,558,000","42,558,000","16,385,000","959,000","14,394,000","14,394,000","125,000","4,099,000","4,099,000","10,170,000",-,"987,000","987,000",-,"987,000",-,-,"6,298,000","6,298,000",-,-,-,-,-,"5,389,000","8,223,000","8,223,000","7,793,000",-,"7,793,000","5,168,000","1,594,000","6,434,000","102,000",-,-,-,-,"14,521,000",-,"8,223,000","4,251,000","15,508,000","4,251,000","7,285,000",-,"772,586","772,586",-,-
79,6/30/2003,"99,604,000","23,143,000","11,067,000",-,"4,323,000","6,744,000",-,-,-,"12,076,000","12,076,000",-,"191,000",-,"26,644,000","6,252,000","20,392,000",-,-,-,-,"36,972,000","37,796,000",-,-,-,"37,796,000","824,000",-,"244,000","244,000","244,000",-,-,"1,108,000","3,973,000",-,-,-,"7,329,000","91,491,000","64,655,000","48,249,000","48,249,000","16,406,000","1,035,000","13,582,000","13,582,000","142,000","4,033,000","4,033,000","9,407,000",-,"916,000","916,000",-,"916,000",-,-,"6,515,000","6,515,000",-,-,-,-,-,"4,788,000","8,113,000","8,113,000","7,791,000",-,"7,791,000","5,053,000","1,564,000","6,450,000","155,000",-,-,-,-,"14,628,000",-,"8,113,000","4,140,000","15,544,000","4,140,000","7,431,000",-,"772,906","772,906",-,-
80,3/31/2003,"79,548,000","11,278,000","8,513,000",-,"4,453,000","4,060,000",-,-,-,"2,765,000","2,765,000",-,"256,000",-,"27,366,000","7,767,000","19,599,000",-,-,-,-,"30,905,000","31,735,000",-,-,-,"31,735,000","830,000",-,"244,000","244,000","244,000",-,-,"977,000","2,620,000",-,-,-,"5,902,000","72,674,000","56,944,000","43,316,000","43,316,000","13,628,000","452,000","4,026,000","4,026,000","115,000","3,911,000","3,911,000",-,-,"998,000","998,000",-,"998,000",-,-,"5,685,000","5,685,000",-,-,-,-,-,"4,569,000","6,874,000","6,874,000","7,481,000",-,"7,481,000","4,894,000","848,000","6,468,000","119,000",-,-,-,-,"12,559,000",-,"6,874,000","4,254,000","13,557,000","4,254,000","6,683,000",-,"730,778","730,778",-,-
81,12/31/2002,"77,564,000","11,237,000","9,852,000",-,"4,748,000","5,104,000",-,-,-,"1,385,000","1,385,000",-,"351,000",-,"25,609,000","7,309,000","18,300,000",-,-,-,-,"30,508,000","31,339,000",-,-,-,"31,339,000","831,000",-,"204,000","204,000","204,000",-,-,"975,000","2,575,000",-,-,-,"6,105,000","70,880,000","55,387,000","42,086,000","42,086,000","13,301,000","636,000","4,167,000","4,167,000","101,000","4,066,000","4,066,000",-,-,"625,000","625,000",-,"625,000",-,-,"5,440,000","5,440,000",-,-,-,-,-,"4,625,000","6,684,000","6,684,000","7,453,000",-,"7,453,000","4,736,000","847,000","6,483,000","131,000",-,-,-,-,"12,124,000",-,"6,684,000","4,109,000","12,749,000","4,109,000","6,065,000",-,"726,456","726,456",-,-
