,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Interest Bearing Deposits Assets,Restricted Cash And Investments,Restricted Cash & Cash Equivalents,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Home Loan Bank Stock,Customer Acceptances,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Derivative Assets,Net Loan,Gross Loan,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Prepaid Assets,Net PPE,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Assets Held for Sale,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Payables And Accrued Expenses,Payables,Accounts Payable,Total Tax Payable,Income Tax Payable,Other Payable,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Commercial Paper,Other Current Borrowings,Trading Liabilities,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Provisions,Non Current Deferred Liabilities,Non Current Deferred Revenue,Preferred Securities Outside Stock Equity,Liabilities of Discontinued Operations,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Foreign Currency Translation Adjustments,Other Equity Adjustments,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
10,9/30/2020,"428,398,000","158,963,000","129,316,000","4,104,000",-,"125,212,000",-,-,-,"29,647,000","29,647,000","486,000",-,"5,276,000","166,906,000","8,925,000","48,806,000","45,004,000","64,171,000","1,190,000","4,205,000","54,091,000","54,413,000","12,953,000","15,926,000","6,415,000","19,119,000","322,000",-,"5,445,000","4,038,000",-,"1,407,000","2,121,000","3,617,000","22,215,000","17,357,000","4,858,000",-,"3,883,000","383,051,000","296,312,000","216,842,000","216,842,000","79,470,000","15,907,000","28,861,000","28,861,000","23,514,000","5,347,000","5,347,000","23,514,000",-,"671,000","671,000","671,000","555,000","3,488,000","3,593,000","26,541,000","26,541,000","135,000",-,-,"179,000",-,"7,543,000","45,347,000","44,917,000","4,546,000","4,532,000","14,000","33,821,000","27,741,000","19,832,000","-1,359,000",-,-,-,"430,000","71,458,000","4,532,000","40,385,000","22,702,000","67,597,000","18,170,000","27,212,000",-,"1,381,651","886,136","23,300","495,515"
11,6/30/2020,"442,316,000","172,187,000","135,549,000","4,776,000",-,"130,773,000",-,-,-,"36,638,000","36,638,000","484,000",-,"5,245,000","167,141,000","9,954,000","45,367,000","41,070,000","70,750,000","1,146,000","4,333,000","54,070,000","54,369,000","13,198,000","15,875,000","6,678,000","18,618,000","299,000",-,"5,163,000","3,944,000",-,"1,219,000","2,089,000","3,598,000","22,076,000","17,253,000","4,823,000",-,"4,784,000","398,350,000","305,470,000","227,370,000","227,370,000","78,100,000","14,512,000","30,041,000","30,041,000","25,012,000","5,029,000","5,029,000","25,012,000",-,"665,000","665,000","665,000","1,780,000","2,684,000","3,875,000","29,194,000","29,194,000","152,000",-,-,"157,000",-,"11,757,000","43,966,000","43,697,000","4,546,000","4,532,000","14,000","33,224,000","27,702,000","19,832,000","-1,943,000",-,-,-,"269,000","72,891,000","4,532,000","39,165,000","21,621,000","69,024,000","17,089,000","29,859,000",-,"1,381,362","885,862","23,300","495,500"
12,3/31/2020,"468,155,000","201,661,000","174,298,000","5,091,000",-,"169,207,000",-,-,-,"27,363,000","27,363,000","486,000",-,"5,240,000","152,420,000","12,918,000","139,502,000","36,547,000","60,441,000","1,091,000","5,883,000","62,228,000","62,368,000","17,651,000","16,259,000","6,923,000","62,368,000","140,000",-,"576,000","576,000",-,"1,088,000","2,017,000","3,514,000","20,310,000","17,240,000","3,070,000",-,"27,446,000","426,776,000","336,717,000","240,117,000","240,117,000","96,600,000","13,128,000","28,721,000","28,721,000","24,016,000","4,705,000","4,705,000","24,016,000",-,"1,121,000","1,121,000","1,121,000","1,544,000","6,625,000","6,290,000","29,038,000","29,038,000","148,000",-,-,"140,000",-,"11,426,000","41,379,000","41,145,000","3,556,000","3,542,000","14,000","32,601,000","27,644,000","19,829,000","-2,827,000",-,-,-,"234,000","70,183,000","3,542,000","37,603,000","20,835,000","67,762,000","17,293,000","30,159,000",-,"1,380,882","885,443","23,300","495,439"
13,12/31/2019,"381,508,000","144,865,000","114,683,000","4,830,000",-,"109,853,000",-,-,-,"30,182,000","30,182,000","488,000",-,"5,219,000","136,849,000","13,571,000","123,278,000","33,329,000","57,763,000","1,102,000","3,242,000","54,831,000","54,953,000","14,267,000","16,190,000","6,076,000","54,953,000","122,000",-,"624,000","624,000",-,"1,498,000","1,955,000","3,625,000","20,493,000","17,386,000","3,107,000",-,"20,221,000","339,780,000","259,466,000","201,836,000","201,836,000","57,630,000","11,401,000","24,400,000","24,400,000","18,758,000","5,642,000","5,642,000","18,758,000",-,"3,959,000","3,959,000","3,959,000","599,000","4,841,000","3,791,000","28,100,000","28,100,000",-,-,-,"143,000",-,"7,613,000","41,728,000","41,483,000","3,556,000","3,542,000","14,000","31,894,000","27,515,000","18,844,000","-2,638,000",-,-,-,"245,000","69,583,000","3,542,000","37,941,000","20,990,000","70,000,000","17,448,000","32,059,000",-,"1,374,443","900,683","23,300","473,760"
14,9/30/2019,"373,168,000","139,669,000","95,946,000","6,718,000",-,"89,228,000",-,-,-,"43,723,000","43,723,000","488,000",-,"5,179,000","132,901,000","10,180,000","122,721,000","32,186,000","58,438,000","1,178,000","3,526,000","54,754,000","54,881,000","15,107,000","15,856,000","5,830,000","54,881,000","127,000",-,"596,000","596,000",-,"1,637,000","1,940,000","3,149,000","20,372,000","17,248,000","3,124,000",-,"21,727,000","331,698,000","249,660,000","194,208,000","194,208,000","55,452,000","11,796,000","23,445,000","23,445,000","18,364,000","5,081,000","5,081,000","18,364,000",-,"3,538,000","3,538,000","3,538,000","820,000","4,756,000","3,152,000","28,692,000","28,692,000",-,-,-,"147,000",-,"9,811,000","41,470,000","41,120,000","3,556,000","3,542,000","14,000","30,789,000","27,471,000","17,803,000","-2,893,000",-,-,-,"350,000","69,812,000","3,542,000","37,578,000","20,748,000","69,808,000","17,206,000","32,230,000",-,"1,373,783","922,199","23,300","451,584"
15,6/30/2019,"381,168,000","151,948,000","90,747,000","5,556,000",-,"85,191,000",-,-,-,"61,201,000","61,201,000","536,000",-,"4,970,000","129,108,000","8,629,000","120,479,000","32,578,000","57,767,000","1,156,000","2,985,000","52,250,000","52,396,000","13,259,000","15,669,000","5,748,000","52,396,000","146,000",-,"658,000","658,000",-,"1,964,000","1,983,000","2,970,000","20,497,000","17,337,000","3,160,000",-,"23,737,000","339,333,000","252,877,000","194,622,000","194,622,000","58,255,000","11,757,000","23,991,000","23,991,000","18,946,000","5,045,000","5,045,000","18,946,000",-,"8,894,000","8,894,000","8,894,000","1,921,000","3,768,000","2,576,000","30,124,000","30,124,000",-,-,-,"136,000",-,"7,922,000","41,835,000","41,533,000","3,556,000","3,542,000","14,000","30,081,000","27,406,000","16,822,000","-2,688,000",-,-,-,"302,000","71,657,000","3,542,000","37,991,000","21,036,000","77,009,000","17,494,000","39,018,000",-,"1,372,972","942,662","23,300","430,310"
16,3/31/2019,"346,132,000","120,518,000","80,360,000","5,980,000",-,"74,380,000",-,-,-,"40,158,000","40,158,000","606,000",-,"5,282,000","124,824,000","6,868,000","117,956,000","31,650,000","56,181,000","1,117,000","2,508,000","53,341,000","53,487,000","12,941,000","15,830,000","5,503,000","53,487,000","146,000",-,"651,000","651,000",-,"2,138,000","1,869,000","3,010,000","20,560,000","17,367,000","3,193,000",-,"23,228,000","304,663,000","222,382,000","162,391,000","162,391,000","59,991,000","11,761,000","23,996,000","23,996,000","19,310,000","4,686,000","4,686,000","19,310,000",-,"2,773,000","2,773,000","2,773,000","3,932,000","3,892,000","2,407,000","31,806,000","31,806,000",-,-,-,"122,000",-,"8,053,000","41,469,000","41,225,000","3,556,000","3,542,000","14,000","29,382,000","27,349,000","16,072,000","-2,990,000",-,-,-,"244,000","73,031,000","3,542,000","37,683,000","20,665,000","72,262,000","17,123,000","34,579,000",-,"1,372,494","957,517","23,300","414,977"
17,12/31/2018,"362,873,000","134,795,000","88,000,000","5,864,000",-,"82,136,000",-,-,-,"46,795,000","46,795,000","595,000",-,"4,937,000","127,289,000","7,035,000","120,254,000","32,392,000","58,876,000","1,064,000","2,815,000","56,418,000","56,564,000","13,715,000","15,965,000","5,381,000","56,564,000","146,000",-,"671,000","671,000",-,"2,382,000","1,742,000","1,832,000","20,570,000","17,350,000","3,220,000",-,"21,298,000","322,005,000","238,778,000","167,995,000","167,995,000","70,783,000","14,243,000","25,400,000","25,400,000","19,731,000","5,669,000","5,669,000","19,731,000",-,"1,939,000","1,939,000","1,939,000","3,227,000","3,479,000","2,368,000","32,390,000","32,390,000",-,-,-,"129,000",-,"5,776,000","40,868,000","40,638,000","3,556,000","3,542,000","14,000","28,652,000","27,118,000","15,517,000","-3,171,000",-,-,-,"230,000","73,028,000","3,542,000","37,096,000","20,068,000","71,425,000","16,526,000","34,329,000",-,"1,364,878","960,426","23,300","404,452"
18,9/30/2018,"349,770,000","123,013,000","94,291,000","5,047,000",-,"89,244,000",-,-,-,"28,722,000","28,722,000","580,000",-,"4,901,000","126,944,000","7,804,000","119,140,000","34,486,000","55,161,000","1,143,000","2,283,000","53,847,000","53,987,000","12,542,000","15,956,000","5,659,000","53,987,000","140,000",-,"640,000","640,000",-,"2,364,000","2,035,000","1,832,000","20,648,000","17,390,000","3,258,000",-,"22,846,000","307,909,000","231,590,000","165,744,000","165,744,000","65,846,000","10,158,000","24,284,000","24,284,000","18,683,000","5,601,000","5,601,000","18,683,000",-,"735,000","735,000","735,000","2,934,000","3,536,000","2,186,000","31,047,000","31,047,000",-,-,-,"211,000",-,"6,559,000","41,861,000","41,560,000","3,556,000","3,542,000","14,000","28,098,000","27,034,000","14,145,000","-2,983,000",-,-,-,"301,000","72,607,000","3,542,000","38,018,000","20,912,000","69,800,000","17,370,000","31,782,000",-,"1,364,286","988,777","23,300","375,509"
19,6/30/2018,"352,928,000","123,105,000","96,611,000","5,361,000",-,"91,250,000",-,-,-,"26,494,000","26,494,000","575,000",-,"4,876,000","126,544,000","7,035,000","119,509,000","35,141,000","53,126,000","1,112,000","3,188,000","57,631,000","57,776,000","14,283,000","16,301,000","5,632,000","57,776,000","145,000",-,"663,000","663,000",-,"2,516,000","2,013,000","1,752,000","20,726,000","17,418,000","3,308,000",-,"22,507,000","311,182,000","230,560,000","155,097,000","155,097,000","75,463,000","13,200,000","24,575,000","24,575,000","19,123,000","5,452,000","5,452,000","19,123,000",-,"2,508,000","2,508,000","2,508,000","3,053,000","3,580,000","2,561,000","31,313,000","31,313,000",-,-,-,"189,000",-,"5,446,000","41,746,000","41,505,000","3,556,000","3,542,000","14,000","27,306,000","26,981,000","13,543,000","-2,795,000",-,-,-,"241,000","72,818,000","3,542,000","37,963,000","20,779,000","71,784,000","17,237,000","33,821,000",-,"1,363,778","999,945","23,300","363,833"
20,3/31/2018,"373,597,000","140,037,000","111,253,000","4,636,000",-,"106,617,000",-,-,-,"28,784,000","28,784,000","513,000",-,"4,866,000","127,991,000","8,596,000","119,395,000","36,959,000","50,542,000","1,080,000","2,767,000","60,653,000","60,809,000","15,402,000","16,401,000","5,573,000","60,809,000","156,000",-,"610,000","610,000",-,"2,672,000","1,943,000","1,702,000","20,966,000","17,596,000","3,370,000",-,"21,638,000","331,473,000","241,844,000","164,964,000","164,964,000","76,880,000","21,600,000","25,521,000","25,521,000","20,172,000","5,349,000","5,349,000","20,172,000",-,"3,936,000","3,936,000","3,936,000","1,550,000","3,365,000","2,368,000","29,489,000","29,489,000",-,-,-,"184,000",-,"5,718,000","42,124,000","41,728,000","3,556,000","3,542,000","14,000","26,496,000","26,911,000","12,892,000","-2,343,000",-,-,-,"396,000","71,217,000","3,542,000","38,186,000","20,762,000","71,611,000","17,220,000","33,425,000",-,"1,362,857","1,010,676","23,300","352,181"
21,12/31/2017,"371,758,000","137,006,000","108,871,000","5,382,000",-,"103,489,000",-,-,-,"28,135,000","28,135,000","559,000","319,000","4,857,000","127,123,000","6,022,000","731,000","40,827,000","79,543,000","1,083,000","3,091,000","61,381,000","61,540,000","15,962,000","16,528,000","5,608,000","61,540,000","159,000",-,"610,000","610,000",-,"2,824,000","1,811,000","1,634,000","20,975,000","17,564,000","3,411,000",-,"23,029,000","330,012,000","244,322,000","161,606,000","161,606,000","82,716,000","15,163,000","26,409,000","26,409,000","20,184,000","6,225,000","6,225,000","20,184,000",-,"3,075,000","3,075,000","3,075,000","3,028,000","3,984,000","3,576,000","31,007,000","31,007,000",-,-,-,"179,000",-,"6,052,000","41,746,000","41,251,000","3,556,000","3,542,000","14,000","25,635,000","26,665,000","12,248,000","-2,357,000",-,-,-,"495,000","72,258,000","3,542,000","37,709,000","20,276,000","71,791,000","16,734,000","34,082,000",-,"1,354,164","1,013,442","23,300","340,721"
22,9/30/2017,"354,397,000","124,504,000","96,621,000","5,557,000",-,"91,064,000",-,-,-,"27,883,000","27,883,000","474,000","318,000","4,824,000","125,517,000","4,666,000","802,000","39,995,000","80,054,000","1,153,000","3,561,000","58,907,000","59,068,000","14,899,000","16,265,000","5,668,000","59,068,000","161,000",-,"547,000","547,000",-,"2,356,000","1,463,000","1,631,000","21,004,000","17,543,000","3,461,000",-,"22,287,000","313,293,000","230,996,000","150,616,000","150,616,000","80,380,000","10,314,000","27,246,000","27,246,000","21,176,000","6,070,000","6,070,000","21,176,000",-,"2,501,000","2,501,000","2,501,000","3,353,000","3,253,000","3,222,000","31,761,000","31,761,000",-,-,-,"197,000",-,"7,222,000","41,104,000","40,523,000","3,556,000","3,542,000","14,000","24,757,000","26,588,000","11,597,000","-2,781,000",-,-,-,"581,000","72,284,000","3,542,000","36,981,000","19,519,000","71,243,000","15,977,000","34,262,000",-,"1,352,364","1,024,022","23,300","328,342"
23,6/30/2017,"354,815,000","119,896,000","92,456,000","4,725,000",-,"87,731,000",-,-,-,"27,440,000","27,440,000","472,000","276,000","4,804,000","125,241,000","5,279,000","702,000","40,986,000","78,274,000","1,113,000","3,479,000","61,508,000","61,673,000","16,068,000","16,142,000","5,811,000","61,673,000","165,000",-,"567,000","567,000",-,"2,445,000","1,463,000","1,640,000","20,963,000","17,457,000","3,506,000",-,"25,000,000","314,317,000","235,677,000","146,614,000","146,614,000","89,063,000","10,934,000","27,292,000","27,292,000","21,622,000","5,670,000","5,670,000","21,622,000",-,"876,000","876,000","876,000","1,338,000","4,100,000","3,962,000","29,037,000","29,037,000",-,-,-,"181,000",-,"6,401,000","40,498,000","39,974,000","3,555,000","3,542,000","13,000","24,027,000","26,432,000","10,947,000","-3,093,000",-,-,-,"524,000","69,011,000","3,542,000","36,432,000","19,011,000","66,345,000","15,469,000","29,913,000",-,"1,349,182","1,033,156","23,300","316,026"
