,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Deposits,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Other Customer Services,Fees & Commission Expense,Investment Banking Profit,Trading Gain Loss,Foreign Exchange Trading Gains,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Equipment,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Rental & Landing Fees,Other G and A,Selling & Marketing Expense,Depreciation Amortization Depletion,Depreciation & amortization,Amortization,Amortization of Intangibles,Other Non Interest Expense,Income from Associates & Other Participating Interests,Special Income Charges,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Other Special Charges,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income Discontinuous Operations,Net Income Extraordinary,Minority Interests,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Rent Expense Supplemental,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
0,ttm,"16,034,000","3,504,000","7,118,000","1,999,000","1,999,000","2,679,000","1,240,000","1,200,000",-,"3,614,000","1,587,000","9,000","860,000","934,000","224,000","12,530,000","128,000","11,790,000","12,133,000","8,834,000","3,299,000",-,"343,000",-,"149,000","822,000","-501,000","-501,000",-,"142,000","-39,000","11,987,000","2,171,000","514,000","1,657,000","1,527,000","6,800,000","6,800,000","6,800,000",-,-,-,"67,000","67,000","67,000","67,000","1,422,000",-,"-680,000",-,"680,000",-,"3,328,000","768,000","2,362,000","2,573,000","2,560,000","2,560,000",-,-,"13,000","211,000","2,362,000",-,-,-,-,-,"3,465,000","2,573,000","3,095,920","2,440,000","1,636,000","2,573,000","-680,000","-680,000",0,"-157,080"
1,3/31/2023,"4,278,000","1,128,000","1,128,000",-,-,-,-,-,-,-,-,-,-,-,-,"3,150,000","27,000","3,071,000","3,156,000","2,380,000","776,000",-,"85,000",-,"45,000",-,"-30,000","-30,000",-,"37,000","-27,000","3,015,000","548,000","119,000","429,000","375,000","1,791,000","1,791,000","1,791,000",-,-,-,"14,000","14,000","14,000","14,000","287,000",-,0,-,0,-,"1,236,000","260,000","905,000","976,000","976,000","976,000",-,-,0,"71,000","905,000",1.13,1.12,"803,340","807,718",-,"1,101,000","976,000","976,000",-,"14,000","976,000",0,0,0,0
2,12/31/2022,"3,832,000","1,056,000","1,056,000","788,000","788,000","946,000","737,000","726,000",-,"2,141,000","1,046,000","3,000","367,000","595,000","130,000","2,776,000","35,000","3,136,000","3,222,000","2,439,000","783,000",-,"86,000",-,"34,000",-,"-457,000","-457,000",-,"28,000","-20,000","3,127,000","575,000","143,000","432,000","415,000","1,802,000","1,802,000","1,802,000",-,-,-,"16,000","16,000","16,000","16,000","319,000",-,0,-,0,-,"685,000","142,000","509,000","543,000","543,000","543,000",-,-,0,"34,000","509,000",0.63,0.62,"811,586","815,846",-,"1,036,000","543,000","543,000","1,463,000","16,000","543,000",0,0,0,0
3,9/30/2022,"4,191,000","926,000","926,000","581,000","581,000","727,000","355,000","321,000",-,"1,058,000","488,000","1,000","248,000","250,000","71,000","3,265,000","32,000","3,148,000","3,236,000","2,436,000","800,000",-,"88,000",-,"65,000",-,"117,000","117,000",-,"31,000","30,000","2,911,000","545,000","124,000","421,000","363,000","1,673,000","1,673,000","1,673,000",-,-,-,"17,000","17,000","17,000","17,000","313,000",-,"-680,000",-,"680,000","34,000","630,000","242,000","319,000","388,000","388,000","388,000",-,-,0,"69,000","319,000",0.39,0.39,"811,304","814,516",-,"956,000","388,000","806,880","676,000","17,000","388,000","-680,000","-680,000",0,"-261,120"
4,6/30/2022,"4,164,000","824,000","1,159,000","370,000","370,000","541,000","132,000","116,000",-,"335,000","90,000","2,000","147,000","77,000","19,000","3,340,000","28,000","3,249,000","3,339,000","2,506,000","833,000",-,"90,000",-,"45,000",-,"91,000","91,000",-,"32,000","-47,000","3,022,000","530,000","125,000","405,000","379,000","1,623,000","1,623,000","1,623,000",-,-,-,"17,000","17,000","17,000","17,000","473,000",-,-,-,-,-,"1,095,000","231,000","835,000","869,000","864,000","864,000",-,-,"5,000","34,000","835,000",1.03,1.03,"810,903","813,590",-,"777,000","869,000","869,000","248,000","17,000","869,000",-,-,0,0
5,3/31/2022,"3,847,000","698,000","778,000","260,000","260,000","465,000","16,000","37,000",-,"80,000","-37,000","3,000","98,000","12,000","4,000","3,149,000","33,000","3,079,000","3,158,000","2,275,000","883,000",-,"79,000",-,"5,000","207,000","70,000","70,000",-,"39,000","-2,000","2,927,000","521,000","122,000","399,000","370,000","1,702,000","1,702,000","1,702,000",-,-,-,"17,000","17,000","17,000","17,000","317,000",-,-,-,-,-,"918,000","153,000","699,000","773,000","765,000","765,000",-,-,"8,000","74,000","699,000",0.86,0.86,"809,469","813,986",-,"696,000","773,000","773,000","53,000","17,000","773,000",-,-,0,0
6,12/31/2021,"3,940,000","677,000","729,000","253,000","253,000","449,000","-4,000","31,000",-,"52,000","-45,000","2,000","91,000","2,000","2,000","3,263,000","45,000","3,156,000","3,231,000","2,335,000","896,000",-,"75,000",-,"-6,000","199,000","107,000","107,000",-,"28,000","17,000","2,892,000","512,000","133,000","379,000","390,000","1,633,000","1,633,000","1,633,000",-,-,-,"19,000","19,000","19,000","19,000","338,000",-,-,-,-,-,"1,065,000","196,000","822,000","863,000","869,000","869,000",-,-,"-6,000","41,000","822,000",1.01,1.01,"811,463","817,345",-,"694,000","863,000","863,000","27,000","19,000","863,000",-,-,0,0
7,9/30/2021,"3,959,000","641,000","693,000","238,000","238,000","432,000","-9,000","32,000","1,000","52,000","-44,000","3,000","91,000","2,000","1,000","3,318,000","33,000","3,189,000","3,265,000","2,352,000","913,000",-,"76,000",-,"20,000","185,000","129,000","129,000",-,"39,000","45,000","2,842,000","492,000","120,000","372,000","363,000","1,584,000","1,584,000","1,584,000",-,-,-,"19,000","19,000","19,000","19,000","384,000",-,-,-,-,-,"1,162,000","219,000","881,000","947,000","943,000","943,000",-,-,"4,000","66,000","881,000",1.04,1.04,"844,088","849,028",-,"686,000","947,000","947,000","23,000","19,000","947,000",-,-,0,0
8,6/30/2021,"3,887,000","645,000","685,000","237,000","237,000","437,000","-14,000","25,000",-,"40,000","-49,000","1,000","91,000","-5,000","2,000","3,242,000","29,000","3,151,000","3,224,000","2,335,000","889,000",-,"73,000",-,"-1,000","184,000","91,000","91,000",-,"42,000","86,000","2,705,000","487,000","122,000","365,000","363,000","1,518,000","1,518,000","1,518,000",-,-,-,"20,000","20,000","20,000","20,000","317,000",-,-,-,-,-,"1,268,000","241,000","991,000","1,022,000","1,027,000","1,027,000",-,-,"-5,000","31,000","991,000",1.14,1.13,"869,460","873,475",-,"731,000","1,022,000","1,022,000","11,000","20,000","1,022,000",-,-,0,0
9,3/31/2021,"3,847,000","655,000","738,000","230,000","230,000","478,000","-2,000","32,000","1,000","83,000","-37,000","2,000","119,000","-3,000","2,000","3,192,000","33,000","3,183,000","3,257,000","2,367,000","890,000",-,"74,000",-,"-14,000","231,000","9,000","9,000",-,"33,000","83,000","2,777,000","485,000","123,000","362,000","343,000","1,602,000","1,602,000","1,602,000",-,-,-,"24,000","24,000","24,000","24,000","323,000",-,-,-,-,-,"1,153,000","221,000","858,000","927,000","932,000","932,000",-,-,"-5,000","69,000","858,000",0.97,0.97,"882,558","885,655",-,"738,000","927,000","927,000","30,000","24,000","927,000",-,-,0,0
10,12/31/2020,"3,768,000","680,000","680,000","236,000","236,000","497,000","3,000","40,000","1,000","96,000","-33,000","2,000","123,000","1,000","3,000","3,088,000","43,000","2,852,000","2,927,000","2,043,000","884,000","46,000","75,000",-,"-31,000","198,000","20,000","20,000","-49,000","6,000","-15,000","2,850,000","532,000","173,000","359,000","381,000","1,554,000","1,554,000","1,554,000",-,"26,000",-,"26,000","26,000","26,000","26,000","357,000","22,000",-,-,-,-,"903,000","148,000","702,000","750,000","755,000","755,000",-,-,"-5,000","48,000","702,000",0.79,0.79,"889,928","891,846",-,"665,000","750,000","750,000","43,000","26,000","750,000","-49,000","-49,000",0,0
11,9/30/2020,"3,762,000","703,000","820,000","240,000","240,000","522,000","10,000","48,000",-,"117,000","-29,000","3,000","135,000","6,000","2,000","3,059,000","33,000","2,977,000","3,062,000","2,227,000","835,000","49,000","85,000",-,"-14,000","137,000","82,000","82,000","4,000","-23,000","-9,000","2,596,000","476,000","136,000","340,000","355,000","1,466,000","1,466,000","1,466,000",-,"17,000",-,"26,000","26,000","26,000","26,000","273,000","23,000",-,-,-,-,"1,157,000","213,000","876,000","937,000","944,000","944,000",-,-,"-7,000","61,000","876,000",0.98,0.98,"889,499","891,069",-,"694,000","937,000","937,000","58,000","26,000","937,000","4,000","4,000",0,0
12,6/30/2020,"3,925,000","780,000","943,000","270,000","270,000","579,000","33,000","61,000","1,000","163,000","-17,000","8,000","170,000","1,000","1,000","3,145,000","36,000","2,977,000","3,062,000","2,276,000","786,000","58,000","85,000",-,"-8,000","166,000","168,000","168,000","3,000","43,000","-143,000","2,601,000","482,000","137,000","345,000","337,000","1,464,000","1,464,000","1,464,000",-,"20,000",-,"26,000","26,000","26,000","26,000","292,000","19,000",-,-,-,-,"1,181,000","216,000","901,000","950,000","965,000","965,000",-,-,"-15,000","49,000","901,000",1.01,1.01,"889,020","890,561",-,"637,000","950,000","950,000","94,000","26,000","950,000","3,000","3,000",0,0
13,3/31/2020,"4,017,000","814,000","814,000","396,000","396,000","640,000","138,000","396,000",-,"756,000","240,000","10,000","194,000","275,000","37,000","3,203,000","36,000","3,221,000","3,312,000","2,450,000","862,000","59,000","91,000",-,"66,000","319,000","-56,000","-56,000","4,000","2,000","-169,000","2,621,000","461,000","135,000","326,000","330,000","1,482,000","1,482,000","1,482,000",-,"42,000",-,"26,000","26,000","26,000","26,000","322,000","21,000",-,-,-,-,"1,227,000","265,000","944,000","980,000","962,000","962,000",-,-,"18,000","36,000","944,000",1.05,1.05,"894,122","896,689",-,"645,000","980,000","980,000","534,000","26,000","980,000","4,000","4,000",0,0
14,12/31/2019,"4,686,000","815,000","815,000","424,000","424,000","686,000","159,000","452,000",-,"906,000","334,000","12,000","220,000","291,000","49,000","3,871,000","43,000","3,019,000","3,111,000","2,228,000","883,000","46,000","92,000",-,"30,000","168,000","852,000","852,000","815,000","-2,000","8,000","2,872,000","477,000","151,000","326,000","367,000","1,639,000","1,639,000","1,639,000",-,"65,000",-,"28,000","28,000","28,000","28,000","361,000","20,000",-,-,-,-,"1,822,000","373,000","1,391,000","1,440,000","1,449,000","1,449,000",-,-,"-9,000","49,000","1,391,000",1.52,1.52,"911,324","914,739",-,"823,000","1,440,000","1,440,000","611,000","28,000","1,440,000","815,000","815,000",0,0
15,9/30/2019,"3,764,000","730,000","730,000","391,000","391,000","716,000","175,000","660,000",-,"1,212,000","437,000","32,000","233,000","443,000","67,000","3,034,000","33,000","3,002,000","3,099,000","2,267,000","832,000","49,000","97,000",-,"21,000","150,000","32,000","32,000","2,000","-5,000","16,000","2,493,000","447,000","138,000","309,000","316,000","1,479,000","1,479,000","1,479,000",-,"47,000",-,"30,000","30,000","30,000","30,000","221,000","21,000",-,-,-,-,"1,287,000","246,000","1,002,000","1,038,000","1,041,000","1,041,000",-,-,"-3,000","36,000","1,002,000",1.07,1.07,"933,264","935,677",-,"746,000","1,038,000","1,038,000","835,000","30,000","1,038,000","2,000","2,000",0,0
16,6/30/2019,"3,830,000","802,000","802,000","484,000","484,000","736,000","177,000","568,000",-,"1,163,000","432,000","38,000","241,000","372,000","80,000","3,028,000","32,000","2,968,000","3,062,000","2,229,000","833,000","50,000","94,000",-,"16,000","166,000","60,000","60,000",-,"2,000","8,000","2,553,000","442,000","138,000","304,000","337,000","1,421,000","1,421,000","1,421,000",-,"56,000",-,"30,000","30,000","30,000","30,000","323,000",-,-,-,-,-,"1,285,000","264,000","969,000","1,017,000","1,021,000","1,021,000",-,-,"-4,000","48,000","969,000",1.01,1.01,"951,281","953,928",-,"810,000","1,017,000","1,017,000","745,000","30,000","1,017,000",-,-,0,0
17,3/31/2019,"3,808,000","841,000","841,000","490,000","490,000","754,000","202,000","474,000",-,"1,079,000","391,000","32,000","248,000","331,000","77,000","2,967,000","30,000","2,905,000","2,996,000","2,155,000","841,000","51,000","91,000",-,"10,000","170,000","62,000","62,000",-,"6,000","-7,000","2,608,000","420,000","137,000","283,000","325,000","1,524,000","1,524,000","1,524,000",-,"45,000",-,"29,000","29,000","29,000","29,000","310,000",-,-,-,-,-,"1,193,000","237,000","910,000","946,000","956,000","956,000",-,-,"-10,000","36,000","910,000",0.94,0.94,"962,397","965,960",-,"834,000","946,000","946,000","676,000","29,000","946,000",-,-,0,0
18,12/31/2018,"3,622,000","851,000","851,000","500,000","500,000","723,000","206,000","435,000",-,"979,000","350,000","21,000","235,000","303,000","70,000","2,771,000","42,000","2,978,000","3,084,000","2,122,000","962,000","54,000","106,000",-,"22,000","166,000","-207,000","-207,000",-,"11,000","6,000","2,900,000","450,000","153,000","297,000","339,000","1,628,000","1,628,000","1,628,000",-,"66,000",-,"52,000","52,000","52,000","52,000","431,000",-,-,-,-,-,"728,000","-453,000","1,126,000","1,175,000","1,181,000","1,181,000",-,-,"-6,000","49,000","1,126,000",0.84,0.84,"984,343","988,650",-,"857,000","1,175,000","1,175,000","641,000","52,000","1,175,000",-,-,0,0
19,9/30/2018,"3,970,000","891,000","891,000","473,000","473,000","696,000","184,000","281,000",-,"743,000","237,000","32,000","226,000","190,000","58,000","3,079,000","36,000","3,028,000","3,127,000","2,205,000","922,000","52,000","99,000",-,-,"155,000","28,000","28,000","7,000","-13,000","3,000","2,639,000","401,000","139,000","262,000","332,000","1,478,000","1,478,000","1,478,000",-,"51,000",-,"48,000","48,000","48,000","48,000","380,000","17,000",-,-,-,-,"1,334,000","220,000","1,075,000","1,111,000","1,114,000","1,114,000",-,-,"-3,000","36,000","1,075,000",1.07,1.06,"999,808","1,003,665",-,"894,000","1,111,000","1,111,000","465,000","48,000","1,111,000","7,000","7,000",0,0
20,6/30/2018,"4,032,000","916,000","916,000","473,000","473,000","658,000","192,000","230,000",-,"637,000","173,000","35,000","219,000","158,000","52,000","3,116,000","31,000","3,033,000","3,139,000","2,229,000","910,000","53,000","106,000",-,-,"187,000","33,000","33,000","15,000","19,000","3,000","2,641,000","422,000","156,000","266,000","328,000","1,489,000","1,489,000","1,489,000",-,"62,000",-,"48,000","48,000","48,000","48,000","354,000","19,000",-,-,-,-,"1,394,000","286,000","1,055,000","1,103,000","1,108,000","1,108,000",-,-,"-5,000","48,000","1,055,000",1.04,1.03,"1,010,179","1,014,357",-,"919,000","1,103,000","1,103,000","422,000","48,000","1,103,000","15,000","15,000",0,0
21,3/31/2018,"4,072,000","919,000","919,000","420,000","420,000","623,000","168,000","170,000",-,"462,000","117,000","21,000","177,000","107,000","40,000","3,153,000","36,000","3,131,000","3,237,000","2,277,000","960,000","52,000","106,000",-,-,"209,000","-14,000","-14,000","46,000","-16,000","5,000","2,633,000","373,000","139,000","234,000","291,000","1,576,000","1,576,000","1,576,000",-,"51,000",-,"49,000","49,000","49,000","49,000","344,000","16,000",-,-,-,-,"1,444,000","282,000","1,135,000","1,171,000","1,162,000","1,162,000",-,-,"9,000","36,000","1,135,000",1.11,1.10,"1,016,797","1,021,731",-,"924,000","1,171,000","1,171,000","338,000","49,000","1,171,000","46,000","46,000",0,0
22,12/31/2017,"3,622,000","851,000","1,219,000","371,000","371,000","558,000","139,000","151,000",-,"368,000","64,000","24,000","164,000","93,000","23,000","2,771,000","43,000","2,978,000","3,084,000","2,122,000","962,000","54,000","106,000",-,-,"166,000","2,000","2,000",0,"-252,000","6,000","2,820,000","450,000","153,000","297,000","338,000","1,614,000","1,614,000","1,614,000",-,"66,000",-,"52,000","52,000","52,000","52,000","366,000","15,000","-80,000","80,000",-,-,"728,000","-453,000","1,118,000","1,175,000","1,181,000","1,181,000",-,-,"-6,000","49,000","1,118,000",1.09,1.08,"1,024,828","1,030,404",-,"857,000","1,175,000","1,223,000","290,000","52,000","1,175,000","-80,000","-80,000",0,"-32,000"
23,9/30/2017,"3,907,000","839,000","1,151,000","370,000","370,000","539,000","123,000","119,000",-,"312,000","57,000","15,000","149,000","70,000","21,000","3,068,000","37,000","2,976,000","3,085,000","2,184,000","901,000","54,000","109,000",-,-,"173,000","36,000","36,000","1,000","19,000","6,000","2,539,000","374,000","141,000","233,000","305,000","1,469,000","1,469,000","1,469,000",-,"49,000",-,"52,000","52,000","52,000","52,000","339,000","18,000","-6,000","6,000",-,-,"1,368,000","348,000","975,000","1,018,000","1,020,000","1,020,000",-,-,"-2,000","35,000","975,000",0.94,0.94,"1,035,337","1,041,138",-,"845,000","1,018,000","1,022,476","242,000","52,000","1,018,000","-6,000","-6,000",0,"-1,524"
24,6/30/2017,"3,852,000","826,000","1,052,000","359,000","359,000","509,000","98,000","86,000",-,"226,000","32,000","9,000","129,000","38,000","18,000","3,026,000","43,000","2,729,000","2,833,000","1,954,000","879,000","53,000","104,000",-,"14,000","151,000","22,000","22,000","-5,000","67,000","7,000","2,539,000","371,000","139,000","232,000","319,000","1,417,000","1,417,000","1,417,000",-,"63,000",-,"53,000","53,000","53,000","53,000","379,000","17,000","-12,000","12,000",-,-,"1,308,000","332,000","913,000","975,000","976,000","976,000",-,-,"-1,000","49,000","913,000",0.88,0.88,"1,035,829","1,041,879",-,"833,000","975,000","983,952","184,000","53,000","975,000","-12,000","-12,000",0,"-3,048"
25,3/31/2017,"3,743,000","792,000","960,000","320,000","320,000","494,000","79,000","67,000",-,"168,000","9,000","7,000","119,000","24,000","9,000","2,951,000","30,000","2,667,000","2,767,000","1,925,000","842,000","55,000","100,000",-,"10,000","154,000","81,000","81,000","3,000","9,000","5,000","2,534,000","359,000","136,000","223,000","312,000","1,472,000","1,472,000","1,472,000",-,"51,000",-,"52,000","52,000","52,000","52,000","339,000","14,000","-8,000","8,000",-,-,"1,206,000","269,000","866,000","922,000","937,000","937,000",-,-,"-15,000","42,000","866,000",0.83,0.83,"1,041,158","1,047,746",-,"797,000","922,000","928,216","146,000","52,000","922,000","-8,000","-8,000",0,"-1,784"
26,12/31/2016,"3,692,000","831,000","928,000","307,000","307,000","499,000","56,000","66,000",-,"97,000","-5,000","3,000","87,000","8,000","4,000","2,861,000","53,000","2,615,000","2,713,000","1,865,000","848,000","50,000","98,000",-,"-14,000","175,000","20,000","20,000","1,000","12,000","-7,000","2,526,000","390,000","153,000","237,000","325,000","1,395,000","1,395,000","1,395,000","6,000","71,000",-,"60,000","60,000","60,000","60,000","356,000","15,000","-7,000","7,000",-,-,"1,152,000","280,000","809,000","870,000","872,000","872,000",-,-,"-2,000","48,000","809,000",0.77,0.77,"1,050,888","1,056,818","6,000","824,000","870,000","875,299","122,000","60,000","870,000","-7,000","-7,000",0,"-1,701"
27,9/30/2016,"3,836,000","774,000","874,000","285,000","285,000","464,000","63,000","62,000",-,"100,000","-6,000","2,000","93,000","6,000","5,000","3,062,000","34,000","2,746,000","2,851,000","1,991,000","860,000","58,000","105,000",-,"8,000","175,000","64,000","64,000","8,000","35,000","19,000","2,520,000","358,000","143,000","215,000","292,000","1,467,000","1,467,000","1,467,000",-,"52,000",-,"61,000","61,000","61,000","61,000","342,000","18,000","-18,000","18,000",-,-,"1,317,000","324,000","959,000","987,000","993,000","993,000",-,-,"-6,000","13,000","959,000",0.90,0.90,"1,062,248","1,067,682",-,"793,000","987,000","1,000,572","125,000","61,000","987,000","-18,000","-18,000",0,"-4,428"
28,6/30/2016,"3,674,000","767,000","890,000","278,000","278,000","460,000","96,000","56,000",-,"123,000","12,000","6,000","89,000","13,000","3,000","2,907,000","31,000","2,620,000","2,722,000","1,892,000","830,000","57,000","102,000",-,"16,000","166,000","39,000","39,000","1,000","35,000","9,000","2,511,000","375,000","152,000","223,000","290,000","1,412,000","1,412,000","1,412,000",-,"65,000",-,"59,000","59,000","59,000","59,000","375,000","17,000","-7,000","7,000",-,-,"1,165,000","290,000","812,000","873,000","875,000","875,000",-,-,"-2,000","48,000","812,000",0.76,0.75,"1,072,583","1,078,271",-,"776,000","873,000","878,257","152,000","59,000","873,000","-7,000","-7,000",0,"-1,743"
29,3/31/2016,"3,630,000","766,000","883,000","268,000","268,000","479,000","87,000","49,000",-,"117,000","15,000","2,000","85,000","9,000","6,000","2,864,000","31,000","2,570,000","2,670,000","1,858,000","812,000","54,000","100,000",-,"4,000","171,000","24,000","24,000",0,"64,000","-10,000","2,512,000","361,000","142,000","219,000","278,000","1,459,000","1,459,000","1,459,000",-,"57,000",-,"57,000","57,000","57,000","57,000","357,000","17,000","-17,000","17,000",-,-,"1,091,000","283,000","793,000","817,000","808,000","808,000",-,-,"9,000","13,000","793,000",0.73,0.73,"1,079,641","1,085,284",-,"756,000","817,000","829,597","136,000","57,000","817,000","-17,000","-17,000",0,"-4,403"
30,12/31/2015,"3,634,000","760,000","834,000","240,000","240,000","491,000","61,000","42,000",-,"74,000","5,000","2,000","64,000","-1,000","4,000","2,874,000","43,000","2,571,000","2,663,000","1,799,000","864,000","51,000","92,000",-,"8,000","165,000","50,000","50,000","5,000","37,000","-163,000","2,582,000","373,000","148,000","225,000","328,000","1,481,000","1,481,000","1,481,000","8,000","75,000",-,"64,000","64,000","64,000","64,000","336,000","16,000","-18,000","18,000",-,-,"871,000","175,000","628,000","693,000","696,000","696,000",-,-,"-3,000","56,000","628,000",0.58,0.57,"1,088,880","1,096,385","8,000","597,000","693,000","707,382","103,000","64,000","693,000","-18,000","-18,000",0,"-3,618"
31,9/30/2015,"3,695,000","759,000","838,000","241,000","241,000","491,000","67,000","39,000",-,"79,000","9,000","3,000","65,000","-1,000","3,000","2,936,000","32,000","2,698,000","2,793,000","1,964,000","829,000","71,000","95,000",-,"-1,000","180,000","-7,000","-7,000","-9,000","34,000","-1,000","2,574,000","378,000","152,000","226,000","301,000","1,437,000","1,437,000","1,437,000",-,"59,000",-,"66,000","66,000","66,000","66,000","392,000","16,000","-11,000","11,000",-,-,"1,109,000","282,000","814,000","833,000","827,000","827,000",-,-,"6,000","13,000","814,000",0.74,0.74,"1,098,003","1,105,645",-,"758,000","833,000","841,206","106,000","66,000","833,000","-11,000","-11,000",0,"-2,794"
32,6/30/2015,"3,790,000","779,000","847,000","230,000","230,000","510,000","71,000","36,000",-,"68,000","8,000","4,000","52,000","-1,000","5,000","3,011,000","31,000","2,664,000","2,760,000","1,882,000","878,000","58,000","96,000",-,"6,000","181,000","55,000","55,000","1,000","74,000","6,000","2,572,000","377,000","149,000","228,000","299,000","1,434,000","1,434,000","1,434,000",-,"72,000",-,"65,000","65,000","65,000","65,000","397,000","17,000","-59,000","59,000",-,-,"1,165,000","276,000","821,000","853,000","889,000","889,000",-,-,"-36,000","23,000","821,000",0.74,0.73,"1,113,790","1,122,135",-,"785,000","853,000","898,017","107,000","65,000","853,000","-59,000","-59,000",0,"-13,983"
33,3/31/2015,"3,753,000","728,000","807,000","223,000","223,000","479,000","75,000","30,000",-,"79,000","15,000","2,000","61,000","-3,000","4,000","3,025,000","33,000","2,588,000","2,686,000","1,832,000","854,000","40,000","98,000",-,"12,000","217,000","156,000","156,000","3,000","19,000","-2,000","2,605,000","379,000","151,000","228,000","302,000","1,485,000","1,485,000","1,485,000","1,000","61,000",-,"66,000","66,000","66,000","66,000","373,000","14,000","3,000","-3,000",-,-,"1,149,000","280,000","754,000","779,000","869,000","869,000",-,-,"-90,000","13,000","754,000",0.67,0.67,"1,118,602","1,126,306","1,000","726,000","779,000","776,732","105,000","66,000","779,000","3,000","3,000",0,732
34,12/31/2014,"2,751,000","712,000","802,000","226,000","226,000","465,000","85,000","26,000",-,"90,000","13,000","3,000","69,000","-2,000","7,000","2,039,000","37,000","2,573,000","2,675,000","1,790,000","885,000","43,000","102,000",-,"-14,000","165,000","89,000","89,000","20,000","-811,000","-1,000","2,622,000","385,000","150,000","235,000","390,000","1,418,000","1,418,000","1,418,000",-,"75,000",-,"73,000","73,000","73,000","73,000","356,000","15,000","815,000","21,000",-,"-836,000","943,000","88,000","793,000","831,000","855,000","855,000",-,-,"-24,000","24,000","793,000",0.18,0.18,"1,120,672","1,129,040",-,"711,000","831,000","92,055","111,000","73,000","831,000","815,000","815,000",0,"76,055"
35,9/30/2014,"3,668,000","721,000","809,000","222,000","222,000","454,000","109,000","24,000",-,"88,000","24,000","2,000","58,000","-4,000","8,000","2,947,000",-,"2,834,000","2,941,000","2,060,000","881,000","44,000","107,000",-,-,"153,000","949,000","949,000",-,"-836,000","19,000","2,641,000","388,000","154,000","234,000","323,000","1,477,000","1,477,000","1,477,000",-,"61,000",-,"75,000","75,000","75,000","75,000","378,000",-,"616,000","220,000",-,"-836,000","1,662,000","556,000","1,050,000","1,083,000","1,106,000","1,106,000",-,-,"-23,000","13,000","1,050,000",0.93,0.93,"1,126,946","1,134,871",-,"740,000","1,083,000","673,360","133,000","75,000","1,083,000","616,000","616,000",0,"206,360"
36,6/30/2014,"3,633,000","719,000","811,000","220,000","220,000","440,000","132,000","19,000",-,"92,000","24,000","2,000","60,000","-3,000","9,000","2,914,000",-,"2,708,000","2,820,000","1,937,000","883,000","44,000","112,000",-,-,"130,000","206,000","206,000",-,-,"12,000","2,712,000","388,000","152,000","236,000","314,000","1,439,000","1,439,000","1,439,000",-,"68,000",-,"75,000","75,000","75,000","75,000","496,000",-,"-122,000","122,000",-,-,"811,000","217,000","544,000","577,000","594,000","594,000",-,-,"-17,000","23,000","544,000",0.48,0.48,"1,133,556","1,139,800",-,"731,000","577,000","666,426","151,000","75,000","577,000","-122,000","-122,000",0,"-32,574"
37,3/31/2014,"3,540,000","728,000","812,000","211,000","211,000","465,000","119,000","17,000",-,"84,000","22,000","1,000","55,000","-4,000","10,000","2,812,000",-,"2,652,000","2,759,000","1,916,000","843,000","38,000","107,000",-,-,"136,000","160,000","160,000",-,-,"18,000","2,644,000","391,000","154,000","237,000","312,000","1,511,000","1,511,000","1,511,000",-,"64,000",-,"75,000","75,000","75,000","75,000","355,000",-,"12,000","-12,000",-,-,"926,000","232,000","648,000","674,000","694,000","694,000",-,-,"-20,000","13,000","648,000",0.57,0.57,"1,138,645","1,144,510",-,"746,000","674,000","665,012","136,000","75,000","674,000","12,000","12,000",0,"3,012"
