,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Interest Bearing Deposits Assets,Restricted Cash And Investments,Restricted Investments,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Funds Sold,Security Agree to be Resold,Federal Home Loan Bank Stock,Customer Acceptances,Foreclosed Assets,Other Real Estate Owned,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Deferred Assets,Deferred Tax Assets,Assets Held for Sale,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Payables And Accrued Expenses,Payables,Accounts Payable,Total Tax Payable,Income Tax Payable,Other Payable,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Current Notes Payable,Other Current Borrowings,Current Capital Lease Obligation,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Liabilities of Discontinued Operations,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
0,3/31/2023,"67,244,898","6,598,731","5,944,443","760,317",-,"5,184,126",-,-,-,"654,288","654,288",-,"654,288",-,-,-,-,-,"9,294,289",-,"2,993,421","6,300,868","741,354","48,305,016","48,924,909","6,861","15,641,840","67,519","33,208,689",-,"619,893",-,-,-,-,-,"103,114","103,114",-,-,-,-,"103,114",-,"465,697","465,697",-,-,-,-,"1,736,697","60,935,567","54,737,402","36,410,082","36,410,082","18,327,320",-,-,0,"1,433,022",-,-,-,-,-,"1,433,022","4,612,676","4,500,000",-,"4,500,000","112,676","152,467","152,467",-,-,-,-,"6,309,331","6,309,331",-,-,-,-,-,-,-,-,-,"6,461,798",-,"6,309,331","112,676","5,843,634","4,652,467","5,843,634","4,765,143",-,"141,395","141,395",-,-
1,12/31/2022,"64,112,150","4,412,997","3,620,805","534,980",-,"3,085,825",-,-,-,"792,192","792,192",-,"792,192",-,-,-,-,-,"9,036,861",-,"3,001,868","6,034,993","763,256","47,632,429","48,228,074","25,644","15,711,095","76,295","32,415,040",-,"595,645",-,-,-,-,-,"103,681","103,681",-,-,-,-,"103,681","-148,126","465,697","465,697",-,-,-,-,"1,697,229","58,127,538","55,967,849","34,916,759","34,916,759","21,051,090","300,000",0,"300,000","1,595,358",-,-,-,-,-,"1,595,358","111,931",-,-,-,"111,931","152,400","152,400",-,-,-,-,"5,984,612","5,984,612",168,-,168,"5,582,546","1,936,389","768,862","-765,629",-,-,"6,137,012",-,"5,984,612","111,931","5,518,915","152,400","5,518,915","264,331",-,"168,459","140,948",-,"27,511"
2,9/30/2022,"62,576,061","3,686,882","2,793,896","554,260",-,"2,239,636",-,-,-,"892,986","892,986",-,"892,986",-,-,-,-,-,"8,918,757",-,"3,012,667","5,906,090","725,254","46,874,238","47,456,755","14,500","15,625,072","87,561","31,729,622",-,"582,517",-,-,-,-,-,"105,411","105,411",-,-,-,-,"105,411","-146,073","465,697","465,697",-,-,-,-,"1,799,822","56,915,393","53,857,362","32,211,968","32,211,968","21,645,394","811,785","200,000","611,785","1,655,239",-,-,-,-,-,"1,655,239","113,477",-,-,-,"113,477","477,530","477,530","324,920",-,-,-,"5,660,668","5,660,668",168,-,168,"5,302,897","1,926,393","768,758","-800,032",-,-,"6,138,198",-,"5,660,668","113,477","5,194,971","477,530","5,194,971","591,007",-,"168,427","140,918",-,"27,510"
3,6/30/2022,"62,394,283","4,037,556","2,614,762","688,936",-,"1,925,826",-,-,-,"1,422,794","1,422,794",-,"1,422,794",-,-,-,-,-,"9,283,806",-,"3,028,302","6,255,504","634,304","45,967,270","46,530,540","28,464","15,377,117","84,097","31,040,862",-,"563,270",-,-,-,-,-,"107,588","107,588",-,-,-,-,"107,588","-143,708","465,697","465,697",-,-,-,-,"1,898,062","56,784,801","54,343,354","31,314,523","31,314,523","23,028,831","611,785",-,"611,785","1,386,836",-,-,-,-,-,"1,386,836","115,387",-,-,-,"115,387","327,439","327,439","174,776",-,-,-,"5,609,482","5,609,482",168,-,168,"5,064,650","1,914,064","768,752","-600,648",-,-,"5,936,921",-,"5,609,482","115,387","5,143,785","327,439","5,143,785","442,826",-,"168,427","140,917",-,"27,510"
4,3/31/2022,"62,241,456","6,621,647","4,664,825","571,571",-,"4,093,254",-,-,-,"1,956,822","1,956,822",-,"1,956,822",-,-,-,-,-,"9,727,133","318,562","2,997,702","6,729,431","607,985","42,945,628","43,491,313",631,"14,838,134","127,399","28,525,149",-,"545,685",-,-,-,-,-,"102,491","102,491",-,-,-,-,"102,491","-141,422","465,697","465,697",-,-,-,-,"1,770,875","56,538,000","54,938,361","30,010,593","30,010,593","24,927,768","300,000",-,"300,000","963,137",-,-,-,-,-,"963,137","109,656",-,-,-,"109,656","226,846","226,846","74,619",-,-,-,"5,703,456","5,703,456",168,-,168,"4,863,721","1,902,874","668,382","-394,925",-,-,"5,930,302",-,"5,703,456","109,656","5,237,759","226,846","5,237,759","336,502",-,"168,375","142,257",-,"26,119"
5,12/31/2021,"60,870,701","7,002,930","4,649,427","527,317",-,"4,122,110",-,"77,434","77,434","2,353,503","2,353,503",-,"2,353,503","77,434",-,-,-,-,"10,303,875","338,522",-,"9,965,353","289,741","41,152,837","41,694,416",635,"14,150,608","127,512","27,415,661",-,"541,579",-,-,-,-,-,"98,632","98,632",-,-,-,-,"98,632","-139,358","465,697","465,697",-,-,-,-,"1,479,555","55,033,483","53,350,532","30,505,068","30,505,068","22,845,464","300,000",-,"300,000","876,089",-,-,-,-,-,"876,089","105,534",0,-,0,"105,534","401,328","401,328","249,331",-,-,-,"5,837,218","5,837,218",168,-,168,"4,683,659","1,893,557","649,785","-90,381",-,-,"6,238,546",-,"5,837,218","105,534","5,371,521","401,328","5,371,521","506,862",-,"167,791","141,908",-,"25,883"
6,9/30/2021,"60,959,110","8,304,205","5,708,063","594,631",-,"5,113,432",-,"77,200","77,200","2,596,142","2,596,142",-,"2,596,142","77,200",-,-,-,-,"10,080,434","367,428",-,"9,713,006","297,367","39,921,301","40,481,705",0,"13,831,649","129,269","26,520,787",-,"560,404",-,-,-,-,-,"99,785","99,785",-,-,-,-,"99,785","-136,796","465,697","465,697",-,-,-,-,"1,713,121","55,268,909","53,356,190","30,180,719","30,180,719","23,175,471","300,000",-,"300,000","1,104,919",-,-,-,-,-,"1,104,919","107,107",0,-,0,"107,107","400,693","400,693","248,898",-,-,-,"5,690,201","5,690,201",168,-,168,"4,513,321","1,883,871","649,591","-57,568",-,-,"6,090,894",-,"5,690,201","107,107","5,224,504","400,693","5,224,504","507,800",-,"167,764","141,884",-,"25,880"
7,6/30/2021,"59,854,876","9,127,268","6,828,084","626,716",-,"6,201,368",-,"76,931","76,931","2,299,184","2,299,184",-,"2,299,184","76,931",-,-,-,-,"8,763,647","364,187",-,"8,399,460","287,432","39,487,594","40,073,318","1,819","13,790,461","147,659","26,133,379",-,"585,724",-,-,-,-,-,"102,609","102,609",-,-,-,-,"102,609","-133,972","465,697","465,697",-,-,-,-,"1,543,698","54,307,328","52,582,575","30,765,854","30,765,854","21,816,721","300,000",-,"300,000","914,187",-,-,-,-,-,"914,187","110,105",0,-,0,"110,105","400,461","400,461","248,464",-,-,-,"5,547,548","5,547,548",168,-,168,"4,335,327","1,876,079","649,337","-14,689",-,-,"5,948,009",-,"5,547,548","110,105","5,081,851","400,461","5,081,851","510,566",-,"167,754","141,878",-,"25,877"
8,3/31/2021,"56,874,146","7,521,094","5,361,056","582,270",-,"4,778,786",-,"83,250","83,250","2,160,038","2,160,038",-,"2,160,038","83,250",-,-,-,-,"8,150,651","361,438",-,"7,789,213","284,862","38,981,242","39,588,748",0,"14,081,110","145,376","25,362,262",-,"607,506",-,-,-,-,-,"94,483","94,483",-,-,-,-,"94,483","-130,926","465,697","465,697",-,-,-,-,"1,292,867","51,589,119","49,547,136","30,627,838","30,627,838","18,919,298","300,000",-,"300,000","834,925",-,-,-,-,-,"834,925","101,828",0,-,0,"101,828","805,230","805,230","653,035",-,-,-,"5,285,027","5,285,027",168,-,168,"4,158,032","1,865,933","649,066","-90,040",-,-,"6,090,257",-,"5,285,027","101,828","4,819,330","805,230","4,819,330","907,058",-,"167,716","141,843",-,"25,873"
9,12/31/2020,"52,156,913","6,287,699","4,827,699","592,117",-,"4,235,582",-,"83,046","83,046","1,460,000","1,460,000",-,"1,460,000","83,046",-,-,-,-,"5,811,183","266,525",-,"5,544,658","213,555","37,772,760","38,392,743","1,788","13,631,726","163,259","24,595,970",-,"619,983",-,-,-,-,-,"95,460","95,460",-,-,-,-,"95,460","-127,884","465,697","465,697",-,-,-,-,"1,427,513","46,887,738","44,862,752","28,564,451","28,564,451","16,298,301","300,000",-,"300,000","796,796",-,-,-,-,-,"796,796","123,839","21,009",-,"21,009","102,830","804,351","804,351","652,612",-,-,-,"5,269,175","5,269,175",167,-,167,"4,000,414","1,858,352","634,083","44,325",-,-,"6,073,526",-,"5,269,175","102,830","4,803,478","825,360","4,803,478","928,190",-,"167,241","141,565",-,"25,675"
10,9/30/2020,"50,371,477","6,416,406","5,206,406","503,376",-,"4,703,030",-,"79,172","79,172","1,210,000","1,210,000",-,"1,210,000","79,172",-,-,-,-,"4,793,672","254,512",-,"4,539,160","192,913","36,823,025","37,441,277","4,148","13,305,024","158,290","23,973,815",-,"618,252",-,-,-,-,-,"96,092","96,092",-,-,-,-,"96,092","-125,198","465,697","465,697",-,-,-,-,"1,504,500","45,245,371","41,680,555","26,755,638","26,755,638","14,924,917","348,063",-,"348,063","816,965",-,-,-,-,-,"816,965","163,286","59,613",-,"59,613","103,673","2,236,502","2,236,502","657,185",-,-,-,"5,126,106","5,126,106",167,-,167,"3,875,715","1,850,396","633,486","33,314",-,-,"7,362,608",-,"5,126,106","103,673","4,660,409","2,296,115","4,660,409","2,399,788",-,"167,165","141,507",-,"25,658"
11,6/30/2020,"49,407,593","6,325,093","5,065,093","602,974",-,"4,462,119",-,"78,963","78,963","1,260,000","1,260,000",-,"1,260,000","78,963",-,-,-,-,"4,135,892","251,318",-,"3,884,574","201,888","36,601,216","37,233,287","3,875","13,422,691","182,461","23,624,260",-,"632,071",-,-,-,-,-,"94,898","94,898",-,-,-,-,"94,898","-122,372","465,697","465,697",-,-,-,-,"1,503,946","44,420,350","40,672,678","26,732,258","26,732,258","13,940,420","500,000","200,000","300,000","854,912",-,-,-,-,-,"854,912","155,559","52,851",-,"52,851","102,708","2,237,201","2,237,201","656,759",-,-,-,"4,987,243","4,987,243",167,-,167,"3,755,649","1,841,748","633,455","23,134",-,-,"7,224,444",-,"4,987,243","102,708","4,521,546","2,290,052","4,521,546","2,392,760",-,"167,143","141,486",-,"25,657"
12,3/31/2020,"45,948,545","4,233,551","3,373,551","427,415",-,"2,946,136",-,"78,745","78,745","860,000","860,000",-,"860,000","78,745",-,-,-,-,"3,964,273","268,330",-,"3,695,943","198,653","35,337,984","35,894,987","1,594","12,590,764","254,992","23,047,637",-,"557,003",-,-,-,-,-,"101,381","101,381",-,-,-,-,"101,381","-120,156","465,697","465,697",-,-,-,-,"1,568,261","41,045,560","38,686,958","26,853,561","26,853,561","11,833,397","450,000",-,"450,000","933,824",-,-,-,-,-,"933,824","176,280","66,924",-,"66,924","109,356","798,498","798,498","646,336",-,-,-,"4,902,985","4,902,985",167,-,167,"3,695,759","1,833,617","633,439","6,881",-,-,"5,701,483",-,"4,902,985","109,356","4,437,288","865,422","4,437,288","974,778",-,"167,091","141,435",-,"25,656"
13,12/31/2019,"44,196,096","4,317,310","3,457,310","536,221",-,"2,921,089",-,"78,580","78,580","860,000","860,000",-,"860,000","78,580",-,-,-,-,"3,571,354","254,140",-,"3,317,214","207,037","34,420,686","34,778,973",434,"12,150,931","282,914","22,344,694",-,"358,287",-,-,-,-,-,"99,973","99,973",-,-,-,-,"99,973","-116,790","465,697","465,697",-,-,-,-,"1,035,459","39,178,479","37,324,259","26,244,223","26,244,223","11,080,036","200,000",-,"200,000","619,283",-,-,-,-,-,"619,283","136,752","28,669",-,"28,669","108,083","898,185","898,185","745,915",-,-,-,"5,017,617","5,017,617",167,-,167,"3,689,377","1,826,345","479,864","-18,408",-,-,"5,915,802",-,"5,017,617","108,083","4,551,920","926,854","4,551,920","1,034,937",-,"166,622","145,625",-,"20,997"
14,9/30/2019,"43,274,659","4,062,704","3,202,704","475,291",-,"2,727,413",-,"78,334","78,334","860,000","860,000",-,"860,000","78,334",-,-,-,-,"3,495,637","211,603",-,"3,284,034","190,000","33,679,694","34,025,270",294,"12,301,002","314,153","21,409,821",-,"345,576",-,-,-,-,-,"103,894","103,894",-,-,-,-,"103,894",-,"465,697","465,697",-,-,-,-,"1,198,699","38,391,995","36,659,526","25,852,589","25,852,589","10,806,937","50,000",-,"50,000","624,754",-,-,-,-,-,"624,754","159,831","47,689",-,"47,689","112,142","897,884","897,884","745,494",-,-,-,"4,882,664","4,882,664",166,-,166,"3,545,824","1,817,100","479,459",-967,-,-,"5,780,548",-,"4,882,664","112,142","4,416,967","945,573","4,416,967","1,057,715",-,"166,555","145,568",-,"20,987"
15,6/30/2019,"42,892,358","4,781,887","3,771,887","425,949",-,"3,345,938",-,"78,093","78,093","1,010,000","1,010,000",-,"1,010,000","78,093",-,-,-,-,"2,803,300","210,387",-,"2,592,913","198,466","33,403,631","33,734,256","3,879","12,402,967","341,802","20,985,608",-,"330,625",-,-,-,-,-,"109,032","109,032",-,-,-,-,"109,032","-125,887","465,697","465,697",-,-,-,-,"1,052,252","38,157,765","36,477,542","25,878,454","25,878,454","10,599,088","50,000",-,"50,000","595,223",-,-,-,-,-,"595,223","137,420","19,972",-,"19,972","117,448","897,580","897,580","745,074",-,-,-,"4,734,593","4,734,593",166,-,166,"3,414,901","1,808,896","479,398","-9,972",-,-,"5,632,173",-,"4,734,593","117,448","4,268,896","917,552","4,268,896","1,035,000",-,"166,532","145,547",-,"20,986"
16,3/31/2019,"42,091,433","4,954,325","3,919,325","462,254",-,"3,457,071",-,"74,736","74,736","1,035,000","1,035,000",-,"1,035,000","74,736",-,-,-,-,"2,857,603","217,445",-,"2,640,158","197,470","32,545,392","32,863,286",0,"12,040,806","332,619","20,489,861",-,"317,894",-,-,-,-,-,"228,589","350,985",-,-,-,-,"350,985","-122,396","465,697","465,697",-,-,-,-,"996,210","37,499,503","36,273,972","26,262,439","26,262,439","10,011,533","50,000",-,"50,000","526,048",-,-,-,-,-,"526,048","152,393","39,550",-,"39,550","112,843","497,090","497,090","344,657",-,-,-,"4,591,930","4,591,930",166,-,166,"3,305,054","1,798,958","479,265","-32,983",-,-,"5,089,020",-,"4,591,930","112,843","4,126,233","536,640","4,126,233","649,483",-,"166,484","145,501",-,"20,983"
17,12/31/2018,"41,042,356","4,407,377","3,372,377","516,291",-,"2,856,086",-,"74,069","74,069","1,035,000","1,035,000",-,"1,035,000","74,069",-,-,-,-,"2,973,482","2,973,482",-,"2,741,847","184,873","32,074,142","32,385,464",275,"12,056,970","331,270","19,996,949",-,"311,322",-,-,-,-,-,"119,180","237,727",-,-,-,-,"237,727","-118,547","465,547","465,547",-,-,-,0,"862,866","36,618,382","35,439,628","24,062,619","24,062,619","11,377,009","50,000",-,"50,000","598,109",-,-,-,-,-,"598,109","57,638","57,638",-,"57,638",-,"473,007","473,007","326,172",-,0,-,"4,423,974","4,423,974",166,-,166,"3,160,132","1,789,811","467,961","-58,174",-,-,"4,896,981",-,"4,423,974",-,"3,958,427","530,645","3,958,427","530,645",-,"165,868","144,961",-,"20,906"
18,9/30/2018,"39,073,106","3,654,687","2,619,687","408,049",-,"2,211,638",-,"73,729","73,729","1,035,000","1,035,000",-,"1,035,000","73,729",-,-,-,-,"2,908,704","2,908,704",-,"2,676,510","148,097","30,903,258","31,213,299","3,114","11,517,054","333,181","19,359,950",-,"310,041",-,-,-,-,-,"120,265","236,184",-,-,-,-,"236,184","-115,919","465,547","465,547",-,-,-,0,"919,084","34,828,256","33,629,124","22,834,754","22,834,754","10,794,370","50,000",-,"50,000","610,355",-,-,-,-,-,"610,355","56,411","56,411",-,"56,411",-,"482,366","482,366","325,596",-,-,-,"4,244,850","4,244,850",166,-,166,"3,020,792","1,766,055","452,327","-89,836",-,-,"4,727,216",-,"4,244,850",-,"3,779,303","538,777","3,779,303","538,777",-,"165,601","144,929",-,"20,672"
19,6/30/2018,"38,072,954","3,633,371","2,658,371","415,653",-,"2,242,718",-,"73,524","73,524","975,000","975,000",-,"975,000","73,524",-,-,-,-,"2,950,039","2,950,039",-,"2,707,444","152,556","29,943,487","30,245,037","14,658","11,059,019","374,028","18,797,332",-,"301,550",-,-,-,-,-,"122,072","234,498",-,-,-,-,"234,498","-112,426","465,547","465,547",-,-,-,-,"854,430","33,958,670","32,776,132","22,036,799","22,036,799","10,739,333","50,000",-,"50,000","587,291",-,-,-,-,-,"587,291","58,523","58,523",-,"58,523",-,"486,724","486,724","325,020",-,-,-,"4,114,284","4,114,284",166,-,166,"2,883,201","1,754,711","452,327","-71,467",-,-,"4,601,008",-,"4,114,284",-,"3,648,737","545,247","3,648,737","545,247",-,"165,576","144,905",-,"20,672"
20,3/31/2018,"37,719,104","3,843,809","2,793,809","413,017",-,"2,380,792",-,"73,787","73,787","1,050,000","1,050,000",-,"1,050,000","73,787",-,-,-,-,"3,057,599","3,057,599",-,"2,811,416","160,574","29,303,775","29,601,429","46,181","10,818,304","383,980","18,352,964",-,"297,654",-,-,-,-,-,"119,733","228,859",-,-,-,-,"228,859","-109,126","465,547","465,547",-,-,-,0,"814,013","33,740,349","32,608,777","20,844,841","20,844,841","11,763,936","50,000",-,"50,000","560,204",-,-,-,-,-,"560,204","30,277","30,277",-,"30,277",-,"491,091","491,091","324,451",-,0,-,"3,978,755","3,978,755",166,-,166,"2,740,179","1,746,541","452,327","-55,804",-,-,"4,469,846",-,"3,978,755",-,"3,513,208","521,368","3,513,208","521,368",-,"165,544","144,873",-,"20,672"
21,12/31/2017,"37,150,249","3,623,014","2,573,014","457,181",-,"2,115,833",-,"73,521","73,521","1,050,000","1,050,000",-,"1,050,000","73,521",-,-,-,-,"3,241,303","3,241,303",0,"3,016,752","162,824","28,688,675","28,975,803",85,"10,697,231","336,504","17,941,983",-,"287,128",-,-,-,-,-,"121,209","233,107",-,-,-,-,"233,107","-111,898","469,433","469,433",-,-,-,"91,318","800,161","33,308,298","31,615,063","20,727,757","20,727,757","10,887,306","50,000",-,"50,000","542,656",-,-,-,-,-,"542,656",0,0,-,0,-,"495,468","495,468","323,891",-,"605,111","605,111","3,841,951","3,841,951",165,-,165,"2,576,302","1,755,330","452,327","-37,519",-,-,"4,337,419",-,"3,841,951",-,"3,372,518","495,468","3,372,518","495,468",-,"165,215","144,543",-,"20,672"
22,9/30/2017,"36,307,966","3,391,695","2,141,695","364,328",-,"1,777,367",-,"73,322","73,322","1,250,000","1,250,000",-,"1,250,000","73,322",-,-,-,-,"3,160,534","3,160,534",0,"2,956,776","178,344","28,239,609","28,525,535",178,"10,645,156","2,120,056","15,760,145",-,"285,926",-,-,-,-,-,"131,311","240,607",-,-,-,-,"240,607","-109,296","469,433","469,433",-,-,-,-,"795,029","32,526,070","31,311,662","20,318,988","20,318,988","10,992,674","50,000",-,"50,000","639,759",-,-,-,-,-,"639,759","24,813","24,813",-,"24,813",-,"499,836","499,836","323,323",-,-,-,"3,781,896","3,781,896",165,-,165,"2,520,817","1,745,181","452,050","-32,217",-,-,"4,281,732",-,"3,781,896",-,"3,312,463","524,649","3,312,463","524,649",-,"165,178","144,511",-,"20,667"
23,6/30/2017,"35,917,617","4,349,155","3,049,155","429,121",-,"2,620,034",-,"73,173","73,173","1,300,000","1,300,000",-,"1,300,000","73,173",-,-,-,-,"3,133,261","3,133,261","121,131","2,822,725","169,103","26,945,999","27,222,315","11,649","10,187,349","2,123,239","14,900,078",-,"276,316",-,-,-,-,-,"128,282","234,200",-,-,-,-,"234,200","-105,918","469,433","469,433",-,-,-,-,"777,493","32,247,356","31,154,287","20,694,057","20,694,057","10,460,230","50,000",-,"50,000","519,437",-,-,-,-,-,"519,437","24,426","24,426",-,"24,426",-,"499,206","499,206","322,756",-,-,-,"3,670,261","3,670,261",165,-,165,"2,417,367","1,738,556","451,646","-34,181",-,-,"4,169,467",-,"3,670,261",-,"3,200,828","523,632","3,200,828","523,632",-,"165,146","144,486",-,"20,660"
24,3/31/2017,"35,342,126","4,334,492","2,684,492","346,005",-,"2,338,487",-,"73,019","73,019","1,650,000","1,650,000",-,"1,650,000","73,019",-,-,-,-,"3,271,554","3,271,554","132,497","2,962,034","176,965","26,227,129","26,490,223","28,931","9,918,072","2,123,563","14,419,657",-,"263,094",-,-,-,-,-,"128,002","231,935",-,-,-,-,"231,935","-103,933","469,433","469,433",-,-,-,-,"862,553","31,776,172","30,542,975","19,884,029","19,884,029","10,658,946","200,000",-,"200,000","487,590",-,-,-,-,-,"487,590","42,023","42,023",-,"42,023",-,"503,584","503,584","322,196",-,-,-,"3,565,954","3,565,954",164,-,164,"2,328,264","1,732,585","451,541","-43,518",-,-,"4,069,538",-,"3,565,954",-,"3,096,521","545,607","3,096,521","545,607",-,"165,120","144,462",-,"20,658"
25,12/31/2016,"34,788,840","4,201,651","2,201,651","460,559",-,"1,741,092",-,-,-,"2,000,000","2,000,000",-,"2,000,000","72,775",-,-,-,-,"3,653,026","3,653,026","143,971","3,335,795","183,917","25,265,695","25,525,012","23,076","9,661,021","2,075,706","13,765,209",-,"260,520","1,203",-,-,-,-,"159,923","274,813",-,-,-,-,"274,813","-114,890","469,433","469,433",-,-,-,-,"1,015,118","31,361,099","29,890,983","19,707,037","19,707,037","10,183,946","350,000",-,"350,000","552,096",-,-,-,-,-,"552,096","60,050","60,050",-,"60,050",-,"507,970","507,970","321,643",-,-,-,"3,427,741","3,427,741",164,-,164,"2,187,676","1,727,434","439,387","-48,146",-,-,"3,935,711",-,"3,427,741",-,"2,958,308","568,020","2,958,308","568,020",-,"164,604","144,167",-,"20,437"
26,9/30/2016,"33,255,275","3,166,832","1,666,832",-,-,"1,666,832",-,-,-,"1,500,000","1,500,000",-,"1,500,000","72,605",-,-,-,-,"3,698,558","3,391,085","154,461","307,473","173,045","24,523,869","24,772,310","47,719","9,358,045","2,079,474","13,287,072",-,"255,812","7,371",-,-,-,-,"162,482","273,150",-,-,-,-,"273,150","-110,668","469,433","469,433",-,-,-,-,"1,223,538","29,877,221","28,592,441","19,068,420","19,068,420","9,524,021","200,000",-,"200,000","535,439",-,-,-,-,-,"535,439","36,992","36,992",-,"36,992",-,"512,349","512,349","321,084",-,-,-,"3,378,054","3,378,054",164,-,164,"2,106,121","1,718,249","439,306","-7,174",-,-,"3,890,403",-,"3,378,054",-,"2,908,621","549,341","2,908,621","549,341",-,"164,567","144,133",-,"20,434"
27,6/30/2016,"32,952,212","3,442,796","1,592,796",-,-,"1,592,796",-,-,-,"1,850,000","1,850,000",-,"1,850,000","73,374",-,-,-,-,"3,629,519","3,399,540","159,208","229,979","179,657","24,020,889","24,287,506","51,290","9,163,804","2,063,430","13,008,982",-,"266,768",151,-,-,-,-,"163,423","270,342",-,-,-,-,"270,342","-106,919","469,433","469,433",-,-,-,-,"1,209,918","29,655,302","28,217,243","18,730,063","18,730,063","9,487,180","200,000",-,"200,000","691,830",-,-,-,-,-,"691,830","29,499","29,499",-,"29,499",-,"516,730","516,730","320,526",-,-,-,"3,296,910","3,296,910",164,-,164,"2,025,142","1,712,572","439,256","-1,712",-,-,"3,813,640",-,"3,296,910",-,"2,827,477","546,229","2,827,477","546,229",-,"164,536","144,102",-,"20,434"
28,3/31/2016,"33,109,169","4,065,297","2,265,297",-,-,"2,265,297",-,-,-,"1,800,000","1,800,000",-,"1,800,000","73,236",-,-,-,-,"3,670,921","3,365,373","160,135","305,548","186,999","23,522,921","23,796,698","28,795","8,818,243","2,046,784","12,902,876",-,"260,238","-13,539",-,-,-,-,"165,234","269,048",-,-,-,-,"269,048","-103,814","469,433","469,433",-,-,-,-,"1,193,598","29,892,388","28,596,247","19,134,679","19,134,679","9,461,568","200,000",-,"200,000","564,973",-,-,-,-,-,"564,973","10,093","10,093",-,"10,093",-,"521,075","521,075","319,973",-,-,-,"3,216,781","3,216,781",164,-,164,"1,951,035","1,706,856","439,216","-2,058",-,-,"3,737,856",-,"3,216,781",-,"2,747,348","531,168","2,747,348","531,168",-,"164,496","144,064",-,"20,433"
29,12/31/2015,"32,350,922","2,960,887","1,360,887","1,177,889","114,998","1,360,887",-,-,-,"1,600,000","1,600,000",-,"1,600,000","83,702",-,-,-,-,"4,073,142",-,-,"4,073,142","193,978","23,410,747","23,691,719","31,958","9,003,007","1,956,091","12,700,663",-,"264,959","-16,013",-,-,-,-,"166,993","267,053",-,-,-,-,"267,053","-100,060","469,433","469,433",-,-,-,-,"1,242,735","29,227,972","27,475,981","18,819,176","18,819,176","8,656,805",-,-,0,"526,483",-,-,-,-,-,"526,483",0,0,-,0,-,"1,225,508","1,225,508","1,019,424",-,-,-,"3,122,950","3,122,950",164,-,164,"1,872,594","1,701,295","436,162","-14,941",-,-,"4,348,458",-,"3,122,950",-,"2,653,517","1,225,508","2,653,517","1,225,508",-,"164,247","143,909",-,"20,337"
30,9/30/2015,"31,119,676","3,275,703","1,875,703",-,-,"1,875,703",-,-,-,"1,400,000","1,400,000",-,"1,400,000","72,942",-,-,-,-,"3,210,038",-,-,"3,210,038","170,213","22,730,677","23,008,283","349,375","8,619,156","1,834,579","12,205,173",-,"264,430","-13,176",-,-,-,-,"169,771","266,025",-,-,-,-,"266,025","-96,254","469,433","469,433",-,-,-,-,"1,263,612","28,048,561","26,759,050","18,384,858","18,384,858","8,374,192","150,000",-,"150,000","606,469",-,-,-,-,-,"606,469","3,146","3,146",-,"3,146",-,"529,896","529,896","318,872",-,-,-,"3,071,115","3,071,115",164,-,164,"1,809,913","1,695,265","436,057","1,830",-,-,"3,601,011",-,"3,071,115",-,"2,601,682","533,042","2,601,682","533,042",-,"164,205","143,870",-,"20,335"
