,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Funds Sold,Security Agree to be Resold,Security Borrowed,Customer Acceptances,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Net PPE,Gross PPE,Properties,Land And Improvements,Machinery Furniture Equipment,Construction in Progress,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Deferred Assets,Deferred Tax Assets,Assets Held for Sale,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Depositsby Bank,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Securities Loaned,Payables And Accrued Expenses,Payables,Accounts Payable,Total Tax Payable,Income Tax Payable,Other Payable,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Commercial Paper,Other Current Borrowings,Trading Liabilities,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Capital Lease Obligation,Long Term Provisions,Non Current Deferred Liabilities,Non Current Deferred Taxes Liabilities,Preferred Securities Outside Stock Equity,Liabilities of Discontinued Operations,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Unrealized Gain Loss,Minimum Pension Liabilities,Foreign Currency Translation Adjustments,Other Equity Adjustments,Other Equity Interest,Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number
10,12/31/2012,"2,012,329,000","308,990,000","147,433,000","27,885,000",-,"119,548,000","161,557,000","161,557,000","36,570,000","124,987,000","52,251,000",-,"288,334,000","227,386,000","15,488,000",-,"45,460,000","4,543,000","768,316,000","435,612,000","440,445,000","2,954,000","32,404,000","39,373,000","186,826,000","178,888,000","4,696,000","-137,000","103,922,000","100,511,000",-,"3,411,000","4,963,000","10,453,000","4,018,000",-,"4,054,000","235,000","2,146,000","4,018,000","-5,490,000","14,219,000","9,297,000","4,922,000","7,718,000","7,718,000","107,000","23,354,000","1,957,919,000","577,202,000","433,282,000",-,"433,282,000","143,920,000","118,411,000","36,144,000","82,267,000","3,109,000","133,235,000","133,235,000","131,646,000","1,589,000","1,589,000",-,-,"69,060,000","69,060,000","23,616,000","45,444,000","69,157,000","752,706,000","170,753,000","170,753,000",-,"5,110,000","1,455,000","1,455,000","12,091,000","78,000","45,552,000","54,410,000","54,003,000","2,380,000","2,380,000","29,198,000","23,778,000","60,000","-1,293,000",-,-,-,-,-,"407,000","224,756,000","54,003,000",-,"39,784,000","293,816,000","39,784,000","239,813,000","92,380,000","1,091,913","1,091,542",370.912
11,12/31/2011,"2,164,103,000","320,985,000","177,928,000","15,928,000",-,"162,000,000","143,057,000","143,057,000","25,773,000","117,284,000","58,598,000",-,"275,662,000","222,885,000","11,528,000",-,"41,249,000","4,875,000","859,582,000","456,010,000","460,553,000","2,916,000","31,457,000","38,657,000","181,674,000","205,849,000","4,162,000","-381,000","129,957,000","126,408,000",-,"3,549,000","5,509,000","10,637,000",-,-,"3,933,000","429,000","1,973,000","4,302,000","-5,128,000","15,802,000","10,973,000","4,829,000","8,737,000","8,737,000","2,366,000","26,020,000","2,109,443,000","601,731,000","502,684,000",-,"502,684,000","99,047,000","128,917,000","35,311,000","93,606,000","8,089,000","145,922,000","145,922,000","143,398,000","2,524,000","2,524,000",-,-,"65,356,000","65,356,000","30,807,000","34,549,000","73,517,000","838,817,000","178,497,000","178,497,000",-,"2,621,000","1,789,000","1,789,000","12,344,000","1,669,000","50,174,000","54,660,000","53,390,000","2,380,000","2,380,000","30,119,000","23,695,000","823,000","-1,981,000",-,-,-,-,-,"1,270,000","231,887,000","53,390,000",-,"37,588,000","297,243,000","37,588,000","243,853,000","65,925,000","1,091,913","1,062,675","29,238"
12,12/31/2010,"1,905,630,000","238,811,000","109,534,000","17,157,000",-,"92,377,000","129,277,000","129,277,000","20,365,000","108,912,000","56,803,000",-,"309,726,000","248,211,000","11,873,000",-,"49,642,000","4,859,000","657,780,000","454,115,000","458,278,000","2,373,000","37,750,000","35,115,000","176,355,000","206,685,000","3,296,000","-867,000","111,934,000","107,364,000",-,"4,570,000","5,802,000","10,378,000",-,-,"3,621,000","298,000","1,813,000","4,646,000","-4,576,000","15,594,000","10,762,000","4,832,000","8,341,000","8,341,000","13,468,000","28,397,000","1,855,238,000","533,984,000","444,916,000",-,"444,916,000","89,068,000","135,921,000","27,922,000","107,999,000","3,276,000","122,838,000","122,838,000","120,102,000","2,736,000","2,736,000",-,-,"64,990,000","64,990,000","31,322,000","33,668,000","75,162,000","647,171,000","185,512,000","185,512,000",-,"2,204,000","2,307,000","2,307,000","12,250,000","12,598,000","57,025,000","50,392,000","48,843,000","2,380,000","2,380,000","25,999,000","23,515,000","450,000","-2,601,000",-,-,-,-,-,"1,549,000","234,355,000","48,843,000",-,"33,249,000","299,345,000","33,249,000","250,502,000","140,968,000","1,091,913","1,079,652","12,261"
13,12/31/2009,"1,500,664,000","153,376,000","56,579,000","9,346,000",-,"47,233,000","96,797,000","96,797,000","6,820,000","89,977,000","63,496,000",-,"241,254,000","213,063,000","11,072,000",-,"17,119,000","8,487,000","596,410,000","291,839,000","296,432,000","1,001,000","20,510,000","27,002,000","87,632,000","160,287,000","3,343,000","-1,250,000","101,046,000","96,878,000","3,426,000","4,168,000","2,777,000","6,268,000","1,469,000",-,"2,741,000","466,000","1,592,000","1,469,000","-3,491,000","10,169,000","7,420,000","2,749,000","7,150,000","7,150,000","106,000","24,660,000","1,462,695,000","344,220,000","292,489,000",-,"292,489,000","51,731,000","98,290,000","45,495,000","52,795,000","5,564,000","116,651,000","116,651,000","114,510,000","2,141,000","2,141,000",-,-,"42,897,000","42,897,000","20,906,000","21,991,000","69,386,000","576,973,000","147,624,000","147,624,000",-,"1,307,000","2,157,000","2,157,000","10,577,000","23,000","47,049,000","37,969,000","36,647,000","1,589,000","1,589,000","24,056,000","14,830,000","48,000","-3,780,000",-,-,-,-,-,"1,322,000","184,271,000","36,647,000",-,"26,478,000","227,168,000","26,478,000","190,521,000","133,942,000","799,302","798,421",880.197
14,12/31/2008,"2,202,423,000","178,558,000","74,565,000","9,826,000","9,849,160","64,739,000","103,993,000","103,993,000","9,267,000","94,726,000","64,101,000",-,"248,066,000","216,041,000","9,312,000",-,"22,713,000","3,135,000","1,224,493,000","317,970,000","321,056,000","1,229,000","21,733,000","30,923,000","79,536,000","187,635,000","1,938,000","-1,148,000","114,927,000","108,715,000",-,"6,212,000","3,712,000","6,811,000",-,-,"2,500,000","1,317,000","1,513,000","1,481,000","-3,099,000","9,877,000","7,533,000","2,344,000","8,470,000","8,470,000",-,"29,114,000","2,170,509,000","395,553,000","361,342,000",-,"361,342,000","34,211,000","139,750,000","87,117,000","52,633,000","3,216,000","118,933,000","118,933,000","116,579,000","2,354,000","2,354,000","111,731,322",-,"39,115,000","39,115,000","26,095,000","13,020,000","78,724,000","1,181,617,000","154,647,000","154,647,000",-,"1,418,000","3,784,000","3,784,000","9,729,000",-,"44,023,000","31,914,000","30,703,000","1,461,000","1,461,000","20,074,000","14,961,000","939,000","-4,851,000","-882,000",-,"-3,620,000","-349,000","-3,000","1,211,000","185,350,000","30,703,000",-,"20,826,000","224,465,000","20,826,000","193,762,000","119,197,000","745,478","734,931","10,547"
15,12/31/2007,"2,020,349,000","254,986,000","30,247,000","8,632,000","8,645,391","21,615,000","224,739,000","224,739,000","13,597,000","211,142,000","125,791,000",-,"505,116,000","451,827,000","14,630,000",-,"38,659,000","4,570,000","603,059,000","321,593,000","323,390,000","2,431,000","14,002,000","25,323,000","62,016,000","219,618,000","1,705,000","-92,000","164,480,000","158,708,000","7,561,031","5,772,000","2,409,000","5,407,000",-,-,"2,297,000","124,000","1,444,000","1,542,000","-2,998,000","9,383,000","7,232,000","2,151,000","4,772,000","4,772,000",-,"24,190,000","1,981,883,000","457,946,000","427,759,000",-,"427,759,000","30,187,000","363,684,000","178,741,000","184,943,000","9,565,000","139,709,000","139,709,000","135,194,000","4,515,000","4,515,000","128,611,599",-,"53,410,000","53,410,000","31,187,000","22,223,000","119,853,000","608,528,000","179,556,000","179,556,000",-,"1,295,000","2,124,000","2,124,000","6,345,000",-,"39,868,000","38,466,000","37,044,000","1,358,000","1,358,000","25,116,000","15,808,000","2,819,000","1,133,000","3,635,000",-,"-2,450,000","-52,000","-3,552,000","1,422,000","216,600,000","37,044,000",-,"27,661,000","270,010,000","27,661,000","232,966,000","202,719,000","682,844","645,078","37,766"
16,12/31/2006,"1,126,230,000","165,242,000","26,479,000","7,009,000","7,008,633","19,470,000","138,763,000","138,763,000","138,763,000",-,"108,266,000","342,000","446,673,000","424,523,000","96,000",-,"22,054,000","5,261,000","75,344,000","218,989,000","220,596,000","36,723,000","15,798,000","28,454,000","51,977,000","87,644,000","1,754,000","147,000","77,399,000","68,055,000","6,015,301","9,344,000","4,149,000","7,917,000",-,"687,000","3,066,000","114,000","1,366,000","2,684,000","-3,768,000","8,411,000","7,144,000","1,267,000",-,-,-,"16,154,000","1,093,422,000","408,782,000","378,395,000",-,"378,395,000","30,387,000","187,129,000","187,129,000",-,"23,240,000","78,930,000","69,198,000","62,167,000","7,031,000","7,031,000","56,037,995","9,732,000","19,793,000","19,793,000","6,806,000","12,987,000","126,243,000","92,611,000","132,495,000","132,495,000",-,-,-,-,-,-,"24,199,000","32,808,000","32,808,000","1,343,000","1,343,000","25,069,000","14,424,000","2,378,000","-2,193,000","614,000",0,"-2,214,000","-593,000","-3,457,000",-,"165,303,000","32,808,000",-,"24,397,000","185,096,000","24,397,000","152,288,000","125,809,000","641,969","641,969",-
17,12/31/2005,"991,408,221","149,413,319","18,519,940",-,"6,566,199","11,953,741","130,893,379","130,893,379",-,-,-,-,"570,759,470","448,052,521","122,706,950",-,-,-,-,"151,240,406","153,167,121",-,-,-,-,"153,167,121","1,926,715",-,-,-,-,-,"5,075,147",-,-,-,-,-,-,-,-,"8,237,088",-,-,-,-,-,"106,682,790","961,495,162","380,497,589","350,515,297",-,"350,515,297","29,982,292","143,415,341",-,-,-,-,-,-,-,-,-,-,"20,533,619","20,533,619",-,"20,533,619",-,-,"113,467,665","113,467,665",-,-,-,-,-,-,"303,580,948","29,913,059","29,913,059","1,419,285","1,419,285","22,610,622","11,663,298","3,365,420","-2,414,727",-,-,-,-,-,-,"143,380,724","29,913,059",-,"21,675,971","163,914,343","21,675,971","134,001,284","115,481,345","650,861","650,861",-
18,12/31/2004,"839,447,382","149,478,311","25,649,134",-,"7,573,761","18,075,373","123,829,178","123,829,178",-,-,-,-,"458,772,782","372,871,421","85,901,361",-,-,-,-,"136,243,595","138,663,185",-,-,-,-,"138,663,185","2,343,609","-75,981",-,-,-,-,"5,221,299",-,-,-,-,-,-,-,-,"7,441,716",-,-,-,-,-,"82,289,679","813,562,191","329,225,846","301,972,259",-,"301,972,259","27,253,588","105,214,561",-,-,-,-,-,-,-,-,-,-,"20,103,255","20,103,255",-,"20,103,255",-,-,"106,790,983","106,790,983",-,-,-,-,-,-,"252,227,546","25,885,191","25,885,191","1,391,264","1,391,264","19,799,331","11,138,968","1,571,996","-4,872,376",-,-,-,-,-,-,"132,676,174","25,885,191",-,"18,443,475","152,779,429","18,443,475","126,894,238","101,245,105","665,939","665,939",-
19,12/31/2003,"802,211,685","133,470,885","21,248,243",-,"6,624,592","14,623,651","112,222,642","112,222,642",-,-,-,"59,552","442,024,591","344,767,826","97,256,765",-,-,-,-,"144,692,911","148,149,323",-,-,-,-,"148,149,323","3,275,374","-181,039","3,605,690","3,605,690","3,605,690",-,"5,775,774",-,-,-,-,-,-,-,-,"7,843,428",-,-,-,-,-,"64,738,854","774,058,557","305,619,765","277,500,781",-,"277,500,781","28,118,984","102,254,389",-,-,-,"3,786,729","3,786,729","3,786,729",-,-,-,-,"22,251,103","22,251,103",-,"22,251,103",-,-,"97,309,965","97,309,965",-,-,-,-,-,-,"242,836,607","28,153,128","28,153,128","1,487,218","1,487,218","20,450,243","11,127,536","969,511","-3,943,153",-,-,-,-,794.03,-,"125,463,092","28,153,128",-,"20,309,699","147,714,195","20,309,699","119,561,067","98,312,824","727,487","727,487",-
20,12/31/2002,"759,035,840","152,495,212","34,700,497",-,"8,986,507","25,713,990","117,794,716","117,794,716",-,-,-,"98,156","356,571,832","297,330,452","59,241,380",-,-,-,-,"167,453,982","172,024,427",-,-,-,-,"172,024,427","4,320,766","-249,678","4,211,174","4,211,174","4,211,174",-,"8,890,257",-,-,-,-,-,-,-,-,"9,791,767",-,-,-,-,-,"59,523,459","729,018,238","327,920,789","297,335,217",-,"297,335,217","30,585,572","90,790,405",-,-,-,"4,671,459","4,671,459","4,671,459",-,-,-,-,"11,583,350","11,583,350",-,"11,583,350",-,-,"104,148,185","104,148,185",-,-,-,-,-,-,"189,904,050","30,017,602","30,017,602","1,593,366","1,593,366","22,106,045","11,208,833","1,961,212","-2,928,477",-,-,-,-,-952.97,-,"134,165,787","30,017,602",-,"20,225,835","145,749,138","20,225,835","115,731,536","81,031,039","753,712","753,712",-
