,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Funds Sold,Security Agree to be Resold,Security Borrowed,Customer Acceptances,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Net PPE,Gross PPE,Properties,Land And Improvements,Machinery Furniture Equipment,Construction in Progress,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Deferred Assets,Deferred Tax Assets,Assets Held for Sale,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Depositsby Bank,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Securities Loaned,Payables And Accrued Expenses,Payables,Accounts Payable,Total Tax Payable,Income Tax Payable,Other Payable,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Commercial Paper,Other Current Borrowings,Trading Liabilities,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Capital Lease Obligation,Long Term Provisions,Non Current Deferred Liabilities,Non Current Deferred Taxes Liabilities,Preferred Securities Outside Stock Equity,Liabilities of Discontinued Operations,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Unrealized Gain Loss,Minimum Pension Liabilities,Foreign Currency Translation Adjustments,Other Equity Adjustments,Other Equity Interest,Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number
15,6/30/2019,"1,436,096,000","180,252,000","171,126,000","160,982,000",-,"10,144,000","9,126,000","9,126,000",-,-,"647,000",-,"313,972,000","162,608,000","101,405,000",-,"49,959,000","919,000","366,007,000","414,889,000","414,889,000",-,-,-,-,-,-,-,"2,139,000",-,-,"2,139,000","5,334,000",-,-,-,-,-,-,-,-,"7,708,000",-,-,"5,553,000","5,553,000",-,"138,676,000","1,371,114,000","576,506,000","576,506,000",-,"576,506,000",-,"7,532,000",-,-,"2,992,000","1,818,000","1,818,000",-,"1,818,000","1,818,000",-,-,"12,418,000","12,418,000",-,"12,418,000","110,212,000","347,048,000","147,629,000","147,629,000",-,"2,511,000","678,000","678,000","3,269,000",-,"158,501,000","64,982,000","63,417,000","5,291,000","5,291,000","12,624,000","40,318,000","12,000","521,000",-,-,-,-,"4,675,000","1,565,000","211,046,000","63,417,000",-,"55,709,000","223,464,000","55,709,000","160,047,000",-,"2,066,700","2,064,900","1,800"
16,3/31/2019,"1,437,179,000","208,573,000","198,742,000","187,314,000",-,"11,428,000","9,831,000","9,831,000",-,-,"4,792,000",-,"327,221,000","164,840,000","108,502,000",-,"53,879,000","921,000","331,040,000","410,564,000","410,564,000",-,-,-,-,-,-,-,"1,147,000",-,-,"1,147,000","5,439,000",-,-,-,-,-,-,-,-,"9,183,000",-,-,"7,413,000","7,413,000",-,"130,886,000","1,367,984,000","575,108,000","575,108,000",-,"575,108,000",-,"5,662,000",-,-,"2,887,000","889,000","889,000",-,"889,000","889,000",-,-,"13,024,000","13,024,000",-,"13,024,000","138,142,000","316,106,000","153,942,000","153,942,000",-,"2,959,000","517,000","517,000","3,261,000",-,"155,487,000","69,195,000","67,590,000","5,291,000","5,291,000","16,587,000","40,271,000","28,000","794,000",-,-,-,-,"4,675,000","1,605,000","221,532,000","67,590,000",-,"58,407,000","234,556,000","58,407,000","166,966,000",-,"2,066,800","2,063,200","3,600"
17,12/31/2018,"1,348,137,000","251,474,000","197,612,000","188,731,000",-,"8,881,000","53,862,000","53,862,000","8,222,000","45,640,000","27,606,000",-,"210,470,000","141,238,000","24,239,000",-,"44,993,000","879,000","320,058,000","429,629,000","433,888,000","5,092,000","206,269,000","187,422,000",-,"35,105,000","4,259,000",-,"70,181,000","69,211,000",-,"970,000","2,422,000","6,382,000","778,000",-,"2,602,000","142,000","2,860,000","778,000","-3,960,000","9,141,000","3,876,000","5,265,000","7,230,000","7,230,000","2,679,000","16,368,000","1,279,399,000","564,405,000","564,405,000","81,980,000","482,425,000","221,746,000","51,121,000","4,867,000","46,254,000","3,359,000","94,138,000","94,138,000","93,194,000","944,000","944,000",-,-,"14,158,000","14,158,000","2,752,000","11,406,000","61,819,000","301,487,000","157,690,000","157,690,000",-,"2,711,000","512,000","512,000","3,168,000","1,242,000","23,589,000","68,738,000","67,170,000","5,291,000","5,291,000","16,714,000","40,252,000","15,000","253,000",-,-,-,-,"4,675,000","1,568,000","224,860,000","67,170,000",-,"58,029,000","239,018,000","58,029,000","171,848,000",-,"2,066,773","2,065,429","1,344"
18,9/30/2018,"1,379,982,000","261,491,000","210,322,000","201,190,000",-,"9,132,000","51,169,000","51,169,000","8,671,000","42,498,000","27,547,000",-,"210,231,000","144,695,000","22,469,000",-,"43,067,000","849,000","323,887,000","423,432,000","423,432,000","4,804,000",-,-,-,"418,628,000",-,-,"91,470,000","90,561,000",-,"909,000","2,506,000",-,-,-,-,-,-,-,-,"9,056,000",-,-,"7,110,000","7,110,000","7,266,000","15,137,000","1,311,195,000","552,744,000","332,414,000",-,"332,414,000","220,330,000","50,727,000","5,443,000","45,284,000","4,499,000","118,127,000","118,127,000","117,237,000","890,000","890,000",-,-,"17,281,000","17,281,000",-,"17,281,000","63,333,000","309,932,000","158,726,000","158,726,000",-,"3,041,000","513,000","513,000","3,148,000","4,984,000","24,140,000","68,787,000","67,252,000","5,291,000","5,291,000","17,162,000","40,134,000","22,000","12,000",-,-,-,-,"4,675,000","1,535,000","225,978,000","67,252,000",-,"58,196,000","243,259,000","58,196,000","176,007,000",-,"2,066,800","2,064,900","1,900"
19,6/30/2018,"1,420,960,000","267,935,000","218,958,000","208,086,000",-,"10,872,000","48,977,000","48,977,000","7,725,000","41,252,000","22,283,000",-,"218,346,000","149,946,000","26,102,000",-,"42,298,000","851,000","347,582,000","419,745,000","419,745,000","4,811,000",-,-,-,"414,934,000",-,-,"106,077,000","104,850,000",-,"1,227,000","2,540,000",-,-,-,-,-,-,-,-,"8,982,000",-,-,"7,050,000","7,050,000","2,641,000","16,928,000","1,352,099,000","558,487,000","337,408,000",-,"337,408,000","221,079,000","45,650,000","14,310,000","31,340,000","6,486,000","128,273,000","128,273,000","127,351,000","922,000","922,000",-,-,"17,693,000","17,693,000",-,"17,693,000","63,043,000","333,375,000","163,801,000","163,801,000",-,"3,349,000","494,000","494,000","3,143,000","2,691,000","25,614,000","68,861,000","67,332,000","5,291,000","5,291,000","16,985,000","40,141,000","75,000","315,000",-,-,-,-,"4,675,000","1,529,000","231,133,000","67,332,000",-,"58,350,000","248,826,000","58,350,000","181,494,000",-,"2,066,773","2,059,886","6,887"
20,3/31/2018,"1,477,735,000","247,962,000","237,880,000","226,720,000",-,"11,160,000","10,082,000","10,082,000",-,-,"1,738,000",-,"346,814,000","173,014,000","120,649,000",-,"53,151,000","898,000","337,454,000","387,366,000","387,366,000",-,-,-,-,"387,366,000",-,-,"1,514,000",-,-,"1,514,000","2,453,000",-,-,-,-,-,-,-,-,"8,751,000",-,-,"6,628,000","6,628,000",-,"136,157,000","1,409,710,000","570,852,000","344,692,000",-,"344,692,000","226,160,000","18,374,000",-,-,"7,695,000","1,105,000","1,105,000",-,"1,105,000","1,105,000",-,-,"17,476,000","17,476,000",-,"17,476,000","132,706,000","322,629,000","161,480,000","161,480,000",-,"5,483,000","323,000","323,000","3,802,000",-,"167,785,000","68,025,000","66,615,000","5,291,000","5,291,000","17,164,000","39,974,000","24,000","-463,000",-,-,-,-,"4,673,000","1,410,000","228,095,000","66,615,000",-,"57,864,000","245,571,000","57,864,000","178,956,000",-,"2,066,700","2,065,300","1,400"
21,12/31/2017,"1,474,732,000","244,891,000","234,920,000","225,655,000",-,"9,265,000","9,971,000","9,971,000","9,971,000","57,843,000","16,732,000",-,"328,504,000","184,661,000","91,315,000","3,170,000","49,358,000","866,000","361,032,000","401,699,000","401,699,000","2,685,000","199,149,000","189,712,000","179,452,000","401,699,000","3,921,000","-259,000","1,215,000","85,389,000",-,"1,215,000","2,663,000","6,742,000","1,387,000",-,"2,473,000","139,000","2,743,000","1,387,000","-4,081,000","8,839,000","3,781,000","5,058,000","6,799,000","6,799,000","45,000","101,492,000","1,406,633,000","580,812,000","354,473,000","98,041,000","354,473,000","226,339,000","18,105,000","18,105,000","53,840,000","6,688,000","1,001,000","1,001,000","109,365,000","1,001,000","1,001,000",-,-,"18,411,000","18,411,000","5,274,000","18,411,000","135,336,000","342,726,000","159,715,000","159,715,000",-,"5,219,000","346,000","346,000","5,491,000","16,000","132,783,000","68,099,000","67,849,000","5,291,000","5,291,000","17,454,000","39,918,000","9,000","520,000",-,-,-,-,"4,675,000","250,000","227,564,000","67,849,000",-,"59,010,000","245,975,000","59,010,000","178,126,000",-,"2,066,773","2,066,402",371.09
22,9/30/2017,"1,521,454,000","289,340,000","215,117,000","204,390,000",-,"10,727,000","74,223,000","74,223,000","10,580,000","63,643,000","42,147,000",-,"234,567,000","174,416,000","8,569,000","3,179,000","48,403,000","1,571,000","372,019,000","416,821,000","416,821,000","2,481,000",-,-,-,"414,340,000",-,-,"129,162,000","127,897,000",-,"1,265,000","2,772,000",-,-,-,-,-,-,-,-,"8,773,000",-,-,"7,829,000","7,829,000","456,000","15,997,000","1,450,844,000","574,691,000","350,461,000",-,"350,461,000","224,230,000","55,466,000","16,499,000","38,967,000","6,508,000","162,327,000","162,327,000","161,253,000","1,074,000","1,074,000",-,-,"18,279,000","18,279,000",-,"18,279,000","78,101,000","348,346,000","165,982,000","165,982,000",-,"5,025,000","396,000","396,000","5,583,000","780,000","29,360,000","70,610,000","70,345,000","5,291,000","5,291,000","19,787,000","39,715,000","18,000","901,000",-,-,-,-,"4,669,000","265,000","236,327,000","70,345,000",-,"61,572,000","254,606,000","61,572,000","184,261,000",-,"2,066,800","2,066,200",600
23,6/30/2017,"1,568,734,000","300,526,000","236,623,000","227,514,000",-,"9,109,000","63,903,000","63,903,000","11,025,000","52,878,000","45,560,000",-,"238,843,000","175,792,000","9,121,000","3,189,000","50,741,000","1,731,000","396,340,000","419,049,000","419,049,000","2,383,000",-,-,-,"416,666,000",-,-,"129,281,000","128,033,000",-,"1,248,000","2,746,000",-,-,-,-,-,-,-,-,"8,834,000",-,-,"7,983,000","7,983,000","466,000","17,375,000","1,497,524,000","581,479,000","359,619,000",-,"359,619,000","221,860,000","74,890,000","21,373,000","53,517,000","5,122,000","159,408,000","159,408,000","158,327,000","1,081,000","1,081,000",-,-,"20,232,000","20,232,000",-,"20,232,000","72,324,000","371,682,000","171,735,000","171,735,000",-,"5,425,000","450,000","450,000","5,694,000","736,000","28,347,000","71,210,000","70,932,000","5,291,000","5,291,000","19,383,000","39,828,000","33,000","1,789,000",-,-,-,-,"4,674,000","278,000","242,667,000","70,932,000",-,"62,098,000","262,899,000","62,098,000","191,967,000",-,"2,066,800","2,065,400","1,400"
24,3/31/2017,"1,564,756,000","264,132,000","189,928,000","179,461,000",-,"10,467,000","74,204,000","74,204,000","14,058,000","60,146,000","47,503,000",-,"242,967,000","176,926,000","10,950,000","3,197,000","51,894,000","1,777,000","421,218,000","431,228,000","431,228,000","2,514,000",-,-,-,"428,714,000",-,-,"119,089,000","117,522,000",-,"1,567,000","2,832,000",-,-,-,-,-,-,-,-,"9,039,000",-,-,"8,427,000","8,427,000","563,000","15,981,000","1,499,904,000","555,440,000","348,668,000",-,"348,668,000","206,772,000","73,308,000","18,469,000","54,839,000","4,508,000","145,834,000","145,834,000","144,723,000","1,111,000","1,111,000",-,-,"20,109,000","20,109,000",-,"20,109,000","77,383,000","399,062,000","179,841,000","179,841,000",-,"6,742,000","474,000","474,000","6,334,000","890,000","29,979,000","64,852,000","64,560,000","3,531,000","3,531,000","19,491,000","33,838,000","84,000","3,109,000",-,-,-,-,"4,675,000","292,000","244,401,000","64,560,000",-,"55,521,000","264,510,000","55,521,000","199,950,000","10,022,000","1,379,300","1,374,700","4,600"
25,12/31/2016,"1,590,546,000","256,661,000","192,970,000","181,364,000",-,"11,606,000","63,691,000","63,691,000","16,287,000","47,404,000","41,217,000",-,"225,256,000","157,844,000","11,541,000","3,206,000","52,665,000","1,831,000","485,150,000","432,373,000","436,919,000","2,759,000","193,097,000","202,536,000","178,145,000","38,527,000","4,546,000","-88,000","109,092,000","107,533,000",-,"1,559,000","2,804,000","6,982,000","1,516,000",-,"2,406,000","240,000","2,820,000","1,516,000","-4,178,000","8,982,000","4,103,000","4,879,000","8,666,000","8,666,000","563,000","17,951,000","1,525,728,000","550,204,000","550,204,000","116,094,000","434,110,000","200,122,000","76,137,000","25,740,000","50,397,000","3,598,000","126,060,000","126,060,000","124,731,000","1,329,000","1,329,000",-,-,"17,295,000","17,295,000","3,219,000","14,076,000","60,611,000","463,858,000","178,830,000","178,830,000",-,"10,973,000","486,000","486,000","6,373,000","701,000","30,602,000","64,818,000","64,502,000","3,531,000","3,531,000","18,987,000","33,765,000",0,"3,550,000",-,-,-,-,"4,669,000","316,000","243,332,000","64,502,000",-,"55,520,000","260,627,000","55,520,000","196,125,000","3,155,000","1,545,391","1,545,163",227.944
26,9/30/2016,"1,688,951,000","206,692,000","118,858,000","108,250,000",-,"10,608,000","87,834,000","87,834,000","22,327,000","65,507,000","48,168,000",-,"252,766,000","162,456,000","22,194,000","3,215,000","64,901,000","2,055,000","542,205,000","449,617,000","449,617,000","2,893,000",-,-,-,"446,724,000",-,-,"143,581,000","142,366,000",-,"1,215,000","2,697,000",-,-,-,-,-,-,-,-,"9,560,000",-,-,"7,711,000","7,711,000","3,596,000","20,303,000","1,622,224,000","540,609,000","347,945,000",-,"347,945,000","192,664,000","63,983,000","20,484,000","43,499,000","2,572,000","170,846,000","170,846,000","169,585,000","1,261,000","1,261,000",-,-,"22,352,000","22,352,000",-,"22,352,000","65,603,000","524,113,000","169,927,000","169,927,000",-,"9,560,000","828,000","828,000","6,135,000","147,000","45,549,000","66,727,000","66,443,000","3,531,000","3,531,000","20,860,000","33,597,000","21,000","3,803,000",-,-,-,-,"4,673,000","284,000","236,370,000","66,443,000",-,"56,883,000","258,722,000","56,883,000","192,279,000","73,421,000","1,545,422","1,544,973",448.175
