,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Investment Securities,Earnings Losses from Equity Investments,Depreciation Amortization Depletion,Depreciation & amortization,Deferred Tax,Deferred Income Tax,Other non-cash items,Asset Impairment Charge,Provision for Loan Lease And Other Losses,Change in working capital,Change in Loans,Change in Other Current Assets,Change in Other Current Liabilities,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Proceeds Payment Federal Funds Sold And Securities Purchased Under Agreement To Resell,Proceeds Payment in Interest Bearing Deposits in Bank,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Purchase of PPE,Sale of PPE,Net Business Purchase And Sale,Purchase of Business,Sale of Business,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Change in Federal Funds And Securities Sold for Repurchase,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Net Other Financing Charges,Other Cash Adjustment Inside Change in Cash,End Cash Position,Changes in Cash,Effect of Exchange Rate Changes,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
10,12/31/2013,"7,184,000","7,184,000","681,000","-926,000","-493,000","-433,000",-,-,"-179,000","-179,000","399,000","2,443,000","2,065,000","2,701,000","-27,391,000","12,048,000","-17,625,000","35,669,000","-3,015,000","-3,015,000",-,-,"-1,915,000","-31,609,000","29,694,000",-,-,-,"-376,000","-513,000","137,000","-128,000",-,-,"-596,000","-544,000","-544,000",-,"-1,559,000","-1,559,000","1,217,000","-2,776,000",-,"1,807,000","15,455,000","-13,648,000","-38,000","11,000","-49,000","-764,000","-764,000","10,000",-,"56,041,000","3,625,000","-907,000","53,321,000",-,"742,000","10,687,000","-513,000","15,466,000","1,217,000","-2,776,000","-13,697,000","6,671,000"
11,12/31/2012,"-24,447,000","-24,447,000","291,000","-1,023,000","-626,000","-397,000",-,-,"720,000","720,000","394,000","3,235,000","1,721,000","-29,785,000","2,927,000","32,254,000","-14,017,000","-50,949,000","-2,645,000","-2,645,000",-,-,"-1,621,000","-22,184,000","20,563,000",-,-,-,"-417,000","-614,000","197,000","96,000",-,-,"-703,000","-2,359,000","-2,359,000",-,"-647,000","-647,000","61,000","-708,000",-,"-734,000","11,418,000","-12,152,000","-13,000","17,000","-30,000","-689,000","-689,000","-276,000",-,"52,535,000","-29,451,000","40,000","81,946,000",-,"1,280,000","16,518,000","-614,000","11,435,000","61,000","-708,000","-12,182,000","-25,061,000"
12,12/31/2011,"7,802,000","7,802,000","4,326,000","-1,063,000","-841,000","-222,000","3,697,000","3,697,000","-387,000","-387,000",-,"3,697,000","1,839,000","-610,000","-6,974,000","-17,962,000","21,476,000","2,850,000","11,915,000","11,915,000",-,-,"12,711,000","-20,208,000","32,919,000",-,-,-,"-693,000","-794,000","101,000","348,000",-,"348,000","-451,000","-3,160,000","-3,160,000",-,"-639,000","-639,000","76,000","-715,000",-,"-1,552,000","12,229,000","-13,781,000","-8,000","37,000","-45,000","-691,000","-691,000","-270,000",-,"81,946,000","16,557,000","-964,000","66,353,000",-,"1,327,000","17,743,000","-794,000","12,266,000","76,000","-715,000","-13,826,000","7,008,000"
13,12/31/2010,"-3,676,000","-3,676,000","2,330,000","-820,000","-363,000","-457,000","4,255,000","4,255,000","315,000","315,000",-,"4,255,000","1,274,000","-11,030,000","-2,112,000","-5,894,000","2,851,000","-5,875,000","7,477,000","7,477,000",-,-,"851,000","-14,232,000","15,083,000",-,-,-,"-765,000","-873,000","108,000","8,580,000",-,"8,580,000","-1,189,000","9,092,000","9,092,000",-,"1,112,000","1,112,000","1,341,000","-229,000",-,"8,213,000","23,579,000","-15,366,000","39,000","90,000","-51,000","-465,000","-465,000","193,000",-,"66,353,000","12,893,000","1,911,000","51,549,000",-,"784,000","13,740,000","-873,000","23,669,000","1,341,000","-229,000","-15,417,000","-4,549,000"
14,12/31/2009,"-13,786,000","-13,786,000","4,958,000","-845,000","-656,000","-189,000","1,782,000","1,782,000","-296,000","-296,000",-,"1,782,000","2,630,000","-22,015,000","-32,192,000","21,960,000","-15,645,000","3,862,000","401,000","401,000",-,-,"2,723,000","-15,812,000","18,535,000",-,-,-,"-553,000","-592,000","39,000","-20,000","-20,000",-,"-1,749,000","-1,020,000","-1,020,000",-,"-991,000","-991,000","457,000","-1,448,000",-,"-1,127,000","18,111,000","-19,238,000","1,303,000","1,303,000",0,"-309,000","-309,000","104,000",-,"51,549,000","-14,405,000","690,000","65,264,000",-,"520,000","15,878,000","-592,000","19,414,000","457,000","-1,448,000","-19,238,000","-14,378,000"
15,12/31/2008,"37,117,000","37,117,000","-3,896,000","-1,785,000","-1,732,000","-53,000","3,054,382","3,054,382","-1,525,000","-1,525,000","-1,741,974","3,047,000","1,084,000","40,192,000","-112,074,000","38,573,000","-15,482,000","129,175,000","-769,000","-769,000",-,-,"126,000","-38,700,000","38,826,000",-,-,-,"-832,000","-939,000","107,000","-24,000",-,-,"-39,000","3,220,000","3,220,000",-,"-136,000","-136,000","523,000","-659,000",-,"1,909,000","23,645,000","-21,736,000","3,404,000","3,404,000",0,"-2,274,000","-2,274,000","317,000",-,"65,264,000","39,568,000","-402,000","26,098,000",-,"2,495,000","43,724,000","-939,000","27,049,000","523,000","-659,000","-21,736,000","36,178,000"
16,12/31/2007,"16,790,000","16,790,000","6,510,000","-2,265,000","-1,907,000","-358,000","1,733,879","1,733,879","-918,000","-918,000","-13,000","1,731,000","651,000","11,094,000","81,499,000","-42,674,000","21,133,000","-48,864,000","-4,388,000","-4,388,000",-,-,"-4,515,000","-26,495,000","21,980,000",-,-,-,"312,000","-675,000","987,000","-648,000",-,-,"463,000","-3,369,000","-3,369,000",-,"-2,380,000","-2,380,000","429,000","-2,809,000",-,"-1,010,000","40,118,000","-41,128,000","1,454,000","1,874,000","-420,000","-2,005,000","-2,005,000","572,000",685.87,"26,098,000","9,033,000","-289,000","17,354,000",-,"2,806,000","58,097,000","-675,000","41,992,000","429,000","-2,809,000","-41,548,000","16,115,000"
17,12/31/2006,"-50,978,000","-50,978,000","5,986,000","-1,301,000","-953,000","-348,000","1,557,053","1,557,053","84,000","84,000","-16,000","1,557,000","330,000","-57,618,000",-,"-32,895,000","15,748,000","-40,471,000","-35,007,000","-35,007,000","-7,554,000","-7,146,000","-6,298,000","-27,371,000","21,073,000","-11,682,000","4,762,000","-16,444,000","-544,000","-970,000","426,000","-1,944,000",-,-,"161,000","86,812,000","86,812,000","42,263,000","20,903,000","21,659,000","64,603,000","-42,944,000","-756,000","-1,963,000","37,060,000","-39,023,000",-,-,-,"-1,239,000","-1,239,000","320,000",-,"7,009,000","827,000","-389,000","6,571,000",-,-,-,"-970,000","37,060,000","64,603,000","-42,944,000","-39,023,000","-51,948,000"
18,12/31/2005,"-63,911,734","-63,911,734","3,526,683","-1,492,740","-1,492,740",-,"1,472,477","1,472,477","963,358","963,358","184,904",-,-,"-68,566,415",-,-,-,-,"-49,601,524","-49,601,524",-,-,"-6,560,289","-56,505,447","49,945,158",-,-,-,"-700,777",-,-,-,-,-,"-42,340,458","112,018,829","112,018,829",-,"55,098,826","4,753,465","44,539,885","-39,786,420","50,345,361","-1,723,237",-,-,-,-,-,"-867,106",-,"-483,790",844.31,"6,566,199","-1,493,584","486,323","7,573,461",-,-,-,"-700,777",-,"44,539,885","-39,786,420",-,"-64,612,511"
19,12/31/2004,"-29,929,153","-29,929,153","2,470,490","-475,804","-475,804",-,"1,774,858","1,774,858","837,267","837,267","1,170,698",-,-,"-35,706,663",-,-,-,-,"-727,352","-727,352",-,-,"-4,125,107","-38,051,747","33,926,641",-,-,-,"-791,531",-,-,-,-,-,"4,189,285","31,898,759","31,898,759",-,"13,003,085","8,683,969","34,437,853","-25,753,884","4,319,116","-3,618,320",-,-,-,-,-,"-827,677",-,"11,803",-737.68,"7,573,761","1,241,515","-299,498","6,631,006",737.68,-,-,"-791,531",-,"34,437,853","-25,753,884",-,"-30,720,684"
20,12/31/2003,"-8,803,411","-8,803,411","1,362,555","-200,890","-200,890",-,"3,066,544","3,066,544","268,382","268,382","890,902",-,-,"-14,190,904",-,-,-,-,"7,455,148","7,455,148",-,-,"6,555,512","-19,907,126","26,462,638",-,-,-,"-989,361",-,-,-,-,-,"1,888,997","-18,263","-18,263",-,"24,230,619","10,805,954","43,115,829","-32,309,875","13,424,665","-2,070,830",-,-,-,-,-,"-754,328",-,"-38,113",-,"6,624,592","-1,366,526","-972,687","8,963,011",794.03,-,-,"-989,361",-,"43,115,829","-32,309,875",-,"-9,792,772"
21,12/31/2002,"-783,341","-783,341","396,436","-4,931,620","-4,931,620",-,"2,847,474","2,847,474","2,481,534","2,481,534","3,394,479",-,-,"-4,971,644",-,-,-,-,"23,658,433","23,658,433",-,-,"-2,288,081","-40,977,710","38,689,629",-,-,-,"-1,697,240",-,-,-,-,-,"27,643,754","-23,649,856","-23,649,856",-,"20,939,610","13,055,689","40,281,089","-27,225,400","7,883,921","-2,018,390",-,-,-,-,-,"-800,495",-,"-455,520",-,"8,986,507","-774,765","-634,678","10,396,903",-952.97,-,-,"-1,697,240",-,"40,281,089","-27,225,400",-,"-2,480,581"
22,12/31/2001,"-13,234,040","-13,234,040","167,463","-2,810,899","-2,810,899",-,"4,894,628","4,894,628","-159,595","-159,595","3,221,126",-,-,"-18,546,763",-,-,-,-,"15,434,656","15,434,656",-,-,"-38,675,991","-82,626,491","43,950,501",-,-,-,"-3,695,416",-,-,-,-,-,"57,806,063","-637,257","-637,257",-,"-19,562,777","10,090,464","33,014,856","-22,924,392","-29,653,241","-690,081",-,-,-,-,-,"-802,472",-,"-2,169,146",-,"10,406,283","1,563,359","325,934","8,516,990",-,-,-,"-3,695,416",-,"33,014,856","-22,924,392",-,"-16,929,456"
23,12/31/2000,"-33,428,577","-33,428,577","13,550,946","-4,172,716","-4,172,716",-,"3,329,442","3,329,442","-8,355,015","-8,355,015","3,348,607",-,-,"-41,129,841",-,-,-,-,"-2,482,974","-2,482,974",-,-,"43,228,444","-55,616,694","98,845,138",-,-,-,"-2,169,940",-,-,"-1,098,812",-,-,"-42,442,666","30,116,171","30,116,171",-,"47,934,595","20,920,012","61,402,491","-40,482,480","27,014,583","-23,424",-,-,-,-,-,"-708,052",-,"-30,747,562","1,065","8,525,373","-5,794,315","2,717,216","11,603,537","-1,065",-,-,"-2,169,940",-,"61,402,491","-40,482,480",-,"-35,598,517"
