,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Deposits,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Expense,Non Interest Income,Fees And Commissions,Fees & Commission Income,Trust Fees by Commissions,Other Customer Services,Fees & Commission Expense,Investment Banking Profit,Trading Gain Loss,Foreign Exchange Trading Gains,Gain Losson Saleof Assets,Gain on Sale of Security,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Insurance & Claims,Other G and A,Selling & Marketing Expense,Depreciation Amortization Depletion,Depreciation & amortization,Depreciation,Amortization,Amortization of Intangibles,Other Non Interest Expense,Special Income Charges,Gain on Sale of Business,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Write Off,Loss on Extinguishment of Debt,Other Special Charges,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
0,ttm,"47,365,000","7,678,000","29,024,000","9,059,000","9,059,000","7,286,000","3,233,000","4,468,000","4,978,000","21,346,000","5,823,000","541,000","5,716,000","2,808,000","6,458,000","39,687,000","13,039,000","13,039,000","9,005,000","4,034,000",-,"7,360,000","7,626,000","11,662,000",0,0,-,"-2,715,000","30,274,000","1,026,000","1,026,000","1,887,000","15,960,000","15,148,000","15,148,000",-,-,"812,000","2,455,000","2,455,000",-,-,-,"8,946,000","-890,000",-,-,"314,000",-,0,"576,000","13,486,000","2,225,000","10,764,000","11,261,000","11,261,000","11,261,000","497,000","10,764,000",-,-,-,-,"4,963,000","11,261,000","12,004,150","7,701,000","2,455,000","11,261,000","-890,000","-890,000",0,"-146,850"
1,3/31/2023,"12,224,000","1,781,000","14,938,000","3,458,000","3,458,000","2,641,000","2,470,000","3,389,000","2,980,000","13,157,000","3,495,000","216,000","2,650,000","2,360,000","4,436,000","10,443,000","3,377,000","3,377,000","2,289,000","1,088,000",-,"1,578,000","5,488,000","363,000",0,0,-,"171,000","7,975,000","265,000","265,000","383,000","4,262,000","4,090,000","4,090,000",-,-,"172,000","615,000","615,000",-,-,-,"2,450,000","-427,000",-,-,-,"355,000",-,"72,000","3,993,000","759,000","3,087,000","3,234,000","3,234,000","3,234,000","147,000","3,087,000",8.87,8.79,"346,600","351,300","1,952,000","3,234,000","3,579,870","5,859,000","615,000","3,234,000","-427,000","-427,000",0,"-81,130"
2,12/31/2022,"10,593,000","2,074,000","12,411,000","3,122,000","3,122,000","2,302,000","1,841,000","2,756,000","2,390,000","10,337,000","2,848,000","208,000","2,283,000","1,500,000","3,498,000","8,519,000","3,226,000","3,226,000","2,258,000","968,000",-,"1,873,000","3,420,000","-2,335,000",0,0,-,"-972,000","7,922,000","261,000","261,000","495,000","3,980,000","3,764,000","3,764,000",-,-,"216,000","727,000","727,000",-,-,-,"2,459,000","-169,000",-,-,"184,000",-,-,"169,000","1,530,000","204,000","1,185,000","1,326,000","1,326,000","1,326,000","141,000","1,185,000",3.35,3.32,"349,500","356,700","1,102,000","1,326,000","1,472,467","4,597,000","727,000","1,326,000","-169,000","-169,000",0,"-22,533"
3,9/30/2022,"11,975,000","2,043,000","8,550,000","2,487,000","2,487,000","1,912,000","1,107,000","1,542,000","1,502,000","6,507,000","1,811,000","152,000","1,503,000","990,000","2,051,000","9,932,000","3,271,000","3,271,000","2,276,000","995,000",-,"1,541,000","5,120,000","5,769,000",0,0,-,"-515,000","7,513,000","255,000","255,000","465,000","3,805,000","3,606,000","3,606,000",-,-,"199,000","666,000","666,000",-,-,-,"2,322,000","-191,000",-,-,"106,000",-,-,"191,000","3,756,000","687,000","2,962,000","3,069,000","3,069,000","3,069,000","107,000","2,962,000",8.35,8.25,"352,800","359,200","1,528,000","3,069,000","3,225,065","2,649,000","666,000","3,069,000","-191,000","-191,000",0,"-34,935"
4,6/30/2022,"11,864,000","1,734,000","4,851,000","1,900,000","1,900,000","1,601,000","277,000","372,000","701,000","3,117,000","794,000","104,000","1,176,000","307,000","736,000","10,130,000","3,466,000","3,466,000","2,393,000","1,073,000",-,"1,785,000","4,879,000","4,087,000",0,0,-,"-667,000","7,653,000","259,000","259,000","490,000","3,930,000","3,695,000","3,695,000",-,-,"235,000","570,000","570,000",-,-,-,"2,404,000","-91,000",-,-,-,-,-,"91,000","3,544,000","617,000","2,786,000","2,927,000","2,927,000","2,927,000","141,000","2,786,000",7.81,7.73,"355,000","360,500","1,067,000","2,927,000","2,927,000","649,000","570,000","2,927,000","-91,000","-91,000",0,0
5,3/31/2022,"12,933,000","1,827,000","3,212,000","1,550,000","1,550,000","1,471,000","8,000","-202,000","385,000","1,385,000","370,000","77,000","754,000","11,000","173,000","11,106,000","3,075,000","3,075,000","2,064,000","1,011,000",-,"2,131,000","5,900,000","4,141,000",0,0,"-90,000","-561,000","7,591,000","251,000","251,000","437,000","4,245,000","4,083,000","4,083,000",-,-,"162,000","492,000","492,000",-,-,-,"2,166,000","-125,000",-,-,-,-,-,"125,000","4,656,000","717,000","3,831,000","3,939,000","3,939,000","3,939,000","108,000","3,831,000",10.87,10.76,"351,200","355,900","1,266,000","3,939,000","4,044,750","-194,000","492,000","3,939,000","-125,000","-125,000",0,"-19,250"
6,12/31/2021,"12,639,000","1,795,000","3,010,000","1,441,000","1,441,000","1,509,000","-15,000","-329,000","404,000","1,215,000","325,000","94,000","754,000","-41,000","83,000","10,844,000","3,072,000","3,072,000","2,219,000","853,000",-,"3,604,000","4,168,000","1,106,000",0,0,"1,912,000","-344,000","7,088,000","254,000","254,000","511,000","3,439,000","3,246,000","3,246,000",-,-,"193,000","488,000","488,000",-,-,-,"2,396,000","-182,000",-,-,"9,000",-,-,"182,000","5,025,000","1,090,000","3,809,000","3,935,000","3,935,000","3,935,000","126,000","3,809,000",10.96,10.81,"346,600","352,300","1,451,000","3,935,000","4,077,521","-344,000","488,000","3,935,000","-182,000","-182,000",0,"-39,479"
7,9/30/2021,"13,608,000","1,564,000","3,117,000","1,363,000","1,363,000","1,588,000","-13,000","-220,000","399,000","1,553,000","319,000","115,000","843,000","33,000","243,000","12,044,000","2,999,000","2,999,000","2,139,000","860,000",-,"3,548,000","5,497,000","1,779,000",0,0,"1,568,000","-175,000","6,539,000","239,000","239,000","433,000","3,332,000","3,167,000","3,167,000",-,-,"165,000","509,000","509,000",-,-,-,"2,026,000","-52,000",-,-,-,-,-,"52,000","6,842,000","1,464,000","5,284,000","5,378,000","5,378,000","5,378,000","94,000","5,284,000",15.14,14.93,"348,300","353,900","1,389,000","5,378,000","5,418,873","-233,000","509,000","5,378,000","-52,000","-52,000",0,"-11,127"
8,6/30/2021,"15,388,000","1,629,000","2,939,000","1,295,000","1,295,000","1,508,000","7,000","-250,000","379,000","1,310,000","316,000","160,000","741,000","25,000","68,000","13,759,000","2,738,000","2,738,000","1,905,000","833,000","1,125,000","3,450,000","7,571,000","-108,000",0,0,"4,297,000","92,000","8,414,000","241,000","241,000","344,000","5,378,000","5,263,000","5,263,000",-,-,"115,000","520,000","520,000",-,-,-,"1,931,000","-226,000",-,-,-,-,-,"226,000","6,840,000","1,354,000","5,347,000","5,486,000","5,486,000","5,486,000","139,000","5,347,000",15.22,15.02,"350,800","356,000","1,721,000","5,486,000","5,667,263","-243,000","520,000","5,486,000","-226,000","-226,000",0,"-44,737"
9,3/31/2021,"17,704,000","1,482,000","3,054,000","1,220,000","1,220,000","1,700,000","-3,000","-181,000","318,000","1,572,000","343,000","158,000","893,000","-17,000","195,000","16,222,000","2,869,000","2,869,000","1,796,000","1,073,000",-,"3,566,000","9,787,000","2,850,000",0,0,"3,894,000","70,000","9,363,000","247,000","247,000","360,000","6,123,000","6,043,000","6,043,000",-,-,"80,000","498,000","498,000",-,-,-,"2,135,000","-74,000",-,-,-,-,-,"74,000","8,337,000","1,501,000","6,711,000","6,836,000","6,836,000","6,836,000","125,000","6,711,000",18.80,18.60,"356,600","360,900","1,552,000","6,836,000","6,896,680","-184,000","498,000","6,836,000","-74,000","-74,000",0,"-13,320"
10,12/31/2020,"10,655,000","1,410,000","2,973,000","1,192,000","1,192,000","1,635,000","11,000","-169,000","304,000","1,563,000","404,000","119,000","936,000","29,000","75,000","9,245,000","1,594,000","2,680,000","1,831,000","849,000","1,086,000","2,732,000","4,919,000","-1,583,000",0,0,"2,169,000","-293,000","4,797,000","254,000","254,000","350,000","2,568,000","2,479,000","2,479,000",-,"341,000","89,000","498,000","498,000",-,-,-,"1,127,000","-24,000",-,-,"39,000",-,0,"24,000","5,541,000","1,035,000","4,362,000","4,506,000","4,506,000","4,506,000","144,000","4,362,000",12.23,12.08,"356,000","361,000","1,117,000","4,506,000","4,525,517","-158,000","498,000","4,506,000","-24,000","-24,000",0,"-4,483"
11,9/30/2020,"9,870,000","1,084,000","2,932,000","1,153,000","1,153,000","1,580,000","11,000","-67,000","255,000","1,848,000","505,000","124,000","981,000","50,000","188,000","8,786,000","1,582,000","2,493,000","1,689,000","804,000","911,000","1,934,000","5,270,000","-981,000",0,0,"1,943,000","-278,000","5,037,000","235,000","235,000","298,000","3,187,000","3,117,000","3,117,000",-,"340,000","70,000","468,000","468,000",-,-,-,"849,000","-6,000",-,-,-,-,-,"6,000","4,549,000","932,000","3,483,000","3,617,000","3,617,000","3,617,000","134,000","3,483,000",9.77,9.68,"355,900","359,900","806,000","3,617,000","3,621,771","-56,000","468,000","3,617,000","-6,000","-6,000",0,"-1,229"
12,6/30/2020,"12,350,000","944,000","3,034,000","1,222,000","1,222,000","1,578,000","18,000","-16,000","232,000","2,090,000","659,000","158,000","1,131,000","72,000","70,000","11,406,000","1,565,000","2,510,000","1,635,000","875,000","945,000","2,733,000","7,108,000","42,000",0,0,"1,321,000","-1,590,000","6,510,000","233,000","233,000","311,000","4,567,000","4,478,000","4,478,000",-,"345,000","89,000","499,000","499,000",-,-,-,"900,000","-945,000",-,-,-,-,-,"945,000","3,305,000","882,000","2,247,000","2,423,000","2,423,000","2,423,000","176,000","2,247,000",6.29,6.26,"355,700","359,100","-646,000","2,423,000","3,115,809","2,000","499,000","2,423,000","-945,000","-945,000",0,"-252,191"
13,3/31/2020,"7,768,000","1,313,000","4,750,000","1,316,000","1,316,000","2,044,000","205,000","534,000","651,000","3,437,000","818,000","141,000","1,105,000","448,000","925,000","6,455,000","1,813,000","2,788,000","1,768,000","1,020,000","975,000","1,742,000","2,900,000",-,0,0,"-782,000","-937,000","5,299,000","238,000","238,000","347,000","3,388,000","3,235,000","3,235,000",-,"321,000","153,000","437,000","437,000",-,-,-,"889,000","-184,000",-,-,-,-,"-1,000","184,000","1,348,000","135,000","1,123,000","1,213,000","1,213,000","1,213,000","90,000","1,123,000",3.12,3.11,"358,000","361,100","376,000","1,213,000","1,378,600","739,000","437,000","1,213,000","-184,000","-184,000",0,"-18,400"
14,12/31/2019,"9,141,000","1,065,000","4,922,000","1,709,000","1,709,000","1,625,000","230,000","692,000","666,000","3,857,000","879,000","168,000","1,240,000","528,000","1,042,000","8,076,000","1,544,000","2,358,000","1,671,000","687,000","814,000","1,832,000","4,700,000",-,0,0,"2,221,000","-336,000","5,394,000","318,000","318,000","366,000","3,246,000","3,046,000","3,046,000",-,"308,000","200,000","464,000","464,000",-,-,-,"1,000,000","-1,090,000",-,-,-,-,-,"1,090,000","2,321,000","404,000","1,724,000","1,917,000","1,917,000","1,917,000","193,000","1,724,000",4.74,4.69,"362,400","367,300","729,000","1,917,000","2,817,271","922,000","464,000","1,917,000","-1,090,000","-1,090,000",0,"-189,729"
15,9/30/2019,"7,470,000","1,008,000","5,459,000","1,246,000","1,246,000","1,909,000","287,000","1,100,000","917,000","4,451,000","945,000","190,000","1,321,000","710,000","1,285,000","6,462,000","1,461,000","2,314,000","1,556,000","758,000","853,000","1,687,000","3,314,000",-,0,0,"930,000","-291,000","4,716,000","252,000","252,000","350,000","2,900,000","2,731,000","2,731,000",-,"283,000","169,000","473,000","473,000",-,-,-,"741,000","-47,000",-,-,-,-,-,"47,000","2,416,000","539,000","1,793,000","1,877,000","1,877,000","1,877,000","84,000","1,793,000",4.83,4.79,"370,000","374,300","717,000","1,877,000","1,913,514","1,387,000","473,000","1,877,000","-47,000","-47,000",0,"-10,486"
16,6/30/2019,"8,638,000","1,071,000","5,760,000","1,256,000","1,256,000","1,935,000","317,000","1,301,000","951,000","4,689,000","887,000","168,000","1,414,000","751,000","1,469,000","7,567,000","1,464,000","2,287,000","1,480,000","807,000","823,000","1,863,000","4,240,000",-,0,0,"1,817,000","-214,000","5,231,000","234,000","234,000","302,000","3,503,000","3,317,000","3,317,000",-,"290,000","186,000","399,000","399,000",-,-,-,"793,000","-66,000",-,-,-,-,-,"66,000","3,127,000","706,000","2,198,000","2,421,000","2,421,000","2,421,000","223,000","2,198,000",5.86,5.81,"374,500","378,000","857,000","2,421,000","2,472,099","1,618,000","399,000","2,421,000","-66,000","-66,000",0,"-14,901"
17,3/31/2019,"8,045,000","1,218,000","5,597,000","1,200,000","1,200,000","1,887,000","377,000","1,304,000","829,000","4,379,000","857,000","142,000","1,384,000","669,000","1,327,000","6,827,000","1,414,000","2,176,000","1,433,000","743,000","762,000","1,810,000","3,603,000",-,0,0,"1,064,000","-224,000","5,065,000","225,000","225,000","298,000","3,443,000","3,259,000","3,259,000",-,"286,000","184,000","368,000","368,000",-,-,-,"731,000","-37,000",-,-,-,-,-,"37,000","2,719,000","468,000","2,182,000","2,251,000","2,251,000","2,251,000","69,000","2,182,000",5.73,5.71,"379,800","382,400","994,000","2,251,000","2,281,636","1,681,000","368,000","2,251,000","-37,000","-37,000",0,"-6,364"
18,12/31/2018,"7,250,000","991,000","5,468,000","1,166,000","1,166,000","1,731,000","403,000","1,268,000","900,000","4,477,000","791,000","149,000","1,443,000","667,000","1,427,000","6,259,000","1,575,000","2,405,000","1,567,000","838,000","830,000","2,044,000","2,640,000",-,0,0,"1,220,000","-222,000","3,804,000","215,000","215,000","317,000","2,065,000","1,857,000","1,857,000",-,"262,000","208,000","377,000","377,000",-,-,-,"830,000","-516,000",-,-,-,-,0,"516,000","2,708,000","170,000","2,322,000","2,538,000","2,538,000","2,538,000","216,000","2,322,000",6.11,6.04,"379,500","384,300","769,000","2,538,000","3,021,607","1,671,000","377,000","2,538,000","-516,000","-516,000",0,"-32,393"
19,9/30/2018,"7,772,000","856,000","5,061,000","1,090,000","1,090,000","1,715,000","371,000","1,021,000","864,000","4,205,000","684,000","156,000","1,454,000","515,000","1,396,000","6,916,000","1,570,000","2,284,000","1,580,000","704,000","714,000","1,980,000","3,526,000",-,0,0,"-160,000",-,"4,718,000","203,000","203,000","238,000","3,258,000","3,091,000","3,091,000",-,"250,000","167,000","317,000","317,000",-,-,-,"702,000","24,000",-,-,-,-,"-160,000","136,000","3,078,000","554,000","2,453,000","2,524,000","2,524,000","2,524,000","71,000","2,453,000",6.35,6.28,"385,400","390,500","856,000","2,524,000","2,504,320","1,392,000","317,000","2,524,000","24,000","24,000",0,"4,320"
20,6/30/2018,"8,590,000","1,002,000","4,920,000","1,000,000","1,000,000","1,782,000","334,000","938,000","866,000","3,918,000","630,000","184,000","1,353,000","485,000","1,266,000","7,588,000","1,711,000","2,523,000","1,728,000","795,000","812,000","2,045,000","3,832,000",-,0,0,"1,286,000",-,"5,166,000","197,000","197,000","223,000","3,649,000","3,466,000","3,466,000",-,"260,000","183,000","335,000","335,000",-,-,-,"762,000","-148,000",-,-,-,-,-,"148,000","3,276,000","711,000","2,348,000","2,565,000","2,565,000","2,565,000","217,000","2,348,000",6.04,5.98,"387,800","392,600","1,002,000","2,565,000","2,680,879","1,272,000","335,000","2,565,000","-148,000","-148,000",0,"-32,121"
21,3/31/2018,"9,192,000","918,000","4,230,000","892,000","892,000","1,666,000","310,000","625,000","737,000","3,312,000","501,000","206,000","1,305,000","384,000","916,000","8,274,000","1,657,000","2,501,000","1,639,000","862,000","844,000","1,793,000","4,824,000",-,0,0,"1,620,000",-,"5,729,000","194,000","194,000","235,000","4,297,000","4,115,000","4,115,000",-,"251,000","182,000","299,000","299,000",-,-,-,"704,000","-44,000",-,-,-,-,-,"44,000","3,419,000","587,000","2,737,000","2,832,000","2,832,000","2,832,000","95,000","2,737,000",7.02,6.95,"389,100","393,800","918,000","2,832,000","2,868,432","935,000","299,000","2,832,000","-44,000","-44,000",0,"-7,568"
22,12/31/2017,"7,197,000","898,000","3,736,000","785,000","785,000","1,568,000","252,000","535,000","596,000","2,838,000","410,000","186,000","1,188,000","273,000","781,000","6,299,000","1,689,000","2,326,000","1,554,000","772,000","637,000","2,141,000","2,469,000",-,0,0,"1,254,000",-,"4,080,000","190,000","190,000","304,000","2,332,000","2,157,000","2,157,000",-,"230,000","175,000","350,000","350,000",-,-,-,"904,000","-9,000",-,-,-,-,"-6,000","9,000","3,108,000","5,036,000","-2,143,000","-1,928,000","-1,928,000","-1,928,000","215,000","-2,143,000",-5.51,-5.51,"389,800","389,800","898,000","-1,928,000","-1,922,600","787,000","350,000","-1,928,000","-9,000","-9,000",0,"-3,600"
23,9/30/2017,"7,701,000","730,000","3,411,000","693,000","693,000","1,492,000","212,000","448,000","566,000","2,681,000","381,000","200,000","1,111,000","242,000","747,000","6,971,000","1,508,000","2,133,000","1,419,000","714,000","625,000","1,797,000","3,666,000",-,0,0,"1,554,000",-,"4,707,000","177,000","177,000","227,000","3,310,000","3,172,000","3,172,000",-,"220,000","138,000","280,000","280,000",-,-,-,"713,000","-18,000",-,-,-,-,-,"18,000","2,976,000","848,000","2,035,000","2,128,000","2,128,000","2,128,000","93,000","2,035,000",5.09,5.02,"398,200","405,700","730,000","2,128,000","2,140,871","660,000","280,000","2,128,000","-18,000","-18,000",0,"-5,129"
24,6/30/2017,"7,224,000","788,000","3,220,000","635,000","635,000","1,493,000","193,000","397,000","502,000","2,432,000","315,000","191,000","1,124,000","212,000","590,000","6,436,000","1,564,000","2,227,000","1,433,000","794,000","663,000","1,730,000","3,142,000",-,0,0,"1,227,000",-,"4,715,000","190,000","190,000","229,000","3,374,000","3,233,000","3,233,000",-,"224,000","141,000","265,000","265,000",-,-,-,"657,000","-22,000",-,-,-,-,-,"22,000","2,509,000","678,000","1,631,000","1,831,000","1,831,000","1,831,000","200,000","1,631,000",4.00,3.95,"406,100","413,300","788,000","1,831,000","1,831,000","590,000","265,000","1,831,000","-22,000","-22,000",0,0
25,3/31/2017,"7,411,000","516,000","2,746,000","565,000","565,000","1,351,000","162,000","281,000","387,000","2,230,000","274,000","121,000","1,176,000","136,000","523,000","6,895,000","1,553,000","2,168,000","1,397,000","771,000","615,000","1,703,000","3,639,000",-,0,0,"1,221,000",-,"4,733,000","176,000","176,000","205,000","3,425,000","3,291,000","3,291,000",-,"223,000","134,000","257,000","257,000",-,-,-,"670,000","-139,000",-,-,-,-,-,"139,000","2,539,000","284,000","2,162,000","2,255,000","2,255,000","2,255,000","93,000","2,162,000",5.23,5.15,"412,500","420,100","516,000","2,255,000","2,378,432","443,000","257,000","2,255,000","-139,000","-139,000",0,"-15,568"
26,12/31/2016,"7,544,000","336,000","2,424,000","516,000","516,000","1,346,000","175,000","235,000","152,000","2,088,000","251,000","105,000","1,293,000","88,000","351,000","7,208,000","1,634,000","2,260,000","1,499,000","761,000","626,000","1,486,000","4,088,000",-,0,0,"1,222,000",-,"4,000,000","179,000","179,000","209,000","2,578,000","2,447,000","2,447,000",-,"200,000","131,000","267,000","267,000",-,-,-,"767,000","-147,000",-,-,-,-,-,"147,000","3,397,000","1,050,000","2,153,000","2,347,000","2,347,000","2,347,000","194,000","2,153,000",5.17,5.08,"415,200","423,500","336,000","2,347,000","2,448,563","410,000","267,000","2,347,000","-147,000","-147,000",0,"-45,437"
27,9/30/2016,"7,555,000","614,000","2,389,000","483,000","483,000","1,276,000","102,000","169,000","359,000","1,775,000","233,000","105,000","1,064,000","112,000","261,000","6,941,000","1,526,000","2,139,000","1,386,000","753,000","613,000","1,537,000","3,878,000",-,0,0,"1,163,000",-,"4,641,000","245,000","245,000","222,000","3,299,000","3,207,000","3,207,000",-,"207,000","92,000","247,000","247,000",-,-,-,"628,000","-46,000",-,-,-,-,-,"46,000","2,868,000","774,000","2,100,000","2,094,000","2,094,000","2,094,000","-6,000","2,100,000",4.96,4.88,"422,400","430,200","614,000","2,094,000","2,127,586","271,000","247,000","2,094,000","-46,000","-46,000",0,"-12,414"
28,6/30/2016,"7,307,000","754,000","2,530,000","432,000","432,000","1,426,000","99,000","193,000","380,000","1,776,000","225,000","109,000","1,020,000","124,000","298,000","6,553,000","1,412,000","2,037,000","1,260,000","777,000","625,000","1,787,000","3,354,000",-,0,0,"864,000",-,"4,718,000","181,000","181,000","231,000","3,443,000","3,331,000","3,331,000",-,"205,000","112,000","245,000","245,000",-,-,-,"618,000","-126,000",-,-,-,-,-,"126,000","2,463,000","641,000","1,634,000","1,822,000","1,822,000","1,822,000","188,000","1,634,000",3.77,3.72,"431,900","439,200","754,000","1,822,000","1,915,208","292,000","245,000","1,822,000","-126,000","-126,000",0,"-32,792"
29,3/31/2016,"5,647,000","883,000","2,348,000","412,000","412,000","1,396,000","76,000","94,000","370,000","1,465,000","169,000","127,000","865,000","118,000","186,000","4,764,000","1,488,000","2,179,000","1,262,000","917,000","691,000","1,463,000","1,813,000",-,0,0,"-49,000",-,"3,994,000","183,000","183,000","220,000","2,784,000","2,662,000","2,662,000",-,"197,000","122,000","239,000","239,000",-,-,-,"568,000","-77,000",-,-,-,-,-,"77,000","1,576,000","441,000","1,200,000","1,135,000","1,135,000","1,135,000","-65,000","1,200,000",2.71,2.68,"440,800","447,400","883,000","1,135,000","1,190,440","170,000","239,000","1,135,000","-77,000","-77,000",0,"-21,560"
