,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash Equivalents,Cash And Due from Banks,Restricted Cash And Investments,Restricted Cash & Cash Equivalents,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Security Agree to be Resold,Security Borrowed,Customer Acceptances,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Receivables,Accounts receivable,Other Receivables,Net PPE,Gross PPE,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Deferred Assets,Deferred Tax Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Depositsby Bank,Customer Accounts,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Financial Instruments Sold Under Agreements To Repurchase,Securities Loaned,Payables And Accrued Expenses,Payables,Accounts Payable,Total Tax Payable,Income Tax Payable,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Current Notes Payable,Commercial Paper,Other Current Borrowings,Trading Liabilities,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Capital Lease Obligation,Employee Benefits,Non Current Pension And Other Post-Retirement Benefit Plans,Preferred Securities Outside Stock Equity,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Foreign Currency Translation Adjustments,Other Equity Adjustments,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
10,9/30/2020,"1,132,000,000","382,000,000","153,000,000",-,"153,000,000",-,-,"229,000,000","101,277,000","101,277,000","127,391,000",-,"489,000,000","408,000,000","81,000,000","5,771,000",-,"307,000","64,520,000","112,000,000","112,000,000","2,506,000","50,439,000","36,856,000","22,083,000","3,673,000","3,714,000","111,000,000","111,000,000","7,226,000","25,783,000","35,823,000","35,823,000","-10,040,000","4,965,000","4,333,000","632,000",-,-,"38,000,000","1,039,000,000","261,000,000","261,234,000","93,315,000","167,919,000","144,000,000","101,279,000","17,288,000","187,000,000","187,000,000","187,000,000","3,111,000","3,111,000","8,832,000","48,000,000","48,000,000",-,"1,098,000","48,000,000","162,000,000","56,698,000","214,000,000","214,000,000","2,268,000","7,286,000",-,-,"23,000,000","93,000,000","93,000,000","11,212,000","11,203,000","9,000","109,033,000","55,662,000","85,930,000","-635,000",-,-,"3,308,000",-,"307,000,000","11,203,000","93,000,000","2,268,000","93,000,000","262,000,000","93,000,000","262,000,000","109,000,000","901,632","344,071","187,198","557,561"
11,6/30/2020,"1,142,000,000","406,000,000","132,000,000",-,"132,000,000",-,-,"274,000,000","130,820,000","130,820,000","142,806,000",-,"474,000,000","398,000,000","76,000,000","5,750,000",-,"303,000","62,970,000","117,000,000","117,000,000","2,746,000","57,877,000","34,976,000","21,152,000","4,244,000","3,901,000","107,000,000","107,000,000","6,922,000","26,045,000","35,665,000","35,665,000","-9,620,000","4,792,000","4,196,000","596,000",-,-,"38,000,000","1,050,000,000","268,000,000","268,537,000","94,642,000","173,895,000","131,000,000","88,282,000","16,560,000","199,000,000","199,000,000","199,000,000","3,671,000","3,671,000","10,769,000","44,000,000","44,000,000",-,-,"44,000,000","163,000,000","52,936,000","223,000,000","223,000,000","2,325,000","6,019,000",-,-,"22,000,000","92,000,000","92,000,000","11,212,000","11,203,000","9,000","106,248,000","55,637,000","85,930,000","-341,000",-,-,"3,203,000",-,"315,000,000","11,203,000","92,000,000","2,325,000","92,000,000","267,000,000","92,000,000","267,000,000","135,000,000","901,490","343,935","188,998","557,555"
12,3/31/2020,"1,090,000,000","360,000,000","106,000,000",-,"106,000,000",-,-,"254,000,000","132,333,000","132,333,000","121,670,000",-,"444,000,000","375,000,000","69,000,000","5,756,000",-,"283,000","74,571,000","128,000,000","128,000,000","3,157,000","66,612,000","35,924,000","20,555,000","5,073,000","2,868,000","121,000,000","121,000,000","6,005,000","25,904,000","35,134,000","35,134,000","-9,230,000","4,810,000","4,196,000","614,000",-,-,"37,000,000","998,000,000","220,000,000","219,994,000","67,909,000","152,085,000","147,000,000","95,864,000","13,869,000","213,000,000","213,000,000","213,000,000","3,172,000","3,172,000","8,359,000","37,000,000","37,000,000",-,-,"37,000,000","137,000,000","62,039,000","226,000,000","226,000,000","2,289,000","3,352,000",-,-,"18,000,000","92,000,000","92,000,000","11,212,000","11,203,000","9,000","106,501,000","55,621,000","85,929,000","1,937,000",-,-,"3,037,000",-,"318,000,000","11,203,000","92,000,000","2,289,000","92,000,000","263,000,000","92,000,000","263,000,000","157,000,000","901,409","343,857","188,998","557,552"
13,12/31/2019,"993,000,000","355,000,000","133,000,000",-,"133,000,000",-,-,"222,000,000","85,691,000","85,691,000","136,071,000",-,"419,000,000","355,000,000","64,000,000","5,825,000",-,"285,000","45,252,000","109,000,000","109,000,000","5,323,000","44,353,000","34,545,000","22,058,000","4,066,000","1,441,000","75,000,000","75,000,000","5,799,000","24,246,000","34,196,000","34,196,000","-9,950,000","4,837,000","4,196,000","641,000",-,-,"35,000,000","903,000,000","190,000,000","190,019,000","72,814,000","117,205,000","152,000,000","117,756,000","14,985,000","175,000,000","175,000,000","175,000,000","2,947,000","2,947,000","7,636,000","48,000,000","48,000,000",-,-,"48,000,000","109,000,000","43,802,000","207,000,000","207,000,000","2,385,000","6,970,000",-,-,"22,000,000","90,000,000","90,000,000","11,212,000","11,203,000","9,000","106,465,000","54,883,000","84,006,000","-1,484,000",-,-,"3,195,000",-,"297,000,000","11,203,000","90,000,000","2,385,000","90,000,000","255,000,000","90,000,000","255,000,000","122,000,000","896,783","347,343","188,998","549,439"
14,9/30/2019,"1,007,000,000","373,000,000","94,000,000",-,"94,000,000",-,-,"279,000,000","138,299,000","138,299,000","140,369,000",-,"430,752,000",-,"424,989,000","5,763,000",-,-,-,"85,837,000","87,158,000",-,"41,463,000","23,856,000","18,319,000","3,520,000","1,321,000","594,000,000","425,000,000","169,000,000","23,590,000","33,530,000","33,530,000","-9,940,000","4,886,000","4,196,000","690,000",-,-,"40,000,000","915,000,000","183,000,000","182,702,000","72,809,000","109,893,000","140,000,000","109,438,000","13,257,000","188,000,000","188,000,000","188,000,000","3,174,000","3,174,000","6,612,000","52,000,000","52,000,000",-,-,"52,000,000",-,-,"217,000,000","217,000,000","2,383,000","5,562,000",-,-,"135,000,000","92,000,000","92,000,000","11,212,000","11,203,000","9,000","105,194,000","54,879,000","81,841,000","-484,000",-,-,"3,052,000",-,"309,000,000","11,203,000","92,000,000","2,383,000","92,000,000","269,000,000","92,000,000","269,000,000","175,000,000","896,763","357,509","159,029","539,254"
15,6/30/2019,"945,000,000","367,000,000","91,000,000",-,"91,000,000",-,-,"276,000,000","137,639,000","137,639,000","138,458,000",-,"376,767,000",-,"370,942,000","5,825,000",-,-,-,"83,769,000","84,981,000",-,"42,950,000","22,034,000","16,984,000","3,013,000","1,212,000","539,000,000","371,000,000","168,000,000","22,657,000","32,307,000","32,307,000","-9,650,000","4,114,000","3,772,000","342,000",-,-,"39,000,000","854,000,000","166,000,000","166,367,000","65,202,000","101,165,000","103,000,000","70,879,000","13,523,000","185,000,000","185,000,000","185,000,000","3,031,000","3,031,000","6,275,000","50,000,000","50,000,000",-,-,"50,000,000",-,-,"221,000,000","221,000,000","2,382,000","4,697,000",-,-,"129,000,000","91,000,000","91,000,000","11,212,000","11,203,000","9,000","103,867,000","54,865,000","81,167,000","-815,000",-,-,"2,930,000",-,"312,000,000","11,203,000","91,000,000","2,382,000","91,000,000","271,000,000","91,000,000","271,000,000","180,000,000","896,692","360,540","188,998","536,152"
16,3/31/2019,"925,000,000","368,000,000","88,000,000",-,"88,000,000",-,-,"280,000,000","132,445,000","132,445,000","147,950,000",-,"369,116,000",-,"363,275,000","5,841,000",-,-,-,"82,674,000","83,807,000",-,"40,705,000","21,776,000","18,025,000","3,301,000","1,133,000","519,000,000","363,000,000","156,000,000","21,663,000","31,063,000","31,063,000","-9,400,000","4,092,000","3,760,000","332,000",-,-,"38,000,000","835,000,000","164,000,000","164,136,000","68,716,000","95,420,000","103,000,000","70,569,000","12,599,000","181,000,000","181,000,000","181,000,000","3,080,000","3,080,000","5,884,000","45,000,000","45,000,000",-,-,"45,000,000",-,-,"225,000,000","225,000,000","2,413,000","3,232,000",-,-,"117,000,000","90,000,000","90,000,000","11,212,000","11,203,000","9,000","101,988,000","54,862,000","79,915,000","-613,000",-,-,"2,739,000",-,"315,000,000","11,203,000","90,000,000","2,413,000","90,000,000","270,000,000","90,000,000","270,000,000","182,000,000","896,690","366,772","194,998","529,919"
17,12/31/2018,"933,000,000","406,000,000","130,000,000",-,"130,000,000",-,-,"276,000,000","139,258,000","139,258,000","135,285,000",-,"336,161,000",-,"336,161,000",-,-,-,-,"80,590,000","81,656,000",-,"37,283,000","21,755,000","18,725,000","3,893,000","1,066,000","496,000,000","336,000,000","160,000,000","18,317,000","27,397,000","27,397,000","-9,080,000","4,082,000","3,758,000","324,000",-,-,"31,000,000","843,000,000","158,000,000","158,257,000","70,850,000","87,407,000","113,000,000","78,723,000","11,808,000","180,000,000","180,000,000","180,000,000","2,864,000","2,864,000","6,219,000","41,000,000","41,000,000",-,-,"41,000,000",-,-,"224,000,000","224,000,000",-,"6,956,000",-,-,"127,000,000","90,000,000","90,000,000","11,212,000","11,203,000","9,000","100,100,000","54,005,000","78,670,000","693,000",-,-,"2,845,000",-,"314,000,000","11,203,000","90,000,000",-,"90,000,000","265,000,000","90,000,000","265,000,000","135,000,000","891,356","367,742","194,998","523,614"
18,9/30/2018,"958,000,000","419,000,000","119,000,000",-,"119,000,000",-,-,"300,000,000","143,447,000","143,447,000","154,891,000",-,"351,028,000",-,"351,028,000",-,-,-,-,"76,011,000","76,985,000",-,"35,980,000","20,722,000","16,919,000","3,364,000","974,000","510,000,000","351,000,000","159,000,000","18,302,000","27,212,000","27,212,000","-8,910,000","4,101,000","3,754,000","347,000",-,-,"29,000,000","871,000,000","152,000,000","151,518,000","70,761,000","80,757,000","130,000,000","85,920,000","16,201,000","190,000,000","190,000,000","190,000,000","2,618,000","2,618,000","5,115,000","42,000,000","42,000,000",-,-,"42,000,000",-,-,"229,000,000","229,000,000",-,"6,916,000",-,-,"128,000,000","87,000,000","87,000,000","11,212,000","11,203,000","9,000","98,083,000","54,012,000","77,422,000","-1,839,000",-,-,"2,716,000",-,"316,000,000","11,203,000","87,000,000",-,"87,000,000","271,000,000","87,000,000","271,000,000","152,000,000","890,745","372,739","194,998","518,006"
19,6/30/2018,"969,000,000","429,000,000","131,000,000",-,"131,000,000",-,-,"298,000,000","135,180,000","135,180,000","162,825,000",-,"347,959,000",-,"347,959,000",-,-,-,-,"74,082,000","74,964,000",-,"34,556,000","20,783,000","16,318,000","3,307,000","882,000","511,000,000","348,000,000","163,000,000","17,108,000","25,838,000","25,838,000","-8,730,000","4,106,000","3,757,000","349,000",-,-,"29,000,000","882,000,000","153,000,000","153,441,000","74,653,000","78,788,000","136,000,000","93,219,000","16,300,000","193,000,000","193,000,000","193,000,000","2,793,000","2,793,000","5,511,000","44,000,000","44,000,000",-,-,"44,000,000",-,-,"227,000,000","227,000,000",-,"5,881,000",-,-,"129,000,000","87,000,000","87,000,000","11,212,000","11,203,000","9,000","95,941,000","54,000,000","76,177,000","-958,000",-,-,"2,581,000",-,"314,000,000","11,203,000","87,000,000",-,"87,000,000","271,000,000","87,000,000","271,000,000","140,000,000","890,582","377,879","194,998","512,703"
20,3/31/2018,"974,000,000","430,000,000","121,000,000",-,"121,000,000",-,-,"309,000,000","131,461,000","131,461,000","177,567,000",-,"337,000,000",-,"337,000,000",-,-,-,-,"71,697,000","72,461,000",-,"33,880,000","19,330,000","15,965,000","3,286,000","764,000","180,000,000","70,273,000","180,000,000","15,777,000","24,387,000","24,387,000","-8,610,000","4,049,000","3,707,000","342,000",-,-,"27,000,000","890,000,000","151,000,000","150,940,000","76,448,000","74,492,000","138,000,000","94,690,000","16,483,000","191,000,000","191,000,000","191,000,000","2,217,000","2,217,000","5,127,000","48,000,000","48,000,000",-,-,"48,000,000",-,-,"226,000,000","226,000,000",-,"4,278,000",-,-,"136,000,000","84,000,000","84,000,000","11,212,000","11,203,000","9,000","93,907,000","53,992,000","76,177,000","-1,770,000",-,-,"2,415,000",-,"310,000,000","11,203,000","84,000,000",-,"84,000,000","274,000,000","84,000,000","274,000,000","153,000,000","890,409","377,706","194,998","512,703"
21,12/31/2017,"917,000,000","422,000,000","110,000,000",-,"110,000,000","312,000,000",-,"120,822,000","120,822,000","120,822,000","190,848,000",-,"315,988,000",-,"315,988,000",-,-,-,-,"65,933,000","66,736,000",-,"30,749,000","18,503,000","14,221,000","3,263,000","803,000","94,002,000","60,112,000","33,890,000","15,094,000","23,374,000","23,374,000","-8,280,000","4,038,000","3,665,000","373,000",-,-,"495,000,000","835,000,000","139,000,000","138,604,000","69,764,000","68,840,000","84,718,000","124,000,000","14,793,000","187,653,000","182,220,000","178,000,000","4,051,000","4,051,000","5,433,000","61,818,000","61,818,000",-,-,"61,818,000",-,-,"227,598,000","227,598,000",-,"6,866,000",-,-,"808,000,000","82,000,000","82,000,000","11,862,000","11,853,000","9,000","91,519,000","53,357,000","75,392,000","-1,880,000",-,-,"2,777,000",-,"309,841,000","11,853,000","82,000,000",-,"82,000,000","359,806,000","82,000,000","289,416,000","179,365,000","884,593","374,809","220,998","509,784"
22,9/30/2017,"930,132,000","229,142,000","116,610,000",-,"116,610,000",-,-,"112,532,000","112,532,000","112,532,000","188,394,000",-,"333,474,000",-,"333,474,000",-,-,-,-,"61,486,000","62,223,000",-,"30,422,000","14,441,000","12,421,000","4,939,000","737,000","98,773,000","59,695,000","39,078,000","14,805,000","23,265,000","23,265,000","-8,460,000","4,058,000","3,665,000","393,000",-,-,-,"843,840,000","132,761,000","132,761,000","84,250,000","48,511,000","86,424,000","86,424,000","13,160,000","209,677,000","204,733,000","202,986,000","1,747,000","1,747,000","4,944,000","56,241,000","56,241,000",-,-,"56,241,000",-,-,"223,727,000","223,727,000",-,"6,569,000",-,-,"115,281,000","86,292,000","86,292,000","11,212,000","11,203,000","9,000","93,958,000","53,294,000","73,811,000","-1,716,000",-,-,"3,355,000",-,"310,019,000","11,203,000","75,089,000",-,"82,234,000","355,057,000","71,031,000","279,968,000","163,358,000","882,339","379,099","254,998","503,241"
