,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash Equivalents,Cash And Due from Banks,Restricted Cash And Investments,Restricted Cash & Cash Equivalents,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Security Agree to be Resold,Security Borrowed,Customer Acceptances,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Receivables,Accounts receivable,Other Receivables,Net PPE,Gross PPE,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Deferred Assets,Deferred Tax Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Depositsby Bank,Customer Accounts,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Financial Instruments Sold Under Agreements To Repurchase,Securities Loaned,Payables And Accrued Expenses,Payables,Accounts Payable,Total Tax Payable,Income Tax Payable,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Current Notes Payable,Commercial Paper,Other Current Borrowings,Trading Liabilities,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Capital Lease Obligation,Employee Benefits,Non Current Pension And Other Post-Retirement Benefit Plans,Preferred Securities Outside Stock Equity,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Foreign Currency Translation Adjustments,Other Equity Adjustments,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
51,6/30/2010,"883,188,000","258,295,000","89,015,000",-,"89,015,000",-,-,"169,280,000","169,280,000","169,280,000","190,079,000",-,"334,868,000","334,868,000",-,-,-,-,-,-,-,-,-,-,-,-,-,"70,746,000","57,261,000","13,485,000",-,-,-,-,-,-,-,-,-,"29,200,000","809,369,000","37,024,000","37,024,000",-,"37,024,000",-,-,"11,052,000","190,276,000","190,276,000","190,276,000",-,-,-,"39,123,000","39,123,000",-,-,"39,123,000","147,170,000",-,"178,582,000","178,582,000",-,-,-,-,"206,142,000","73,819,000","73,819,000","6,965,000","6,957,000","8,000","53,599,000","41,597,000","34,386,000","-318,000",-,-,"6,362,000",-,"252,401,000","6,957,000","66,862,000",-,"73,819,000","284,567,000","66,862,000","217,705,000","128,690,000","766,674","515,487","123,998","251,187"
52,3/31/2010,"880,528,000","236,485,000","70,117,000",-,"70,117,000",-,-,"166,368,000","166,368,000","166,368,000","202,841,000",-,"339,435,000","339,435,000",-,-,-,-,-,-,-,-,-,-,-,-,-,"71,443,000",-,-,-,-,-,-,-,-,-,-,-,"30,324,000","807,584,000","38,431,000","38,431,000",-,"38,431,000","153,517,000","153,517,000","38,878,000","215,479,000","185,746,000",-,-,-,"29,733,000","40,784,000","40,784,000",-,-,"40,784,000","140,081,000",-,"180,414,000","180,414,000",-,-,-,-,-,"72,944,000","72,944,000","6,965,000","6,957,000","8,000","53,345,000","41,444,000","34,388,000","-356,000",-,-,"5,934,000",-,"253,358,000","6,957,000","65,987,000",-,"72,944,000","287,185,000","65,987,000","221,198,000","151,081,000","765,393","514,191","123,998","251,202"
53,12/31/2009,"848,942,000","219,233,000","38,291,000",-,"38,291,000","36,663,000",-,"144,279,000","144,279,000","144,279,000","189,939,000",-,"342,402,000","342,402,000","342,402,000",-,-,"1,484,000",-,-,-,-,-,-,-,-,-,"79,584,000","55,303,000","24,281,000","11,380,000","18,660,000","18,660,000","-7,280,000","4,920,000","3,543,000","1,377,000",-,-,"7,937,000","778,228,000","39,418,000","39,418,000",-,"39,418,000","128,360,000","128,360,000","15,207,000","195,111,000","189,656,000","185,634,000","4,022,000","4,022,000","5,455,000","50,447,000","50,447,000","2,119,000","1,660,000","46,668,000","129,019,000",-,"196,288,000","196,288,000",-,"11,586,000",-,-,"141,811,000","70,714,000","70,714,000","6,965,000","6,957,000","8,000","50,252,000","39,770,000","32,156,000","-362,000",-,-,"6,245,000",-,"267,002,000","6,957,000","63,757,000",-,"65,794,000","310,492,000","58,837,000","246,735,000","208,444,000","753,412","515,114","123,998","238,298"
54,9/30/2009,"882,185,000","208,563,000","65,974,000",-,"65,974,000",-,-,"142,589,000","142,589,000","142,589,000","221,817,000",-,"352,190,000","352,190,000",-,-,-,-,-,-,-,-,-,-,-,-,-,"69,936,000",-,-,-,-,-,-,-,-,-,-,-,"29,679,000","816,831,000","42,431,000","42,431,000",-,"42,431,000","127,035,000","127,035,000","45,551,000","223,152,000","187,204,000",-,-,-,"35,948,000","38,555,000","38,555,000",-,-,"38,555,000","150,383,000",-,"189,724,000","189,724,000",-,-,-,-,-,"65,354,000","65,354,000","6,965,000","6,957,000","8,000","45,660,000","39,517,000","32,157,000","-240,000",-,-,"5,609,000",-,"255,078,000","6,957,000","58,397,000",-,"65,354,000","286,676,000","58,397,000","228,279,000","162,305,000","751,359","513,056","123,998","238,303"
55,6/30/2009,"889,544,000","214,329,000","75,990,000",-,"75,990,000",-,-,"138,339,000","138,339,000","138,339,000","218,544,000",-,"355,251,000","355,251,000",-,-,-,-,-,-,-,-,-,-,-,-,-,"72,315,000",-,-,-,-,-,-,-,-,-,-,-,"29,105,000","826,731,000","41,457,000","41,457,000",-,"41,457,000",-,-,"50,586,000","196,381,000","196,381,000",-,-,-,-,"35,173,000","35,173,000",-,-,"35,173,000","147,297,000",-,"191,242,000","191,242,000",-,-,-,-,"164,595,000","62,813,000","62,813,000","6,964,000","6,957,000","7,000","42,827,000","40,342,000","32,157,000","-350,000",-,-,"5,187,000",-,"254,055,000","6,957,000","55,856,000",-,"62,813,000","282,271,000","55,856,000","226,415,000","150,425,000","749,042","510,737","123,998","238,305"
56,3/31/2009,"925,290,000","248,158,000","105,003,000",-,"105,003,000",-,-,"143,155,000","143,155,000",-,"228,245,000",-,"349,591,000","349,591,000",-,-,-,-,-,-,-,-,-,-,-,-,-,"70,486,000",-,-,-,-,-,-,-,-,-,-,-,"28,810,000","861,737,000","44,504,000","44,504,000",-,"44,504,000","133,395,000","133,395,000","58,721,000","244,766,000","220,017,000",-,-,-,"24,749,000","44,596,000","44,596,000",-,-,"44,596,000","147,221,000",-,"188,534,000","188,534,000",-,-,-,-,-,"63,553,000","63,553,000","16,514,000","16,507,000","7,000","40,366,000","34,429,000","32,160,000","-357,000",-,-,"4,761,000",-,"252,087,000","16,507,000","47,046,000",-,"63,553,000","280,176,000","47,046,000","233,130,000","128,127,000","749,060","510,737",-,"238,323"
57,11/30/2008,"884,547,000","244,425,000","15,740,000",-,"15,740,000","106,664,000",-,"122,021,000","122,021,000","122,021,000","180,795,000","64,665,000","338,325,000",-,"338,325,000",-,-,"1,454,000",-,-,-,-,-,-,-,-,-,"103,555,000","64,665,000","38,890,000","10,793,000","17,343,000","17,343,000","-6,550,000","5,200,000","3,523,000","1,677,000",-,-,"346,684,000","820,178,000","27,643,000","27,643,000",-,"27,643,000","62,883,000","62,883,000","17,060,000","260,580,000","256,708,000","253,843,000","2,865,000","2,865,000","3,872,000","73,883,000","73,883,000","6,944,000","1,125,000","65,814,000",-,-,"185,678,000","185,678,000",-,"5,163,000",-,-,"187,288,000","64,369,000","64,369,000","16,478,000","16,471,000","7,000","39,913,000","31,071,000","32,175,000","-202,000",-,-,"9,284,000","1,643,000","250,047,000","16,471,000","47,898,000",-,"59,169,000","307,459,000","42,698,000","259,561,000","243,821,000","749,153","510,737","16,471","238,417"
58,8/31/2008,"1,081,773,000","247,005,000","12,160,000",-,"12,160,000","99,430,000",-,"135,415,000","135,415,000",-,-,"83,187,000","304,442,000",-,"304,442,000",-,-,-,-,-,-,-,-,-,-,-,-,"25,885,000",-,-,"10,717,000",-,-,-,"5,233,000",-,-,-,-,"405,304,000","1,036,174,000","29,051,000","29,051,000",-,"29,051,000","378,890,000",-,-,"358,188,000","358,188,000",-,-,-,-,"64,653,000","64,653,000",-,-,"64,653,000",-,-,"176,367,000","176,367,000",-,-,-,-,"29,025,000","45,599,000","45,599,000","3,106,000","3,100,000","6,000","42,301,000","23,597,000","32,176,000","8,771,000",-,-,-,-,"221,966,000","3,100,000","42,499,000",-,"40,366,000","283,519,000","37,266,000","241,020,000","228,860,000","633,858","395,442",124,"238,416"
59,5/31/2008,"1,088,145,000","229,558,000","13,781,000",-,"13,781,000","84,880,000",-,"130,897,000","130,897,000",-,-,"99,935,000","300,247,000",-,"300,247,000",-,-,-,-,-,-,-,-,-,-,-,-,"27,369,000",-,-,"10,515,000",-,-,-,"5,295,000",-,-,-,-,"415,226,000","1,015,251,000","29,518,000","29,518,000",-,"29,518,000","386,131,000",-,-,"346,375,000","346,375,000",-,-,-,-,"71,176,000","71,176,000",-,-,"71,176,000",-,-,"182,051,000","182,051,000",-,-,-,-,-,"72,894,000","44,818,000","3,106,000","3,100,000","6,000","41,646,000","23,463,000","31,914,000","8,517,000","56,000","8,461,000",-,"28,076,000","226,869,000","3,100,000","41,718,000",-,"39,523,000","294,945,000","36,423,000","253,227,000","239,446,000","394,203","394,203",124,-
60,2/29/2008,"1,189,006,000","225,011,000","12,715,000",-,"12,715,000","104,496,000",-,"107,800,000","107,800,000",-,-,"113,911,000","295,901,000",-,"295,901,000",-,-,-,-,-,-,-,-,-,-,-,-,"35,792,000",-,-,"10,057,000",-,-,-,"5,220,000",-,-,-,-,"503,114,000","1,138,690,000","26,961,000","26,961,000",-,"26,961,000","487,815,000",-,-,"349,198,000","349,198,000",-,-,-,-,"72,789,000","72,789,000",-,-,"72,789,000",-,-,"179,475,000","179,475,000",-,-,-,-,"22,452,000","50,316,000","42,629,000","3,106,000","3,100,000","6,000","39,751,000","23,306,000","31,712,000","8,178,000","77,000","8,101,000",-,"7,687,000","222,104,000","3,100,000","39,529,000",-,"37,409,000","291,793,000","34,309,000","252,264,000","239,549,000","394,474","394,474",124,-
61,11/30/2007,"1,119,796,000","217,538,000","11,882,000",-,"11,882,000","119,939,000",-,"85,717,000","85,717,000","85,717,000","277,413,000","129,105,000","452,595,000",-,"452,595,000",-,-,"2,014,000",-,-,-,-,-,-,-,-,-,"156,169,000","129,105,000","27,064,000","8,975,000","14,855,000","14,855,000","-5,880,000","5,092,000","3,321,000","1,771,000",-,-,"46,138,000","1,076,996,000","15,370,000","15,370,000","15,370,000",0,"159,178,000","159,178,000","28,624,000","325,748,000","320,999,000","318,453,000","2,546,000","2,546,000","4,749,000","103,967,000","103,967,000","13,251,000","4,343,000","86,373,000",-,-,"197,474,000","197,474,000",-,"14,003,000",-,-,"232,632,000","42,800,000","42,800,000","3,106,000","3,100,000","6,000","38,642,000","22,027,000","30,159,000","-118,000","68,000","9,116,000","9,302,000","7,265,000","240,274,000","3,100,000","39,700,000",-,"37,708,000","341,141,000","34,608,000","301,441,000","289,559,000","390,682","390,682",124,-
62,8/31/2007,"1,045,778,000","190,826,000","12,655,000",-,"12,655,000","97,677,000",-,"80,494,000","80,494,000",-,-,"116,487,000","695,356,000",-,"695,356,000",-,-,-,-,-,-,-,-,-,-,-,-,"23,301,000",-,-,"8,419,000",-,-,-,"5,476,000",-,-,-,-,"5,913,000","997,753,000","14,086,000","14,086,000",-,"14,086,000","454,904,000",-,-,"277,953,000","277,953,000","276,412,000","1,541,000","1,541,000",-,"66,283,000","66,283,000",-,-,"66,283,000",-,-,"151,072,000","151,072,000",-,-,-,-,"33,455,000","48,025,000","39,118,000","3,106,000","3,100,000","6,000","35,634,000","21,358,000","27,499,000","6,519,000",-,-,-,"8,907,000","190,190,000","3,100,000","36,018,000",-,"33,642,000","253,373,000","30,542,000","217,355,000","204,700,000","397,675","397,675",124,-
63,5/31/2007,"943,196,000","155,488,000","8,009,000",-,"8,009,000","78,266,000",-,"69,213,000","69,213,000",-,-,"135,241,000","630,332,000",-,"630,332,000",-,-,-,-,-,-,-,-,-,-,-,-,"5,456,000",-,-,"7,193,000",-,-,-,"5,498,000",-,-,-,-,"3,988,000","896,020,000","12,930,000","12,930,000",-,"12,930,000","321,642,000",-,-,"227,026,000","227,026,000","225,357,000","1,669,000","1,669,000",-,"60,737,000","60,737,000",-,-,"60,737,000",-,-,"243,762,000","243,762,000",-,-,-,-,"29,923,000","47,176,000","38,459,000","3,106,000","3,100,000","6,000","32,985,000","21,229,000","25,050,000","6,189,000",-,-,-,"8,717,000","282,221,000","3,100,000","35,359,000",-,"32,961,000","339,858,000","29,861,000","304,499,000","296,490,000","407,682","407,682",124,-
64,2/28/2007,"912,495,000","88,773,000","6,887,000",-,"6,887,000",-,-,"81,886,000","81,886,000",-,-,"96,305,000","319,554,000",-,"319,554,000",-,-,-,-,-,-,-,-,-,-,-,-,"16,088,000",-,-,"7,311,000",-,-,-,"5,593,000",-,-,-,-,"378,871,000","875,595,000",-,-,-,-,"385,480,000",-,-,"221,721,000","221,721,000",-,-,-,-,"54,062,000","54,062,000",-,-,"54,062,000",-,-,"132,732,000","132,732,000",-,-,-,-,"81,600,000","36,900,000","36,900,000","3,106,000","3,100,000","6,000","30,859,000","21,013,000","23,915,000","5,837,000","34,000","5,803,000",-,-,"169,632,000","3,100,000","33,800,000",-,"31,307,000","220,594,000","28,207,000","186,794,000","179,907,000","411,317","411,317",124,-
65,11/30/2006,"838,201,000","169,409,000","6,293,000",-,"6,293,000","80,990,000",-,"82,126,000","82,126,000","82,126,000","219,342,000","79,790,000","334,561,000",-,"334,561,000",-,-,"2,764,000",-,-,-,-,-,-,-,-,-,"99,449,000","79,790,000","19,659,000","6,990,000","12,050,000","12,050,000","-5,060,000","5,686,000","3,184,000","2,502,000",-,-,"35,998,000","802,415,000",-,-,-,-,"147,492,000","147,492,000","22,208,000","230,345,000","226,513,000","223,874,000","2,639,000","2,639,000","3,832,000","72,194,000","72,194,000","13,811,000","1,489,000","56,894,000",-,-,"148,976,000","148,976,000",-,"9,165,000",-,-,"172,035,000","35,786,000","35,786,000","3,106,000","3,100,000","6,000","27,868,000","19,731,000","21,230,000","21,000",-,-,"6,290,000",-,"184,762,000","3,100,000","32,686,000",-,"30,100,000","253,856,000","27,000,000","221,170,000","214,877,000","412,666","412,666",124,-
66,8/31/2006,"798,309,000","93,021,000","10,063,000",-,"10,063,000",-,-,"82,958,000","82,958,000",-,-,"76,112,000","286,499,000",-,"286,499,000",-,-,-,-,-,-,-,-,-,-,-,-,"13,200,000",-,-,-,-,-,-,-,-,-,-,-,"329,477,000","764,816,000",-,-,-,-,"311,098,000",-,-,"220,452,000","220,452,000",-,-,-,-,"72,664,000","72,664,000",-,-,"72,664,000",-,-,"129,331,000","129,331,000",-,-,-,-,"31,271,000","33,493,000","33,493,000","3,106,000","3,100,000","6,000","24,927,000","19,213,000","17,578,000","3,825,000",-,-,-,-,"162,824,000","3,100,000","30,393,000",-,"33,493,000","232,388,000","30,393,000","201,995,000","191,932,000","428,910","428,910",124,-
67,5/31/2006,"798,884,000","94,666,000","7,722,000",-,"7,722,000",-,-,"86,944,000","86,944,000",-,-,"68,769,000","281,027,000",-,"281,027,000",-,-,-,-,-,-,-,-,-,-,-,-,"24,848,000",-,-,-,-,-,-,-,-,-,-,-,"329,574,000","767,084,000",-,-,-,-,"345,548,000",-,-,"204,893,000","204,893,000",-,-,-,-,"62,321,000","62,321,000",-,-,"62,321,000",-,-,"125,590,000","125,590,000",-,-,-,-,"28,732,000","31,800,000","31,800,000","2,606,000","2,600,000","6,000","23,536,000","19,076,000","17,005,000","3,587,000",-,-,-,-,"157,390,000","2,600,000","29,200,000",-,"31,800,000","217,111,000","29,200,000","187,911,000","180,189,000","431,116","431,116",-,-
68,2/28/2006,"758,821,000","103,013,000","6,571,000",-,"6,571,000",-,-,"96,442,000","96,442,000",-,-,"68,644,000","492,295,000",-,"492,295,000",-,-,-,-,-,-,-,-,-,-,-,-,"14,971,000",-,-,-,-,-,-,-,-,-,-,-,"79,898,000","729,906,000",-,-,-,-,"321,113,000",-,-,"188,071,000","188,071,000",-,-,-,-,"58,352,000","58,352,000",-,-,"58,352,000",-,-,"114,651,000","114,651,000",-,-,-,-,"47,719,000","28,915,000","28,915,000","1,756,000","1,750,000","6,000","21,416,000","18,413,000","15,990,000","3,320,000",-,-,-,-,"143,566,000","1,750,000","27,165,000",-,"28,915,000","200,168,000","27,165,000","173,003,000","166,432,000","431,260","431,260",-,-
69,11/30/2005,"706,804,000","93,880,000","10,261,000",-,"10,261,000",-,-,"83,619,000","83,619,000",-,-,"60,231,000","243,205,000",-,"243,205,000",-,-,-,-,-,-,-,-,-,-,-,-,"15,150,000",-,-,-,-,-,-,-,-,-,-,-,"294,338,000","678,802,000",-,-,-,-,"321,428,000",-,-,"188,318,000","188,318,000",-,-,-,-,"55,219,000","55,219,000",-,-,"55,219,000",-,-,"100,007,000","100,007,000",-,-,-,-,"13,830,000","28,002,000","28,002,000","1,756,000","1,750,000","6,000","19,085,000","17,159,000","13,413,000","3,415,000",-,-,-,-,"128,009,000","1,750,000","26,252,000",-,"28,002,000","181,478,000","26,252,000","155,226,000","144,965,000","437,171","437,171",-,-
70,8/31/2005,"669,518,000","98,431,000","6,895,000",-,"6,895,000",-,-,"91,536,000","91,536,000",-,-,"50,970,000","237,314,000",-,"237,314,000",-,-,-,-,-,-,-,-,-,-,-,-,"16,443,000",-,-,-,-,-,-,-,-,-,-,-,"266,360,000","642,911,000",-,-,-,-,"300,762,000",-,-,"175,167,000","175,167,000",-,-,-,-,"52,278,000","52,278,000",-,-,"52,278,000",-,-,"101,605,000","101,605,000",-,-,-,-,"13,099,000","26,607,000","26,607,000","756,000","750,000","6,000","17,579,000","16,817,000","10,951,000","2,406,000",-,-,-,-,"128,212,000","750,000","25,857,000",-,"26,607,000","179,740,000","25,857,000","153,883,000","146,988,000","453,560","453,560",-,-
71,5/31/2005,"624,472,000","85,139,000","8,042,000",-,"8,042,000",-,-,"77,097,000","77,097,000",-,-,"42,272,000","223,547,000",-,"223,547,000",-,-,-,-,-,-,-,-,-,-,-,-,"16,097,000",-,-,-,-,-,-,-,-,-,-,-,"257,417,000","598,077,000",-,-,-,-,"257,865,000",-,-,"180,901,000","180,901,000",-,-,-,-,"53,796,000","53,796,000",-,-,"53,796,000",-,-,"95,129,000","95,129,000",-,-,-,-,"10,386,000","26,395,000","26,395,000","756,000","750,000","6,000","16,093,000","16,592,000","9,211,000","2,165,000",-,-,-,-,"121,524,000","750,000","25,645,000",-,"26,395,000","174,570,000","25,645,000","148,925,000","140,883,000","467,123","467,123",-,-
72,2/28/2005,"596,149,000","71,538,000","5,531,000",-,"5,531,000",-,-,"66,007,000","66,007,000",-,-,"43,762,000","180,362,000",-,"180,362,000",-,-,-,-,-,-,-,-,-,-,-,-,"15,800,000",-,-,-,-,-,-,-,-,-,-,-,"284,687,000","570,074,000",-,-,-,-,"253,600,000",-,-,"163,822,000","163,822,000",-,-,-,-,"48,854,000","48,854,000",-,-,"48,854,000",-,-,"95,577,000","95,577,000",-,-,-,-,"8,221,000","26,075,000","26,075,000","6,000",-,"6,000","15,354,000","16,264,000","7,530,000","1,981,000",-,-,-,-,"121,652,000",-,"26,075,000",-,"26,075,000","170,506,000","26,075,000","144,431,000","138,900,000","478,391","478,391",-,-
73,11/30/2004,"531,379,000","48,622,000","4,365,000",-,"4,365,000",-,-,"44,257,000","44,257,000",-,-,"38,087,000","203,265,000",-,"203,265,000",-,-,-,-,-,-,-,-,-,-,-,-,"14,458,000",-,-,-,-,-,-,-,-,-,-,-,"226,947,000","506,300,000",-,-,-,-,"199,064,000",-,-,"161,221,000","161,221,000",-,-,-,-,"54,959,000","54,959,000",-,-,"54,959,000",-,-,"80,696,000","80,696,000",-,-,-,-,"10,360,000","25,079,000","25,079,000","6,000",-,"6,000","13,970,000","15,501,000","6,305,000","1,907,000",-,-,-,-,"105,775,000",-,"25,079,000",-,"25,079,000","160,734,000","25,079,000","135,655,000","131,290,000","480,960","480,960",-,-
74,8/31/2004,"486,686,000","48,059,000","7,750,000",-,"7,750,000",-,-,"40,309,000","40,309,000",-,-,"34,346,000","176,719,000",-,"176,719,000",-,-,-,-,-,-,-,-,-,-,-,-,"12,402,000",-,-,-,-,-,-,-,-,-,-,-,"215,160,000","463,172,000",-,-,-,-,"168,300,000",-,-,"153,077,000","153,077,000",-,-,-,-,"59,837,000","59,837,000",-,-,"59,837,000",-,-,"71,684,000","71,684,000",-,-,-,-,"10,274,000","23,514,000","23,514,000","6,000",-,"6,000","12,901,000","15,251,000","5,765,000","1,121,000",-,-,-,-,"95,198,000",-,"23,514,000",-,"23,514,000","155,035,000","23,514,000","131,521,000","123,771,000","483,888","483,888",-,-
75,5/31/2004,"467,921,000","35,642,000","8,041,000",-,"8,041,000",-,-,"27,601,000","27,601,000",-,-,"32,644,000","188,419,000",-,"188,419,000",-,-,-,-,-,-,-,-,-,-,-,-,"11,147,000",-,-,-,-,-,-,-,-,-,-,-,"200,069,000","444,769,000",-,-,-,-,"170,710,000",-,-,"146,013,000","146,013,000",-,-,-,-,"49,831,000","49,831,000",-,-,"49,831,000",-,-,"69,012,000","69,012,000",-,-,-,-,"9,203,000","23,152,000","23,152,000","5,000",-,"5,000","12,146,000","14,838,000","5,335,000","1,498,000",-,-,-,-,"92,164,000",-,"23,152,000",-,"23,152,000","141,995,000","23,152,000","118,843,000","110,802,000","480,651","480,651",-,-
76,2/29/2004,"443,285,000","34,132,000","6,950,000",-,"6,950,000",-,-,"27,182,000","27,182,000",-,-,"35,129,000","171,821,000",-,"171,821,000",-,-,-,-,-,-,-,-,-,-,-,-,"10,089,000",-,-,-,-,-,-,-,-,-,-,-,"192,114,000","421,050,000",-,-,-,-,"146,717,000",-,-,"125,559,000","125,559,000",-,-,-,-,"50,153,000","50,153,000",-,-,"50,153,000",-,-,"69,135,000","69,135,000",-,-,-,-,"29,486,000","22,235,000","22,235,000","5,000",-,"5,000","11,082,000","14,717,000","4,965,000","1,396,000",-,-,-,-,"91,370,000",-,"22,235,000",-,"22,235,000","141,523,000","22,235,000","119,288,000","112,338,000","482,724","482,724",-,-
77,11/30/2003,"403,799,000","33,943,000","7,087,000",-,"7,087,000",-,-,"26,856,000","26,856,000",-,-,"27,180,000","158,833,000",-,"158,833,000",-,-,-,-,-,-,-,-,-,-,-,-,"9,197,000",-,-,-,-,-,-,-,-,-,-,-,"174,646,000","382,167,000",-,-,-,-,"163,311,000",-,-,"109,028,000","109,028,000",-,-,-,-,"44,202,000","44,202,000",-,-,"44,202,000",-,-,"57,482,000","57,482,000",-,-,-,-,"8,144,000","21,632,000","21,632,000","5,000",-,"5,000","9,914,000","13,562,000","4,500,000","2,651,000",-,-,-,-,"79,114,000",-,"21,632,000",-,"21,632,000","123,316,000","21,632,000","101,684,000","94,597,000","473,015","473,015",-,-
78,8/31/2003,"394,142,000","182,061,000","6,641,000",-,"6,641,000","29,382,000",-,"146,038,000","146,038,000",-,-,"31,309,000","157,735,000",-,"157,735,000",-,-,-,-,-,-,-,-,-,-,-,-,"9,103,000",-,-,-,-,-,-,-,-,-,-,-,"13,934,000","373,704,000",-,-,-,-,"155,894,000",-,-,"109,853,000","109,853,000",-,-,-,-,"48,740,000","48,740,000",-,-,"48,740,000",-,-,"52,448,000","52,448,000",-,-,-,-,"6,769,000","20,438,000","20,438,000","5,000",-,"5,000","9,062,000","13,500,000","4,382,000","2,253,000",-,-,-,-,"72,886,000",-,"20,438,000",-,"20,438,000","121,626,000","20,438,000","101,188,000","94,547,000","473,286","473,286",-,-
79,5/31/2003,"404,698,000","29,668,000","7,208,000",-,"7,208,000",-,-,"22,460,000","22,460,000",-,-,"29,528,000","138,290,000",-,"138,290,000",-,-,-,-,-,-,-,-,-,-,-,-,"13,596,000",-,-,-,-,-,-,-,-,-,-,-,"193,616,000","384,656,000",-,-,-,-,"166,095,000",-,-,"115,472,000","115,472,000",-,-,-,-,"45,819,000","45,819,000",-,-,"45,819,000",-,-,"51,268,000","51,268,000",-,-,-,-,"6,002,000","20,042,000","20,042,000","5,000",-,"5,000","8,503,000","12,934,000","4,105,000","2,705,000",-,-,-,-,"71,310,000",-,"20,042,000",-,"20,042,000","117,129,000","20,042,000","97,087,000","89,879,000","467,261","467,261",-,-
80,2/28/2003,"371,968,000","35,124,000","4,588,000",-,"4,588,000",-,-,"30,536,000","30,536,000",-,-,"25,271,000","132,324,000",-,"132,324,000",-,-,-,-,-,-,-,-,-,-,-,-,"6,188,000",-,-,-,-,-,-,-,-,-,-,-,"173,061,000","352,454,000",-,-,-,-,"153,642,000",-,-,"104,633,000","104,633,000",-,-,-,-,"45,673,000","45,673,000",-,-,"45,673,000",-,-,"43,399,000","43,399,000",-,-,-,-,"5,107,000","19,514,000","19,514,000","5,000",-,"5,000","7,864,000","12,912,000","3,831,000","2,564,000",-,-,-,-,"62,913,000",-,"19,514,000",-,"19,514,000","108,586,000","19,514,000","89,072,000","84,484,000","470,555","470,555",-,-
81,11/30/2002,"355,574,000","50,594,000","4,822,000",-,"4,822,000",-,-,"45,772,000","45,772,000",-,-,"23,159,000","133,968,000",-,"133,968,000",-,-,-,-,-,-,-,-,-,-,-,-,"5,779,000",-,-,-,-,-,-,-,-,-,-,-,"142,074,000","336,571,000",-,-,-,-,"155,630,000",-,-,"95,590,000","95,590,000",-,-,-,-,"40,638,000","40,638,000",-,-,"40,638,000",-,-,"38,711,000","38,711,000",-,-,-,-,"6,002,000","19,003,000","19,003,000","5,000",-,"5,000","7,259,000","12,773,000","3,561,000","2,527,000",-,-,-,-,"57,714,000",-,"19,003,000",-,"19,003,000","98,352,000","19,003,000","79,349,000","74,527,000","472,941","472,941",-,-
82,8/31/2002,"349,526,000","37,198,000","3,689,000",-,"3,689,000",-,-,"33,509,000","33,509,000",-,-,"22,967,000","133,660,000",-,"133,660,000",-,-,-,-,-,-,-,-,-,-,-,-,"5,786,000",-,-,-,-,-,-,-,-,-,-,-,"149,915,000","330,682,000",-,-,-,-,"156,839,000",-,-,"90,107,000","90,107,000",-,-,-,-,"40,034,000","40,034,000",-,-,"40,034,000",-,-,"37,762,000","37,762,000",-,-,-,-,"5,940,000","18,844,000","18,844,000","5,000",-,"5,000","6,811,000","12,739,000","3,118,000","2,407,000",-,-,-,-,"56,606,000",-,"18,844,000",-,"18,844,000","96,640,000","18,844,000","77,796,000","74,107,000","478,821","478,821",-,-
83,5/31/2002,"327,238,000","43,050,000","6,302,000",-,"6,302,000",-,-,"36,748,000","36,748,000",-,-,"23,813,000","132,683,000",-,"132,683,000",-,-,-,-,-,-,-,-,-,-,-,-,"4,175,000",-,-,-,-,-,-,-,-,-,-,-,"123,517,000","308,380,000",-,-,-,-,"141,546,000",-,-,"88,142,000","88,142,000",-,-,-,-,"38,812,000","38,812,000",-,-,"38,812,000",-,-,"34,497,000","34,497,000",-,-,-,-,"5,383,000","18,858,000","18,858,000","5,000",-,"5,000","6,347,000","11,978,000","2,718,000","3,246,000",-,-,-,-,"53,355,000",-,"18,858,000",-,"18,858,000","92,167,000","18,858,000","73,309,000","67,007,000","470,813","470,813",-,-
