,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Depreciation Amortization Depletion,Depreciation & amortization,Depreciation,Amortization,Amortization of Intangibles,Deferred Tax,Deferred Income Tax,Other non-cash items,Stock based compensation,Provision for Loan Lease And Other Losses,Change in working capital,Change in Receivables,Change in Payables And Accrued Expense,Change in Payable,Change in Account Payable,Change in Loans,Change in Other Current Assets,Change in Other Current Liabilities,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Proceeds Payment for Loan,Payment for Loans,Net PPE Purchase And Sale,Purchase of PPE,Sale of PPE,Net Business Purchase And Sale,Purchase of Business,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Proceeds from Stock Option Exercised,Net Other Financing Charges,End Cash Position,Changes in Cash,Effect of Exchange Rate Changes,Beginning Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
0,ttm,"8,708,000","8,708,000","11,261,000",-,"2,455,000","2,455,000",-,-,-,"-2,412,000","-2,412,000",-,"4,083,000","2,715,000","-9,394,000",-,-,-,-,"-97,835,000",-,-,"88,441,000","-75,960,000","-75,960,000","-47,575,000","-60,536,000","12,961,000","-25,228,000",-,"-1,042,000","-3,748,000","2,706,000","-2,115,000","-2,115,000",-,"59,602,000","59,602,000","38,147,000","40,109,000","86,322,000","-46,213,000","-1,962,000",-,-,"-3,500,000",-,"-3,500,000",0,0,0,"-3,682,000",-,-,"563,000","241,825,000","-7,650,000","-11,561,000","261,036,000","4,555,000","19,022,000","-3,748,000",0,"86,322,000","-46,213,000","-3,500,000","4,960,000"
1,3/31/2023,"9,404,000","9,404,000","3,234,000",-,"970,000","970,000",-,-,-,-,-,-,"1,541,000","-171,000","3,830,000",-,-,-,-,"112,696,000",-,-,"-108,866,000","-1,978,000","-1,978,000","-2,295,000","-10,461,000","8,166,000","497,000","497,000","-180,000","-597,000","417,000",0,-,-,"-20,544,000","-20,544,000","-5,257,000","-13,135,000","8,876,000","-22,011,000","7,878,000",-,-,"-2,546,000",-,"-2,546,000",-,-,-,"-1,013,000",-,-,"-286,000","229,327,000","-13,118,000","620,000","241,825,000","459,000","13,082,000","-597,000",-,"8,876,000","-22,011,000","-2,546,000","8,807,000"
2,12/31/2022,"-14,997,000","-14,997,000","1,326,000",-,"727,000","727,000",-,-,-,-,-,-,"272,000","972,000","-15,882,000",-,-,-,-,"-96,004,000",-,-,"80,122,000","-6,292,000","-6,292,000","-2,666,000","-7,547,000","4,881,000","-4,304,000",-,"680,000","-754,000","1,434,000","-2,000","-2,000",-,"-9,576,000","-9,576,000","3,997,000","6,995,000","15,203,000","-8,208,000","-2,998,000",-,-,"-1,500,000",-,"-1,500,000",0,0,0,"-1,013,000",-,-,"40,000","241,825,000","-30,865,000",-,"284,251,000","1,509,000","9,140,000","-754,000",0,"12,752,000","-6,793,000","-1,500,000","-15,751,000"
3,9/30/2022,"8,183,000","8,183,000","3,069,000",-,"666,000","666,000",-,-,-,-,-,-,"300,000","515,000","3,633,000",-,-,-,-,"59,575,000",-,-,"-55,942,000","-14,159,000","-14,159,000","-13,371,000","-16,487,000","3,116,000","152,000","152,000","-657,000","-990,000","333,000","-283,000",-,-,"1,621,000","1,621,000","-3,136,000","4,356,000","16,649,000","-12,293,000","-7,492,000",-,-,"-1,000,000",-,"-1,000,000",0,0,0,"-997,000",-,-,"386,000","284,251,000","-4,355,000",-,"288,606,000","1,446,000","6,144,000","-990,000",0,"19,100,000","-13,708,000","-1,000,000","7,193,000"
4,6/30/2022,"38,474,000","38,474,000","2,927,000",-,"570,000","570,000",-,-,-,-,-,-,"383,000","667,000","33,927,000",-,-,-,-,"8,878,000",-,-,"25,049,000","-38,488,000","-38,488,000","-25,127,000","-27,722,000","2,595,000","-11,004,000","-11,004,000","-540,000","-1,051,000","511,000","-1,817,000",-,-,"14,456,000","14,456,000","7,271,000","7,487,000","16,999,000","-9,512,000","-216,000",-,-,"-500,000",-,"-500,000",0,-,0,"-857,000",-,-,"342,000","288,606,000","14,442,000",-,"274,164,000","1,165,000","2,439,000","-1,051,000",-,"16,999,000","-9,512,000","-500,000","37,423,000"
5,3/31/2022,"-22,952,000","-22,952,000","3,939,000",-,"492,000","492,000",-,-,-,-,-,-,"3,128,000","561,000","-31,072,000",-,-,-,-,"-70,284,000",-,-,"39,212,000","-17,021,000","-17,021,000","-6,411,000","-8,780,000","2,369,000","-10,072,000","-10,072,000","-525,000","-953,000","428,000","-13,000",-,-,"53,101,000","53,101,000","30,015,000","21,271,000","37,471,000","-16,200,000","8,744,000",-,-,"-500,000",-,"-500,000",0,-,0,"-815,000",-,-,"-205,000","274,164,000","13,128,000",-,"261,036,000","435,000","1,299,000","-953,000",-,"37,471,000","-16,200,000","-500,000","-23,905,000"
6,12/31/2021,"24,897,000","24,897,000","3,935,000",-,"488,000","488,000",-,-,-,-,-,-,"207,000","344,000","19,918,000",-,-,-,-,"14,998,000",-,-,"4,920,000","-13,938,000","-13,938,000","-2,340,000","-7,914,000","5,574,000","-11,301,000",-,"-297,000","-1,119,000","822,000",0,0,-,"38,247,000","38,247,000","9,257,000","9,147,000","25,053,000","-15,906,000","110,000",-,-,"-500,000",-,"-500,000","749,000","749,000",0,"-822,000",-,-,"637,000","261,036,000","49,206,000",-,"211,830,000","1,426,000","1,127,000","-1,119,000","749,000","25,053,000","-15,906,000","-500,000","23,778,000"
7,9/30/2021,"-39,260,000","-39,260,000","5,378,000",-,"509,000","509,000",-,-,-,-,-,-,"180,000","175,000","-45,502,000",-,-,-,-,"-32,547,000",-,-,"-12,955,000","-4,819,000","-4,819,000","4,276,000","-12,282,000","16,558,000","-10,588,000","-10,588,000","1,493,000","-883,000","2,376,000",-,-,-,"15,620,000","15,620,000","-11,771,000","-1,973,000","16,683,000","-18,656,000","-9,798,000",-,-,"-1,000,000",-,"-1,000,000","748,000","748,000",0,"-792,000",-,-,"157,000","211,830,000","-28,459,000",-,"240,289,000","1,470,000","1,371,000","-883,000","748,000","16,683,000","-18,656,000","-1,000,000","-40,143,000"
8,6/30/2021,"20,467,000","20,467,000","5,486,000",-,"520,000","520,000",-,-,-,-,-,-,"202,000","-92,000","14,351,000",-,-,-,-,"-60,000",-,-,"14,411,000","-9,221,000","-9,221,000","1,382,000","-6,868,000","8,250,000","-9,793,000","-9,793,000","-810,000","-1,353,000","543,000",-,-,-,"37,888,000","37,888,000","19,672,000","15,510,000","27,655,000","-12,145,000","4,162,000",-,-,"-1,000,000",-,"-1,000,000",0,"675,000","-675,000","-560,000",-,-,"-36,000","240,289,000","49,134,000",-,"191,155,000","2,744,000","1,127,000","-1,353,000","675,000","27,655,000","-12,145,000","-1,675,000","19,114,000"
9,3/31/2021,"-5,183,000","-5,183,000","6,836,000",-,"498,000","498,000",-,-,-,-,-,-,"1,759,000","-70,000","-14,206,000",-,-,-,-,"-58,005,000",-,-,"43,799,000","-2,487,000","-2,487,000","2,471,000","-12,848,000","15,319,000","-3,838,000","-3,838,000","-1,120,000","-1,312,000","192,000",-,-,-,"42,983,000","42,983,000","21,973,000","15,630,000","28,121,000","-12,491,000","6,343,000",-,-,"-2,700,000",-,"-2,700,000","-2,000,000",0,"-2,000,000","-551,000",-,-,"-261,000","191,155,000","35,313,000",-,"155,842,000","555,000","1,896,000","-1,312,000",0,"28,121,000","-12,491,000","-4,700,000","-6,495,000"
10,12/31/2020,"16,014,000","16,014,000","4,506,000",0,"498,000","498,000",-,-,-,-,-,-,"183,000","293,000","11,367,000",-,-,-,-,"7,629,000",-,-,"3,738,000","-8,923,000","-8,923,000","-5,297,000","-11,154,000","5,857,000","-3,916,000","-3,916,000","295,000","-1,403,000","1,698,000","-5,000","-5,000",-,"-4,450,000","-4,450,000","-557,000","-2,929,000","13,187,000","-16,116,000","2,372,000",-,-,0,-,0,0,0,0,"-592,000","-592,000",-,"10,000","155,842,000","2,641,000",-,"153,201,000","850,000","1,443,000","-1,403,000",0,"13,187,000","-16,116,000",0,"14,611,000"
11,9/30/2020,"34,936,000","34,936,000","3,367,000",0,"468,000","468,000",-,-,-,-,-,-,"157,000","278,000","30,666,000",-,-,-,-,"58,921,000",-,-,"-28,255,000","2,996,000","2,996,000","-1,672,000","-9,229,000","7,557,000","5,442,000","5,442,000","-548,000","-998,000","450,000","-226,000","-226,000",-,"-17,330,000","-17,330,000","-8,639,000","-7,136,000","6,224,000","-13,360,000","-1,503,000",-,-,0,-,0,0,0,0,"-580,000","-580,000",-,"760,000","153,201,000","20,602,000",-,"132,599,000","1,131,000","1,793,000","-998,000",0,"6,224,000","-13,360,000",0,"33,938,000"
12,6/30/2020,"-11,647,000","-11,647,000","373,000",0,"499,000","499,000",-,-,-,-,-,-,"185,000","1,590,000","-14,294,000",-,-,-,-,"-25,112,000",-,-,"10,818,000","3,907,000","3,907,000","-6,319,000","-18,073,000","11,754,000","10,866,000","10,866,000","-640,000","-1,065,000","425,000",-,-,-,"34,850,000","34,850,000","-16,167,000","-6,644,000","6,437,000","-13,081,000","-9,523,000",-,-,0,-,0,0,0,0,"-626,000","-626,000",-,"499,000","132,599,000","27,110,000",-,"105,489,000","299,000","1,814,000","-1,065,000",0,"6,437,000","-13,081,000",0,"-12,712,000"
13,3/31/2020,"-53,031,000","-53,031,000","1,213,000","-1,000","437,000","437,000",-,-,-,-,-,-,"1,395,000","937,000","-57,012,000",-,-,-,-,"-52,625,000",-,-,"-4,387,000","-32,336,000","-32,336,000","-6,325,000","-10,214,000","3,889,000","-23,565,000","-23,565,000","-2,446,000","-2,843,000","397,000",-,-,-,"57,310,000","57,310,000","32,066,000","12,844,000","29,475,000","-16,631,000","19,222,000",-,-,"-1,928,000",-,"-1,928,000","-1,000","349,000","-350,000","-538,000","-538,000",-,"-670,000","105,489,000","-28,057,000",-,"133,546,000","474,000","4,041,000","-2,843,000","349,000","29,475,000","-16,631,000","-2,278,000","-55,874,000"
14,12/31/2019,"51,351,000","51,351,000","1,917,000",-,"464,000","464,000",-,-,-,-,-,-,"166,000","336,000","48,822,000",-,-,-,-,"65,494,000",-,-,"-16,672,000","-4,840,000","-4,840,000","-696,000","-10,232,000","9,536,000","-4,169,000","-4,169,000","25,000","-2,046,000","2,071,000",0,0,-,"-7,059,000","-7,059,000","-12,769,000","-12,301,000","5,930,000","-18,231,000","-468,000",-,-,"-2,162,000",0,"-2,162,000","-1,000","599,000","-600,000","-644,000","-644,000",-,"1,234,000","133,546,000","39,452,000",-,"94,094,000","320,000","4,513,000","-2,046,000","599,000","5,930,000","-18,231,000","-2,762,000","49,305,000"
15,9/30/2019,"8,084,000","8,084,000","1,877,000",-,"473,000","473,000",-,-,-,-,-,-,"157,000","291,000","5,286,000",-,-,-,-,"35,722,000",-,-,"-30,436,000","-17,894,000","-17,894,000","-13,565,000","-13,585,000","20,000","-2,434,000","-2,434,000","-1,153,000","-2,229,000","1,076,000","-742,000","-742,000",-,"12,812,000","12,812,000","-1,857,000","-2,866,000","9,554,000","-12,420,000","1,009,000",-,-,"-673,000",0,"-673,000","-500,000",0,"-500,000","-550,000","-550,000",-,"82,000","94,094,000","3,002,000",-,"91,092,000","379,000","5,180,000","-2,229,000",0,"9,554,000","-12,420,000","-1,173,000","5,855,000"
16,6/30/2019,"9,439,000","9,439,000","2,421,000",-,"399,000","399,000",-,-,-,-,-,-,"192,000","214,000","6,213,000",-,-,-,-,"5,532,000",-,-,"681,000","-1,000","-1,000","2,088,000","-1,153,000","3,241,000","-1,207,000","-1,207,000","-821,000","-2,040,000","1,219,000","-61,000","-61,000",-,"-6,230,000","-6,230,000","-6,992,000","-6,724,000","6,459,000","-13,183,000","-268,000",-,-,"-1,250,000",-,"-1,250,000","499,000",-,0,"-535,000","-535,000",-,"21,000","91,092,000","3,208,000",-,"87,884,000",-,"4,580,000","-2,040,000",-,"6,459,000","-13,183,000","-1,250,000","7,399,000"
17,3/31/2019,"-45,006,000","-45,006,000","2,251,000",-,"368,000","368,000",-,-,-,-,-,-,"1,503,000","224,000","-49,352,000",-,-,-,-,"-13,215,000",-,-,"-36,137,000","-1,501,000","-1,501,000","212,000","-4,803,000","5,015,000","-1,851,000","-1,851,000","138,000","-2,128,000","2,266,000",0,0,-,"3,844,000","3,844,000","-2,390,000","-81,000","7,695,000","-7,776,000","-2,309,000",-,-,"-1,250,000",-,"-1,250,000",0,-,0,"-375,000","-375,000",-,"2,265,000","87,884,000","-42,663,000",-,"130,547,000",-,"4,372,000","-2,128,000",-,"7,695,000","-7,776,000","-1,250,000","-47,134,000"
18,12/31/2018,"18,101,000","18,101,000","2,538,000",0,"377,000","377,000",-,-,-,-,-,-,"160,000",-,"16,997,000",-,-,-,-,"12,205,000",-,-,"17,835,000","-5,842,000","-5,842,000","-516,000","-566,000","50,000","-4,500,000","-4,500,000","-810,000","-2,035,000","1,225,000","-16,000",-,-,"-583,000","-583,000","-7,397,000","-2,851,000","6,423,000","-9,274,000","-4,546,000",-,-,"-1,225,000","25,000","-1,250,000","-35,000",-,"-35,000","-521,000","-521,000",-,"1,303,000","130,547,000","11,676,000",-,"118,871,000","337,000","4,590,000","-2,035,000","25,000","6,423,000","-9,274,000","-1,285,000","16,066,000"
19,9/30/2018,"-5,314,000","-5,314,000","2,524,000",-,"317,000","317,000",-,-,-,-,-,-,"166,000",-,"-8,161,000","2,688,000",-,-,-,"-7,731,000",-,-,"-3,118,000","-4,032,000","-4,032,000","34,000","-24,000","58,000","-2,413,000","-2,413,000","-1,656,000","-2,196,000","540,000","3,000","3,000",-,"-3,200,000","-3,200,000","126,000","-1,766,000","10,914,000","-12,680,000","1,892,000",-,-,"-1,241,000","3,000","-1,244,000",0,-,0,"-382,000","-382,000",-,"220,000","118,871,000","-12,546,000",-,"131,417,000","386,000","4,510,000","-2,196,000","3,000","10,914,000","-12,680,000","-1,244,000","-7,510,000"
20,6/30/2018,"8,598,000","8,598,000","2,565,000",-,"335,000","335,000",-,-,-,-,-,-,"176,000",-,"5,522,000","20,834,000",-,-,-,"9,369,000",-,-,"-24,681,000","-3,590,000","-3,590,000","108,000","-12,000","120,000","-2,368,000","-2,368,000","-1,249,000","-2,188,000","939,000","-81,000","-81,000",-,"5,906,000","5,906,000","3,422,000","3,448,000","16,295,000","-12,847,000","-26,000",-,-,"10,000","10,000",0,0,-,0,"-531,000","-531,000",-,"504,000","131,417,000","10,914,000",-,"120,503,000","221,000","4,070,000","-2,188,000","10,000","16,295,000","-12,847,000",0,"6,410,000"
21,3/31/2018,"-964,000","-964,000","2,832,000",-,"299,000","299,000",-,-,-,-,-,-,"1,329,000",-,"-5,424,000","-10,479,000",-,-,-,"14,304,000",-,-,"-9,249,000","-9,213,000","-9,213,000","-3,005,000","-3,188,000","183,000","-5,584,000","-5,584,000","-556,000","-1,563,000","1,007,000","-68,000","-68,000",-,"20,629,000","20,629,000","10,970,000","5,367,000","17,291,000","-11,924,000","5,603,000",-,-,"-800,000",0,"-800,000","-650,000",-,"-650,000","-376,000","-376,000",-,"-851,000","120,503,000","10,452,000",-,"110,051,000","326,000","3,550,000","-1,563,000",0,"17,291,000","-11,924,000","-1,450,000","-2,527,000"
22,12/31/2017,"-6,623,000","-6,623,000","-1,928,000","-6,000","350,000","350,000",-,-,-,-,-,-,"159,000",-,"-10,656,000","-21,434,000",-,-,-,"-10,817,000",-,-,"21,595,000","-11,030,000","-11,030,000","-4,970,000","-6,582,000","1,612,000","-4,688,000","-4,688,000","-837,000","-975,000","138,000","-535,000",-,-,"11,094,000","11,094,000","7,573,000","7,629,000","14,399,000","-6,770,000","-56,000",-,-,"-1,629,000",0,"-1,629,000","470,000","1,495,000","-1,025,000","-498,000","-498,000",-,"-664,000","110,051,000","-6,559,000",-,"116,610,000","749,000","-940,000","-975,000","1,495,000","14,399,000","-6,770,000","-2,654,000","-7,598,000"
23,9/30/2017,"2,734,000","2,734,000","2,128,000",0,"280,000","280,000",-,-,-,-,-,-,"158,000",-,"168,000","5,879,000",-,-,-,"-3,129,000",-,-,"-2,582,000","-11,144,000","-11,144,000","-2,145,000","-2,543,000","398,000","-7,782,000","-7,782,000","-455,000","-689,000","234,000","-762,000",-,-,"14,132,000","14,132,000","8,853,000","8,794,000","15,012,000","-6,218,000","59,000",-,-,"-2,174,000",0,"-2,174,000",0,0,0,"-395,000","-395,000",-,"630,000","116,610,000","5,722,000",-,"110,888,000","207,000","5,830,000","-689,000",0,"15,012,000","-6,218,000","-2,174,000","2,045,000"
24,6/30/2017,"-10,489,000","-10,489,000","1,831,000",-,"265,000","265,000",-,-,-,-,-,-,"180,000",-,"-12,657,000","-7,869,000",-,-,-,"8,279,000",-,-,"-13,067,000","-5,369,000","-5,369,000","-390,000",-,"338,000","-3,847,000","-3,847,000","-558,000","-683,000","125,000","-574,000",-,-,"3,711,000","3,711,000","8,052,000","6,183,000","14,213,000","-8,030,000","1,869,000",-,-,"-1,465,000","1,000","-1,466,000","-62,000",0,"-62,000","-510,000","-510,000",-,"81,000","110,888,000","-12,147,000",-,"123,035,000","207,000","3,970,000","-683,000","1,000","14,213,000","-8,030,000","-1,528,000","-11,172,000"
25,3/31/2017,"-3,364,000","-3,364,000","2,255,000",-,"257,000","257,000",-,-,-,-,-,-,"1,272,000",-,"-7,148,000","-6,658,000",-,-,-,"15,692,000",-,-,"-16,182,000","-1,573,000","-1,573,000","539,000",-,"539,000","-839,000","-839,000","-761,000","-838,000","77,000","-512,000","-512,000",-,"6,261,000","6,261,000","4,882,000","7,660,000","22,124,000","-14,464,000","-2,778,000",-,-,"-1,497,000","6,000","-1,503,000",0,0,0,"-366,000","-366,000",-,"-589,000","123,035,000","1,324,000",-,"121,711,000","257,000","2,310,000","-838,000","6,000","22,124,000","-14,464,000","-1,503,000","-4,202,000"
26,12/31/2016,"3,797,000","3,797,000","2,347,000",-,"267,000","267,000",-,-,-,-,-,-,"168,000",-,"461,000","-2,289,000",-,-,-,"-2,716,000",-,-,"7,778,000","-2,032,000","-2,032,000","303,000",-,"303,000","-739,000","-739,000","-764,000","-813,000","49,000","-832,000",-,-,"2,077,000","2,077,000","2,341,000","5,190,000","13,438,000","-8,248,000","-2,849,000",-,-,"-1,483,000","5,000","-1,488,000",0,0,0,"-468,000","-468,000",-,"2,139,000","121,711,000","3,842,000",-,"99,535,000","293,000","1,740,000","-813,000","5,000","13,438,000","-8,248,000","-1,488,000","2,984,000"
27,9/30/2016,"-3,900,000","-3,900,000","2,094,000",-,"247,000","247,000",-,-,-,-,-,-,"129,000",-,"-6,370,000","-14,262,000",-,-,-,"15,761,000","10,094,000",-,"-17,963,000","-1,513,000","-1,513,000","391,000",-,"391,000","-1,005,000","-1,005,000","-771,000","-821,000","50,000","-128,000",-,-,"1,655,000","1,655,000","2,574,000","4,328,000","13,551,000","-9,223,000","-1,754,000",-,-,"-1,296,000",0,"-1,296,000","109,000","648,000","-539,000","-378,000","-378,000",-,"73,000","99,535,000","-3,758,000",-,"103,293,000","367,000","1,930,000","-821,000","648,000","13,551,000","-9,223,000","-1,835,000","-4,721,000"
28,6/30/2016,"9,605,000","9,605,000","1,822,000",-,"245,000","245,000",-,-,-,-,-,-,"149,000",-,"7,389,000","719,000",-,-,-,"10,783,000","-6,333,000",-,"2,220,000","15,955,000","15,955,000","496,000",-,"496,000","-388,000","-388,000","-597,000","-669,000","72,000","16,444,000",-,-,"-1,436,000","-1,436,000","-1,723,000","-1,267,000","12,275,000","-13,542,000","-456,000",-,-,"-1,738,000",0,"-1,738,000","-127,000",0,"-127,000","-473,000","-473,000",-,"35,000","103,293,000","24,124,000",-,"79,169,000","134,000","1,220,000","-669,000",0,"12,275,000","-13,542,000","-1,865,000","8,936,000"
29,3/31/2016,"-3,932,000","-3,932,000","1,135,000",-,"239,000","239,000",-,-,-,-,-,-,"1,665,000",-,"-6,971,000","19,000",-,-,-,"-23,750,000","-1,449,000",-,"18,209,000","-3,140,000","-3,140,000","322,000",-,"322,000","-2,537,000","-2,537,000","-363,000","-573,000","210,000","-562,000","-562,000",-,"11,136,000","11,136,000","5,511,000","2,766,000","15,685,000","-12,919,000","2,745,000",-,-,"-1,555,000","1,000","-1,556,000","150,000","655,000","-505,000","-387,000","-387,000",-,"70,000","79,169,000","4,064,000",-,"75,105,000","266,000","2,250,000","-573,000","656,000","15,685,000","-12,919,000","-2,061,000","-4,505,000"
30,12/31/2015,"6,795,000","6,795,000","765,000",0,"285,000","285,000",-,-,-,-,-,-,"165,000",-,"5,155,000","14,608,000",-,-,-,"3,897,000","1,329,000",-,"-14,679,000","-3,827,000","-3,827,000","305,000",-,"305,000","-3,488,000","-3,488,000","-520,000","-628,000","108,000","-124,000","-124,000",-,"6,562,000","6,562,000","2,476,000","1,992,000","8,141,000","-6,149,000","484,000",-,-,"-1,551,000","39,000","-1,590,000",0,0,-,"-484,000","-484,000",-,"60,000","75,105,000","9,530,000",-,"65,575,000","450,000","730,000","-628,000","39,000","8,141,000","-6,149,000","-1,590,000","6,167,000"
31,9/30/2015,"1,298,000","1,298,000","1,426,000",0,"222,000","222,000",-,-,-,-,-,-,"135,000",-,"-485,000","12,349,000",-,-,-,"-1,084,000","-22,828,000",-,"11,078,000","-3,331,000","-3,331,000","439,000",-,"439,000","-3,233,000","-3,233,000","-436,000","-507,000","71,000","-101,000","-101,000",-,"6,763,000","6,763,000","5,653,000","4,980,000","12,350,000","-7,370,000","673,000",-,-,"-1,048,000","2,000","-1,050,000",0,0,-,"-393,000","-393,000",-,"29,000","65,575,000","4,730,000",-,"60,845,000","290,000","1,580,000","-507,000","2,000","12,350,000","-7,370,000","-1,050,000","791,000"
