,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash Equivalents,Cash And Due from Banks,Restricted Cash And Investments,Restricted Cash & Cash Equivalents,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Security Agree to be Resold,Security Borrowed,Customer Acceptances,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Receivables,Accounts receivable,Other Receivables,Net PPE,Gross PPE,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Depositsby Bank,Customer Accounts,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Financial Instruments Sold Under Agreements To Repurchase,Securities Loaned,Payables And Accrued Expenses,Payables,Accounts Payable,Total Tax Payable,Income Tax Payable,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Current Notes Payable,Commercial Paper,Other Current Borrowings,Trading Liabilities,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Capital Lease Obligation,Employee Benefits,Non Current Pension And Other Post-Retirement Benefit Plans,Preferred Securities Outside Stock Equity,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Foreign Currency Translation Adjustments,Other Equity Adjustments,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
10,12/31/2012,"938,555,000","263,674,000","72,669,000",-,"72,669,000","49,671,000",-,"141,334,000","141,334,000","141,334,000","136,893,000",-,"407,011,000",-,"407,011,000",-,-,"453,000",-,-,-,-,-,-,-,-,-,"117,208,000","72,874,000","44,334,000","8,217,000","17,267,000","17,267,000","-9,050,000","5,099,000","3,702,000","1,397,000",-,"862,839,000","70,124,000",-,-,-,"171,807,000","171,807,000","13,765,000","216,200,000","197,209,000","194,485,000","2,724,000","2,724,000","18,991,000","67,349,000","67,349,000","260,000","884,000","66,205,000",-,-,"177,630,000","177,630,000",-,"8,538,000",-,-,"137,426,000","75,716,000","75,716,000","6,208,000","6,200,000","8,000","65,223,000","48,030,000","46,850,000","-193,000",-,-,"3,298,000",-,"253,346,000","6,200,000","69,516,000",-,"70,617,000","314,495,000","64,417,000","244,979,000","172,310,000","816,807","465,148","157,998","351,659"
11,12/31/2011,"923,225,000","308,061,000","56,008,000",-,"56,008,000","64,264,000",-,"187,789,000","187,789,000","187,789,000","153,341,000",-,"364,206,000",-,"364,206,000",-,-,"664,000",-,-,-,-,-,-,-,-,-,"82,788,000","60,261,000","22,527,000","8,697,000","17,337,000","17,337,000","-8,640,000","5,468,000","3,802,000","1,666,000",-,"852,846,000","46,109,000","46,109,000",-,"46,109,000","164,502,000","164,502,000","7,182,000","202,933,000","198,825,000","198,292,000","533,000","533,000","4,108,000","78,223,000","78,223,000","1,328,000","1,491,000","75,404,000",-,-,"182,814,000","182,814,000",-,"6,006,000","6,006,000",-,"165,077,000","70,379,000","70,379,000","3,108,000","3,100,000","8,000","58,834,000","45,553,000","42,281,000","-516,000",-,-,"5,681,000",-,"253,193,000","3,100,000","67,279,000",-,"64,911,000","328,316,000","61,811,000","261,037,000","205,029,000","795,555","485,468","123,998","310,088"
12,12/31/2010,"911,332,000","281,874,000","39,788,000",-,"39,788,000","53,731,000","53,731,000","188,355,000","188,355,000","188,355,000","166,306,000",-,"356,953,000",-,"356,953,000",-,-,"1,445,000",-,-,-,-,-,-,-,-,-,"88,126,000","67,703,000","20,423,000","11,106,000","18,976,000","18,976,000","-7,870,000","5,522,000","3,495,000","2,027,000",-,"833,976,000","38,569,000","38,569,000",-,"38,569,000","162,345,000","162,345,000","11,212,000","197,196,000","192,546,000","190,504,000","2,042,000","2,042,000","4,650,000","72,371,000","72,371,000","3,265,000","1,306,000","67,800,000",-,-,"189,773,000","189,773,000",-,"9,540,000",-,-,"152,970,000","77,356,000","77,356,000","6,965,000","6,957,000","8,000","57,163,000","42,103,000","36,295,000","-286,000",-,-,"7,706,000",-,"267,129,000","6,957,000","70,399,000",-,"71,834,000","332,543,000","64,877,000","262,144,000","222,356,000","770,949","507,531","123,998","263,418"
13,12/31/2009,"848,942,000","219,233,000","38,291,000",-,"38,291,000","36,663,000",-,"144,279,000","144,279,000","144,279,000","189,939,000",-,"342,402,000","342,402,000","342,402,000",-,-,"1,484,000",-,-,-,-,-,-,-,-,-,"79,584,000","55,303,000","24,281,000","11,380,000","18,660,000","18,660,000","-7,280,000","4,920,000","3,543,000","1,377,000","7,937,000","778,228,000","39,418,000","39,418,000",-,"39,418,000","128,360,000","128,360,000","15,207,000","195,111,000","189,656,000","185,634,000","4,022,000","4,022,000","5,455,000","50,447,000","50,447,000","2,119,000","1,660,000","46,668,000","129,019,000",-,"196,288,000","196,288,000",-,"11,586,000",-,-,"141,811,000","70,714,000","70,714,000","6,965,000","6,957,000","8,000","50,252,000","39,770,000","32,156,000","-362,000",-,-,"6,245,000",-,"267,002,000","6,957,000","63,757,000",-,"65,794,000","310,492,000","58,837,000","246,735,000","208,444,000","753,412","515,114","123,998","238,298"
14,11/30/2008,"884,547,000","244,425,000","15,740,000",-,"15,740,000","106,664,000",-,"122,021,000","122,021,000","122,021,000","180,795,000","64,665,000","338,325,000",-,"338,325,000",-,-,"1,454,000",-,-,-,-,-,-,-,-,-,"103,555,000","64,665,000","38,890,000","10,793,000","17,343,000","17,343,000","-6,550,000","5,200,000","3,523,000","1,677,000","346,684,000","820,178,000","27,643,000","27,643,000",-,"27,643,000","62,883,000","62,883,000","17,060,000","260,580,000","256,708,000","253,843,000","2,865,000","2,865,000","3,872,000","73,883,000","73,883,000","6,944,000","1,125,000","65,814,000",-,-,"185,678,000","185,678,000",-,"5,163,000",-,-,"187,288,000","64,369,000","64,369,000","16,478,000","16,471,000","7,000","39,913,000","31,071,000","32,175,000","-202,000",-,-,"9,284,000","1,643,000","250,047,000","16,471,000","47,898,000",-,"59,169,000","307,459,000","42,698,000","259,561,000","243,821,000","749,153","510,737","16,471","238,417"
15,11/30/2007,"1,119,796,000","217,538,000","11,882,000",-,"11,882,000","119,939,000",-,"85,717,000","85,717,000","85,717,000","277,413,000","129,105,000","452,595,000",-,"452,595,000",-,-,"2,014,000",-,-,-,-,-,-,-,-,-,"156,169,000","129,105,000","27,064,000","8,975,000","14,855,000","14,855,000","-5,880,000","5,092,000","3,321,000","1,771,000","46,138,000","1,076,996,000","15,370,000","15,370,000","15,370,000",0,"159,178,000","159,178,000","28,624,000","325,748,000","320,999,000","318,453,000","2,546,000","2,546,000","4,749,000","103,967,000","103,967,000","13,251,000","4,343,000","86,373,000",-,-,"197,474,000","197,474,000",-,"14,003,000",-,-,"232,632,000","42,800,000","42,800,000","3,106,000","3,100,000","6,000","38,642,000","22,027,000","30,159,000","-118,000","68,000","9,116,000","9,302,000","7,265,000","240,274,000","3,100,000","39,700,000",-,"37,708,000","341,141,000","34,608,000","301,441,000","289,559,000","390,682","390,682",124,-
16,11/30/2006,"838,201,000","169,409,000","6,293,000",-,"6,293,000","80,990,000",-,"82,126,000","82,126,000","82,126,000","219,342,000","79,790,000","334,561,000",-,"334,561,000",-,-,"2,764,000",-,-,-,-,-,-,-,-,-,"99,449,000","79,790,000","19,659,000","6,990,000","12,050,000","12,050,000","-5,060,000","5,686,000","3,184,000","2,502,000","35,998,000","802,415,000",-,-,-,-,"147,492,000","147,492,000","22,208,000","230,345,000","226,513,000","223,874,000","2,639,000","2,639,000","3,832,000","72,194,000","72,194,000","13,811,000","1,489,000","56,894,000",-,-,"148,976,000","148,976,000",-,"9,165,000",-,-,"172,035,000","35,786,000","35,786,000","3,106,000","3,100,000","6,000","27,868,000","19,731,000","21,230,000","21,000",-,-,"6,290,000",-,"184,762,000","3,100,000","32,686,000",-,"30,100,000","253,856,000","27,000,000","221,170,000","214,877,000","412,666","412,666",124,-
17,11/30/2005,"706,804,000","93,880,000","10,261,000",-,"10,261,000",-,-,"83,619,000","83,619,000",-,-,"60,231,000","243,205,000",-,"243,205,000",-,-,-,-,-,-,-,-,-,-,-,-,"15,150,000",-,-,-,-,-,-,-,-,-,"294,338,000","678,802,000",-,-,-,-,"321,428,000",-,-,"188,318,000","188,318,000",-,-,-,-,"55,219,000","55,219,000",-,-,"55,219,000",-,-,"100,007,000","100,007,000",-,-,-,-,"13,830,000","28,002,000","28,002,000","1,756,000","1,750,000","6,000","19,085,000","17,159,000","13,413,000","3,415,000",-,-,-,-,"128,009,000","1,750,000","26,252,000",-,"28,002,000","181,478,000","26,252,000","155,226,000","144,965,000","437,171","437,171",-,-
18,11/30/2004,"531,379,000","48,622,000","4,365,000",-,"4,365,000",-,-,"44,257,000","44,257,000",-,-,"38,087,000","203,265,000",-,"203,265,000",-,-,-,-,-,-,-,-,-,-,-,-,"14,458,000",-,-,-,-,-,-,-,-,-,"226,947,000","506,300,000",-,-,-,-,"199,064,000",-,-,"161,221,000","161,221,000",-,-,-,-,"54,959,000","54,959,000",-,-,"54,959,000",-,-,"80,696,000","80,696,000",-,-,-,-,"10,360,000","25,079,000","25,079,000","6,000",-,"6,000","13,970,000","15,501,000","6,305,000","1,907,000",-,-,-,-,"105,775,000",-,"25,079,000",-,"25,079,000","160,734,000","25,079,000","135,655,000","131,290,000","480,960","480,960",-,-
19,11/30/2003,"403,799,000","33,943,000","7,087,000",-,"7,087,000",-,-,"26,856,000","26,856,000",-,-,"27,180,000","158,833,000",-,"158,833,000",-,-,-,-,-,-,-,-,-,-,-,-,"9,197,000",-,-,-,-,-,-,-,-,-,"174,646,000","382,167,000",-,-,-,-,"163,311,000",-,-,"109,028,000","109,028,000",-,-,-,-,"44,202,000","44,202,000",-,-,"44,202,000",-,-,"57,482,000","57,482,000",-,-,-,-,"8,144,000","21,632,000","21,632,000","5,000",-,"5,000","9,914,000","13,562,000","4,500,000","2,651,000",-,-,-,-,"79,114,000",-,"21,632,000",-,"21,632,000","123,316,000","21,632,000","101,684,000","94,597,000","473,015","473,015",-,-
20,11/30/2002,"355,574,000","50,594,000","4,822,000",-,"4,822,000",-,-,"45,772,000","45,772,000",-,-,"23,159,000","133,968,000",-,"133,968,000",-,-,-,-,-,-,-,-,-,-,-,-,"5,779,000",-,-,-,-,-,-,-,-,-,"142,074,000","336,571,000",-,-,-,-,"155,630,000",-,-,"95,590,000","95,590,000",-,-,-,-,"40,638,000","40,638,000",-,-,"40,638,000",-,-,"38,711,000","38,711,000",-,-,-,-,"6,002,000","19,003,000","19,003,000","5,000",-,"5,000","7,259,000","12,773,000","3,561,000","2,527,000",-,-,-,-,"57,714,000",-,"19,003,000",-,"19,003,000","98,352,000","19,003,000","79,349,000","74,527,000","472,941","472,941",-,-
21,11/30/2001,"312,218,000","34,560,000","6,909,000",-,"6,909,000",-,-,"27,651,000","27,651,000",-,-,"28,010,000","123,298,000",-,"123,298,000",-,-,-,-,-,-,-,-,-,-,-,-,"5,453,000",-,-,-,-,-,-,-,-,-,"120,897,000","293,987,000",-,-,-,-,"120,948,000",-,-,"97,297,000","97,297,000",-,-,-,-,"37,597,000","37,597,000",-,-,"37,597,000",-,-,"31,016,000","31,016,000",-,-,-,-,"7,129,000","18,231,000","18,231,000","5,000",-,"5,000","5,373,000","11,785,000","2,086,000","3,154,000",-,-,-,-,"49,247,000",-,"18,231,000",-,"18,231,000","86,844,000","18,231,000","68,613,000","61,704,000","476,229","476,229",-,-
22,11/30/2000,"289,760,000","83,729,000","4,736,000","3,870,000","866,000",-,-,"78,993,000","78,993,000",-,-,"33,060,000","103,890,000",-,"103,890,000",-,-,-,-,-,-,-,-,-,-,-,-,"6,226,000",-,-,-,-,-,-,-,-,-,"62,855,000","273,230,000",-,-,-,-,"40,211,000",-,-,"82,148,000","82,148,000",-,-,-,-,"33,471,000","33,471,000",-,-,"33,471,000",-,-,"35,383,000","35,383,000",-,-,-,-,"82,017,000","16,530,000","16,530,000","4,765,000",-,"4,765,000","3,294,000","11,127,000","648,000","-2,008,000",-,-,-,-,"51,913,000",-,"16,530,000",-,"16,530,000","85,384,000","16,530,000","68,854,000","64,118,000","448,862","448,862",-,-
23,11/30/1999,"250,491,000","149,907,000","3,055,000",-,"3,055,000",-,-,"146,852,000","146,852,000",-,-,"30,140,000","59,616,000",-,"59,616,000",-,-,-,-,-,-,-,-,-,-,-,-,"4,490,000",-,-,-,-,-,-,-,-,-,"6,338,000","240,346,000",-,-,-,-,"49,352,000",-,-,"59,534,000","59,534,000",-,-,-,-,"37,756,000","37,756,000",-,-,"37,756,000",-,-,"20,952,000","20,952,000",-,-,-,-,"72,752,000","10,145,000","10,145,000","4,343,000",-,"4,343,000","444,000","7,359,000",-,"-2,001,000",-,-,-,-,"31,097,000",-,"10,145,000",-,"10,145,000","68,853,000","10,145,000","58,708,000","55,653,000","448,862","448,862",-,-
