,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Sale of Business,Gain Loss On Sale of PPE,Gain Loss On Investment Securities,Pension And Employee Benefit Expense,Realized Gain Loss On Sale of Loans And Lease,Depreciation Amortization Depletion,Depreciation & amortization,Depreciation,Amortization,Amortization of Intangibles,Deferred Tax,Deferred Income Tax,Other non-cash items,Amortization of Financing Costs And Discounts,Amortization of Securities,Stock based compensation,Provision for Loan Lease And Other Losses,Change in working capital,Change in Payables And Accrued Expense,Change in Payable,Change in Tax Payable,Change in Income Tax Payable,Change in Deferred Charges,Change in Loans,Change in Other Current Assets,Change in Other Current Liabilities,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Purchase of PPE,Sale of PPE,Net Business Purchase And Sale,Sale of Business,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Issuance,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Cash Dividends Paid,Common Stock Dividend Paid,Preferred Stock Dividend Paid,Proceeds from Stock Option Exercised,Net Other Financing Charges,Other Cash Adjustment Inside Change in Cash,End Cash Position,Changes in Cash,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
0,ttm,"1,026,000","1,026,000","650,000","-164,000","-159,000","-2,000","2,000",-,"-5,000","23,000","23,000","18,000","5,000","5,000","-3,000","-3,000","147,000","-37,000",-,"29,000","133,000","248,000",-,-,-,-,-,-,"348,000","-100,000",-,"-6,323,000","-6,323,000","-1,282,000","-2,242,000","960,000","-5,181,000",0,"-5,181,000","-3,000",-,-,"331,000","331,000","-188,000","5,168,000","5,168,000","-1,931,000","-4,481,000","9,479,000","-13,960,000","2,550,000","2,550,000","-24,000",-,"-24,000",-,-,"-350,000","-317,000","-33,000",-,"-189,000",-,"2,082,000","-129,000","2,211,000",-,"17,000","657,000","-3,000",-,"12,029,000","-13,960,000","-24,000","1,023,000"
1,3/31/2023,"3,035,000","3,035,000","2,006,000","-2,021,000","-2,001,000",-,-,-,"-20,000","25,000","25,000","8,000","17,000","17,000","11,000","11,000","62,000","-36,000",-,"9,000","170,000","2,809,000",-,-,-,-,-,-,"112,000","2,697,000",-,"25,105,000","25,105,000","1,454,000","-443,000","1,897,000","-1,301,000",-,"-1,301,000","-11,000","-11,000",-,"25,043,000","25,043,000","-80,000","-7,793,000","-7,793,000","25,000","-2,375,000",0,"-2,375,000","2,400,000",-,"-9,000",-,"-9,000",-,-,"-124,000","-8,000","-116,000",-,"-189,000",-,"22,429,000","20,347,000","2,082,000",-,"13,000","489,000","-11,000",-,0,"-2,375,000","-9,000","3,024,000"
2,12/31/2022,"395,000","396,000","172,000",-,-,0,0,-,"-5,000","10,000","10,000","5,000",-,-,"-3,000","-3,000","146,000","-29,000",-,"7,000","124,000","132,000",-,-,-,-,-,-,"283,000","-151,000",-,"-1,581,000","-1,581,000","337,000","-52,000","389,000","-1,940,000",0,"-1,940,000","-12,000",-,-,-,-,"-297,000","1,568,000","1,568,000","834,000","-1,601,000","2,549,000","-4,150,000","2,435,000",-,"-5,000",-,"-5,000",-,-,"-88,000","-80,000","-8,000",-,-,-,"2,082,000","382,000","1,700,000",-,"4,000","258,000",-,-,"5,099,000","-4,150,000","-5,000","392,000"
3,9/30/2022,"232,000","231,000","152,000",-,-,0,"1,000",-,0,"4,000","4,000","4,000",-,-,"15,000","15,000",-,"-6,000",-,"7,000","2,000","56,000",-,-,-,-,-,-,"23,000","33,000",-,"-1,672,000","-1,672,000","-1,228,000","-1,402,000","174,000","-447,000",0,"-447,000","-2,000",-,-,-,-,"5,000","-137,000","-137,000","-510,000","-2,325,000","3,975,000","-6,300,000","1,815,000",-,0,-,0,-,-,"-88,000","-79,000","-9,000",-,-,-,"1,700,000","-1,577,000","3,277,000",-,"5,000","170,000",-,-,"3,975,000","-6,300,000",0,"232,000"
4,6/30/2022,"214,000","214,000","171,000",-,-,-,-,-,-,"4,000","4,000","4,000",-,-,"-7,000","-7,000",-,"-1,000",-,"8,000","9,000","31,000",-,-,-,-,-,-,"42,000","-11,000",-,"-2,002,000","-2,002,000","-285,000","-519,000","234,000","-1,773,000",0,"-1,773,000","12,000",-,-,-,-,"44,000","2,165,000","2,165,000","-1,030,000","-480,000","1,955,000","-2,435,000","-550,000",-,"-8,000",-,"-8,000",-,-,"-87,000","-79,000","-8,000",-,-,-,"3,277,000","377,000","2,900,000",-,"8,000","119,000",-,-,"1,955,000","-2,435,000","-8,000","215,000"
5,3/31/2022,"185,000","185,000","155,000",-,-,-,-,-,-,"5,000","5,000","5,000",-,-,"-8,000","-8,000",-,"-1,000",-,"7,000","-2,000","29,000",-,-,-,-,-,0,0,"29,000",-,"-1,068,000","-1,068,000","-106,000","-269,000","163,000","-1,021,000",0,"-1,021,000","-1,000","-1,000",-,-,-,"60,000","1,572,000","1,572,000","-1,225,000","-75,000","1,000,000","-1,075,000","-1,150,000",-,"-11,000",-,"-11,000",-,-,"-87,000","-79,000","-8,000",-,-,-,"2,900,000","689,000","2,211,000",-,0,"110,000","-1,000",-,"1,000,000","-1,075,000","-11,000","184,000"
6,12/31/2021,"215,000","216,000","150,000",-,-,-,-,-,-,"5,000","5,000","5,000",-,-,"-7,000","-7,000",-,"-1,000",-,"7,000","4,000","109,000",-,-,-,-,-,-,"30,000","27,000",-,"-2,005,000","-2,005,000","100,000","-229,000","329,000","-2,056,000",0,"-2,056,000","-1,000",-,-,-,-,"-48,000","1,479,000","1,479,000","1,128,000","178,000","1,422,000","-1,244,000","950,000",-,0,-,0,-,-,"-87,000","-79,000","-8,000",-,-,-,"2,211,000","-311,000","2,522,000",-,0,"91,000","-1,000",-,"2,372,000","-1,244,000",0,"214,000"
7,9/30/2021,"61,000","61,000","149,000",0,-,-,-,-,0,"5,000","5,000","5,000",-,-,"-32,000","-32,000",-,"-1,000",-,"8,000","-1,000","-67,000",-,-,-,-,-,0,"-59,000","-8,000",-,"45,000","45,000","153,000","-315,000","468,000","-112,000","4,000","-116,000","-1,000",-,-,-,-,"5,000","330,000","330,000","-25,000","-25,000","26,000","-51,000",0,-,"-1,000",-,"-1,000",-,-,"-88,000","-79,000","-9,000",-,-,-,"2,522,000","436,000","2,086,000",-,"135,000","105,000","-1,000",-,"26,000","-51,000","-1,000","60,000"
8,6/30/2021,"-109,614","-109,614","151,404",-645,-,-,-,-,-256,"5,643","5,643","5,643",-,-,"-5,279","-5,279",-,"-4,344",-,"7,388","-3,569","-260,212",-,-,-,-,-,-234,"-262,891","3,007",-,"-120,821","-120,821","169,252","-266,406","435,658","-301,187",71,"-301,258","-1,683","-1,683",-,-,-,"12,797","-406,549","-406,549","-300,000","-300,000","299,000","-599,000",0,-,515,-,515,-,-,"-86,741","-78,948","-7,793",-,-,-,"2,086,000","-636,984","2,722,915",-,"321,995","92,811","-1,683",-,"299,000","-599,000",515,"-111,297"
9,3/31/2021,"123,614","123,614","145,596",-355,-,-,389,-,-744,"5,357","5,357","5,357",-,-,"31,279","31,279",-,"1,344",-,"8,612","3,569","-71,788",-,-,-,-,-,"-51,766","7,891","-28,007",94,"-681,179","-681,179","-490,252","-985,594","495,342","-212,813","32,929","-245,742",-317,-317,-,-,-,"22,203","1,332,549","1,332,549","-325,000","-325,000","325,000","-650,000",0,-,"-15,515",-,"-15,515",-,-,"-87,259","-79,052","-8,207",-,-,-,"2,722,915","774,984","1,947,931",-,"14,005","113,189",-317,-,"325,000","-650,000","-15,515","123,297"
10,12/31/2020,"94,074","94,074","189,664",-130,-,-,-128,-,-2,"5,389","5,389",-,-,-,"123,975","123,975",-,6,-,"4,788","11,036","-121,496",-,-,-,-,-,-,"-246,771","6,117",0,"-649,673","-649,673","-574,257","-1,041,151","466,894","-59,947",4,"-59,951","-3,048",-,-,-,-,"-12,421","1,044,889","1,044,889","400,000","825,000","2,300,000","-1,475,000","-425,000",-,-20,-,-20,-,-,"-86,963","-78,756","-8,207",-,-,-,"1,947,931","489,290","1,458,641",-,"100,414","114,149",-,-,"3,450,000","-1,475,000",-20,"94,074"
11,9/30/2020,"93,173","93,173","115,770",259,-,-,261,-,-2,"5,815","5,815",-,-,-,"18,404","18,404",-,"1,503",-,"8,305","13,016","-173,261",-,-,-,-,-,-,"-65,841","11,715",-,"-602,164","-602,164","-61,136","-738,052","676,916","-520,243",0,"-520,243","1,577",-,"1,577",-,-,"-22,362","563,105","563,105","675,000","550,000","1,500,000","-950,000","125,000",-,-289,-,-289,-,-,"-86,966","-78,759","-8,207",-,-,-,"1,458,641","54,114","1,404,527",-,"7,073","149,051",-,-,"1,500,000","-950,000",-289,"93,173"
12,6/30/2020,"16,253","16,253","105,347",-887,-,-,-887,-,0,"6,260","6,260","6,260",-,-,"32,498","32,498",-,"3,230",-,"8,057","17,575","-52,465",-,-,-,-,-,-,"-64,065","11,600",-,"330,774","330,774","352,887","-250,861","603,748","-20,502",0,"-20,502","3,217",-,-,-,-,"-4,828","-276,706","-276,706","75,000","-25,000","975,000","-1,000,000","100,000",-,"-21,554",-,"-21,554",-,-,"-86,967","-78,760","-8,207",-,-,-,"1,404,527","70,321","1,334,206",-,386,"167,001",-,-,"975,000","-1,000,000","-21,554","16,691"
13,3/31/2020,"130,696","130,696","100,328",-530,-,-,-534,-,4,"6,407","6,407","6,407",-,-,"44,465","44,465",-,"6,384",-,"8,251","20,601","-55,210",-,-,-,-,-,-,"-34,397","-20,813",-,"-104,296","-104,296","314,281","-483,789","798,070","-403,603","3,124","-406,727",-438,-438,-,-,-,"-14,536","565,936","565,936","375,000","-975,000","2,150,000","-3,125,000","1,350,000",-,"-37,159",-,"-37,159",-,-,"-87,539","-79,332","-8,207",-,-,-,"1,334,206","592,336","741,870",-,"10,000","202,459",-438,-,"2,150,000","-3,125,000","-37,159","130,258"
14,12/31/2019,"170,790","170,790","101,174","-7,340",-,-,30,-,32,"6,625","6,625","6,625",-,-,"59,158","59,158",-,"4,261",-,"8,111","1,702","-2,901",-,-,-,-,-,-,"-24,999","22,098",0,"-1,211,948","-1,211,948","-18,449","-399,275","380,826","-1,053,464","24,131","-1,077,595","9,943",-,-,-,-,"-149,978","928,350","928,350","931,000","-169,000","1,500,000","-1,669,000",-,-,-48,-,-48,-,-,"-87,558","-79,351","-8,207",-,-,-,"741,870","-112,808","854,678",-,400,"191,134",-,-,"1,500,000","-1,669,000",-48,"171,436"
15,9/30/2019,"79,985","79,985","99,046",-294,-,-,-306,-,12,"6,700","6,700","6,700",-,-,"22,293","22,293",-,"1,287",-,"8,124","4,781","-61,952",-,-,-,-,-,-,925,"-62,908",31,"-149,339","-149,339","-118,625","-1,190,999","1,072,374","26,009","20,687","5,322",-704,-,-,-,-,"-56,019","-304,263","-304,263","543,992","543,992","1,780,992","-1,237,000",-,-,-345,-,-345,-,-,"-87,560","-79,353","-8,207",-,-,-,"854,678","-373,617","1,228,295",-,0,"241,487",-,-,"1,780,992","-1,237,000",-345,"79,339"
16,6/30/2019,"100,538","100,538","97,246","-2,050",-,-,"-2,071",-,21,"6,821","6,821","6,821",-,-,"16,551","16,551",-,"1,208",-,"7,903","1,844","-28,985",-,-,-,-,-,-,"-47,548","18,563",0,"-330,067","-330,067","24,043","-257,549","281,592","-358,071","41,061","-399,132","-1,888",-,-,-,-,"5,849","467,805","467,805","-176,000","-176,000","755,000","-931,000",-,-,-39,-,-39,-,-,"-87,557","-79,350","-8,207",-,-,-,"1,228,295","238,276","990,019",-,"69,372","192,650",-,-,"755,000","-931,000",-39,"100,538"
17,3/31/2019,"158,437","158,437","97,577","-5,434",-,-,"-5,444",-,10,"6,950","6,950","6,950",-,-,"2,811","2,811",-,"1,195",-,"7,910","-1,222","48,650",-,-,-,-,-,-,"15,797","32,818",35,"-367,553","-367,553","-66,473","-655,425","588,952","-362,083","29,326","-391,409","1,946",-,-,-,-,"59,057","-275,820","-275,820","-950,180","-950,180","749,820","-1,700,000",-,-,"-74,788",-,"-74,788",-,-,"-87,547","-79,340","-8,207",-,-,-,"990,019","-484,936","1,474,955",-,"5,908","187,890",-,-,"749,820","-1,700,000","-74,788","158,437"
18,12/31/2018,"320,504","320,504","101,739",27,-,-,14,-,13,"7,935","7,935","7,935",-,-,"-11,908","-11,908",0,-23,-,"8,191","2,770","211,773",-,-,-,-,-,-,"243,992","-32,219",0,"-1,137,596","-1,137,596","-821,429","-1,192,462","371,033","-330,255","15,383","-345,638","-1,596","-1,596",-,-,-,"15,684","560,293","560,293","367,268","367,268","1,967,268","-1,600,000",-,-,"-160,821",-,"-160,821",-,-,"-91,300","-83,093","-8,207",-,-,-,"1,474,955","-256,799","1,731,754",-,"20,739","201,144","-1,596",-,"1,967,268","-1,600,000","-160,821","318,908"
19,9/30/2018,"-126,840","-126,840","106,772",10,-,-,-44,-,54,"7,839","7,839","7,839",-,-,"30,485","30,485",0,-773,-,"9,355","1,201","-281,729",-,-,-,-,-,-,"-224,180","-57,593",44,"-1,063,754","-1,063,754","-670,071","-978,844","308,773","-392,698","102,319","-495,017",-632,-632,-,-,-,-353,"717,951","717,951","46,500","46,500","250,000","-203,500",-,-,-420,-,-420,-,-,"-91,568","-83,361","-8,207",-,-,-,"1,731,754","-472,643","2,204,397",-,"9,500","163,791",-632,-,"250,000","-203,500",-420,"-127,472"
20,6/30/2018,"198,422","198,422","107,354",-147,-,-,-6,-,-141,"8,167","8,167","8,167",-,-,"1,445","1,445",-,"-1,051",-,"8,952","4,714","33,730",-,-,-,-,-,-,"-8,728","42,452",6,"-1,353,343","-1,353,343","-754,030","-823,971","69,941","-567,319","46,530","-613,849","-3,580","-3,580",-,-,-,"-28,414","678,546","678,546","450,000","450,000","1,500,000","-1,050,000",-,-,-293,-,-293,-,-,"-91,572","-83,365","-8,207",-,-,-,"2,204,397","-476,375","2,680,772",-,"8,648","149,493","-3,580",-,"1,500,000","-1,050,000",-293,"194,842"
21,3/31/2018,"148,269","148,269","106,552",-209,-,-,-172,-,-37,"8,382","8,382","8,382",0,0,"3,175","3,175",-,"-2,044",-,"9,762","9,571","13,080",-,-,-,-,-,-,"18,868","-5,960",172,"-465,773","-465,773","53,687","-292,927","346,614","-504,036","31,528","-535,564","-4,039","-4,039",-,-,-,"-11,385","470,107","470,107","430,000","430,000","1,950,000","-1,520,000",0,-,"-1,715",-,"-1,715",0,0,"-91,449","-83,242","-8,207",-,-,-,"2,680,772","152,603","2,528,169",-,"5,236","131,160","-4,039",0,"1,950,000","-1,520,000","-1,715","144,230"
22,12/31/2017,"11,862","11,862","136,521","-1,426",-,-,"-1,325",-,-101,"7,888","7,888","7,888",0,0,"33,768","33,768","67,047","-1,174",-,"8,746","2,926","-242,434",-,-,-,-,-,-,"-84,679","-158,071",-,"-1,421,341","-1,421,341","-513,099","-772,111","259,012","-882,836","28,690","-911,526","-1,061","-1,061",-,-,-,"-24,345","660,221","660,221","550,000","550,000",-,"-2,450,000",0,-,"-7,485",-,"-7,485",0,0,"-91,260","-83,053","-8,207",-,-,-,"2,528,169","-749,258","3,277,427",-,"107,031","117,294","-1,061",0,-,"-2,450,000","-7,485","10,801"
23,9/30/2017,"778,393","778,393","110,468","-76,699",-,-,0,-,"-76,699","8,938","8,938","8,914",24,24,"-40,090","-40,090","158,407","-1,251",-,"9,088","44,585","564,947",-,-,-,-,-,-,"434,940","130,007",-,"1,461,170","1,461,170","134,083","-306,932","441,015","1,321,568","1,896,523","-574,955","-4,074","-4,074",-,-,-,"9,593","-91,982","-91,982",0,0,-,0,0,-,-344,-,-344,0,0,"-91,270","-83,063","-8,207",-,-,-,"3,277,427","2,147,581","1,129,846",-,"43,000","115,867","-4,074",0,-,0,-344,"774,319"
24,6/30/2017,"166,356","166,356","115,255","-32,728",-,-,"-26,936",-,"-5,792","7,988","7,988","7,958",30,30,"4,073","4,073","-48,272",-914,-,"9,463","-6,261","117,752",-,-,-,-,-,-,"40,221","77,531",-,"754,224","754,224","640,864",0,"640,864","133,460","149,568","-16,108","-8,977","-8,977",-,-,-,"-11,123","-775,030","-775,030","-850,000",-,-,-,0,-,-502,-,-502,-276,-276,"-91,271","-83,064",-,-,-,-,"1,129,846","145,550","984,296",-,"67,650","111,494","-8,977",-276,-,-,-502,"157,379"
25,3/31/2017,"370,099","370,099","103,957","-6,688",-,-,"-1,979",-,"-4,709","8,197","8,197","8,043",154,154,"23,693","23,693","202,179","-1,216",-,"8,732","-4,008","35,253",-,-,-,-,-,-,"61,391","-26,138",-,"267,687","267,687","127,029","-97,030","224,059","141,339","214,596","-73,257","-13,671","-13,671",-,-,-,"12,990","-211,340","-211,340","-460,000",-,-,-,"-460,000",-,"-10,132",-,"-10,132","503,116","503,116","-82,967","-82,967",-,-,-,-,"984,296","426,446","557,850",-,1,"102,821","-13,671","503,116",-,-,"-10,132","356,428"
26,12/31/2016,"359,816","359,816","113,733","-10,523",-,-,"-2,934",-,"-7,589","8,605","8,605","8,208",397,397,"7,177","7,177","249,743","-1,144",-,"8,050","3,516","-19,341",-,-,-,-,-,-,"-26,613","7,272",-,"89,312","89,312","-9,145","-210,688","201,543","117,550","320,754","-203,204","-14,514","-14,514",-,-,-,"-4,579","-663,060","-663,060","-328,500","1,000,000","1,000,000",-,"-1,328,500",-,-135,-,-135,-,-,"-82,729","-82,729",-,-,-,-,"557,850","-213,932","771,782",-,"45,046","98,717","-14,514",-,"1,000,000",-,-135,"345,302"
27,9/30/2016,"108,135","108,135","125,299","-14,586",-,-,-237,-,"-14,349","8,820","8,820","8,278",542,542,"17,319","17,319","-93,296","-9,131",-,"8,244",-55,"65,521",-,-,-,-,-,-,"55,923","9,598",-,"-277,909","-277,909","172,275","-159,336","331,611","-441,938","317,036","-758,974","-8,726","-8,726",-,-,-,480,"267,267","267,267","93,600",0,0,-,"93,600",-,-206,-,-206,-,-,"-82,734","-82,734",-,-,-,-,"771,782","97,493","674,289",-,"9,983","97,968","-8,726",-,0,-,-206,"99,409"
28,6/30/2016,"-23,971","-23,971","126,460","-16,087",-,-,-13,-,"-16,074","8,878","8,878","8,272",606,606,"2,223","2,223","-150,682","-7,513",-,"8,160",895,"3,695",-,-,-,-,-,-,"3,615",80,-,"-333,757","-333,757","253,807","-8,000","261,807","-501,800","452,144","-953,944","-50,176","-50,176",-,-,-,"-35,588","381,137","381,137","563,300","181,000","181,000",0,"382,300",-,-114,-,-114,-,-,"-82,729","-82,729",-,-,-,-,"674,289","23,409","650,880",-,"125,207","94,371","-50,176",-,"181,000",0,-114,"-74,147"
29,3/31/2016,"311,673","311,673","129,909","-19,549",-,-,-163,-,"-19,386","8,899","8,899","8,053",846,846,"18,027","18,027","-97,753","-8,470",-,"8,207",-176,"272,579",-,-,-,-,-,-,"293,865","-21,286",-,"1,740,519","1,740,519","1,963,185","-114,586","2,077,771","-324,627","585,616","-910,243","-10,763","-10,763",-,-,-,"112,724","-1,938,986","-1,938,986","-2,403,700",0,0,0,"-2,403,700",-,"-8,222",-,"-8,222",-,-,"-82,618","-82,618",-,-,-,-,"650,880","113,206","537,674",-,2,"91,079","-10,763",-,0,0,"-8,222","300,910"
