,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Customer Acceptances,Foreclosed Assets,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Deferred Assets,Deferred Tax Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Payables And Accrued Expenses,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Commercial Paper,Other Current Borrowings,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Non Current Deferred Liabilities,Non Current Deferred Taxes Liabilities,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Foreign Currency Translation Adjustments,Other Equity Adjustments,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
10,12/31/2012,"1,422,968,000","159,173,000","21,860,000","21,860,000",-,-,"137,313,000","137,313,000","282,000","4,023,000","18,649,000","292,681,000","57,482,000",-,-,"235,199,000","17,722,000",-,"817,349,000","834,409,000","47,259,000","225,530,000","113,011,000","448,609,000",-,"17,060,000",-,"12,424,000","30,834,000",-,"12,424,000","9,428,000","9,428,000","1,832,000","7,670,000","7,194,000","1,839,000","9,428,000","-9,229,000","38,335,000","25,637,000","12,698,000",-,-,"93,578,000","1,264,057,000","1,002,835,000","714,628,000","714,628,000","288,207,000","34,973,000","76,668,000","76,668,000","57,175,000","57,175,000","22,202,000","57,175,000",-,"127,379,000","127,379,000","2,218,000","12,000",-,-,-,"158,911,000","157,554,000","22,019,000","12,883,000","9,136,000","77,679,000","59,802,000","6,610,000","5,650,000",-,-,"-986,000","1,357,000","284,933,000","12,883,000","144,671,000","12,000","119,219,000","329,225,000","106,336,000","184,554,000","162,694,000","5,481,811","5,266,314","146,080","215,497"
11,12/31/2011,"1,313,867,000","63,807,000","19,440,000","19,440,000",-,"19,440,000","44,367,000","44,367,000","225,000","4,661,000","20,146,000","300,427,000","77,814,000","222,613,000",-,"222,613,000","16,808,000",-,"786,837,000","806,209,000","49,695,000","206,976,000","109,296,000","440,242,000",-,"19,372,000",-,"13,117,000","31,235,000","31,235,000","13,117,000","9,531,000","9,531,000","1,825,000","7,441,000","7,195,000","1,725,000","9,531,000","-8,802,000","39,126,000","25,115,000","14,011,000",-,-,"101,022,000","1,172,180,000","920,070,000","676,067,000","676,067,000","244,003,000","31,038,000","77,665,000","77,665,000","49,091,000","49,091,000","18,053,000","49,091,000",-,"125,354,000","125,354,000","2,601,000","116,000",-,-,-,"141,687,000","140,241,000","20,362,000","11,431,000","8,931,000","64,385,000","55,957,000","2,744,000","3,207,000",-,-,"-926,000","1,446,000","265,595,000","11,431,000","128,810,000","116,000","101,115,000","303,255,000","89,684,000","174,445,000","155,005,000","5,358,522","5,262,612","10,451","95,910"
12,12/31/2010,"1,258,128,000","96,681,000","16,044,000","16,044,000",-,"16,044,000","80,637,000","80,637,000","229,000","6,009,000","19,845,000","224,068,000","51,414,000","172,654,000",-,"172,654,000","16,423,000",-,"774,204,000","797,226,000","53,053,000","184,196,000","108,825,000","451,152,000","757,267,000","23,022,000",-,"13,094,000","28,658,000",-,"13,094,000","9,644,000","9,644,000","1,825,000","7,440,000","6,689,000","1,683,000","9,644,000","-8,141,000","40,656,000","24,770,000","15,886,000",-,-,"99,781,000","1,130,239,000","847,942,000","656,686,000","656,686,000","191,256,000","37,947,000","69,913,000","69,913,000","55,401,000","55,401,000","17,454,000","55,401,000",-,"156,983,000","156,983,000","7,915,000","26,000",-,-,-,"127,889,000","126,408,000","17,476,000","8,689,000","8,787,000","51,918,000","53,426,000","487,000","4,738,000",-,-,"-663,000","1,481,000","283,391,000","8,689,000","117,719,000","26,000","85,752,000","330,103,000","77,063,000","212,384,000","196,340,000","5,272,415","5,262,283","10,185","10,131"
13,12/31/2009,"1,243,646,000","67,965,000","27,080,000","27,080,000",-,"27,080,000","40,885,000","40,885,000","810,000","3,159,000","19,515,000","215,749,000","43,039,000","172,710,000",-,"172,710,000","16,354,000",-,"788,871,000","813,387,000","44,827,000","187,750,000","113,061,000","467,749,000","782,770,000","24,516,000",-,"14,210,000","26,511,000",-,"14,210,000","10,736,000","10,736,000","2,140,000","8,143,000","6,232,000","1,381,000","10,736,000","-7,312,000","41,935,000","24,812,000","17,123,000","3,212,000","3,212,000","104,180,000","1,129,287,000","824,018,000","642,662,000","642,662,000","181,356,000","26,016,000","62,442,000","62,442,000","38,966,000","38,966,000","12,950,000","38,966,000",-,"203,861,000","203,861,000",-,-,-,-,-,"114,359,000","111,786,000","17,228,000","8,485,000","8,743,000","41,563,000","52,878,000","2,450,000","3,009,000",-,-,"-442,000","2,573,000","315,647,000","8,485,000","103,301,000",-,"69,851,000","346,128,000","61,366,000","242,827,000","215,747,000","5,245,971","5,178,625","9,981","67,347"
14,12/31/2008,"1,309,639,000","73,196,000","23,763,000","23,763,000",-,"23,763,000","49,433,000","49,433,000","615,000","2,193,000",-,"206,453,000","54,884,000","168,351,000",-,"151,569,000","16,782,000",-,"854,304,000","875,317,000","26,316,000","236,351,000","116,808,000","495,842,000","891,146,000","21,013,000",-,"15,829,000","28,239,000","5,746,000","15,829,000","11,269,000","11,269,000","2,029,000","8,232,000","5,589,000","1,309,000","11,269,000","-6,000,000","38,787,000","22,627,000","16,160,000",-,-,"109,801,000","1,210,571,000","781,402,000","630,565,000","630,565,000","150,837,000","62,203,000","53,937,000","53,937,000","108,074,000","108,074,000","45,871,000","108,074,000",-,"267,158,000","267,158,000",-,-,-,-,"53,921,000","99,068,000","99,068,000","38,605,000","31,332,000","7,273,000","36,730,000","36,026,000","4,666,000","-7,072,000",-,-,"-555,000",-,"366,226,000","31,332,000","67,736,000",-,"60,281,000","442,968,000","28,949,000","375,232,000","351,469,000","4,373,068","4,237,777",-,"135,291"
15,12/31/2007,"575,442,000","17,511,000","14,757,000","14,757,000","14,757,000","460,000","2,754,000","2,754,000","62,000","1,184,000",-,"80,678,000","7,727,000","78,550,000",-,"72,951,000","6,930,000",-,"397,879,000","403,186,000","27,763,000","97,909,000","74,933,000","202,581,000","409,958,000","5,307,000",-,"20,662,000","13,890,000","2,977,000","6,772,000","7,340,000","12,864,000","707,000","4,088,000","4,526,000","1,258,000","2,285,000","-5,524,000","30,344,000","13,106,000","17,238,000",-,-,"12,852,000","527,814,000","344,460,000","260,112,000","260,112,000","84,348,000","22,828,000","30,706,000","30,706,000","30,427,000","30,427,000","30,427,000","53,255,000",-,"99,393,000","99,393,000",-,-,-,-,"30,706,000","47,628,000","47,628,000","6,238,000","450,000","5,788,000","38,970,000","8,212,000","6,035,000","725,000",-,-,"-482,000",-,"147,021,000","450,000","47,178,000",-,"17,284,000","176,998,000","16,834,000","129,820,000","115,063,000","3,297,102","3,297,102",-,-
16,12/31/2006,"481,996,000","21,106,000","15,028,000","15,028,000","15,028,000","413,000","6,078,000","6,078,000","103,000","745,000",-,"48,236,000","5,607,000","48,507,000",-,"42,629,000","5,237,000",-,"343,556,000","347,320,000","33,818,000","77,070,000","68,231,000","168,201,000","352,934,000","3,764,000",-,"15,706,000","10,092,000","2,570,000","5,614,000","7,789,000","12,602,000","657,000","3,891,000","3,786,000","1,117,000","3,151,000","-4,813,000","29,248,000","11,275,000","17,973,000",-,-,"10,270,000","436,120,000","310,243,000","221,124,000","221,124,000","89,119,000","11,707,000","25,903,000","25,903,000","1,122,000","1,122,000","1,122,000","12,829,000",-,"87,145,000","87,145,000",-,-,-,-,"25,903,000","45,876,000","45,876,000","6,172,000","384,000","5,788,000","35,277,000","7,739,000","3,203,000","302,000",-,-,"-411,000",-,"133,021,000","384,000","45,492,000",-,"16,628,000","133,759,000","16,244,000","88,267,000","73,239,000","3,377,150","3,377,150",-,-
17,12/31/2005,"481,741,000","20,703,000","15,397,000",-,-,"15,397,000","5,306,000","5,306,000",-,-,-,"57,829,000","10,905,000","46,924,000",-,-,-,-,"348,112,000","351,983,000",-,-,-,-,"351,983,000","3,871,000",-,"13,885,000","2,279,000","2,279,000","11,606,000","4,417,000",-,-,-,-,-,-,-,"23,787,000",-,-,-,-,"13,008,000","441,081,000","314,450,000","226,738,000","226,738,000","87,712,000",-,-,-,"23,892,000","23,892,000",-,"23,892,000",-,"79,668,000","79,668,000",-,-,-,-,"23,071,000","40,660,000","40,660,000","3,219,000","325,000","2,894,000","30,580,000","9,934,000","3,390,000","317,000",-,-,-,-,"120,328,000","325,000","40,335,000",-,"16,873,000","143,895,000","16,548,000","103,560,000","88,163,000","3,355,166","3,355,166",-,-
18,12/31/2004,"427,849,000","19,636,000","12,903,000",-,-,"12,903,000","6,733,000","6,733,000",-,-,-,"46,233,000","9,000,000","37,233,000",-,-,-,-,"322,286,000","326,048,000",-,-,-,-,"326,048,000","3,762,000",-,"3,196,000","1,483,000","1,483,000","1,713,000","3,850,000",-,-,-,-,-,-,-,"19,185,000",-,-,-,-,"13,463,000","389,983,000","274,858,000","193,776,000","193,776,000","81,082,000",-,-,-,"21,962,000","21,962,000",-,"21,962,000",-,"73,580,000","73,580,000",-,-,-,-,"19,583,000","37,866,000","37,866,000","3,164,000","270,000","2,894,000","26,482,000","9,806,000","2,247,000","661,000",-,-,-,-,"111,446,000","270,000","37,596,000",-,"18,681,000","133,138,000","18,411,000","95,542,000","82,639,000","3,389,183","3,389,183",-,-
19,12/31/2003,"387,798,000","21,045,000","16,535,000",-,"15,547,000","988,000","4,510,000","4,510,000","137,000",-,-,"41,872,000","8,919,000","32,953,000",-,-,-,-,"285,706,000","289,597,000",-,-,-,-,"289,597,000","3,891,000",-,"3,743,000","1,287,000","1,287,000","2,456,000","3,534,000",-,-,-,-,-,-,-,"18,014,000",-,-,-,-,"13,747,000","353,329,000","247,527,000","173,140,000","173,140,000","74,387,000",-,-,-,"24,659,000","24,659,000",-,"24,659,000",-,"63,642,000","63,642,000",-,-,-,-,"17,501,000","34,469,000","34,469,000","3,108,000","214,000","2,894,000","22,842,000","9,643,000","1,833,000","709,000",-,-,-,-,"98,111,000","214,000","34,255,000",-,"16,455,000","122,556,000","16,241,000","88,301,000","71,766,000","3,396,219","3,396,219",-,-
20,12/31/2002,"349,259,000","21,346,000","18,172,000",-,"17,820,000","352,000","3,174,000","3,174,000","110,000",-,-,"38,114,000","10,167,000","27,947,000",-,-,-,-,"250,591,000","254,453,000",-,-,-,-,"254,453,000","3,862,000",-,"6,345,000","1,139,000","1,139,000","5,206,000","3,688,000",-,-,-,-,-,-,-,"15,110,000",-,-,-,-,"13,955,000","318,901,000","216,916,000","142,822,000","142,822,000","74,094,000",-,-,-,"33,446,000","33,446,000",-,"33,446,000",-,"50,205,000","50,205,000",-,-,-,-,"18,334,000","30,358,000","30,358,000","2,955,000","61,000","2,894,000","19,394,000","9,498,000","2,465,000","976,000",-,-,-,-,"80,563,000","61,000","30,297,000",-,"15,248,000","113,948,000","15,187,000","83,651,000","65,479,000","3,371,813","3,371,813",-,-
21,12/31/2001,"307,569,000","19,498,000","16,968,000",-,-,"16,968,000","2,530,000","2,530,000",-,-,-,"40,308,000",-,"40,308,000",-,-,-,-,"203,888,000","207,649,000",-,-,-,-,"207,649,000","3,761,000",-,"23,545,000",-,-,-,"3,549,000",-,-,-,-,-,-,-,"16,781,000",-,-,-,-,-,"280,355,000","187,266,000","121,904,000","121,904,000","65,362,000",-,-,-,"37,782,000","37,782,000",-,"37,782,000",-,"38,530,000","38,530,000",-,-,-,-,"16,777,000","27,214,000","27,214,000","2,958,000","64,000","2,894,000","16,005,000","9,436,000","1,937,000","752,000",-,-,-,-,"65,744,000","64,000","27,150,000",-,"10,433,000","103,462,000","10,369,000","76,312,000","59,344,000","3,390,990","3,390,990",-,-
22,12/31/2000,"272,426,000","18,576,000","16,978,000",-,-,"16,978,000","1,598,000","1,598,000",-,-,-,"38,655,000",-,"38,655,000",-,-,-,-,"173,756,000","177,475,000",-,-,-,-,"177,475,000","3,719,000",-,"21,929,000",-,-,-,"3,415,000",-,-,-,-,-,-,-,"10,486,000",-,-,-,-,"5,609,000","245,938,000","169,559,000","114,463,000","114,463,000","55,096,000",-,-,-,"28,989,000","28,989,000",-,"28,989,000",-,"32,981,000","32,981,000",-,-,-,-,"14,409,000","26,488,000","26,488,000","3,161,000","267,000","2,894,000","14,541,000","9,337,000","1,075,000","524,000",-,-,-,-,"59,469,000","267,000","26,221,000",-,"16,002,000","88,191,000","15,735,000","61,970,000","44,992,000","3,429,292","3,429,292",-,-
23,12/31/1999,"218,102,000","14,804,000","13,250,000",-,-,"13,250,000","1,554,000","1,554,000",-,-,-,"38,518,000",-,"38,518,000",-,-,-,-,"132,976,000","136,146,000",-,-,-,-,"136,146,000","3,170,000",-,"15,348,000",-,-,-,"2,985,000",-,-,-,-,-,-,-,"8,988,000",-,-,-,-,"4,483,000","195,971,000","132,708,000","89,792,000","89,792,000","42,916,000",-,-,-,"27,995,000","27,995,000",-,"27,995,000",-,"24,160,000","24,160,000",-,-,-,-,"11,108,000","22,131,000","22,131,000","3,048,000","271,000","2,777,000","11,196,000","8,786,000","1,790,000","891,000",-,-,-,-,"46,291,000","271,000","21,860,000",-,"13,143,000","74,015,000","12,872,000","52,155,000","38,905,000","3,253,698","3,253,698",-,-
24,12/31/1998,"202,475,000","14,248,000","12,731,000",-,-,"12,731,000","1,517,000","1,517,000",-,-,-,"31,997,000",-,"31,997,000",-,-,-,-,"110,182,000","113,316,000",-,-,-,-,"113,316,000","3,134,000",-,"10,894,000",-,-,-,"3,130,000",-,-,-,-,-,-,-,"9,174,000",-,-,-,-,"22,850,000","181,716,000","136,788,000","90,056,000","90,056,000","46,732,000",-,-,-,"15,897,000","15,897,000",-,"15,897,000",-,"20,494,000","20,494,000",-,-,-,-,"8,537,000","20,759,000","20,759,000","463,000","463,000",-,"9,045,000",-,-,-,-,-,"11,251,000",-,"41,253,000","463,000","20,296,000",-,"11,585,000","56,687,000","11,122,000","36,391,000","23,660,000","3,288,116","3,288,116",-,-
