,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Other Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Securities Activities,Credit Card,Other Customer Services,Fees & Commission Expense,Investment Banking Profit,Trading Gain Loss,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Loans,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Equipment,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Rental & Landing Fees,Insurance & Claims,Other G and A,Selling & Marketing Expense,Depreciation Amortization Depletion,Depreciation & amortization,Amortization,Amortization of Intangibles,Other Non Interest Expense,Income from Associates & Other Participating Interests,Special Income Charges,Gain on Sale of Business,Restructuring & Mergers Acquisition,Other Non Operating Income Expenses,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income Extraordinary,Minority Interests,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Rent Expense Supplemental,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
36,6/30/2014,"20,617,000","10,791,000","11,793,000","9,048,000","9,048,000","2,519,000","226,000","1,002,000","275,000","14,000","620,000","93,000","9,826,000","453,000","8,550,000","8,550,000","3,006,000","3,609,000",-,"847,000","1,088,000",-,-,"382,000","71,000","71,000",-,-,"370,000","-217,000","12,194,000","1,167,000","722,000","445,000",-,"7,635,000","7,635,000","7,410,000",-,"225,000",-,-,"349,000","349,000","349,000","349,000","3,392,000","449,000",-,-,-,-,"8,655,000","2,869,000","5,424,000","5,726,000","5,786,000","5,786,000",-,"-60,000","302,000","5,424,000",1.02,1.01,"5,268,400","5,350,800",-,"10,574,000","5,726,000","5,726,000","349,000","5,726,000",-,-,0,0
37,3/31/2014,"19,778,000","10,615,000","11,612,000","8,918,000","8,918,000","2,484,000","210,000","997,000","279,000","12,000","619,000","87,000","9,163,000","432,000","7,968,000","7,968,000","2,725,000","3,412,000",-,"784,000","1,047,000",-,-,"432,000","83,000","83,000",-,-,"248,000","-325,000","11,948,000","1,232,000","742,000","490,000",-,"7,759,000","7,759,000","7,516,000",-,"243,000",-,-,"341,000","341,000","341,000","341,000","2,957,000","847,000",-,-,-,-,"8,352,000","2,277,000","5,607,000","5,893,000","6,075,000","6,075,000",-,"-182,000","286,000","5,607,000",1.07,1.05,"5,262,800","5,353,300",-,"10,290,000","5,893,000","5,893,000","341,000","5,893,000",-,-,0,0
38,12/31/2013,"20,011,000","10,803,000","11,836,000","9,131,000","9,131,000","2,497,000","208,000","1,033,000","297,000","14,000","635,000","87,000","9,208,000","578,000","6,938,000","6,938,000","2,764,000","850,000","2,150,000","827,000","347,000",-,"458,000","325,000","847,000","-14,000","861,000",-,"62,000","-363,000","12,085,000","1,299,000","732,000","567,000",-,"7,514,000","7,514,000","7,318,000",-,"196,000",-,-,"375,000","375,000","375,000","375,000","3,272,000","654,000",-,-,-,-,"8,217,000","2,504,000","5,369,000","5,610,000","5,713,000","5,713,000",-,"-103,000","241,000","5,369,000",1.02,1.00,"5,270,300","5,358,600",-,"10,440,000","5,610,000","5,610,000","375,000","5,610,000",-,-,0,0
39,9/30/2013,"19,976,000","10,748,000","11,776,000","9,224,000","9,224,000","2,369,000","183,000","1,028,000","318,000","9,000","621,000","80,000","9,228,000","413,000","8,073,000","8,073,000","2,886,000","3,276,000",-,"813,000","1,098,000",-,-,"397,000","-6,000","-6,000",-,-,"351,000","-75,000","12,102,000","1,199,000","728,000","471,000",-,"7,697,000","7,697,000","7,483,000",-,"214,000",-,-,"375,000","375,000","375,000","375,000","3,206,000","502,000",-,-,-,-,"8,301,000","2,618,000","5,317,000","5,578,000","5,683,000","5,683,000",-,"-105,000","261,000","5,317,000",1.00,0.99,"5,295,300","5,381,700",-,"10,673,000","5,578,000","5,578,000","375,000","5,578,000",-,-,0,0
40,6/30/2013,"21,175,000","10,750,000","11,827,000","9,284,000","9,284,000","2,374,000","169,000","1,077,000","353,000","17,000","632,000","75,000","10,425,000","485,000","9,446,000","9,446,000","4,050,000","3,494,000",-,"813,000","1,089,000",-,-,"331,000","-54,000","-54,000",-,-,"217,000","-652,000","12,255,000","1,134,000","716,000","418,000",-,"7,771,000","7,771,000","7,512,000",-,"259,000",-,-,"377,000","377,000","377,000","377,000","3,350,000","203,000",-,-,-,-,"8,471,000","2,863,000","5,272,000","5,519,000","5,608,000","5,608,000",-,"-89,000","247,000","5,272,000",1.00,0.98,"5,304,700","5,384,600",-,"10,098,000","5,519,000","5,519,000","377,000","5,519,000",-,-,0,0
41,3/31/2013,"21,146,000","10,499,000","11,650,000","9,235,000","9,235,000","2,252,000","163,000","1,151,000","369,000","20,000","697,000","65,000","10,647,000","463,000","8,982,000","8,982,000","4,772,000","3,202,000","45,000","738,000","270,000",-,-,"570,000","45,000","45,000",-,-,"587,000","-1,219,000","12,400,000","1,247,000","719,000","528,000",-,"8,115,000","8,115,000","7,823,000",-,"292,000",-,-,"377,000","377,000","377,000","377,000","3,038,000","113,000",-,-,-,-,"7,640,000","2,420,000","4,931,000","5,171,000","5,220,000","5,220,000",-,"-49,000","240,000","4,931,000",0.93,0.92,"5,279,000","5,353,500",-,"9,280,000","5,171,000","5,171,000","377,000","5,171,000",-,-,0,0
42,12/31/2012,"21,233,000","10,643,000","11,857,000","9,443,000","9,443,000","2,236,000","178,000","1,214,000","399,000","24,000","735,000","56,000","10,590,000","395,000","6,628,000","6,628,000","2,693,000","3,199,000",-,"736,000","1,193,000",-,"-7,284,000","275,000","2,755,000","-63,000","2,818,000",-,"537,000","-1,831,000","12,896,000","1,270,000","728,000","542,000",-,"7,298,000","7,298,000","6,991,000",-,"307,000",-,-,"418,000","418,000","418,000","418,000","4,328,000","715,000",-,-,-,-,"7,221,000","1,924,000","4,857,000","5,090,000","5,297,000","5,297,000",-,"-207,000","233,000","4,857,000",0.92,0.91,"5,272,400","5,338,700",-,"8,812,000","5,090,000","5,090,000","418,000","5,090,000","-608,000","-608,000",0,0
43,9/30/2012,"21,049,000","10,662,000","11,925,000","9,509,000","9,509,000","2,265,000","151,000","1,263,000","428,000","19,000","756,000","60,000","10,387,000","414,000","6,005,000","6,005,000","1,210,000","2,954,000",-,"744,000","1,097,000",-,"2,807,000","529,000","750,000","532,000",-,"218,000","411,000","-1,591,000","12,112,000","1,237,000","727,000","510,000",-,"7,438,000","5,070,000","4,711,000",-,"359,000",-,"2,368,000","419,000","419,000","419,000","419,000","3,018,000","164,000",-,-,-,-,"7,510,000","2,480,000","4,717,000","4,937,000","5,030,000","5,030,000",-,"-93,000","220,000","4,717,000",0.89,0.88,"5,288,100","5,355,600",-,"9,071,000","4,937,000","4,790,989","419,000","4,937,000","218,000","218,000",0,"71,989"
44,6/30/2012,"21,047,000","11,037,000","12,354,000","9,731,000","9,731,000","2,490,000","133,000","1,317,000","443,000","20,000","789,000","65,000","10,010,000","522,000","5,875,000","5,875,000","1,139,000","2,898,000",-,"704,000","1,838,000",-,"2,893,000","263,000","59,000","-61,000",-,"120,000","398,000","-1,800,000","12,397,000","1,157,000","698,000","459,000",-,"7,441,000","5,087,000","4,754,000",-,"333,000",-,"2,354,000","418,000","418,000","418,000","418,000","3,381,000","242,000",-,-,-,-,"7,092,000","2,371,000","4,403,000","4,622,000","4,721,000","4,721,000",-,"-99,000","219,000","4,403,000",0.83,0.82,"5,306,900","5,369,900",-,"9,237,000","4,622,000","4,542,118","418,000","4,622,000","120,000","120,000",0,"40,118"
45,3/31/2012,"21,272,000","10,888,000","12,255,000","9,665,000","9,665,000","2,465,000","125,000","1,367,000","457,000","16,000","830,000","64,000","10,384,000","519,000","5,672,000","5,672,000","1,084,000","2,839,000",-,"654,000","1,095,000",-,"2,870,000","640,000","52,000","-7,000",-,"59,000","631,000","-1,995,000","12,993,000","1,261,000","704,000","557,000",-,"7,983,000","5,566,000","5,209,000",-,"357,000",-,"2,417,000","419,000","419,000","419,000","419,000","3,330,000","364,000",-,-,-,-,"6,648,000","2,328,000","4,022,000","4,248,000","4,320,000","4,320,000",-,"-72,000","226,000","4,022,000",0.76,0.75,"5,282,600","5,337,800",-,"8,893,000","4,248,000","4,209,661","419,000","4,248,000","59,000","59,000",0,"20,661"
46,12/31/2011,"20,544,000","10,892,000","12,378,000","9,747,000","9,747,000","2,492,000","139,000","1,486,000","507,000","14,000","885,000","80,000","9,652,000","466,000","6,018,000","6,018,000","2,680,000","2,658,000",-,"680,000","-934,000",-,"2,364,000","430,000","1,919,000","48,000","1,871,000","60,000","819,000","-2,040,000","12,508,000","1,366,000","759,000","607,000",-,"7,283,000","7,283,000","6,969,000",-,"314,000",-,"2,251,000","467,000","467,000","467,000","467,000","3,859,000","61,000",-,-,-,-,"6,057,000","1,874,000","3,888,000","4,107,000","4,183,000","4,183,000",-,"-76,000","219,000","3,888,000",0.74,0.73,"5,271,900","5,317,600",-,"8,852,000","4,107,000","4,107,000","725,000","4,107,000","-2,181,000","-2,181,000",0,0
47,9/30/2011,"19,284,000","10,542,000","12,178,000","9,626,000","9,626,000","2,396,000","156,000","1,636,000","559,000","20,000","980,000","77,000","8,742,000","423,000","5,987,000","5,987,000","1,103,000","2,786,000",-,"1,013,000","1,085,000",-,"1,833,000",-,"142,000","-142,000",-,"284,000","357,000","-1,811,000","11,677,000","1,267,000","751,000","516,000",-,"6,918,000","4,830,000","4,498,000",-,"332,000",-,"2,088,000","466,000","466,000","466,000","466,000","3,026,000","344,000",-,-,-,-,"6,140,000","1,998,000","3,839,000","4,055,000","4,142,000","4,142,000",-,"-87,000","216,000","3,839,000",0.73,0.72,"5,275,500","5,319,200",-,"8,731,000","4,055,000","3,863,416","466,000","4,055,000","284,000","284,000",0,"92,416"
48,6/30/2011,"19,662,000","10,678,000","12,384,000","9,740,000","9,740,000","2,513,000","131,000","1,706,000","594,000","20,000","1,009,000","83,000","8,984,000","568,000","6,044,000","6,044,000","1,074,000","2,944,000",-,"1,003,000","1,023,000",-,"1,619,000","414,000","-25,000","-128,000",-,"103,000","364,000","-1,838,000","12,475,000","1,277,000","749,000","528,000",-,"7,234,000","5,063,000","4,748,000",-,"315,000",-,"2,171,000","464,000","464,000","464,000","464,000","3,500,000","724,000",-,-,-,-,"6,073,000","2,001,000","3,728,000","3,948,000","4,072,000","4,072,000",-,"-124,000","220,000","3,728,000",0.70,0.70,"5,286,500","5,331,700",-,"8,840,000","3,948,000","3,878,938","464,000","3,948,000","103,000","103,000",0,"33,938"
49,3/31/2011,"19,976,000","10,651,000","12,472,000","9,836,000","9,836,000","2,514,000","122,000","1,821,000","615,000","26,000","1,104,000","76,000","9,325,000","503,000","5,874,000","5,874,000","1,012,000","2,916,000",-,"957,000","989,000",-,"2,016,000","612,000","-89,000","-166,000",-,"77,000","409,000","-2,210,000","12,733,000","1,384,000","752,000","632,000",-,"7,498,000","5,151,000","4,846,000",-,"305,000",-,"2,347,000","483,000","483,000","483,000","483,000","3,368,000","353,000",-,-,-,-,"5,386,000","1,572,000","3,570,000","3,759,000","3,814,000","3,814,000",-,"-55,000","189,000","3,570,000",0.68,0.67,"5,278,800","5,333,100",-,"8,441,000","3,759,000","3,704,474","483,000","3,759,000","77,000","77,000",0,"22,474"
50,12/31/2010,"21,177,000","11,063,000","12,969,000","10,176,000","10,176,000","2,669,000","124,000","1,906,000","662,000","26,000","1,153,000","65,000","10,114,000","564,000","6,237,000","6,237,000","2,338,000","2,958,000",-,"941,000","-887,000",-,"2,757,000","532,000","2,249,000","-268,000","2,517,000",-,"532,000","-2,989,000","13,340,000","1,563,000","750,000","813,000",-,"7,201,000","7,201,000","6,900,000",-,"301,000",-,"2,195,000",-,-,-,-,"4,576,000","317,000",-,-,-,-,"5,165,000","1,672,000","3,232,000","3,414,000","3,493,000","3,493,000",-,"-79,000","182,000","3,232,000",0.62,0.61,"5,256,200","5,293,800",-,"8,074,000","3,414,000","3,414,000","422,000","3,414,000",-,-,0,0
51,9/30/2010,"20,743,000","11,098,000","13,130,000","10,250,000","10,250,000","2,762,000","118,000","2,032,000","721,000","27,000","1,226,000","58,000","9,645,000","397,000","5,635,000","5,635,000","1,132,000","2,564,000",-,"935,000","1,004,000",-,"2,499,000","470,000","-114,000",0,-,"-114,000","758,000","-3,445,000","12,253,000","1,299,000","742,000","557,000",-,"6,832,000","4,552,000","4,552,000",-,-,-,"2,280,000",-,-,-,-,"4,122,000","131,000",-,-,-,-,"5,176,000","1,751,000","3,150,000","3,339,000","3,425,000","3,425,000",-,"-86,000","189,000","3,150,000",0.60,0.60,"5,240,100","5,273,200",-,"7,653,000","3,339,000","3,414,435","167,000","3,339,000","-114,000","-114,000",0,"-38,565"
52,6/30/2010,"21,106,000","11,449,000","13,472,000","10,712,000","10,712,000","2,651,000","109,000","2,023,000","714,000","21,000","1,233,000","55,000","9,657,000","544,000","6,053,000","6,053,000","1,417,000","2,743,000",-,"911,000","982,000",-,"2,011,000","109,000","30,000","30,000",-,-,"910,000","-3,989,000","12,746,000","1,330,000","742,000","588,000",-,"6,852,000","4,627,000","4,627,000",-,-,-,"2,225,000",-,-,-,-,"4,564,000","288,000",-,-,-,-,"4,659,000","1,514,000","3,062,000","3,062,000","3,145,000","3,145,000",-,"-83,000","184,000","3,062,000",0.55,0.55,"5,219,700","5,260,800",-,"7,460,000","3,062,000","3,062,000","622,000","3,062,000",-,-,0,0
53,3/31/2010,"21,405,000","11,147,000","13,225,000","10,459,000","10,459,000","2,682,000","84,000","2,078,000","735,000","18,000","1,276,000","49,000","10,258,000","621,000","5,807,000","5,807,000","1,332,000","2,669,000",-,"865,000","941,000",-,"2,470,000","537,000","28,000","28,000",-,-,"795,000","-5,330,000","12,117,000","1,474,000","796,000","678,000",-,"6,628,000","4,636,000","4,636,000",-,-,-,"1,992,000",-,-,-,-,"4,015,000","43,000",-,-,-,-,"4,001,000","1,401,000","2,372,000","2,197,000","2,600,000","2,600,000",-,"-53,000","175,000","2,372,000",0.46,0.45,"5,190,400","5,225,200",-,"5,817,000","2,197,000","2,197,000","713,000","2,197,000",-,-,0,0
54,12/31/2009,"22,423,000","11,500,000","13,692,000","10,600,000","10,600,000","3,006,000","86,000","2,192,000","913,000","12,000","1,217,000","50,000","10,923,000","482,000","8,146,000","8,146,000","4,580,000","2,605,000",-,"961,000","-1,042,000",-,"3,411,000","516,000","1,352,000","110,000","1,242,000",-,"427,000","-5,913,000","12,371,000","1,451,000","770,000","681,000",-,"7,037,000","7,037,000","6,735,000",-,"302,000",-,"2,086,000",-,-,-,-,"3,883,000","273,000","-450,000",-,"450,000",-,"3,962,000","949,000","394,000","2,823,000","3,013,000","3,013,000",-,"-190,000","2,429,000","394,000",0.08,0.08,"4,764,800","4,796,100",-,"5,587,000","2,823,000","3,165,214","404,000","2,823,000","-450,000","-450,000",0,"-107,786"
55,9/30/2009,"22,437,000","11,684,000","13,968,000","10,728,000","10,728,000","3,163,000","77,000","2,284,000","-905,000","-32,000","1,301,000","1,920,000","10,753,000","468,000","5,876,000","5,876,000","1,478,000","2,502,000",-,"946,000","950,000",-,"3,067,000",-,"-40,000","-40,000",-,-,"1,382,000","-6,111,000","11,684,000","1,341,000","778,000","563,000",-,"6,513,000","4,462,000","4,462,000",-,-,-,"2,051,000",-,-,-,-,"3,830,000","29,000",-,-,-,-,"4,671,000","1,355,000","2,637,000","2,637,000","3,316,000","3,316,000",-,"-81,000","598,000","2,637,000",0.56,0.56,"4,678,300","4,706,400",-,"5,573,000","2,637,000","2,637,000","897,000","2,637,000",-,-,0,0
56,6/30/2009,"22,467,000","11,764,000","14,301,000","11,127,000","11,127,000","3,093,000","81,000","2,537,000","-957,000","-55,000","1,485,000","2,064,000","10,703,000","595,000","5,747,000","5,747,000","1,448,000","2,413,000",-,"923,000","963,000",-,"3,046,000",-,"-78,000","-78,000",-,-,"1,393,000","-5,086,000","12,697,000","1,358,000","783,000","575,000",-,"6,725,000","4,665,000","4,665,000",-,-,-,"2,060,000",-,-,-,-,"4,614,000","40,000",-,-,-,-,"4,724,000","1,475,000","2,575,000","3,172,000","3,249,000","3,249,000",-,"-77,000","597,000","2,575,000",0.58,0.57,"4,483,100","4,501,600",-,"6,678,000","3,172,000","3,172,000","559,000","3,172,000",-,-,0,0
57,3/31/2009,"21,174,000","11,376,000","14,313,000","11,247,000","11,247,000","2,975,000","91,000","2,937,000","999,000","123,000","1,779,000","36,000","9,798,000","581,000","5,363,000","5,363,000","1,394,000","2,215,000",-,"853,000","901,000",-,"2,504,000",-,"-119,000","-119,000",-,-,"1,469,000","-4,558,000","11,818,000","1,483,000","796,000","687,000",-,"6,494,000","4,670,000","4,670,000",-,-,-,"1,824,000",-,-,-,-,"3,841,000","-157,000",-,-,-,-,"4,641,000","1,552,000","2,384,000","3,045,000","3,089,000","3,089,000",-,"-44,000","661,000","2,384,000",0.56,0.56,"4,247,400","4,249,300",-,"6,818,000","3,045,000","3,045,000","981,000","3,045,000",-,-,0,0
58,12/31/2008,"9,824,000","6,724,000","8,728,000","7,102,000","7,102,000","1,585,000","41,000","2,004,000","845,000","204,000","955,000",-,"3,100,000","337,000","2,629,000","2,629,000","1,379,000","661,000",-,"589,000","-2,437,000",-,-,"-261,000","485,000","721,000","-236,000",-,"-90,000","-8,444,000","5,748,000","820,000","418,000","402,000",-,"3,177,000","3,177,000","3,177,000",-,-,-,-,-,-,-,-,"1,751,000",-,"-74,000",-,"74,000",-,"-4,442,000","-1,895,000","-2,833,000","-2,547,000","-2,547,000","-2,547,000",-,-,"286,000","-2,833,000",-0.79,-0.79,"3,582,400","3,593,600",-,"-1,720,000","-2,547,000","-2,498,900","515,000","-2,547,000","-74,000","-74,000",0,"-25,900"
59,9/30/2008,"10,379,000","6,381,000","8,774,000","7,294,000","7,294,000","1,438,000","42,000","2,393,000","1,019,000","492,000","882,000",-,"3,998,000",-,"2,730,000","2,730,000","839,000","738,000",-,-,"1,153,000",-,-,-,"-423,000","-423,000",-,-,"1,691,000","-2,495,000","5,517,000","704,000",-,-,-,"2,633,000","2,633,000","2,633,000",-,-,-,-,-,-,-,-,"2,180,000",-,-,-,-,-,"2,367,000","730,000","1,637,000","1,637,000","1,637,000","1,637,000",-,-,-,"1,637,000",0.49,0.49,"3,316,400","3,331,000",-,"3,886,000","1,637,000","1,637,000","406,000","1,637,000",-,-,0,0
60,6/30/2008,"11,459,000","6,278,000","8,547,000","7,239,000","7,239,000","1,262,000","46,000","2,269,000","1,063,000","357,000","849,000",-,"5,181,000",-,"2,661,000","2,661,000","800,000","762,000",-,-,"1,099,000",-,-,-,"-45,000","-45,000",-,-,"2,565,000","-3,012,000","5,860,000","705,000",-,-,-,"3,429,000","3,429,000","3,429,000",-,-,-,-,-,-,-,-,"1,726,000",-,-,-,-,-,"2,587,000","834,000","1,753,000","1,753,000","1,753,000","1,753,000",-,-,-,"1,753,000",0.53,0.53,"3,309,800","3,321,400",-,"3,266,000","1,753,000","1,753,000","380,000","1,753,000",-,-,0,0
61,3/31/2008,"10,563,000","5,760,000","8,849,000","7,618,000","7,618,000","1,179,000","52,000","3,089,000","1,594,000","425,000","1,070,000",-,"4,803,000",-,"2,568,000","2,568,000","748,000","763,000",-,-,"1,057,000",-,-,-,"636,000","636,000",-,-,"1,599,000","-2,028,000","5,462,000","747,000",-,-,-,"3,215,000","3,215,000","3,215,000",-,-,-,-,-,-,-,-,"1,500,000",-,-,-,-,-,"3,073,000","1,074,000","1,999,000","1,999,000","1,999,000","1,999,000",-,-,-,"1,999,000",0.61,0.60,"3,302,400","3,317,900",-,"3,732,000","1,999,000","1,999,000","368,000","1,999,000",-,-,0,0
62,12/31/2007,"9,471,000","5,488,000","9,242,000","8,174,000","8,174,000","1,017,000","51,000","3,754,000","2,136,000","380,000","1,238,000",-,"3,983,000",-,"4,599,000","4,599,000","3,836,000","802,000",-,-,"-2,175,000",-,-,-,"837,000","-452,000",-,-,"-2,983,000","-2,612,000","5,870,000","783,000",-,-,-,"3,453,000","3,453,000","3,453,000",-,-,-,-,-,-,-,-,"1,634,000",-,-,-,-,-,"1,523,000","272,000","1,251,000","1,251,000","1,251,000","1,251,000",-,-,-,"1,251,000",-,-,-,-,-,"2,876,000","1,251,000","1,251,000","391,000","1,251,000",-,-,0,0
63,9/30/2007,"9,853,000","5,280,000","9,223,000","8,082,000","8,082,000","1,069,000","72,000","3,943,000","2,218,000","464,000","1,261,000",-,"4,573,000",-,"2,741,000","2,741,000","837,000","777,000",-,-,"1,127,000",-,-,-,"333,000","333,000",-,-,"1,499,000","-892,000","5,501,000","693,000",-,-,-,"3,253,000","3,253,000","3,253,000",-,-,-,-,-,-,-,-,"1,555,000",-,-,-,-,-,"3,460,000","1,177,000","2,283,000","2,283,000","2,283,000","2,283,000",-,-,-,"2,283,000",0.69,0.68,"3,339,600","3,374,000",-,"4,388,000","2,283,000","2,283,000","377,000","2,283,000",-,-,0,0
64,6/30/2007,"9,891,000","5,196,000","8,573,000","7,695,000","7,695,000","799,000","79,000","3,377,000","1,941,000","265,000","1,171,000",-,"4,695,000",-,"2,734,000","2,734,000","740,000","839,000",-,-,"1,155,000",-,-,-,"200,000","200,000",-,-,"1,761,000","-720,000","5,727,000","661,000",-,-,-,"3,388,000","3,388,000","3,388,000",-,-,-,-,-,-,-,-,"1,678,000",-,-,-,-,-,"3,444,000","1,165,000","2,279,000","2,279,000","2,279,000","2,279,000",-,-,-,"2,279,000",0.68,0.67,"3,351,200","3,389,300",-,"4,476,000","2,279,000","2,279,000","382,000","2,279,000",-,-,0,0
65,3/31/2007,"9,441,000","5,010,000","8,139,000","7,309,000","7,309,000","739,000","91,000","3,129,000","1,857,000","136,000","1,136,000",-,"4,431,000",-,"2,397,000","2,397,000","685,000","731,000",-,-,"981,000",-,-,-,"128,000","128,000",-,-,"1,906,000","-715,000","5,526,000","702,000",-,-,-,"3,274,000","3,274,000","3,274,000",-,-,-,-,-,-,-,-,"1,550,000",-,-,-,-,-,"3,200,000","956,000","2,244,000","2,244,000","2,244,000","2,244,000",-,-,-,"2,244,000",0.66,0.66,"3,376,000","3,416,100",-,"4,295,000","2,244,000","2,244,000","382,000","2,244,000",-,-,0,0
66,12/31/2006,"8,675,000","5,050,000","8,231,000","7,341,000","7,341,000","772,000","118,000","3,181,000","1,901,000","162,000","1,118,000",-,"3,625,000",-,"3,656,000","3,656,000","3,050,000","735,000",-,-,"-1,876,000",-,-,-,"685,000","-431,000",-,-,"-2,056,000","-726,000","5,424,000","706,000",-,-,-,"3,106,000","3,106,000","3,106,000",-,-,-,-,-,-,-,-,"1,612,000",-,-,-,-,-,"3,276,000","1,095,000","2,181,000","2,181,000","2,181,000","2,181,000",-,-,-,"2,181,000",-,-,-,-,-,"4,324,000","2,181,000","2,181,000","971,000","2,181,000",-,-,0,0
67,9/30/2006,"8,934,000","5,047,000","8,399,000","7,269,000","7,269,000","1,059,000","71,000","3,352,000","1,997,000","271,000","1,084,000",-,"3,887,000",-,"2,344,000","2,344,000","707,000","664,000",-,-,"973,000",-,-,-,"280,000","280,000",-,-,"1,263,000","-613,000","5,081,000","651,000",-,-,-,"2,937,000","2,937,000","2,937,000",-,-,-,-,-,-,-,-,"1,493,000",-,-,-,-,-,"3,240,000","1,046,000","2,194,000","2,194,000","2,194,000","2,194,000",-,-,-,"2,194,000",0.65,0.64,"3,371,900","3,416,000",-,"4,434,000","2,194,000","2,194,000","976,000","2,194,000",-,-,0,0
68,6/30/2006,"8,789,000","4,984,000","8,077,000","7,064,000","7,064,000","940,000","73,000","3,093,000","1,794,000","289,000","1,010,000",-,"3,805,000",-,"2,268,000","2,268,000","665,000","675,000",-,-,"928,000",-,-,-,"-23,000","-23,000",-,-,"1,560,000","-432,000","5,176,000","629,000",-,-,-,"2,955,000","2,955,000","2,955,000",-,-,-,-,-,-,-,-,"1,592,000",-,-,-,-,-,"3,181,000","1,092,000","2,089,000","2,089,000","2,089,000","2,089,000",-,-,-,"2,089,000",0.62,0.61,"3,363,800","3,404,400",-,"4,552,000","2,089,000","2,089,000","734,000","2,089,000",-,-,0,0
69,3/31/2006,"8,555,000","4,870,000","7,532,000","6,730,000","6,730,000","732,000","70,000","2,662,000","1,482,000","270,000","910,000",-,"3,685,000",-,"2,158,000","2,158,000","623,000","663,000",-,-,"872,000",-,-,-,"155,000","155,000",-,-,"1,372,000","-433,000","5,074,000","832,000",-,-,-,"2,929,000","2,929,000","2,929,000",-,-,-,-,-,-,-,-,"1,313,000",-,-,-,-,-,"3,048,000","1,030,000","2,018,000","2,018,000","2,018,000","2,018,000",-,-,-,"2,018,000",0.60,0.60,"3,358,300","3,395,700",-,"4,437,000","2,018,000","2,018,000","540,000","2,018,000",-,-,0,0
70,12/31/2005,"8,492,000","4,839,000","7,244,000","6,539,000","6,539,000","642,000","63,000","2,405,000","1,331,000","242,000","832,000",-,"3,653,000",-,"2,150,000","2,150,000","655,000","623,000",-,-,"872,000",-,-,-,"-31,000","-31,000",-,-,"1,534,000","-703,000","4,883,000","672,000",-,-,-,"2,704,000","2,704,000","2,704,000",-,-,-,-,-,-,-,-,"1,507,000",-,-,-,-,-,"2,906,000","976,000","1,930,000","1,930,000","1,930,000","1,930,000",-,-,-,"1,930,000",-,-,-,-,-,"4,136,000","1,930,000","1,930,000","1,159,000","1,930,000",-,-,0,0
71,9/30/2005,"8,503,000","4,676,000","6,645,000","6,099,000","6,099,000","486,000","60,000","1,969,000","1,000,000","189,000","780,000",-,"3,827,000",-,"2,165,000","2,165,000","654,000","614,000",-,-,"897,000",-,-,-,"115,000","115,000",-,-,"1,547,000","-641,000","4,889,000","660,000",-,-,-,"2,714,000","2,714,000","2,714,000",-,-,-,-,-,-,-,-,"1,515,000",-,-,-,-,-,"2,973,000","998,000","1,975,000","1,975,000","1,975,000","1,975,000",-,-,-,"1,975,000",0.58,0.58,"3,373,600","3,410,600",-,"4,035,000","1,975,000","1,975,000","1,000,000","1,975,000",-,-,0,0
72,6/30/2005,"7,865,000","4,536,000","6,200,000","5,659,000","5,659,000","483,000","58,000","1,664,000","825,000","164,000","675,000",-,"3,329,000",-,"2,061,000","2,061,000","625,000","597,000",-,-,"839,000",-,-,-,"240,000","240,000",-,-,"1,028,000","-454,000","4,554,000","573,000",-,-,-,"2,545,000","2,545,000","2,545,000",-,-,-,-,-,-,-,-,"1,436,000",-,-,-,-,-,"2,857,000","947,000","1,910,000","1,910,000","1,910,000","1,910,000",-,-,-,"1,910,000",0.57,0.56,"3,375,400","3,414,400",-,"4,082,000","1,910,000","1,910,000","949,000","1,910,000",-,-,0,0
