,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Customer Acceptances,Foreclosed Assets,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Deferred Assets,Deferred Tax Assets,Assets Held for Sale,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Payables And Accrued Expenses,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Commercial Paper,Other Current Borrowings,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Non Current Deferred Liabilities,Non Current Deferred Taxes Liabilities,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Foreign Currency Translation Adjustments,Other Equity Adjustments,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
10,9/30/2020,"1,922,220,000","316,074,000","246,770,000","25,535,000",-,"221,235,000","69,304,000","69,304,000","207,000","156,000","20,303,000","527,590,000","73,253,000","51,169,000","182,595,000","220,573,000","18,634,000","23,715,000","925,623,000","945,086,000","25,004,000","337,860,000","117,641,000","464,581,000","3,074,000","19,463,000",-,"56,353,000","37,598,000",-,"18,755,000","8,977,000","20,971,000",-,-,-,-,"20,971,000",-,"34,067,000","26,387,000","7,680,000",-,-,-,"86,174,000","1,740,188,000","1,383,215,000","936,204,000","936,204,000","447,011,000","44,055,000","72,271,000","72,271,000","55,224,000","55,224,000",-,"55,224,000","13,767,000","215,711,000","215,711,000",-,-,-,-,-,"182,032,000","181,173,000","30,234,000","21,098,000","9,136,000","160,913,000","60,035,000","68,384,000","-750,000",-,-,"-875,000","859,000","396,884,000","21,098,000","160,075,000",-,"147,106,000","431,010,000","126,008,000","270,935,000","24,165,000","5,481,811","4,132,517","427,045","1,349,295"
11,6/30/2020,"1,968,766,000","341,792,000","262,503,000","24,704,000",-,"237,799,000","79,289,000","79,289,000","173,000","195,000","20,227,000","506,112,000","87,270,000","20,941,000","169,002,000","228,899,000","18,962,000","22,776,000","932,513,000","951,439,000","33,694,000","350,116,000","117,184,000","450,445,000","3,046,000","18,926,000",-,"17,410,000","34,840,000",-,"17,410,000","9,025,000","21,503,000",-,-,-,-,"21,503,000",-,"34,565,000","26,385,000","8,180,000",-,-,-,"85,611,000","1,788,644,000","1,410,711,000","977,854,000","977,854,000","432,857,000","49,659,000","75,159,000","75,159,000","60,485,000","60,485,000",-,"60,485,000","11,368,000","230,921,000","230,921,000",-,-,-,-,-,"180,122,000","179,386,000","30,234,000","21,098,000","9,136,000","159,952,000","59,923,000","69,050,000","-798,000",-,-,"-875,000","736,000","410,307,000","21,098,000","158,288,000",-,"144,821,000","449,694,000","123,723,000","291,406,000","28,903,000","5,481,811","4,119,559","427,045","1,362,253"
12,3/31/2020,"1,981,349,000","237,274,000","150,809,000","22,738,000",-,"128,071,000","86,465,000","86,465,000","128,000","252,000","20,128,000","536,591,000","93,998,000","21,455,000","169,909,000","251,229,000","19,019,000","25,023,000","1,003,122,000","1,014,385,000","23,678,000","405,020,000","120,661,000","465,026,000","3,038,000","11,263,000",-,"19,136,000","49,800,000",-,"19,136,000","9,108,000","21,882,000",-,-,-,-,"21,882,000",-,"35,913,000","26,381,000","9,532,000",-,-,-,"96,163,000","1,798,019,000","1,376,532,000","996,854,000","996,854,000","379,678,000","79,036,000","76,238,000","76,238,000","92,289,000","92,289,000",-,"92,289,000","15,618,000","237,342,000","237,342,000",-,-,-,-,-,"183,330,000","182,718,000","30,483,000","21,347,000","9,136,000","165,308,000","59,849,000","70,215,000","-1,564,000",-,-,"-1,143,000","612,000","420,060,000","21,347,000","161,371,000",-,"146,805,000","491,002,000","125,458,000","329,631,000","178,822,000","5,481,811","4,096,410","427,045","1,385,401"
13,12/31/2019,"1,927,555,000","243,390,000","141,250,000","21,757,000",-,"119,493,000","102,140,000","102,140,000","253,000","303,000","20,070,000","546,366,000","107,173,000","21,801,000","153,933,000","263,459,000","19,000,000","14,203,000","957,202,000","966,753,000","24,319,000","354,125,000","123,190,000","465,119,000",-,"9,551,000",-,"19,831,000","34,723,000",-,"19,831,000","9,309,000","34,120,000","1,857,000","9,499,000","7,189,000","2,597,000","12,978,000","-11,866,000","39,337,000","26,390,000","12,947,000",-,-,-,"78,917,000","1,739,571,000","1,322,626,000","978,130,000","978,130,000","344,496,000","92,403,000","75,163,000","75,163,000","104,512,000","104,512,000",-,"104,512,000","9,079,000","228,191,000","228,191,000","32,991,000","33,000",-,-,-,"187,984,000","187,146,000","30,685,000","21,549,000","9,136,000","166,697,000","61,049,000","68,831,000","-1,311,000",-,-,"-1,143,000","838,000","415,337,000","21,549,000","165,597,000","33,000","147,809,000","498,300,000","126,260,000","332,703,000","191,453,000","5,481,811","4,134,426","373,265","1,347,386"
14,9/30/2019,"1,943,950,000","251,782,000","148,731,000","22,401,000",-,"126,330,000","103,051,000","103,051,000","284,000","437,000","19,983,000","549,386,000","103,549,000","21,422,000","153,179,000","271,236,000","18,026,000","14,680,000","952,580,000","962,295,000","26,980,000","350,875,000","121,141,000","463,299,000",-,"9,715,000",-,"19,600,000","46,208,000",-,"19,600,000","9,315,000","22,649,000",-,-,-,-,"22,649,000",-,"38,857,000","26,388,000","12,469,000",-,-,-,"89,724,000","1,749,534,000","1,308,495,000","953,236,000","953,236,000","355,259,000","110,399,000","76,532,000","76,532,000","123,908,000","123,908,000",-,"123,908,000","9,948,000","230,651,000","230,651,000",-,-,-,-,-,"194,416,000","193,304,000","30,685,000","21,549,000","9,136,000","166,320,000","60,866,000","61,785,000","-1,639,000",-,-,"-1,143,000","1,112,000","423,955,000","21,549,000","171,755,000",-,"154,447,000","526,314,000","132,898,000","354,559,000","205,828,000","5,481,811","4,269,142","373,265","1,212,670"
15,6/30/2019,"1,923,388,000","276,546,000","164,427,000","20,880,000",-,"143,547,000","112,119,000","112,119,000","272,000","377,000","19,912,000","525,745,000","93,535,000","20,351,000","145,876,000","265,983,000","17,859,000","13,162,000","945,041,000","954,733,000","24,179,000","348,846,000","119,138,000","462,570,000",-,"9,692,000",-,"19,324,000","32,390,000",-,"19,324,000","9,435,000","22,874,000",-,-,-,-,"22,874,000",-,"39,918,000","26,415,000","13,503,000",-,-,-,"76,358,000","1,723,351,000","1,288,426,000","947,613,000","947,613,000","340,813,000","102,560,000","69,706,000","69,706,000","115,344,000","115,344,000",-,"115,344,000","8,399,000","241,476,000","241,476,000",-,-,-,-,-,"200,037,000","199,042,000","32,157,000","23,021,000","9,136,000","164,551,000","60,625,000","54,775,000","-2,224,000",-,-,"-1,292,000","995,000","440,518,000","23,021,000","176,021,000",-,"159,124,000","532,841,000","136,103,000","356,820,000","192,393,000","5,481,811","4,419,591","373,265","1,062,220"
16,3/31/2019,"1,887,792,000","247,589,000","148,968,000","20,650,000",-,"128,318,000","98,621,000","98,621,000","243,000","436,000","19,842,000","523,746,000","91,311,000","19,346,000","144,990,000","268,099,000","18,161,000","11,238,000","935,261,000","945,161,000","16,034,000","349,134,000","118,379,000","461,614,000",-,"9,900,000",-,"19,122,000","38,682,000",-,"19,122,000","8,825,000","8,825,000",-,-,-,-,"8,825,000",-,"41,183,000","26,420,000","14,763,000",-,-,-,"82,667,000","1,689,059,000","1,264,013,000","922,614,000","922,614,000","341,399,000","93,896,000","74,717,000","74,717,000","106,597,000","106,597,000",-,"106,597,000","7,393,000","236,339,000","236,339,000",-,-,-,-,-,"198,733,000","197,832,000","32,350,000","23,214,000","9,136,000","160,776,000","60,409,000","50,519,000","-3,682,000",-,-,"-1,502,000","901,000","434,171,000","23,214,000","174,618,000",-,"156,649,000","517,554,000","133,435,000","342,936,000","193,968,000","5,481,811","4,511,948","373,322","969,864"
17,12/31/2018,"1,895,883,000","253,494,000","173,287,000","23,551,000",-,"149,736,000","80,207,000","80,207,000","258,000","451,000","19,751,000","521,622,000","89,438,000","17,484,000","144,788,000","269,912,000","18,215,000","10,770,000","940,806,000","950,581,000","17,167,000","350,199,000","120,242,000","462,973,000",-,"9,775,000",-,"19,696,000","40,365,000",-,"19,696,000","8,920,000","8,920,000","1,757,000","8,974,000","6,896,000","2,387,000","8,920,000","-11,169,000","42,510,000","26,418,000","16,092,000",-,-,-,"79,850,000","1,698,817,000","1,286,170,000","936,636,000","936,636,000","349,534,000","92,430,000","69,317,000","69,317,000","105,787,000","105,787,000",-,"105,787,000","8,499,000","229,044,000","229,044,000","53,876,000","36,000",-,-,-,"197,066,000","196,166,000","32,350,000","23,214,000","9,136,000","158,163,000","60,685,000","47,194,000","-6,336,000",-,-,"-1,502,000","900,000","425,210,000","23,214,000","172,952,000","36,000","153,656,000","507,783,000","130,442,000","334,831,000","161,544,000","5,481,811","4,581,254","373,322","900,558"
18,9/30/2018,"1,872,981,000","242,994,000","159,523,000","18,791,000",-,"140,732,000","83,471,000","83,471,000","257,000","522,000","19,677,000","517,521,000","91,326,000","19,100,000","144,131,000","262,964,000","16,517,000","11,811,000","933,524,000","943,545,000","20,990,000","338,048,000","120,811,000","463,696,000",-,"10,021,000",-,"19,745,000","38,951,000",-,"19,745,000","8,802,000","8,802,000",-,-,-,-,"8,802,000",-,"43,819,000","26,425,000","17,394,000",-,-,-,"78,248,000","1,673,302,000","1,266,594,000","913,725,000","913,725,000","352,869,000","92,418,000","71,348,000","71,348,000","105,451,000","105,451,000",0,"105,451,000","8,586,000","221,323,000","221,323,000",-,-,-,-,-,"199,679,000","198,741,000","32,618,000","23,482,000","9,136,000","154,731,000","60,583,000","40,538,000","-6,873,000",-,-,"-1,780,000","938,000","420,064,000","23,482,000","175,259,000",-,"154,922,000","502,033,000","131,440,000","326,774,000","167,251,000","5,481,811","4,711,561","373,265","770,250"
19,6/30/2018,"1,879,700,000","243,633,000","163,449,000","20,450,000",-,"142,999,000","80,184,000","80,184,000","228,000","499,000","19,621,000","516,695,000","88,580,000","18,222,000","144,206,000","265,687,000","16,305,000","11,099,000","939,375,000","949,568,000","24,917,000","336,590,000","121,617,000","466,444,000",-,"10,193,000",-,"19,614,000","38,836,000",-,"19,614,000","8,882,000","8,882,000",-,-,-,-,"8,882,000",-,"43,247,000","26,429,000","16,818,000",-,-,-,"80,850,000","1,673,631,000","1,268,864,000","903,843,000","903,843,000","365,021,000","89,307,000","72,480,000","72,480,000","104,496,000","104,496,000",-,"104,496,000","8,507,000","219,284,000","219,284,000",-,-,-,-,-,"206,069,000","205,188,000","34,873,000","25,737,000","9,136,000","150,803,000","59,644,000","32,620,000","-5,461,000",-,-,"-2,051,000","881,000","424,472,000","25,737,000","179,451,000",-,"161,941,000","503,231,000","136,204,000","323,780,000","160,331,000","5,481,811","4,849,068","459,280","632,744"
20,3/31/2018,"1,915,388,000","275,945,000","202,395,000","18,145,000",-,"184,250,000","73,550,000","73,550,000","196,000","571,000","19,589,000","515,655,000","85,193,000","17,360,000","141,446,000","271,656,000","16,248,000","11,467,000","939,167,000","949,540,000","21,525,000","334,678,000","123,334,000","470,003,000",-,"10,373,000",-,"19,293,000","43,146,000",-,"19,293,000","8,828,000","8,828,000",-,-,-,-,"8,828,000",-,"42,897,000","26,445,000","16,452,000",-,-,-,"85,888,000","1,708,678,000","1,303,689,000","933,604,000","933,604,000","370,085,000","80,916,000","72,597,000","72,597,000","97,207,000","97,207,000",0,"97,207,000","7,883,000","227,302,000","227,302,000",-,"3,292,000",-,-,-,"206,710,000","205,752,000","35,363,000","26,227,000","9,136,000","148,728,000","60,399,000","31,246,000","-4,921,000",-,-,"-2,571,000","958,000","433,054,000","26,227,000","179,525,000","3,292,000","162,855,000","504,034,000","136,628,000","324,509,000","122,114,000","5,481,811","4,873,882","459,280","607,929"
21,12/31/2017,"1,951,757,000","295,972,000","215,947,000","23,367,000",-,"192,580,000","80,025,000","80,025,000","177,000","642,000","19,549,000","508,749,000","92,329,000","274,095,000","139,335,000","277,085,000","28,382,000","12,228,000","946,559,000","957,563,000","20,178,000","333,125,000","129,615,000","474,645,000",-,"11,004,000",-,"64,200,000","44,815,000",-,"19,385,000","18,513,000","29,813,000","1,799,000","8,865,000","7,089,000","2,291,000","9,769,000","-11,300,000","43,246,000","26,587,000","16,659,000",-,-,-,"13,540,000","1,743,678,000","1,335,991,000","962,269,000","962,269,000","373,722,000","88,684,000","70,615,000","70,615,000","14,572,000","14,572,000",0,"14,572,000","8,796,000","225,020,000","224,981,000","47,887,000","39,000",-,-,-,"208,079,000","206,936,000","34,494,000","25,358,000","9,136,000","145,263,000","60,893,000","29,892,000","-2,144,000",-,-,"-1,678,000","1,143,000","431,917,000","25,358,000","181,578,000","39,000","163,690,000","421,131,000","138,332,000","239,592,000","23,606,000","5,481,811","4,891,617","459,280","590,195"
22,9/30/2017,"1,934,939,000","292,311,000","19,206,000","19,206,000",-,-,"273,105,000","273,105,000","228,000","706,000","19,479,000","503,037,000","88,404,000",-,"142,423,000","272,210,000","28,077,000","12,580,000","941,750,000","952,828,000","20,166,000","327,944,000","130,398,000","474,320,000",-,"11,078,000",-,"19,211,000","43,863,000",-,"19,211,000","8,449,000","8,449,000",-,-,-,-,"8,449,000",-,"41,325,000","26,581,000","14,744,000",-,-,-,"116,276,000","1,728,115,000","1,306,706,000","940,178,000","940,178,000","366,528,000","79,824,000","79,208,000","79,208,000","93,811,000","93,811,000",0,"93,811,000","9,497,000","238,893,000","238,893,000",-,"3,427,000",-,-,-,"206,824,000","205,929,000","34,712,000","25,576,000","9,136,000","141,761,000","60,759,000","27,772,000","-1,627,000",-,-,"-1,904,000","895,000","444,822,000","25,576,000","180,353,000","3,427,000","164,604,000","513,057,000","139,028,000","332,704,000","313,498,000","5,481,811","4,927,871","373,265","553,940"
