,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Investment Securities,Depreciation Amortization Depletion,Depreciation & amortization,Deferred Tax,Deferred Income Tax,Other non-cash items,Asset Impairment Charge,Stock based compensation,Excess Tax Benefit from Stock Based Compensation,Provision for Loan Lease And Other Losses,Change in working capital,Change in Receivables,Changes in Account Receivables,Change in Payables And Accrued Expense,Change in Payable,Change in Account Payable,Change in Accrued Expense,Change in Deferred Charges,Change in Loans,Change in Other Current Assets,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Proceeds Payment Federal Funds Sold And Securities Purchased Under Agreement To Resell,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Investment Properties Purchase And Sale,Sale of Investment Properties,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Sale of PPE,Net Business Purchase And Sale,Purchase of Business,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Preferred Stock Dividend Paid,Proceeds from Stock Option Exercised,Net Other Financing Charges,End Cash Position,Changes in Cash,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
0,ttm,"27,048,000","27,048,000","12,882,000",-,-,"6,832,000","6,832,000","1,075,000","1,075,000","-24,016,000","-1,326,000",-,-,"1,534,000","30,067,000",-,-,"-231,000",-,-,"-231,000",-,-,"-9,137,000","39,435,000","-42,476,000","-42,476,000","-704,000","19,230,000","-49,448,000","68,678,000",-,-,"-61,807,000","17,619,000","-79,426,000",-,-,-,-,"805,000","-59,645,000","-59,645,000","50,714,000","34,150,000","53,737,000","-19,587,000","16,564,000",-,-,"-6,033,000",-,"-6,033,000",0,0,0,"-5,293,000","-4,178,000","-1,115,000",-,"-539,000","159,157,000","-75,073,000","234,230,000",-,"3,376,000","8,289,000",-,0,"53,737,000","-19,587,000","-6,033,000","27,048,000"
1,3/31/2023,"7,406,000","7,406,000","4,880,000",-,-,"1,552,000","1,552,000","600,000","600,000","2,555,000","441,000",-,-,"1,207,000","-3,829,000",-,-,"-1,145,000",-,-,"-1,145,000",-,-,"-7,473,000","4,789,000","-7,955,000","-7,955,000","1,106,000","-10,358,000","-17,565,000","7,207,000",-,-,"7,442,000","8,046,000","-604,000",-,-,-,-,"-6,145,000","-2,177,000","-2,177,000","24,861,000","-5,001,000","157,000","-5,158,000","29,862,000",-,-,"-4,016,000",-,"-4,016,000",-,-,-,"-1,357,000","-1,137,000","-220,000",-,"-309,000","156,431,000","-2,726,000","159,157,000",-,-,"5,477,000",-,-,"157,000","-5,158,000","-4,016,000","7,406,000"
2,12/31/2022,"7,245,000","7,245,000","2,628,000",-,-,"1,579,000","1,579,000","665,000","665,000","-675,000","224,000",-,-,"957,000","1,867,000",-,-,"-4,778,000",-,-,"-4,778,000",-,-,"1,536,000","5,109,000","-15,926,000","-15,926,000","-11,087,000","4,641,000","-3,780,000","8,421,000",-,-,"-9,764,000","2,816,000","-12,580,000",-,-,-,-,"284,000","2,383,000","2,383,000","18,015,000","15,252,000","17,647,000","-2,395,000","2,763,000",-,-,"-6,000",-,"-6,000",0,0,0,"-1,476,000","-1,138,000","-338,000",-,"20,000","159,157,000","-6,298,000","165,455,000",-,"-487,000","4,025,000",-,0,"17,647,000","-2,395,000","-6,000","7,245,000"
3,9/30/2022,"12,016,000","12,016,000","3,500,000",-,-,"1,690,000","1,690,000","702,000","702,000","-9,622,000","-314,000",-,-,"784,000","15,276,000",-,-,"2,468,000",-,-,"2,468,000",-,-,"3,090,000","9,718,000","919,000","919,000","-294,000","4,749,000","-9,272,000","14,021,000",-,-,"-3,460,000","3,927,000","-7,387,000",-,-,-,-,"-76,000","-2,620,000","-2,620,000","25,805,000","14,498,000","19,712,000","-5,214,000","11,307,000",-,-,"-5,000",-,"-5,000",0,0,0,"-1,355,000","-1,136,000","-219,000",-,"-67,000","165,455,000","10,315,000","155,140,000",-,"46,000","2,024,000",-,0,"19,712,000","-5,214,000","-5,000","12,016,000"
4,6/30/2022,"7,588,000","7,588,000","2,952,000",-,-,"1,772,000","1,772,000","-113,000","-113,000","-1,721,000","-345,000",-,-,"580,000","4,463,000",-,-,"-1,192,000",-,-,"-1,192,000",-,-,"-7,948,000","13,603,000","-4,508,000","-4,508,000","12,218,000","15,379,000","-13,425,000","28,804,000",-,-,"-32,587,000","5,268,000","-37,855,000",-,-,-,-,"482,000","-49,835,000","-49,835,000","7,674,000","4,200,000","8,289,000","-4,089,000","3,474,000",-,-,"-4,000",-,"-4,000",0,0,0,"-1,284,000","-946,000","-338,000",-,"-20,000","155,140,000","-46,755,000","201,895,000",-,"3,741,000","1,579,000",-,0,"8,289,000","-4,089,000","-4,000","7,588,000"
5,3/31/2022,"199,000","199,000","3,802,000",-,-,"1,791,000","1,791,000","-179,000","-179,000","-11,998,000","-891,000",-,-,"-787,000","8,461,000",-,-,"3,271,000",-,-,"3,271,000",-,-,"-5,815,000","11,005,000","-22,961,000","-22,961,000","-1,541,000","-5,539,000","-22,971,000","17,432,000",-,-,"-15,996,000","5,608,000","-21,604,000",-,-,-,-,"115,000","-9,573,000","-9,573,000","-780,000","200,000","8,089,000","-7,889,000","-980,000",-,-,"-6,018,000",-,"-6,018,000",0,0,0,"-1,178,000","-958,000","-220,000",-,"-472,000","201,895,000","-32,335,000","234,230,000",-,"76,000","661,000",-,0,"8,089,000","-7,889,000","-6,018,000","199,000"
6,12/31/2021,"4,817,000","4,817,000","6,399,000",-,-,"1,800,000","1,800,000","1,397,000","1,397,000","-13,893,000","-30,000",-,-,"-452,000","11,454,000",-,-,"-1,150,000",-,-,"-1,150,000",-,-,"-1,259,000","13,863,000","-31,402,000","-31,402,000","1,584,000","-1,678,000","-40,820,000","39,142,000",-,-,"-33,370,000","-1,490,000","-31,880,000",-,-,-,-,"2,062,000","-5,872,000","-5,872,000","-9,834,000","-2,263,000","132,000","-2,395,000","-7,571,000",-,-,"-7,226,000",-,"-7,012,000",0,0,0,"-1,157,000","-819,000","-338,000",-,"245,000","234,230,000","-32,457,000","266,687,000",-,"52,000","977,000",-,"-214,000","132,000","-2,395,000","-7,012,000","4,817,000"
7,9/30/2021,"-4,810,000","-4,810,000","5,405,000",-,-,"1,917,000","1,917,000","-1,194,000","-1,194,000","-16,099,000","-263,000","383,000",-,"-1,395,000","6,436,000",-,-,"4,189,000",-,-,"4,189,000",-,-,"5,480,000","-3,233,000","-7,021,000","-7,021,000","2,342,000","1,776,000","-30,314,000","32,090,000",-,-,"-11,431,000","13,141,000","-24,572,000",-,-,-,-,"292,000","4,345,000","4,345,000","-18,566,000","-14,911,000","18,000","-14,929,000","-3,655,000",-,-,"-5,191,000","100,000","-5,291,000","-573,000","1,227,000","-1,800,000","-1,046,000","-808,000","-238,000",-,"-186,000","266,687,000","-7,486,000","274,173,000",-,"62,000","1,062,000",-,"1,327,000","18,000","-14,929,000","-7,091,000","-4,810,000"
8,6/30/2021,"-8,062,000","-8,062,000","6,638,000",-,-,"1,936,000","1,936,000",-,-,"-13,146,000","473,000","546,000",-,"-1,260,000","-1,754,000",-,-,"-262,000",-,-,"-262,000",-,-,"2,775,000","-3,968,000","15,276,000","15,276,000","9,353,000","-10,012,000","-60,494,000","50,482,000",-,-,"14,647,000","12,558,000","2,089,000",-,-,-,-,"1,288,000","-19,774,000","-19,774,000","-20,404,000","-7,119,000","1,015,000","-8,134,000","-13,285,000",-,-,"-1,517,000","48,000","-1,565,000","-350,000",0,"-350,000","-765,000","-412,000","-353,000",-,"-91,000","274,173,000","-12,560,000","286,733,000",-,"2,694,000","1,254,000",-,"48,000","1,015,000","-8,134,000","-1,915,000","-8,062,000"
9,3/31/2021,"-3,470,000","-3,470,000","4,796,000",-,-,"2,237,000","2,237,000",-,-,"-26,686,000","-1,368,000","929,000",-,"-1,048,000","17,670,000",-,-,"-1,310,000",-,-,"-1,310,000","299,000",-,"8,481,000","10,200,000","15,528,000","15,528,000","-13,830,000","-1,333,000","-57,728,000","56,395,000",-,-,"30,551,000","16,623,000","13,928,000",-,-,-,-,"140,000","10,063,000","10,063,000","-21,645,000","-21,566,000","110,000","-21,676,000","-79,000",-,-,"-530,000","66,000","-596,000","4,000","4,529,000","-4,525,000","-659,000","-383,000","-276,000",-,"-329,000","286,733,000","22,121,000","264,612,000",-,"358,000","1,091,000",-,"4,595,000","110,000","-21,676,000","-5,121,000","-3,470,000"
10,12/31/2020,"-22,765,000","-22,765,000","3,194,000",-,-,"2,292,000","2,292,000",-,-,"-13,896,000","-113,000","429,000",-,"-179,000","-14,492,000",-,-,"4,752,000",-,-,"4,752,000","-1,667,000",-,"-2,822,000","-15,424,000","20,512,000","20,512,000","3,632,000","-2,264,000","-44,691,000","42,427,000",-,-,"19,104,000","23,730,000","-4,626,000",-,-,-,-,"40,000","20,095,000","20,095,000","-186,000","-3,961,000","235,000","-4,196,000","3,775,000",-,-,"55,000","58,000","-3,000","16,000","1,148,000","-1,132,000","-778,000","-398,000","-380,000",-,"-178,000","264,612,000","17,842,000","246,770,000",-,"-1,185,000","1,315,000",-,"1,206,000","235,000","-4,196,000","-1,135,000","-22,765,000"
11,9/30/2020,"-8,576,000","-8,576,000","2,219,000",-,-,"2,382,000","2,382,000",-,-,"-33,262,000","-47,000","384,000",-,"769,000","18,979,000",-,-,"-245,000",-,-,"-245,000","-289,000","-427,000","-3,572,000","23,512,000","42,658,000","42,658,000","9,985,000","8,186,000","-43,013,000","51,199,000",-,-,"24,465,000","27,573,000","-3,108,000",-,-,-,-,"22,000","-49,815,000","-49,815,000","-21,601,000","-16,340,000","237,000","-16,577,000","-5,261,000",-,-,"56,000","59,000","-3,000",0,0,0,"-655,000","-399,000","-256,000",-,"-119,000","246,770,000","-15,733,000","262,503,000",-,"106,000","1,554,000",-,"59,000","237,000","-16,577,000","-3,000","-8,576,000"
12,6/30/2020,"16,119,000","16,119,000","-2,332,000",-,-,"2,194,000","2,194,000",-,-,"-9,297,000","995,000","371,000",-,"9,534,000","14,654,000",-,-,"-3,920,000",-,-,"-3,920,000","90,000","489,000","4,481,000","13,514,000","103,687,000","103,687,000","7,176,000","33,016,000","-18,136,000","51,152,000",-,-,"63,364,000","13,905,000","49,459,000",-,-,-,-,"131,000","-8,112,000","-8,112,000","-40,046,000","-8,242,000","18,769,000","-27,011,000","-31,804,000",-,-,"243,000","245,000","-2,000",0,0,0,"-2,397,000","-2,023,000","-374,000",-,"-94,000","262,503,000","111,694,000","150,809,000",-,"2,047,000","2,066,000",-,"245,000","18,769,000","-27,011,000","-2,000","16,119,000"
13,3/31/2020,"17,273,000","17,273,000","505,000",-,-,"1,868,000","1,868,000",-,-,"2,344,000","3,486,000","582,000",-,"4,005,000","4,483,000",-,-,"933,000",-,-,"933,000","-1,448,000","-731,000","-10,391,000","16,120,000","-44,303,000","-44,303,000","15,675,000","-10,275,000","-41,137,000","30,862,000","500,000","500,000","-50,294,000","5,796,000","-56,090,000",-,-,-,-,"591,000","36,589,000","36,589,000","-10,891,000","1,332,000","18,895,000","-17,563,000","-12,223,000",-,-,"-3,198,000","209,000","-3,407,000","-502,000","1,968,000","-2,470,000","-2,312,000","-2,032,000","-280,000",-,"-411,000","150,809,000","9,559,000","141,250,000",-,"207,000","3,479,000",-,"2,177,000","18,895,000","-17,563,000","-5,877,000","17,273,000"
14,12/31/2019,"12,423,000","12,423,000","2,924,000",-,-,"2,135,000","2,135,000",-,-,"-9,634,000","-2,000","389,000",-,"644,000","15,967,000",-,-,"1,476,000",-,-,"1,476,000","-104,000","547,000","9,354,000","4,694,000","-2,526,000","-2,526,000","911,000","3,881,000","-20,545,000","24,426,000","674,000","674,000","-7,938,000","2,544,000","-10,482,000",-,-,-,-,"620,000","-17,378,000","-17,378,000","-21,291,000","-1,895,000","13,161,000","-15,056,000","-19,396,000",-,-,"-7,343,000","24,000","-7,367,000",0,-,0,"-2,466,000","-2,080,000","-386,000",-,"-410,000","141,250,000","-7,481,000","148,731,000",-,"2,309,000","4,329,000",-,"24,000","13,161,000","-15,056,000","-7,367,000","12,423,000"
15,9/30/2019,"-12,975,000","-12,975,000","4,812,000",-,-,"1,840,000","1,840,000",-,-,"-16,366,000","1,296,000","497,000",-,"695,000","-5,749,000",-,-,"8,073,000",-,-,"8,073,000","-2,321,000","-378,000","-13,514,000","2,391,000","-7,381,000","-7,381,000","9,068,000","-11,573,000","-31,098,000","19,525,000","587,000","587,000","-6,470,000","3,440,000","-9,910,000",-,-,-,-,"1,594,000","4,660,000","4,660,000","-3,890,000","-12,454,000","7,129,000","-19,583,000","8,564,000",-,-,"-7,334,000","114,000","-7,448,000",-,-,-,"-2,458,000","-2,164,000","-294,000",-,"-175,000","148,731,000","-15,696,000","164,427,000",-,"2,732,000","5,151,000",-,"114,000","7,129,000","-19,583,000","-8,998,000","-12,975,000"
16,6/30/2019,"-669,000","-669,000","6,338,000",-,-,"1,651,000","1,651,000",-,-,"-16,087,000","1,264,000","486,000",-,"503,000","5,176,000",-,-,"-6,579,000",-,-,"-6,579,000","-1,133,000","-109,000","6,064,000","6,933,000","-10,698,000","-10,698,000","-13,498,000","6,223,000","-14,597,000","20,820,000","698,000","698,000","-3,976,000","5,657,000","-9,633,000",-,-,-,-,"553,000","26,826,000","26,826,000","10,041,000","1,294,000","15,753,000","-14,459,000","8,747,000",-,-,"-4,837,000","61,000","-4,898,000",-,-,-,"-2,374,000","-1,957,000","-417,000",-,"-103,000","164,427,000","15,459,000","148,968,000",-,"2,390,000","4,953,000",-,"61,000","15,753,000","-14,459,000","-4,898,000","-669,000"
17,3/31/2019,"7,951,000","7,951,000","5,967,000",-,-,"1,449,000","1,449,000",-,-,"-9,368,000","1,144,000","902,000",-,"845,000","7,012,000",-,-,"-541,000",-,-,"-541,000","312,000","728,000","1,130,000","5,383,000","-9,026,000","-9,026,000","-18,414,000","4,695,000","-6,289,000","10,984,000","707,000","707,000","3,329,000","4,309,000","-980,000",-,-,-,-,"1,364,000","-23,244,000","-23,244,000","6,250,000","5,440,000","17,338,000","-11,898,000","810,000",-,-,"-4,639,000","181,000","-4,820,000",-,-,-,"-2,291,000","-1,997,000","-294,000",-,"-403,000","148,968,000","-24,319,000","173,287,000",-,"126,000","4,401,000",-,"181,000","17,338,000","-11,898,000","-4,820,000","7,951,000"
18,12/31/2018,"15,034,000","15,034,000","6,154,000",-,-,"1,371,000","1,371,000",-,-,"-3,154,000","1,510,000","396,000",-,"521,000","8,236,000",-,-,"-1,974,000",-,-,"-1,974,000","1,030,000","-430,000","-1,933,000","11,543,000","-18,245,000","-18,245,000","3,264,000","-8,285,000","-21,068,000","12,783,000","811,000","811,000","-11,949,000","5,619,000","-17,568,000",-,-,0,0,"-1,275,000","16,975,000","16,975,000","5,388,000","5,052,000","16,198,000","-11,146,000","336,000",-,-,"-7,215,000","84,000","-7,299,000",0,0,0,"-2,373,000","-1,962,000","-411,000",-,"-162,000","173,287,000","13,764,000","159,523,000",-,"56,000","4,258,000",-,"84,000","16,198,000","-11,146,000","-7,299,000","15,034,000"
19,9/30/2018,"6,658,000","6,658,000","6,086,000",-,-,"1,387,000","1,387,000",-,-,"-11,876,000","-270,000","573,000",-,"580,000","10,178,000",-,-,"589,000",-,-,"589,000","-178,000","-119,000","2,191,000","7,695,000","-220,000","-220,000","-3,287,000","-199,000","-16,341,000","16,142,000","827,000","827,000","848,000","6,358,000","-5,510,000",-,-,-,-,"2,428,000","-10,364,000","-10,364,000","3,930,000","2,975,000","10,089,000","-7,114,000","955,000",-,-,"-7,280,000","102,000","-7,382,000",-,-,-,"-2,347,000","-2,008,000","-339,000",-,"-247,000","159,523,000","-3,926,000","163,449,000",-,"242,000","3,756,000",-,"102,000","10,089,000","-7,114,000","-9,532,000","6,658,000"
20,6/30/2018,"-849,000","-849,000","5,309,000",-,-,"1,404,000","1,404,000",-,-,"-16,802,000","1,000","494,000",-,"452,000","8,293,000",-,-,"-3,236,000",-,-,"-3,236,000","634,000","191,000","4,216,000","6,488,000","550,000","550,000","-5,727,000","4,027,000","-13,678,000","17,705,000","1,019,000","1,019,000","1,669,000","5,095,000","-3,426,000",-,-,-,-,"581,000","-38,647,000","-38,647,000","1,516,000","-4,889,000","5,791,000","-10,680,000","6,405,000",-,-,"-2,859,000","64,000","-2,923,000",-,-,-,"-2,309,000","-1,855,000","-454,000",-,"-170,000","163,449,000","-38,946,000","202,395,000",-,"1,521,000","3,350,000",-,"64,000","5,791,000","-10,680,000","-2,923,000","-849,000"
21,3/31/2018,"15,230,000","15,230,000","5,327,000",-,-,"1,431,000","1,431,000",-,-,"-9,533,000","-788,000","792,000",-,"191,000","17,810,000",-,-,"3,756,000",-,-,"3,756,000","484,000","-602,000","3,331,000","10,841,000","10,161,000","10,161,000","4,566,000","-822,000","-15,413,000","14,591,000","935,000","935,000","5,328,000","6,013,000","-685,000",-,-,-,-,"1,089,000","-38,943,000","-38,943,000","-1,273,000","3,892,000","15,517,000","-11,625,000","-5,165,000",-,-,"-2,647,000","382,000","-3,029,000",-,-,-,"-2,285,000","-1,867,000","-418,000",-,"-462,000","202,395,000","-13,552,000","215,947,000",-,"158,000","3,002,000",-,"382,000","15,517,000","-11,625,000","-3,029,000","15,230,000"
22,12/31/2017,"242,000","242,000","6,410,000",-,-,"1,612,000","1,612,000",-,-,"-10,652,000","58,000","451,000",-,"651,000","1,712,000",-,-,"2,462,000",-,-,"2,462,000","-1,082,000",-,"-3,289,000","3,621,000","-14,478,000","-14,478,000","406,000","-10,635,000","-30,407,000","19,772,000","1,023,000","1,023,000","-5,686,000","659,000","-6,345,000",-,-,"-297,000","-297,000","1,734,000","18,397,000","18,397,000","-6,117,000","-15,482,000","5,217,000","-20,699,000","9,365,000",-,-,"-2,539,000","306,000","-2,845,000",0,0,-,"-2,278,000","-1,875,000","-403,000",-,"46,000","23,367,000","4,161,000","19,206,000",-,"1,905,000","2,589,000",-,"306,000","5,217,000","-20,699,000","-2,845,000","242,000"
23,9/30/2017,"9,522,000","9,522,000","4,654,000",-,-,"1,316,000","1,316,000",-,-,"-4,301,000","261,000","409,000",-,"717,000","6,466,000",-,-,"3,027,000",-,-,"3,027,000","467,000",-,"630,000","2,342,000","-3,286,000","-3,286,000","-8,407,000","-221,000","-29,413,000","29,192,000","1,201,000","1,201,000","4,881,000","4,003,000","878,000",-,-,"-20,000","-20,000","481,000","-7,278,000","-7,278,000","-3,379,000","-1,920,000","10,368,000","-12,288,000","-1,459,000",-,-,"-2,418,000","183,000","-2,601,000",0,0,-,"-2,309,000","-1,890,000","-419,000",-,"-48,000","19,206,000","-1,042,000","20,248,000",-,"1,893,000","2,560,000",-,"183,000","10,368,000","-12,288,000","-2,601,000","9,522,000"
24,6/30/2017,"-4,233,000","-4,233,000","5,848,000",-,-,"1,241,000","1,241,000",-,-,"-18,921,000","559,000","446,000",-,"555,000","6,039,000",-,-,"-271,000",-,-,"-271,000","274,000",-,"-2,068,000","8,104,000","41,873,000","41,873,000","34,227,000","5,445,000","-31,937,000","37,382,000","1,455,000","1,455,000","1,153,000","7,157,000","-6,004,000",-,-,"43,000","43,000","1,005,000","-37,090,000","-37,090,000","-13,685,000","-20,863,000","15,015,000","-35,878,000","7,178,000",-,-,"-2,137,000","150,000","-2,287,000","677,000","677,000",-,"-2,255,000","-1,856,000","-399,000",-,"-76,000","20,248,000","550,000","19,698,000",-,"2,579,000","2,342,000",-,"827,000","15,015,000","-35,878,000","-2,287,000","-4,233,000"
25,3/31/2017,"13,191,000","13,191,000","5,548,000",-,-,"1,237,000","1,237,000",-,-,"-13,366,000","8,000","740,000",-,"605,000","18,419,000",-,-,"-381,000",-,-,"-381,000","1,007,000",-,"3,553,000","14,240,000","-29,273,000","-29,273,000","-39,716,000","1,796,000","-14,937,000","16,733,000","1,519,000","1,519,000","7,340,000","6,385,000","955,000",-,-,"-46,000","-46,000","1,353,000","15,051,000","15,051,000","-26,000","1,038,000","12,975,000","-11,937,000","-1,064,000",-,-,"-1,603,000","572,000","-2,175,000",0,0,-,"-2,267,000","-1,859,000","-408,000",-,"-418,000","19,698,000","-1,031,000","20,729,000",-,"215,000","1,612,000",-,"572,000","12,975,000","-11,937,000","-2,175,000","13,191,000"
26,12/31/2016,"4,682,000","4,682,000","5,304,000",-,-,"1,372,000","1,372,000",-,-,"-31,693,000","-1,556,000","471,000","-74,000","805,000","30,053,000",-,-,"-1,940,000",-,-,"-1,607,000","3,410,000",-,"1,859,000","26,305,000","-12,931,000","-12,931,000","32,287,000","-35,287,000","-55,610,000","20,323,000","1,751,000","1,751,000","-10,502,000","5,976,000","-16,478,000",-,-,"-787,000","-787,000","1,358,000","9,691,000","9,691,000","-16,603,000","11,477,000","22,434,000","-10,957,000","-28,080,000",-,-,"-1,643,000","391,000","-2,034,000",0,0,-,"-2,256,000","-1,863,000","-393,000",-,"8,000","20,729,000","1,442,000","19,287,000",-,"1,288,000","1,653,000",-,"391,000","22,434,000","-10,957,000","-2,034,000","4,682,000"
27,9/30/2016,"-2,441,000","-2,441,000","5,654,000",-,-,"1,365,000","1,365,000",-,-,"-27,329,000","31,000","298,000","-31,000","805,000","16,766,000","-147,000","-147,000","-1,221,000","-28,000","-28,000","-1,193,000","669,000",-,"-502,000","17,967,000","-39,684,000","-39,684,000","-2,804,000","-31,988,000","-52,462,000","20,474,000","1,856,000","1,856,000","-5,622,000","5,073,000","-10,695,000",-,-,"-810,000","-810,000","1,540,000","41,005,000","41,005,000","14,491,000","10,339,000","19,706,000","-9,367,000","4,152,000",-,-,"-1,610,000","229,000","-1,839,000",0,0,-,"-2,279,000","-1,870,000","-409,000",-,"-18,000","19,287,000","-1,120,000","20,407,000",-,"2,903,000","1,563,000",-,"229,000","19,706,000","-9,367,000","-1,839,000","-2,441,000"
28,6/30/2016,"-7,364,000","-7,364,000","5,573,000",-,-,"938,000","938,000",-,-,"-19,236,000","781,000","460,000","-24,000","1,074,000","3,070,000","-25,000","-25,000","-731,000","110,000","110,000","-841,000","-1,046,000",-,"-1,361,000","6,233,000","-19,138,000","-19,138,000","5,026,000","-13,912,000","-34,501,000","20,589,000","1,845,000","1,845,000","-12,047,000","5,111,000","-17,158,000",-,-,"-83,000","-83,000","1,878,000","27,825,000","27,825,000","26,977,000","14,422,000","24,037,000","-9,615,000","12,555,000",-,-,"-1,898,000","316,000","-2,214,000","1,126,000","1,126,000",-,"-2,259,000","-1,881,000","-378,000",-,"-104,000","20,407,000","1,323,000","19,084,000",-,"4,117,000","1,303,000",-,"1,442,000","24,037,000","-9,615,000","-2,214,000","-7,364,000"
29,3/31/2016,"5,292,000","5,292,000","5,514,000",-,-,"1,295,000","1,295,000",-,-,"-5,654,000","883,000","716,000","-154,000","1,086,000","1,606,000","-247,000","-247,000","3,187,000","251,000","251,000","2,936,000","-1,240,000",-,"-14,228,000","14,134,000","-50,366,000","-50,366,000","-30,518,000","14,919,000","-6,316,000","21,235,000","1,859,000","1,859,000","-7,890,000","5,510,000","-13,400,000",-,-,"-28,904,000","-28,904,000","2,027,000","45,047,000","45,047,000","29,586,000","19,411,000","23,934,000","-4,523,000","10,175,000",-,-,"-1,550,000","479,000","-2,029,000","975,000","975,000",-,"-2,244,000","-1,858,000","-386,000",-,"102,000","19,084,000","-27,000","19,111,000",-,"138,000","1,054,000",-,"1,454,000","23,934,000","-4,523,000","-2,029,000","5,292,000"
30,12/31/2015,"-5,029,000","-5,029,000","5,623,000",-,-,"892,000","892,000",-,-,"-10,271,000","-523,000","433,000","-22,000","831,000","-1,992,000","20,000","20,000","-7,910,000","81,000","81,000","-7,991,000","156,000",-,"-1,202,000","6,944,000","-34,802,000","-34,802,000","-15,319,000","-5,815,000","-27,122,000","21,307,000","2,034,000","2,034,000","-15,199,000","5,349,000","-20,548,000",-,-,"-3,000","-3,000","1,534,000","41,547,000","41,547,000","24,765,000","15,306,000","18,535,000","-3,229,000","9,459,000",-,-,"-1,702,000","272,000","-1,974,000",0,0,-,"-2,234,000","-1,871,000","-363,000",-,"-42,000","19,111,000","1,716,000","17,395,000",-,"4,418,000","974,000",-,"272,000","18,535,000","-3,229,000","-1,974,000","-5,029,000"
31,9/30/2015,"18,937,000","18,937,000","5,983,000",-,-,"838,000","838,000",-,-,"-11,647,000","675,000","347,000","-22,000","703,000","22,060,000","-261,000","-261,000","6,716,000","-107,000","-107,000","6,823,000","-2,057,000",-,"-2,846,000","20,508,000","-44,307,000","-44,307,000","-22,591,000","-5,821,000","-21,938,000","16,117,000","1,807,000","1,807,000","-17,175,000","5,878,000","-23,053,000",-,-,0,0,"1,280,000","23,078,000","23,078,000","9,766,000","4,660,000","10,660,000","-6,000,000","5,106,000",-,-,"-1,695,000","442,000","-2,137,000","975,000","975,000",-,"-2,246,000","-1,882,000","-364,000",-,"-73,000","17,395,000","-2,292,000","19,687,000",-,"2,165,000","1,095,000",-,"1,417,000","10,660,000","-6,000,000","-2,137,000","18,937,000"
32,6/30/2015,"-1,651,000","-1,651,000","5,786,000",-,-,"831,000","831,000",-,-,"-16,991,000","-815,000","470,000","-55,000","300,000","8,823,000","-82,000","-82,000","-9,518,000","110,000","110,000","-9,628,000","71,000",-,"4,337,000","14,015,000","14,798,000","14,798,000","59,070,000","-17,842,000","-35,511,000","17,669,000","2,088,000","2,088,000","-28,155,000","5,544,000","-33,699,000",-,-,-,-,"1,725,000","-13,253,000","-13,253,000","1,356,000","-3,915,000","8,549,000","-12,464,000","5,271,000",-,-,"-1,596,000","398,000","-1,994,000",0,0,-,"-2,220,000","-1,885,000","-335,000",-,"42,000","19,687,000","-106,000","19,793,000",-,"6,753,000","846,000",-,"398,000","8,549,000","-12,464,000","-1,994,000","-1,651,000"
33,3/31/2015,"2,515,000","2,515,000","5,884,000",-,-,"727,000","727,000",-,-,"-12,680,000","725,000","708,000","-354,000","608,000","6,897,000","-300,000","-300,000","3,908,000","76,000","76,000","3,832,000","-435,000",-,"-2,053,000","5,777,000","-42,924,000","-42,924,000","-33,026,000","-9,947,000","-22,983,000","13,036,000","1,874,000","1,874,000","-992,000","4,924,000","-5,916,000",-,-,-,-,"1,041,000","40,631,000","40,631,000","13,820,000","-354,000","5,286,000","-5,640,000","14,174,000",-,-,"-1,978,000","614,000","-2,592,000","1,997,000","1,997,000",-,"-2,126,000","-1,762,000","-364,000",-,"327,000","19,793,000","222,000","19,571,000",-,"352,000","901,000",-,"2,611,000","5,286,000","-5,640,000","-2,592,000","2,515,000"
34,12/31/2014,"2,865,000","2,865,000","5,792,000",-,-,"582,000","582,000",-,-,"-9,619,000","936,000","387,000","-75,000","485,000","4,377,000","176,000","176,000","7,075,000","-119,000","-119,000","7,194,000","1,685,000",-,"-3,499,000","-1,060,000","-33,105,000","-33,105,000","3,503,000","-20,861,000","-34,910,000","14,049,000","1,702,000","1,702,000","-17,214,000","11,650,000","-28,864,000",-,-,0,0,"1,467,000","31,779,000","31,779,000","-1,672,000","-2,165,000","3,792,000","-5,957,000","493,000",-,-,"-2,481,000","464,000","-2,945,000",0,0,-,"-2,081,000","-1,774,000","-307,000",-,"328,000","19,571,000","1,539,000","18,032,000",-,"2,554,000","1,122,000",-,"464,000","3,792,000","-5,957,000","-2,945,000","2,865,000"
