,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Restricted Cash And Investments,Restricted Investments,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Funds Sold,Federal Home Loan Bank Stock,Foreclosed Assets,Other Real Estate Owned,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Available for Sale Securities,Other Short Term Investments,Long Term Equity Investment,Net Loan,Gross Loan,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Prepaid Assets,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Construction in Progress,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Deferred Assets,Deferred Tax Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Payables And Accrued Expenses,Payables,Accounts Payable,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Gains Losses Not Affecting Retained Earnings,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number
10,12/31/2012,"660,480","141,335","130,800","130,800",-,-,-,-,"10,535","10,535","10,535","3,130",0,0,"11,680","103,866",-,"103,866",575.09,"382,411","390,986","36,529","1,096","341,734","11,628","7,975",-599.851,"1,654","1,654",-,"1,077","13,182","22,891","4,699","5,871","8,082",-,"4,239",-,"-9,708",-,-,-,"1,670","1,670","660,480","597,261","586,993","411,404","411,404","175,588",-,"3,619","3,619","3,619",-,-,-,-,-,-,-,-,"10,268","63,219","63,219","30,423","6,750","23,673","33,959","2,342","3,245",-,"6,750","63,219",-,"63,219",-,"63,219",-,-,"7,908","7,908",6.75
11,12/31/2011,"612,172","101,085","73,190",-,-,"73,190",-,-,"27,895","27,895","27,895",-,-,244.375,-,"89,695","89,695",-,-,"386,958","396,202","330,877","25,084",-,"40,241","8,609",-634.433,"20,690","20,690","20,690",-,"13,499","22,154",-,"5,357","8,105",-,"3,993","4,699","-8,655",-,-,-,-,-,-,"541,770","536,204","406,061","406,061","130,143",-,"2,566","2,566","2,566",-,-,-,-,"3,000","3,000","3,000",-,-,"70,402","70,402","13,500","13,500",-,"28,630","25,582","2,690","73,402","13,500","56,902",-,"70,402","59,902","56,902","3,000",-,"7,718","7,718",13.5
12,12/31/2010,"552,396","68,937","28,092",-,-,"28,092",-,-,"40,845","40,845","40,845",-,-,778.174,-,"53,268","53,268",-,-,"376,231","385,219","333,634","23,086","28,498",-,"8,255",-733.012,"24,033","24,033","24,033",-,"29,149","36,807","22,999","3,595","6,577",-,"3,637",-,"-7,658",-,-,-,-,-,-,"487,739","476,739","374,317","374,317","102,422",-,"3,000",-,-,"3,000",-,-,-,"8,000","8,000","8,000",-,-,"64,658","64,658","13,014","13,014",-,"24,016","26,084","1,544","72,658","13,014","51,644",-,"64,658","59,644","51,644","8,000",-,"7,702","7,702",13.5
13,12/31/2009,"524,722","21,649","20,004",-,-,"20,004",-,-,"1,645","1,645","1,645",-,-,"2,150",-,"50,765","50,765",-,-,"425,627","425,627","321,547","21,468",-,"82,612","7,020",-811.103,"22,195","22,195","22,195",-,"10,167","16,866",-,"3,215","6,022",-,"3,604","4,024","-6,698",-,-,-,-,-,"99,095","477,530","429,210","359,563","359,563","69,647",-,"2,619",-,-,"2,619",-,-,-,"32,200","32,200","32,200",-,"48,320","47,192","47,192","12,847","12,847",-,"20,231","25,931","1,683","92,892","12,847","47,192",-,"47,192","80,045","47,192","32,200","12,196","7,682","7,682",13.5
14,12/31/2008,"508,203","14,392","9,073",-,-,"9,073",-,-,"5,319","5,319",-,-,-,-,-,"42,294","42,294",-,-,"421,573","427,142",-,-,-,"427,142","5,569",-,"1,886","1,886","1,886",-,"11,094",-,-,-,-,-,-,-,-,-,-,-,-,-,"16,963","450,217","378,248","313,972","313,972","64,277",-,"2,968","2,968","2,968",-,-,-,-,"69,000","69,000",-,-,-,"57,986","57,986","12,681","12,681",-,"19,227","25,789",290.23,"126,986","12,681","45,305",-,"57,986","114,305","45,305","69,000","59,927","7,662","7,662",13.5
15,12/31/2007,"454,403","14,203","14,203",-,"3,805","10,398",-,-,-,-,-,-,-,-,-,"33,373","33,373",-,-,"382,264","382,264",-,-,-,-,-,-,-,-,-,-,"10,109",-,-,-,-,-,-,-,-,-,-,-,-,-,"14,455","411,763","377,348",-,-,-,-,"3,416",-,-,"3,416",-,-,-,"62,000","31,000","31,000","31,000","-31,000","42,640","42,640","22,843",0,"22,843","18,002","1,748",46.193,"73,640",-,"42,640","31,000","42,640","73,640","42,640","62,000","16,797","7,608","7,608",-
16,12/31/2006,"455,213","27,819","25,179",-,-,"25,179",-,-,"2,640","2,640",-,-,-,-,-,"36,249","36,249",-,-,"372,819","378,393",-,-,-,"378,393","4,341","-1,233","12,813","12,813","12,813",-,"5,513",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"420,789","378,530","378,530","378,530",-,-,"8,659","8,659","8,659",-,-,-,-,"33,600","33,600",-,-,-,"34,424","34,424",-,-,-,"15,479","19,150",-204.772,"68,024",-,"34,424",-,"34,424","68,024","34,424","33,600","8,421",-,-,-
17,12/31/2005,"382,122","20,501","20,501",-,-,"20,501",-,-,-,-,-,-,-,-,-,"33,049","33,049",-,-,"312,787","318,108",-,-,-,"318,108","3,976","-1,345","11,915","11,915","11,915",-,"3,870",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"351,084","329,080","329,080","329,080",-,-,"3,005","3,005","3,005",-,"7,500","7,500","7,500","11,500","11,500",-,-,-,"31,038","31,038","17,199",-,"17,199","12,997","1,213",-370.769,"42,538",-,"31,038",-,"31,038","50,038","31,038","19,000",-,-,-,-
18,12/31/2004,"313,063","12,298","7,298",-,-,"7,298",-,-,"5,000","5,000",-,-,-,-,-,"33,284","33,284",-,-,"254,035","258,495",-,-,-,"258,495","3,272","-1,188","10,364","10,364","10,364",-,"3,082",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"284,818","249,043","249,043","249,043",-,"16,500","1,275","1,275","1,275",-,"8,500","8,500","8,500","9,500","9,500",-,-,-,"28,245","28,245","16,874",-,"16,874","10,228","1,077",66.818,"37,745",-,"28,245",-,"28,245","46,245","28,245","18,000","10,702",-,-,-
19,12/31/2003,"240,498","16,630","12,630",-,"11,630","1,000",-,-,"4,000","4,000",-,-,-,-,-,"28,690","28,690",-,-,"184,319","187,548",-,-,-,"187,548","2,338",-890.892,"8,100","8,100","8,100",-,"2,759",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"222,500","199,629","199,629","199,629",-,-,870.636,870.636,870.636,-,"22,000","22,000","22,000",-,-,-,-,-,"17,998","17,998","8,828",-,"8,828","7,864","1,024",281.439,-,-,"17,998",-,"17,998","39,998","17,998","22,000","9,370",-,-,-
20,12/31/2002,"193,351","9,635","9,635",-,"8,435","1,200",-,-,-,-,-,-,-,-,-,"32,965","32,965",-,-,"141,598","143,850",-,-,-,"143,850","1,680",-571.749,"6,889","6,889","6,889",-,"2,264",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"176,976","164,724","164,724","164,724",-,-,751.616,751.616,751.616,-,"11,500","11,500","11,500",-,-,-,-,-,"16,375","16,375","8,694",-,"8,694","6,237",966.514,478.139,-,-,"16,375",-,"16,375","27,875","16,375","11,500","1,865","7,608","7,608",-
21,12/31/2001,"157,963","13,312","13,312",-,"12,712",600,-,-,-,-,-,-,-,-,-,"27,111","27,111",-,-,"109,939","111,711",-,-,-,"111,711","1,368",-403.722,"5,346","5,346","5,346",-,"2,254",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"143,397","128,207",-,0,"128,207",-,-,-,-,-,"14,500","14,500","14,500",-,-,-,-,689.995,"14,566","14,566","8,525",-,"8,525","5,059",966.514,15.625,-,-,"14,566",-,"14,566","29,066","14,566","14,500","1,188","7,608","7,608",-
