,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Restricted Cash And Investments,Restricted Investments,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Funds Sold,Federal Home Loan Bank Stock,Foreclosed Assets,Other Real Estate Owned,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Available for Sale Securities,Other Short Term Investments,Long Term Equity Investment,Net Loan,Gross Loan,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Prepaid Assets,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Construction in Progress,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Deferred Assets,Deferred Tax Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Payables And Accrued Expenses,Payables,Accounts Payable,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number
17,12/31/2018,"1,094,929","126,145","116,425","116,425",-,-,-,-,"9,720","9,720","9,720","4,357",0,0,"19,028","209,818","3,106","206,712","5,476","702,220","711,902","82,252","1,314","590,260","38,076","8,685",-997,"3,755","3,755",-,"1,142","14,937","28,522","5,195","9,962","8,279",47,"5,039",-,"-13,585","3,942",-,-,"4,067","4,067",-,"995,891","986,495","391,993","391,993","594,502",-,"9,354","9,354","9,354",-,-,-,-,-,-,-,-,"9,396","99,038","99,038","25,429",-,"25,429","70,686","3,358",-435,-,-,-,"99,038",-,"99,038",-,"99,038",-,-,"8,195","8,195",-
18,9/30/2018,"1,075,805","162,841","151,656","151,656",-,-,-,-,"11,185","11,185","11,185",-,0,0,"18,898","208,298","3,060","205,238",-,"653,995","663,195","80,932","1,056","544,168","37,039","8,135","-1,065","12,689","12,689",-,-,"15,114",-,-,-,-,-,-,-,-,"3,970",-,-,-,-,"1,075,805","980,139","974,424","407,864","407,864","566,560",-,"5,715","5,715","5,715",-,-,-,-,-,-,-,-,"5,715","95,666","95,666","25,422",-,"25,422","67,707","3,244",-707,-,-,-,"95,666",-,"95,666",-,"95,666",-,-,"8,194","8,194",-
19,6/30/2018,"1,069,600","166,310","158,775","158,775",-,-,-,-,"7,535","7,535","7,535",-,0,0,"18,768","207,781","3,068","204,713",-,"645,136","654,594","75,561",724,"539,933","38,376","8,162","-1,296","12,586","12,586",-,-,"15,020",-,-,-,-,-,-,-,-,"3,999",-,-,-,-,"1,069,600","975,455","970,615","403,701","403,701","566,914",-,"4,840","4,840","4,840",-,-,-,-,-,-,-,-,"4,840","94,145","94,145","25,422",-,"25,422","65,606","3,134",-17,-,-,-,"94,145",-,"94,145",-,"94,145",-,-,"8,183","8,183",-
20,3/31/2018,"1,052,813","162,706","151,406","151,406",-,-,-,-,"11,300","11,300","11,300",-,0,0,"18,642","201,292","3,071","198,221",-,"638,902","648,367","69,636",561,"542,033","36,137","8,165","-1,300","12,436","12,436",-,-,"14,808",-,-,-,-,-,-,-,-,"4,027",-,-,-,-,"1,052,813","961,218","955,341","412,947","412,947","542,394",-,"5,877","5,877","5,877",-,-,-,-,-,-,-,-,"5,877","91,595","91,595","25,422",-,"25,422","63,015","2,999",159,-,-,-,"91,595",-,"91,595",-,"91,595",-,-,"8,183","8,183",-
21,12/31/2017,"1,034,852","149,173","142,968","142,968",-,-,-,-,"6,205","6,205","6,205","4,135",253,253,"18,517","182,360",-,"182,360",266,"652,989","662,544","69,610",689,"554,311","37,934","8,166","-1,389","3,171","3,171",-,"2,812","14,478","27,337","4,645","8,809","7,628","1,948","4,307",-,"-12,859","4,056","3,313",743,"2,642","2,642","1,034,852","944,085","938,882","399,499","399,499","539,383",-,"5,203","5,203","5,203",-,-,-,-,-,-,-,-,"5,203","90,767","90,767","24,773",-,"24,773","61,429","3,576",989,-,-,-,"90,767",-,"90,767",-,"90,767",-,-,"8,099","8,099",-
22,9/30/2017,"996,721","139,628","129,633","129,633",-,-,-,-,"9,995","9,995","9,995",-,253,253,-,"180,857",-,"180,857",-,"626,911","636,609","65,444",607,"540,509","30,049","7,917","-1,781","36,024","36,024",-,-,"13,048",-,-,-,-,-,-,-,-,-,-,-,-,-,"996,721","907,045","901,716","406,262","406,262","495,454",-,"5,329","5,329","5,329",-,-,-,-,-,-,-,-,"5,329","89,676","89,676","24,773",-,"24,773","60,003","3,551","1,349",-,-,-,"89,676",-,"89,676",-,"89,676",-,-,"8,099","8,099",-
23,6/30/2017,"1,020,495","182,159","171,179","171,179",-,-,-,-,"10,980","10,980","10,980",-,"1,210","1,210",-,"175,252",-,"175,252",-,"614,082","623,809","63,854",684,"534,323","24,948","7,854","-1,873","34,569","34,569",-,-,"13,223",-,-,-,-,-,-,-,-,-,-,-,-,-,"1,020,495","932,395","925,786","408,611","408,611","517,175",-,"6,609","6,609","6,609",-,-,-,-,-,-,-,-,"6,609","88,100","88,100","24,698",-,"24,698","58,546","3,528","1,328",-,-,-,"88,100",-,"88,100",-,"88,100",-,-,"8,090","8,090",-
24,3/31/2017,"989,879","167,715","154,945","154,945",-,-,-,-,"12,770","12,770","12,770",-,"1,210","1,210",-,"169,869",-,"169,869",-,"603,075","612,894","65,247",714,"522,660","24,273","7,827","-1,992","34,567","34,567",-,-,"13,443",-,-,-,-,-,-,-,-,-,-,-,-,-,"989,879","905,818","899,169","570,054","570,054","329,115",-,"6,649","6,649","6,649",-,-,-,-,-,-,-,-,"6,649","84,061","84,061","24,682",-,"24,682","55,716","3,506",157,-,-,-,"84,061",-,"84,061",-,"84,061",-,-,"8,082","8,082",-
25,12/31/2016,"1,001,423","190,810","179,025","179,025",-,-,-,-,"11,785","11,785","11,785","3,795","1,210","1,210","18,004","160,333",-,"160,333",328,"601,104","610,949","64,201",767,"517,527","28,454","7,832","-2,013","2,831","2,831",-,"1,093","13,688","25,596","4,755","9,064","7,470",-,"4,307",-,"-11,908","4,185","3,313",872,"4,729","4,729","1,001,423","918,973","914,093","578,010","578,010","336,083",-,"5,567","5,567","5,567",-,-,-,-,-,-,-,-,"4,880","82,450","82,450","24,682",-,"24,682","54,520","3,473",-225,-,-,-,"82,450",-,"82,450",-,"82,450",-,-,"8,088","8,088",-
26,9/30/2016,"947,017","147,263","133,243","133,243",-,-,-,-,"14,020","14,020","14,020",-,"1,485","1,485",-,"160,077",-,"160,077",-,"592,650","602,569","68,073",736,"505,993","27,767","7,767","-2,152","31,831","31,831",-,-,"13,712",-,-,-,-,-,-,-,-,-,-,-,-,-,"947,017","864,159","859,756","576,936","576,936","282,820",-,"4,404","4,404","4,404",-,-,-,-,-,-,-,-,"4,403","82,858","82,858","24,682",-,"24,682","52,198","3,412","2,566",-,-,-,"82,858",-,"82,858",-,"82,858",-,-,"8,094","8,094",-
