,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Investment Securities,Depreciation Amortization Depletion,Depreciation & amortization,Depreciation,Amortization,Amortization of Intangibles,Deferred Tax,Deferred Income Tax,Other non-cash items,Asset Impairment Charge,Provision for Loan Lease And Other Losses,Change in working capital,Change in Receivables,Change in Payables And Accrued Expense,Change in Accrued Expense,Change in Loans,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Capital Expenditure Reported,Proceeds Payment Federal Funds Sold And Securities Purchased Under Agreement To Resell,Proceeds Payment in Interest Bearing Deposits in Bank,Increase in Interest Bearing Depositsin Bank,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Investment Properties Purchase And Sale,Sale of Investment Properties,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Purchase of PPE,Net Intangibles Purchase And Sale,Purchase of Intangibles,Net Business Purchase And Sale,Purchase of Business,Sale of Business,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Preferred Stock Dividend Paid,Net Other Financing Charges,Other Cash Adjustment Inside Change in Cash,End Cash Position,Changes in Cash,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
0,ttm,"4,573,740","4,573,740","1,991,663","-153,491",-,"434,143","434,143","282,056","152,087","152,087","-29,987","-29,987",-,"8,471","517,000","1,805,941",-,-,-,"771,458","1,034,483","16,592,736","16,592,736","-214,388",-,"26,106,931",-,"-7,014,487","-9,567,863","2,553,376",-,-,"-2,060,215",-,-,-,-,-,-,"393,923",-,"393,923","-619,028","-20,983,809","-20,983,809","2,704,336","91,300","998,540","-907,240","2,613,036",-,"-1,800,000","-1,800,000",0,0,-,"-881,016","-784,089","-96,927","-13,177",-,"1,520,244","182,667","1,337,577",-,"487,618","428,772","-214,388",0,"998,540","-907,240","-1,800,000","4,359,352"
1,3/31/2023,"427,813","427,813","701,624","-11,515",-,"112,541","112,541","75,501","37,040","37,040","11,380","11,380",-,780,"120,000","-506,997",-,-,-,"-274,222","-232,775","-1,747,712","-1,747,712","-55,411",-,"2,652,294",-,"-3,133,595","-4,077,288","943,693",-,-,"-959,560","206,668","-1,166,228",-,-,-,-,-,-,-,"-251,440","1,617,395","1,617,395","6,925,930","3,485,579","3,485,675",-96,"3,440,351",-,"-594,000","-594,000",-,-,-,"-254,071","-220,517","-33,554","-19,654",-,"1,817,740","297,496","1,520,244",-,"22,474","410,419","-55,411",-,"3,485,675",-96,"-594,000","372,402"
2,12/31/2022,"953,619","953,619","765,371","-138,908",-,"101,217","101,217","62,319","38,898","38,898","59,426","59,426",-,"1,113","90,000","75,400",-,-,-,"210,597","-135,197","-3,665,139","-3,665,139","-87,578",-,"432,809",-,"-581,661","-1,396,476","814,815",-,-,"-3,326,185",-,-,-,-,-,-,0,-,0,"-102,524","1,975,954","1,975,954","3,136,388","499,241","499,290",-49,"2,637,147",-,"-600,000","-600,000",0,0,-,"-221,448","-205,121","-16,327","-8,983",-,"1,520,244","-735,566","2,255,810",-,"124,752","214,220","-87,578",0,"499,290",-49,"-600,000","866,041"
3,9/30/2022,"1,136,982","1,136,982","646,596","-3,727",-,"127,339","127,339","84,788","42,551","42,551","-12,067","-12,067",-,"3,889","115,000","259,952",-,-,-,"-11,018","270,970","6,219,311","6,219,311","-39,068",-,"8,045,926",-,"-2,088,262","-2,760,557","672,295",-,-,"492,625",-,-,-,-,-,-,0,-,0,"-191,910","-6,788,757","-6,788,757","540,639","492,155",-,"-7,095","48,484",-,"-600,000","-600,000",-,-,-,"-242,700","-209,146","-33,554","25,404",-,"2,255,810","567,536","1,688,274",-,"131,179","127,839","-39,068",-,-,"-7,095","-600,000","1,097,914"
4,6/30/2022,"1,187,369","1,187,369","217,522","-6,088",-,"122,276","122,276","78,210","44,066","44,066","-81,497","-81,497",-,"3,217","302,000","629,939",-,-,-,"137,359","492,580","9,842,984","9,842,984","-59,832",-,"11,781,274",-,"-1,955,762","-2,677,083","721,321",-,-,"-207,226",-,-,-,-,-,-,-,-,-,"-109,393","-10,753,539","-10,753,539","-975,903","-900,047",-,"-900,047","-75,856",-,-,-,-,-,-,"-229,493","-213,165","-16,328","-20,990",-,"1,688,274","276,814","1,411,460",-,"198,049","46,030","-59,832",-,-,"-900,047",-,"1,127,537"
5,3/31/2022,"1,295,770","1,295,770","362,174","-4,768",-,"83,311","83,311","56,739","26,572","26,572","4,151","4,151",-,252,"10,000","840,650",-,-,-,"434,520","406,130","4,195,580","4,195,580","-27,910",-,"5,846,922","5,846,922","-2,388,802","-2,733,747","344,945",-,-,"980,571",-,-,-,-,-,-,-,-,-,"-215,201","-5,417,467","-5,417,467","3,212",-49,-,-49,"3,261",-,-,-,-,-,-,"-187,375","-156,657","-30,718","-8,608",-,"1,411,460","73,883","1,337,577",-,"33,638","40,683","-27,910",-,-,-49,-,"1,267,860"
6,12/31/2021,"696,928","696,928","457,968","4,952",-,"80,763","80,763","55,042","25,721","25,721","16,969","16,969",-,"3,385","-15,000","147,891",-,-,-,"-46,484","194,375","-3,453,425","-3,453,425","-62,048",-,"-3,426,516",-,"-747,296","-1,189,452","442,156",-,-,"904,432",-,-,-,-,-,-,-,-,-,"-121,997","2,614,362","2,614,362","-56,552",-50,0,-50,"-56,502",-,0,0,0,0,-,"-167,531","-154,719","-12,812","-3,668",-,"1,337,577","-142,135","1,479,712",-,"35,512","22,762","-62,048",0,0,-50,0,"634,880"
7,9/30/2021,"486,320","486,320","495,460","-2,415",-,"84,364","84,364","55,773","28,591","28,591","15,037","15,037",-,"1,803","-20,000","-87,929",-,-,-,"-289,756","201,827","-1,195,802","-1,195,802","-42,706",-,"-4,580,964","-4,580,964","-321,793","-793,246","471,453",-,-,"3,820,477",-,-,-,-,-,-,-,-,-,"-70,816","778,726","778,726","21,764","9,451",-,-49,"12,313",-,0,0,-,-,-,"-163,038","-141,750","-21,288","-7,524",-,"1,479,712","69,244","1,410,468",-,"74,524","36,561","-42,706",-,-,-49,0,"443,614"
8,6/30/2021,"536,974","536,974","458,069","-10,739",-,"79,276","79,276","56,343","22,933","22,933","15,824","15,824",-,"2,026","-15,000","7,518",-,-,-,"13,739","-6,221","-50,625","-50,625","-13,443",-,"-2,457,597","-2,457,597","440,666","-116,032","556,698",-,-,"2,117,888",-,-,-,-,-,-,-,-,-,"-138,139","-335,870","-335,870","32,231",-47,-,-47,"32,278",-,0,0,-,-,-,"-154,559","-141,747","-12,812","-5,949",-,"1,410,468","150,479","1,259,989",-,"180,039","24,463","-13,443",-,-,-47,0,"523,531"
9,3/31/2021,"994,737","994,737","447,249","-2,106",-,"79,805","79,805","57,116","22,689","22,689","39,329","39,329",-,"1,217","-25,000","454,243",-,-,-,"158,878","295,365","-8,931,747","-8,931,747","-31,016",-,"-7,743,417","-7,743,417","385,304","-211,037","596,341",-,-,"-1,363,268",-,"-1,363,268",-,-,-,-,-,-,-,"-179,350","7,644,256","7,644,256","-853,470","-852,945",-,"-852,945",-525,-,0,0,-,-,-,"-163,332","-142,044","-21,288","-9,569",-,"1,259,989","-292,754","1,552,743",-,"24,220","55,378","-31,016",-,-,"-852,945",0,"963,721"
10,12/31/2020,"664,122","664,122","471,140","-4,705",-,"80,233","80,233","56,275","23,958","23,958","88,622","88,622",-,"3,322","75,000","-49,490",-,-,-,"-119,305","69,815","-4,043,489","-4,043,489","-46,919",-,"-3,465,873",-,"662,221","-6,768","668,989",-,-,"-909,051",-,"-759,213",-,-,-,-,-,-,-,"-283,867","3,442,878","3,442,878","-1,046,623","-1,059,982",-,"-1,059,982","13,359",-,0,0,0,0,0,"-154,720","-141,908","-12,812","1,786",-,"1,552,743","63,511","1,489,232",-,"21,087","53,212","-46,919",0,-,"-1,059,982",0,"617,203"
11,9/30/2020,"-6,012","-6,012","372,136","-8,928",-,"85,510","85,510","55,575","29,935","29,935","-29,820","-29,820",-,"2,066","150,000","-576,976",-,-,-,"-202,405","-374,571","967,256","967,256","-31,719",-,"690,404",-,"697,393","-8,188","705,581",-,-,"-542,723","-29,146","-513,577",-,-,-,-,-,-,-,"153,901","-826,827","-826,827","-856,791","-850,616",-,"-850,616","-6,175",-,0,0,-,-,-,"-162,802","-141,514","-21,288","-2,933",-,"1,489,232","134,417","1,354,815",-,"192,712","95,205","-31,719",-,-,"-850,616",0,"-37,731"
12,6/30/2020,"525,519","525,519","241,054","-1,875",-,"76,885","76,885","53,992","22,893","22,893","-53,850","-53,850",-,"12,636","325,000","-74,331",-,-,-,"-62,175","-12,156","-15,091,885","-15,091,885","-42,104",-,"-11,992,034",-,"545,486","-6,947","552,433",-,-,"-3,379,910",-,"-3,558,894",-,-,-,-,-,-,-,"-223,323","14,622,989","14,622,989","-8,184","-1,302",-,"-1,302","-6,882",-,0,0,-,-,-,"-154,332","-141,520","-12,812",301,-,"1,354,815","56,623","1,298,192",-,"17,099","65,013","-42,104",-,-,"-1,302",0,"483,415"
13,3/31/2020,"-394,442","-394,442","268,822","-3,933",-,"77,660","77,660","54,756","22,904","22,904","-36,243","-36,243",-,"2,990","250,000","-953,738",-,-,-,"-158,193","-795,545","-3,852,363","-3,852,363","-51,547",-,"-1,706,153",-,"639,470","-26,675","666,145",-,-,"-3,154,833",-,"-3,154,833",-,-,-,-,-,-,-,"420,700","4,108,692","4,108,692","-756,306","-753,123",-,"-753,123","-3,183",-,"-373,750","-373,750",-,-,-,"-164,514","-143,170","-21,344","-10,567",-,"1,298,192","-138,113","1,436,305",-,"44,660","158,861","-51,547",-,-,"-753,123","-373,750","-445,989"
14,12/31/2019,"1,130,707","1,130,707","493,066","45,464",-,"77,272","77,272","54,216","23,056","23,056","40,865","40,865",-,"-46,149","54,000","466,189",-,-,-,"150,555","315,634","4,726,674","4,726,674","-58,527",-,"5,305,370",-,"1,179,235","-176,943","1,356,178",-,-,"-1,311,128",-,-,-,-,-,-,-,-,-,"-388,276","-6,240,137","-6,240,137","-5,452,493",-960,0,-960,"-5,451,533",-,"-282,210","-282,210",0,0,0,"-157,983","-145,171","-12,812","-4,206",-,"1,436,305","-382,756","1,819,061",-,"18,072","158,496","-58,527",0,0,-960,"-282,210","1,072,180"
15,9/30/2019,"746,670","746,670","480,081","-3,417",-,"77,946","77,946","53,738","24,208","24,208",866,866,-,"1,526","45,000","-74,257",-,-,-,-,"-53,932","-3,418,808","-3,418,808","-36,865",-,"-3,703,771",-,"931,912","-366,468","1,298,380",-,-,"-224,590",-,-,-,-,-,-,-,-,-,"-385,494","3,219,588","3,219,588","226,554","-675,952",0,"-675,952","902,506",-,"-299,963","-299,963",-,-,-,"-151,312","-132,930","-18,382","-3,741",-,"1,819,061","547,450","1,271,611",-,"59,037","216,112","-36,865",-,0,"-675,952","-681,463","709,805"
16,6/30/2019,"66,872","66,872","473,260","-5,350",-,"73,925","73,925","51,001","22,924","22,924","2,376","2,376",-,"50,405","55,000","-363,819",-,-,-,-,"-161,149","-852,120","-852,120","-51,947",-,"-1,188,856",-,"1,156,378","-359,053","1,515,431",-,-,"-846,875",-,-,-,-,-,-,-,-,-,"79,180","789,599","789,599","133,382","-875,442",0,"-875,442","1,008,824",-,"-401,984","-401,984",-,-,-,"-153,334","-134,442","-18,892",-393,-,"1,271,611","4,351","1,267,260",-,"93,856","169,870","-51,947",-,0,"-875,442","-401,984","14,925"
17,3/31/2019,"413,306","413,306","482,742","-5,171",-,"72,172","72,172","50,982","21,190","21,190","13,441","13,441",-,"1,919","22,000","-173,797",-,-,-,"202,670","-376,467","271,261","271,261","-30,710",-,"502,300",-,"183,750","-600,667","784,417",-,-,"-412,670",-,-,-,-,-,-,-,-,-,"28,591","-1,022,746","-1,022,746","-796,951","-1,139",0,"-1,139","-795,812",-,"-365,628","-365,628",-,-,-,"-156,963","-139,595","-17,368","-17,053",-,"1,267,260","-338,179","1,605,439",-,"149,548","191,309","-30,710",-,0,"-1,139","-365,628","382,596"
18,12/31/2018,"550,235","550,235","546,219","-5,822",-,"43,089","43,089","24,678","18,411","18,411","89,267","89,267",-,"17,376","38,000","-177,894",-,-,-,"102,286","-280,180","-2,946,781","-2,946,781","-38,374",-,"-1,581,451",-,"493,408","-193,749","687,157",-,-,"-1,919,518",-,-,-,-,-,-,-,-,-,"99,154","2,690,374","2,690,374","2,336,781","-751,487",0,"-751,487","3,088,268",-,"-499,834","-499,834",-,-,-,"-157,895","-139,002","-18,893","-5,544",-,"1,605,439","293,828","1,311,611",-,"177,869","135,093","-38,374",-,0,"-751,487","-499,834","511,861"
19,9/30/2018,"1,018,375","1,018,375","526,091","-8,943",-,"44,597","44,597","26,094","18,503","18,503","50,570","50,570",-,"2,161","16,000","387,899",-,-,-,"503,022","-115,123","873,742","873,742","-22,186",-,"146,239",-,"163,374","-572,465","735,839",-,-,"584,552",-,-,-,-,-,-,-,-,-,"1,763","-1,949,600","-1,949,600","-1,156,935","772,371","773,595","-1,224","-1,929,306",-,"-498,500","-498,500",-,-,-,"-161,183","-143,815","-17,368","-1,509",-,"1,311,611","-57,483","1,369,094",-,"21,628","162,406","-22,186",-,"773,595","-1,224","-498,500","996,189"
20,6/30/2018,"37,063","37,063","493,160","-4,191",-,"45,750","45,750","26,811","18,939","18,939",792,792,-,"2,045","35,000","-535,493",-,-,-,"-683,600","148,107","911,518","911,518","-27,572",-,"-534,551",-,"738,058","-237,480","975,538",-,-,"555,185",-,-,-,-,-,-,-,-,-,"180,398","-872,151","-872,151","1,411,109","-202,178",0,"-202,178","1,613,287",-,"-475,096","-475,096",-,-,-,"-134,139","-115,247","-18,892",-756,-,"1,369,094","76,430","1,292,664",-,"137,620","100,389","-27,572",-,0,"-202,178","-475,096","9,491"
21,3/31/2018,"484,179","484,179","352,610","-4,547",-,"45,569","45,569","27,281","18,288","18,288","-124,772","-124,772",-,"3,192","43,000","169,127",-,-,-,"-72,403","241,530","-248,530","-248,530","-9,544",-,"-1,056,531",-,"439,818","-288,359","728,177",-,-,"303,886",-,-,-,-,-,-,-,-,-,"73,841","-363,873","-363,873","1,946,432","495,402","999,594","-504,192","1,451,030",-,"-720,966","-720,966",-,-,-,"-129,686","-112,318","-17,368","24,976",-,"1,292,664","-128,224","1,420,888",-,"37,999","118,342","-9,544",-,"999,594","-504,192","-720,966","474,635"
22,12/31/2017,"716,069","716,069","322,403","-25,500",-,"46,678","46,678","24,956","21,722","21,722","390,864","390,864",-,"4,551","31,000","-53,927",-,-,-,"187,762","-241,689","1,215,588","1,215,588","-16,451",-,"1,227,581",-,"388,572","-252,836","641,408",-,-,"-327,557",-,-,-,-,-,-,-,-,-,"-56,557","-1,879,021","-1,879,021","-429,789","-404,120",0,"-404,120","-25,669",-,"-224,214","-224,214",-,-,-,"-131,128","-112,236","-18,892","5,195",-,"1,420,888","52,636","1,368,252",-,"32,042","94,650","-16,451",-,0,"-404,120","-224,214","699,618"
23,9/30/2017,"442,579","442,579","355,923","-6,695",-,"51,029","51,029","29,730","21,299","21,299","-7,210","-7,210",-,"2,081","30,000","17,451",-,-,-,"-21,969","39,420","514,539","514,539","-12,653",-,"-1,282,655",-,"723,156","-67,535","790,691",-,-,"1,124,579",-,-,-,-,-,-,-,-,-,"-37,888","-934,344","-934,344","-548,196","946,489","1,247,750","-301,261","-1,494,685",-,"-224,724","-224,724",-,-,-,"-131,882","-114,514","-17,368","-3,182",-,"1,368,252","22,774","1,345,478",-,"141,057","111,019","-12,653",-,"1,247,750","-301,261","-224,724","429,926"
24,6/30/2017,"337,471","337,471","381,053","-9,625",-,"50,026","50,026","27,472","22,554","22,554","-19,595","-19,595",-,"3,679","52,000","-120,067",-,-,-,"-167,090","47,023","2,490,805","2,490,805","-28,341",-,"1,921,320",-,"176,976","-943,945","1,120,921",-,-,"337,119",-,-,-,-,-,-,-,-,-,"83,731","-2,769,760","-2,769,760","1,081,902","-428,449",-,"-1,326,649","1,510,351",-,"-224,894","-224,894",-,-,-,"-133,192","-114,086","-19,106","6,598",-,"1,345,478","58,516","1,286,962",-,"291,834","83,438","-28,341",-,-,"-1,326,649","-224,894","309,130"
25,3/31/2017,"1,285,816","1,285,816","348,927","-11,647",-,"49,392","49,392","27,429","21,963","21,963","36,731","36,731",-,"5,118","55,000","802,295",-,-,-,"712,954","89,341","-826,007","-826,007","-21,521",-,"-1,944,511",-,"274,374","-544,937","819,311",-,-,"797,351",-,-,-,-,-,-,-,-,-,"68,300","-493,396","-493,396","-1,379,750","-1,401,410",-,"-1,401,410","21,660",-,"-532,073","-532,073",-,-,-,"-133,934","-116,566","-17,368","2,064",-,"1,286,962","-33,587","1,320,549",-,"29,272","116,183","-21,521",-,-,"-1,401,410","-532,073","1,264,295"
26,12/31/2016,"111,321","111,321","330,571","-16,490",-,"49,177","49,177","27,085","22,092","22,092","64,739","64,739",-,"6,760","62,000","-385,436",-,-,-,"-379,825","-5,611","3,277,430","3,277,430","-42,416",-,"5,776,998",-,"-1,841,444","-2,611,467","770,023",-,-,"-931,125",-,-,-,-,-,-,-,-,-,"315,417","-3,400,404","-3,400,404","-743,267","-692,863",-,"-692,863","-50,404",-,"-37,334","-37,334",-,-,-,"-132,116","-108,849","-23,267","158,151",-,"1,320,549","-11,653","1,332,202",-,"138,491","111,256","-42,416",-,-,"-692,863","-537,334","68,905"
27,9/30/2016,"422,059","422,059","349,984","-36,255",-,"49,515","49,515","26,397","23,118","23,118","14,816","14,816",-,"6,539","47,000","-9,540",-,-,-,"-97,053","87,513","-3,091,100","-3,091,100","-28,658",-,"-2,302,797",-,"218,986","-638,165","857,151",-,-,"-1,090,578",-,-,-,-,-,-,-,-,-,"111,947","2,716,801","2,716,801","-297,542","-104,444",-,"-104,444","-193,098",-,"-350,000","-350,000",-,-,-,"-127,231","-109,863","-17,368","1,395",-,"1,332,202","47,760","1,284,442",-,"33,014","130,473","-28,658",-,-,"-104,444","-350,000","393,401"
28,6/30/2016,"201,811","201,811","336,031","-5,078",-,"50,190","50,190","26,373","23,817","23,817","44,383","44,383",-,"-1,203","32,000","-254,512",-,-,-,"-188,982","-65,530","1,108,177","1,108,177","-20,312",-,"1,070,342",-,"573,643","-212,909","786,552",-,-,"-490,714",-,-,-,-,-,-,-,-,-,"-24,782","-1,203,721","-1,203,721","-1,355,169","-5,404",0,"-5,404","-1,349,765",-,"-154,000","-154,000",-,-,-,"-134,446","-111,179","-23,267",-815,-,"1,284,442","106,267","1,178,175",-,-,"110,654","-20,312",-,0,"-5,404","-154,000","181,499"
29,3/31/2016,"448,220","448,220","298,528","-5,399",-,"51,709","51,709","27,141","24,568","24,568","50,075","50,075",-,"8,940","49,000","-4,633",-,-,-,211,"-4,844","-2,015,275","-2,015,275","-16,307",-,"-1,950,831",-,"346,055","-316,769","662,824",-,-,"-439,712",-,-,-,-,-,-,-,-,-,"45,520","1,377,190","1,377,190","-661,025","-317,187",0,"-317,187","-343,838",-,"-100,000","-100,000",-,-,-,"-129,368","-112,000","-17,368","2,960",-,"1,178,175","-189,865","1,368,040",-,-,"146,568","-16,307",-,0,"-317,187","-100,000","431,913"
30,12/31/2015,"494,568","494,568","270,965","-5,790",-,"47,855","47,855","25,103","22,752","22,752","376,455","376,455",-,"3,254","58,000","-256,171",-,-,-,"90,356","-346,527","9,307,352","9,307,352","-39,192",-,"4,687,850",-,"6,636,478","-391,370","7,027,848",-,-,"-118,084",-,-,-,-,-,-,-,-,-,"72,896","-9,683,584","-9,683,584","-10,736,678","-8,588,166",0,"-8,588,166","-2,148,512",-,-,-,-,-,-,"-117,135","-93,868","-23,267","29,692",-,"1,368,040","118,336","1,249,704",-,"5,644","165,340","-39,192",-,0,"-8,588,166",-,"455,376"
31,9/30/2015,"689,757","689,757","280,401","-13,332",-,"41,965","41,965","25,717","16,248","16,248","-9,743","-9,743",-,"1,699","44,000","344,767",-,-,-,"310,651","34,116","-1,038,489","-1,038,489","-19,349",-,"-667,414",-,"339,148","-313,229","652,377",-,-,"-743,399",-,-,-,-,-,-,-,-,-,"52,525","247,578","247,578","19,201","-1,283",0,"-1,283","20,484",-,-,-,0,0,-,"-111,239","-93,871","-17,368","24,413",-,"1,249,704","-101,154","1,350,858",-,"147,909","85,734","-19,349",0,0,"-1,283",-,"670,408"
32,6/30/2015,"99,717","99,717","286,688","-47,571",-,"42,359","42,359","24,021","18,338","18,338","-7,168","-7,168",-,"1,697","30,000","-206,288",-,-,-,"-275,385","69,097","1,247,755","1,247,755","-13,797",-,"2,245,639",-,"-464,567","-1,159,192","694,625",-,-,"-799,041",-,-,-,-,-,-,-,-,-,"279,521","-1,363,467","-1,363,467","-361,424","-321,228",0,"-321,228","-40,196",-,-,-,0,0,-,"-116,914","-93,647","-23,267","61,675",-,"1,350,858","-15,995","1,366,853",-,"136,529","73,479","-13,797",0,0,"-321,228",-,"85,920"
33,3/31/2015,"458,366","458,366","241,613","-1,066",-,"43,170","43,170","24,178","18,992","18,992","37,052","37,052",-,"2,379","38,000","97,218",-,-,-,"197,708","-100,490","-1,802,336","-1,802,336","-9,598",-,"179,376",-,"-1,360,099","-1,879,281","519,182",-,-,"-666,220",-,-,-,-,-,-,-,-,-,"54,205","1,337,466","1,337,466","1,499,022","1,498,203","1,500,000","-1,797",819,-,-,-,0,0,-,"-110,999","-93,631","-17,368","-46,014",-,"1,366,853","-6,504","1,373,357",-,"88,578","75,776","-9,598",0,"1,500,000","-1,797",-,"448,768"
34,12/31/2014,"324,531","324,531","277,549","-3,088",-,"45,988","45,988","21,980","24,008","24,008","59,071","59,071",-,"1,479","33,000","-89,468",-,-,-,"-126,156","36,688","419,097","419,097","-22,761",-,"1,205,197",-,"400,366","-43,322","443,688",-,-,"-1,000,590",-,-,-,-,-,-,-,-,-,"-163,115","-893,914","-893,914","-24,566","-52,633",0,"-52,633","28,067",-,-,-,0,0,-,"-116,349","-93,081","-23,268","5,791",-,"1,373,357","-150,286","1,523,643",-,"82,291","72,176","-22,761",0,0,"-52,633",-,"301,770"
35,9/30/2014,"305,006","305,006","275,344","-1,780",-,"49,445","49,445","25,383","24,062","24,062","-7,187","-7,187",-,"3,099","29,000","-42,915",-,-,-,"-31,904","-11,011","-6,816,532","-6,816,532","-12,653",-,"-4,643,534",-,"-1,245,247","-1,705,305","460,058",-,-,"-853,769",-,-,-,-,-,-,-,-,-,"-61,329","6,117,733","6,117,733","1,687,471","1,684,493","1,697,790","-13,297","2,978",-,-,-,0,0,-,"-110,602","-92,984","-17,618","27,847",-,"1,523,643","-393,793","1,917,436",-,-,-,"-12,653",0,"1,697,790","-13,297",-,"292,353"
36,6/30/2014,"-91,594","-91,594","284,336","-1,139",-,"50,735","50,735","24,425","26,310","26,310","-1,292","-1,292",-,898,"30,000","-455,132",-,-,-,"-314,927","-140,205","-1,871,898","-1,871,898","-21,022",-,"266,655",-,"-1,631,712","-1,960,064","328,352",-,-,"-346,252",-,-,-,-,-,-,-,-,-,"-139,567","2,117,810","2,117,810","1,072,322","1,140,900","1,149,000","-8,100","-68,578",-,-,-,0,0,-,"-115,996","-92,728","-23,268","30,719",-,"1,917,436","154,318","1,763,118",-,-,-,"-21,022",0,"1,149,000","-8,100",-,"-112,616"
37,3/31/2014,"561,098","561,098","229,017",-852,-,"52,562","52,562","24,708","27,854","27,854","42,256","42,256",-,"1,117","32,000","204,998",-,-,-,"122,406","82,592","-3,441,038","-3,441,038","-16,725",-,"-1,648,047",-,"-1,454,568","-1,713,343","258,775",-,-,"-220,551",-,-,-,-,-,-,-,-,-,"-101,147","2,970,124","2,970,124","1,116,197","1,146,443","1,498,688","-352,245","-30,246",-,-,-,"346,500","346,500",-,"-98,486","-92,406","-6,080","24,208",-,"1,763,118","90,184","1,672,934",-,"4,789","61,841","-16,725","346,500","1,498,688","-352,245",-,"544,373"
38,12/31/2013,"428,647","428,647","221,422","-3,515",-,"53,749","53,749","24,922","28,827","28,827","46,556","46,556",-,"1,714","42,000","66,721",-,-,-,"134,716","-67,995","-1,641,444","-1,641,444","-43,599",-,"274,673",-,"-328,577","-547,492","218,915",-,-,"-782,371",-,-,-,-,-,-,-,-,-,"-712,641","825,978","825,978","12,161","-2,275",0,"-2,275","14,436",-,-,-,-,-,-,"-113,787","-91,831","-21,956","18,031",-,"1,672,934","-386,819","2,059,753",-,"57,891","75,399","-43,599",-,0,"-2,275",-,"385,048"
39,9/30/2013,"-112,819","-112,819","294,479","-65,241",-,"50,134","50,134","23,193","26,941","26,941","62,856","62,856",-,"1,161","48,000","-504,208",-,-,-,"-587,994","83,786","229,368","229,368","-42,301",-,"629,543",-,"-1,259,209","-1,577,405","318,196","13,473","13,473","1,134,344",-,-,-,-,-,-,-,-,-,"-246,482","468,702","468,702","-63,480","-1,759",0,"-1,759","-61,721",-,-,-,-,-,-,"-96,445","-91,676","-4,769","78,417",-,"2,059,753","585,251","1,474,502",-,"104,711","74,598","-42,301",-,0,"-1,759",-,"-155,120"
40,6/30/2013,"-81,902","-81,902","348,466","-56,458",-,"49,274","49,274","21,327","27,947","27,947","11,120","11,120",-,"1,485","57,000","-492,789",-,-,-,"-426,427","-66,362","-419,729","-419,729","-26,992",-,"-1,250,584",-,"1,407,441","-38,322","1,445,763","19,956","19,956","-632,995",-,-,-,-,-,-,-,-,-,"63,445","150,066","150,066","-320,571","-253,718",0,"-253,718","-66,853",-,-,-,-,-,-,"-113,010","-91,054","-21,956","9,991",-,"1,474,502","-351,565","1,826,067",-,"216,861","79,631","-26,992",-,0,"-253,718",-,"-108,894"
41,3/31/2013,"698,398","698,398","274,113","-2,676",-,"50,578","50,578","22,027","28,551","28,551","19,253","19,253",-,"13,558","38,000","305,572",-,-,-,"205,643","99,929","-371,773","-371,773","-16,671",-,"-1,174,825",-,"413,620","-20,881","434,501","15,500","15,500","404,142",-,-,-,-,-,-,-,-,-,"-13,539","-487,173","-487,173","96,411","796,300","799,760","-3,460","-699,889",-,-,-,-,-,-,"-95,557","-90,788","-4,769","31,528",-,"1,826,067","-160,548","1,986,615",-,"9,545","72,106","-16,671",-,"799,760","-3,460",-,"681,727"
42,12/31/2012,"26,205","26,205","296,193","-1,798",-,"49,773","49,773","21,031","28,742","28,742","23,159","23,159",-,"17,285","49,000","-407,407",-,-,-,"-396,233","-11,174","-1,334,436","-1,334,436","-25,572",-,"282,049",-,"540,234","2,710","537,524","21,446","21,446","-2,100,408",-,-,-,-,-,-,0,-,-,"-52,185","1,671,918","1,671,918","129,474","-352,854",-,"-352,854","482,328",-,-,-,0,-,-,"-112,192","-90,236","-21,956","48,379",-,"1,986,615","363,687","1,622,928",-,"133,096","90,904","-25,572",-,-,"-352,854",-,633
43,9/30/2012,"-170,852","-170,852","293,462","-1,284",-,"51,572","51,572","21,582","29,990","29,990",-,-,-,"6,829","46,000","-664,066",-,-,-,"-494,642","-169,424","329,681","329,681","-19,055",0,"657,723",-,"489,485","-21,462","510,947",-,-,"-766,699",-,-,-,-,-,-,0,-,-,"-112,535","41,268","41,268","-1,104,195","-720,774",-,"-720,774","-383,421",-,-,-,0,-,-,"-92,804","-88,035","-4,769","-223,515",-,"1,622,928","200,097","1,422,831",-,"68,253","88,317","-19,055",-,-,"-720,774",-,"-189,907"
