,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Funds Sold,Security Agree to be Resold,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Net Loan,Gross Loan,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Deferred Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Payables And Accrued Expenses,Payables,Accounts Payable,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Non Current Deferred Liabilities,Non Current Deferred Revenue,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
0,3/31/2023,"202,956,407","24,124,165","24,124,165","1,817,740",-,"22,306,425",-,0,0,-,"28,608,425","165,216","28,443,209","16,115,391","5,052,772","130,962,582","132,937,692","43,758,361","20,316,845","68,862,486","133,531,052","1,975,110","-593,360","8,914,959","8,914,959",-,-,"1,664,021",-,-,-,-,-,-,-,"8,682,255","8,490,089","192,166",-,"10,578,980","177,579,236","159,075,240","99,120,207","99,120,207","59,955,033",-,-,-,"4,045,804","4,045,804","4,045,804",-,"6,995,302","6,995,302","6,995,302","7,462,890","7,462,890",-,-,-,-,-,"25,377,171","25,377,171","25,377,171","2,010,600","23,366,571","16,212,095","9,986,325","2,277,519","-645,005",-,"32,840,061","2,010,600","23,366,571",-,"16,694,916","37,824,763","14,684,316","14,458,192",-,"179,437","165,853","10,000","13,584"
1,12/31/2022,"200,729,841","26,478,963","26,475,963","1,517,244",-,"24,958,719","3,000","3,000","3,000",-,"25,328,718","117,847","25,210,871","13,392,115","3,168,882","129,638,832","131,564,163","41,850,566","20,593,079","69,120,518",-,"1,925,331","-509,993","11,512,089","8,930,237",-,"2,581,852","1,653,628","2,809,515","148,905","653,983","1,004,242","386,303","616,082","-1,155,887","8,699,463","8,490,089","209,374",-,"10,583,865","175,411,851","163,514,868","98,013,008","98,013,008","65,501,860","354,670",-,-,"4,377,495","4,377,495","4,377,495",-,"3,554,951","3,554,951","3,554,951","3,964,537","3,964,537","5,183",-,-,-,-,"25,317,990","25,317,990","25,317,990","2,010,600","23,307,390","15,753,978","10,002,891","1,750,279","-790,030",-,"29,282,527","2,010,600","23,307,390",-,"16,618,527","30,826,878","14,607,927","7,519,488",-,"179,437","169,271","10,000","10,165"
2,9/30/2022,"197,955,479","27,647,338","27,647,338","2,255,810",-,"25,391,528",-,0,-,-,"24,733,437","129,672","24,603,765","12,606,639","3,336,553","126,349,996","128,225,587","38,807,949","20,204,693","69,212,945","128,608,538","1,875,591","-382,951","8,876,038","8,876,038",-,-,"1,620,339",-,-,-,-,-,-,-,"8,728,331","8,501,357","226,974",-,"10,496,377","172,698,986","163,845,388","90,822,117","90,822,117","73,023,271",-,-,-,"4,476,456","4,476,456","4,476,456",-,"917,806","917,806","917,806","3,459,336","3,459,336",-,-,-,-,-,"25,256,493","25,256,493","25,256,493","2,010,600","23,245,893","15,219,828","9,994,395","1,159,153","-899,993",-,"28,715,829","2,010,600","23,245,893",-,"16,528,162","27,623,035","14,517,562","4,377,142",-,"179,437","172,886","10,000","6,551"
3,6/30/2022,"204,032,889","35,375,978","35,125,728","1,688,274",-,"33,437,454","250,250","250,250",-,-,"23,080,413","278,696","22,801,717","12,990,949","3,731,799","126,662,330","128,486,120","39,108,676","19,815,198","69,562,246","128,685,278","1,823,790","-199,158","8,712,122","8,712,122",-,-,"1,600,172",-,-,-,-,-,-,-,"8,746,715","8,501,357","245,358",-,"10,167,453","178,238,358","170,358,396","97,982,881","97,982,881","72,375,515",-,-,-,"3,743,278","3,743,278","3,743,278",-,"1,119,321","1,119,321","1,119,321","3,017,363","3,017,363",-,-,-,-,-,"25,794,531","25,794,531","25,794,531","2,010,600","23,783,931","14,808,637","9,986,881","595,905","-506,490",-,"28,811,894","2,010,600","23,783,931",-,"17,047,816","27,920,615","15,037,216","4,136,684",-,"179,437","175,955","10,000","3,482"
4,3/31/2022,"149,863,552","37,436,842","37,436,842","1,411,460",-,"36,025,382",-,0,0,-,"9,554,390","197,558","9,356,832","3,177,413","2,805,337","90,336,033","91,808,392","23,496,017","18,162,938","50,149,437","92,004,751","1,472,359","-196,359","6,738,715","6,738,715",-,-,"1,134,718",-,-,-,-,-,-,-,"4,595,854","4,593,112","2,742","67,000","7,940,433","131,987,532","126,318,713","67,798,347","67,798,347","58,520,366",-,-,-,"2,174,925","2,174,925","2,174,925",-,"50,307","50,307","50,307","3,443,587","3,443,587",-,-,"45,000","45,000",-,"17,876,020","17,876,020","17,876,020","1,750,000","16,126,020","14,830,671","6,611,659","5,019,870","-377,385",-,"21,319,607","1,750,000","16,126,020",-,"13,280,166","19,619,914","11,530,166","3,493,894",-,"159,742","129,066",-,"30,676"
5,12/31/2021,"155,107,160","43,209,881","43,209,881","1,337,577",-,"41,872,304",-,0,0,-,"7,623,891","468,031","7,155,860","2,607,047","445,777","91,443,226","92,912,452","23,473,324","17,974,953","51,464,175",-,"1,469,226","-224,226","8,184,933","7,088,287",-,"1,096,646","1,144,765","2,171,645","93,862","512,988","880,268","304,825","379,702","-1,026,880","4,597,110","4,593,112","3,998",-,"8,233,052","137,203,755","131,543,409","71,411,929","71,411,929","60,131,480","47,046","47,046",-,"2,127,931","2,127,931","2,127,931",-,"47,046","47,046","47,046","3,485,369","3,485,369","1,578",-,-,-,-,"17,903,405","17,903,405","17,903,405","1,750,000","16,153,405","14,646,448","6,635,000","5,081,548","-127,578",-,"21,388,774","1,750,000","16,153,405",-,"13,306,295","19,685,820","11,556,295","3,532,415",-,"159,742","128,689",-,"31,053"
6,9/30/2021,"151,901,194","39,925,500","39,925,500","1,479,712",-,"38,445,788",-,0,0,-,"7,072,178","624,556","6,447,622","2,359,551","3,480,006","92,067,870","93,582,894","22,514,940","17,834,648","53,233,306","93,872,912","1,515,024","-290,018","7,118,679","7,118,679",-,-,"1,117,903",-,-,-,-,-,-,-,"4,599,064","4,593,112","5,952",-,"8,236,582","134,372,423","128,701,296","72,158,987","72,158,987","56,542,309",-,-,-,"2,067,188","2,067,188","2,067,188",-,"103,548","103,548","103,548","3,500,391","3,500,391",-,-,-,-,-,"17,528,771","17,528,771","17,528,771","1,750,000","15,778,771","14,365,913","6,624,656","5,082,446","-210,419",-,"21,029,162","1,750,000","15,778,771",-,"12,929,707","19,382,710","11,179,707","3,603,939",-,"159,742","128,684",-,"31,058"
7,6/30/2021,"150,622,707","35,275,292","35,275,292","1,410,468",-,"33,864,824",-,0,0,-,"6,855,735","712,558","6,143,177","1,717,827","3,824,401","95,538,304","97,113,432","25,409,291","17,440,415","54,263,726","97,487,955","1,575,128","-374,523","7,234,871","7,234,871",-,-,"1,116,703",-,-,-,-,-,-,-,"4,601,802","4,593,112","8,690",-,"8,351,574","133,902,403","128,268,772","72,647,542","72,647,542","55,621,230",-,-,-,"2,042,948","2,042,948","2,042,948",-,"91,235","91,235","91,235","3,499,448","3,499,448",-,-,-,-,-,"16,720,304","16,720,304","16,720,304","1,250,000","15,470,304","14,030,215","6,620,528","5,084,515","-176,974",-,"20,219,752","1,250,000","15,470,304",-,"12,118,502","19,060,987","10,868,502","3,590,683",-,"159,742","128,671",-,"31,071"
8,3/31/2021,"150,481,060","32,667,216","32,666,216","1,258,989",-,"31,407,227","1,000","1,000","1,000",-,"7,298,026","687,359","6,610,667","1,774,459","4,231,282","97,662,874","99,299,080","27,811,190","16,712,233","54,775,657","99,691,141","1,636,206","-392,061","7,099,464","7,099,464",-,-,"1,148,941",-,-,-,-,-,-,-,"4,604,539","4,593,112","11,427",-,"8,248,405","134,034,552","128,476,365","74,834,946","74,834,946","53,641,419",-,-,-,"2,000,727","2,000,727","2,000,727",-,"58,957","58,957","58,957","3,498,503","3,498,503",-,-,-,-,-,"16,446,508","16,446,508","16,446,508","1,250,000","15,196,508","13,731,893","6,611,150","5,089,093","-138,478",-,"19,945,011","1,250,000","15,196,508",-,"11,841,969","18,753,968","10,591,969","3,557,460",-,"159,742","128,643",-,"31,099"
9,12/31/2020,"142,601,105","25,216,553","25,216,553","1,552,743",-,"23,663,810",-,0,0,-,"8,114,278","1,068,581","7,045,697","1,647,187","505,674","96,799,480","98,535,867","27,574,564","16,570,421","54,390,882",-,"1,736,387","-339,921","7,948,855","6,701,959",-,"1,246,896","1,161,558","2,139,470","94,929","513,290","816,331","302,246","412,674","-977,912","4,607,277","4,593,112","14,165",-,"7,863,517","126,413,822","119,805,738","72,232,854","72,232,854","47,572,884","59,482","59,482",0,"2,166,409","2,166,409","2,166,409",-,"59,482","59,482","59,482","4,382,193","4,382,193","1,683",-,-,-,-,"16,187,283","16,187,283","16,187,283","1,250,000","14,937,283","13,444,428","6,617,404","5,142,732","-63,032",-,"20,569,476","1,250,000","14,937,283",-,"11,580,006","19,378,958","10,330,006","4,441,675",-,"159,742","128,315",-,"31,427"
10,9/30/2020,"138,626,743","21,687,169","21,687,169","1,489,232",-,"20,197,937",-,0,0,-,"8,938,577","1,215,573","7,723,004","1,934,014","5,175,604","96,688,543","98,447,048","27,891,648","16,309,608","54,245,792","98,849,533","1,758,505","-402,485","5,555,367","5,555,367",-,-,"1,146,681",-,-,-,-,-,-,-,"4,610,406","4,593,112","17,294",-,"6,702,048","122,525,730","115,163,339","70,961,669","70,961,669","44,201,670",-,-,-,"1,857,383","1,857,383","1,857,383",-,"46,123","46,123","46,123","5,458,885","5,458,885",-,-,-,-,-,"16,101,013","16,101,013","16,101,013","1,250,000","14,851,013","13,132,374","6,609,573","5,147,635","175,503",-,"21,559,898","1,250,000","14,851,013",-,"11,490,607","20,356,021","10,240,607","5,505,008",-,"159,742","128,285",-,"31,457"
11,6/30/2020,"139,536,969","22,243,156","22,243,156","1,354,815",-,"20,888,341",-,0,0,-,"9,747,878","1,293,534","8,454,344","2,154,308","5,700,940","96,119,312","97,757,548","29,203,862","15,782,773","52,770,913",-,"1,638,236",-,"5,657,022","5,657,022",-,-,"1,155,281",-,-,-,-,-,-,-,"4,614,320","4,593,112","21,208",-,"6,812,303","123,591,864","114,967,959","69,570,116","69,570,116","45,397,843",-,-,-,"2,250,316","2,250,316","2,250,316",-,"52,298","52,298","52,298","6,321,291","6,321,291",-,-,-,-,-,"15,945,105","15,945,105","15,945,105","1,250,000","14,695,105","12,919,345","6,599,069","5,149,118","244,630",-,"22,266,396","1,250,000","14,695,105",-,"11,330,785","21,068,694","10,080,785","6,373,589",-,"159,742","128,276",-,"31,466"
12,3/31/2020,"119,872,757","8,626,459","8,622,959","1,432,805",-,"7,190,154","3,500","3,500","3,500",-,"9,967,380","470,129","9,497,251","2,296,048","6,023,250","89,871,798","90,922,869","23,838,168","15,386,693","51,698,008",-,"1,051,071",-,"5,671,753","5,671,753",-,-,"1,154,558",-,-,-,-,-,-,-,"4,622,146","4,593,112","29,034",-,"6,784,974","104,156,108","94,770,069","62,373,662","62,373,662","32,396,407",-,-,-,"2,337,490","2,337,490","2,337,490",-,"62,363","62,363","62,363","6,986,186","6,986,186",-,-,-,-,-,"15,716,649","15,716,649","15,716,649","1,250,000","14,466,649","12,837,390","6,588,407","5,150,999","209,833",-,"22,702,835","1,250,000","14,466,649",-,"11,094,503","21,515,198","9,844,503","7,048,549",-,"159,742","128,265",-,"31,477"
13,12/31/2019,"119,872,757","8,626,459","8,622,959","1,432,805",-,"7,190,154","3,500","3,500","3,500",-,"9,967,380","470,129","9,497,251","2,287,486","828,508","89,871,798","90,922,869","23,838,168","15,386,693","51,698,008",-,"1,051,071","-265,656","7,056,247","5,644,050",-,"1,412,197","1,140,924","2,031,621","96,118","482,182","753,956","262,438","436,927","-890,697","4,622,146","4,593,112","29,034",-,"6,784,974","104,156,108","94,770,069","62,373,662","62,373,662","32,396,407","164,042","62,363","101,679","2,337,490","2,337,490","2,337,490",-,"62,363","62,363","62,363","6,986,186","6,986,186","1,815",-,-,-,-,"15,716,649","15,716,649","15,716,649","1,250,000","14,466,649","12,820,916","6,593,539","4,822,563","-206,680",-,"22,702,835","1,250,000","14,466,649",-,"11,094,503","21,515,198","9,844,503","7,048,549",-,"159,742","130,567",-,"29,174"
14,9/30/2019,"125,500,926","14,314,585","14,314,385","1,818,861",-,"12,495,524",200,200,200,-,"11,291,839","614,256","10,677,583","2,530,823","7,350,217","88,784,756","89,823,193","23,201,372","15,175,635","51,446,186",-,"1,038,437",-,"5,409,114","5,409,114",-,-,"1,074,181",-,-,-,-,-,-,-,"4,626,451","4,593,112","33,339",-,"6,483,295","109,721,115","95,113,933","63,347,209","63,347,209","31,766,724",-,-,-,"2,090,762","2,090,762","2,090,762",-,"5,513,896","5,513,896","5,513,896","7,002,524","7,002,524",-,-,-,-,-,"15,779,811","15,779,811","15,779,811","1,250,000","14,529,811","12,490,233","6,584,705","4,546,237","-80,308",-,"22,782,335","1,250,000","14,529,811",-,"11,153,360","27,046,231","9,903,360","12,516,420",-,"159,763","132,277",-,"27,486"
15,6/30/2019,"121,554,895","10,063,364","10,063,364","1,271,611",-,"8,791,753",-,0,0,-,"12,059,652","479,403","11,580,249","2,655,476","8,195,490","88,848,191","89,878,058","23,431,408","14,558,538","51,888,112",-,"1,029,867",-,"4,885,637","4,885,637",-,-,"1,066,511",-,-,-,-,-,-,-,"4,631,540","4,593,112","38,428",-,"5,952,148","105,863,068","91,681,024","60,933,078","60,933,078","30,747,946",-,-,-,"1,915,147","1,915,147","1,915,147",-,"4,611,390","4,611,390","4,611,390","7,655,507","7,655,507",-,-,-,-,-,"15,691,827","15,691,827","15,691,827","1,231,500","14,460,327","12,162,278","6,577,603","4,247,993","-112,958",-,"23,347,334","1,231,500","14,460,327",-,"11,060,287","26,727,224","9,828,787","12,266,897","2,203,533","159,742","134,179",381.5,"25,563"
16,3/31/2019,"120,025,205","8,870,157","8,870,157","1,267,260",-,"7,602,897",-,0,0,-,"12,813,162","276,322","12,536,840","2,767,523","9,137,963","87,620,546","88,639,883","23,090,204","14,088,816","51,460,863",-,"1,019,337",-,"5,039,520","5,039,520",-,-,"1,044,761",-,-,-,-,-,-,-,"4,637,059","4,593,112","43,947",-,"6,084,281","104,437,676","90,469,750","60,502,997","60,502,997","29,966,753",-,-,-,"1,889,336","1,889,336","1,889,336",-,"3,602,566","3,602,566","3,602,566","8,476,024","8,476,024",-,-,-,-,-,"15,587,529","15,587,529","15,587,529","1,231,500","14,356,029","11,842,371","6,568,480","3,848,198","-288,009",-,"24,063,553","1,231,500","14,356,029",-,"10,950,470","26,434,619","9,718,970","12,078,590","3,208,433","159,764","136,637",381.5,"23,127"
17,12/31/2018,"120,097,403","9,710,636","9,710,636","1,605,439",-,"8,105,197",-,-,-,-,"12,878,397","185,584","12,692,813","2,739,054","2,388,955","87,447,033","88,466,477","22,977,976","13,970,499","51,518,002",-,"1,019,444","-267,015","6,180,651","4,773,750",-,"1,406,901","647,408","1,491,659","97,082","465,482","688,364","240,731",-,"-844,251","4,640,179","4,593,112","47,067",-,"5,421,158","104,637,212","90,156,572","57,899,904","57,899,904","32,256,668","607,532","198,378","409,154","1,637,348","1,637,348","1,637,348",-,"4,398,378","4,398,378","4,398,378","8,444,914","8,444,914","576,446",-,-,-,-,"15,460,191","15,460,191","15,460,191","1,231,500","14,228,691","11,516,672","6,579,342","3,528,851","-420,081",-,"23,905,105","1,231,500","14,228,691",-,"10,820,012","27,071,983","9,588,512","12,843,292","3,132,656","159,765","138,510",381.5,"21,255"
18,9/30/2018,"116,827,637","7,835,357","7,835,357","1,311,611",-,"6,523,746",-,-,-,-,"13,198,919","125,038","13,073,881","2,969,945","9,122,668","85,660,997","86,680,485","21,635,394","13,805,317","51,239,774",-,"1,019,488",-,"4,852,402","4,852,402",-,-,"634,424",-,-,-,-,-,-,-,"4,645,538","4,593,112","52,426",-,"5,486,826","101,391,552","89,140,396","57,366,836","57,366,836","31,773,560",-,-,-,"1,800,778","1,800,778","1,800,778",-,"1,310,110","1,310,110","1,310,110","9,140,268","9,140,268",-,-,-,-,-,"15,436,085","15,436,085","15,436,085","1,231,500","14,204,585","11,128,343","6,585,447","3,048,405","-542,399",-,"24,576,353","1,231,500","14,204,585",-,"10,790,547","24,654,963","9,559,047","10,450,378","2,615,021","159,766","141,454",381.5,"18,312"
19,6/30/2018,"118,426,053","8,039,079","8,037,579","1,367,594",-,"6,669,985","1,500","1,500","1,500",-,"13,431,305","148,303","13,283,002","3,093,465","9,111,457","86,778,202","87,797,450","21,894,857","13,453,944","52,448,649","88,059,392","1,019,248","-261,942","4,887,977","4,887,977",-,-,"637,809",-,-,-,-,-,-,-,"4,651,681","4,593,112","58,569",-,"5,525,786","102,848,168","89,272,588","57,186,397","57,186,397","32,086,191",-,-,-,"1,953,848","1,953,848","1,953,848",-,"3,239,416","3,239,416","3,239,416","8,382,316","8,382,316",-,-,-,-,-,"15,577,885","15,577,885","15,577,885","1,231,500","14,346,385","10,763,638","6,579,395","2,560,282","-517,941",-,"23,960,201","1,231,500","14,346,385",-,"10,926,204","25,968,117","9,694,704","11,621,732","3,584,153","159,767","144,237",381.5,"15,530"
20,3/31/2018,"118,622,824","7,428,098","7,427,098","1,291,664",-,"6,135,434","1,000","1,000","1,000",-,"14,207,698","141,134","14,066,564","3,217,346","9,047,140","86,691,078","87,710,749","21,697,522","13,298,775","52,714,452",-,"1,019,671",-,"5,009,175","5,009,175",-,-,"628,706",-,-,-,-,-,-,-,"4,658,069","4,593,112","64,957",-,"5,637,881","102,913,130","90,946,630","59,129,114","59,129,114","31,817,516",-,-,-,"1,749,320","1,749,320","1,749,320",-,"1,626,129","1,626,129","1,626,129","8,591,051","8,591,051",-,-,-,-,-,"15,709,694","15,709,694","15,709,694","1,231,500","14,478,194","10,404,458","6,572,281","2,096,861","-483,243",-,"24,300,745","1,231,500","14,478,194",-,"11,051,625","24,695,374","9,820,125","10,217,180","2,790,082","159,793","146,799",381.5,"12,994"
21,12/31/2017,"118,593,487","6,499,791","6,499,791","1,420,888",-,"5,078,903",-,-,-,-,"14,797,434","132,909","14,664,525","3,202,169","1,291,427","86,971,785","87,988,983","21,742,651","13,266,615","52,979,717",-,"1,017,198","-253,903","6,438,887","5,013,325",-,"1,425,562","646,451","1,487,347","98,077","454,610","694,704","239,956",-,"-840,896","4,664,701","4,593,112","71,589",-,"5,659,776","102,342,668","92,432,146","58,456,966","58,456,966","33,975,180","596,870","175,099","421,771","1,593,993","1,593,993","1,593,993",-,"175,099","175,099","175,099","8,141,430","8,141,430","576,876",-,-,-,-,"16,250,819","16,250,819","16,250,819","1,231,500","15,019,319","10,164,804","6,590,855","1,454,282","-363,814",-,"24,392,249","1,231,500","15,019,319",-,"11,586,118","23,335,848","10,354,618","8,316,529","1,816,738","159,818","150,084",381.5,"9,733"
22,9/30/2017,"120,401,804","7,674,736","7,674,736","1,368,252",-,"6,306,484",-,-,-,-,"15,244,442","170,516","15,073,926","3,242,124","11,416,824","86,911,808","87,925,134","21,743,251","13,002,433","53,179,450",-,"1,013,326",-,"5,242,379","5,242,379",-,-,"656,713",-,-,-,-,-,-,-,"4,671,726","4,593,112","78,614",-,"5,899,092","104,083,752","93,513,393","60,402,147","60,402,147","33,111,246","200,768","200,768",-,"1,791,946","1,791,946","1,791,946",-,"200,768","200,768","200,768","8,577,645","8,577,645",-,-,-,-,-,"16,318,052","16,318,052","16,318,052","1,231,500","15,086,552","9,909,415","6,598,048","1,254,733","-247,915",-,"24,895,697","1,231,500","15,086,552",-,"11,646,326","23,864,965","10,414,826","8,778,413","1,103,677","159,820","151,264",381.5,"8,556"
23,6/30/2017,"120,896,567","6,369,307","6,368,307","1,344,478",-,"5,023,829","1,000","1,000","1,000",-,"15,990,706","174,646","15,816,060","3,388,268","11,928,865","88,072,330","89,080,555","22,191,051","12,580,342","54,309,162",-,"1,008,225",-,"5,111,138","5,111,138",-,-,"673,552",-,-,-,-,-,-,-,"4,679,534","4,593,112","86,422",-,"5,784,690","104,613,030","93,540,938","61,174,512","61,174,512","32,366,426","195,453","195,453",-,"1,727,059","1,727,059","1,727,059",-,"1,695,453","1,695,453","1,695,453","7,649,580","7,649,580",-,-,-,-,-,"16,283,537","16,283,537","16,283,537","1,231,500","15,052,037","9,685,478","6,604,930","1,050,141","-270,081",-,"23,933,117","1,231,500","15,052,037",-,"11,604,003","24,397,070","10,372,503","9,345,033","2,976,726","159,822","152,511",381.5,"7,311"
24,3/31/2017,"123,223,251","8,232,111","8,232,111","1,286,962",-,"6,945,149",-,-,-,-,"16,143,269","174,854","15,968,415","2,876,119","12,631,000","88,311,572","89,313,002","22,295,376","12,221,481","54,796,145",-,"1,001,430",-,"5,175,883","5,175,883",-,-,"672,769",-,-,-,-,-,-,-,"4,687,647","4,593,112","94,535",-,"5,848,652","107,010,147","97,042,521","62,762,930","62,762,930","34,279,591","185,102","185,102",-,"1,694,905","1,694,905","1,694,905",-,"185,102","185,102","185,102","8,087,619","8,087,619",-,-,-,-,-,"16,213,104","16,213,104","16,213,104","1,231,500","14,981,604","9,437,450","6,603,355","849,468","-291,567",-,"24,300,723","1,231,500","14,981,604",-,"11,525,457","23,254,325","10,293,957","8,272,721","40,610","159,825","153,752",381.5,"6,073"
25,12/31/2016,"123,449,206","6,321,187","6,321,187","1,320,549",-,"5,000,638",-,-,-,-,"16,574,335","323,867","16,250,468","2,299,574","914,699","89,864,419","90,853,416","22,610,047","12,146,063","56,097,306",-,"988,997","-248,261","6,742,745","5,323,235",-,"1,419,510","675,263","1,437,117","104,671","448,442","651,068","232,936",-,"-761,854","4,690,767","4,593,112","97,655",-,"5,998,498","106,962,584","95,493,876","63,037,774","63,037,774","32,456,102","1,248,136","163,442","1,084,694","1,811,431","1,811,431","1,811,431",-,"163,442","163,442","163,442","9,493,835","9,493,835","1,154,737",-,-,-,-,"16,486,622","16,486,622","16,486,622","1,231,500","15,255,122","9,222,488","6,676,948","431,796","-294,636",-,"25,980,457","1,231,500","15,255,122",-,"11,795,855","24,912,399","10,564,355","9,657,277","3,336,090","159,946","156,181",381.5,"3,765"
26,9/30/2016,"126,841,028","12,109,838","12,109,838","1,332,202",-,"10,777,636",-,-,-,-,"15,222,162","488,588","14,733,574","2,409,950","11,862,567","88,670,371","89,646,492","21,917,163","12,066,147","55,663,182",-,"976,121",-,"5,478,420","5,478,420",-,-,"660,381",-,-,-,-,-,-,-,"4,699,856","4,593,112","106,744",-,"6,138,801","110,500,052","98,136,845","65,009,218","65,009,218","33,127,627","213,846","213,846",-,"1,938,201","1,938,201","1,938,201",-,"213,846","213,846","213,846","10,211,160","10,211,160",-,-,-,-,-,"16,340,976","16,340,976","16,340,976","1,231,500","15,109,476","9,021,965","6,689,812","569,941","-114,559",-,"26,552,136","1,231,500","15,109,476",-,"11,641,120","25,534,482","10,409,620","10,425,006",-,"159,950","154,953",381.5,"4,997"
27,6/30/2016,"123,820,584","9,759,281","9,759,281","1,284,442",-,"8,474,839",-,0,0,-,"15,469,215","506,131","14,963,084","2,574,421","11,918,974","87,551,502","88,521,998","21,469,242","11,811,277","55,241,479",-,"970,496",-,"5,672,727","5,672,727",-,-,"658,216",-,-,-,-,-,-,-,"4,709,643","4,593,112","116,531",-,"6,330,943","107,349,070","94,650,103","63,950,037","63,950,037","30,700,066","206,943","206,943",-,"1,963,093","1,963,093","1,963,093",-,"407,123","407,123","407,123","10,328,751","10,328,751",-,-,-,-,-,"16,471,514","16,471,514","16,471,514","1,231,500","15,240,014","8,801,305","6,690,671","233,121","-101,021",-,"26,800,265","1,231,500","15,240,014",-,"11,761,871","25,975,888","10,530,371","10,735,874","976,593","159,957","157,884",381.5,"2,074"
28,3/31/2016,"124,625,632","10,723,356","10,723,356","1,178,175",-,"9,545,181",-,-,-,-,"15,935,307","467,987","15,467,320","2,730,611","12,200,647","86,909,714","87,872,466","21,226,577","11,632,958","55,012,931",-,"962,752",-,"5,673,303","5,673,303",-,-,"662,891",-,-,-,-,-,-,-,"4,721,061","4,593,112","127,949",-,"6,336,194","108,270,579","94,214,576","64,505,358","64,505,358","29,709,218","206,709","206,709",-,"1,948,142","1,948,142","1,948,142",-,"1,766,826","1,766,826","1,766,826","10,341,035","10,341,035",-,-,-,-,-,"16,355,053","16,355,053","16,355,053","1,231,500","15,123,553","8,596,752","6,683,499","88,671","-150,189",-,"26,696,088","1,231,500","15,123,553",-,"11,633,992","27,231,414","10,402,492","12,107,861","1,384,505","159,964","159,123",151.5,841.082
29,12/31/2015,"122,787,884","8,962,390","8,962,390","1,368,040",-,"7,594,350",-,0,0,-,"15,930,222","273,783","15,656,439","2,859,709","12,242,671","86,533,507","87,489,499","20,422,338","11,599,747","55,467,414",-,"955,992","-229,735","7,315,021","5,961,703",-,"1,353,318","666,682","1,406,579","105,435","444,615","626,610","229,919",-,"-739,897","4,733,380","4,593,112","140,268",-,"6,628,385","106,614,595","91,957,841","62,847,206","62,847,206","29,110,635","2,049,827","150,546","1,899,281","1,870,714","1,870,714","1,870,714",-,"2,132,182","2,132,182","2,132,182","10,653,858","10,653,858","1,158,216",-,-,-,-,"16,173,289","16,173,289","16,173,289","1,231,500","14,941,789","8,430,502","6,680,768",-,"-251,627",-,"26,827,147","1,231,500","14,941,789",-,"11,439,909","27,727,829","10,208,409","12,786,040","3,823,650","159,564","159,564",781.5,-
30,9/30/2015,"97,797,062","5,962,970","5,962,970","1,249,704",-,"4,713,266",-,0,0,-,"14,835,249","340,710","14,494,539","2,998,486","11,159,509","67,606,450","68,540,248","20,233,177","11,375,472","36,931,599",-,"933,798",-,"5,278,913","5,278,913",-,-,"581,976",-,-,-,-,-,-,-,"3,531,504","3,513,325","18,179",-,"5,860,889","84,875,128","72,944,543","44,755,213","44,755,213","28,189,330","173,783","173,783",-,"1,582,513","1,582,513","1,582,513",-,"173,783","173,783","173,783","10,174,289","10,174,289",-,-,-,-,-,"12,921,934","12,921,934","12,921,934","1,231,500","11,690,434","8,273,747","3,511,182",-,"-163,473",-,"23,096,223","1,231,500","11,690,434",-,"9,390,430","22,038,506","8,158,930","10,348,072","4,385,102","133,275","133,275",781.5,-
