,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Expense,Non Interest Income,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Other Customer Services,Fees & Commission Expense,Trading Gain Loss,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Loans,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Equipment,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Insurance & Claims,Other G and A,Selling & Marketing Expense,Depreciation Amortization Depletion,Depreciation & amortization,Amortization,Amortization of Intangibles,Other Non Interest Expense,Special Income Charges,Gain on Sale of Business,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Other Special Charges,Other Non Operating Income Expenses,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income Discontinuous Operations,Net Income Extraordinary,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
0,ttm,"34,250,000","27,114,000","31,237,000","28,910,000","28,910,000","1,884,000",-,"443,000","4,123,000","2,535,000",-,"1,588,000",-,-,"7,136,000","6,424,000","6,424,000","6,424,000",-,-,-,"243,000","51,000","192,000",-,"469,000","-5,847,000","19,091,000","2,050,000",-,-,"1,807,000","12,442,000","8,425,000","8,425,000",-,-,"4,017,000","70,000","70,000","70,000","70,000","2,722,000","-72,000",-,"72,000",-,"-177,000",-,"9,240,000","1,880,000","7,044,000","7,360,000","7,360,000","7,360,000",0,-,"228,000","7,044,000",-,-,-,-,"21,267,000","7,360,000","7,417,384",-,"3,210,000","7,360,000","-72,000","-72,000",0,"-14,616"
1,3/31/2023,"8,903,000","7,186,000","9,754,000","8,723,000","8,723,000","615,000",-,"416,000","2,568,000","1,856,000",-,"712,000",-,-,"1,717,000","1,518,000","1,518,000","1,518,000",-,-,-,"117,000","117,000",-,-,"199,000","-2,795,000","4,945,000","508,000",-,-,"324,000","3,324,000","2,427,000","2,427,000",-,-,"897,000","14,000","14,000","14,000","14,000","775,000",-,-,-,-,-,-,"1,163,000","203,000","887,000","960,000","960,000","960,000",0,-,"57,000","887,000",2.32,2.31,"382,600","383,800","4,391,000","960,000","960,000",-,"14,000","960,000",-,-,0,0
2,12/31/2022,"9,040,000","7,197,000","9,158,000","8,360,000","8,360,000","548,000",-,"250,000","1,961,000","1,335,000",-,"626,000",-,-,"1,843,000","1,572,000","1,572,000","1,572,000",-,-,-,"280,000","88,000",-,-,"271,000","-2,416,000","5,329,000","554,000",-,-,"481,000","3,384,000","2,266,000","2,266,000",-,-,"1,118,000","25,000","25,000","25,000","25,000","885,000","249,000",-,"-72,000",-,"-177,000",-,"1,544,000","312,000","1,161,000","1,232,000","1,232,000","1,232,000",0,-,"57,000","1,161,000",3.03,3.03,"382,600","383,700","4,781,000","1,232,000","1,033,298",-,"25,000","1,232,000","249,000","249,000",0,"50,298"
3,9/30/2022,"8,805,000","7,003,000","8,200,000","7,578,000","7,578,000","499,000",-,"123,000","1,197,000","689,000",-,"508,000",-,-,"1,802,000","1,610,000","1,610,000","1,610,000",-,-,-,"7,000","7,000",-,-,"192,000","-1,669,000","4,949,000","502,000",-,-,"471,000","3,165,000","2,187,000","2,187,000",-,-,"978,000","17,000","17,000","17,000","17,000","794,000",0,-,-,-,-,-,"2,187,000","493,000","1,616,000","1,694,000","1,694,000","1,694,000",0,-,"57,000","1,616,000",4.21,4.20,"383,400","384,600","5,334,000","1,694,000","1,694,000",-,"17,000","1,694,000",0,0,0,0
4,6/30/2022,"8,232,000","6,517,000","7,095,000","6,605,000","6,605,000","435,000",-,"55,000","578,000","293,000",-,"285,000",-,-,"1,715,000","1,616,000","1,616,000","1,616,000",-,-,-,"-26,000","-26,000",-,-,"99,000","-1,085,000","4,583,000","481,000",-,-,"458,000","2,949,000","1,946,000","1,946,000",-,-,"1,003,000","14,000","14,000","14,000","14,000","681,000",0,-,-,-,-,-,"2,564,000","533,000","1,949,000","2,031,000","2,031,000","2,031,000",0,-,"57,000","1,949,000",4.98,4.96,"391,200","392,600","5,432,000","2,031,000","2,031,000",-,"14,000","2,031,000",0,0,0,0
5,3/31/2022,"8,173,000","6,397,000","6,784,000","6,367,000","6,367,000","402,000",-,"15,000","387,000","218,000",-,"169,000",-,-,"1,776,000","1,433,000","1,433,000","1,433,000",-,-,-,"-18,000","-18,000",-,-,"343,000","-677,000","4,551,000","513,000",-,-,"397,000","2,944,000","2,026,000","2,026,000",-,-,"918,000","14,000","14,000","14,000","14,000","683,000",0,-,-,-,-,-,"2,945,000","542,000","2,318,000","2,403,000","2,403,000","2,403,000",0,-,"57,000","2,318,000",5.65,5.62,"410,400","412,200","5,720,000","2,403,000","2,403,000",-,"14,000","2,403,000",0,0,0,0
6,12/31/2021,"8,118,000","6,450,000","6,831,000","6,451,000","6,451,000","368,000",-,"12,000","381,000","222,000",-,"159,000",-,-,"1,668,000","1,440,000","1,440,000","1,440,000",-,-,-,"-4,000","-4,000",-,-,"232,000","-381,000","4,678,000","527,000",-,-,"449,000","2,940,000","1,941,000","1,941,000",-,-,"999,000","13,000","13,000","13,000","13,000","749,000",0,-,-,-,-,-,"3,059,000","633,000","2,296,000","2,425,000","2,425,000","2,426,000","-1,000",-,"74,000","2,296,000",5.43,5.41,"422,500","424,300","6,069,000","2,425,000","2,426,000",-,"13,000","2,426,000",0,0,0,0
7,9/30/2021,"7,830,000","6,156,000","6,538,000","6,205,000","6,205,000","317,000",-,"16,000","382,000","228,000",-,"154,000",-,-,"1,674,000","1,429,000","1,429,000","1,429,000",-,-,-,"2,000","2,000",-,-,"243,000","342,000","4,141,000","481,000",-,-,"358,000","2,603,000","1,852,000","1,852,000",-,"319,000","751,000","5,000","5,000","5,000","5,000","694,000","-45,000",-,-,-,"45,000",-,"3,986,000","882,000","2,987,000","3,104,000","3,104,000","3,104,000",0,-,"79,000","2,987,000",6.81,6.78,"438,800","440,500","6,498,000","3,104,000","3,139,055",-,"5,000","3,104,000","-45,000","-45,000",0,"-9,945"
8,6/30/2021,"7,374,000","5,743,000","6,139,000","5,753,000","5,753,000","370,000",-,"16,000","396,000","237,000",-,"159,000",-,-,"1,631,000","1,400,000","1,400,000","1,400,000",-,"133,000",-,0,0,-,-,"231,000","1,160,000","3,911,000","523,000",-,-,"341,000","2,401,000","1,781,000","1,781,000",-,"315,000","620,000","5,000","5,000","5,000","5,000","641,000","-55,000",-,-,-,"55,000",-,"4,568,000","1,031,000","3,446,000","3,536,000","3,536,000","3,537,000","-1,000",-,"60,000","3,446,000",7.65,7.62,"450,600","452,300","6,903,000","3,536,000","3,579,570",-,"5,000","3,537,000","-55,000","-55,000",0,"-12,430"
9,3/31/2021,"7,113,000","5,822,000","6,261,000","5,854,000","5,854,000","391,000",-,"16,000","439,000","269,000",-,"170,000",-,-,"1,291,000","1,169,000","1,169,000","1,169,000",-,"136,000",-,"4,000","4,000",-,-,"118,000","823,000","3,740,000","472,000",-,-,"292,000","2,348,000","1,847,000","1,847,000",-,"302,000","501,000","6,000","6,000","6,000","6,000","622,000","-35,000",-,-,-,"35,000",-,"4,196,000","869,000","3,236,000","3,325,000","3,325,000","3,327,000","-2,000",-,"61,000","3,236,000",7.06,7.03,"458,600","460,100","6,645,000","3,325,000","3,327,000",-,"6,000","3,327,000","-35,000","-35,000",0,0
10,12/31/2020,"7,300,000","5,873,000","6,391,000","5,954,000","5,954,000","422,000",-,"15,000","518,000","347,000",-,"171,000",-,-,"1,427,000","1,156,000","1,156,000","1,156,000",-,"125,000",-,0,0,-,-,"271,000","-264,000","4,003,000","572,000",-,-,"394,000","2,318,000","1,755,000","1,755,000",-,"295,000","563,000","8,000","8,000","8,000","8,000","711,000","31,000",-,-,-,"-31,000",-,"3,064,000","496,000","2,462,000","2,566,000","2,566,000","2,568,000","-2,000",-,"68,000","2,462,000",5.36,5.35,"459,100","460,200","5,609,000","2,566,000","2,542,022",-,"8,000","2,568,000","31,000","31,000",0,"5,022"
11,9/30/2020,"7,345,000","5,555,000","6,215,000","5,758,000","5,758,000","443,000",-,"14,000","660,000","476,000",-,"184,000",-,-,"1,790,000","1,095,000","1,095,000","1,095,000",-,"143,000",-,"25,000","25,000",-,-,"670,000","-331,000","3,502,000","506,000",-,-,"327,000","2,002,000","1,719,000","1,719,000",-,"310,000","283,000","14,000","14,000","14,000","14,000","653,000","-10,000",-,-,-,"10,000",-,"3,502,000","1,096,000","2,319,000","2,406,000","2,406,000","2,406,000",0,-,"67,000","2,319,000",5.07,5.06,"457,800","458,500","5,224,000","2,406,000","2,412,870",-,"14,000","2,406,000","-10,000","-10,000",0,"-3,130"
12,6/30/2020,"6,556,000","5,460,000","6,318,000","5,820,000","5,820,000","482,000",-,"16,000","858,000","611,000",-,"247,000",-,-,"1,096,000","930,000","930,000","930,000",-,"142,000",-,0,0,-,-,"166,000","-4,246,000","3,494,000","523,000",-,-,"304,000","1,977,000","1,704,000","1,704,000",-,"308,000","273,000","16,000","16,000","16,000","16,000","674,000","-276,000",-,-,-,"276,000",-,"-1,460,000","-543,000","-1,009,000","-918,000","-918,000","-917,000","-1,000",-,"90,000","-1,009,000",-2.21,-2.21,"456,700","456,700","1,214,000","-918,000","-743,672",-,"16,000","-917,000","-276,000","-276,000",0,"-102,672"
13,3/31/2020,"7,249,000","6,025,000","7,109,000","6,542,000","6,542,000","530,000",-,"37,000","1,084,000","731,000",-,"353,000",-,-,"1,224,000","1,079,000","1,079,000","1,079,000",-,"180,000",-,0,0,-,-,"145,000","-5,423,000","3,680,000","517,000",-,-,"287,000","2,118,000","1,627,000","1,627,000",-,"302,000","491,000","22,000","22,000","22,000","22,000","736,000","-49,000",-,-,-,"49,000",-,"-1,903,000","-563,000","-1,420,000","-1,340,000","-1,340,000","-1,340,000",0,-,"55,000","-1,420,000",-3.10,-3.10,"457,600","457,600","602,000","-1,340,000","-1,305,504",-,"22,000","-1,340,000","-49,000","-49,000",0,"-14,504"
14,12/31/2019,"7,427,000","6,066,000","7,270,000","6,682,000","6,682,000","544,000",-,"44,000","1,204,000","832,000",-,"372,000",-,-,"1,361,000","1,153,000","1,153,000","1,153,000",-,"198,000",-,"-18,000","-18,000",-,-,"226,000","-1,818,000","4,097,000","565,000",-,-,"318,000","2,369,000","1,659,000","1,652,000","7,000","346,000","710,000","28,000","28,000","28,000","28,000","817,000","-64,000",-,"48,000",-,"16,000",-,"1,448,000","270,000","1,041,000","1,176,000","1,176,000","1,178,000","-2,000",-,"97,000","1,041,000",2.26,2.25,"460,900","463,400","4,248,000","1,176,000","1,230,096",-,"28,000","1,178,000","-64,000","-64,000",0,"-11,904"
15,9/30/2019,"6,959,000","5,737,000","7,075,000","6,429,000","6,429,000","583,000",-,"63,000","1,338,000","901,000",-,"437,000",-,-,"1,222,000","1,073,000","1,073,000","1,073,000",-,"200,000",-,"5,000","5,000",-,-,"144,000","-1,383,000","3,554,000","519,000",-,-,"314,000","2,133,000","1,632,000","1,605,000","27,000","312,000","501,000","25,000","25,000","25,000","25,000","563,000","-318,000",-,"84,000",-,"234,000",-,"1,704,000","375,000","1,270,000","1,333,000","1,333,000","1,329,000","4,000",-,"53,000","1,270,000",2.71,2.69,"469,500","471,800","4,354,000","1,333,000","1,576,722",-,"25,000","1,329,000","-318,000","-318,000",0,"-70,278"
16,6/30/2019,"7,124,000","5,746,000","7,076,000","6,383,000","6,383,000","629,000",-,"64,000","1,330,000","870,000",-,"460,000",-,-,"1,378,000","1,172,000","1,172,000","1,172,000",-,"182,000",-,"15,000","15,000",-,-,"191,000","-1,342,000","3,697,000","521,000",-,-,"314,000","2,104,000","1,558,000","1,558,000",-,"329,000","546,000","29,000","29,000","29,000","29,000","729,000","-82,000",-,"82,000",-,"97,000",-,"2,003,000","387,000","1,533,000","1,625,000","1,625,000","1,616,000","9,000",-,"80,000","1,533,000",3.26,3.24,"470,800","473,000","4,404,000","1,625,000","1,682,174",-,"29,000","1,616,000","-82,000","-82,000",0,"-15,826"
17,3/31/2019,"7,083,000","5,791,000","7,092,000","6,368,000","6,368,000","655,000",-,"69,000","1,301,000","817,000",-,"484,000",-,-,"1,292,000","1,111,000","1,111,000","1,111,000",-,"182,000",-,"24,000","24,000",-,-,"157,000","-1,693,000","3,646,000","493,000",-,-,"291,000","2,090,000","1,573,000","1,573,000",-,"303,000","517,000","30,000","30,000","30,000","30,000","742,000","-25,000",-,"25,000",-,"103,000",-,"1,719,000","309,000","1,348,000","1,412,000","1,412,000","1,410,000","2,000",-,"52,000","1,348,000",2.87,2.86,"469,400","471,600","4,098,000","1,412,000","1,430,500",-,"30,000","1,410,000","-25,000","-25,000",0,"-4,500"
18,12/31/2018,"6,939,000","5,820,000","7,048,000","6,358,000","6,358,000","627,000",-,"63,000","1,228,000","756,000",-,"472,000",-,-,"1,119,000","1,095,000","1,095,000","1,095,000",-,"205,000",-,"-20,000","-20,000",-,-,"44,000","-1,638,000","4,082,000","610,000",-,-,"426,000","2,176,000","1,345,000","1,345,000",-,"326,000","831,000","43,000","43,000","43,000","43,000","827,000","24,000","74,000",0,-,"50,000",-,"1,243,000","-21,000","1,172,000","1,261,000","1,261,000","1,264,000","-3,000",-,"80,000","1,172,000",2.49,2.48,"470,000","472,700","4,182,000","1,261,000","1,246,480",-,"43,000","1,264,000","24,000","24,000",0,"6,480"
19,9/30/2018,"6,962,000","5,786,000","6,895,000","6,247,000","6,247,000","593,000",-,"55,000","1,109,000","681,000",-,"428,000",-,-,"1,176,000","1,124,000","1,124,000","1,124,000",-,"252,000",-,"-196,000","-196,000",-,-,"248,000","-1,268,000","3,914,000","515,000",-,-,"275,000","1,936,000","1,432,000","1,432,000",-,"311,000","504,000","44,000","44,000","44,000","44,000","1,144,000","141,000","141,000",-,-,"170,000",-,"1,921,000","420,000","1,440,000","1,502,000","1,502,000","1,501,000","1,000",-,"53,000","1,440,000",3.01,2.99,"477,800","480,900","4,518,000","1,502,000","1,390,879",-,"44,000","1,501,000","141,000","141,000",0,"30,879"
20,6/30/2018,"7,192,000","5,551,000","6,596,000","5,989,000","5,989,000","539,000",-,"68,000","1,045,000","622,000",-,"423,000",-,-,"1,641,000","1,114,000","1,114,000","1,114,000",-,"169,000",-,"-1,000","-1,000",-,-,"528,000","-1,276,000","3,409,000","503,000",-,-,"234,000","1,855,000","1,430,000","1,430,000",-,"317,000","425,000","43,000","43,000","43,000","43,000","774,000","-15,000",-,"15,000",-,"89,000",-,"2,492,000","575,000","1,814,000","1,906,000","1,906,000","1,917,000","-11,000",-,"80,000","1,814,000",3.74,3.71,"485,100","488,300","4,275,000","1,906,000","1,928,535",-,"43,000","1,917,000","-15,000","-15,000",0,"-3,465"
21,3/31/2018,"6,909,000","5,718,000","6,637,000","6,134,000","6,134,000","452,000",-,"51,000","919,000","539,000",-,"380,000",-,-,"1,191,000","1,075,000","1,075,000","1,075,000",-,"277,000",-,"8,000","8,000",-,-,"108,000","-1,674,000","3,554,000","490,000",-,-,"210,000","1,934,000","1,520,000","1,520,000",-,"306,000","414,000","44,000","44,000","44,000","44,000","876,000","-19,000",-,"19,000",-,"97,000",-,"1,662,000","319,000","1,284,000","1,346,000","1,346,000","1,343,000","3,000",-,"52,000","1,284,000",2.64,2.62,"486,900","490,800","4,044,000","1,346,000","1,358,352",-,"44,000","1,343,000","-19,000","-19,000",0,"-3,648"
22,12/31/2017,"7,013,000","5,813,000","6,604,000","6,133,000","6,133,000","431,000",-,"40,000","791,000","457,000",-,"334,000",-,-,"1,200,000","1,059,000","1,059,000","1,059,000",-,"286,000",-,"1,000","1,000",-,-,"140,000","-1,926,000","3,672,000","523,000",-,-,"274,000","1,981,000","1,521,000","1,521,000",-,"306,000","460,000","61,000","61,000","61,000","61,000","833,000","-107,000",-,"76,000",-,"31,000",-,"1,308,000","2,170,000","-1,052,000","-971,000","-971,000","-862,000","-109,000",-,"80,000","-1,052,000",-2.17,-2.17,"485,700","485,700","3,887,000","-971,000","-797,800",-,"61,000","-862,000","-107,000","-107,000",0,"-42,800"
23,9/30/2017,"6,985,000","5,700,000","6,420,000","5,960,000","5,960,000","431,000",-,"29,000","720,000","410,000",-,"310,000",-,-,"1,285,000","1,076,000","1,076,000","1,076,000",-,"249,000",-,"68,000","68,000",-,-,"141,000","-1,833,000","3,442,000","471,000",-,-,"297,000","1,903,000","1,524,000","1,524,000",-,"294,000","379,000","61,000","61,000","61,000","61,000","710,000","-125,000",-,"125,000",-,"89,000",-,"1,585,000","448,000","1,047,000","1,107,000","1,107,000","1,137,000","-30,000",-,"52,000","1,047,000",2.16,2.14,"484,900","489,000","3,867,000","1,107,000","1,226,625",-,"61,000","1,137,000","-125,000","-125,000",0,"-35,375"
24,6/30/2017,"6,704,000","5,473,000","6,128,000","5,669,000","5,669,000","433,000",-,"26,000","655,000","382,000",-,"273,000",-,-,"1,231,000","1,094,000","1,094,000","1,094,000",-,"234,000",-,"-4,000","-4,000",-,-,"141,000","-1,800,000","3,402,000","474,000",-,-,"279,000","1,818,000","1,383,000","1,383,000",-,"289,000","435,000","61,000","61,000","61,000","61,000","770,000","-12,000",-,"12,000",-,"78,000",-,"1,490,000","443,000","948,000","1,036,000","1,036,000","1,047,000","-11,000",-,"80,000","948,000",1.96,1.94,"484,000","488,100","3,673,000","1,036,000","1,055,436",-,"61,000","1,047,000","-12,000","-12,000",0,"-3,564"
