,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Funds Sold,Security Agree to be Resold,Federal Home Loan Bank Stock,Foreclosed Assets,Other Real Estate Owned,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Other Receivables,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Payables And Accrued Expenses,Payables,Current Debt And Capital Lease Obligation,Current Debt,Current Notes Payable,Commercial Paper,Other Current Borrowings,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Long Term Provisions,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number
49,12/31/2010,"51,034,886","5,630,439","5,500,134","924,126",-,"4,576,008","130,305","130,305",-,"130,305",-,"299,577","299,577",-,"5,953,418","48,667","858,367","840,642","4,205,742","858,367","35,513,376","37,074,058","206,286","9,605,986","530,129","25,350,106","36,867,772","1,440,341","-120,341","410,174","410,174","720,985","1,367,936","191,612","475,830","581,464","119,030",-,"-646,951","1,103,059","1,015,161","87,898","1,814,032","44,387,672","40,935,000","27,281,071","27,281,071","13,653,929","764,806","722,258","42,548",-,-,"166,394","166,394","160,636","2,647","166,394","1,942,622","1,942,622","20,132",758,"111,708","467,142","6,647,214","6,648,279","6,220,291","2,056,672","4,163,619","889,284","4,163,619",-,"-461,296",-,"-1,065","8,590,901","2,056,672","4,591,607",758,"5,545,220","6,700,623","3,488,548","2,109,016",-,"182,784","182,784",-
50,9/30/2010,"51,047,776","5,645,882","5,529,424",-,-,"5,529,424","116,458","116,458","67,026","49,432",-,-,"356,923",-,"4,180,248","42,811","3,295,864","841,573",-,"858,402","36,236,813","37,886,805","217,409",-,-,-,"37,669,396","1,529,955","-120,037",-,-,"719,592",-,-,-,-,-,-,-,"1,109,289","1,015,161","94,128","1,940,627","44,553,185","40,960,140","27,695,725","27,695,725","13,264,415","738,551","367,402","371,149",-,-,"236,507","236,507",-,-,"236,507","1,939,395","1,939,395","20,239",-,-,"678,592","6,494,591","6,495,432","5,946,426","1,875,463","4,070,963","1,017,428",-,-,"-452,553","-15,869",-841,"8,434,827","1,875,463","4,619,969",-,"5,386,143","6,795,871","3,510,680","2,175,902",-,"177,202","177,202",-
51,6/30/2010,"52,147,295","6,034,300","1,068,755",-,-,"1,068,755","4,965,545","4,965,545","44,720","4,920,825",-,-,"413,336",-,"4,319,215","85,707","3,416,448","817,060",-,"858,602","36,664,107","38,101,915","189,376",-,"38,128,717",-,"37,912,539","1,563,753","125,945",-,-,"705,372",-,-,-,-,-,-,-,"1,115,586","1,015,161","100,425","2,036,777","45,726,193","42,013,876","27,942,420","27,942,420","14,071,456","892,025","391,213","500,812",-,-,"1,149","1,149",-,"1,149",-,"2,151,850","2,151,850","232,998",-,-,"667,293","6,421,102","6,421,842","5,771,017","1,806,877","3,964,140","1,099,621","3,964,140",-,"-433,020","-15,776",-740,"8,573,692","1,806,877","4,614,965",-,"5,306,256","6,767,964","3,499,379","2,152,999","1,084,244","173,331","173,331",-
52,3/31/2010,"51,712,981","4,573,150","1,045,391",-,-,"1,045,391","3,527,759","3,527,759","44,436","3,483,323",-,-,"414,237",-,"4,355,131","50,698","3,437,098","867,335",-,"909,601","37,599,917","39,049,771","171,892",-,-,-,"38,877,879","1,581,577","131,723",-,-,"707,387",-,-,-,-,-,-,-,"1,122,000","1,015,161","106,839","2,031,558","45,856,069","42,095,809","29,296,807","29,296,807","12,799,002","953,791","477,959","475,832",-,-,"3,123","3,123",-,"3,123",-,"2,191,773","2,191,773","190,952",-,-,"611,573","5,856,912","5,842,206","5,049,944","1,532,323","3,517,621","1,236,497",-,-,"-428,177","-16,058","14,706","8,033,979","1,532,323","4,309,883",-,"4,720,206","6,504,779","3,187,883","2,194,896","1,149,505","160,300","160,300",-
53,12/31/2009,"51,123,007","2,101,694","2,023,153","1,370,189",-,"652,964","78,541","78,541","20,985","57,556",-,"389,782","389,782",-,"5,648,718","23,543","1,099,961","869,595","3,655,619","1,099,961","38,399,723","40,068,752","208,567","9,921,730","632,883","27,795,684","1,509,888","1,531,332","-137,697","466,492","466,492","710,534","1,333,182","185,806","445,632","586,648","115,096","115,096","-622,648","1,128,577","1,015,161","113,416","2,277,487","45,412,750","41,840,589","29,516,342","29,516,342","12,324,247","965,330","344,580","620,750",-,-,"1,084","1,084",-,"1,084",-,"2,017,220","2,016,747","135,911",473,-,"588,527","5,710,257","5,692,658","4,821,201","1,502,784","3,318,417","1,324,516",-,"16,160","-436,899","-16,160","17,599","7,709,405","1,502,784","4,189,874",473,"4,564,081","6,207,705","3,061,297","2,018,304","131,062","150,425","150,425",-
54,9/30/2009,"53,403,672","4,200,977","992,940",-,-,"992,940","3,208,037","3,208,037","44,056","3,163,981",-,-,"359,187",-,"3,623,801","76,709","3,547,092","877,105",-,"1,061,464","40,446,708","42,014,052","206,387",-,-,-,"41,807,665","1,432,715","-134,629",-,-,"698,225",-,-,-,-,-,-,-,"1,140,936","1,017,385","123,551","1,872,374","47,879,784","43,007,981","31,554,734","31,554,734","11,453,247","1,517,195","1,008,181","509,014",-,-,"45,411","45,411",-,"2,449","42,962","2,618,698","2,618,698","18,803",-,-,"690,499","5,523,888","5,502,355","4,498,978","1,524,722","2,974,256","1,487,707",-,-,"-469,112","-15,218","21,533","8,121,053","1,524,722","3,977,633",-,"4,361,419","6,641,742","2,836,697","2,664,109","1,671,169","136,398","136,398",-
55,6/30/2009,"52,874,957","2,682,360","1,229,205",-,-,"1,229,205","1,453,155","1,453,155","390,619","1,062,536",-,-,"293,857",-,"4,920,445","78,608","3,903,895","937,942",-,"1,046,131","40,403,004","41,521,017","251,526",-,"41,529,575",-,"41,269,491","1,248,055","130,042",-,-,"703,613",-,-,-,-,-,-,-,"1,139,060","1,017,385","121,675","1,686,487","47,293,004","42,644,172","31,502,155","31,502,155","11,142,017","1,735,784","1,169,809","565,975",-,-,"1,019","1,019",-,"1,019",-,"2,263,377","2,263,377","66,034",-,-,"648,652","5,581,953","5,557,932","4,271,626","1,491,730","2,779,896","1,668,608","2,779,896",-,"-368,164","-14,138","24,021","7,821,309","1,491,730","4,066,202",-,"4,418,872","6,330,598","2,927,142","2,264,396","1,035,191","125,095","125,095",-
56,3/31/2009,"54,545,012","3,592,915","3,274,527",-,-,"3,274,527","318,388","318,388","13,277","305,111",-,-,"226,634",-,"5,852,913","65,198","4,138,744","1,648,971",-,-,"41,362,222","42,319,849","262,785",-,"42,057,064",-,-,"832,878","-124,749",-,-,"701,742",-,-,-,-,-,-,-,"1,159,050","1,034,465","124,585","1,649,536","48,965,178","43,307,233","32,789,323","32,789,323","10,517,910","1,805,548","1,213,970","591,578",-,-,984,984,-,984,-,"3,272,645","3,272,645","557,335",-,-,"578,768","5,579,834","5,553,006","1,587,027","1,587,027",-,"1,713,897","2,607,541",-,"-340,727","-14,732","26,828","8,825,651","1,587,027","3,965,979",-,"4,393,956","7,239,608","2,806,929","3,273,629",-,"115,297","115,297",-
57,12/31/2008,"55,092,791","4,178,893","3,808,735","1,475,976","1,475,976","2,332,759","370,158","370,158","83,451","286,707",-,"191,792",-,-,"5,553,400","42,064","1,044,092","1,790,989","2,676,255",-,"41,172,057","41,991,555","200,318",-,-,-,"41,791,237","686,999","-132,499",-,-,"687,096",-,-,-,-,-,-,-,"1,777,312","1,651,377","125,935","1,532,241","48,563,775","41,316,496","31,633,111","31,633,111","9,683,385","4,069,349","3,133,941","935,408",-,-,"15,451","15,451",-,"15,451","2,055,304","2,493,368","2,493,368",-,-,-,"669,111","6,529,016","6,501,696","4,181,750","1,581,834","2,599,916","2,433,363","2,599,916","14,459","-98,958",-,"27,320","8,995,064","1,581,834","4,919,862",-,"4,724,384","7,428,681","3,142,550","2,508,819","868,190","115,338","115,338",-
58,9/30/2008,"53,974,168","2,454,970","2,010,832",-,"1,441,957","568,875","444,138","444,138",-,-,-,-,-,-,"4,755,359","45,769","4,709,590",-,-,-,"41,278,260","42,028,466",-,-,-,-,"42,028,466","609,433","-140,773",-,-,"675,480",-,-,-,-,-,-,-,"2,143,493",-,-,"2,666,606","48,377,853","38,590,901","29,177,417","29,177,417","9,413,484","1,943,104",-,-,-,-,"4,455,234","4,455,234",-,-,"4,455,234","2,698,449","2,698,449",-,-,-,"690,165","5,596,315","5,566,027","286,949","286,949",-,"2,968,242","2,482,517",-,"-171,681",-,"30,288","8,264,476","286,949","5,279,078",-,"3,422,534","12,432,761","3,135,585","7,153,683","5,142,851","115,303","115,303",-
