,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Funds Sold,Security Agree to be Resold,Federal Home Loan Bank Stock,Foreclosed Assets,Other Real Estate Owned,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Other Receivables,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Payables And Accrued Expenses,Payables,Current Debt And Capital Lease Obligation,Current Debt,Current Notes Payable,Commercial Paper,Other Current Borrowings,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Long Term Provisions,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number
59,6/30/2008,"54,630,883","3,014,981","2,256,038",-,"1,751,724","504,314","758,943","758,943",-,-,-,-,-,-,"4,784,185","51,670","4,732,515",-,-,-,"41,324,019","42,032,733",-,-,-,-,"42,032,733","548,958","-159,756",-,-,"656,013",-,-,-,-,-,-,-,"2,141,992",-,-,"2,709,693","49,331,825","37,607,995","27,872,730","27,872,730","9,735,265","3,435,756",-,-,-,-,"4,936,343","4,936,343",-,-,"4,936,343","2,795,919","2,795,919",-,-,-,"555,812","5,299,058","5,273,530","240,000","240,000",-,"2,981,062","2,224,455",-,"-171,987",-,"25,528","8,069,449","240,000","5,033,530",-,"3,131,538","12,765,792","2,891,538","7,732,262","5,476,224","107,519","107,519",240
60,3/31/2008,"53,408,293","3,715,526","2,904,399",-,"1,660,539","1,243,860","811,127","811,127",-,-,-,-,-,-,"6,117,109","40,807","6,076,302",-,-,-,"39,404,472","40,063,894",-,-,-,-,"40,063,894","501,283","-158,139",-,-,"657,183",-,-,-,-,-,-,-,"2,150,189",-,-,"1,363,814","48,050,079","37,516,337","28,052,215","28,052,215","9,464,122","3,146,287",-,-,-,-,"4,054,744","4,054,744",-,-,"4,054,744","2,712,183","2,712,183",-,-,-,"620,528","5,358,214","5,327,801","240,000","240,000",-,"2,957,511","2,219,905",-,"-89,615",-,"30,413","8,039,984","240,000","5,087,801",-,"3,177,612","11,854,728","2,937,612","6,766,927","3,862,528","107,139","107,139",240
61,12/31/2007,"52,947,414","3,355,363","2,581,601","1,855,155","1,855,155","726,446","773,762","773,762","102,225","671,537",-,"15,201",-,-,"6,895,312","21,849","1,034,412","704,441","5,134,610",-,"38,125,802","38,749,505","207,943","9,810,991","798,705","27,603,868","327,998","459,376","-164,327","502,601","502,601","655,712","1,196,511","169,941","380,337","528,411","117,822",-,"-540,799","2,159,006","2,009,513","149,493","1,238,417","47,623,675","36,922,753","27,304,453","27,304,453","9,618,300","7,295,443","5,773,062","1,522,381",-,-,"297,850","297,850",-,"297,850","3,181,990","2,463,254","2,460,415",-,"2,839",-,"644,375","5,323,739","5,292,800","2,452,237","240,000","2,212,237","2,910,692","2,212,237","11,294","-58,835",-,"30,939","7,753,215","240,000","5,052,800","2,839","3,133,794","7,811,065","2,893,794","2,761,104","176,664","107,117","107,117",240
62,9/30/2007,"50,044,686","2,502,878","1,994,633",-,"1,481,238","513,395","508,245","508,245",-,-,-,-,-,-,"6,304,532","15,494","6,289,038",-,-,-,"37,404,094","37,978,881",-,-,-,-,"37,978,881","418,165","-156,622",-,-,"670,267",-,-,-,-,-,-,-,"2,193,659",-,-,"969,256","44,750,295","35,774,713","26,452,045","26,452,045","9,322,668","3,483,543",-,-,-,-,"2,448,651","2,448,651",-,-,"2,448,651","2,482,535","2,482,535",-,-,-,"560,853","5,294,391","5,256,980","240,000","240,000",-,"2,914,439","2,200,228",-,"-97,687",-,"37,411","7,739,515","240,000","5,016,980",-,"3,063,321","9,948,166","2,823,321","4,931,186","2,936,553","106,980","106,980",240
63,6/30/2007,"48,691,445","2,284,679","1,680,827",-,"1,640,946","39,881","603,852","603,852",-,-,-,-,-,-,"6,262,010","22,808","6,239,202",-,-,-,"36,407,910","36,941,793",-,-,-,-,"36,941,793","380,295","-153,588",-,-,"648,731",-,-,-,-,-,-,-,"2,194,181",-,-,"893,934","43,434,649","36,185,572","26,327,934","26,327,934","9,857,638","3,311,941",-,-,-,-,"893,116","893,116",-,-,"893,116","2,441,847","2,441,847",-,-,-,"602,173","5,256,796","5,224,702","240,000","240,000",-,"2,828,613","2,279,722",-,"-123,633",-,"32,094","7,666,549","240,000","4,984,702",-,"3,030,521","8,319,665","2,790,521","3,334,963","1,654,136","107,578","107,578",240
64,3/31/2007,"48,558,866","2,559,257","1,591,844",-,"1,574,519","17,325","967,413","967,413",-,-,-,-,-,-,"5,608,927","32,438","5,576,489",-,-,-,"35,573,635","36,098,941",-,-,-,-,"36,098,941","371,213","-154,093",-,-,"655,073",-,-,-,-,-,-,-,"2,204,566",-,-,"1,957,408","43,259,005","36,325,739","26,564,484","26,564,484","9,761,255","2,132,682",-,-,-,-,"510,576","510,576",-,-,"510,576","2,511,619","2,511,619",-,-,-,"1,778,389","5,299,861","5,261,170","240,000","240,000",-,"2,719,502","2,381,509",-,"-79,841",-,"38,691","7,772,789","240,000","5,021,170",-,"3,056,604","8,043,365","2,816,604","3,022,195","1,430,351","108,100","108,100",240
65,12/31/2006,"46,970,226","2,308,086","1,982,013","1,938,810","1,938,810","43,203","326,073","326,073","55,658","270,415",-,"9,250",-,-,"6,789,850","63,436","1,022,383","653,124","5,050,907",-,"34,302,406","34,818,936","252,818",-,-,-,"34,566,118","365,150","-151,380",-,-,"609,472","1,092,959","151,997","346,389","485,712","108,861",-,"-483,487","2,062,651","1,900,517","162,134","888,511","41,940,412","34,981,746","24,971,436","24,971,436","10,010,310","3,632,939","2,648,466","984,473",-,-,"220,507","220,507",-,"220,507","738,432","2,357,721","2,354,916",-,"2,805",-,"747,499","5,029,814","4,987,023","2,470,303","240,000","2,230,303","2,602,189","2,230,303","9,620","-75,849",-,"42,791","7,341,939","240,000","4,747,023","2,805","2,924,372","7,322,446","2,684,372","2,578,228","593,410","106,721","106,721",240
66,9/30/2006,"45,777,747","2,001,471","1,656,792",-,"1,616,910","39,882","344,679","344,679",-,-,-,-,-,-,"5,817,571","92,615","5,724,956",-,-,-,"33,349,768","33,851,804",-,-,-,-,"33,851,804","356,342","-145,694",-,-,"587,807",-,-,-,-,-,-,-,"2,052,463",-,-,"1,968,667","41,093,423","33,640,991","23,890,927","23,890,927","9,750,064","3,449,134",-,-,-,-,"579,028","579,028",-,-,"579,028","2,766,613","2,766,613",-,-,-,"657,657","4,684,324","4,643,166",-,-,-,"2,501,625","2,240,458",-,"-98,917",-,"41,158","7,409,779",-,"4,643,166",-,"2,590,703","7,988,807","2,590,703","3,345,641","1,688,849","106,805","106,805",-
67,6/30/2006,"45,142,086","2,349,460","1,861,341",-,"1,773,829","87,512","488,119","488,119",-,-,-,-,-,-,"5,797,079","70,646","5,726,433",-,-,-,"32,333,860","32,824,965",-,-,-,-,"32,824,965","348,475","-142,630",-,-,"574,154",-,-,-,-,-,-,-,"2,058,948",-,-,"2,028,585","40,666,137","33,254,210","23,090,376","23,090,376","10,163,834","2,594,378",-,-,-,-,"1,461,974","1,461,974",-,-,"1,461,974","2,566,353","2,566,353",-,-,-,"789,222","4,475,949","4,447,330",-,-,-,"2,386,369","2,218,711",-,"-157,750",-,"28,619","7,013,683",-,"4,447,330",-,"2,388,382","8,475,657","2,388,382","4,028,327","2,166,986","106,612","106,612",-
68,3/31/2006,"43,318,029","2,053,967","1,636,799",-,"1,584,857","51,942","417,168","417,168",-,-,-,-,-,-,"5,984,115","151,924","5,832,191",-,-,-,"30,799,065","31,269,845",-,-,-,-,"31,269,845","341,261","-129,519",-,-,"565,327",-,-,-,-,-,-,-,"2,072,609",-,-,"1,842,946","38,945,318","32,872,708","22,919,705","22,919,705","9,953,003","2,636,046",-,-,-,-,"157,550","157,550",-,-,"157,550","2,601,519","2,601,519",-,-,-,"677,495","4,372,711","4,343,816","2,197,245",-,"2,197,245","2,279,383",-,-,"-132,812",-,"28,895","6,945,335",-,"4,343,816",-,"2,271,207","7,102,885","2,271,207","2,759,069","1,122,270","106,070","106,070",-
69,12/31/2005,"42,779,639","2,373,332","1,728,769",-,"1,706,590","22,179","644,563","644,563",-,-,-,-,-,-,"6,057,212","101,562","5,955,650",-,-,-,"29,788,537","30,252,258",-,-,-,-,"30,252,258","338,399","-125,322",-,-,"564,745",-,-,-,-,-,-,-,"2,086,754",-,-,"1,909,059","38,514,824","32,642,408","22,688,575","22,688,575","9,953,833","2,347,974",-,-,-,-,"185,989","185,989",-,-,"185,989","2,745,854","2,745,854",-,-,-,"592,599","4,264,815","4,237,264","2,156,732",-,"2,156,732","2,179,885",-,-,"-99,353",-,"27,551","6,983,118",-,"4,237,264",-,"2,150,510","7,169,107","2,150,510","2,931,843","1,203,074","105,148","105,148",-
70,9/30/2005,"33,422,701","2,111,482","1,122,552",-,"1,109,202","13,350","988,930","988,930",-,-,-,-,-,-,"4,992,339","352,059","4,640,280",-,-,-,"23,642,780","24,036,938",-,-,-,-,"24,036,938","287,237","-106,921",-,-,"410,800",-,-,-,-,-,-,-,"686,790",-,-,"1,578,510","30,396,809","25,399,741","17,674,562","17,674,562","7,725,179","2,351,168",-,-,-,-,"162,152","162,152",-,-,"162,152","1,912,165","1,912,165",-,-,-,"571,583","3,025,892","2,999,173","971,002",-,"971,002","2,084,439",-,-,"-56,268",-,"26,719","4,911,338",-,"2,999,173",-,"2,312,383","5,073,490","2,312,383","2,074,317","951,765","90,067","90,067",-
71,6/30/2005,"32,875,294","1,833,185","1,243,531",-,"1,232,527","11,004","589,654","589,654",-,-,-,-,-,-,"4,904,799","282,082","4,622,717",-,-,-,"23,540,135","23,925,273",-,-,-,-,"23,925,273","281,428","-103,710",-,-,"409,488",-,-,-,-,-,-,-,"690,330",-,-,"1,497,357","29,912,721","24,398,535","16,821,085","16,821,085","7,577,450","2,640,039",-,-,-,-,"390,036","390,036",-,-,"390,036","1,939,420","1,939,420",-,-,-,"544,691","2,962,573","2,937,908","961,510",-,"961,510","1,994,015",-,-,"-17,617",-,"24,665","4,877,328",-,"2,937,908",-,"2,247,578","5,267,364","2,247,578","2,329,456","1,085,925","90,063","90,063",-
72,3/31/2005,"31,883,486","1,685,546","1,102,303",-,"1,085,482","16,821","583,243","583,243",-,-,-,-,-,-,"4,940,487","303,469","4,637,018",-,-,-,"22,693,363","23,069,780",-,-,-,-,"23,069,780","273,906","-102,511",-,-,"407,262",-,-,-,-,-,-,-,"690,940",-,-,"1,465,888","29,035,382","23,879,088","16,689,668","16,689,668","7,189,420","2,326,672",-,-,-,-,"303,460","303,460",-,-,"303,460","1,901,569","1,901,569",-,-,-,"624,593","2,848,104","2,821,766","969,739",-,"969,739","1,907,727",-,-,"-55,700",-,"26,338","4,723,335",-,"2,821,766",-,"2,130,826","5,026,795","2,130,826","2,205,029","1,102,726","89,891","89,891",-
73,12/31/2004,"31,469,834","1,444,085","852,249",-,"850,998","1,251","591,836","591,836",-,-,-,-,-,-,"5,121,215","290,070","4,831,145",-,-,-,"22,356,004","22,732,080",-,-,-,-,"22,732,080","271,117","-104,959",-,-,"409,210",-,-,-,-,-,-,-,"698,085",-,-,"1,441,235","28,656,496","23,292,261","16,470,733","16,470,733","6,821,528","2,834,969",-,-,-,-,"181,396","181,396",-,-,"181,396","1,918,741","1,918,741",-,-,-,"429,129","2,813,338","2,789,979","972,065",-,"972,065","1,830,064",-,-,"-12,150",-,"23,359","4,708,720",-,"2,789,979",-,"2,091,894","4,890,116","2,091,894","2,100,137","1,247,888","89,830","89,830",-
74,9/30/2004,"30,731,040","1,874,935","1,069,409",-,"1,066,516","2,893","805,526","805,526",-,-,-,-,-,-,"5,058,691","433,273","4,625,418",-,-,-,"21,237,630","21,611,119",-,-,-,-,"21,611,119","269,413","-104,076",-,-,"404,226",-,-,-,-,-,-,-,"700,310",-,-,"1,455,248","27,982,298","23,165,131","16,508,275","16,508,275","6,656,856","2,168,580",-,-,-,-,"186,450","186,450",-,-,"186,450","1,922,443","1,922,443",-,-,-,"539,694","2,748,742","2,724,261","965,166",-,"965,166","1,753,934",-,-,"5,161",-,"24,481","4,646,704",-,"2,724,261",-,"2,023,951","4,833,154","2,023,951","2,108,893","1,039,484","89,639","89,639",-
75,6/30/2004,"30,894,325","1,955,853","1,128,599",-,"1,124,832","3,767","827,254","827,254",-,-,-,-,-,-,"5,028,173","601,583","4,426,590",-,-,-,"21,225,504","21,598,481",-,-,-,-,"21,598,481","271,554","-101,423",-,-,"402,203",-,-,-,-,-,-,-,"712,778",-,-,"1,569,814","28,236,153","22,470,488","15,885,453","15,885,453","6,585,035","2,598,298",-,-,-,-,"605,242","605,242",-,-,"605,242","1,954,449","1,954,449",-,-,-,"607,676","2,658,172","2,636,451","974,479",-,"974,479","1,680,240",-,-,"-18,268",-,"21,721","4,590,900",-,"2,636,451",-,"1,923,673","5,196,142","1,923,673","2,559,691","1,431,092","89,752","89,752",-
76,3/31/2004,"29,789,703","1,893,049","1,060,123",-,"1,058,735","1,388","832,926","832,926",-,-,-,-,-,-,"4,857,025","383,850","4,473,175",-,-,-,"20,349,492","20,714,119",-,-,-,-,"20,714,119","271,226","-93,401",-,-,"404,247",-,-,-,-,-,-,-,"714,599",-,-,"1,571,291","27,143,891","21,485,880","15,368,535","15,368,535","6,117,345","2,611,375",-,-,-,-,"506,501","506,501",-,-,"506,501","1,838,814","1,838,814",-,-,-,"701,321","2,645,812","2,621,965","973,506",-,"973,506","1,610,176",-,-,"38,283",-,"23,847","4,460,779",-,"2,621,965",-,"1,907,366","4,967,280","1,907,366","2,345,315","1,285,192","89,694","89,694",-
77,12/31/2003,"28,558,238","1,688,045","1,120,235",-,"1,119,351",884,"567,810","567,810",-,-,-,-,-,-,"4,818,017","380,224","4,437,793",-,-,-,"19,651,855","20,016,641",-,-,-,-,"20,016,641","268,506","-96,280",-,-,"407,825",-,-,-,-,-,-,-,"722,899",-,-,"1,269,597","25,998,439","20,896,695","15,013,766","15,013,766","5,882,929","2,475,168",-,-,-,-,"215,354","215,354",-,-,"215,354","1,969,202","1,969,202",-,-,-,"442,020","2,559,799","2,540,023","985,904",-,"985,904","1,538,677",-,-,"15,442",-,"19,776","4,509,225",-,"2,540,023",-,"1,817,124","4,724,579","1,817,124","2,184,556","1,064,321","89,841","89,841",-
78,9/30/2003,"27,604,188","1,658,043","1,169,229",-,"1,168,611",618,"488,814","488,814",-,-,-,-,-,-,"4,339,956","393,695","3,946,261",-,-,-,"19,152,790","19,529,118",-,-,-,-,"19,529,118","281,311","-95,017",-,-,"403,090",-,-,-,-,-,-,-,"726,426",-,-,"1,323,883","25,098,001","20,874,124","15,147,460","15,147,460","5,726,664","1,858,188",-,-,-,-,"15,790","15,790",-,-,"15,790","1,875,234","1,875,234",-,-,-,"474,665","2,506,187","2,485,971","991,866",-,"991,866","1,470,063",-,-,"24,042",-,"20,216","4,361,205",-,"2,485,971",-,"1,759,545","4,376,995","1,759,545","1,891,024","721,795","89,864","89,864",-
79,6/30/2003,"27,805,628","1,289,167","1,227,685",-,"1,225,316","2,369","61,482","61,482",-,-,-,-,-,-,"4,228,260","384,728","3,843,532",-,-,-,"19,158,336","19,534,282",-,-,-,-,"19,534,282","281,486","-94,460",-,-,"406,952",-,-,-,-,-,-,-,"805,886",-,-,"1,917,027","25,303,212","20,625,170","14,909,554","14,909,554","5,715,616","1,333,241",-,-,-,-,"267,768","267,768",-,-,"267,768","1,371,817","1,371,817",-,-,-,"1,705,216","2,502,416","2,479,421","987,021",-,"987,021","1,434,915",-,"2,931","60,416",-,"22,995","3,851,238",-,"2,479,421",-,"1,673,535","4,119,006","1,673,535","1,639,585","411,900","89,725","89,725",-
80,3/31/2003,"27,208,734","2,236,890","1,089,099",-,"1,087,910","1,189","1,147,791","1,147,791",-,-,-,-,-,-,"3,664,417","336,005","3,328,412",-,-,-,"18,850,385","19,221,539",-,-,-,-,"19,221,539","280,533","-90,621",-,-,"401,827",-,-,-,-,-,-,-,"809,437",-,-,"1,245,778","24,772,945","20,801,005","15,504,744","15,504,744","5,296,261","1,854,533",-,-,-,-,"6,602","6,602",-,-,"6,602","1,631,027","1,631,027",-,-,-,"479,778","2,435,789","2,412,504","1,012,532",-,"1,012,532","1,361,414",-,-,"38,558",-,"23,285","4,043,531",-,"2,412,504",-,"1,603,067","4,050,133","1,603,067","1,637,629","548,530","90,215","90,215",-
81,12/31/2002,"26,565,689","1,630,058","1,088,986",-,"1,087,296","1,690","541,072","541,072",-,-,-,-,-,-,"3,635,951","331,610","3,304,341",-,-,-,"18,760,250","19,132,505",-,-,-,-,"19,132,505","279,593","-92,662",-,-,"393,630",-,-,-,-,-,-,-,"812,951",-,-,"1,332,849","24,169,169","20,131,980","15,014,522","15,014,522","5,117,458","1,884,822",-,-,-,-,"15,554","15,554",-,-,"15,554","1,601,769","1,601,769",-,-,-,"535,044","2,396,520","2,373,843","1,034,888",-,"1,034,888","1,292,741",-,-,"46,214",-,"22,677","3,975,612",-,"2,373,843",-,"1,560,892","3,991,166","1,560,892","1,617,323","528,337","90,718","90,718",-
82,9/30/2002,"26,289,314","2,223,691","1,026,538",-,"1,025,447","1,091","1,197,153","1,197,153",-,-,-,-,-,-,"3,426,574","366,414","3,060,160",-,-,-,"18,055,945","18,415,895",-,-,-,-,"18,415,895","265,406","-94,544",-,-,"386,730",-,-,-,-,-,-,-,"806,499",-,-,"1,389,875","23,908,685","19,481,032","14,548,296","14,548,296","4,932,736","1,638,928",-,-,-,-,"512,793","512,793",-,-,"512,793","1,641,598","1,641,598",-,-,-,"634,334","2,380,629","2,357,601","1,048,803",-,"1,048,803","1,223,437",-,-,"85,361",-,"23,028","3,999,199",-,"2,357,601",-,"1,551,102","4,511,992","1,551,102","2,154,391","1,127,853","91,155","91,155",-
83,6/30/2002,"25,734,714","1,344,134","1,026,551",-,"1,024,778","1,773","317,583","317,583",-,-,-,-,-,-,"3,609,416","307,543","3,301,873",-,-,-,"18,188,122","18,551,836",-,-,-,-,"18,551,836","264,432","-99,282",-,-,"366,169",-,-,-,-,-,-,-,"836,527",-,-,"1,390,346","23,374,654","18,788,429","14,120,768","14,120,768","4,667,661","2,020,775",-,-,-,-,"772,422","772,422",-,-,"772,422","1,343,216","1,343,216",-,-,-,"449,812","2,360,060","2,337,278","1,072,005",-,"1,072,005","1,202,290",-,-,"62,983",-,"22,782","3,680,494",-,"2,337,278",-,"1,500,751","4,452,916","1,500,751","2,115,638","1,089,087","91,702","91,702",-
84,3/31/2002,"24,839,623","1,237,702","911,849",-,"906,611","5,238","325,853","325,853",-,-,-,-,-,-,"3,503,789","284,308","3,219,481",-,-,-,"17,590,061","17,957,425",-,-,-,-,"17,957,425","264,107","-103,257",-,-,"370,472",-,-,-,-,-,-,-,"873,955",-,-,"1,263,644","22,503,485","18,000,342","13,582,322","13,582,322","4,418,020","2,274,896",-,-,-,-,"437,467","437,467",-,-,"437,467","1,337,781","1,337,781",-,-,-,"452,999","2,336,138","2,315,369","1,092,735",-,"1,092,735","1,170,934",-,-,"51,700",-,"20,769","3,653,150",-,"2,315,369",-,"1,441,414","4,090,617","1,441,414","1,775,248","863,399","91,986","91,986",-
85,12/31/2001,"24,304,164","1,261,189","981,389",-,"978,609","2,780","279,800","279,800",-,-,-,-,-,-,"3,466,357","102,896","3,363,461",-,-,-,"17,050,355","17,413,444",-,-,-,-,"17,413,444","260,483","-102,606",-,-,"368,076",-,-,-,-,-,-,-,"879,911",-,-,"1,278,276","22,006,973","17,841,690","13,361,021","13,361,021","4,480,669","2,224,992",-,-,-,-,"181,266","181,266",-,-,"181,266","1,330,800","1,330,800",-,-,-,"428,225","2,297,191","2,280,869","1,111,214",-,"1,111,214","1,109,704",-,-,"59,951",-,"16,322","3,611,669",-,"2,280,869",-,"1,400,958","3,792,935","1,400,958","1,512,066","530,677","91,745","91,745",-
86,9/30/2001,"24,255,570","1,545,282","912,634",-,"910,465","2,169","632,648","632,648",-,-,-,-,-,-,"3,680,612","377,075","3,303,537",-,-,-,"16,530,758","16,879,202",-,-,-,-,"16,879,202","245,862","-102,582",-,-,"354,637",-,-,-,-,-,-,-,"744,033",-,-,"1,400,248","22,006,789","17,434,450","13,288,499","13,288,499","4,145,951","2,330,517",-,-,-,-,"249,779","249,779",-,-,"249,779","1,252,415","1,252,415",-,-,-,"739,628","2,248,781","2,235,167","1,104,278",-,"1,104,278","1,056,271",-,-,"74,618",-,"13,614","3,487,582",-,"2,235,167",-,"1,491,134","3,737,361","1,491,134","1,502,194","589,560","92,001","92,001",-
87,6/30/2001,"23,487,799","1,360,590","982,921",-,"978,838","4,083","377,669","377,669",-,-,-,-,-,-,"3,306,507","262,297","3,044,210",-,-,-,"16,246,454","16,566,741",-,-,-,-,"16,566,741","229,865","-90,422",-,-,"350,715",-,-,-,-,-,-,-,"826,021",-,-,"1,397,512","21,274,003","17,170,084","13,027,263","13,027,263","4,142,821","2,116,689",-,-,-,-,"265,275","265,275",-,-,"265,275","1,211,650","1,211,650",-,-,-,"510,305","2,213,796","2,197,722","1,120,991",-,"1,120,991","1,001,935",-,-,"74,796",-,"16,074","3,409,372",-,"2,197,722",-,"1,371,701","3,674,647","1,371,701","1,476,925","494,004","92,328","92,328",-
88,3/31/2001,"23,548,179","2,097,327","1,062,193",-,"1,061,125","1,068","1,035,134","1,035,134",-,-,-,-,-,-,"3,752,402","326,324","3,426,078",-,-,-,"15,265,443","15,570,481",-,-,-,-,"15,570,481","221,245","-83,793",-,-,"338,048",-,-,-,-,-,-,-,"763,394",-,-,"1,331,565","21,378,514","16,845,000","12,704,878","12,704,878","4,140,122","2,508,186",-,-,-,-,"898,043","898,043",-,-,"898,043","448,843","448,843",-,-,-,"678,442","2,169,665","2,116,054","1,111,202",-,"1,111,202","946,867",-,-,"57,985",-,"53,611","2,564,897",-,"2,116,054",-,"1,352,660","3,462,940","1,352,660","1,346,886","284,693","87,100","87,100",-
89,12/31/2000,"21,939,443","1,575,319","1,068,489",-,"1,047,252","21,237","506,830","506,830",-,-,-,-,-,-,"4,188,309","280,410","3,907,899",-,-,-,"14,182,498","14,458,158",-,-,-,-,"14,458,158","195,535","-80,125",-,-,"324,512",-,-,-,-,-,-,-,"641,440",-,-,"1,027,365","20,120,742","15,069,983","11,484,311","11,484,311","3,585,672","2,687,947",-,-,-,-,"1,290,960","1,290,960",-,-,"1,290,960","761,565","761,565",-,-,-,"310,287","1,818,701","1,778,844","907,604",-,"907,604","874,884",-,-,"-3,644",-,"39,857","2,540,409",-,"1,778,844",-,"1,137,404","3,831,369","1,137,404","2,052,525","984,036","87,100","87,100",-
90,9/30/2000,"21,924,319","1,715,084","962,563",-,"942,345","20,218","752,521","752,521",-,-,-,-,-,-,"4,262,024","420,807","3,841,217",-,-,-,"13,868,593","14,143,998",-,-,-,-,"14,143,998","200,401","-75,004",-,-,"307,905",-,-,-,-,-,-,-,"638,257",-,-,"1,132,456","20,169,048","15,167,675","11,631,472","11,631,472","3,536,203","2,356,053",-,-,-,-,"1,380,905","1,380,905",-,-,"1,380,905","825,509","825,509",-,-,-,"438,906","1,755,271","1,715,695","901,569",-,"901,569","826,311",-,-,"-12,185",-,"39,576","2,541,204",-,"1,715,695",-,"1,077,438","3,922,109","1,077,438","2,206,414","1,243,851","86,964","86,964",-
91,6/30/2000,"21,458,435","1,610,211","900,644",-,"882,064","18,580","709,567","709,567",-,-,-,-,-,-,"4,328,128","340,070","3,988,058",-,-,-,"13,577,821","13,845,255",-,-,-,-,"13,845,255","197,430","-70,004",-,-,"294,628",-,-,-,-,-,-,-,"647,564",-,-,"1,000,083","19,784,025","14,513,983","11,092,951","11,092,951","3,421,032","2,329,069",-,-,-,-,"2,055,284","2,055,284",-,-,"2,055,284","565,811","565,811",-,-,-,"319,878","1,674,410","1,633,984","889,422",-,"889,422","764,884",-,-,"-20,322",-,"40,426","2,199,795",-,"1,633,984",-,"986,420","4,255,079","986,420","2,621,095","1,720,451","85,726","85,726",-
92,3/31/2000,"20,996,557","1,716,449","947,782",-,"929,763","18,019","768,667","768,667",-,-,-,-,-,-,"4,333,452","396,767","3,936,685",-,-,-,"12,924,300","13,183,312",-,-,-,-,"13,183,312","200,065","-58,947",-,-,"290,752",-,-,-,-,-,-,-,"656,930",-,-,"1,074,674","19,370,811","14,584,776","11,157,891","11,157,891","3,426,885","2,691,968",-,-,-,-,"801,574","801,574",-,-,"801,574","893,466","893,466",-,-,-,"399,027","1,625,746","1,585,667","888,725",-,"888,725","722,442",-,-,"-25,500",-,"40,079","2,479,133",-,"1,585,667",-,"928,737","3,280,707","928,737","1,695,040","747,258","85,694","85,694",-
93,12/31/1999,"20,280,900","1,423,500","915,700",-,"898,300","17,400","507,800","507,800",-,-,-,-,-,-,"4,437,100","327,800","4,109,300",-,-,-,"12,586,500","12,853,100",-,-,-,-,"12,853,100","204,100","-62,500",-,-,"287,400",-,-,-,-,-,-,-,"666,200",-,-,"880,200","18,581,900","14,061,900","10,785,800","10,785,800","3,276,100","2,429,700",-,-,-,-,"1,038,000","1,038,000",-,-,"1,038,000","804,800","804,800",-,-,-,"247,500","1,699,000","1,659,800","888,200",-,"888,200","775,800",-,-,"-4,200",-,"39,200","2,464,600",-,"1,659,800",-,"993,600","3,502,600","993,600","1,842,800","927,100","85,593","85,593",-
94,9/30/1999,"18,595,500","1,405,800","759,300",-,"742,700","16,600","646,500","646,500",-,-,-,-,-,-,"4,470,400","531,700","3,938,700",-,-,-,"11,218,000","11,469,000",-,-,-,-,"11,469,000","198,600","-52,400",-,-,"263,100",-,-,-,-,-,-,-,"258,400",-,-,"979,800","17,444,100","13,008,800","9,988,600","9,988,600","3,020,200","2,140,300",-,-,-,-,"1,140,900","1,140,900",-,-,"1,140,900","570,500","570,500",-,-,-,"583,600","1,151,400","1,112,900",-,-,-,"794,200",-,-,-,"318,700","38,500","1,683,400",-,"1,112,900",-,"854,500","2,824,300","854,500","1,711,400","952,100","78,992","78,992",-
95,6/30/1999,"17,605,700","1,283,000","900,600",-,"882,800","17,800","382,400","382,400",-,-,-,-,-,-,"4,106,700","416,100","3,690,600",-,-,-,"10,841,800","11,096,300",-,-,-,-,"11,096,300","204,800","-49,700",-,-,"249,600",-,-,-,-,-,-,-,"261,800",-,-,"862,800","16,476,900","13,070,700","9,993,800","9,993,800","3,076,900","1,897,300",-,-,-,-,"666,100","666,100",-,-,"666,100","513,500","513,500",-,-,-,"329,300","1,128,800","1,091,300",-,-,-,"762,300",-,-,-,"329,000","37,500","1,604,800",-,"1,091,300",-,"829,500","2,270,900","829,500","1,179,600","279,000","79,011","79,011",-
