,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Sale of Business,Gain Loss On Investment Securities,Earnings Losses from Equity Investments,Realized Gain Loss On Sale of Loans And Lease,Depreciation Amortization Depletion,Depreciation & amortization,Depreciation,Amortization,Amortization of Intangibles,Deferred Tax,Deferred Income Tax,Other non-cash items,Asset Impairment Charge,Stock based compensation,Excess Tax Benefit from Stock Based Compensation,Provision for Loan Lease And Other Losses,Change in working capital,Change in Receivables,Changes in Account Receivables,Change in Payables And Accrued Expense,Change in Payable,Change in Tax Payable,Change in Income Tax Payable,Change in Account Payable,Change in Loans,Change in Other Current Assets,Change in Other Current Liabilities,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Investment Properties Purchase And Sale,Sale of Investment Properties,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Purchase of PPE,Sale of PPE,Net Business Purchase And Sale,Purchase of Business,Sale of Business,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Preferred Stock Dividend Paid,Net Other Financing Charges,Other Cash Adjustment Inside Change in Cash,End Cash Position,Changes in Cash,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
10,12/31/2013,"876,566","876,566","263,455","281,645",-,-,-,-,"130,616","130,616",-,-,-,"-60,117","-60,117","1,356",-,-,-,"-104,240","363,851",-,-,-,-,-,-,-,"116,624","255,564","-2,051","-6,286","-1,393,160","-1,393,160","50,952","-1,481,032","1,531,984","110,058","110,058","-1,488,485","17,748","-1,506,233","-88,580","-88,580",-,"3,786",-,-,"19,109","-150,230","-150,230","-197,988","-185,714","646,408","-832,122","-12,274",-,-,"794,143","794,143",-,"-799,468",-,"-799,468","-119,660",-,-,"-56,064",-,"1,175,083","-666,824","1,841,907",-,"181,318","191,897","-88,580","794,143","646,408","-832,122","-799,468","787,986"
11,12/31/2012,"765,627","765,627","348,150","121,201","-2,510",0,-,-,"214,617","214,617",-,-,-,"9,788","9,788","-26,492",-,-,-,"18,614","79,749",-,-,-,-,-,-,-,"-31,445","71,772","27,439","11,983","-1,908,974","-1,908,974","-1,269,763","-2,650,102","1,380,339","204,818","204,818","-755,234","66,223","-821,457","-68,894","-68,894",-,"-19,901",-,-,-,"1,760,904","1,760,904","14,455","384,719","757,610","-372,891","-370,264",-,-,"143,240","143,240",-,"-1,542,500",-,"-1,542,500","-133,581",-,-,"-7,533",-,"1,841,907","617,557","1,224,350",-,"183,348","214,673","-68,894","143,240","757,610","-372,891","-1,542,500","696,733"
12,12/31/2011,"1,097,067","1,097,067","322,690","94,362",0,-,-,-,"299,948","299,948",-,-,-,"115,604","115,604","-1,691",-,-,-,"65,121","201,033",-,-,-,-,-,-,-,"50,696","122,573","19,370","8,394","-2,492,444","-2,492,444","-1,580,872","-3,909,053","2,328,181","362,495","362,495","-1,196,398","17,609","-1,214,007","-77,669","-77,669",-,0,-,-,"19,407","1,695,601","1,695,601","-111,139","97,402","106,065","-8,663","-208,541",-,"-208,541","25,686",-,-,"25,686","25,686",0,"-156,135",-,-,"-3,508",-,"1,224,350","300,224","924,126",-,"3,743","263,338","-77,669","25,686","106,065","-217,204",0,"1,019,398"
13,12/31/2010,"1,460,994","1,460,994","-296,349","195,163","-13,703","-25,124",-,"-14,471","372,754","372,754",-,-,-,"-28,665","-28,665","-33,610","87,105",-,-,"847,401","404,300",-,-,-,-,-,-,-,"-32,953","220,441","241,936","-25,124","-1,925,697","-1,925,697","-4,510,421","-5,778,894","1,268,473","523,967","523,967","1,907,953","1,907,953",0,"-79,071","-79,071","523,967","21,149",-,"21,149","210,726","18,640","18,640","57,314","76,855","150,413","-73,558","-19,541",-,"-19,541","977,145","977,145",-,"977,145","977,145",0,"-109,316",-,-,"-3,279",-,"924,126","-446,063","1,370,189",-,"324,804","358,156","-79,071","977,145","150,413","-93,099",0,"1,381,923"
14,12/31/2009,"1,057,898","1,057,898","-1,221,677","708,309",-,"5,671","1,825","-524,309","213,040","213,040","74,097","138,943","138,943","-15,071","-15,071","-187,539",-,"29,789",-36,"2,082,438","-551,355","56,807","56,807","-26,508","-26,508","-270,478","-270,478","-26,508",-,"-203,529","-126,168","-251,957","3,642,867","3,642,867","1,455,523","-1,947,307","3,402,830","315,229","315,229","1,517,058","1,517,058",0,"-97,135","-103,347","6,212","452,192",-,"452,192","315,229","-4,806,552","-4,806,552","-2,948,382","295,491","704,022","-408,531","-3,243,873",-,"-3,243,873","462,736","464,110","-1,374","-47,166",0,"-47,166","-96,271","-11,863","-84,408","-22,974",-,"1,370,189","-105,787","1,475,976",-,"131,187","577,799","-103,347","464,110","704,022","-3,652,404","-48,540","954,551"
15,12/31/2008,"1,173,949","1,173,949","-266,269","701,646",-,"-1,642",-,"29,238","140,201","140,201","73,166","67,035","67,035","-231,241","-231,241","-48,762",-,"31,850","-1,059","648,269","199,314","34,288","34,288","-10,765","-10,765",-,-,"-10,765",-,"307,783","8,915","-140,907","-3,072,264","-3,072,264","-357,789","-4,341,227","3,983,438","72,629","72,629","-3,374,028","294,480","-3,668,508","-102,016","-114,164","12,148","688,940",-,"688,940","-3,302,073","1,519,136","1,519,136","-3,637,275","-127,975","31,995","-159,970","-3,509,300",-,-,"351,421","354,302","-2,881","1,338,605","1,338,605",-,"-195,679","-173,904","-21,775",384,-,"1,475,976","-379,179","1,855,155",-,"303,180","1,011,719","-114,164","1,692,907","31,995","-159,970","-2,881","1,059,785"
16,12/31/2007,"732,900","732,900","493,745","120,316",-,"-20,738",-,"-17,243","124,973","124,973","76,436","48,537","48,537","-158,702","-158,702","-103,247",-,"28,274","-11,815","152,210","87,146","-7,521","-7,521","-3,576","-3,576","20,176","20,176","-3,576",-,"44,177","-7,697","61,763","-5,056,293","-5,056,293","-1,181,230","-5,507,463","4,326,233","9,977","9,977","-3,839,386","68,579","-3,907,965","-91,086","-103,223","12,137","45,432",-,"45,432","-3,829,409","4,239,738","4,239,738","3,755,178","11,886","296,289","-284,403","3,743,292",-,-,"-262,552","59,473","-322,025",0,0,-,"-195,650","-181,327","-14,323","11,664",-,"1,855,155","-83,655","1,938,810",-,"355,685","1,318,356","-103,223","59,473","296,289","-284,403","-322,025","629,677"
17,12/31/2006,"1,046,987","1,046,987","583,125","-43,544",-,"-24,257",-,"-26,548","133,771","133,771","75,603","58,168","58,168","9,368","9,368","24,335","1,304","24,358","-15,707","72,572","257,405","-42,498","-42,498","31,020","31,020","27,305","27,305","31,020",-,"89,164","114,288","65,431","-4,240,026","-4,240,026","498,046","-2,937,867","3,435,913","39,607","39,607","-4,645,734","218,104","-4,863,838","-118,800","-122,432","3,632","-13,145","-13,145",-,"-4,617,581","3,425,259","3,425,259","950,032","-232,393","399,962","-632,355","1,182,425",-,-,"53,028","79,511","-26,483","235,833","235,833",-,"-160,821","-156,986","-3,835","7,849",-,"1,938,810","232,220","1,706,590",-,"273,154","1,022,260","-122,432","315,344","399,962","-632,355","-26,483","924,555"
18,12/31/2005,"754,194","754,194","480,121","-49,724",-,467,-,-,"100,667","100,667",-,-,-,"-32,362","-32,362","286,116",-,-,-,-,"-30,624",-,-,"15,611","15,611","15,611","15,611",-,-,-,-,"-46,235","-2,431,548","-2,431,548","238,069","-3,923,910","4,161,979",-,-,-,-,-,"-67,995",-,-,"-189,718",-,-,"-2,411,904","2,532,946","2,532,946","-337,040","596,151","598,419","-2,268","-933,191",-,-,"8,589",-,-,-,-,-,"-130,300",-,-,"-3,468",-,"1,706,590","855,592","850,998",-,-,-,"-67,995",-,"598,419","-2,268",-,"686,199"
19,12/31/2004,"662,372","662,372","405,987","199,409",-,"252,726",-,-,"94,777","94,777",-,-,-,"-21,914","-21,914","51,036",-,-,-,-,"-66,923",-,-,"-4,292","-4,292","-4,292","-4,292",-,-,-,-,"-62,631","-3,176,151","-3,176,151","-187,470","-4,250,698","4,063,228",-,-,-,-,-,"-72,289",-,-,-,-,-,"-2,916,392","2,245,426","2,245,426","-177,996","54,681","297,975","-243,294","-232,677",-,-,"-22,631",-,-,-,-,-,"-114,600",-,-,-,-,"850,998","-268,353","1,119,351",-,-,-,"-72,289",-,"297,975","-243,294",-,"590,083"
